años_experiencia,experiencia,modalidad,formación_académica,sector,tipo_de_empleo,beneficios,Ciudad,Salario_medio,Rango_Salarial,Titulo_Habilidades
3.0,junior,Presencial,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Media jornada,,Madrid,25000.0,22.000-30.000,"FISIOTERAPEUTA NEUROLÓGICO Fisioterapia neurológica, habilidades de comunicación y empatía, trabajo en equipo, proactividad, iniciativa"
2.0,junior,Presencial,Ninguna,Servicios,Jornada completa,,Madrid,43200.0,40.000-65.000,"Comercial puerta fría - Sector banca digital Comercialización, trabajo en equipo, habilidades de comunicación, gestión de objetivos, trabajo con CRM, conocimiento de sectores energético, asegurador, inmobiliario, alarmas y telecomunicaciones"
1.0,junior,Presencial,Grado Universitario,Economía y política,Jornada completa,,Madrid,13200.0,<15.000,"Profesora/a de Lengua 2ºESO Profesor, enseñanza, habilidades de comunicación, trabajo en equipo, formación en fisioterapia neurológica, habilidades de empatía"
3.0,senior,,Ninguna,Transporte y Logística,,,Madrid,131112.0,>100.000,"Direct Entry Captain - Pilot Piloto, experiencia en Airbus FBW Wide Body, ICAO English level 5, ICAO ATPL, Authority Class 1 Medical"
0.0,intern,Presencial,Ninguna,Economía y política,Jornada completa,,Madrid,15144.0,15.000-22.000,"Promotor/a - Encuestador/a de Educación comunicación, empatía, atención al cliente, captación, encuestas"
,,,Grado Universitario,Tecnología y telecomunicaciones,,,Madrid,,,"Health and Safety Specialist Experiencia en Salud y Seguridad Ocupacional, colaboración con sindicatos y autoridades, implementación de sistemas de gestión HSE, habilidades de comunicación y liderazgo, conocimiento de ISO 45001, adaptabilidad a entornos digitales"
0.0,intern,,Ninguna,Internet,Jornada completa,,Madrid,15000.0,<15.000,"Únete a nuestro equipo: buscamos Asesores Inmobiliarios - San Isidro y Usera Desarrollo de actividades comerciales, captación de clientes, asesoramiento personalizado, gestión de cartera de clientes, valoraciones inmobiliarias"
3.0,senior,Presencial,Grado Universitario,Agricultura,Prácticas,,Madrid,,,"Manager - BCG Vantage - Aerospace and Defense Solving complex client problems, driving development of intellectual property, communicating with senior stakeholders, managing projects, training junior team members, working in a complex environment"
1.0,junior,Presencial,Ninguna,Economía y política,Media jornada,,Madrid,12000.0,<15.000,"PROFESOR/A DE BIOLOGÍA Y QUÍMICA BILINGÜE Bilingüe, nivel alto de inglés, preparación y creación de materiales didácticos, comunicación y cooperación con otros docentes, monitoreo del progreso de los alumnos, asistencia en la revisión y edición de materiales"
,,Presencial,Ninguna,"Salud, Farmacia y Tecnología Médica",Media jornada,,Madrid,,,"Fisioterapeuta en Leganés Fisioterapia neurológica, habilidades de comunicación y empatía"
,,Presencial,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Madrid,23500.0,22.000-30.000,"Fisioterapeuta readaptación, pilates, ejercicio terapéutico, tratamiento manual, manejo de radiofrecuencia, manejo de ecografía, EPI, Epte"
2.0,junior,,Grado Universitario,Comercio minorista y comercio,Jornada completa,,Madrid,,,"Area Manager Madrid Iniciativa, proactividad, orientación a personas, pasión por el trabajo en equipo, liderazgo, orientación al logro, conocimiento de inglés (nivel B2-C1), conocimiento de alemán (valorable), permiso de conducir"
5.0,senior,Presencial,FP Superior,Construcción,Jornada completa,,Madrid,17100.0,15.000-22.000,"Electricista Oficial de 1ª Mantenimiento eléctrico, reparación de averías, instalación de nuevas instalaciones, conducción, formación en certificaciones profesionales"
2.0,senior,Presencial,Grado Universitario,Economía y política,Jornada completa,,Madrid,41500.0,40.000-65.000,"MYP & DP FrenchTeacher Comunicación efectiva, motivación de estudiantes, adaptabilidad, trabajo en equipo, liderazgo, paciencia, atención a los detalles"
