"title","location","postedTime","publishedAt","jobUrl","companyName","companyUrl","description","applicationsCount","contractType","experienceLevel","workType","sector","salary","posterFullName","posterProfileUrl","companyId","applyUrl","applyType","benefits"
"Málaga Cabin Crew Opportunities (Dubai Based, Relocation Provided)","Greater Málaga Metropolitan Area","1 week ago","2026-02-11","https://es.linkedin.com/jobs/view/m%C3%A1laga-cabin-crew-opportunities-dubai-based-relocation-provided-at-emirates-4363018017?trk=public_jobs_topcard-title","Emirates","https://ae.linkedin.com/company/emirates?trk=public_jobs_topcard-org-name","Job Purpose

A personality that shines, the ability to adapt to any situation and make people feel at ease. These are a few of the qualities we’re looking for in our cabin crew.

As the face of Emirates, you’ll be the person customers turn to for help and direction when they fly with us, so you need to be friendly, observant and able to provide the right support.

Being a member of the cabin crew is so much more than a service role - safety is our highest priority. You’ll need to lead confidently and take control when it comes to managing aircraft services, security, and safety procedures. This comes from the world-class learning experience our crew receive at our state-of-the-art facility in Dubai.




Qualifications & Experience




Here are some other things we look for in our cabin crew:

 * You’ve had more than a year’s experience in hospitality/customer service
 * You have a positive attitude and the natural ability to provide excellent service in a team environment, dealing with people from many cultures
 * Your minimum qualification is high school graduate (Grade 12)
 * You need to be fluent in written and spoken English (ability to speak another language is an advantage)
 * You’re at least 160cm tall and can reach 212 cm while standing on tiptoes, to enable you to reach emergency equipment on all aircraft types
 * No visible tattoos while you’re in Emirates cabin crew uniform (without covering them with bandages or cosmetics)
 * As Emirates cabin crew, you’ll be based in Dubai and will need to meet the UAE's employment visa requirements




Aside from the requirements of the role, you should be determined to always perform to the highest standards, focus on being solution oriented, and be able to manage a demanding work schedule. You should have the ability to deliver an authentic experience to our customers. You’ll be culturally aware and reflect the Emirates personality - professional, empathetic, progressive, visionary and cosmopolitan.




Before clicking the Apply button, please keep the following documents ready to submit with your application:

 * Recent CV in English
 * Recent photo




Salary & Benefits




Your pay is made up of three components:

 1. a fixed basic salary,
 2. an hourly pay for operated flights and
 3. an overseas meal allowance.




Basic salary = AED 4,980 / month,

Flying Pay = AED 69.60 / hour based on avg. 80-100 hours / month,

Average Total Pay = AED 11,244 / month (~USD 3,100, EUR 2,600 or GBP 2,280)

* These are approximate numbers for Grade II (Economy Class).




Meal allowances for night stops are credited to the salary in arrears the following month.

Hotel accommodation as well as transport to and from the airport is provided by the company.","59 applicants","Full-time","Associate","Customer Service, General Business, and Other","Airlines and Aviation and Hospitality","","","","5042","https://es.linkedin.com/jobs/view/m%C3%A1laga-cabin-crew-opportunities-dubai-based-relocation-provided-at-emirates-4363018017?trk=public_jobs_topcard-title","EASY_APPLY",""
"Junior Dirección General","Barcelona, Catalonia, Spain","2 weeks ago","2026-02-03","https://es.linkedin.com/jobs/view/junior-direcci%C3%B3n-general-at-catalonia-hotels-resorts-4368696316?trk=public_jobs_topcard-title","Catalonia Hotels & Resorts","https://es.linkedin.com/company/cataloniahotels?trk=public_jobs_topcard-org-name","Si te apasiona el mundo de los viajes y deseas formar parte de una empresa en continua evolución, no lo dudes, estamos buscando un perfil para incorporarse como Junior en Dirección General en nuestras oficinas corporativas de Barcelona.




El objetivo principal de la posición es dar apoyo a Dirección General con la presupuestación y otras áreas de gestión de los hoteles, así como apoyar en cualquier tema que pueda surgir.




Tendrás una visión global y transversal de los principales retos de la compañía y estarás en contacto directo con el Director General de Catalonia Hotels & Resorts.




Tareas Principales:

 * Elaboración y control presupuestario.
 * Preparación de informes de resultados, así como análisis de desviaciones con respecto a la previsión y corrección de estos.
 * Creación de materiales y presentaciones para el Comité de Dirección sobre temas ad-hoc de interés.
 * Ejecución de informes de gestión y análisis empresarial recurrentes y ad hoc, para facilitar y orientar a la toma de decisiones.
 * Seguimiento de proyectos clave para la compañía.
 * Coordinación con otros departamentos corporativos y con los hoteles de la cadena contribuyendo al nivel de prestación de servicio, calidad y atención al cliente en todos los centros hoteleros.




Requisitos:

 * Grado en Economía/ADE/Derecho.
 * Experiencia previa entre 1 y 3 años en departamentos de gestión empresarial.
 * Nivel alto de inglés.




Habilidades y conocimientos:

 * Excelentes habilidades escritas y verbales.
 * Buen uso de las aplicaciones de Microsoft – Excel, Outlook y Power Point.
 * Iniciativa, curiosidad y orientación a la búsqueda de soluciones.
 * Sólida capacidad analítica.
 * Proactividad.




Ofrecemos:

 * Incorporación inmediata.
 * Trabajarás en una de las Top 10 cadenas hoteleras españolas.
 * Oficina en el centro de Barcelona.
 * Paquete de beneficios para el empleado (Ej.: Descuento empleado en nuestros hoteles y restaurantes de la cadena).","Over 200 applicants","Full-time","Associate","Business Development","Hospitality","","","","74645","https://es.linkedin.com/jobs/view/junior-direcci%C3%B3n-general-at-catalonia-hotels-resorts-4368696316?trk=public_jobs_topcard-title","EASY_APPLY",""
"Auxiliar administrativo","Yaiza, Canary Islands, Spain","1 day ago","2026-02-23","https://es.linkedin.com/jobs/view/auxiliar-administrativo-at-hoteles-elba-hotels-resorts-4375721048?trk=public_jobs_topcard-title","Hoteles Elba | Hotels & Resorts","https://es.linkedin.com/company/elba-hoteles?trk=public_jobs_topcard-org-name","Desde el Hotel Elba Lanzarote Royal Village Resort 4* seleccionamos un/a Auxiliar Administrativo/a para incorporarse a nuestro Departamento de Dirección.




El Hotel se encuentra cercano a la Playa Flamingo, con una magnífica ubicación. Cuenta con 228 suites y junior suites dotadas de todas las comodidades necesarias. Compuesto por 6 piscinas exteriores y una sensacional oferta gastronómica con 4 restaurantes




La persona ideal deberá contar con una experiencia mínima de al menos 1 año en el puesto ofertado, formación en Administración, RRHH o similar y manejo de herramientas ofimáticas (paquete Office).




Entre otras tareas a realizar se encuentran la gestión administrativa de documentación laboral, el control de incidencias de personal, atención a empleados, gestión documental, soporte en procesos de selección y colaboración con el servicio de PRL y coordinación de reconocimientos médicos.




Si crees que tu perfil encaja en el puesto ofertado ¡nos encantaría contar contigo!




Desde el Elba Lanzarote te ofrecemos la oportunidad de formar parte de un gran equipo de trabajo, joven y dinámico, y un excelente ambiente laboral que refleja nuestros valores y la esencia que nos caracteriza .




En Elba valoramos la diversidad, la inclusión y la igualdad. No discriminamos por edad, raza, identidad de género, orientación sexual, color, religión, género, nacionalidad ni discapacidad, por lo que todas las personas candidatas serán consideradas en igualdad de condiciones en base a sus habilidades, conocimientos y experiencia.




¡Te esperamos!","38 applicants","Full-time","Associate","Customer Service, Human Resources, and Administrative","Hospitality, Accommodation and Food Services, and Hotels and Motels","","","","2224474","https://es.linkedin.com/jobs/view/auxiliar-administrativo-at-hoteles-elba-hotels-resorts-4375721048?trk=public_jobs_topcard-title","EASY_APPLY",""
"Profesorado Refuerzo Educativo","Madrid, Community of Madrid, Spain","2 weeks ago","2026-02-05","https://es.linkedin.com/jobs/view/profesorado-refuerzo-educativo-at-jc-madrid-deporte-y-cultura-sl-4360532423?trk=public_jobs_topcard-title","JC Madrid Deporte y Cultura SL","https://es.linkedin.com/company/jc-madrid-deporte-y-cultura-sl?trk=public_jobs_topcard-org-name","Tareas


Impartir refuerzo educativo a alumnado de Educación Secundaria Obligatoria en la Ciudad de Madrid


Requisitos


Magisterio de Educación Primaria


Máster de Formación del Profesorado


Certificación de Idiomas","30 applicants","Contract","Associate","Education","Education Administration Programs","€9.00/hr - €9.90/hr","","","2778391","https://es.linkedin.com/jobs/view/profesorado-refuerzo-educativo-at-jc-madrid-deporte-y-cultura-sl-4360532423?trk=public_jobs_topcard-title","EASY_APPLY",""
"Autor/a de contenidos eLearning profesional","Spain","4 weeks ago","2026-01-26","https://es.linkedin.com/jobs/view/autor-a-de-contenidos-elearning-profesional-at-adr-formaci%C3%B3n-4355755593?trk=public_jobs_topcard-title","ADR Formación","https://es.linkedin.com/company/adr-formacion?trk=public_jobs_topcard-org-name","Buscamos personas apasionadas, comprometidas, con vocación docente y con ganas de compartir su talento. Requisito indispensable residentes en ESPAÑA.


En ADR Formación, llevamos más de 25 años desarrollando proyectos de formación e-learning para nuestros clientes. Utilizamos una plataforma de diseño propio que destaca por su sencillez.


Contamos con un amplio catálogo de cursos creados por expertos en diversas áreas, formando parte de nuestra Red de Talento. Como especialista en tu campo, tendrás la oportunidad de desarrollar y tutorizar un curso dentro de nuestra comunidad de profesionales de la formación e-learning.


Te ofrecemos un completo programa de formación dividido en dos cursos, donde aprenderás nuestra metodología y tendrás acceso a herramientas avanzadas para crear tu propio curso. Además, nuestro equipo te acompañará para brindarte apoyo pedagógico y ayudarte en el desarrollo de tu curso.


El proceso es sencillo: ADR Formación se encarga de la comercialización del curso en diferentes modalidades. Como autor, recibirás el 40% de las ganancias por la venta del curso, según lo establecido en un contrato mercantil. No se trata de un contrato laboral y no hay exclusividad, ya que los expertos son propietarios de los contenidos que desarrollan.


Al completar la formación, recibirás diplomas acreditativos que certificarán tu capacidad para generar contenidos online. Si demuestras ser un experto en tu campo, tendrás la oportunidad de unirte a nuestra Red de Talento como autor y tutor de cursos en línea.


¿A qué esperas para formar parte de la Red de Talento?


Tareas


Desarrollar un contenido propio y posteriormente tutorizarlo.


Investigar, organizar y sintetizar información para diseñar experiencias de aprendizaje efectivas con nuestra metodología.


Requisitos


Pasión docente, experiencia y formación específica demostrable en el curso a desarrollar de al menos 2 años.


Beneficios


Oportunidad de colaborar al crecimiento y desarrollo de una plataforma educativa líder en su sector.


Tu colaboración en nuestra Red de Talento sería un valor añadido tanto para ti como para nosotros..","Over 200 applicants","Contract","Associate","Education","E-Learning Providers","","","","2471496","https://join.com/companies/adrformacion/15571346-autor-a-de-contenidos-elearning-profesional?pid=e65242534431eadcb0c9","EXTERNAL",""
"Guía turístico","Cadiz, Andalusia, Spain","3 weeks ago","2026-02-02","https://es.linkedin.com/jobs/view/gu%C3%ADa-tur%C3%ADstico-at-andalusia-tour-travel-sl-4357405002?trk=public_jobs_topcard-title","ANDALUSIA TOUR TRAVEL SL","https://www.linkedin.com/company/andalusia-tour-travel-sl?trk=public_jobs_topcard-org-name","¡Estamos contratando! 📢 Únete a nuestro equipo ⬇️


¿Eres un apasionado de la historia y el patrimonio? ¿Dominas el idioma español e inglés? ¡Esta es tu oportunidad!


Responsabilidades:


Realizar visitas guiadas por los rincones más emblemáticos de la provincia de Cádiz.


Coordinar y gestionar las visitas, asegurando una experiencia inolvidable para los visitantes.


Atención al cliente, resolviendo dudas y ofreciendo un servicio de excelencia.


Requisitos:


Titulación: Grado Superior en Guía, Información y Asistencias Turísticas, Licenciatura en Historia del Arte o Diplomatura en Turismo.


Experiencia demostrada en el sector.


Idiomas: Nivel alto de español e inglés


Residencia en Cádiz o provincia.


Vehículo propio.


Compaginable con otros empleos


Si cumples con estos requisitos y estás listo para compartir la riqueza cultural de Cádiz, ¡te queremos en nuestro equipo!


Envía tu CV al email reflejado en nuestra web


Tareas

   
   
 * Organizar y dirigir tours para grupos de turistas.
   
   
 * Proporcionar información histórica y cultural sobre los lugares visitados.
   
   
 * Responder preguntas y resolver problemas que puedan surgir durante el tour.
   
   
 * Coordinar actividades y horarios con otros proveedores de servicios turísticos.
   
   
 * Garantizar la seguridad y comodidad de los turistas en todo momento.
   
   


Requisitos

   
   
 * Experiencia previa como guía turístico
   
   
 * Conocimiento profundo de la historia y cultura de Andalucía
   
   
 * Habilidades de comunicación excepcionales
   
   
 * Capacidad para trabajar con grupos grandes y pequeños
   
   
 * Flexibilidad para adaptarse a diferentes horarios y rutas
   
   
 * Idioma: Inglés
   
   


Beneficios

   
   
 * Puedes compaginarlo con otros trabajos
   
   
 * Upselling
   
   


¡Únete a ANDALUSIA TOUR TRAVEL SL como guía turístico y comparte tu pasión por los viajes y la cultura! ¡Te esperamos!","31 applicants","Full-time","Associate","Manufacturing","Travel Arrangements","","","","40212405","https://es.linkedin.com/jobs/view/gu%C3%ADa-tur%C3%ADstico-at-andalusia-tour-travel-sl-4357405002?trk=public_jobs_topcard-title","EASY_APPLY",""
"Administración y Contabilidad (perfil con proyección)","Vilanova i la Geltrú, Catalonia, Spain","5 days ago","2026-02-19","https://es.linkedin.com/jobs/view/administraci%C3%B3n-y-contabilidad-perfil-con-proyecci%C3%B3n-at-monday-assessoria-4373123490?trk=public_jobs_topcard-title","Monday Assessoria","https://es.linkedin.com/company/mondayassessoria?trk=public_jobs_topcard-org-name","Sobre Monday


Monday es una asesoría moderna y en crecimiento, especializada en el sector de los artistas y la producción audiovisual. Somos un equipo joven, dinámico y profesional, con voluntad de estructurar y optimizar constantemente nuestros procesos internos.


Sobre la posición


Buscamos una persona con una base sólida en administración y contabilidad que asuma progresivamente la responsabilidad del área administrativa interna del grupo.


El rol tendrá un peso claramente operativo, especialmente en facturación y tesorería, gestionando volumen y trabajando con diversas sociedades. La persona trabajará codo a codo con Dirección y con el equipo administrativo, con autonomía y capacidad de organización.


Es una posición pensada para alguien con experiencia real, buen ritmo de trabajo y ganas de consolidarse dentro de un proyecto con recorrido.


Tareas


Facturación y gestión administrativa


   
   
 * Emisión y control de facturación de diversas sociedades
   
   
 * Gestión de alto volumen de facturas
   
   
 * Seguimiento de cobros y reclamación de impagados
   
   
 * Coordinación con otros departamentos para asegurar la correcta facturación
   
   
 * Gestión documental y administrativa
   
   


Tesorería


   
   
 * Control de pagos a proveedores
   
   
 * Conciliaciones bancarias
   
   
 * Seguimiento de vencimientos y control de flujos
   
   


Contabilidad


   
   
 * Registro contable completo
   
   
 * Control de gastos
   
   
 * Apoyo en cierres contables Registre comptable complet
   
   


Apoyo a Dirección Financiera


   
   
 * Preparación de información económica
   
   
 * Mejora de procesos administrativos
   
   


Requisitos

   
   
 * Grado en ADE, Economía, Contabilidad o similar.
   
   
 * 2–4 años de experiencia en administración y contabilidad (muy valorable en asesoría).
   
   
 * Experiencia gestionando volumen de facturación.
   
   
 * Dominio del ciclo contable.
   
   
 * Persona muy organizada, metódica y resolutiva.
   
   
 * Experiencia con A3 muy valorable.
   
   
 * Interés en asumir progresivamente más responsabilidad.
   
   


Beneficios

   
   
 * Contrato indefinido a jornada completa de 37 horas semanales.
   
   
 * Horario flexible, con entrada entre las 8h y las 9h y salida entre las 17h y las 18h (1h para comer). Viernes hasta las 14h.
   
   
 * Jornada intensiva en verano.
   
   
 * Equipo joven, cercano y con buen ambiente de trabajo.
   
   
 * Posibilidad de asumir progresivamente más responsabilidad dentro del área.
   
   


Buscamos talento responsable y resolutivo que quiera hacerse cargo de un área clave dentro de un equipo joven y cercano. Aplica y forma parte de nuestro proyecto.","Be among the first 25 applicants","Full-time","Associate","Finance","Professional Services","","","","75590035","https://es.linkedin.com/jobs/view/administraci%C3%B3n-y-contabilidad-perfil-con-proyecci%C3%B3n-at-monday-assessoria-4373123490?trk=public_jobs_topcard-title","EASY_APPLY",""
"Madrid Cabin Crew Opportunities (Dubai Based, Relocation Provided)","Greater Madrid Metropolitan Area","6 days ago","2026-02-18","https://es.linkedin.com/jobs/view/madrid-cabin-crew-opportunities-dubai-based-relocation-provided-at-emirates-4372440615?trk=public_jobs_topcard-title","Emirates","https://ae.linkedin.com/company/emirates?trk=public_jobs_topcard-org-name","Job Purpose

A personality that shines, the ability to adapt to any situation and make people feel at ease. These are a few of the qualities we’re looking for in our cabin crew.

As the face of Emirates, you’ll be the person customers turn to for help and direction when they fly with us, so you need to be friendly, observant and able to provide the right support.

Being a member of the cabin crew is so much more than a service role - safety is our highest priority. You’ll need to lead confidently and take control when it comes to managing aircraft services, security, and safety procedures. This comes from the world-class learning experience our crew receive at our state-of-the-art facility in Dubai.




Qualifications & Experience




Here are some other things we look for in our cabin crew:

 * You’ve had more than a year’s experience in hospitality/customer service
 * You have a positive attitude and the natural ability to provide excellent service in a team environment, dealing with people from many cultures
 * Your minimum qualification is high school graduate (Grade 12)
 * You need to be fluent in written and spoken English (ability to speak another language is an advantage)
 * You’re at least 160cm tall and can reach 212 cm while standing on tiptoes, to enable you to reach emergency equipment on all aircraft types
 * No visible tattoos while you’re in Emirates cabin crew uniform (without covering them with bandages or cosmetics)
 * As Emirates cabin crew, you’ll be based in Dubai and will need to meet the UAE's employment visa requirements




Aside from the requirements of the role, you should be determined to always perform to the highest standards, focus on being solution oriented, and be able to manage a demanding work schedule. You should have the ability to deliver an authentic experience to our customers. You’ll be culturally aware and reflect the Emirates personality - professional, empathetic, progressive, visionary and cosmopolitan.




Before clicking the Apply button, please keep the following documents ready to submit with your application:

 * Recent CV in English
 * Recent photo




Salary & Benefits




Your pay is made up of three components:

 1. a fixed basic salary,
 2. an hourly pay for operated flights and
 3. an overseas meal allowance.




Basic salary = AED 4,980 / month,

Flying Pay = AED 69.60 / hour based on avg. 80-100 hours / month,

Average Total Pay = AED 11,244 / month (~USD 3,100, EUR 2,600 or GBP 2,280)

* These are approximate numbers for Grade II (Economy Class).




Meal allowances for night stops are credited to the salary in arrears the following month.

Hotel accommodation as well as transport to and from the airport is provided by the company.","32 applicants","Full-time","Associate","Customer Service, General Business, and Other","Airlines and Aviation and Hospitality","","","","5042","https://external.emiratesgroupcareers.com/en_US/careersmarketplace/ApplicationMethods?jobId=267","EXTERNAL",""
"Docente para impartir talleres de igualdad en acciones puntuales","Oroso, Galicia, Spain","1 week ago","2026-02-12","https://es.linkedin.com/jobs/view/docente-para-impartir-talleres-de-igualdad-en-acciones-puntuales-at-trastes-escuelacontalento-4363981444?trk=public_jobs_topcard-title","Trastes & escuelaContalento","https://es.linkedin.com/company/trastesescuelacontalento?trk=public_jobs_topcard-org-name","Trastes & escuelaContalento gestiona servicios educativos especializados en numerosos concellos, tanto para menores como para personas adultas. Entre nuestras áreas de trabajo figuran programaciones de igualdad dirigidas a públicos específicos, en función de la entidad contratante.


Tareas

   
   
 * Diseño de acciones puntuales y específicas sobre igualdad dirigidas a público infantil, adolescente, joven y adulto con motivo de la conmemoración de fechas como el 8M o el 25M.
   
   
 * Diseño de actividades lúdico-educativas sobre igualdad dirigidas a público infantil.
   
   
 * Elaboración de materiales
   
   
 * Desarrollo de las correspondientes actividades
   
   


Requisitos


Buscamos a una persona con estudios especializados en el área de igualdad, con experiencia en la impartición de talleres lúdico-educativos en esta materia para público infantil, adolescente y adulto.","70 applicants","Contract","Associate","Education","Education Administration Programs","","","","18734455","https://es.linkedin.com/jobs/view/docente-para-impartir-talleres-de-igualdad-en-acciones-puntuales-at-trastes-escuelacontalento-4363981444?trk=public_jobs_topcard-title","EASY_APPLY",""
"Asesoramiento Corporativo","Madrid, Community of Madrid, Spain","2 weeks ago","2026-02-09","https://es.linkedin.com/jobs/view/asesoramiento-corporativo-at-abante-asesores-4370555912?trk=public_jobs_topcard-title","Abante Asesores","https://es.linkedin.com/company/abante-asesores?trk=public_jobs_topcard-org-name","Con objeto de fortalecer sus capacidades en el área de Asesoramiento Corporativo, Abante precisa incorporar dos personas a su equipo.







Tu día a día con nosotros

 * M&A: asesoramiento en procesos de fusiones y adquisiciones corporativas (M&A), rondas de inversión, ampliaciones de capital, salidas de socios, etc.
 * Financiación y restructuración financiera: apoyo a empresas en la búsqueda de financiación tanto bancaria como alternativa, refinanciaciones de deuda corporativa, estructuración de préstamos sindicados, optimización del coste de capital, etc.
 * Consultoría financiera: valoración de compañías, elaboración de planes de negocio y proyecciones financieras corporativas, definición de políticas de dividendos y sistemas de retribución a accionistas y ejecutivos, análisis de generación e inversión de tesorería excedentaria, etc.
 * Estrategia corporativa: estudios de mercado y competencia, análisis estratégicos y de tendencias sectoriales, elaboración de propuestas de valor corporativo, estudios de viabilidad, etc.







Buscamos...

 * Titulación universitaria en Administración de Empresas, Ingeniería, Economía o similar
 * Un perfil que tenga en torno a 2 años de experiencia en auditoría y un perfil que tenga en torno a 4 años de experiencia en M&A, Transaction Services, Due Diligence, Deal Advisory o similar
 * Conocimientos avanzados en matemáticas financieras, Excel y PowerPoint (Se valorará conocimiento de PowerBI, Visual Basic o herramientas de automatización/IA)
 * Nivel de inglés avanzado




¿Qué te ofrecemos?

 * Contrato indefinido
 * Plan de carrera profesional
 * Plan de formación
 * Seguro médico
 * Retribución flexible

","110 applicants","Full-time","Associate","Finance","Banking","","","","61902","https://es.linkedin.com/jobs/view/asesoramiento-corporativo-at-abante-asesores-4370555912?trk=public_jobs_topcard-title","EASY_APPLY",""
