"title","location","postedTime","publishedAt","jobUrl","companyName","companyUrl","description","applicationsCount","contractType","experienceLevel","workType","sector","salary","posterFullName","posterProfileUrl","companyId","applyUrl","applyType","benefits"
"Conserjes, En General","Valencia, Valencian Community, Spain","2 weeks ago","2026-02-09","https://es.linkedin.com/jobs/view/conserjes-en-general-at-generalitat-valenciana-4370430941?trk=public_jobs_topcard-title","Generalitat Valenciana","https://es.linkedin.com/company/generalitat-valenciana?trk=public_jobs_topcard-org-name","2 PUESTOS: UN PUESTO DE LUNES A VIERTNES DE 15H A 23 H Y OTRO DE LUNES A DOMINGO TURNOS ROTATORIOS DE 9:30 A 19:30 Y NOCHES DE 23 A 8 IMPRESCINDIBLE DISCAPACIDAD MIN. 33% EXPERIENCIA PREVIADatos de contacto:CÓDIGO DE OFERTA: ************ Si está inscrito en LABORA, tiene que dirigirse al portal Punt LABORA ().

Si reside fuera de la Comunidad Valenciana, puede postularse enviando su currículo al correo electrónico ****** especificando en el correo su número de DNI/NIE y el número de la oferta ******** como referencia.","44 applicants","Full-time","Mid-Senior level","Administrative","Human Resources Services","","","","1441603","https://es.linkedin.com/jobs/view/conserjes-en-general-at-generalitat-valenciana-4370430941?trk=public_jobs_topcard-title","EASY_APPLY",""
"Administrativo/a","Barcelona, Catalonia, Spain","2 weeks ago","2026-02-10","https://es.linkedin.com/jobs/view/administrativo-a-at-mat%C3%ADas-buenos-d%C3%ADas-4370928266?trk=public_jobs_topcard-title","Matías Buenos Días","https://www.linkedin.com/company/mat%C3%ADas-buenos-d%C3%ADas?trk=public_jobs_topcard-org-name","En Matías Buenos Días, empresa de desayunos y regalos a domicilio en Barcelona, buscamos un/a administrativo/a media jornada.

Funciones : pedidos, mails, facturas, presupuestos y atención al cliente.","Over 200 applicants","Part-time","Not Applicable","Administrative","Food and Beverage Services","","","","10261039","https://jobtoday.com/es/trabajo/administrativo-a-xGkrZ7?utm_source=linkedin","EXTERNAL",""
"Responsable de l'àrea de projectes i captació de recursos","Girona, Catalonia, Spain","1 week ago","2026-02-12","https://es.linkedin.com/jobs/view/responsable-de-l-%C3%A0rea-de-projectes-i-captaci%C3%B3-de-recursos-at-ajuntament-de-girona-4364142412?trk=public_jobs_topcard-title","Ajuntament de Girona","https://es.linkedin.com/company/ajuntament-de-girona?trk=public_jobs_topcard-org-name","Ofertes de feina

Borsa de treball

El Servei Municipal D’Ocupació (SMO) Gestiona Ofertes De Feina Per Empreses Que Ofereixen Llocs De Treball, Que Trobareu Relacionades En Aquest Espai. A Aquests Efectes, Cal Que Tingueu En Compte El Següent


 * Únicament es valoraran les candidatures que arribin per aquest canal.
 * Si no heu trobat cap oferta de feina que encaixi amb el vostre perfil, podeu donar-vos d’alta a la borsa de treball, i us podrem informar de novetats que et puguin interessar.
 * Si sou empresa, publiqueu la vostra oferta de treball. Us podem oferir suport en la definició dels perfils laborals, el reclutament laboral i la preselecció de candidatures.
 * Si sou una empresa també podeu registrar-vos i iniciar sessió a l'aplicació de la borsa de treball per a fer un seguiment de les persones candidates de les ofertes de feina que heu publicat i consultar els seus currículums. En iniciar sessió també podeu donar d'alta ofertes de feina.
 * Les ofertes que es publiquen no són per treballar a l’Ajuntament de Girona. En cas que vulgueu participar en un procés d’oferta pública, heu de consultar-la a través del web de les ofertes públiques d'ocupació, presentar la sol·licitud al registre d'entrada de l'Ajuntament de Girona i seguir les indicacions de les bases de la convocatòria que us interessi i de les notificacions que es vagin publicant a l'e-tauler.","49 applicants","Full-time","Not Applicable","Other","Government Administration","","","","800308","https://es.linkedin.com/jobs/view/responsable-de-l-%C3%A0rea-de-projectes-i-captaci%C3%B3-de-recursos-at-ajuntament-de-girona-4364142412?trk=public_jobs_topcard-title","EASY_APPLY",""
"Mozos De Carga Y Descarga, Almacén Y/O Mercado De Abastos","Alicante, Valencian Community, Spain","2 days ago","2026-02-21","https://es.linkedin.com/jobs/view/mozos-de-carga-y-descarga-almac%C3%A9n-y-o-mercado-de-abastos-at-ferrocarrils-generalitat-valenciana-4374934967?trk=public_jobs_topcard-title","Ferrocarrils Generalitat Valenciana","https://es.linkedin.com/company/ferrocarrilsgeneralitatvalenciana?trk=public_jobs_topcard-org-name","REQUISITOS:PERSONA JOVEN MENOR DE 30 AÑOS E INSCRITO/A EN SISTEMA NACIONAL DE GARANTÍA JUVENIL.FORMACIÓN EN TEMÁTICAS RELATIVAS A INDUSTRIA, MANTENIMIENTO, MONTAJE, MADERA, ALMACÉN ETC.DEBERÁ DEMOSTRAR UNA FORMACIÓN MÍNIMA EQUIVALENTE A UN CERTIFICADO DE PROFESIONALIDAD O BIEN FORMACIÓN PROFESIONAL RELACIONADA CON LA OCUPACIÓN A DESARROLLAR.IMPRESCINDIBLE ESTAR INSCRITO/A COMO DEMANDANTE DE EMPLEO DURANTE LOS ÚLTIMOS 3 MESESCARNET DE CARRETILLA ELEVADORAEXPERIENCIA PREVIA DE AL MENOS UN AÑO EN PUESTO SIMILAR.TAREAS A REALIZAR:CARGA Y DESCARGA DE VEHÍCULOS.COLOCACIÓN Y ORDENACIÓN MERCANCÍAS EN ALMACÉN.MANTENIMIENTO DEL ALMACÉN.PREPARACIÓN DE PEDIDOS.EMBALAR Y PALETIZAR.GESTIÓN Y CONTROL DE STOCKDESMONTAJE DE PALETS.ADECUACIÓN Y ADAPTACIÓN DE MATERIAL DE EMBALAJE A TRAVÉS DEL USO DE ESCUADRADORA.


 * ADJUNTE SU CV PERSONAL***********************Datos de contacto:CÓDIGO DE OFERTA: ************ Si está inscrito en LABORA, tiene que dirigirse al portal Punt LABORA ().
   
   

Si reside fuera de la Comunidad Valenciana, puede postularse enviando su currículo al correo electrónico ****** especificando en el correo su número de DNI/NIE y el número de la oferta ******** como referencia.","31 applicants","Full-time","Entry level","Design","Alternative Dispute Resolution","","","","18615709","https://www.buscojobs.com.es/mozos-de-carga-y-descarga-almacen-y-o-mercado-de-abastos-ID-336790868?source=linkedin","EXTERNAL",""
"Técnicos En Gestión De Stocks Y/O Almacén","Alicante, Valencian Community, Spain","2 days ago","2026-02-21","https://es.linkedin.com/jobs/view/t%C3%A9cnicos-en-gesti%C3%B3n-de-stocks-y-o-almac%C3%A9n-at-ferrocarrils-generalitat-valenciana-4374952149?trk=public_jobs_topcard-title","Ferrocarrils Generalitat Valenciana","https://es.linkedin.com/company/ferrocarrilsgeneralitatvalenciana?trk=public_jobs_topcard-org-name","FUNCIONES:SOLICITUD Y COORDINACIÓN DE SERVICIOS DE TRANSPORTE CON OPERADORES NACIONALES E INTERNACIONALES.ORGANIZACIÓN Y SEGUIMIENTO DE CARGAS Y DESCARGAS EN CENTROS LOGÍSTICOS INTERNOS Y EXTERNOS.CONTROL Y GESTIÓN DE LA DOCUMENTACIÓN ASOCIADA AL TRANSPORTE (ALBARANES, DI¿S, DOCUMENTACIÓN DE EXPORTACIÓN/IMPORTACIÓN, ETC.).

COMUNICACIÓN CONTINUA CON TRANSPORTISTAS, PROVEEDORES Y PERSONAL INTERNO PARA ASEGURAR EL CUMPLIMIENTO DE PLAZOS.APOYO AL DEPARTAMENTO DE ADMINISTRACIÓN EN TAREAS RELACIONADAS CON BÁSCULA, FACTURACIÓN, CONTROL DOCUMENTAL Y SEGUIMIENTO DE SERVICIOS LOGÍSTICOS.RESOLUCIÓN DE INCIDENCIAS EN TRANSPORTE Y OPERATIVA DIARIA.


 * ADJUNTE SU CV PERSONAL****************Datos de contacto:CÓDIGO DE OFERTA: ************ Si está inscrito en LABORA, tiene que dirigirse al portal Punt LABORA ().
   
   

Si reside fuera de la Comunidad Valenciana, puede postularse enviando su currículo al correo electrónico ****** especificando en el correo su número de DNI/NIE y el número de la oferta ******** como referencia.","162 applicants","Full-time","Entry level","Management","Computer Networking Products","","","","18615709","https://es.linkedin.com/jobs/view/t%C3%A9cnicos-en-gesti%C3%B3n-de-stocks-y-o-almac%C3%A9n-at-ferrocarrils-generalitat-valenciana-4374952149?trk=public_jobs_topcard-title","EASY_APPLY",""
"Técnicos En Integración Social","Valencia, Valencian Community, Spain","2 days ago","2026-02-21","https://es.linkedin.com/jobs/view/t%C3%A9cnicos-en-integraci%C3%B3n-social-at-generalitat-valenciana-4374938427?trk=public_jobs_topcard-title","Generalitat Valenciana","https://es.linkedin.com/company/generalitat-valenciana?trk=public_jobs_topcard-org-name","PSICÓLOGO/A, TRABAJADOR/A SOCIAL, INTEGRADOR/A SOCIAL...

PARA TÉCNICO UNIDAD DE APOYO.

LUNES A VIERNES, DE 8.30 A ***** HORAS.

CONTRAWTO INDEFINIDO 30 H SEMANA.

IMPRESCINDIBLE ADJUNTAR CURRÍCULUM EN FORMATO PDFDatos de contacto:CÓDIGO DE OFERTA: ************ Si está inscrito en LABORA, tiene que dirigirse al portal Punt LABORA ().

Si reside fuera de la Comunidad Valenciana, puede postularse enviando su currículo al correo electrónico ****** especificando en el correo su número de DNI/NIE y el número de la oferta ******** como referencia.","86 applicants","Full-time","Entry level","Education","Textile Manufacturing","","","","1441603","https://es.linkedin.com/jobs/view/t%C3%A9cnicos-en-integraci%C3%B3n-social-at-generalitat-valenciana-4374938427?trk=public_jobs_topcard-title","EASY_APPLY",""
"Recepcionista - Administratiu/va (20h/setmana)","Girona, Catalonia, Spain","1 week ago","2026-02-12","https://es.linkedin.com/jobs/view/recepcionista-administratiu-va-20h-setmana-at-ajuntament-de-girona-4363952544?trk=public_jobs_topcard-title","Ajuntament de Girona","https://es.linkedin.com/company/ajuntament-de-girona?trk=public_jobs_topcard-org-name","Ofertes de feina

Borsa de treball

El Servei Municipal D’Ocupació (SMO) Gestiona Ofertes De Feina Per Empreses Que Ofereixen Llocs De Treball, Que Trobareu Relacionades En Aquest Espai. A Aquests Efectes, Cal Que Tingueu En Compte El Següent


 * Únicament es valoraran les candidatures que arribin per aquest canal.
 * Si no heu trobat cap oferta de feina que encaixi amb el vostre perfil, podeu donar-vos d’alta a la borsa de treball, i us podrem informar de novetats que et puguin interessar.
 * Si sou empresa, publiqueu la vostra oferta de treball. Us podem oferir suport en la definició dels perfils laborals, el reclutament laboral i la preselecció de candidatures.
 * Si sou una empresa també podeu registrar-vos i iniciar sessió a l'aplicació de la borsa de treball per a fer un seguiment de les persones candidates de les ofertes de feina que heu publicat i consultar els seus currículums. En iniciar sessió també podeu donar d'alta ofertes de feina.
 * Les ofertes que es publiquen no són per treballar a l’Ajuntament de Girona. En cas que vulgueu participar en un procés d’oferta pública, heu de consultar-la a través del web de les ofertes públiques d'ocupació, presentar la sol·licitud al registre d'entrada de l'Ajuntament de Girona i seguir les indicacions de les bases de la convocatòria que us interessi i de les notificacions que es vagin publicant a l'e-tauler.","123 applicants","Full-time","Entry level","Administrative","Government Administration","","","","800308","https://web.girona.cat/smo/borsadetreball?idOferta=3823","EXTERNAL",""
"Personal De Limpieza O Limpiadores En General","Valencia, Valencian Community, Spain","1 week ago","2026-02-13","https://es.linkedin.com/jobs/view/personal-de-limpieza-o-limpiadores-en-general-at-generalitat-valenciana-4372002343?trk=public_jobs_topcard-title","Generalitat Valenciana","https://es.linkedin.com/company/generalitat-valenciana?trk=public_jobs_topcard-org-name","BUSCAMOS PERSONAL DE LIMPIEZA PARA REALIZAR TAREAS DE LIMPIEZA EN CASAS PARTICULARES.HORARIO:DE LUNES A VIERNES, EN TURNO DE MAÑANASMEDIA JORNADAFUNCIONES PRINCIPALES:LIMPIEZA GENERAL DEL HOGAR, ORDEN Y MANTENIMIENTO DE ESPACIOS, TAREAS BÁSICAS ASIGNADAS POR CADA DOMICILIOREQUISITOS:CERTIFICADO DE DISCAPACIDAD, RESPONSABILIDAD, PUNTUALIDAD Y BUENA ACTITUD, EXPERIENCIA EN LIMPIEZA (VALORABLE, NO IMPRESCINDIBLE)OFRECEMOS:CONTRATO INICIAL PARA SUSTITUIR BAJA, CON POSIBILIDAD DE INCORPORACIÓN EN LA EMPRESA.APORTAR CV EN PDF.Datos de contacto:CÓDIGO DE OFERTA: ************ Si está inscrito en LABORA, tiene que dirigirse al portal Punt LABORA ().

Si reside fuera de la Comunidad Valenciana, puede postularse enviando su currículo al correo electrónico ****** especificando en el correo su número de DNI/NIE y el número de la oferta ******** como referencia.","42 applicants","Full-time","Entry level","Other","Defense and Space Manufacturing","","","","1441603","https://www.buscojobs.com.es/personal-de-limpieza-o-limpiadores-en-general-ID-335724397?source=linkedin","EXTERNAL",""
"Técnicos En Gestión De Stocks Y/O Almacén","Elche, Valencian Community, Spain","1 week ago","2026-02-15","https://es.linkedin.com/jobs/view/t%C3%A9cnicos-en-gesti%C3%B3n-de-stocks-y-o-almac%C3%A9n-at-generalitat-valenciana-4372342081?trk=public_jobs_topcard-title","Generalitat Valenciana","https://es.linkedin.com/company/generalitat-valenciana?trk=public_jobs_topcard-org-name"," * IMPRESCINDIBLE ADJUNTAR CURRICULUM ***...........................................................................................................................................................................................
   
   

DESCRIPCIÓN DEL PUESTOEMPRESA DEL SECTOR DE ARTES GRÁFICAS INCORPORA UN RESPONSABLE DE ALMACÉN PARA GESTIONAR Y COORDINAR TODAS LAS ACTIVIDADES LOGÍSTICAS, GARANTIZANDO EL CORRECTO FLUJO DE MATERIALES, EL CONTROL DE INVENTARIOS Y LA OPTIMIZACIÓN DE PROCESOS INTERNOS..............................................................................................................................................................................................

FUNCIONESGESTIÓN INTEGRAL DEL ALMACÉN Y SUPERVISIÓN DEL EQUIPO A CARGO.CONTROL DE ENTRADAS Y SALIDAS DE MERCANCÍA.ORGANIZACIÓN Y OPTIMIZACIÓN DEL ESPACIO DE ALMACENAMIENTO.REALIZACIÓN Y SEGUIMIENTO DE INVENTARIOS.COORDINACIÓN CON LOS DEPARTAMENTOS DE PRODUCCIÓN, COMPRAS Y LOGÍSTICA.ASEGURAR EL CUMPLIMIENTO DE PROCEDIMIENTOS INTERNOS Y NORMATIVA DE SEGURIDAD..............................................................................................................................................................................................

REQUISITOSEXPERIENCIA PREVIA EN GESTIÓN DE ALMACENES.CONOCIMIENTOS DE LOGÍSTICA, INVENTARIOS Y HERRAMIENTAS INFORMÁTICAS.VALORABLE EXPERIENCIA EN ENTORNOS INDUSTRIALES.CAPACIDAD ORGANIZATIVA Y DE LIDERAZGO.Datos de contacto:CÓDIGO DE OFERTA: ************ Si está inscrito en LABORA, tiene que dirigirse al portal Punt LABORA ().

Si reside fuera de la Comunidad Valenciana, puede postularse enviando su currículo al correo electrónico ****** especificando en el correo su número de DNI/NIE y el número de la oferta ******** como referencia.","Over 200 applicants","Full-time","Entry level","Management","Textile Manufacturing","","","","1441603","https://es.linkedin.com/jobs/view/t%C3%A9cnicos-en-gesti%C3%B3n-de-stocks-y-o-almac%C3%A9n-at-generalitat-valenciana-4372342081?trk=public_jobs_topcard-title","EASY_APPLY",""
"Vendedor de caballero","Madrid, Community of Madrid, Spain","2 weeks ago","2026-02-06","https://es.linkedin.com/jobs/view/vendedor-de-caballero-4369745320?trk=public_jobs_topcard-title","","https://es.linkedin.com/company/trajes-guzm-n?trk=public_jobs_topcard-org-name","Desde Trajes Guzmán Buscamos Para Nuestra Campaña De Bodas 2026 , Dos Vendedores De Refuerzo De Tienda De Caballero Para Jornada Parcial De

lunes a viernes 17-20 h ( martes libre )

sábados 10-14 y 17-20 h.

Para nuestras tiendas de c/ Alberto Aguilera,16 y C/ Juan bravo,65

Un cordial saludo","Be among the first 25 applicants","Part-time","Not Applicable","Sales and Business Development","Apparel & Fashion","","","","2834628","https://jobtoday.com/es/trabajo/vendedor-de-caballero-7bk0oP?utm_source=linkedin","EXTERNAL",""
