"title","location","postedTime","publishedAt","jobUrl","companyName","companyUrl","description","applicationsCount","contractType","experienceLevel","workType","sector","salary","posterFullName","posterProfileUrl","companyId","applyUrl","applyType","benefits"
"Administrativ@ Comercial","Málaga, Andalusia, Spain","5 days ago","2026-02-19","https://es.linkedin.com/jobs/view/administrativ%40-comercial-at-porcelanosa-4372677868?trk=public_jobs_topcard-title","Porcelanosa","https://es.linkedin.com/company/porcelanosa?trk=public_jobs_topcard-org-name","PORCELANOSA GRUPO

Descripción

En Porcelanosa Grupo contamos con más de 50 años de historia, estamos presentes en más de 140 países alrededor del mundo y somos una marca de referencia a nivel mundial en diseño y calidad de producto. Durante toda nuestra historia hemos estado siempre a la vanguardia de nuestro sector, especializándonos en la fabricación y comercialización de pavimentos y revestimientos cerámicos y naturales.

Nuestro reto siempre es mejorar, por eso queremos incorporar un@ Administrativ@ Comercial en nuestra delegación de Málaga con experiencia demostrada para seguir creciendo y lograr que nuestra marca siga siendo un referente a nivel mundial.

Cuando formes parte de nuestro equipo contarás con una amplia gama de productos de las máximas calidades y de las tecnologías más innovadoras para ayudarte a conseguir tus objetivos. Te ayudaremos a materializar tus proyectos, siendo la confianza que depositamos en nuestros equipos uno de los aspectos más valorados por nuestra amplia plantilla.

Ofrecemos estabilidad, formación y un plan de carrera profesional que te permitirá desarrollar todo tu potencial, pero sobre todo, adquirimos un compromiso mutuo que nos ha ayudado a consolidar el éxito a lo largo de nuestra historia.

¿Quieres formar parte del equipo?

Requisitos Mínimos


 * Profesionales con alta capacidad de planificación, coordinación y resolución de incidencias.
 * Con buenas habilidades en negociación y comunicación.
 * Se valorará positivamente conocimiento de SAP y dominio de paquete Office.","135 applicants","Full-time","Entry level","Administrative and Project Management","Motor Vehicle Manufacturing","","","","64773","https://es.linkedin.com/jobs/view/administrativ%40-comercial-at-porcelanosa-4372677868?trk=public_jobs_topcard-title","EASY_APPLY",""
"Area Manager Madrid Centro","Madrid, Community of Madrid, Spain","3 weeks ago","2026-02-03","https://es.linkedin.com/jobs/view/area-manager-madrid-centro-at-lidl-espa%C3%B1a-4368628503?trk=public_jobs_topcard-title","Lidl España","https://es.linkedin.com/company/lidl-espana?trk=public_jobs_topcard-org-name","Descripción Del Puesto

Introducción

Como Area Manager, serás responsable de impulsar las ventas de un grupo de tiendas, liderando un equipo humano de entre 80 a 100 personas y de gestionar todos los indicadores de rendimiento de tus tiendas.

¿Cómo será tu día a día?


 * Serás responsable de los equipos de tienda: realizar la selección de personal, contratación, formación y desarrollo del equipo.
 * Gestionarás las ventas, garantizando los estándares definidos por la compañía y procedimientos en las tiendas.
 * Implementarás nuevos procedimientos, productos y promociones de venta en tienda.
 * Optimizarás la disponibilidad de productos.
 * Garantizarás un funcionamiento optimizado de las tiendas.
   
   

¿Eres tú la persona que buscamos?


 * Estudios Universitarios finalizados.
 * Experiencia de 2-3 años en gestión de equipos.
 * Nivel alto/nativo de español, mínimo nivel B2-C1 de inglés y valorable de alemán.
 * Iniciativa, proactividad, orientación a personas, pasión por el trabajo en equipo, liderazgo y orientación al logro.
 * Se requiere permiso de conducir.
 * Se valorará experiencia previa en el sector y disponer de movilidad nacional.
   
   

¿Qué te ofrecemos?


 * Un contrato de jornada completa.
 * Un trabajo dinámico en un sector que necesita de la constante innovación y de replantearse el día a día permanentemente.
 * Te facilitamos una formación inicial teórico-práctica adaptada a tu puesto de trabajo junto con un programa específico donde podrás obtener una visión global de la compañía y las distintas áreas. También adquirirás conocimientos transversales en gestión de personas, así como el desarrollo de distintas habilidades que facilitarán el desempeño de tus funciones.
 * Un salario competitivo, beneficios sociales y coche de empresa.
 * Y un equipo como no te imaginas.
   
   

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/","Over 200 applicants","Full-time","Mid-Senior level","Sales","Retail","","","","1282721","https://lidl-stiftung-co-kg.contactrh.com/jobs/12/43945369/es_ES","EXTERNAL",""
"Jefatura De Servicio De La Unidad De Pediatría","Valencia, Valencian Community, Spain","5 days ago","2026-02-18","https://es.linkedin.com/jobs/view/jefatura-de-servicio-de-la-unidad-de-pediatr%C3%ADa-at-generalitat-valenciana-4373355789?trk=public_jobs_topcard-title","Generalitat Valenciana","https://es.linkedin.com/company/generalitat-valenciana?trk=public_jobs_topcard-org-name","GERENCIA DEPARTAMENTO DE SALUD MARINA BAIXA

Desde el Departamento de Salud Marina Baixa de la Generalitat Valenciana se oferta la cobertura de los siguientes puestos:

Jefatura de Servicio de la Unidad de Pediatría del Hospital Marina Baixa.

Cobertura de puesto vacante en la Unidad de Pediatría del hospital Marina Baixa.

Ruego a Los Candidatos Interesados Se Pongan En Contacto a Través De Correo Electrónico En La Siguiente Dirección

Teléfonos de contacto: ********* / *********

#J-*****-Ljbffr","Be among the first 25 applicants","Full-time","Entry level","Health Care Provider","Retail Luxury Goods and Jewelry","","","","1441603","https://www.buscojobs.com.es/jefatura-de-servicio-de-la-unidad-de-pediatria-ID-336846990?source=linkedin","EXTERNAL",""
"Marketing Manager- International","Spain","1 week ago","2026-02-13","https://es.linkedin.com/jobs/view/marketing-manager-international-at-tarte-cosmetics-4372027453?trk=public_jobs_topcard-title","Tarte Cosmetics","https://www.linkedin.com/company/tarte-cosmetics?trk=public_jobs_topcard-org-name","Marketing Manager - International 

Location: Spain (remote)
Scope: EME & SEAPAC 
Team: Marketing  
Reports to: International Marketing Director 

 

About tarte 

tarte™ is the pioneer of high-performance naturals™ and one of the fastest-growing beauty brands in the U.S. Founded nearly 25 years ago by CEO Maureen Kelly, tarte is built on a simple belief: beauty should deliver real results without compromise. 

All products are cruelty-free, formulated without the ""icky"" ingredients (parabens, mineral oil, phthalates, and more), and powered by naturally derived ingredients. The brand is 85% vegan, with 100% vegan skincare, and proudly the #1 concealer brand in the U.S.* 
tarte operates in over 20 countries in-store and ships to 50+ countries worldwide. 

 

The Role 

tarte cosmetics is seeking an experienced International Marketing Manager who will be responsible for collaborating with the Marketing Director to develop, drive & project manage 360 marketing programs for all new product launches & existing core heroes within the product portfolio. In partnership with the team, this role will assist in the execution of launch plans, implementation of strategic marketing initiatives, and creation of marketing assets & content. The ideal candidate is a self-starter, agile, organized, and should possess both analytical and creative skills with the ability to work independently and cross-functionally within the organization & with our Sephora retailer partners. Beauty experience is highly preferred. 

 

Key Responsibilities: 

 * Drives the ideation, execution & project management of 360° marketing plans for new launches by working cross-functionally with teams including Trade Marketing, Digital Marketing, PR, Social, Influencer, Education, Events & our Sephora retail partners. 

 * Develops & refines brand & product messaging, ensuring key messaging is consistent across all customer touchpoints and curated for each market 

 * Lead the localization of marketing copy, & education materials for the international landscape 

 * Develops clear & thoughtful creative briefs for content, trade & social media team to create best-in-class assets 

 * Drives & contributes to content creation process with clear feedback & strategic direction 

 * Lead the understanding, execution, and optimization of paid media campaigns (digital, social, retail media), in collaboration with internal and external partners. 

 * Support international retail, PR, influencer, and event initiatives 

 * Secure and optimize marketing support across Sephora channels (media, CRM, social, in-store, digital). 

 * Support the development and activation of CRM strategies in partnership with Sephora, focused on recruitment, retention, and engagement. 

 * Manage international marketing calendars, timelines, and cross-functional deliverables 

 * Analyzes sales data, industry trends, product reviews, and competitive research to identify actionable insight 

 * Manage international marketing calendars, timelines, and cross-functional deliverables 

 

 

Profile 

 * 5-7+ years of marketing experience, preferably in beauty, fashion, or consumer goods 

 * Proven experience managing international markets and go-to-market processes 

 * Strong project management and cross-functional collaboration skills 

 * Strong understanding of paid media, performance marketing, and campaign optimization 

 * Experience of working closely with retail marketing teams, ideally Sephora 

 * Highly organized, detail-oriented, and deadline-driven 

 * Advanced proficiency in Excel (analysis, tracking, reporting) and PowerPoint (clear, executive-ready decks) 

 * Ability to balance global strategy with local market needs, and comfortable managing multiple markets simultaneously 

 * excellent communication skills, fluent in English (written and spoken) ","Over 200 applicants","Full-time","Mid-Senior level","Marketing and Sales","Personal Care Product Manufacturing","","Amanda Viglianti","https://www.linkedin.com/in/amanda-viglianti-74a074124","1551516","https://es.linkedin.com/jobs/view/marketing-manager-international-at-tarte-cosmetics-4372027453?trk=public_jobs_topcard-title","EASY_APPLY",""
"Area Manager Madrid Sur y Castilla La Mancha","Madrid, Community of Madrid, Spain","2 weeks ago","2026-02-09","https://es.linkedin.com/jobs/view/area-manager-madrid-sur-y-castilla-la-mancha-at-lidl-espa%C3%B1a-4370361453?trk=public_jobs_topcard-title","Lidl España","https://es.linkedin.com/company/lidl-espana?trk=public_jobs_topcard-org-name","Descripción Del Puesto

Introducción

Como Área Manager, serás responsable de impulsar las ventas de un grupo de tiendas, liderando un equipo humano de entre 80 a 100 personas y de gestionar todos los indicadores de rendimiento de tus tiendas.

Tus tareas


 * Ser responsable de los equipos de tienda: realizar la selección de personal, contratación, formación y desarrollo del equipo.
 * Gestionar las ventas, garantizando los estándares definidos por la compañía y procedimientos en las tiendas.
 * Implementar nuevos procedimientos, productos y promociones de venta en tienda.
 * Optimizar la disponibilidad de productos.
 * Garantizar un funcionamiento optimizado de las tiendas.
   
   

Tu perfil


 * Estudios Universitarios finalizados.
 * Experiencia de 2-3 años en gestión de equipos.
 * Nivel alto/nativo de español, mínimo nivel B2 de alemán y/o inglés mínimo C1.
 * Iniciativa, proactividad, orientación a personas, pasión por el trabajo en equipo, liderazgo y orientación al logro.
 * Se requiere permiso de conducir.
 * Se valorará experiencia previa en el sector y disponer de movilidad nacional.
   
   

Qué te ofrecemos


 * Un contrato de jornada completa.
 * Un trabajo dinámico en un sector que necesita de la constante innovación y de replantearse el día a día permanentemente.
 * Te facilitamos una formación inicial teórico-práctica adaptada a tu puesto de trabajo junto con un programa específico donde podrás obtener una visión global de la compañía y las distintas áreas. También adquirirás conocimientos transversales en gestión de personas, así como el desarrollo de distintas habilidades que facilitarán el desempeño de tus funciones.
 * Un salario competitivo, beneficios sociales y coche de empresa.
 * Y un equipo como no te imaginas.
   
   

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/","Over 200 applicants","Full-time","Mid-Senior level","Sales","Retail","","","","1282721","https://es.linkedin.com/jobs/view/area-manager-madrid-sur-y-castilla-la-mancha-at-lidl-espa%C3%B1a-4370361453?trk=public_jobs_topcard-title","EASY_APPLY",""
"Administrativ@ Comercial","Seville, Andalusia, Spain","5 days ago","2026-02-19","https://es.linkedin.com/jobs/view/administrativ%40-comercial-at-porcelanosa-4372694118?trk=public_jobs_topcard-title","Porcelanosa","https://es.linkedin.com/company/porcelanosa?trk=public_jobs_topcard-org-name","PORCELANOSA GRUPO

Descripción

En Porcelanosa Grupo contamos con más de 50 años de historia, estamos presentes en más de 140 países alrededor del mundo y somos una marca de referencia a nivel mundial en diseño y calidad de producto. Durante toda nuestra historia hemos estado siempre a la vanguardia de nuestro sector, especializándonos en la fabricación y comercialización de pavimentos y revestimientos cerámicos y naturales.

Nuestro reto siempre es mejorar, por eso queremos incorporar un@ Administrativ@ Comercial en nuestra delegación de Sevilla con experiencia demostrada para seguir creciendo y lograr que nuestra marca siga siendo un referente a nivel mundial.

Cuando formes parte de nuestro equipo contarás con una amplia gama de productos de las máximas calidades y de las tecnologías más innovadoras para ayudarte a conseguir tus objetivos. Te ayudaremos a materializar tus proyectos, siendo la confianza que depositamos en nuestros equipos uno de los aspectos más valorados por nuestra amplia plantilla.

Ofrecemos estabilidad, formación y un plan de carrera profesional que te permitirá desarrollar todo tu potencial, pero sobre todo, adquirimos un compromiso mutuo que nos ha ayudado a consolidar el éxito a lo largo de nuestra historia.

¿Quieres formar parte del equipo?

Requisitos Mínimos


 * Profesionales con alta capacidad de planificación, coordinación y resolución de incidencias.
 * Con buenas habilidades en negociación y comunicación.
 * Se valorará positivamente conocimiento de SAP y dominio de paquete Office.","Over 200 applicants","Full-time","Entry level","Administrative and Project Management","Motor Vehicle Manufacturing","","","","64773","https://es.linkedin.com/jobs/view/administrativ%40-comercial-at-porcelanosa-4372694118?trk=public_jobs_topcard-title","EASY_APPLY",""
"Profesores Universitarios Claustro Internacional Facultad de Artes y Ciencias Sociales - Curso 2025-2026","Spain","2 weeks ago","2026-02-09","https://es.linkedin.com/jobs/view/profesores-universitarios-claustro-internacional-facultad-de-artes-y-ciencias-sociales-curso-2025-2026-at-unir-universidad-internacional-de-la-rioja-4370219243?trk=public_jobs_topcard-title","UNIR | Universidad Internacional de La Rioja","https://es.linkedin.com/school/college-of-nursing-calcutta-national-medical-college/?trk=public_jobs_topcard-org-name","🎓 ¡Únete al claustro docente de UNIR!

En UNIR, la Universidad en Internet, apostamos por la educación online de calidad y la innovación digital. Con más de 100.000 estudiantes, 15 años de experiencia y un equipo docente nacional e internacional, somos líderes en formación superior en español.

Si te apasiona la educación universitaria y su transformación tecnológica, este es tu proyecto.

De cara al curso 25-26, buscamos incorporar nuevos docentes en UNIR España, desde diferentes localizaciones y países para unirse a nuestro claustro en la Facultad de Ciencias Sociales en las siguientes áreas: Sociología, Trabajo Social, Educación Social, Politólogos, Antropólogos, Economistas, Artes Escénicas, Literatura, Filosofía, Fotografía, Comunicación, Traducción, Arte, Historia, Geografía, Escritura, Gestión cultural, Música , Musicoterapia, Teatro.

💡 ¿Qué te ofrecemos?


 * Flexibilidad total con colaboración 100% online con diferente disponibilidad.
 * Acompañamiento diario en tus funciones docentes.
 * Desarrollo profesional en una institución innovadora y en pleno crecimiento.
 * Materiales y contenidos en constante actualización.
   
   

🔍 Responsabilidades


 * Dirección y tutoría de Trabajos Fin de Grado (TFG) y Trabajos Fin de Máster (TFM).
 * Elaboración, supervisión y corrección de exámenes y actividades evaluativas.
 * Impartición de clases y seguimiento académico en titulaciones de Grado y/o Postgrado.
 * Materiales y contenidos en constante actualización.
   
   

🎯 Requisitos


 * Experiencia docente o profesional.
 * Titulación en el área de especialización.
 * Competencias digitales y pasión por la enseñanza.
   
   

Requisitos Recomendables


 * Contar con experiencia profesional en el área de especialización.
 * Estar en posesión de un Grado/Licenciatura/Doctorado.
   
   

⌛Plazos

Las candidaturas para esta convocatoria se aceptarán hasta el 28 de febrero. La colaboración comenzará entre los meses de febrero y abril.

🚀 ¡Forma parte de UNIR! 📩 Aplica ahora y da el siguiente paso en tu carrera académica.

UNIVERSIDAD INTERNACIONAL DE LA RIOJA, S.A.U. (en adelante, ""UNIR""), como entidad integrante del Grupo PROEDUCA, tratará los datos de carácter personal que usted ha proporcionado con la finalidad de: gestionar tu participación en procesos de selección, valorar tu perfil y, si encaja con otras vacantes, compartirlo con otras empresas del Grupo.

La información detallada sobre el tratamiento de tus datos personales está disponible en el texto legal que acompaña al formulario de inscripción. Usted podrá revocar el consentimiento otorgado, así como ejercitar los derechos reconocidos en los artículos 15 a 22 del Reglamento (UE) 2016/679, mediante solicitud dirigida en Av. de la Paz, 137, 26006, Logroño, o a la siguiente dirección de correo electrónico ppd@unir.net, identificándose debidamente. Si lo desea, puede consultar información adicional y detallada sobre protección de datos en el siguiente enlace.

El Grupo EDUCATIVO está firmemente comprometido con la igualdad de oportunidades y la diversidad, logrando con ello crear un entorno libre de toda discriminación.

PDI España

","102 applicants","Full-time","Mid-Senior level","Education and Training","Higher Education","","","","15104811","https://es.linkedin.com/jobs/view/profesores-universitarios-claustro-internacional-facultad-de-artes-y-ciencias-sociales-curso-2025-2026-at-unir-universidad-internacional-de-la-rioja-4370219243?trk=public_jobs_topcard-title","EASY_APPLY",""
"Subgobernanta/e","Málaga, Andalusia, Spain","2 days ago","2026-02-22","https://es.linkedin.com/jobs/view/subgobernanta-e-at-catalonia-hotels-resorts-4376354708?trk=public_jobs_topcard-title","Catalonia Hotels & Resorts","https://es.linkedin.com/company/cataloniahotels?trk=public_jobs_topcard-org-name","Catalonia Hotels & Resorts es una cadena hotelera multinacional. Es una de las principales cadenas hoteleras de nuestro país, contando actualmente con 75 establecimientos situados en más de 20 destinos diferentes y en plena expansión

Estamos en búsqueda de un/a Subgobernanta/e para incorporarse en nuestro hotel del centro de Málaga.

Objetivo principal: Ejecutar de manera cualificada, autónoma y responsable, las tareas relativas a los pisos, áreas públicas, áreas internas, lencería y lavandería.

Las Principales Tareas a Desarrollar Son Las Siguientes


 * Revisar todas las habitaciones de salida y hacer muestreo de las de cliente
 * Planificar el trabajo diario del Departamento de Pisos con la hoja de control
 * Planificar horarios de las camareras de pisos
 * Control de la ropa de la lavandería externa
 * Control de la ropa de la lavandería interna (ropa de los clientes)
 * Encargada de inscribir las averías en el libro de averías, y comunicarlas a recepción
 * Cuadrar el rack de habitaciones con recepción
 * Coordinación con el departamento de recepción para atender a las peticiones especiales de los clientes
 * Formar a las nuevas incorporaciones en el departamento de pisos
 * Supervisar la limpieza general del hotel (todas las áreas)
 * Responsable del procedimiento de prevención de legionella:
 * Responsable de guardar los objetos olvidados por los clientes y llevar su control mediante un libro.
 * Control de las caducidades de los productos del minibar
 * Encargada de seleccionar a las nuevas incorporaciones para su plantilla
   
   

REQUISITOS


 * Experiencia de 3 a 5 años en un departamento de pisos
 * Organización, Metodicismo, Capacidad de liderazgo, Detallismo, Meticulosidad
 * Inglés medio.
   
   

SE OFRECE


 * Posición estable.
 * Formación y crecimiento profesional.
 * Salario competitivo y beneficios sociales.
 * Incorporación en una de las cadenas de referencia en el sector.","Be among the first 25 applicants","Temporary","Not Applicable","Other","Hospitality","","","","74645","https://es.linkedin.com/jobs/view/subgobernanta-e-at-catalonia-hotels-resorts-4376354708?trk=public_jobs_topcard-title","EASY_APPLY",""
"","","","2026-02-11","","","","","","","","","","","","","","","EASY_APPLY",""
"Personal Auxiliar Administrativa Comercial I Gestió De Magatzem","Barcelona, Catalonia, Spain","6 days ago","2026-02-17","https://es.linkedin.com/jobs/view/personal-auxiliar-administrativa-comercial-i-gesti%C3%B3-de-magatzem-at-ajuntament-de-rub%C3%AD-4372898750?trk=public_jobs_topcard-title","Ajuntament de Rubí","https://es.linkedin.com/company/ajuntament-de-rubi?trk=public_jobs_topcard-org-name","El Servei d'Inserció de Rubí Forma precisa personal auxiliar administratiu comercial i gestió de magatzem, amb horari de dilluns a dijous de 8 a 17 h i divendres de 8 a 14 h; i amb ubicació a Rubí.

Informem que les persones interessades en aquesta oferta seran contactades pel nostre centre RUBÍ FORMA mitjançant correu electrònic per tal de vehicular la candidatura amb la gestió d'aquesta oferta de treball.

Ubicación: BARCELONA – VALLÈS OCCIDENTAL – ***** RUBI

Detall de les funcions del lloc de treball

Tasques pròpies d'un auxiliar administratiu, incloent atenció al client i proveïdors.

La persona també dedicarà part de la jornada a atendre el magatzem.

Condicions del lloc de treball

Contrato laboral indefinido

Jornada completa

Requeriments mínims

Experienca 3 años.

Persona amb experiència administrativa (mínim 3 anys)

CFGS de l'àmbit de l'Administració o la Logística

Inglés (hablado Superior, escrito Superior)

Competencias / conocimientos: Persona amb experiència administrativa (mínim 3 anys) i amb un bon perfil comercial, ja que gestionarà part de l'atenció al client i al proveïdor.

Coneixements sòlids d'anglès, atès que haurà de comunicar-se amb alguns proveïdors estrangers.

Molt valorable que tingui el carnet de carretoner.

Es valorarà que la persona candidata tingui ambició per progressar i bona actitud vers l'aprenentatge, amb la intenció d'evolucionar dins l'empresa i assumir més responsabilitats en un futur.

Domini d'Office, especialment Outlook.

Com inscriure's a la formació?

Inscriure's Al Link

Persona de contacte:

Rosa

Email

#J-*****-Ljbffr","49 applicants","Full-time","Entry level","Administrative","Motor Vehicle Manufacturing","","","","1074112","https://www.buscojobs.com.es/personal-auxiliar-administrativa-comercial-i-gestio-de-magatzem-ID-336424761?source=linkedin","EXTERNAL",""
