Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Repartidor/A De Paqueteria En A Coruña Y Santiago De Compostela,Gi Group Holding,España,No especificado,24 horas,"3,5","Desde Gi Group, la firma de servicios de trabajo temporal y permanent placement de Gi Group Holding, multinacional italiana líder en soluciones de Recursos Humanos, estamos convencidos de que podemos ayudarte a encontrar tu trabajo ideal. Es sencillo, cuidamos de ti y nos preocupamos por potenciar tu carrera profesional.


Actualmente, desde la delegación de A CORUÑA nos encontramos en busca de REPARTIDOR/A, para A CORUÑA y SANTIAGO DE COMPOSTELA


Si te gusta conducir y tienes ganas de un nuevo reto, esta es tu oportunidad.


Te contamos los principales requerimientos y otras habilidades de la posición:


Vehículo propio para acceder a los centros logísticos
Carnet de conducir con minimo 8 puntos
Disponibilidad total e inmediata


Y por nuestra parte, ¿qué podemos ofrecerte?

Contratos temporales con posibilidad de renovación y de pasar a la plantilla de la empresa
Jornadas completa de lunes a domingo con dos días rotativos de descanso

Y bien, ¿estás preparad@? Una oportunidad laboral de calidad y un trato personalizado y cercano te están esperando.


¡Inscríbete a la oferta y únete al equipo Gi Group! Te estamos esperando porque #NuestroCompromisoEresTú.


En cumplimiento de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, le informamos de que sus datos personales forman parte de un fichero propiedad de Gi Group Spain ETT S.L.U. y son tratados con la única finalidad de mantener la relación adquirida con usted. Puede ejercitar sus derechos de acceso, rectificación, cancelación y oposición dirigiéndose por escrito a Paseo de la Castellana, 89, 5º Planta, 28046, Madrid.",A Coruña,Todos
Puestos vacantes: Técnico/a Operación CCO (La Coruña) (12987),Naturgy,España,No especificado,+ 30 d,"3,5","Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta.
Buscamos talento joven, digital, flexible y creativo. Conecta con nosotros tus ganas de aprender y de trabajar en equipos diversos. Buscamos tu proactividad y valentía para impulsar nuestra transformación y la del mundo, a través de la energía.
¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!


Dentro de Generación Renovable, buscamos talento en el equipo de Operaciones España para nuestros proyectos internacionales de Naturgy Renovables. Como Técnico/a Operación CCO serás parte de este reto ilusionante de crecimiento y expansión.
Además, formarás parte de nuestro Plan de Transformación y podrás impulsar tu desarrollo en entornos ágiles y colaborativos, dentro de una cultura de aprendizaje continuo.


Los retos de tu día a día estarán orientados a:
Operación y control remoto de instalaciones eléctricas y plantas renovables, gestionando maniobras e incidencias hasta su normalización.
Gestión operativa en tiempo real, coordinando maniobras, descargos y equipos locales con criterios de seguridad, calidad y plazo.
Planificación y optimización de la producción, minimizando desvíos y penalizaciones mediante previsión y coordinación operativa.
Gestión de emergencias y situaciones extraordinarias, actuando como centro coordinador ante incidencias y fenómenos adversos.
Reporting y mejora continua, asegurando la calidad de la información, el análisis de incidencias y la evolución de los sistemas de control.


Lo que necesitas:
Titulación académica:
Ingeniería eléctrica, mecánica, industrial, energía o similar. Se compensará la falta de Formación académica obligatoria con experiencia en puestos similares mínima demostrable de más de 3 años en áreas de Operación de Centro de Control.
Requisitos obligatorios:
1 a 3 años en trabajo de campo en el negocio de electricidad y/o generación.
Disponibilidad para trabajar en jornada a turnos -Turno Rotativo Regular (TRR)
Requisitos Valorables:
Formación en operación remota desde salas de control, plantas de generación renovable y redes eléctricas.
Experiencia en operación remota en plantas de tecnología eólica, fotovoltaica, instalaciones de cogeneración y otras de origen renovable.
Conocimiento en SCADA, automatización, comunicaciones, arquitecturas de control, lógicas de funcionamiento, ciberseguridad.
Conocimiento en modos de funcionamiento, esquemas eléctricos, de control, de plantas de generación.
Conocimiento básico en mercado eléctrico y en modelos de previsiones meteorológicas y su aplicación en las plantas de generación.
Conocimientos en turbinas, generadores, circuitos y equipos proceso, esquemas eléctricos y de interconexión.


Lo que ofrecemos:
Ambiente que promueve la diversidad e igualdad
Programa formativo y de desarrollo
Compromiso con la conciliación y la flexibilidad
Espíritu innovador en un entorno retador y motivador
Retribución competitiva, beneficios y compensación flexible


Contamos contigo en nuestras oficinas de La Coruña.


¿Te apuntas al desafío?
Rellena el formulario con tus datos. Para completar el perfil, te recomendamos adjuntar tu CV actualizado y certificado de inglés.
Si cumples el perfil, contactaremos contigo para participar en las diferentes pruebas y entrevistas.
Si avanzas con éxito en el proceso ¡te damos la bienvenida al equipo Naturgy!


¡Inscríbete y atrévete a impulsar tu energía y acelerar tu futuro con Naturgy!",A Coruña,Todos
Técnico/a Operación CCO (La Coruña),Naturgy,España,No especificado,+ 30 d,"3,5","Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta.

Buscamos talento joven, digital, flexible y creativo. Conecta con nosotros tus ganas de aprender y de trabajar en equipos diversos. Buscamos tu proactividad y valentía para impulsar nuestra transformación y la del mundo, a través de la energía.

¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!




Dentro de Generación Renovable, buscamos talento en el equipo de Operaciones España para nuestros proyectos internacionales de Naturgy Renovables. Como Técnico/a Operación CCO serás parte de este reto ilusionante de crecimiento y expansión.

Además, formarás parte de nuestro Plan de Transformación y podrás impulsar tu desarrollo en entornos ágiles y colaborativos, dentro de una cultura de aprendizaje continuo.




Los retos de tu día a día estarán orientados a:

Operación y control remoto de instalaciones eléctricas y plantas renovables, gestionando maniobras e incidencias hasta su normalización.
Gestión operativa en tiempo real, coordinando maniobras, descargos y equipos locales con criterios de seguridad, calidad y plazo.
Planificación y optimización de la producción, minimizando desvíos y penalizaciones mediante previsión y coordinación operativa.
Gestión de emergencias y situaciones extraordinarias, actuando como centro coordinador ante incidencias y fenómenos adversos.
Reporting y mejora continua, asegurando la calidad de la información, el análisis de incidencias y la evolución de los sistemas de control.



Lo que necesitas:

Titulación académica:
Ingeniería eléctrica, mecánica, industrial, energía o similar. Se compensará la falta de Formación académica obligatoria con experiencia en puestos similares mínima demostrable de más de 3 años en áreas de Operación de Centro de Control.
Requisitos obligatorios:
1 a 3 años en trabajo de campo en el negocio de electricidad y/o generación.
Disponibilidad para trabajar en jornada a turnos -Turno Rotativo Regular (TRR)
Requisitos Valorables:
Formación en operación remota desde salas de control, plantas de generación renovable y redes eléctricas.
Experiencia en operación remota en plantas de tecnología eólica, fotovoltaica, instalaciones de cogeneración y otras de origen renovable.
Conocimiento en SCADA, automatización, comunicaciones, arquitecturas de control, lógicas de funcionamiento, ciberseguridad.
Conocimiento en modos de funcionamiento, esquemas eléctricos, de control, de plantas de generación.
Conocimiento básico en mercado eléctrico y en modelos de previsiones meteorológicas y su aplicación en las plantas de generación.
Conocimientos en turbinas, generadores, circuitos y equipos proceso, esquemas eléctricos y de interconexión.



Lo que ofrecemos:

Ambiente que promueve la diversidad e igualdad
Programa formativo y de desarrollo
Compromiso con la conciliación y la flexibilidad
Espíritu innovador en un entorno retador y motivador
Retribución competitiva, beneficios y compensación flexible



Contamos contigo en nuestras oficinas de La Coruña.




¿Te apuntas al desafío?

Rellena el formulario con tus datos. Para completar el perfil, te recomendamos adjuntar tu CV actualizado y certificado de inglés.
Si cumples el perfil, contactaremos contigo para participar en las diferentes pruebas y entrevistas.
Si avanzas con éxito en el proceso ¡te damos la bienvenida al equipo Naturgy!


¡Inscríbete y atrévete a impulsar tu energía y acelerar tu futuro con Naturgy!",A Coruña,Todos
Técnico/a frigorista para puesta en marcha,Grupo Nortempo,España,25 mil € - 30 mil € (Proporcionado por la empresa),8 días,"3,5","Desde Nortempo Selección estamos seleccionando para una de nuestras empresas cliente referente en instalaciones y mantenimiento de sistemas de frío comercial, industrial y climatización un/a: Técnico/a de montaje puesta en marcha de instalaciones frigoríficas ubicada en los alrededores de A Coruña.

La persona seleccionada participará en proyectos de instalaciones de alta complejidad, asegurando el correcto montaje, puesta en marcha y mantenimiento de sistemas frigoríficos.

Funciones:

Montaje y mantenimiento de instalaciones frigoríficas.
Realización de trabajos eléctricos relacionados con sistemas de refrigeración.
Instalación y configuración de componentes eléctricos y de control en sistemas frigoríficos.
Puesta en marcha de las instalaciones frigoríficas, verificando su correcto funcionamiento.
Diagnóstico y resolución de problemas en sistemas de refrigeración.
Ajustes y calibraciones técnicas de equipos de refrigeración.
Tareas técnicasy de montaje en proyectos asignados.

Requisitos


- Formación en Frío y Climatización, Mantenimiento de instalaciones térmicas y de fluidos, Electricidad o similar. - Carné de Manipulación de Gases Fluorados en vigor. - Experiencia mínima 5 años en instalación y puesta en marcha de sistemas frigoríficos. - Experiencia en ajustes, parámetros y calibración de equipos. - Autonomía, capacidad de diagnóstico y orientación al cliente. - Disponibilidad para desplazarse y pernoctar fuera cuando sea necesario. - Capacidad de aprendizaje y participación en proyectos de instalaciones de alta complejidad. - Carné de conducir. - Incorporación inmediata. Se valora positivamente conocimientos en: - Reglamento de Instalaciones Térmicas en los Edificios. - Soldadura. - Formación PRL metal. - Experiencia en CO₂. - Refrigerantes naturales.


Se ofrece


- Estabilidad: contrato indefinido. - Jornada laboral de 9:00 a 14:00 y de 15:30 a 18:00h. - Retribución: negociable en función de la experiencia y valía + dietas (se comenta en entrevista). - Oportunidades de desarrollo profesional en un entorno dinámico y en crecimiento. - Formación a cargo de la empresa. Si cumples con los requisitos y estás interesado/a en esta oportunidad laboral, no dudes inscríbete. ¡Te esperamos!

Requisitos

Formación en Frío y Climatización, Mantenimiento de instalaciones térmicas y de fluidos, Electricidad o similar.
Carné de Manipulación de Gases Fluorados en vigor.
Experiencia mínima 5 años en instalación y puesta en marcha de sistemas frigoríficos.
Experiencia en ajustes, parámetros y calibración de equipos.
Autonomía, capacidad de diagnóstico y orientación al cliente.
Disponibilidad para desplazarse y pernoctar fuera cuando sea necesario.
Capacidad de aprendizaje y participación en proyectos de instalaciones de alta complejidad.
Carné de conducir.
Incorporación inmediata. Se valora positivamente conocimientos en:
Reglamento de Instalaciones Térmicas en los Edificios.
Soldadura.
Formación PRL metal.
Experiencia en CO₂.
Refrigerantes naturales.

Estudios mínimos Máster
Experiencia mínima Más de 5 años
Se Ofrece

Estabilidad: contrato indefinido.
Jornada laboral de 9:00 a 14:00 y de 15:30 a 18:00h.
Retribución: negociable en función de la experiencia y valía + dietas (se comenta en entrevista).
Oportunidades de desarrollo profesional en un entorno dinámico y en crecimiento.
Formación a cargo de la empresa. Si cumples con los requisitos y estás interesado/a en esta oportunidad laboral, no dudes inscríbete. ¡Te esperamos!",A Coruña,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"3,5","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en A Coruña, A Coruña provincia",A Coruña,Todos
VENDEDOR/A MATERIALES DE INTERIOR,Schmidt,Teo,No especificado,27 días,"3,5","SOBRE NOSOTROS

Una gran familia donde crecer y alcanzar el éxito

Somos el fabricante francés de equipamiento para el hogar líder en el sector, con una red de más de 500 tiendas en todo el mundo. Esto es posible gracias a que todos los que hacemos Schmidt cada día compartimos una misma pasión, crear soluciones reales y de calidad.

Trabajar en Schmidt no significa solo vender mobiliario. Desde cualquiera de nuestras tiendas, marcarás la diferencia en la vida de nuestros clientes, creando vínculos estrechos y desarrollando tu carrera junto a grandes profesionales. Para ello contarás con cursos formativos y oportunidades de movilidad y crecimiento dentro de la compañía.




Formar parte del equipo de diseño y ventas significa hacer realidad los sueños de nuestros clientes.

En Schmidt, tu cometido será diseñar y vender proyectos hechos a medida, ofreciendo un servicio personalizado y haciendo felices a tus clientes.


¿CÓMO ES SER VENDEDOR/A EN SCHMIDT?

Ser Vendedor/a-Diseñador/a en Schmidt es un puesto muy dinámico, no solo te dedicarás al ámbito de ventas, sino también diseño, gestión de clientes y gestión de proyectos. Manejarás tus proyectos de principio a fin.

Darás la bienvenida a tus clientes, escucharás sus necesidades con atención y serás capaz de proponerles ideas creativas. Desde la primera vez que acudan a la tienda, construirás con el cliente el proyecto que mejor se adapte a sus necesidades.


¿A QUIÉN BUSCAMOS?

Como Vendedor/a-Diseñador/a, necesitarás ser un/a buen/a administrador/a de proyectos, apasionado por el trato al cliente, con capacidad de escucha y siempre dispuesto a ofrecer soluciones creativas y personalizadas.

Buscamos a una persona creativa que esté tan entusiasmada como el propio cliente para transformar su hogar.

La persona indicada para este puesto contará con:

Experiencia demostrable como vendedor/a de mínimo 2 años, preferiblemente en venta de mobiliario.
Perfil comercial y dinámico. Persona acostumbrada a trabajar por objetivos de lunes a sábado o en los horarios comerciales de la zona ofertada.
Informática a nivel usuario.
Permiso de conducción.
Vehículo propio.
Nivel estudios mínimos Bachillerato o similar. Se valorarán idiomas (inglés, francés).
Indispensable residencia en la provincia de la oferta.

¡Empieza tu nueva aventura en Schmidt!

ÚNETE AL EQUIPO

¿Quieres saber más? Visita nuestra web y descubre todas las ofertas que tenemos para ti.


Buscamos personas dinámicas, con iniciativa y ambición!!

Será imprescindible experiencia en ventas y en el sector de materiales de construcción.

La persona que incorporemos, venderá materiales y mobiliario, además de ser la responsable de coordinar las diferentes fases de ejecución de los proyectos.

Nuestro RETO, crear ESPACIOS DE VIDA.",A Coruña,Todos
Auxiliar a domicilio (Concello Porto do Son),Serunion,España,No especificado,15 días,"3,5","Descripción:

Si eres un/a apasionado/a de las personas, esta oferta es para ti.

En Serunion, empresa de restauración colectiva con más de 30 años de experiencia en el sector y líder en el mercado, buscamos a un/a Auxiliar a domicilio con experiencia demostrable, para incorporar a uno de nuestros centros en Concello Porto Do Son. Buscamos construir un equipo diverso e inclusivo, valorando y respetando la diversidad y comprometidos con la igualdad de oportunidades en el acceso al empleo y desarrollo profesional.

¿Quiénes somos?

En Attende Care (Empresa de Atención y Asistencia para personas con dependencia en el domicilio) ,sociedad del grupo Serunion, trabajamos para que las personas dependientes puedan llevar una vida mejor en su propio hogar, manteniendo su autonomía en su entorno familiar el mayor tiempo posible. Por que… ¿dónde van a estar mejor que en casa? Nuestro equipo humano, formado por personas comprometidas que se focalizan en la constancia, cercanía, empatía y sensibilidad, trabajan sobre 4 áreas básicas de actuación:

Atención Personal
Acompañamiento
Tareas Domésticas
Tareas Terapéuticas

Buscamos incorporar personal Auxiliar con la tarea esencial a llevar a cabo de garantizar el bienestar integral de los/as usuarios/as, asistiéndoles y ayudándoles en las actividades básicas de la vida diaria, promoviendo su máxima autonomía, la actividad física y cognitiva, su autoestima y valoración de sí mismo/a, hábitos de cuidados personales, estilos de vida saludables y potenciando sus relaciones sociales.

¿Qué ofrecemos?

Contrato estable (indefinido).
Jornada completa.
Salario acorde al convenio Galicia según categoría.
Formar parte de una compañía líder que valora y recompensa el esfuerzo y dedicación de sus trabajadores/as: plan de formación continua, beneficios sociales, desarrollo profesional.

¿Estás interesado/a?

¡Inscríbete en nuestra oferta!

Queremos construir un equipo diverso y comprometido, donde todas las personas tengan la oportunidad de desarrollar su potencial y contribuir al éxito de nuestra empresa. ¡Te animamos a que te postules y seas parte de nuestro equipo inclusivo!

Requisitos:

Formación: Ciclo de Formación profesional de Grado Medio en Auxiliar de Enfermería o Auxiliar de Clínica, Formación Profesional de Grado Medio en Atención Sociosanitaria a Personas en Situación de Dependencia, Certificado de Profesionalidad en Atención Sociosanitaria a Personas Dependientes en Instituciones Sociales o Certificado de Profesionalidad en Atención Sociosanitaria a Personas en el Domicilio.
Preferiblemente residencia en Porto do Son o alrededores.
Indispensable vehículo para desplazamientos.
Incorporación inmediata.",A Coruña,Todos
Conductor/a – Padrón (A Coruña),PreZero,España,No especificado,21 días,"3,5","¿Quiénes somos?

En PreZero España ofrecemos soluciones de última generación en servicios urbanos esenciales, tratamiento de residuos y economía circular.

Somos la división medioambiental del Grupo internacional Schwarz, que también incluye las empresas Lidl y Kaufland, así como Schwarz Produktion y Schwarz Digits, con más de 575. 000 empleados y presencia en 32 países.

En PreZero hemos sido galardonados con la certificación TOP Employer 2023, 2024 y 2025, que nos reconoce como una de las mejores compañías para trabajar en España. Participamos activamente en la transición hacia una economía circular a través de soluciones innovadoras para la reducción, reutilización y el reciclaje de residuos. PreZero afianza su compromiso hacia el residuo zero en LaLiga española, convirtiendo San Moix (RCD Mallorca) en el primer estadio residuo zero de España.

¿En qué consiste el puesto?

Desde la Dirección de Negocio Industrial, buscamos incorporar a un/a Conductor/a en Padrón (A Coruña), cuya misión principal será conducir el camión de residuos hospitalarios.

Funciones


Conducir el camión de residuos hospitalarios.
Recogida en las áreas sanitarias de Galicia.
Retorno a Padrón.
Peso de cubos en origen.
Descarga en el destino.
¿Qué buscamos?


Formación: Educación Secundaria Obligatoria
Formación complementaria: Carnet de conducir camión y ADR
Experiencia: No se requiere experiencia
Perfil actitud proactiva, innovación, colaboración, autonomía, capacidad de comunicación y de análisis y polivalencia.
¿Qué te ofrecemos?


Contrato: Indefinido
Horario: de 6:00h a 14:00h
Jornada completa.
Desarrollo y proyección profesional.
Formación continua a través de diferentes proyectos (Cursos internos, externos, voluntariados, etc. ).
Experiencia trabajando con los mejores profesionales del sector.
Formar parte de un equipo que respeta el medioambiente, se preocupa por la sostenibilidad y la economía circular, fomentando el reciclaje para tener un planeta más limpio. Donde unos ven residuos, nosotros vemos recursos.
Si te gustan los retos y cumples con el perfil no dudes en inscribirte a nuestra oferta.

¡Te estamos esperando!

PREZERO en todos sus procesos de selección, acceso al empleo y promoción de personal garantiza, sigue y respeta, en todo momento, el derecho a la igualdad de trato y de oportunidades entre mujeres y hombres, así como el principio de no discriminación y la diversidad; promoviendo proactivamente en la organización un entorno laboral libre de discriminación de cualquier tipo y en donde las personas pueden crecer profesionalmente en función de su valía y potencial y sin que se tenga en consideración, en ningún caso, la raza o etnia, el color, el estado civil, la religión o convicciones, las ideas políticas, la edad, la nacionalidad, el sexo, la orientación o condición sexual, la identidad de género, la discapacidad o cualquier otra circunstancia de carácter personal.",A Coruña,Todos
Responsable Técnico – Arquitecto/Aparejador (CNC y gestión de proyectos,GR GOTOM QUALITY WORLD,España,No especificado,+ 30 d,"3,5","O Regueiro SL busca incorporar un/a Arquitecto/a o Aparejador/a para asumir la responsabilidad del departamento técnico y participar activamente en la gestión integral de los proyectos de la empresa.

La persona seleccionada será una figura clave entre la oficina técnica, el taller y el cliente, encargándose tanto del desarrollo técnico como de la planificación, coordinación y seguimiento de los trabajos.

Funciones principales

Desarrollo técnico de proyectos y despieces para CNC.

Preparación de documentación técnica para producción y montaje.

Elaboración de presupuestos, mediciones y pedidos de material.

Coordinación con taller y seguimiento de la ejecución.

Trato directo con clientes, apoyo técnico y resolución de incidencias.

Organización y mejora de los procesos del departamento técnico.

Requisitos

Titulación en Arquitectura, Arquitectura Técnica / Aparejador o similar.

Capacidad para interpretar planos y desarrollar soluciones técnicas.

Perfil organizado, resolutivo y con enfoque práctico.

Buenas habilidades de comunicación y trato con cliente.

Se valorará experiencia en carpintería, mobiliario a medida, CNC o entornos productivos.",A Coruña,Todos
Puestos vacantes: Beca Generación Renovable - CCR (A Coruña) (13025),Naturgy,España,No especificado,19 días,"3,5","Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta.
Buscamos talento joven, digital, flexible y creativo. Conecta con nosotros tus ganas de aprender y de trabajar en equipos diversos. Buscamos tu proactividad y valentía para impulsar nuestra transformación y la del mundo, a través de la energía.
¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!


¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!


Nuestro negocio de Generación Renovable España está inmerso en un apasionante reto de transformación. Trabajamos para garantizar el bienestar de las personas, el progreso de empresas, de la sociedad y el medioambiente, a través de la Generación de energía segura y sostenible. Para cumplir estos compromisos contamos con el talento de un equipo transformador, diverso y muy comprometido y con foco en la seguridad de las instalaciones y las Personas. En Naturgy Impulsamos la conexión de nuestros profesionales con las últimas tendencias del entorno, conocimientos digitales y competencias vinculadas a nuestros modelos de liderazgo y cultura.
Nuestro programa de prácticas tiene como principal objetivo impulsar una nueva generación de jóvenes profesionales con talento, ganas de trabajar en equipo y asumir retos de innovación y futuro en la transición energética.
¡Queremos ser los mejores en lo que hacemos! Trabajando en equipo, haciendo más con menos y desarrollando a cada persona, para crecer juntos tanto en el ámbito de la Generación Renovable como en el de otros negocios.
En este contexto ofrecemos una Beca en la unidad del CCR- A Coruña.


Estas prácticas te permitirán conocer lo siguiente:
Apoyo en la monitorización y seguimiento básico de las instalaciones, bajo supervisión.
Colaboración en la recopilación de datos y elaboración de informes operativos.
Apoyo en la actualización de sistemas, documentación y tareas de mejora continua.


Lo que necesitas:
Estudiantes de último año de grado o del máster universitario relacionado con Ingeniería Industrial, Naval o de Minas.


Lo que ofrecemos:
Se ofrece ayuda a estudios.
La beca se desarrolla en el CCR de A Coruña (AV. Arteixo 171 A Coruña 15008).


1) Rellena el formulario con tus datos. No olvides adjuntar tu CV actualizado.
2) Si te encuentras entre los perfiles más ajustados, contactaremos contigo para participar en las diferentes pruebas y entrevistas.
3) Si avanzas con éxito en el proceso………. ¡podrás formarte con el equipo Naturgy!
¡Inscríbete y atrévete a impulsar tu energía y acelerar tu futuro con Naturgy!
¡Inscríbete y atrévete a impulsar tu energía y acelerar tu futuro con Naturgy!",A Coruña,Todos
