Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Gestor de reservas y recepción de huéspedes,Alquileres Guzman S.L.U,España,1 mil € (Proporcionado por la empresa),24 horas,"3,5","El puesto requiere conocimientos en programas de gestion de alquileres turisticos (avantio u otros...) o capacitacion y rapidez de adaptabilidad. Impecable atención al cliente, tanto huesped como propietario.

Tipo de puesto: Jornada completa, Indefinido

Sueldo: 1.200,00€-1.400,00€ al mes

Idioma:

ingles, frances y Aleman (Obligatorio)

Ubicación del trabajo: Empleo presencial",Alicante,Todos
CHAPISTA / PINTOR,Jose Jorro,España,No especificado,+ 30 d,"3,5","Se busca chapista y/o pintor para taller de carroceria ubicado en Benissa. Servicio Oficial Volkswagen, Seat, Skoda y Cupra.

OBLIGATORIO: Experiencia previa en el sector.

Incorporación inmediata.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Alicante,Todos
Analista Programador Fullstack (PHP + Laravel + MySQL),Novanext Globaltech,España,25 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Buscamos un Analista Programador Fullstack con experiencia demostrable en el desarrollo de aplicaciones web utilizando PHP (Laravel) y MySQL 8, habituado a trabajar con modelos de suscripción, integraciones con TPVs y despliegues en entornos AWS.

El perfil ideal combina una sólida base técnica con visión global de producto, autonomía y capacidad para comunicarse eficazmente con otros equipos.
El puesto es presencial en Alicante, trabajando junto a un equipo técnico estable y en constante crecimiento, en proyectos tecnológicos innovadores y escalables.

Funciones principales

Desarrollo backend en PHP 8.x con framework Laravel.
Diseño, implementación y consumo de APIs RESTful.
Modelado, optimización y mantenimiento de bases de datos MySQL 8.
Desarrollo de interfaces modernas con HTML5, CSS3, JavaScript (ES6+) y frameworks como Vue.js o React.
Integración de TPVs, pasarelas de pago y sistemas de facturación automatizada.
Implementación de desarrollos con modelos de suscripción y planes de pago recurrente.
Despliegue y mantenimiento de aplicaciones en entornos AWS (EC2, RDS, S3, CloudWatch, etc.).
Control de versiones con Git.
Participación activa en la definición técnica, planificación de sprints y soporte a cliente interno.
Colaboración directa con equipos de QA, diseño y sistemas para garantizar calidad y escalabilidad.

Requisitos mínimos

Experiencia mínima de 3 años en desarrollo PHP (Laravel 8 o superior).
Experiencia con MySQL 8 (consultas optimizadas, procedimientos, índices).
Experiencia en integración de TPVs / pasarelas de pago (Stripe, Redsys, PayPal, etc.).
Experiencia desarrollando modelos de suscripción o plataformas SaaS.
Conocimientos sólidos de JavaScript (ES6+), HTML5 y CSS3.
Experiencia en consumo y desarrollo de APIs REST.
Experiencia en despliegue o mantenimiento en AWS (EC2, RDS, S3, IAM).
Uso habitual de Git y metodologías ágiles (Scrum, Kanban).
Capacidad de análisis, autonomía y orientación a resultados.

Requisitos deseables

Conocimientos en Docker y Composer.
Experiencia con entornos Linux y pipelines de CI/CD.
Experiencia en integración con servicios de mensajería o bots (Telegram, WhatsApp).
Familiaridad con entornos multiusuario o plataformas de contenido.
Buen nivel de documentación técnica y testing unitario.

Condiciones

Ubicación: Híbrido en Alicante.
Contrato: Indefinido
Jornada: Completa, de lunes a viernes.
Incorporación: Inmediata.
Entorno: Equipo estable, proyectos tecnológicos propios y externos, orientación a innovación y escalabilidad.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 25.000,00€-30.000,00€ al año

Beneficios:

Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Ordenador de empresa
Parking gratuito
Teléfono de empresa

Ubicación del trabajo: Empleo presencial",Alicante,Todos
AIRPORT REPRESENTATIVE,B54485545,España,No especificado,24 horas,"3,5","Beniconnect is the leading transport provider for people visiting the Valencian and Murcia regions. We have a reputation for delivering efficient, comfortable and reasonably priced transfers to and from Alicante, Murcia and Valencia airports and train stations. Our transfer solutions are underpinned by a company wide commitment to providing a first class customer service 24 hours a day, 365 days a year.

We are currently looking for airport representatives to work at Alicante airport as the face of Beniconnect who will be responsible for customers having a hassle free airport experience and also for resolving any customer queries and issues ( complaints ) on the spot.

You will support the airport operation with a flexible approach to shift patterns daytime and night. Responsibilities will include managing airport revenue, accurate paperwork# and report completion#( #Both tasks completed on a tablet )

What we are looking for:

· Previous work experience in a customer service environment.

· Fluent in English both spoken and written. Excellent conversational level in Spanish. Other languages such as German, Dutch,Norwegian and Swedish would be advantageous but not a requirement.

· A service and people orientated mind set with the ability to work alone and within a team.

· Excellent communication skills. You will be working and liaising very closely with our transport, reservations and customer service departments.

· Able to cope under pressure with ever changing tasks and working hours in line with business requirements.

· A resilient, professional and positive personality.

· The highest personal standards and pride in attitudes and behaviours displayed.

In return we will offer a highly competitive salary and full training on systems, processes and procedures prior to commencement of the role.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Alicante,Todos
Responsable de Turno 40hrs/sem Orihuela Costa,Lidl,España,No especificado,7 días,"3,5","Introducción

Nuestro #teamlidl es competitivo y muy dinámico. Para saber más sobre cómo es trabajar en Lidl consulta nuestra página web de empleo: https://empleo.lidl.es/

¿Cómo será tu día a día?
Preparar inventarios de tienda y realizar pedidos de mercancías con el objetivo de asegurar la disponibilidad de los artículos y ajustar las cantidades al consumo real, mediante las herramientas de apoyo.
Desarrollar y optimizar los procesos operativos de la tienda.
Contabilizar las mermas.
Hacer el control periódico de la calidad y la rotación de artículos.
Presentar e implementar los Informes de Tienda diarios.
Gestionar las reclamaciones de los clientes.
Dar soporte al equipo en su desarrollo profesional e impartir su formación inicial y continua.
Planificar y elaborar la previsión de ventas y productividad.
Elaborar los planes de trabajo.
Gestionar el flujo monetario.
¿Eres tú la persona que buscamos?
Formación Profesional de Grado Medio o equivalente.
Disponibilidad horaria para trabajar por turnos (horario rotativo de mañana o tarde).
Interés por trabajar en un ambiente dinámico.
Se valorará experiencia previa en posición similar y en el sector de la distribución.
¿Qué te ofrecemos?
Un contrato de jornada completa.
Te facilitamos formación teórico-práctica de 4 meses adaptado a tu puesto de trabajo, para que seas capaz de enfrentar cada reto con éxito. Tu plan de formación inicial incluirá estancias en diferentes tiendas y capacitaciones teórico-prácticas de desarrollo de diferentes habilidades y conocimientos técnicos relacionados con el área de ventas.
Jornada semanal de cinco días en lugar de seis, horario continuado y 6 fines de semana de calidad al año para una mejor conciliación.
Desde hace años garantizamos que cada minuto trabajado en Lidl se registra y se compensa.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/",Alicante,Todos
IT Aplicaciones de Negocio,Claire Joster,España,No especificado,8 días,"3,5","Presentación

En Claire Joster somos expertos en la selección de perfiles directivos y mandos intermedios para las principales áreas funcionales. Gracias a nuestro equipo de consultores especializados ayudamos a empresas y candidatos a crecer profesionalmente. Trabajamos con un valor añadido fundamental: la captación de talento basada en valores. El objetivo es garantizar un ajuste cultural de nuestros clientes y candidatos. El Matching values.

Organización

Nuestro cliente es un grupo industrial internacional especializado en diseño y fabricación de diferentes productos, ubicado en la zona de Alicante/Elche.

Función

Estamos buscando un/a «IT Aplicaciones de Negocio» para unirse al equipo, cuyas funciones serán:

Garantizar el rendimiento óptimo de las aplicaciones empresariales existentes (principalmente ERP) mediante la realización de revisiones regulares, diagnóstico y resolución de problemas técnicos, así como la implementación oportuna de actualizaciones, parches y mejoras en el sistema.
Colaborar en desarrollos para aprovechar oportunidades de mejora en las aplicaciones, contribuyendo al diseño e implementación de nuevas aplicaciones complementarias y funciones.
Participar en pruebas y procesos de aseguramiento de la calidad para los nuevos desarrollos.
Gestión de incidencias y problemas (identificación y medidas correctivas) relacionados con las aplicaciones empresariales.
Crear manuales, guías de usuario y realizar sesiones de capacitación para garantizar que los usuarios utilicen las aplicaciones de manera eficiente.
Soporte técnico para usuarios/as de las aplicaciones.
Requisitos
Experiencia en programación en entorno empresarial similar.
Experiencia en procesos de negocio e industriales.
Valorable conocimientos/experiencia en base de datos MySQL y SQL Server.
Valorable conocimientos/experiencia en extracción de datos (ETL).
Recomendable experiencia en trabajo por proyectos.
Valorable conocimientos en SAP.
Inglés B2.
Carnet de conducir y vehículo propio.
Oferta

Condiciones:

Contrato indefinido con el cliente.
Rango salarial según conocimientos y experiencia.
Modalidad presencial (ubicación zona Alicante/Elche).
Jornada intensiva los viernes y en agosto.
Postulación

Si está interesado/a y tienes ganas de formar parte de un importante proyecto como éste con totales opciones de crecimiento profesional ¡ésta es tu oportunidad!

17/2/2026",Alicante,Todos
Conductor/a,Eurofirms,España,No especificado,16 días,"3,5","Empleo de Conductor/a, Cocentaina
Fecha de publicación:
09/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y viernes en turnos rotativos de mañana y tarde con los descansos establecidos por ley.
Vacantes:
1
Salario:
A concretar
Población:
Cocentaina



Descripción de la oferta de empleo de Conductor/a en Cocentaina

En Eurofirms necesitamos incorporar un/a conductor/a para trabajar en empresa del sector textil ubicada en Cocentaina. Las tareas que tendrá que realizar son las siguientes:

Realizar maniobras precisas para aparcar y posicionar los camiones en el muelle de carga y descarga.
Mantenimiento básico del vehículo.
Carga y descarga de mercancía.
Trasladar material de una nave a otra.
Función:
Conductor/a
Requisitos:
- Experiencia previa en un puesto similar al descrito.

Buscamos a una persona proactiva y responsable.
Valorable residencia cercana al puesto de trabajo.
Formación:
- ESO finalizado.

Carnet de carretilla en vigor.
Disponer de carnet C y E.
Idiomas:
Castellano hablado y escrito correctamente.",Alicante,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"3,5","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Alicante, Alicante provincia",Alicante,Todos
Asesor/a Laboral,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),19 días,"3,5","Buscamos, para un Despacho Profesional consolidado, un/a Asesor/a Laboral con experiencia demostrable en la gestión integral de nóminas y seguridad social para una cartera de clientes (Pymes y Autónomos).

Si tiene un conocimiento profundo del Derecho Laboral y la Negociación Colectiva, y domina las plataformas oficiales (Sistema RED, SILTRA), le invitamos a formar parte de nuestro equipo.

Funciones Clave: Dominio Integral de la Gestión de Personal

El/La Asesor/a Laboral será el/la profesional de referencia para los clientes en todo lo relativo a recursos humanos y normativa sociolaboral:

Confección de Nóminas y Seguros Sociales:
Cálculo y elaboración mensual de nóminas, pagas extras y liquidaciones (finiquitos).
Preparación y presentación de los seguros sociales a través del Sistema RED y SILTRA.
Contratación y Trámites Oficiales:
Redacción y gestión de todo tipo de contratos de trabajo, prórrogas y variaciones contractuales.
Gestión de altas, bajas, variaciones de datos y partes de IT (Incapacidad Temporal) ante la Seguridad Social.
Preparación de los modelos de retenciones (Modelo 111 y 190).
Asesoramiento Estratégico:
Resolución de consultas diarias de los clientes sobre convenios colectivos, jornada laboral, licencias y permisos.
Asistencia en inspecciones de trabajo y gestión de expedientes de regulación de empleo (ERTE/ERE).
Mantenimiento actualizado de los expedientes de personal de la cartera asignada.

Requisitos Indispensables del Perfil

Experiencia: Mínimo 3-5 años de experiencia reciente y demostrable como Asesor/a Laboral o Graduado Social en un Despacho o Asesoría.
Formación: Titulación universitaria en Relaciones Laborales y Recursos Humanos (Graduado/a Social), Derecho o similar.
Conocimiento Legal: Dominio avanzado de la legislación laboral española vigente, incluyendo convenios colectivos de aplicación frecuente (ej. sector metal, comercio, oficinas y despachos).
Herramientas: Dominio experto de Software de Nóminas (ej. A3nom, Nominasol, Sage) y manejo fluido de las plataformas de la Seguridad Social (Sistema RED, SILTRA, Contrat@).
Habilidades: Capacidad organizativa para la gestión de plazos fijos (cierres de nómina), atención al detalle y excelente trato con el cliente.

Condiciones de la Contratación

Contrato: Puesto estable con Contrato Indefinido (contrato indefinido).
Desarrollo: Integración en un equipo especializado con apoyo para el desarrollo profesional continuo en materia de legislación.
Remuneración: Salario competitivo, acorde a la experiencia técnica en asesoría laboral.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Elche, Alicante provincia",Alicante,Todos
Staff en Airport Parking,Parking Privado Airport,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,5","We looking for Staff en Airport Parking Alicante

With own car, driving license, spoken languages English, Spanish, responsible, punctual and eager to work in a team.

5/2 in week, extra hours paid separately.

Preparing cars, washing, customer service, answering the phone, picking up and delivering cars.

Job Type: Full-time

Pay: From 1,300.00€ per month

Language:

English (Required)

Work Location: In person",Alicante,Todos
