Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
"Técnico mantenimiento electromecánico - Cantoria, Almería.",Grupo Nortempo,España,30 mil € - 33 mil € (Proporcionado por la empresa),24 días,"3,4","¿Te gustaría formar parte de una empresa industrial líder a nivel mundial?


Desde Grupo Nortempo, buscamos incorporar perfiles Técnicos/as Electromecánicos de Mantenimiento para incorporarse de forma estable en la planta de Cosentino ubicada en Cantoría, Almería. Buscamos personas que se unan a un proyecto retador donde trabajarás en un entorno industrial altamente automatizado y tecnológicamente avanzado.


Funciones principales:




Mantenimiento preventivo, correctivo y predictivo de maquinaria industrial.
Resolución de averías para garantizar la disponibilidad de las líneas de producción.
Intervenciones eléctricas y mecánicas.
Interpretación básica de esquemas eléctricos, neumáticos e hidráulicos.
Sustitución y ajuste de componentes: motores, reductores, rodamientos, etc.
Registro de intervenciones en el sistema de mantenimiento.
Orden y limpieza del área de trabajo.
Cumplimiento de normas de Calidad, Medio Ambiente y Seguridad y Salud Laboral.
Uso obligatorio de EPIs, incluida mascarilla de gases, por presencia de polvo.

Requisitos


- FP II / Grado Medio o Superior en: Electromecánica, Mantenimiento Industrial, Electricidad, Mecatrónica o similar. - Experiencia mínima de 6 meses en mantenimiento industrial. - Valorable experiencia en diferentes sectores: Líneas de producción, Automoción o Talleres industriales. - Base sólida en electricidad industrial. - Acostumbrado/a a entornos industriales exigentes y con alto ritmo de trabajo - Disponibilidad para trabajar en turnos rotativos (mañana, tarde y noche) - Vehículo propio o alternativa real de transporte hasta Cantoria.


Se ofrece


- Contrato indefinido y estable. - Proyecto estable en una fábrica avanzada y altamente automatizada en empresa internacional. - Categoría: Oficial de 2ª (según convenio) - Salario orientativo: alrededor de 33.000 € brutos anuales. - Turnos rotativos: 7 días de trabajo + 5 días de descanso.

Requisitos

FP II / Grado Medio o Superior en: Electromecánica, Mantenimiento Industrial, Electricidad, Mecatrónica o similar.
Experiencia mínima de 6 meses en mantenimiento industrial.
Valorable experiencia en diferentes sectores: Líneas de producción, Automoción o Talleres industriales.
Base sólida en electricidad industrial.
Acostumbrado/a a entornos industriales exigentes y con alto ritmo de trabajo
Disponibilidad para trabajar en turnos rotativos (mañana, tarde y noche)
Vehículo propio o alternativa real de transporte hasta Cantoria.

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Contrato indefinido y estable.
Proyecto estable en una fábrica avanzada y altamente automatizada en empresa internacional.
Categoría: Oficial de 2ª (según convenio)
Salario orientativo: alrededor de 33.000 € brutos anuales.
Turnos rotativos: 7 días de trabajo + 5 días de descanso.",Almería,Todos
camarero o chica para restaurant ba,cooking horeca,España,1 mil € - 2 mil € (Proporcionado por la empresa),20 días,"3,4","contratar camarero o chica para restaurante

Valiente, dinámica, voluntaria, atenta y ambiciosa.

Quieres aprender a evolucionar dentro de un equipo grande, horario variable, ya sea por la mañana o por la tarde o incluso ambas.

Se requiere buena presentación, papeleo de trabajo requerido, salario inicial y atractivo en caso de buen progreso.

PD: Personal que habla alemán y español también es bienvenido.solicitud y presentación obligatoria

Tipo de puesto: Jornada completa, Media jornada

Sueldo: 1.200,00€-1.500,00€ al mes

Beneficios:

Comidas en la empresa
Flexibilidad horaria

Preguntas para la solicitud:

habité la zone

Experiencia:

Hostelería: 10 años (Obligatorio)

Idioma:

Alemán (Deseable)
Español (Obligatorio)

Licencia/Certificación:

papier de travail espagnol (Obligatorio)

Ubicación del trabajo: Empleo presencial",Almería,Todos
Asesor/a Laboral,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,4","Buscamos, para un Despacho Profesional consolidado, un/a Asesor/a Laboral con experiencia demostrable en la gestión integral de nóminas y seguridad social para una cartera de clientes (Pymes y Autónomos).

Si tiene un conocimiento profundo del Derecho Laboral y la Negociación Colectiva, y domina las plataformas oficiales (Sistema RED, SILTRA), le invitamos a formar parte de nuestro equipo.

Funciones Clave: Dominio Integral de la Gestión de Personal

El/La Asesor/a Laboral será el/la profesional de referencia para los clientes en todo lo relativo a recursos humanos y normativa sociolaboral:

Confección de Nóminas y Seguros Sociales:
Cálculo y elaboración mensual de nóminas, pagas extras y liquidaciones (finiquitos).
Preparación y presentación de los seguros sociales a través del Sistema RED y SILTRA.
Contratación y Trámites Oficiales:
Redacción y gestión de todo tipo de contratos de trabajo, prórrogas y variaciones contractuales.
Gestión de altas, bajas, variaciones de datos y partes de IT (Incapacidad Temporal) ante la Seguridad Social.
Preparación de los modelos de retenciones (Modelo 111 y 190).
Asesoramiento Estratégico:
Resolución de consultas diarias de los clientes sobre convenios colectivos, jornada laboral, licencias y permisos.
Asistencia en inspecciones de trabajo y gestión de expedientes de regulación de empleo (ERTE/ERE).
Mantenimiento actualizado de los expedientes de personal de la cartera asignada.

Requisitos Indispensables del Perfil

Experiencia: Mínimo 3-5 años de experiencia reciente y demostrable como Asesor/a Laboral o Graduado Social en un Despacho o Asesoría.
Formación: Titulación universitaria en Relaciones Laborales y Recursos Humanos (Graduado/a Social), Derecho o similar.
Conocimiento Legal: Dominio avanzado de la legislación laboral española vigente, incluyendo convenios colectivos de aplicación frecuente (ej. sector metal, comercio, oficinas y despachos).
Herramientas: Dominio experto de Software de Nóminas (ej. A3nom, Nominasol, Sage) y manejo fluido de las plataformas de la Seguridad Social (Sistema RED, SILTRA, Contrat@).
Habilidades: Capacidad organizativa para la gestión de plazos fijos (cierres de nómina), atención al detalle y excelente trato con el cliente.

Condiciones de la Contratación

Contrato: Puesto estable con Contrato Indefinido (contrato indefinido).
Desarrollo: Integración en un equipo especializado con apoyo para el desarrollo profesional continuo en materia de legislación.
Remuneración: Salario competitivo, acorde a la experiencia técnica en asesoría laboral.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en El Ejido, Almería provincia (El Ejido)",Almería,Todos
Buscamos Rotulista Incorporacion Inmediata.,Pixel Plus,España,No especificado,+ 30 d,"3,4","Por ampliación de plantilla estamos buscando rotulista con experiencia en rotulación de vinilos , que sepa pintar, soldar, algo de conocimiento basico en luz, carpinteria....un manitas. Incorporación inmediata a un equipo dinámico, joven y con gran experiencia en el sector.

Envíanos tu currículum, ¡NO BUSCAMOS DISEÑADORES GRÁFICOS!
Imprescindible:
- Imprescindible carnet de conducir.
- Rotulación de vinilos, todos los tipos y en todas las superficies.
- Colocación de rótulos (Luminosos, interiores, exteriores, etc...).
- Conocimientos de Electricidad, Albañilería y Soldaduras.

- Conocimiento en Carpinteria.
- Fundamental que sepa trabajar en equipo.
- Capacidad de realizar trabajos a media altura.
- Solicitamos exclusividad al puesto.

Se valorará:
- Manejo de maquina elevadora.

Se ofrece:

- Ofrecemos contrato a jornada completa.

Tipo de puesto: Jornada completa

Horario:

De lunes a viernes
Turno de 8 horas

Experiencia:

Montaje de carteles: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Almería,Todos
Agente de ventas,Mi Prestamo,España,18 mil € (Proporcionado por la empresa),+ 30 d,"3,4","¡ÚNETE A NUESTRO EQUIPO COMO AGENTE DE VENTAS EN ""MI PRÉSTAMO""!

¿Tienes pasión por las ventas y te gustaría desarrollarte en un entorno dinámico y en crecimiento? ¡Entonces, esta oportunidad es para ti!
En ""Mi Préstamo"", líder en el sector de microcréditos off-line en Valencia, estamos buscando un Agente de Ventas entusiasta y proactivo para unirse a nuestro equipo. La persona ideal será responsable de la venta y gestión de microcréditos.

Buscamos agentes para El Ejido.

Responsabilidades:

Promocionar y vender nuestros productos de microcréditos a clientes potenciales.
Gestionar y mantener relaciones con los clientes existentes.
Realizar el seguimiento post venta de los microcréditos otorgados.
Asesorar a los clientes sobre las mejores opciones de financiamiento disponibles.
Alcanzar y superar los objetivos de ventas establecidos por la empresa.
Participar en la mejora continua de los procesos de ventas y servicio al cliente.
Requisitos:
Experiencia previa en ventas, preferiblemente en el sector financiero.
Excelentes habilidades de comunicación y negociación.
Capacidad para trabajar de manera autónoma y en equipo.
Actitud proactiva y orientada a resultados.
Conocimientos básicos de herramientas informáticas y de gestión de ventas.

Ofrecemos: Si estás interesado en formar parte de una empresa innovadora y en constante crecimiento, ¡nos encantaría conocerte!

Muy buen ambiente laboral: Formarás parte de un equipo colaborativo y motivado.
Capacidad de crecimiento: Oportunidades de desarrollo profesional dentro de la corporación.
Formación continua: Programas de capacitación para mejorar tus habilidades y conocimientos.
Compensación competitiva: Salario base más comisiones atractivas.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 18.200,00€ al año

Beneficios:

Comidas en la empresa
Eventos de la empresa

Preguntas para la solicitud:

¿Vives en El Ejido?

Si la respuesta es no, ¿cuanto tiempo necesitas para llegar a El Ejido?

Experiencia:

Ventas: 1 año (Obligatorio)
Captación de clientes: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Almería,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),24 días,"3,4","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Almería, Almería provincia (Almería)",Almería,Todos
Contable Administrativo (con inglés) – Almería,ÉTICA,España,28 mil € - 30 mil € (Proporcionado por la empresa),6 días,"3,4","Contable Administrativo/a (con inglés) – Zona Níjar (Almería)

Jornada completa | Presencial

Descripción del puesto

Desde consultora de selección especializada, buscamos un/a Contable Administrativo/a con inglés para incorporarse a una empresa internacional ubicada en la zona industrial de Níjar (Almería).

La persona seleccionada se integrará en el área de Administración, apoyando en tareas contables, facturación y gestión administrativa, en coordinación con distintos departamentos y equipos internacionales.

Funciones principales

Gestión de facturas y cuentas a pagar
Conciliación de proveedores y control de datos contables
Apoyo en procesos de facturación y seguimiento de pagos
Gestión administrativa y soporte al departamento financiero
Elaboración de informes y control documental
Coordinación con equipos internos y proveedores (comunicación en inglés)

Requisitos

Experiencia mínima de 2–3 años en contabilidad o administración
Nivel de inglés profesional (mínimo B2)
Experiencia con ERP (Netsuite, SAP o similar, valorable)
Buen manejo de Excel y herramientas de oficina
Perfil organizado, metódico y con atención al detalle
Disponibilidad para trabajo presencial en la zona de Níjar

Se ofrece

Posición estable en entorno profesional internacional
Proyecto a largo plazo
Buen ambiente de trabajo
Posibilidades reales de desarrollo profesional
Condiciones competitivas según experiencia (banda orientativa 24.000€ – 28.000€ brutos anuales)

Proceso de selección

El proceso será gestionado de forma confidencial por consultora especializada, garantizando la máxima discreción en el tratamiento de las candidaturas.

Cómo aplicar

Si te interesa la posición y crees que tu perfil puede encajar, estaremos encantados de recibir tu CV actualizado o tu candidatura a través de Indeed para facilitarte más información sobre la oportunidad.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 28.000,00€-30.000,00€ al año

Preguntas para la solicitud:

¿Cuál es tu nivel de inglés profesional?
¿Resides actualmente en Almería o tienes disponibilidad para trabajar presencialmente en Almería?
¿Tienes experiencia trabajando con sistemas ERP (Netsuite, SAP, Oracle u otros similares)?
¿Cuál es tu expectativa salarial bruta anual?

Ubicación del trabajo: Empleo presencial",Almería,Todos
conductor repartidor,Foryoudelivery S.L,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Buscamos repartidores!! Puedes ser Tú!!

Empresa de reparto de paquetería busca incorporar en su plantilla a personal para cubrir nuevas vacantes en Almería Capital...

Jornada Completa. Incorporación por empresa a Fijo Discontinuo con posibilidad de Indefinido.

Sueldo 1280/1380€bruto/mensual.

Lunes a Domingo, alternando los 2 días de la semana.

Uniforme completo, formación para empezar, asesoramiento continuo para mejoras de métricas.

No esperes más!! te estamos esperando!!

Calle Ceuta 2, Benahadux (04410)

Tipo de puesto: Jornada completa, Contrato fijo discontinuo

Sueldo: 1.280,00€-1.350,00€ al mes

Beneficios:

Flexibilidad horaria
Opción a contrato indefinido
Programa de formación
Uniforme proporcionado

Horario:

Disponibilidad fin de semana
Turno de 8 horas

Retribución complementaria:

Bonus por objetivos

Experiencia:

Repartidor: 1 año (Obligatorio)

Licencia/Certificación:

Carnet de conducir B (Obligatorio)
CAP (Deseable)

Ubicación del trabajo: Viajes periódicos",Almería,Todos
Técnico Delineante Telecomunicaciones,Connect44,España,No especificado,+ 30 d,"3,4","En Connect44 estamos buscando ampliar nuestro equipo técnico.

Buscamos un/a Delineante para la realización de proyectos, planos y diseños relacionados con la instalación de equipos de telecomunicaciones en estaciones base de telefonía móvil.

Requisitos:

Experiencia en delineación de planos.
Manejo avanzado de AutoCAD.
Capacidad para interpretar y desarrollar documentación técnica.
Habilidad para trabajar en equipo y cumplir con plazos establecidos.
Organización, atención al detalle y responsabilidad en la ejecución de tareas.

Se valorará:

Experiencia previa en el sector de telecomunicaciones.
Conocimientos en normativas aplicables a la instalación de equipos.
Manejo de otras herramientas de diseño (Revit, MicroStation u otras).
Capacidad para trabajar en entornos multidisciplinares.

Ofrecemos:

Incorporación a una empresa en crecimiento dentro del sector telecomunicaciones.
Estabilidad laboral y desarrollo profesional.
Buen ambiente de trabajo.
Condiciones económicas acordes a la experiencia y valía del candidato.

Si cumples con el perfil y quieres formar parte de nuestro equipo, envíanos tu C.

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Formación en certificaciones profesionales

Ubicación del trabajo: Empleo presencial",Almería,Todos
Field Account Manager South of Spain,GA Pet Food Partners Limited,España,No especificado,+ 30 d,"3,4","Nuestra Misión

En GA Pet Food Partners, producimos y entregamos el mejor alimento para mascotas del mundo.

Bienvenido a GA Pet Food Partners, donde fabricamos y distribuimos el mejor alimento para mascotas, ofreciendo oportunidades de marca privada para nuestros socios en todo el mundo.

Obtenemos nuestras carnes frescas de granjas y pesquerías que conocemos y en las que confiamos, garantizando una trazabilidad completa. Luego, utilizamos nuestro exclusivo proceso Freshtrusion™ para cocinar suavemente las carnes en nuestra moderna cocina de carnes. Esto nos permite crear carnes altamente nutritivas y apetitosas que se utilizan en nuestros croquetas para mascotas.

Somos el socio perfecto para ofrecer soluciones personalizadas que se adapten a tus necesidades, con tecnología líder en la industria y décadas de experiencia.

Independientemente del tamaño o las ambiciones de tu negocio, te ofrecemos la oportunidad de tener tu propia marca del mejor alimento para mascotas del mundo.

Más información

https://ga-petfoodpartners.es

Descripción del Puesto

En este puesto, serás responsable del desarrollo de nuestros socios especializados en mascotas en el sur de España, utilizando tu experiencia en el comercio minorista.

Gracias a tu experiencia previa en merchandising, tu capacidad para construir relaciones de confianza y tus excelentes habilidades de comunicación, ayudarás a influir en nuestros socios para desarrollar su propia oferta minorista, lo que indirectamente conducirá a la creación de su propia marca de alimentos para mascotas.

Como responsable del crecimiento de ventas de tus socios, lograrás tus objetivos mediante la implementación de programas de ventas al por menor, la realización de sesiones de formación y el mantenimiento de las tareas de servicio y merchandising.

El objetivo es crear relaciones sólidas con los empleados y la dirección de las tiendas, proporcionando formación sobre los productos a los equipos de tienda. Las formaciones incluirán características, beneficios y habilidades de venta, demostrando al mismo tiempo un excelente conocimiento del producto y del merchandising.

Principales Responsabilidades:

- Desarrollar planes individuales para cada socio con el objetivo de mejorar el rendimiento minorista paso a paso.

- Capacitar y entrenar a los empleados en tienda sobre productos existentes y nuevos.

- Apoyar en tareas de merchandising, marketing y gestión de inventario.

- Gestionar tu agenda y dividir las horas de trabajo entre todos los socios asignados en tu región.

- Colaboración con el equipo In-House y Field, compartiendo mejores prácticas.

- Captación de nuevos socios.

Perfil del Candidato:

✔ Disfrutas de viajar y tienes un permiso de conducir válido.

✔ No tienes miedo de pensar de manera creativa y buscar soluciones innovadoras.

✔ Eres autónomo y buscas soluciones por tu cuenta.

✔ Posees habilidades de gestión del tiempo, sabes cómo resolver problemas y tomas decisiones con determinación.

✔ Tienes excelentes habilidades de comunicación (verbal y escrita).

✔ Cuentas con habilidades efectivas de presentación y negociación.

Beneficios:

Salario acorde a la experiencia, esquema de bonificaciones y un coche de empresa con todos los gastos cubiertos (MOT, mantenimiento y combustible).

Solo consideraremos candidatos con licencia de conducir activa que residan en la región mencionada.

Tipo de empleo: Tiempo completo

Ubicación del trabajo: En la carretera

Idiomas requeridos:

Inglés (nivel básico requerido)

Español

Our mission

At GA Pet Food Partners, we make and deliver the world’s finest pet food.

Welcome to GA Pet Food Partners, where we make and deliver the world’s finest pet food, providing private label pet food opportunities for partners across the globe.

Sourcing our fresh meats from farms and fisheries that we know and trust ensures full traceability. We then use our unique Freshtrusion™ process to gently cook the meats in our state of the art Meat Kitchen. This ensures that we create the most nutritious and highly palatable meats to be used in our pet food kibbles.

We are the perfect partner ready to provide tailored solutions to meet your needs with industry-leading technology and decades of expertise.

Whatever your size or ambition, we provide you with the opportunity to have your own brand of the world’s finest pet food.

https://ga-petfoodpartners.co.uk/

Full job description

In this role, you'll be responsible for developing our Pet Speciality Partners in the South of Spain through your retail expertise.

Through your previous merchandising experience, ability to build relationships and trust, and excellent communication skills, you will help influence your Partners to develop their own retail offering; indirectly leading to the development of their own branded food offering.

Responsible for growing your sales to your Partners , you'll achieve this by implementing retail sales programs, conducting training sessions, and taking care of service and merchandising tasks.

The aim is to build strong relationships with store associates and management, by delivering product knowledge training to the store teams, covering features, benefits, and selling skills, while demonstrating excellent product and merchandising knowledge.

Main Duties:

· Development of individual Partner Plans to improve Partners retail performance in a step-by-step fashion.
· Training and coaching in-store employees on existing and new products.
· Merchandising, Marketing and inventory support.
· Control your diary and split your working hours across all your allocated partners in your region.
· Collaborative working with the In House and remaining Field; team sharing best practices
Finding new partners

Person Specification:

We are looking for someone who enjoys being on the road and has a valid driving licence.
You are not afraid to think outside the box and be creative.
You look for solutions on your own.
You can manage your time well, know how to solve problems and are able to take action.
You have excellent communication skills (verbal and written)
You have effective presentation and negotiation skills

What’s in it for you:

Salary based upon experience, a bonus scheme, and a car with all costs covered, i.e. MOT, service, and fuel. We will only consider candidates with an active driving license, who live in the above region.

Job Type: Full-time

Work Location: On the road

Language:

English (Required Base Level )
Spanish

Tipo de puesto: Jornada completa

Beneficios:

Coche de empresa
Comidas en la empresa
Ordenador de empresa
Programa de formación
Teléfono de empresa

Experiencia:

representante de ventas: 2 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Almería,Todos
