Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
"TERAPEUTA OCUPACIONAL (MÉRIDA, BADAJOZ)",Pebetero Servicios y Formación SL,España,No especificado,6 días,"3,9","Introducción:

Desde Pebetero Servicios y Formación S.L. seleccionamos Terapeuta Ocupacional para trabajar en centros de mayores en la localidad de Mérida (Badajoz). Buscamos un/a profesional comprometido/a con el bienestar y la mejora de la calidad de vida de las personas mayores, con vocación de servicio y habilidades para el trabajo en equipo en entorno presencial.

Condiciones:

Tipo de contrato: Fijo discontinuo.
Jornada: 15,5 horas semanales.
Duración prevista: hasta el 31 de diciembre de 2026.
Retribución: A convenir.
Modalidad: Presencial.

Tareas

Planificación y desarrollo de programas de intervención en terapia ocupacional dirigidos a personas mayores.
Evaluación de las capacidades funcionales y diseño de actividades adaptadas a las necesidades individuales y grupales.
Fomento de la autonomía personal y mejora de la calidad de vida de las personas usuarias.
Seguimiento y valoración de la evolución de los/as participantes.
Coordinación con el equipo multidisciplinar del centro.

Requisitos

Titulación mínima en Terapia Ocupacional.

Si cumples con el perfil y deseas formar parte de Pebetero Servicios y Formación S.L., envíanos tu currículum vitae. Estamos a tu disposición para cualquier consulta relacionada con el proceso de selección.

Tipo de puesto: Media jornada, Contrato fijo discontinuo
Duración del contrato: 10 meses

Horas previstas: 15.5 a la semana

Licencia/Certificación:

Mínimo Terapia Ocupacional (Obligatorio)

Ubicación del trabajo: Empleo presencial",Badajoz,Todos
Fisioterapeuta para trabajar en Alemania,Servicios de Cooperación y Desarrollos Integrales de Extremadura SL,España,4 mil € (Proporcionado por la empresa),+ 30 d,"3,9","1 FISIOTERAPEUTA PARA TRABAJAR EN ALEMANIA

""Esta información es un extracto de las condiciones generales de la oferta de empleo. A las personas interesadas se les proporcionará un documento PDF con todos los detalles de la oferta para su estudio en detalle.""

Esta oferta de empleo es para 1 FISIOTERAPEUTA que atenderán a los usuarios en CONSULTA Y OTRAS INSTITUCIONES SANITARIAS situadas en el entorno de Breitscheid en la región de HESSEN (Alemania).

¡¡Sueldo Bruto de 3.800€/mes!! (con la homologación de la titulación y según experiencia)

REQUISITOS

Adjuntar a la solicitud el CV actualizado en PDF.
Tener la titulación oficial de Fisioterapeuta (o titulación equivalente).
Conseguir el Certificado oficial del nivel B2 de alemán en España.
Tener carnet de conducir.

FUNCIONES

Tratamiento a pacientes del área ortopédica, quirúrgica y neurológica.
Preparar y supervisar los pacientes.
Actuar según protocolos establecidos por la empresa.
Trabajo en equipo con otros profesionales.
Trabajo en consulta, visitas domiciliarias y en instituciones sociales.
Reforzar el equipo de trabajo español existente.

CONDICIONES LABORALES

Contrato mínimo de 2 años, con posibilidad de transformación a indefinido.
Jornada completa, 40 horas semanales.
Horario de:

Lunes a jueves de 7:30 a 16:00 (2 días) y 7:30 a 18:00 (2 días). Viernes de 7:30 a 11:30. Sábados, Domingos y Festivos libres.

28 días laborales de vacaciones.
Sueldo mínimo bruto:

3.500,00 €/mes antes de homologación.

3.800,00 €/mes (según experiencia) con la homologación de la titulación.

2 pagas extra del 50% tras llevar un año en la empresa.
La empresa alemana ayudará a buscar alojamiento.
Coche de empresa para los servicios en otras instituciones sanitarias.

SELECCIÓN

La preselección se realizará mediante entrevista personal por Skype/Zoom con la Dirección de la empresa alemana.

ACOMPAÑAMIENTO:

Sercodex SL le acompañará durante los primeros días en Alemania, en la llegada al puesto de trabajo, y para ayudar a gestionar toda la documentación necesaria (empadronamiento, cuenta bancaria, seguro de enfermedad, código de identificación fiscal, etc.). Posteriormente Sercodex SL mantendrá contacto durante la integración.

SE OFRECE PARA EL FISIOTERAPEUTA:

EMPLEO EN ALEMANIA. El empleo es seguro y garantizado desde la selección para participar en el proyecto de empleo.
LA TRAMITACIÓN DE DOCUMENTACIÓN, Sercodex SL y la Empresa Alemana, te ayudará a tramitar el seguro de salud, el empadronamiento, la cuenta bancaria, el código de identificación fiscal, etc. y así puedas residir en Alemania adecuadamente.
ACOMPAÑAMIENTO. Personal de SERCODEX SL le acompañará los primeros días en Alemania para facilitar la llegada y comprobar que todo lo pactado con la empresa alemana se cumple.
SEGUIMIENTO. SERCODEX SL hará un seguimiento de la relación laboral y de integración en Alemania para intentar solucionar los problemas que pudieran surgir.

Tipo de puesto: Jornada completa

Sueldo: 3.500,00€-3.800,00€ al mes

Beneficios:

Coche de empresa
Opción a contrato indefinido

Posibilidad de trasladarse/mudarse:

Don Benito, Badajoz provincia: Desplazarse al trabajo sin problemas o planificar mudarse antes de comenzar a trabajar (Obligatorio)

Educación:

Diplomatura/Grado (Obligatorio)

Ubicación del trabajo: Empleo presencial",Badajoz,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Badajoz, Badajoz provincia (Badajoz)",Badajoz,Todos
ENTRENADOR PERSONAL AUTÓNOMO MÉRIDA,Basic-Fit,España,No especificado,8 días,"3,9","Nos encontramos en plena fase de expansión, abriendo nuevos centros con muchas posibilidades laborales de promoción interna.

Estamos en búsqueda continua de perfiles que se desarrollan en el entrenamiento personal.

¿Eres entrenador personal con pasión por el fitness o quieres serlo y tienes ganas de crecer profesionalmente?

¡Estamos buscando entrenadores personales freelance para unirse a nuestro equipo en Basic-Fit!

Nos encontramos en plena expansión y queremos incorporar entrenadores motivados y comprometidos.

Si te encanta ayudar a otros a alcanzar sus metas y quieres tener flexibilidad, ¡esta es tu oportunidad!

CONDICIONES QUE OFRECEMOS PARA FREELANCE:

Firma de un contrato anual renovable de año en año.
Tener el certificado de alta como autónomo.
El fee mensual es de 300€ más IVA.
En el fee mensual entra la posibilidad de entrenamiento en todas las áreas del club excepto clases de actividades dirigidas, así como el Wifi o gastos de cualquier suministro.
No tienes exclusividad en el club como entrenador personal.
Tu perfil aparecerá en WEB, NARROW CASTING, APP para poder generar negocio.
Tendrás acceso a una plataforma interna con herramientas para desarrollar su negocio y mejorar en ventas, administración y Marketing
Te damos soporte desde Partners para todo el proceso de alta y para comenzar a operar los primeros meses.
Te ponemos en contacto con empresas para que te den soportes de software y formación con las mejores condiciones del mercado.
Eres dueño de tu negocio y como tal decides tu horario, precios y servicios a ofrecer.
Tienes una suscripción gratuita para entrenar en la red de Gimnasios Basic Fit.
Como entrenador/a decides la indumentaria y el marketing a utilizar de manera local.

Si ya eres autónomo o tienes la intención de serlo, ponte en contacto con nosotros y te explicamos paso por paso como hacerlo.

¡No dudes en hacerlo!

Envía tu propuesta o CV a carlos.lopez@basic-fit.com",Badajoz,Todos
Agente Comercial Portugal,PLUS+SALUTE,España,No especificado,16 días,"3,9","En Plus+Salute, empresa del descanso, ¡Estamos buscando un/a Comercial para viajar por Portugal!

¿Tienes dotes comerciales, te apasiona el trato con el cliente y tienes disponibilidad para viajar?

¡Esta oportunidad es para ti!

Puesto: Comercial itinerante

- Ubicación: Portugal (base, desde tu ciudad o sede principal de la empresa en Badajoz)

- Tipo de contrato: Indefinido o Autónomo

- Visitarás clientes y distribuidores en diferentes zonas del país.

- Presentarás nuestros productos/servicios y cerrarás ventas al por mayor.

- Captarás nuevos clientes y generarás nuevas oportunidades de negocio.

¿Qué buscamos?

- Experiencia en ventas o atención comercial

- Persona dinámica, proactiva y orientada a resultados

- Excelentes habilidades de comunicación y negociación

- Disponibilidad para viajar por territorio portugués

- Carnet de conducir.

- Portugués hablado y escrito. (nacionalidad española o portuguesa)

¿Qué ofrecemos?

- Contrato estable

- Salario fijo + comisiones

- Gastos de representación.

- Posibilidades reales de crecimiento en una empresa en expansión

Si te interesa el reto y quieres formar parte de un equipo ambicioso, envíanos tu CV.

Tipo de puesto: Jornada completa, Contrato indefinido, Autónomo

Experiencia:

Ventas: 1 año (Deseable)

Disponibilidad para viajar:

25 % (Deseable)

Ubicación del trabajo: Empleo presencial",Badajoz,Todos
Agente Digital Mérida,Logirail,España,No especificado,+ 30 d,"3,9","DETALLES DE LA OFERTA:
Referencia oferta:

TP676029

Descripción:

Agente Digital Mérida

Empresa:

LOGIRAIL SME, S.A.

Puesto:

PERSONAL INFORMATICA

MÉRIDA(BADAJOZ)
Publicado:26/02/2026
Experiencia mínima: 0 Meses

Requisitos:

Necesitamos Urgentemente cubrir dos posiciones de Agente Digital para nuestro CCD en Mérida




Requisitos mínimos

Experiencia relacionada con el sector de telemarketing
principalmente, comercial y/o trabajo de cara al público

Imprescindible idioma castellano oral y escrito nivel avanzado.
Orientación al cliente y capacidad de aprendizaje.
Imprescindible facilidad en el uso de herramientas digitales.",Badajoz,Todos
Sales Assistant Sprinter Badajoz El Faro,Sprinter,España,No especificado,+ 30 d,"3,9","NO ES SOLO UN TRABAJO. ES TU EQUIPO.

¡Sprinter busca Sales Assistants Part-Time!

Aquí no buscamos empleados. Buscamos a quienes viven el deporte, a quienes quieren llegar más lejos y formar parte del mejor equipo.Si tienes actitud, energía y pasión por el deporte, este es tu sitio.

Porque en Sprinter no solo vendemos deporte. Lo respiramos. Lo compartimos. Lo impulsamos.

¿POR QUÉ SPRINTER?

Porque creemos en tu potencial, y sabemos que con el equipo adecuado, puedes llegar donde te propongas.
Aquí, cada tienda es un campo de entrenamiento. Cada persona, una pieza clave del equipo. Aquí, el deporte es el lenguaje que nos une.
Sprinter existe para darte herramientas, desarrollo y equipo. Para que crezcas. Para que ganes. Para que llegues más lejos.


TU MISIÓN EN LA TIENDA

Dar lo mejor cada día: atención excelente, actitud positiva y amor por el deporte.
Que todo esté a punto: productos, almacén y tienda listos para inspirar a cada cliente.
Jugar en equipo: colaborar para alcanzar objetivos, superar KPIs y compartir logros.
Ser especialista: conocer las tendencias deportivas y conectar con lo que pasa dentro y fuera de la tienda.



LO QUE TE HARÁ TRIUNFAR EN SPRINTER

Una actitud positiva y motivadora.
Pasión por el deporte, el bienestar y el trabajo en equipo.
Ganas reales de desarrollarte y crecer profesionalmente.
Buena comunicación, responsabilidad y energía en cada paso.
Disponibilidad para turnos rotativos, incluidos fines de semana y festivos.

¡Y sobre todo, venir con ganas de superarte!




¿QUÉ HAY PARA TI?

Salario fijo competitivo.
Incentivos: Bonus por objetivos grupales ¡porque el logro es en equipo!
Estilo SPRINTER: 25% de descuento en tienda y online para que vivas el deporte a tu manera.
Retribución flexible: elige lo que más se adapte a ti (transporte, seguro médico, cheque guardería, etc.).
Promoción interna: vacantes en retail y oficinas, para que tu carrera suba de nivel.

¡Formar parte de una comunidad deportiva real que apoya, motiva y celebra cada logro!

TU ACCESO AL MUNDO SPRINTER

Fase 1: Llamada telefónica para conocerte entender tus necesidades y tu motivación.
Fase 2: Entrevista presencial en tienda u online, ¡hora de conocerte mejor!
Fase 3: Te informamos sobre el resultado en el proceso de selección y los próximos pasos.

¿PREPARADO/A PARA ALCANZAR TODO TU POTENCIAL?

Aplica hoy mismo y empieza tu camino en el mejor Sports Team.
Vacantes en todo el país: https://es.careers.isrg.com
Síguenos para ver cómo se vive desde dentro: https://www.linkedin.com/company/sprinter/posts/?feedView=all

No se trata solo de vender. Se trata de inspirar. De moverse. De superarse.
¡Es tu momento! ¡Es Sprinter! ¡Es contigo!

Debido al alto volumen de solicitudes que recibimos para nuestras ofertas, lleva un tiempo poder revisarlas todas. Si no recibes noticias dentro de las dos-tres semanas posteriores a tu solicitud, por favor considera que en esta ocasión hemos decidido avanzar con otras candidaturas. Las aplicaciones que cumplan con los criterios serán contactadas para realizar una vídeo entrevista. ¡Muchas gracias por tu interés y tiempo!


Sobre el grupo:

Abrimos nuestro primer Sprinter en Valencia en 1995 y, desde entonces, nos hemos convertido en el espacio para quienes sentimos pasión por el deporte y la moda deportiva. Con más de 200 puntos de venta físicos y tienda online, contamos con marcas referentes como Nike, Adidas, Reebok o Fila, y con marcas propias como Up, Silver, Doone y Boriken, entre otras.

Formando parte de JD Group, líder en Sports, Street & Premium Fashion, contamos con alrededor de 97.000 personas, superando las 4850 tiendas de diversas marcas en más de 49 países. ¡Te damos la oportunidad de desarrollar tu carrera en este grupo internacional en constante crecimiento!

En Sprinter ofrecemos un entorno basado en la cooperación y el respeto mutuo, con un fuerte compromiso por la diversidad y la igualdad de oportunidades. Todas las personas serán consideradas sin importar su identidad de género, orientación sexual, etnia, religión, edad o grado de discapacidad.

Nuestros procesos de selección están basados en el modelo de evaluación por competencias profesionales y valoramos la pasión, ganas de aprender y de crecer en un entorno internacional.

¿Te interesa?

¡Queremos conocerte! Si crees que esta oferta es para ti, aplica hoy mismo.

Debido al alto volumen de solicitudes que recibimos para nuestras ofertas, lleva un tiempo poder revisarlas todas. Si no recibes noticias dentro de las dos-tres semanas posteriores a tu solicitud, por favor considera que en esta ocasión hemos decidido avanzar con otras candidaturas. Las personas que cumplan con los criterios serán contactadas por el equipo de Talent. ¡Gracias por tu interés y tiempo!",Badajoz,Todos
Recepcionista,Domestiko,España,No especificado,+ 30 d,"3,9","Se busca una persona para desempeñar las funciones de recepcionista en Llerena. Las tareas principales incluirán la atención directa al público en el mostrador, gestionando la ocupación y las ventas de las habitaciones. También se encargará de la custodia de objetos de valor y del dinero que se deposite.

Este puesto es para un contrato laboral temporal, cubriendo una sustitución. La jornada laboral será a tiempo parcial, dedicando 20 horas semanales. El horario es rotativo, abarcando turnos de mañana (de 7 a 15 horas), tarde (de 15 a 23 horas) y noche (de 23 a 7 horas).

Se requiere una titulación media y experiencia previa de al menos seis meses en puestos similares. El conocimiento del idioma inglés se valorará positivamente.",Badajoz,Todos
Administrativo,Domestiko,España,No especificado,+ 30 d,"3,9","Se busca una persona para un puesto administrativo. Es necesario contar con formación de técnico superior en Administración y Finanzas para desempeñar las funciones y tareas propias del rol.

Se valorarán los conocimientos en contabilidad empresarial. La experiencia previa en puestos similares también se considerará positivamente para esta oportunidad.

Se propone un contrato de duración determinada, con la opción de convertirse en indefinido. Se trata de una jornada laboral completa y la remuneración se ajustará a lo establecido en el convenio colectivo.",Badajoz,Todos
Envasador,Domestiko,España,No especificado,+ 30 d,"3,9","En Villfranca de los Barros, se buscan dos personas para un puesto de envasador. Las tareas principales consistirán en el envasado y encajado de productos alimentarios, requiriendo además la manipulación de alimentos.

El contrato inicial será temporal a jornada completa, existiendo la posibilidad de transformarse en un contrato indefinido. Las condiciones salariales se ajustarán a lo estipulado en el convenio colectivo vigente.

El horario de trabajo será partido, con una jornada por la mañana de 08:00 a 13:30 horas y otra por la tarde, de 16:00 a 18:30 horas.",Badajoz,Todos
