Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Administrativo (H/M),Page Personnel,España,No especificado,14 días,"3,6","Estamos buscando un perfil adminitrativo para la zona de Urdaibai

Detalles del cliente

Compañía del sector primario, ubicada en el entorno de Urdaibai. Se trata de un proyecto estable, con un equipo cercano y con la intención de incorporar a una persona que quiera crecer y consolidarse a largo plazo.

Descripción de la oferta

Gestión, revisión y registro de facturas.
Emisión de facturas a clientes y apoyo en la gestión de cobros.
Actualización de bases de datos internas (ERP/CRM) y documentación asociada.
Coordinación con proveedores: seguimiento de pedidos, entregas e incidencias.
Introducción de referencias, pedidos y presupuestos en el ERP.
Atención telefónica y soporte general al equipo.

Perfil del candidato

Formación administrativa, no es imprescindible formación universitaria.
Manejo de herramientas ofimáticas (Excel, Word).
Inglés a nivel operativo.
Valorable experiencia con ERP

Oferta de empleo

Proyecto estable y continuo.
Flexibilidad horaria.
Participación en un departamento en proceso de reorganización, con espacio para aportar y mejorar procesos.
Salario se valorará en función de experiencia",Bilbao,Todos
Ayudante camarero,Originale,España,No especificado,20 días,"3,6","Descripción

Somos Originale, un acogedor coffee shop en el centro de Bilbao. Nos apasiona el café de especialidad y los brunchs saludables. Ofrecemos café tostado localmente, deliciosos tés, tostadas gourmet, yogures frescos y repostería casera. Si amas el café tanto como nosotros y valoras la calidad y la sostenibilidad, ¡únete a nuestra misión de crear experiencias únicas con cada taza y cada plato!

¿Qué estamos buscando?

¡Forma parte de Originale! Buscamos personas positivas y proactivas, que quieran trabajar en un ambiente dinámico y apasionante.

Necesario un nivel medio-alto de inglés y experiencia previa en hostelería. Si eres entusiasta y disfrutas creando experiencias únicas para los clientes, esta es tu oportunidad.

¿Qué ofrecemos?

Contratos de 18-20 horas semanales (disponibilidad las tardes entre semana y los fines de semana )
Salario por convenio

Responsabilidades:

Experiencia del Cliente: Ofrecer una excelente atención, conocer la carta de alérgenos y los estándares de manejo de alimentos.
Orden y Limpieza: Mantén el coffee shop limpio y organizado.

Tipo de puesto: Media jornada, Contrato indefinido

Sueldo: 1.000,00€-1.400,00€ al mes

Beneficios:

Opción a contrato indefinido
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Bilbao,Todos
Auxiliar de Cajas/Reposición,Carrefour,España,No especificado,7 días,"3,6","¡Hola! ¡Queremos conocerte!
¿Te apasiona el mundo del comercio? ¿Te preocupas por los detalles? ¿Te consideras una persona dinámica? ¡Te estábamos esperando!
Carrefour es una empresa líder en comercio de alimentación y distribución y queremos que inicies una carrera profesional llena de posibilidades con nuestros mejores profesionales.
Pretendemos que todos los días sean un aprendizaje, que crezcas y llegues tan lejos como quieras. Te ofrecemos formación a cargo de la empresa y la posibilidad de promocionar internamente para seguir creciendo con nosotros.
¿Qué buscamos?
Que nuestros clientes quieran volver y para ello hay que empezar por nuestros colaboradores. Nuestro objetivo es encontrar personas con don de gentes, dinámicas, con capacidad de aprendizaje y a las que les guste trabajar en equipo.
¿Cuáles serían tus funciones?
Aportar la ayuda que nuestros clientes necesiten en su recorrido por la tienda. Te ocuparás del mantenimiento de la imagen de la tienda, organizar el almacén, cobrar en caja y reponer los productos, para dar a nuestros clientes el servicio que están buscando.


Nos encantará conocerte si cuentas con:

Educación Secundaria Obligatoria (formación mínima requerida).
Habilidades: orientación al cliente, trabajo en equipo, proactividad.
Se valora la experiencia previa pero no es imprescindible.
Incorporación a una gran compañía donde podrás crecer.
Descuento del 8% para ti y para 6 personas más en todos nuestros productos.
Formación continua para desarrollarte profesionalmente.
Programas que se preocupan por tu bienestar: Carrefour Life (actividades y eventos deportivos, descuentos y ventajas exclusivas).

En Carrefour apostamos por un espacio de trabajo idóneo para que cualquier persona con independencia de su género, orientación sexual, identidad y/o expresión de género, creencias, ideologías, origen, capacidades, entre otras, pueda desplegar todo su potencial.",Bilbao,Todos
Camarero,Caradura bar,España,No especificado,12 días,"3,6","Se busca camarero a jornada completa en el centro de Bilbao zona Indautxu en bar de pintxos y bebidas. Toda la información se comentará vía whatsapp. Sería para empezar el día 1 de marzo.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Bilbao,Todos
camarera/ camarero,Admat Bilbao SL,España,2 mil € (Proporcionado por la empresa),13 días,"3,6","Waitress / Waiter Position – DUPLA Bilbao

English and Spanish are required for this job.

Are you passionate about hospitality and great coffee? DUPLA Bilbao is looking for an enthusiastic Waitress / Waiter to join our growing team.

You will provide friendly and professional customer service, take orders at tables and at the counter, serve coffee, fresh juices, baked goods, sandwiches, bagels, and breakfast bowls, and help maintain a clean and welcoming environment. You will also assist with basic food and drink preparation to support smooth team workflow.

We’re looking for someone who is:

Passionate about hospitality and customer experience
Reliable, proactive, detail-oriented, and caring
Comfortable multitasking in a fast-paced environment, even handles chaos with confident
Experienced in cafés or restaurants (preferred but not essential)
Confident communicating in both English and Spanish

We offer:

Permanent contract
Salary according to convenio
Shared tips
Daytime schedule (between 09:00–18:00), maximum 10 hours, but typically 5–6 hours per day
A young, positive, and supportive work environment

Interested? Send us your CV and a short introduction.
We’d love to meet you!

Tipo de puesto: Media jornada, Indefinido

Sueldo: 1.700,00€-2.000,00€ al mes

Horas previstas: entre 20 y 38.5 a la semana

Beneficios:

Comidas en la empresa
Flexibilidad horaria
Seguro de vida

Experiencia:

Hostelería: 1 año (Obligatorio)

Idioma:

Inglés (Obligatorio)

Licencia/Certificación:

Carnet de Manipulación de alimentos (Deseable)

Ubicación del trabajo: Empleo presencial",Bilbao,Todos
operario/a de producción.,Grupompleo,España,"10,61 € Por hora (Proporcionado por la empresa)",5 días,"3,6","euskadimpleo bilbao

Contrataciones mensuales a través de Grupompleo
trabajo a tres turnos
Derio

inscribirme a esta oferta

descripción del puesto vacante

¿Buscas un puesto de trabajo como operario/a de producción?¿Te interesa el sector de las artes gráficas?¡Esta es tu oportunidad!

funciones y responsabilidades

✓ Abastecimiento y retirada de producto en maquina
✓ Movimiento de materiales con transpaleta
✓ Empaquetado y paletizado de pedidos.

requisitos del puesto de trabajo

formación base

No requerida

experiencia laboral

Experiencia superior a 1 año en puestos de producción.

requisitos deseados

✓ Experiencia superior a 1 año en puestos de producción.
✓ Carnet de carretilla elevadora
✓ Carnet de conducir y coche para acudir al puesto de trabajo.
✓ Disponibilidad para trabajar a 3 turnos
✓ Disponibilidad para incorporación inmediata

competencias

Se precisa persona seria y responsable con capacidad de trabajo en equipo

Ten en cuenta que los primeros filtros se realizan de manera automática, te recomendamos completar y comprobar tus datos para que sean lo más precisos posibles.

Los datos aportados serán tratados con la debida confidencialidad conforme a los criterios establecidos en el marco del Reglamento EU 2016/679 del 27 de abril de 2016 y la ley organica 3/2018 del 5 de diciembre de protección de datos de carácter personal.

Al inscribirse en esta oferta otorgas a grupompleo tu consentimiento inequívoco y expreso para ceder tus datos de contacto y currículum a la empresa adherida para el cumplimiento del servicio que presta grupompleo y participar de manera activa en nuestros procesos de selección, pudiendo solicitar información sobre la titularidad, así como ejercer sus derechos en mquijera@grupompleo.com.",Bilbao,Todos
Atención al Cliente (Sector Energía),Lanalden,España,No especificado,24 horas,"3,6","Atención al Cliente (Sector Energía)

Bilbao | 30h/semana | Incorporación inmediata

¿Qué harás?

Atender llamadas de clientes de una gran empresa del sector energético.

Resolver dudas e incidencias

Dar soporte profesional y cercano.

Ofrecemos:

Contrato laboral (con posibilidad de durabilidad).

30 horas semanales.

Turnos rotativos (mañana/tarde, lunes a domingo).

Oficina en el centro de Bilbao.

Buen ambiente de trabajo.

Requisitos:

Experiencia en atención al cliente.

Manejo básico de Office.

Disponibilidad inmediata.

Euskera a nivel de conversación

Tipo de puesto: Contrato indefinido

Sueldo: 1.100,00€-1.300,00€ al mes

Idioma:

Euskera (Deseable)

Ubicación del trabajo: Empleo presencial",Bilbao,Todos
Sales Assistant,Silbon,España,No especificado,+ 30 d,"3,6","SILBON, NOTHING IS CASUAL

¿Te apasiona la moda y quieres formar parte de un equipo dinámico en constante crecimiento?

En Silbon, la marca cordobesa de las dos raquetas estamos buscando talento para unirse a nuestro equipo.

Desde nuestros inicios en 2009, hemos tenido un propósito claro: conectar la marca con nuevos segmentos de clientes a través de nuestra esencia: el diseño y elegancia, la calidad, la normalidad y el compromiso social y medioambiental reforzado con una visión clara: la búsqueda constante de la diferenciación, sorprender para liderar.

Contamos con más de 130 tiendas y más de 500 colaboradores en la compañía entre España, Portugal, Francia y México.

Silbon es moda, pero también es pasión y estilo de vida.

Dress to live, dress to last.

Descripción de la oferta:

Buscamos diferentes perfiles de Sales Assistant de 24-30 h para nuestra tienda ubicada en Bilbao.

Perfil profesional & responsabilidades:

Ofrecer una excelente experiencia de compra a nuestros clientes y fidelizarlos.
Actitud positiva, proactiva y entusiasta.
Capacidad de adaptación y flexibilidad.
Manejo de indicadores para ayudar a alcanzar los objetivos comerciales.
Gusto por la moda, sobre todo el universo masculino y conocimiento de Sastrería.
Vocación de servicio para ayudar a satisfacer las necesidades de nuestros clientes.
Recepción de mercancía, colocación y visual merchandising.
Valoramos experiencia en puesto similar
Se valorará tu movilidad geográfica

Ofrecemos:

Desarrollo profesional con posibilidades de crecimiento profesional
Un excelente entorno profesional en moda premium
Salario acorde al nivel de responsabilidad

¡No dudes en apuntarte a nuestra oferta y desarrolla tu carrera profesional con nosotros!",Bilbao,Todos
Recepcionista polivalente,Accor,España,No especificado,+ 30 d,"3,6","Descripción de la empresa


Ibis Budget Bilbao City es un alojamiento turístico de 149 habitaciones ubicado en Bilbao que dispone de servicio de recepción 24h y además se ofrece servicio de desayuno buffet.


Descripción del empleo


Estamos reclutando recepcionista polivalente para el equipo de ibis Budget Bilbao City (149 habitaciones). Si te consideras una persona carismática que disfruta con las interacciones sociales además de tener una buena actitud, éste es el lugar ideal para desarrollar tu carrera profesional dentro del sector del turismo.


Requisitos


La persona seleccionada se encargará de realizar las tareas derivadas del puesto de recepcionista polivalente como:

Atención al cliente (in situ y via telefónica)
Check-in/ Check-out
Gestión de reservas
Atención al público (información de servicios e información turística)
Auditoria nocturna
Servicio desayuno buffet

Puesto orientado al cliente, por lo que se requiere don de gentes y un excelente trato al público. Se buscan personas responsables y dinámicas, con iniciativa propia.

Imprescindible: nivel alto de inglés, nivel medio francés. Se valorarán otros idiomas.
Disponibilidad horaria para trabajar a turnos (mañana, tarde, noche)
Se valorarán las personas graduadas en turismo y/o con experiencia en puestos similares si bien no se descartan personas sin experiencia y con ganas de aprender y formar parte de este nuevo reto.

Información adicional

Enviar curriculum y carta de presentación al email: hb0z4-gm@accor.com",Bilbao,Todos
Auxiliar de inventario/almacén,Elemfur,España,No especificado,2 días,"3,6","Buscamos Auxiliares de Inventario / Almacén para realizar tareas de conteo, control y etiquetado de material, así como apoyo en movimientos internos con carretilla en importante empresa de Amorebieta.

Funciones principales

Conteo físico de inventario.

Control de entradas y salidas de material.

Etiquetado y codificación de productos.

Organización y ubicación de mercancía en almacén.

Manejo de carretilla elevadora/apiladora.

Registro de datos en sistema.

Detección y reporte de incidencias.

Requisitos

Experiencia previa en almacén o inventarios (valorable).

Carnet de carretilla/apiladora en vigor (obligatorio).

Manejo básico de herramientas informáticas.

Persona organizada, responsable y con atención al detalle.

Capacidad para realizar trabajo físico.

Ofrecemos
Contrato de un mes prorrogable

HORARIO: a tres turnos, de 6:00 a 14:00, de 14:00 a 22:00 y de 22:00 a 6:00",Bilbao,Todos
