Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Mecánico/a de neumáticos de camión,Bridgestone Global,España,No especificado,+ 30 d,"3,8","Mecánico/a de neumáticos de camión
RESUMEN DEL PUESTO
JobReq ID: 53993
Modalidad de Trabajo: Presencial
Tipo de contrato: Contrato temporal
Jornada completa/Jornada parcial: Jornada completa
Ubicación: BURGOS, ES
SOBRE NOSOTROS

Bridgestone Americas, Inc. (BSAM), con sede en Nashville, Tennessee, y Bridgestone Europe, Middle East and Africa (BSEMEA), con sede en Bruselas, Bélgica, operan colectivamente como una región estratégica «Bridgestone West». Esta región da servicio a las necesidades empresariales estratégicas de los equipos de América, Europa, Oriente Medio y África. BSAM y BSEMEA son filiales de Bridgestone Corporation, con sede mundial en Japón. Bridgestone y sus filiales desarrollan, fabrican y comercializan una amplia gama de productos y soluciones de las marcas Bridgestone, Firestone y asociadas para satisfacer las necesidades de una amplia gama de clientes e industrias.

SOBRE LA POSICIÓN

Objetivo del puesto

En Burgos (Gamonal), estamos buscando incorporar a un/a mecánico/a de neumáticos de camión quien realizará trabajos de montaje de neumáticos y control de desgaste.

First Stop y Elma son filiales del Grupo Bridgestone en España. En conjunto, gestionamos una red de aproximadamente 46 centros de servicio en todo el territorio nacional, ofreciendo cobertura integral en soluciones de mantenimiento para el automóvil. First Stop está especializada en neumáticos y servicios de mantenimiento de automoción, tanto para clientes particulares como para flotas profesionales. Nuestra oferta abarca una completa gama de productos y servicios, incluyendo diagnóstico electrónico, mantenimiento preventivo, sustitución de neumáticos, frenos, suspensión, correas de distribución, embragues, sistemas de aire acondicionado y cambios de aceite. Asimismo, contamos con una sólida experiencia en la gestión de neumáticos para vehículos ligeros y pesados. Comprometidos con la calidad y la seguridad, en First Stop trabajamos cada día para ofrecer un servicio eficiente, profesional y orientado al cliente.


Responsabilidades:

Montaje de neumáticos de camión
Reparación de neumáticos de camión



Cualificaciones y experiencia requeridas




Educación, Máster, otras cualificaciones:

Formación Profesional Grado Medio



Experiencia (años):

Deseable 1 año de experiencia



Habilidades técnicas:

Carnet de conducir
Experiencia demostrable en las siguientes funciones:
Neumáticos
Reparación de neumáticos
Valorable: Conocimiento de camiones



Habilidades sociales:

Calidad
Trabajo en equipo



Idiomas:

Español



Nuestros Beneficios:

Salarios según convenio en función del valor aportado por el candidato/a.
Contrato a jornada completa.
Jornada de trabajo de lunes a viernes
Conciliación: Disfruta del día de tu cumpleaños si coincide en día laboral.
Estabilidad laboral.
Descuento importante en neumáticos y servicios de mecánica rápida para empleados/as a partir del primer año.
Programa conexión de descuentos en productos y servicios para familiares y amigos.
Acceso a sistemas de retribución flexible con beneficios fiscales. ¡Obtén más beneficio de tu nómina!
Formación técnica.
Formación gratuita de inglés.
Inmejorable ambiente de trabajo.
Opciones reales de desarrollo de carrera profesional en un grupo de empresas multinacional.
Día extra de vacaciones en tu 10º aniversario en la compañía.
Plan de wellbeing empresarial del año en curso (2025).
Ayudas a la discapacidad.
Equiparamos la pareja de hecho al matrimonio.
Mindfulness.
EAP: Asesoramiento para las personas de compañía y sus familias en áreas legales, familiares, bienestar...pensada para ti y los tuyos. Incluye 6 sesiones de psicólogo y 6 sesiones de coaching professional.
QUÉ OFRECEMOS

En Bridgestone, lo que realmente importa es fomentar las oportunidades de creación y desarrollarte para ser creativo y curioso para hacer que la movilidad sea más segura, más eficiente y más sostenible para las generaciones futuras. Sea cual sea la función que desempeñes, cuando representas a Bridgestone, eres un compañero/a de equipo valioso, y parte de nuestra misión más amplia de «Servir a la Sociedad con Calidad Superior», por ello, te ofrecemos algo más que un salario competitivo; te proporcionaremos:

Una experiencia de incorporación positiva y atractiva para garantizar una transición fluida a nuestro equipo.
La oportunidad de desarrollarse y crecer, a través de la formación y desarollo.
Actividades de responsabilidad social corporativa.
Un entorno de trabajo verdaderamente global, dinámico y estimulante.
Agilidad y eficacia en el trabajo y tu bienestar a largo plazo.
Un equipo diverso e integrador.

Nos comprometemos a crear una cultura aún más integradora que fomente la equidad, acoja la individualidad y ayude a prosperar a nuestros cada vez más diversos compañeros/as de equipo, clientes y comunidades, ofreciendo igualdad de oportunidades en el empleo. Esto significa que todos los solicitantes de empleo recibirán el mismo trato y que no discriminaremos por motivos de sexo, estado civil, etnia, color, nacionalidad, origen nacional, discapacidad, orientación sexual, religión o edad.",Burgos,Todos
Aux. Administrativo,CETEO SL,España,No especificado,14 días,"3,8","SE PRECISA AUX ADMINISTRATIVO/A PARA TRABAJAR DE MANERA TELEMATICA Y DE MANERA PRESENCIAL POR TEMPORADAS Y CON CARNET DE CONDUCIR Y COCHE.

Tipo de puesto: Jornada completa

Preguntas para la solicitud:

CERTIFICADO DE DISCAPACIDAD?
CARNET DE CONDUCIR Y COCHE PROPIO?

Ubicación del trabajo: Teletrabajo híbrido en Burgos, Burgos provincia",Burgos,Todos
MONITORES/AS DE OCIO Y TIEMPO LIBRE,Sprintem,España,No especificado,30 días,"3,8","Empresa
sprintem
Descripción de la empresa
Servicios deportivos y hosteleria
Ubicación
Provincia : Burgos
Población : Burgos, Pineda de la Sierra y Espinosa de los




Descripción del puesto vacante

Nombre del puesto
MONITORES/AS DE OCIO Y TIEMPO LIBRE

Categoría
Titulados
Sector
Ocio y tiempo libre

Perfil deseado

Formación mínima
Título Bachiller/B.U.P./C.O.U.
Idiomas
""No es necesario""

Informática
""No es necesario""

Experiencia mínima necesaria
2 años
Descripción de la oferta

Condiciones del empleo
Imprescindible residencia en lugar de trabajo
Indiferente
Horario
Lunes a domingo
Jornada
Indiferente
Tipo de Contrato
Eventual Circ. Prod
Remuneración estimada *
450-600 € brutos / semana
Carnet de conducir
B
Imprescindible vehículo propio
No
Salario bruto anual, excepto que se indique lo contrario.",Burgos,Todos
ALMACÉN BURGOS_Cajero/a 24 horas semanales,Obramat,España,No especificado,+ 30 d,"3,8","OBRAMAT es la empresa de referencia de distribución de Materiales en el mercado de la Reforma y Construcción integrada en GRUPO ADEO, primer grupo en el ranking europeo en distribución especializada en el acondicionamiento del hogar y tercero en el ranking mundial, matriz de empresas como Leroy Merlín, Tecnomat, Saint Maclou, KBane, Weldom y Adeo Services.
Actualmente, contamos con 38 Almacenes en España y Portugal, y ya somos más de 7.000 colaboradores/as comprometidos/as con nuestro proyecto de empresa.
colaboradores/as comprometidos/as con nuestro proyecto de empresa.
Nuestro compromiso fundamental se encuentra en las personas: nuestros Colaboradores/as y nuestros Clientes. Son ellos los que dan vida a OBRAMAT y nuestra razón de ser.
Nos esforzamos día a día por ofrecer a todos nuestros Clientes la mejor experiencia de compra, basada en un asesoramiento profesional. Para esto, el talento de nuestros Equipos es nuestro principal pilar.
¿CUÁL SERÁ TU MISIÓN?
En dependencia del/la Responsable de Cajas tendrás la misión de contribuir por ti mismo/a a la satisfacción de los clientes y al desarrollo de las ventas, asegurando una excelente experiencia de compra.
¡ERES UNA PIEZA FUNDAMENTAL EN EL EQUIPO! Tus funciones serán:
Asegurar la satisfacción del cliente mediante la eficacia del paso por caja. Acogida y fluidez.
Realizar un cobro fiable y eficaz.
Cumplir con los procedimientos de cajas y control de demarca.
Contribuir con el cumplimiento de los objetivos de cajas.
Colaborar en equipo en el marco de los valores de la compañía.
Participar en la vida del almacén y empresa.
¿CUÁL ES NUESTRO PERFIL IDEAL?
Tener experiencia en puesto de caja en superficie comercial con rapidez en el cobro y buena atención al cliente.
Experiencia en comercio o grandes superficies.
Iniciativa, motivación y afán de superación con una orientación a la venta y a la atención al cliente
Residir en la provincia del puesto vacante y tener posibilidad de trasladarte al almacén con vehículo propio o transporte público.
¿QUÉ TE OFRECEMOS POR TENER LA SANGRE NARANJA?
Contrato indefinido a media jornada de 24 horas semanales en una empresa de sólidos resultados, con un plan de expansión ambicioso a nivel nacional e internacional, y que forma parte de uno de los grupos líderes en la distribución en Europa
Conviértete en accionista del grupo ADEO.
31 días naturales de vacaciones.
Día de tu cumpleaños libre.
10% de descuento en tus compras OBRAMAT.
50% del seguro de salud pagado por la empresa.
Cesta de Navidad.
Seguro de vida.
Descuentos en tus compras de Ocio, Belleza, Tecnología... Gracias a nuestro programa de fidelización ""Te lo mereces"".
Plan personalizado de formación para potenciar las oportunidades de crecimiento dentro de la Compañía


(Todos los proyectos de desarrollo profesional de OBRAMAT consideran la igualdad de trato entre hombres y mujeres de acuerdo con lo establecido en la vigente normativa, así como lo establecido en nuestro Plan de Igualdad. Nuestra decisión de contratación estará basada únicamente en criterios objetivos de profesionalidad, de méritos y de capacidad).


Departamentos
Comercio (Almacén)
Puesto
Venta
Ubicaciones
Burgos
Tipo de empleo
Tiempo parcial
Número de vacantes
4",Burgos,Todos
Administrativo/a Logística y Báscula,SAICA,España,No especificado,+ 30 d,"3,8","Únete a Saica Natur, división del Grupo Saica, especializada en la gestión de residuos y soluciones medioambientales. Desde Saica Natur, darás vida a los residuos dándoles una segunda vida, impulsando con ello la economía circular.



En el Grupo Saica, hemos integrado la economía circular en nuestro modelo de negocio, apostando por la sostenibilidad como motor para alcanzar un modelo de producción más responsable. En Saica Natur, ¡serás parte del círculo! Para ello, creemos en el talento, el crecimiento profesional y el impacto positivo en el mundo. Si buscas un entorno dinámico donde cada día es una oportunidad para innovar y crear un mundo mejor ¡El Grupo Saica es tu sitio!



Puesto:

Administrativo/a Logística y Báscula

Descripción del puesto:

Buscamos una persona con experiencia administrativa para el departamento de logística de nuestra planta de Burgos, siendo sus principales tareas:

Pesaje de entrada/salida de vehículos en báscula
Interacción con conductores
Interacción con producción para organización de cargas y descargas
Gestión documental partes de trabajo/ partes de traslado / documentación de traslado de residuos
Confirmación de partes de trabajo
Control de accesos
Facturación albaranes
Atención telefónica

Experiencia laboral:

Logistics

Estudios:

Formación Profesional de Grado Superior: Administration

Tipo de empleado:

Regular

¿Por qué elegirnos?

Al unirte al Grupo Saica, eliges más que un trabajo: eliges una carrera con propósito que se alinea con tus valores. Colaborarás con personas comprometidas para construir un futuro sostenible, haciendo una contribución significativa a nuestro mundo.

El Grupo Saica está comprometido con la Prevención de Riesgos Laborales de sus trabajadores y empresas colaboradoras, el Medio Ambiente, la Calidad de sus productos y servicios y la Igualdad de Oportunidades entre hombres y mujeres. En nuestro trabajo buscamos el equilibrio entre la vida profesional y personal.

Todos los CVs recibidos serán tratados de acuerdo a la legislación de Protección de Datos de Carácter Personal y serán archivados salvo que el candidato manifieste por escrito su derecho de cancelación o rectificación.",Burgos,Todos
VENDEDOR/A,JYSK,España,No especificado,+ 30 d,"3,8","Descripción de la empresa


JYSK es la marca de muebles, decoración y sistemas de descanso de origen escandinavo por excelencia. Desde que abrimos nuestra primera tienda en Dinamarca en 1979 no hemos parado de crecer, y hoy, con más de 3500 tiendas, estamos presentes en más de 50 países a nivel mundial. En JYSK queremos seguir creciendo y, para ello, necesitamos a los mejores en nuestro equipo.


Descripción del empleo


¿Te entusiasman las ventas? ¿Quieres proporcionar el mejor servicio al cliente de JYSK en España junto con tu equipo? ¿Te gusta la variación y un ritmo de trabajo dinámico?

¡Entonces puedes ser el Vendedor que estamos buscando!

QUÉ TE OFRECEMOS

Te ofrecemos la oportunidad de unirte a una empresa de distribución que escucha a sus colaboradores y se esfuerza cada día para ser un excelente lugar para trabajar. Somos dinámicos y tu desarrollo es crucial para nosotros. Además, como embajador de JYSK, obtienes lo siguiente:

Contrato indefinido a 30 horas semanales
Oportunidades para tu crecimiento y desarrollo: nuestro objetivo es que el 80% de nuestros futuros managers provengan de la promoción interna. Descubre más aquí.
Concursos internos entre tiendas con atractivos premios
Bonificaciones competitivas que premian los grandes resultados de ventas
Un horario de trabajo flexible
15% de descuento en todas las tiendas JYSK
Seguro de salud privado, fiesta anual, actividades internas (participación en eventos patrocinados como carreras, voluntariados, etc.)

CÓMO SERÁ TU TRABAJO EN JYSK

Serás responsable de las ventas en la tienda: ofrecerás a nuestros clientes el mejor servicio con una sonrisa
Garantizarás que la tienda esté 100% limpia y repuesta de nuestros productos
Participarás en el proceso de recepción de la mercancía y su correcta gestión y almacenaje
Tendrás la oportunidad de especializarte en tu propia área en la tienda

Conoce a uno de nuestros Sales Assistant y aprende cómo somos como empleador aquí.

QUÉ DEBES TRAER

Disfrutas hablando con los clientes y les proporcionas la mejor experiencia de compra que puedan imaginar
Estar en movimiento es parte de tu día a día, y no tienes problema en asumir tareas físicas como mover productos o preparar pedidos.
Eres un buen compañero para tu equipo: juntos os esforzáis para conseguir grandes resultados
Te gusta la variedad y eres flexible: tanto en las tareas como en los horarios
Tienes disponibilidad para trabajar en horarios rotativos
Estudios de Educación Secundaria Obligatoria o superiores

Información adicional


Proceso de selección en España:

Procesamos las solicitudes de forma continua y completamos la contratación cuando encontramos al candidato adecuado
Revisaremos tu candidatura en el plazo de 1 semana (días laborables)
Si tiene éxito, te enviaremos un link para que respondas a algunas preguntas en vídeo
A continuación, te haremos una breve entrevista telefónica
En caso de que superes todas las fases anteriores te invitaremos a una entrevista presencial

SOBRE NOSOTROS

Creemos que nuestros colaboradores son la clave de nuestro éxito, pasando de una tienda en 1979 a más de 3500 tiendas en todo el mundo en la actualidad. Por eso nos esforzamos en ofrecer desarrollo y posibilidades de crecimiento dentro de JYSK, y también nos sentimos orgullosos de premiar el compromiso y el gran esfuerzo de nuestros colaboradores. Nuestros tres valores fundamentales JYSK: comerciante, compañero y espíritu corporativo, expresan el comportamiento y la actitud que esperamos de cada persona en JYSK. Confiamos unos en otros, y creemos en la delegación y la libertad con responsabilidad.

JYSK quiere incluir a todos, sin importar la edad, la identidad de género, la raza,la etnia, la orientación sexual, la capacidad física o mental. Juntos, aseguramos nuestra cultura inclusiva que anima, apoya y celebra las diversas voces de nuestros colaboradores. Porque una gran mezcla de mentes, talentos y personalidades únicas nos hace un equipo más fuerte.

Para más información, por favor visita nuestra página de carrera

Conoce cómo tratamos tus datos en nuestra Política de Privacidad.",Burgos,Todos
Azafata/o de caja y reposición,Alcampo,España,No especificado,+ 30 d,"3,8","Realizar la recepción y control de la mercancía, asegurando la frescura y las condiciones de entrada de los productos..
Elaborar y reponer los lineales para garantizar la variedad de los productos a la venta.
Retirar el producto sobrante del día anterior y limpieza de cámaras y lineales correspondientes.
Controlar el stock existente de la mercancía para apoyar al Responsable de la Sección en la realización de inventarios y pedidos. Controlar caducidades de productos en stock.
Limpiar, ordenar y supervisar el material de manipulación del producto y las instalaciones del mercado
Educación Secundaria Obligatoria
Formación sobre manipulación de alimentos/seguridad alimentaria
Conocimientos del producto de panadería y pastelería y elaboración del mismo.

Amabilidad, buena acogida y ganas de trabajar",Burgos,Todos
Auxiliar de Cajas/Reposición,Carrefour,España,No especificado,24 horas,"3,8","¡Hola! ¡Queremos conocerte!
¿Te apasiona el mundo del comercio? ¿Te preocupas por los detalles? ¿Te consideras una persona dinámica? ¡Te estábamos esperando!
Carrefour es una empresa líder en comercio de alimentación y distribución y queremos que inicies una carrera profesional llena de posibilidades con nuestros mejores profesionales.
Pretendemos que todos los días sean un aprendizaje, que crezcas y llegues tan lejos como quieras. Te ofrecemos formación a cargo de la empresa y la posibilidad de promocionar internamente para seguir creciendo con nosotros.
¿Qué buscamos?
Que nuestros clientes quieran volver y para ello hay que empezar por nuestros colaboradores. Nuestro objetivo es encontrar personas con don de gentes, dinámicas, con capacidad de aprendizaje y a las que les guste trabajar en equipo.
¿Cuáles serían tus funciones?

Aportar la ayuda que nuestros clientes necesiten en su recorrido por la tienda.
Te ocuparás del mantenimiento de la imagen de la tienda, organizar el almacén, cobrar en caja y reponer los productos, para dar a nuestros clientes el servicio que están buscando.

Nos encantará conocerte si cuentas con:

Educación Secundaria Obligatoria (formación mínima requerida).
Habilidades: orientación al cliente, trabajo en equipo, proactividad.
Se valora la experiencia previa pero no es imprescindible.
Incorporación a una gran compañía donde podrás crecer.
Descuento del 8% para ti y para 6 personas más en todos nuestros productos.
Formación continua para desarrollarte profesionalmente.
Programas que se preocupan por tu bienestar: Carrefour Life (actividades y eventos deportivos, descuentos y ventajas exclusivas).

En Carrefour apostamos por un espacio de trabajo idóneo para que cualquier persona con independencia de su género, orientación sexual, identidad y/o expresión de género, creencias, ideologías, origen, capacidades, entre otras, pueda desplegar todo su potencial.",Burgos,Todos
COORDINADOR/A DE ALMACÉN,STEF,España,No especificado,+ 30 d,"3,8","¿Te apetece asumir nuevos retos en un mundo que no deja de moverse?. En STEF, líder europeo en transporte y logística alimentaria, alimentamos cada día a millones de personas en Europa. Únete a los 25.000 profesionales que ya confían en nosotros y descubre una aventura donde podrás crecer profesionalmente en un ambiente agradable. ¡Te estamos esperando!


STEF, especialista en actividades de Transporte y Logística, busca para su delegación de Burgos, un/a Coordinador de Almacén para un contrato indefinido.


Se trata de un puesto de gestión operativa en el área de logística, en el que tendrás que gestionar un equipo de personas con el objetivo de conocer, seguir y transmitir los objetivos, así como identificar y desarrollar las competencias de los colaborador@s.


Tu misión:



Planificar, distribuir y seguir las tareas del equipo a cargo, en función de los cronogramas y las necesidades del momento.
Llevar a cabo el mantenimiento de la organización, orden y limpieza del área de trabajo.
Confeccionar los cuadrantes de turnos para posterior validación por el responsable.
Garantizar la buena integración (recibimiento, formación, acompañamiento) de los nuevos miembros del equipo.
Reportar todos los indicadores de la actividad y propuesta de áreas de mejora.


¿Qué buscamos?


Formación Profesional de Grado Medio/Superior en logística, transporte o administración.
Experiencia de al menos 3 años en un puesto similar gestionando equipos, idealmente en el ámbito logístico (sectores de gran distribución, industria, servicios a empresas).
Persona acostumbrada a trabajar con indicadores y orientada a resultados.


¿Qué te ofrecemos?



Trabajar en un ambiente dinámico en el que te integrarás con el equipo de Burgos.
Desarrollar tu comunicación y planificación, trabajando en equipo.


¿La diferencia en STEF?


Ser Coordinador/a de Almacén en STEF supone la oportunidad de desarrollar las competencias específicas en la gestión de equipos, adquirir conocimientos técnicos en la operativa específica y tener la posibilidad de evolucionar a un puesto de responsable de actividad.


Unirse a STEF también es:
Formar parte de una filial con una dimensión humana, en el seno de un grupo dinámico que te abrirá perspectivas de evolución con un recorrido de integración individualizado.
Desarrollar tus competencias a lo largo de toda tu carrera, gracias a una ambiciosa política de formación.
Convertirse en accionista de tu empresa, como 10.000 de nuestr@s colaborador@s.



¡No esperes más! ¡Construye tu futuro en STEF y contribuye al porvenir de un grupo en desarrollo! https://www.stef.jobs/",Burgos,Todos
Production Planner,Bridgestone Global,España,No especificado,+ 30 d,"3,8","Production Planner
POSITION SNAPSHOT
JobReq ID: 54340
Type of work: On site
Type of contract: Open-ended/permanent
Full/Part Time: Full time
Location: Burgos, ES
ABOUT US

Bridgestone Americas, Inc. (BSAM), headquartered in Nashville, Tennessee, and Bridgestone Europe, Middle East and Africa (BSEMEA), headquartered in Brussels, Belgium, operate collectively as a “Bridgestone West” strategic region. This region services the strategic business needs of teams across the Americas, Europe, Middle East and Africa. BSAM and BSEMEA are subsidiaries of Bridgestone Corporation, globally headquartered in Japan. Bridgestone and its subsidiaries develop, manufacture and market a wide range of Bridgestone, Firestone and associate brand products and solutions to address the needs of a broad range of customers and industries.

ABOUT THE ROLE

PRODUCTION PLANNER

Misión:
Gestionará la planificación y gestión de los pedidos de todo el proceso productivo de la Planta, de acuerdo a los objetivos de volumen, desperdicio, costo y estándares de calidad.
Organigrama:


Kpi´s de la posición:

100% órdenes cliente en tiempo y forma.
100% volumen producción ( N.º cubiertas solicitadas vs. N.º cubiertas almacenadas/día).
Cumplimiento objetivos : Desperdicio, costo y calidad.

Perfil ideal:
Competencias Clave

Planificación , toma de decisiones, resolución de Problemas
Análisis y Establecimiento de Prioridades
Pasión por resultados
Valentía-Agilidad-Pertenencia
Crea Colaboración
Desarrollo Personal y Resiliencia
Comunicación efectiva
Mentalidad Preventiva
Formación y experiencia

Ingeniería técnica, grado universitario o Ingeniería Superior en Organización industrial.
2 años de experiencia en planificación de la producción en entornos industriales.
Habilidades

Inglés B2
Paquete office (Excel) Nivel Avanzado
Requisitos mínimos (candidaturas internas)

Formación Profesional Grado Superior .
Ser empleado de Bridgestone durante al menos 12 meses y tener una evaluación igual o superior a SOLID.
WHAT WE OFFER

At Bridgestone, what really matter is to foster co-creation opportunities and empowering you to be creative and curious to make mobility safer, more efficient, and more sustainable for future generations. Whatever role you fill, when you represent Bridgestone, you are a valued teammate, and part of our larger mission to “Serve Society with Superior Quality”, for that, we offer you more than just a competitive payment; we will provide you:

A supportive and engaging onboarding experience to ensure a smooth transition into our team.
The opportunity to develop and grow, through training and regular mentorship.
Corporate Social Responsibility activities.
A truly global, dynamic and challenging work environment.
Agility and work/life effectiveness and your long-term well-being.
A diverse and inclusive team.

We are committed to create an even more inclusive culture that advances equity, embraces individuality, and helps our increasingly diverse teammates, customers, and communities thrive, by providing equal opportunities in employment. This means that all job applicants and members of staff will receive equal treatment and that we will not discriminate on grounds of gender, marital status, race, ethnicity, color, nationality, national origin, disability, sexual orientation, religion or age.",Burgos,Todos
