Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Contable,Kolibri Consulting,Castellón de la Plana,22 mil € - 28 mil € (Proporcionado por la empresa),24 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en 12001 Castelló De La Plana/Castellón De La Plana, Castellón provincia",Castellón de la Plana,Todos
Agente comercial con Plan de Carrera,Occident,Castellón de la Plana,No especificado,21 días,"3,9","¿Te gustaría formar parte de Occident? ¡Esta es tu oportunidad!

¿ Qué te ofrecemos?

Acceso a un Programa con un plan de formación continua, homologado por lo Dirección General de Seguros y Fondos de Pensiones.
Flexibilidad horaria.
Ambicioso paquete retributivo compuesto por financiación, variables y comisiones recurrentes acumulativas.
Derechos económicos sobre la cartera de clientes.
Gestión de la cartera de clientes, mediante CRM propio, para un óptimo seguimiento de la actividad comercial.
Acompañamiento y mentoring por parte de un supervisor especializado.
Posibilidad de apertura de una oficina propia una vez finalizado el Plan de Carrera.

¿Qué ventajas tiene para ti?

No es necesaria experiencia previa en el sector (sí valorable experiencia comercial).
Acceso a una retribución estable y sin límites variables gracias al sistema de comisiones recurrentes acumulativas.
Flexibilidad horaria total.
Gran ambiente de trabajo, con acceso a premios, viajes, promociones, beneficios y descuentos en productos comercializados.

Requisito indispensable tener los estudios homologados en España.

Tu futuro sólo depende de ti, asegura tu futuro profesional asegurando el de nuestros clientes.

Tipo de puesto: Autónomo

Beneficios:

Ayuda al desarrollo profesional
Flexibilidad horaria
Formación en certificaciones profesionales
Programa de formación
Teletrabajo opcional

Preguntas para la solicitud:

¿Has trabajado alguna vez enfocado/a a objetivos?

Ubicación del trabajo: Teletrabajo híbrido en 12006 Castelló De La Plana/Castellón De La Plana, Castellón provincia",Castellón de la Plana,Todos
Conductor/a de Recogida Noche (Temporal) – Alquerías del Niño Perdido (Castellón),PreZero,España,No especificado,22 días,"3,9",N/A,Castellón de la Plana,Todos
CAMARERA/MONITORA PARQUE INFANTIL,Promomart,España,No especificado,22 días,"3,9","Para parque infantil en Burriana se necesita incorporar una persona a media jornada para tareas de camarera y monitora, imprescindible experiencia. Se requiere que sea una persona educada, paciente, dinámica, trato agradable. Igualmente se requiere disponibilidad para trabajar los fines de semana y festivos, y alguna tarde entre semana. Imprescindible residir en Burriana o localidades vecinas. Incorporación inmediata. Interesadas enviar currículum con foto a: personal@grupomart.es

Tipo de puesto: Media jornada

Ubicación del trabajo: Empleo presencial

Tipo de puesto: Media jornada

Ubicación del trabajo: Empleo presencial",Castellón de la Plana,Todos
Técnico de camiones Les Alqueries (Castellón),DAF,España,No especificado,+ 30 d,"3,9","Técnico de camiones

¿Has trabajado como mecánico, técnico automotriz o incluso como mecánico de coches (o simplemente estás listo para un nuevo reto)? En DAF, damos la bienvenida a profesionales con una mentalidad técnica que quieran desarrollarse como técnico de camiones. Tener experiencia como mecánico de coches o técnico automotriz puede ser una gran base, pero lo que más importa es tu pasión por los camiones.

¿Estás ""Hecho para DAF""?

Perfecto, porque justo estamos buscando talento. En un concesionario DAF, trabajarás con camiones líderes del mercado para devolverlos a la carretera lo más rápido posible cuando requieran un mantenimiento y utilizarás los sistemas de taller más avanzados en vehículos equipados con tecnología de vanguardia. Si te gusta asumir responsabilidades, te invitamos a formar parte de un gran equipo en el concesionario DAF.

En función de tus conocimientos y experiencia actuales, y adaptado a los requisitos específicos del puesto, esto es lo que puedes esperar en tu trabajo diario:

Serás responsable de realizar diagnósticos rápidos y precisos utilizando herramientas de diagnóstico.
Trabajarás de forma independiente para realizar las tareas de mantenimiento y reparación de los vehículos y componentes DAF.
Realizarás diversas inspecciones (ITV, tacógrafo, etc.).
Ayudarás y asesorarás diariamente a los técnicos menos experimentados.
Realizarás las comprobaciones finales de los trabajos completados.

Esto es lo que estamos buscando:

Gente motivada para trabajar con camiones, ya sea en el taller o utilizando equipos de diagnóstico.
Gente motivada para desarrollar sus habilidades técnicas, como reparaciones de motores o solución de problemas eléctricos.
Gente motivada para aprender sobre la instalación de accesorios y la preparación de vehículos para la entrega.
Gente orgullosa de su trabajo, con una auténtica pasión por mantener los vehículos en las mejores condiciones.
Gente deseosa de mantener y ampliar sus conocimientos actualizados con los avances del sector.
Gente con una actitud positiva y entusiasmo por trabajar en equipo.
Valoramos la experiencia previa como mecánico de camiones, pero también damos la bienvenida a nuevos entusiastas.

¿Está DAF hecho para ti?

Esto es lo que garantizamos:

Responsabilidad individual y libertad de acción.
Salario competitivo y beneficios adicionales.
Muchas oportunidades de formación y posibilidades de promoción.

¿Estás hecho para DAF? Rellena el formulario que encontrarás en nuestro sitio web.",Castellón de la Plana,Todos
Operario/a en Embotelladora de Agua | Cortes de Arenoso,Importaco,España,No especificado,+ 30 d,"3,9","️ ¿Quieres trabajar en una empresa en expansión donde cada día aprenderás algo nuevo?

En la embotelladora Aguas de Cortes (Importaco Waters) encontrarás estabilidad, aprendizaje y un equipo que te apoya en todo momento.

POR FAVOR MUY IMPORTANTE REVISA LA UBICACIÓN:

Estamos ubicados aquí: https://maps.app.goo.gl/1Air1jWNAwWqHxgS8

Beneficios de trabajar con nosotros
Turnos rotativos organizados con antelación: mañana (6:00-14:00), tarde (14:00-22:00) y noche (22:00-6:00). Podrás planificar tu vida personal con antelación.
Fines de semana libres: tendrás tus descansos garantizados.
Vacaciones fuera de campaña: podrás disfrutar de tus vacaciones en Navidad, Pascua o cualquier época fuera del verano.
Puntualidad en el pago: recibirás tu nómina siempre a tiempo.
Contrato indefinido desde el inicio, con opción de temporal si lo prefieres.
Comedor equipado: espacio adaptado para que descanses cómodamente.
Mejora continua: tus aportaciones e ideas siempre serán bienvenidas.
Tecnología y automatización: aprenderás a manejar máquinas modernas sin miedo, paso a paso.
Qué te hará triunfar en este puesto
Vivir cerca de Cortes de Arenoso y tener vehiculo propio: fundamental para llegar sin complicaciones. Además, el compañerismo facilita compartir coche.
Experiencia en líneas de producción o entornos industriales: te permitirá adaptarte con rapidez.
Dinamismo y compromiso: tu motivación será clave para avanzar en un entorno con ritmo.
Actitud y ganas de aprender: valoramos mucho la motivación y la proactividad. Aunque no tengas experiencia previa, aquí tendrás la oportunidad de formarte y crecer paso a paso con nuestro apoyo.
Tu misión y responsabilidades
Controlarás la maquinaria de producción y alimentarás las líneas con el material necesario.
Retirarás productos defectuosos y asegurarás la calidad de la producción.
Mantendrás limpio y ordenado tu puesto de trabajo.
Propondrás mejoras para optimizar los procesos.
Da el siguiente paso.

¡Un horario estable, un gran equipo y un entorno en crecimiento te esperan!

Inscríbete hoy mismo y empieza tu próximo reto en Cortes de Arenoso.",Castellón de la Plana,Todos
PROMOTOR/A COMERCIAL - CONTRATACIÓN URGENTE,ESR Energy Solutions,España,24 mil € - 25 mil € (Proporcionado por la empresa),10 días,"3,9","Somos una empresa líder en el sector de las energías renovables, especializada en la comercialización e instalación de paneles solares fotovoltaicos para viviendas particulares.

¿Qué harás en tu día a día como comercial?

Prospectar y captar clientes potenciales a través de técnicas de venta directa en zonas residenciales.
Presentar nuestras soluciones energéticas personalizadas a familias interesadas en reducir su factura eléctrica.
Representar la imagen de nuestra marca, generando confianza y ofreciendo un servicio de calidad.
Cumplir con los objetivos de ventas

¿Qué buscamos?

Experiencia demostrable en ventas puerta a puerta.
Perfil comercial, dinámico, con habilidades de comunicación y orientación a resultados.
Valorable experiencia como dependiente/a o promotor/a.

¿Qué te ofrecemos?

Contrato indefinido desde el primer día.
Salario fijo 1253€/bruto mensual + comisiones. Ingresos 24K brutos/año (según resultados).
Jornada laboral de 30h semanales (L-V de 13:30 a 19:30).
Formación inicial y continua a cargo de la empresa, con acompañamiento desde el primer día.
Coche de empresa con kilometraje incluido por equipo.
Teléfono móvil.

Si te apasiona el trato con las personas, tienes talento para la venta directa y quieres formar parte de un sector con futuro, ¡esperamos tu candidatura!

Tipo de puesto: Media jornada, Contrato indefinido

Sueldo: 24.000,00€-25.000,00€ al año

Beneficios:

Ayuda al desarrollo profesional
Cesta de navidad
Coche de empresa
Eventos de la empresa
Programa de formación
Teléfono de empresa
Uniforme proporcionado

Preguntas para la solicitud:

¿Tienes disponibilidad para incorporarte el 23 de febrero?

Experiencia:

sector comercial: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Castellón de la Plana,Todos
VENDEDOR/A MUEBLES DE COCINA Y HOGAR,Schmidt,Sagunto,No especificado,9 días,"3,9","SOBRE NOSOTROS

Una gran familia donde crecer y alcanzar el éxito

Somos el fabricante francés de equipamiento para el hogar líder en el sector, con una red de más de 500 tiendas en todo el mundo. Esto es posible gracias a que todos los que hacemos Schmidt cada día compartimos una misma pasión, crear soluciones reales y de calidad.

Trabajar en Schmidt no significa solo vender mobiliario. Desde cualquiera de nuestras tiendas, marcarás la diferencia en la vida de nuestros clientes, creando vínculos estrechos y desarrollando tu carrera junto a grandes profesionales. Para ello contarás con cursos formativos y oportunidades de movilidad y crecimiento dentro de la compañía.




Formar parte del equipo de diseño y ventas significa hacer realidad los sueños de nuestros clientes.

En Schmidt, tu cometido será diseñar y vender proyectos hechos a medida, ofreciendo un servicio personalizado y haciendo felices a tus clientes.


¿CÓMO ES SER VENDEDOR/A EN SCHMIDT?

Ser Vendedor/a-Diseñador/a en Schmidt es un puesto muy dinámico, no solo te dedicarás al ámbito de ventas, sino también diseño, gestión de clientes y gestión de proyectos. Manejarás tus proyectos de principio a fin.

Darás la bienvenida a tus clientes, escucharás sus necesidades con atención y serás capaz de proponerles ideas creativas. Desde la primera vez que acudan a la tienda, construirás con el cliente el proyecto que mejor se adapte a sus necesidades.


¿A QUIÉN BUSCAMOS?

Como Vendedor/a-Diseñador/a, necesitarás ser un/a buen/a administrador/a de proyectos, apasionado por el trato al cliente, con capacidad de escucha y siempre dispuesto a ofrecer soluciones creativas y personalizadas.

Buscamos a una persona creativa que esté tan entusiasmada como el propio cliente para transformar su hogar.

La persona indicada para este puesto contará con:

Experiencia demostrable como vendedor/a de mínimo 2 años, preferiblemente en venta de mobiliario.
Perfil comercial y dinámico. Persona acostumbrada a trabajar por objetivos de lunes a sábado o en los horarios comerciales de la zona ofertada.
Informática a nivel usuario.
Permiso de conducción.
Vehículo propio.
Nivel estudios mínimos Bachillerato o similar. Se valorarán idiomas (inglés, francés).
Indispensable residencia en la provincia de la oferta.

¡Empieza tu nueva aventura en Schmidt!

ÚNETE AL EQUIPO

¿Quieres saber más? Visita nuestra web y descubre todas las ofertas que tenemos para ti.",Castellón de la Plana,Todos
Pizzaiolo - Almazora,LA PIAZZA,Almazora,15 mil € - 17 mil € (Proporcionado por la empresa),23 días,"3,9","¡Únete a La Piazza como Pizzaiolo Profesional!

En La Piazza buscamos un Pizzaiolo con experiencia demostrable que comparta nuestra pasión por la auténtica cocina italiana. Si eres un experto en la elaboración de pizzas artesanales y te entusiasma trabajar en un entorno dinámico, queremos conocerte.

¿Qué ofrecemos?

Incorporación inmediata para que empieces a formar parte de nuestro equipo sin esperas.
Contrato indefinido a jornada parcial (20 horas semanales y posibilidad de subir a 40H) desde el primer día, garantizando estabilidad y crecimiento profesional.
Oportunidades reales de ascenso, tanto en categorías profesionales como en funciones y cargos.
Ambiente de trabajo agradable, donde el esfuerzo y la creatividad son valorados y recompensados.

¿Qué buscamos en ti?

Experiencia 2 años demostrable como pizzero, con dominio de técnicas tradicionales.
Pasión por la cocina italiana y compromiso con la calidad.
Energía positiva y actitud profesional para integrarse en un equipo dinámico.
Capacidad para trabajar en equipo y mantener un alto nivel de exigencia en el servicio.

En La Piazza, valoramos a nuestros empleados y fomentamos un entorno de trabajo colaborativo, donde la dedicación y el talento tienen su recompensa.

Si quieres formar parte de una familia dedicada a ofrecer la mejor experiencia gastronómica, esperamos tu solicitud.

¡Únete a nosotros y ayúdanos a llevar el auténtico sabor de Italia a nuestros clientes!

Tipo de puesto: Media jornada

Sueldo: 15.000,00€-17.000,00€ al año

Beneficios:

Flexibilidad horaria
Plus transporte
Uniforme proporcionado

Preguntas para la solicitud:

¿Estás disponible para trabajar en turnos partidos (mediodía y noche)?

Experiencia:

Pizzaiolo: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Castellón de la Plana,Todos
Director Chiringuito Verano,Reggae Chiringuitos SL,España,2 mil € - 3 mil € (Proporcionado por la empresa),3 días,"3,9","¿Eres un apasionado de la gestión hostelera y buscas un proyecto donde tu liderazgo marque la diferencia?

En este Chiringuito de playa con importantes premios a nivel local y nacional, y marca reconocida, buscamos un/a Director/Gerente de Establecimiento para liderar nuestra próxima temporada (Abril - Septiembre). No buscamos solo a un gestor, sino a un capitán capaz de mantener la excelencia en un entorno dinámico y de alto nivel.

El reto:

Gestionar un equipo de hasta 30 profesionales y supervisar operativamente tres áreas clave: Barra, Sala y Zona de Tumbonas, garantizando siempre el cumplimiento de nuestros manuales de calidad.

Perfil ideal:

* Experiencia sólida en gestión de Beach Clubs o chiringuitos de playa.

* Líder nato, con trato exquisito hacia el cliente y empatía con el trabajador.

* Resolutivo, con carnet y vehículo propio.

* Valoramos especialmente candidatos que cuenten con equipo de confianza propio.

¿Qué ofrecemos?

* Salario fijo (convenio) + atractivos incentivos por resultados.

* Un entorno de trabajo profesional en una ubicación privilegiada.

Si estás listo/a para liderar el verano en Chiringuito Solé, hablemos.

Envía tu CV por mensaje directo o a administracion@gruposole.es

Tipo de puesto: Jornada completa, Contrato fijo discontinuo
Duración del contrato: 6 meses

Sueldo: 1.800,00€-2.500,00€ al mes

Beneficios:

Programa de formación
Teléfono de empresa
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Castellón de la Plana,Todos
