Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
"Sales Assistant HS Plaza Mayor, Ciudad Real -18h Fin de semana",C&A,Ciudad Real,No especificado,20 días,"3,3","Tus Responsabilidades en C&A

Como parte de nuestro equipo de HS Plaza Mayor, Ciudad Real, proporcionas una experiencia de compra inolvidable a nuestros clientes. Con tu energía y pasión por la moda, ofreces un gran servicio e impulsas las ventas. Como un equipo de colaboradores, te aseguras de que la tienda tenga un aspecto bien organizado y atractivo.

Cada día de trabajo comienza con una reunión de equipo para compartir información y discutir los objetivos del día
En la tienda, saludas a nuestros clientes de forma proactiva y respondes a sus preguntas
Aconsejarás a los clientes, por ejemplo, sobre el ajuste de los vaqueros, consejos de estilo y opciones de tallas
Con el uso de nuestras herramientas de servicio (por ejemplo, los códigos QR) ayudas a nuestros consumidores a encontrar lo que buscan, tanto en línea como en las tiendas
Estás al tanto de las promociones online y offline
Con los visual merchandisers, te aseguras de que C&A sea un lugar donde la gente se inspire en nuestra moda y pueda encontrar fácilmente lo que busca
Por supuesto, también garantizas el buen funcionamiento de la tienda, trabajas en la caja, ayudas a exponer los premios correctos y garantizas un proceso fluido en los probadores.
Qué Esperamos de Tí

Por encima de todo, te gusta interactuar con nuestros clientes. Te apasiona la moda y estás al día de las últimas tendencias. Además:

Te orientas al servicio con una personalidad abierta.
Eres una persona abierta al cambio y a la innovación y con ganas de seguir aprendiendo sobre moda, comercio y ventas
Te enfocas en el trabajo en equipo; no tienes miedo de dar y aceptar comentarios, eres fiable y estás dispuesto a ayudar a los demás
Puedes comunicarte con facilidad en español o estás aprendiendo y tienes un buen dominio del inglés
Lo ideal es que tengas experiencia previa en moda, venta al por menor o ventas.
Disponibilidad horaria, finde de semana .
Qué Podemos Ofrecerte en C&A

En C&A nos guiamos por nuestros valores, nos encanta la unión, nos tratamos con respeto y animamos a todos a aportar nuevas ideas. Nos preocupamos por tu bienestar y desarrollo personal. Recibirás:

Un contrato por interinidad de 18h.
La oportunidad de asistir a cursos de formación sobre, por ejemplo, atención al cliente.
Un descuento para empleados.

Estamos obsesionados con el cliente. Si lo estás, ¡ven y únete a nosotros!

The future looks like you!!!

C&A fomenta la igualdad de oportunidades para personas de todos los orígenes e identidades. Estamos dirigidos por una junta directiva equilibrada en cuanto al género, comprometida con la construcción de una organización diversa e inclusiva en la que cada persona pueda dar lo mejor de sí misma. No discriminamos por motivos de edad, discapacidad, identidad de género, orientación sexual, origen étnico, raza, religión o creencias, situación parental o familiar, o cualquier otra característica protegida. Aceptamos solicitudes de mujeres, hombres y candidatos no binarios de todas las etnias y entornos socioeconómicos. Animamos a las personas pertenecientes a grupos infrarrepresentados a presentar sus solicitudes.

C&A fosters equal opportunity for people of all backgrounds and identities. We are led by a gender-balanced board that is committed to building a diverse and inclusive organization where everyone can become their best self.
We do not discriminate based on age, disability, gender identity, sexual orientation, ethnicity, race, religion or belief, parental and family status, or any other protected characteristic. We welcome applications from women, men and non-binary candidates of all ethnicities and socio-economic backgrounds. We encourage people belonging to underrepresented groups to apply.
Even if you don't check every box, but see yourself contributing, please apply and help us build an inclusive community.",Ciudad Real,Todos
VENDEDOR/A FIN DE SEMANA- 20H,JYSK,Ciudad Real,No especificado,+ 30 d,"3,3","Descripción de la empresa


JYSK es la marca de muebles, decoración y sistemas de descanso de origen escandinavo por excelencia. Desde que abrimos nuestra primera tienda en Dinamarca en 1979 no hemos parado de crecer, y hoy, con más de 3500 tiendas, estamos presentes en más de 50 países a nivel mundial. En JYSK queremos seguir creciendo y, para ello, necesitamos a los mejores en nuestro equipo.


Descripción del empleo


¿Te entusiasman las ventas? ¿Quieres proporcionar el mejor servicio al cliente de JYSK en España junto con tu equipo? ¿Te gusta la variación y un ritmo de trabajo dinámico?

¡Entonces puedes ser el Vendedor que estamos buscando!

QUÉ TE OFRECEMOS

Te ofrecemos la oportunidad de unirte a una empresa de distribución que escucha a sus colaboradores y se esfuerza cada día para ser un excelente lugar para trabajar. Somos dinámicos y tu desarrollo es crucial para nosotros. Además, como embajador de JYSK, obtienes lo siguiente:

Contrato X a X horas semanales
Oportunidades para tu crecimiento y desarrollo: nuestro objetivo es que el 80% de nuestros futuros managers provengan de la promoción interna. Descubre más aquí.
Concursos internos entre tiendas con atractivos premios
Bonificaciones competitivas que premian los grandes resultados de ventas
Un horario de trabajo flexible
15% de descuento en todas las tiendas JYSK
Seguro de salud privado, fiesta anual, actividades internas (participación en eventos patrocinados como carreras, voluntariados, etc.)

CÓMO SERÁ TU TRABAJO EN JYSK

Serás responsable de las ventas en la tienda: ofrecerás a nuestros clientes el mejor servicio con una sonrisa
Garantizarás que la tienda esté 100% limpia y repuesta de nuestros productos
Participarás en el proceso de recepción de la mercancía y su correcta gestión y almacenaje
Tendrás la oportunidad de especializarte en tu propia área en la tienda

Conoce a uno de nuestros Sales Assistant y aprende cómo somos como empleador aquí.

QUÉ DEBES TRAER

Disfrutas hablando con los clientes y les proporcionas la mejor experiencia de compra que puedan imaginar
Estar en movimiento es parte de tu día a día, y no tienes problema en asumir tareas físicas como mover productos o preparar pedidos.
Eres un buen compañero para tu equipo: juntos os esforzáis para conseguir grandes resultados
Te gusta la variedad y eres flexible: tanto en las tareas como en los horarios
Tienes disponibilidad para trabajar en horarios rotativos
Estudios de Educación Secundaria Obligatoria o superiores

Información adicional


Proceso de selección en España:

Procesamos las solicitudes de forma continua y completamos la contratación cuando encontramos al candidato adecuado
Revisaremos tu candidatura en el plazo de 1 semana (días laborables)
Si tiene éxito, te enviaremos un link para que respondas a algunas preguntas en vídeo
A continuación, te haremos una breve entrevista telefónica
En caso de que superes todas las fases anteriores te invitaremos a una entrevista presencial

SOBRE NOSOTROS

Creemos que nuestros colaboradores son la clave de nuestro éxito, pasando de una tienda en 1979 a más de 3500 tiendas en todo el mundo en la actualidad. Por eso nos esforzamos en ofrecer desarrollo y posibilidades de crecimiento dentro de JYSK, y también nos sentimos orgullosos de premiar el compromiso y el gran esfuerzo de nuestros colaboradores. Nuestros tres valores fundamentales JYSK: comerciante, compañero y espíritu corporativo, expresan el comportamiento y la actitud que esperamos de cada persona en JYSK. Confiamos unos en otros, y creemos en la delegación y la libertad con responsabilidad.

JYSK quiere incluir a todos, sin importar la edad, la identidad de género, la raza,la etnia, la orientación sexual, la capacidad física o mental. Juntos, aseguramos nuestra cultura inclusiva que anima, apoya y celebra las diversas voces de nuestros colaboradores. Porque una gran mezcla de mentes, talentos y personalidades únicas nos hace un equipo más fuerte.

Para más información, por favor visita nuestra página de carrera

Conoce cómo tratamos tus datos en nuestra Política de Privacidad.",Ciudad Real,Todos
"Técnico/a en administración, informática y gestión",Domestiko,Tomelloso,1 mil € (Proporcionado por la empresa),+ 30 d,"3,3","Se buscan dos profesionales con formación en administración, informática y gestión.

Las responsabilidades principales incluyen la gestión comercial interna, el control de inventario y la prestación de apoyo a los comerciales externos. El objetivo será mantener y expandir la base de clientes actual.

Se requiere un título de Bachiller o Técnico Superior en Administración y Finanzas, con sólidos conocimientos en administración e informática. Se valora positivamente el dominio de Office 365, así como conocimientos de inglés o francés a nivel B1 o superior.

Se ofrece un contrato indefinido a jornada completa, con un horario de lunes a jueves de 8:00 a 14:00 y de 16:00 a 18:00, y los viernes de 7:00 a 15:00. El salario bruto mensual es de 1.381 €, prorrateado en pagas extraordinarias, con la posibilidad de incentivos anuales.",Ciudad Real,Todos
Fisioterapeuta contrato indefinido,Fisioterapia Evolución,Ciudad Real,1 mil € - 2 mil € (Proporcionado por la empresa),24 horas,"3,3","¡Estamos buscando fisioterapeuta!
Buscamos a un/a fisioterapeuta con vocación y una clara pasión por ayudar a los pacientes.

Te Ofrecemos:
- Contrato indefinido a 35h.
- Salario por encima de convenio, según experiencia.
- Pacientes privados.
- Ambiente de trabajo joven, unido y con buen rollo garantizado.
- Oportunidades reales de desarrollo profesional y apoyo a la formación continua.

Requisitos:
- Grado en Fisioterapia y colegiación.
- Experiencia en traumatología, geriatría y neurología.
- Excelentes habilidades de comunicación y empatía.
- Proactividad y ganas de aportar ideas.
- Se valorará muy positivamente: Experiencia previa en clínica privada. Formación de postgrado.

Tus Funciones:
- Valoración, diagnóstico y tratamiento de pacientes.

¿Quieres trabajar con nosotros?
Envíanos tu CV a fisioevoluciona@gmail.com.
¡Te estamos esperando!

Tipo de puesto: Jornada completa

Sueldo: 1.400,00€-1.600,00€ al mes

Ubicación del trabajo: Empleo presencial",Ciudad Real,Todos
Asesor/a Contable,Kolibri Consulting,Ciudad Real,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,3","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Ciudad Real, Ciudad Real provincia (Ciudad Real)",Ciudad Real,Todos
"CIUDAD REAL Camarera de pisos, limpiadora",EVERYTHINNG,Ciudad Real,No especificado,+ 30 d,"3,3","Buscamos personal de limpieza SOLO CON PAPELES EN REGLA y con experiencia demostrable en hoteles de 4 ó 5 estrellas o apartamentos turísticos para apertura de edificio de apartamentos en el centro de Bilbao. Se ofrece: contrato a jornada 15, 20, 25 horas semanales, 2 días de descanso en jornada irregular de lunes a domingo. INTERESADOS DEJAR TELEFONO

Tipo de puesto: Media jornada, Contrato indefinido, fijo discontinuo
Horas de medio tiempo: 15 a 25 horas por semana

Salario: 480,00€-1.200,00€ al mes

Tipo de puesto: Media jornada

Experiencia:

Limpieza: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Ciudad Real,Todos
"Fisioterapeuta de centro de día con/sin discapacidad (Tomelloso, Ciudad Real)",Ilunion VidaSénior,Tomelloso,No especificado,+ 30 d,"3,3","En Ilunion Vida Sénior buscamos incorporar un/a fisioterapeuta al equipo de nuestro centro de día de Tomelloso, en Ciudad Real.

Trabajarás 15 horas semanales, de lunes a viernes, en horario a convenir, durante 12 meses.

La persona seleccionada deberá tener una titulación universitaria en fisioterapia.

Se valorará positivamente tener un certificado de discapacidad en vigor (mayor del 33%) y tener experiencia previa en puestos similares.

Tus funciones serán:

- Valorar al ingreso y realizar seguimiento de usuarios.

- Atender a personas usuarias y familiares.

- Participar en las reuniones interdisciplinares del centro.

- Realizar actividades técnicas propias de su categoría.

- Realizar los tratamientos y técnicas rehabilitadoras que se prescriban,

- Conocer y mantener el material y equipamiento del departamento.

- Colaborar en actividades organizadas por el centro.

- Realizar pedidos, controlar y almacenar el control de stock de material de fisioterapia de uso diario.

- Desarrollar programas específicos de su departamento.

La mejor forma de predecir el futuro es creándolo

Tipo de puesto: Media jornada, Contrato temporal
Duración del contrato: 11 meses

Sueldo: 540,00€-550,00€ al mes

Horas previstas: 15 a la semana

Beneficios:

Flexibilidad horaria

Preguntas para la solicitud:

¿Tienes un certificado de discapacidad igual o superior al 33% o una incapacidad reconocida para otro puesto de trabajo?

Educación:

Diplomatura/Grado (Obligatorio)

Ubicación del trabajo: Empleo presencial",Ciudad Real,Todos
Personal Gerocultor,Amavir,Ciudad Real,No especificado,13 días,"3,3","¡Queremos conocerte!

Apostamos por el talento, la calidad humana, la vocación de servicio y la orientación al residente.

Tus responsabilidades estarán encaminadas a asistir al usuario en las actividades de la vida diaria que no pueda realizar por sí solo y efectuar aquellas tareas dirigidas a su atención personal y a la adaptación a su entorno, con el fin de garantizar su seguridad y estado óptimo de higiene y salud.


¿Cuáles son los requisitos mínimos para entrar a formar parte del EQUIPO AMAVIR?

Disponer de permiso de trabajo en vigor y alguna de las siguientes titulaciones oficiales:

CFGM (FP) Curas Auxiliares de Enfermería.
CFGM (FP) Atención Sociosanitaria.
CFGM (FP) Atención a Personas en Situación de Dependencia.
Certificado de Profesionalidad en Atención Sociosanitaria a Personas Dependientes en Instituciones Sociales.

¡Y por supuesto, una gran sonrisa y ganas de trabajar!

¿Qué ofrecemos?

Contrato Temporal.
Jornada 25% de 7:10 a 9:00h (si no tienes disponibilidad en este turno, coméntanos tu disponibilidad).
Centro ubicado en Ciudad Real (indícanos dónde resides y así podremos encajar el centro que mejor se ajuste).
Salario según convenio.
Entrar a formar parte de una compañía en pleno proceso de expansión, con un modelo de atención propio y libre de sujeciones.
Formación desde el primer día para que tu experiencia en Amavir y con nuestros residentes siempre sea inolvidable.
Retribución flexible (Seguro médico, comida, transporte, guardería, formación, etc.).
Y no olvidemos el equipo con el que te relacionarás: profesional, comprometido y generando un excelente clima laboral.

¿Quieres saber más sobre quiénes somos?

Amavir es una de las compañías líderes en España en la atención a personas mayores y dependientes, Presente en 8 Comunidades Autónomas y con una plantilla de 4.700 profesionales, gestiona un total de 45 residencias y unas 8.000 plazas (entre residenciales y de centro de día).

En los centros Amavir, cada usuario es protagonista de su propia historia. Nuestro modelo de atención asistencial, “Guiados por ti”, apuesta por dar visibilidad y empoderar a la persona mayor que decide o que necesita que le acompañemos, acondicionando el entorno según sus indicaciones, directas o indirectas, para hacer de nuestra casa, la suya.

¡No dejes pasar la oportunidad de formar parte de la Familia Amavir!

AMAVIR garantiza la aplicación del principio de igualdad de oportunidades y la no discriminación en la gestión de sus procesos de reclutamiento y selección.",Ciudad Real,Todos
Instrumentation and Equipment Integration Technician,ID Energy Group,Ciudad Real,No especificado,+ 30 d,"3,3","What functions will you perform?
Diseño de Ingenierías Básicas e Ingenierías de Detalle dentro de la disciplina de Instrumentación&Control para proyectos de Biometano.


Generación y chequeo de entregables dentro de la disciplina de Instrumentación&Control en fase IB&ID:
o P&ID’s
o Plano de situación de instrumentos
o Planos de situación de instrumentos neumáticos
o Situación de cajas y recorrido de cables
o Lista de instrumentos, cables y señales cableadas
o Especificación de instrumentos
o Diseño de lazos de control
o Especificación PLC/SC
o Diagramas de conexionado
o Listas de materiales
o Estudio de ignifugado de cables
o Planos de montaje de instrumentos
o Análisis y clasificación de atmósferas explosivas

Análisis de entregables según normativa aplicable
Gestión y seguimiento de entregas de Instrumentación&Control en fase APC (Aprobado para Construcción)
Revisión de documentación generada por colaboradores externos de unidades paquete con afección al diseño de Instrumentación&Control del proyecto.

Your profile
Experiencia de más de 5 años en diseño de Ingeniería de Detalle dentro de la disciplina de Instrumentación&Control.
Experiencia en proyectos de biogás-biometano desde la fase de ingeniería a la fase de ejecución.
Experiencia en desarrollo de Análisis ATEX según Directiva Europea.

Grado en Ingeniería
Deseable Máster en energías renovables, gestión de residuos o similar.
Inscrito en Colegio Profesional de Ingenieros.

IV. CONOCIMIENTOS


Conocimientos en instalaciones de Biogas
Diseño y análisis de necesidades de programas de control de la planta (PLC, SCADA). Diseño de requisitos para la compra de los mismos y análisis técnico de la documentación proporcionada por los suministradores para el cumplimiento de las especificaciones establecidas en el diseño.
Conocimiento en Análisis de Atmósferas Explosivas según Directiva ATEX y su afección a la elección de instrumentos, equipos y materiales.
Familiaridad con emisión de documentación de instrumentación&control en fase APC
Manejo de software de cálculo de instrumentos (dimensionamiento válvulas de control, placas de orificio)
Sólidos conocimientos en elección de tipo de instrumentaos o sensores en función del proceso y la normativa aplicable.
Conocimiento en programas de diseño 2D y/o 3D para tirada de cables y bandejas de instrumentación. Deseable conocimiento plataforma AutoDesk.
Validación técnica de documentación de colaboradores y/o proveedores vinculada al diseño de instrumentación y control.
Amplio conocimiento en normativa aplicable.
Inglés C1.
About us

Somos un grupo empresarial internacional dedicado a las energías renovables y especializado en solar fotovoltaica. Acompañamos a nuestros clientes en todas las fases del proceso, desde la identificación de oportunidades, el desarrollo de los proyectos hasta su construcción y mantenimiento, evitándoles riesgos y con un servicio comprometido, ágil y cercano.

En ID Energy Group somos el partner especialista en energía solar más comprometido del mercado. Nuestros equipos multidisciplinares altamente especializados acompañan a nuestros clientes de principio a fin hacia la transición energética de manera resolutiva, flexible y cercana. Nuestra trayectoria de más de 15 años especializados en energía fotovoltaica, nos ha dotado de infinitos recursos para visualizar posibilidades y solucionar cualquier reto que surja en el camino.

¿Quieres saber más? ¡Accede a nuestra web! https://www.idenergy.group/


Why us?

Somos un grupo empresarial internacional dedicado a las energías renovables y especializado en solar fotovoltaica. Acompañamos a nuestros clientes en todas las fases del proceso, desde la identificación de oportunidades, el desarrollo de los proyectos hasta su construcción y mantenimiento, evitándoles riesgos y con un servicio comprometido, ágil y cercano.

En ID Energy Group somos el partner especialista en energía solar más comprometido del mercado. Nuestros equipos multidisciplinares altamente especializados acompañan a nuestros clientes de principio a fin hacia la transición energética de manera resolutiva, flexible y cercana. Nuestra trayectoria de más de 15 años especializados en energía fotovoltaica, nos ha dotado de infinitos recursos para visualizar posibilidades y solucionar cualquier reto que surja en el camino.

¿Quieres saber más? ¡Accede a nuestra web! https://www.idenergy.group/",Ciudad Real,Todos
Biomethane trading specialist,ID Energy Group,Ciudad Real,No especificado,+ 30 d,"3,3","What functions will you perform?
Identificar generadores de residuos ya sean ganaderos, agrícolas, agroindustrias, EDAR.
Identificar los mejores residuos para producción de biogás y biometano.
Crear y mantener una cartera de productores de residuos.
Ofrecer asesoramiento a los productores de residuos en medioambiente y gestión de residuos.
Detectar y comunicar necesidades de los generadores de residuos.
Difundir una imagen clara, seria y transparente de la empresa.
Estudio de la competencia en su zona, precios, estrategias, etc.
Gestión documental de altas de productor de residuos y fichas de aceptación.
Estado actualizado de todas las ofertas presentadas mediante un planning.
Programar y seguir el plan de visitas semanal, enviando rapport a su superior.
Identificar oportunidades de mercado a desarrollar.
Coordinación de actuaciones con equipo técnico y de desarrollo de proyectos.
Capacidad para preparar y presentar argumentos técnicos y comerciales.
Capacidad de comprensión del mercado y los principales factores que afectan la rentabilidad de un proyecto de generación de biometano

Your profile
Experiencia entre 2 y 3 años en gestión de residuos.

III. COMPETENCIAS

Habilidades de comunicación
Habilidades de negociación
Empatía
Resiliencia
Trabajo en equipo
Gestión de prioridades
Organización y planificación

About us

Somos un grupo empresarial internacional dedicado a las energías renovables y especializado en solar fotovoltaica. Acompañamos a nuestros clientes en todas las fases del proceso, desde la identificación de oportunidades, el desarrollo de los proyectos hasta su construcción y mantenimiento, evitándoles riesgos y con un servicio comprometido, ágil y cercano.

En ID Energy Group somos el partner especialista en energía solar más comprometido del mercado. Nuestros equipos multidisciplinares altamente especializados acompañan a nuestros clientes de principio a fin hacia la transición energética de manera resolutiva, flexible y cercana. Nuestra trayectoria de más de 15 años especializados en energía fotovoltaica, nos ha dotado de infinitos recursos para visualizar posibilidades y solucionar cualquier reto que surja en el camino.

¿Quieres saber más? ¡Accede a nuestra web! https://www.idenergy.group/


Why us?

Somos un grupo empresarial internacional dedicado a las energías renovables y especializado en solar fotovoltaica. Acompañamos a nuestros clientes en todas las fases del proceso, desde la identificación de oportunidades, el desarrollo de los proyectos hasta su construcción y mantenimiento, evitándoles riesgos y con un servicio comprometido, ágil y cercano.

En ID Energy Group somos el partner especialista en energía solar más comprometido del mercado. Nuestros equipos multidisciplinares altamente especializados acompañan a nuestros clientes de principio a fin hacia la transición energética de manera resolutiva, flexible y cercana. Nuestra trayectoria de más de 15 años especializados en energía fotovoltaica, nos ha dotado de infinitos recursos para visualizar posibilidades y solucionar cualquier reto que surja en el camino.

¿Quieres saber más? ¡Accede a nuestra web! https://www.idenergy.group/",Ciudad Real,Todos
