Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Responsable de producción,Aldox Grupo Global SL,Cuenca,2 mil € (Proporcionado por la empresa),15 días,"3,5","Buscamos Responsable de producción en nuestra cocina central, con ganas de incorporarse a un proyecto solido y en crecimiento.

Se valora experiencia previa en restauración, especialmente en puestos de gestión y responsabilidad.

La persona contratada será responsable de:

-Gestión de equipo.

-Control de stocks y compras.

-Control de calidad del producto final.

-Mantener control de higiene y seguridad alimentaria en materia sanitaria.

-Control general de nuestro obrador de producción.

El horario será de Lunes a Viernes de 07:00 a 15:00.

El salario se revisará periódicamente a medida que avanzan las formaciones y el trabajo sea satisfactorio para ambas partes.

Tipo de puesto: Jornada completa

Sueldo: 2.000,00€-2.300,00€ al mes

Ubicación del trabajo: Empleo presencial",Cuenca,Todos
Conductor de autobús,AUTOLINEAS RUBIOCAR S.L.,Cuenca,No especificado,+ 30 d,"3,5","Estamos interesados en la captación de personal cualificado para el puesto de Chofer de Autobús para la provincia de Cuenca (España) y alrededores.

Desde la empresa Autolineas Rubiocar S.L. sita en la provincia de Cuenca contamos con autocares en las provincias de Cuenca, Madrid, Ciudad Real, Toledo, Ocaña, Tarancón y Villares Del Saz.

Necesitamos personal en posesión de carne D y CAP

Sus funciones y tareas serian:

Conductor de autobús, limpieza y organización del autobús, organización de paradas y rutas a realizar.
Conducir el vehículo atendiendo al alcance del trabajo.
Transportar los productos, pasajeros o mercancía.
Cumplir con los reglamentos de tránsito terrestre.
Velar por la seguridad de los pasajeros, paquetería o mercancía.
Comunicarse con el centro de control de la flota de autobuses cuando sea necesario, por ejemplo, para comunicar incidencias, retrasos, incrementos de tráfico, etc.
Conducir autobuses o autocares de línea o discrecionales transportando pasajeros/as dentro de los horarios e itinerarios preestablecidos, atendiéndolos/las y maximizando la calidad y la confortabilidad de la circulación-conducción.
Concentración, paciencia y calma, asistencia a pasajeros, respeto, amabilidad, responsable con su vehículo y el horario de las rutas/viajes a llevar a cabo
Conocimientos de las leyes de tránsito
Conocimientos básicos en mecánica.
Manejo de dinero para el cobro de billetes a los clientes.

Condiciones económicas según convenio de la ciudad correspondiente de Transporte de pasajeros, mejoras en pago de festivos, nocturnidad, etc.

Si quieres trabajar en un ambiente inmejorable, no dudes en ponerte en contacto con nosotros.

Sera un placer conocerte.

Tipo de puesto: Jornada completa

Horario:

Turno rotativo

Experiencia:

conductor de autobús: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Cuenca,Todos
Terapeuta Ocupacional (H/M/D) con/sin discapacidad - Centro de Día (Cuenca),ILUNION VidaSénior,Cuenca,No especificado,+ 30 d,"3,5","Somos ILUNION VidaSénior, la empresa del grupo ILUNION que atiende a las personas mayores y dependientes. 

Llevamos más de 30 años dedicados al sector sociosanitario a través de diferentes servicios: Centros de Día, Ayuda a Domicilio, Teleasistencia y Residencias de Personas Mayores. También apostamos por nuevos servicios, como el senior living. 

Estamos en un momento de crecimiento, y necesitamos incorporar a nuestros equipos personas que quieran contribuir a nuestro propósito, cuidando y atendiendo a personas mayores. 

Buscamos nuevos/as compañeros/as para nuestro Centro de Día Cuenca II, en Cuenca.

Te ofrecemos un puesto con horario de lunes a viernes, a jornada parcial como Terapéuta Ocupacional.

Como nuestro/a terapeuta ocupacional trabajarás de lunes a viernes a jornada parcial (de 9:00 a 14:00)

La persona seleccionada deberá tener una titulación universitaria en Terapia ocupacional.

Se valorará positivamente tener un certificado de discapacidad en vigor (igual o mayor del 33%), tener una incapacidad compatible con el puesto o pertenecer a un colectivo vulnerable y tener experiencia previa en puestos similares.

Tus funciones serán:
- Valorar al ingreso y realizar seguimiento de usuarios.
- Atender a personas usuarias y familiares.
- Realizar actividades auxiliares de psicomotricidad, lenguaje, dinámicas y rehabilitación personal y social a las personas usuarias.
- Colaborar en el seguimiento o la evaluación del proceso recuperador o asistencial de las personas usuarias del centro.
- Participar en las reuniones interdisciplinares del centro.
- Controlar y mantener el material propio del departamento.
- Colaborar en actividades organizadas por el centro.
- Participar en la planificación y desarrollo de la animación del centro.
- Realizar pedidos, controlar y almacenar el material de terapia de uso diario.
- Desarrollar los programas específicos de su departamento.

Tipo de puesto: Media jornada, Contrato indefinido

Sueldo: 12.000,00€-13.000,00€ al año

Educación:

Diplomatura/Grado (Deseable)

Ubicación del trabajo: Empleo presencial",Cuenca,Todos
Asistentx de Tienda 40hrs/sem Cuenca,Lidl,Cuenca,No especificado,10 días,"3,5","Introducción

Nuestro #teamlidl es competitivo y muy dinámico. Para saber más sobre cómo es trabajar en Lidl consulta nuestra página web de empleo: https://empleo.lidl.es/

¿Cómo será tu día a día?
Cumplir con los pilares básicos de la empresa (limpieza, frescura, presentación de la mercancía y amabilidad/trabajo en caja).
Gestionar las reclamaciones y devoluciones de clientes.
Reponer la mercancía según el orden y los criterios de presentación.
Cumplir con el procedimiento de cobro en caja.
Realizar los pedidos y corregir los precios.
Preparar y realizar la parte operativa de los inventarios en tienda.
Asignar las tareas de tienda y seguimiento de la realización, siguiendo las directrices del/de la superior/a.
¿Eres tú la persona que buscamos?
Formación Profesional de Grado Medio o equivalente.
Disponibilidad horaria para trabajar por turnos (horarios rotativos).
Se valorará experiencia previa en posición similar y en el sector de la distribución.
¿Qué te ofrecemos?
Un contrato de jornada completa.
Te facilitamos formación teórico-práctica adaptada a tu puesto de trabajo, para que seas capaz de enfrentar cada reto con éxito. Tu plan de formación inicial incluirá capacitaciones teórico-prácticas de desarrollo de diferentes habilidades y conocimientos técnicos relacionados con el área de ventas.
Garantizamos desde el inicio del proceso de selección que éste se desarrollará en base a criterios objetivos. La preocupación por eliminar la brecha de género, así como cualquier otro tipo de discriminación alcanza también a nuestra política salarial, en la que rige el principio de equidad retributiva ante el desempeño de las mismas funciones.
Jornada semanal de cinco días en lugar de seis, horario continuado y 6 fines de semana de calidad al año para una mejor conciliación.
Desde hace años garantizamos que cada minuto trabajado en Lidl se registra y se compensa.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/",Cuenca,Todos
AUXILIAR ADMINISTRATIVO CUENCA,Grupo Recoletas Red Hospitalaria,Cuenca,No especificado,+ 30 d,"3,5","Empresa
RECOLETAS SALUD
Descripción de la empresa
Recoletas Salud, empresa referente en el sector de la sanidad privada, con implantación en la mayor parte del territorio nacional, y referencia de las sociedades en las que está presente, cuenta con la tecnología más avanzada y eficiente gozando de la confianza depositada en ella cada año por miles de personas
Ubicación
Provincia : Cuenca
Población : CUENCA




Descripción del puesto vacante

Nombre del puesto
AUXILIAR ADMINISTRATIVO CUENCA

Categoría
Administrativos
Sector
Sanidad

Perfil deseado

Formación mínima
FP II
Idiomas
""No es necesario""

Informática
""No es necesario""

Experiencia mínima necesaria
1 año
Descripción de la oferta
Se precisa auxiliar administrativo con experiencia en sector sanitario
Condiciones del empleo
Imprescindible residencia en lugar de trabajo
Indiferente
Horario
JORNADA COMPLETA
Jornada
Jornada Completa
Tipo de Contrato
Indefinido
Remuneración estimada *
Segun Convenio
Carnet de conducir
No es necesario
Imprescindible vehículo propio
No
Salario bruto anual, excepto que se indique lo contrario.",Cuenca,Todos
Vendedor/a Jardín Indefinido 30h Rotativo Cuenca,Leroy Merlin,Cuenca,No especificado,9 días,"3,5","Nuestras Tiendas es el lugar donde demostramos, cara a cara, nuestro propósito. Si compartes este objetivo y tu satisfacción es conseguir que los clientes puedan dar vida a sus ideas y proyectos, este es tu sitio.

Formar parte del equipo de nuestras tiendas significa trabajar en un ambiente de co-creación donde vivir nuestros valores y propósito de empresa junto al cliente.

¿Te unes a nosotros y nosotras?

Te lo enseñamos aquí en este vídeo:

Por esto contamos contigo como Vendedor/a Especialista, porque tienes un amplio conocimiento de tu oficio y nuestros productos, aportas la experiencia de trabajar como profesional de tu sector y sobre todo tienes pasión por lo que haces.

Principales funciones

Ofrecer un asesoramiento completo al habitante, en su ámbito de actuación, con el objetivo de alcanzar la satisfacción y fidelización del mismo.
Asesorar al habitante, a través del canal adecuado en cada momento, con el objetivo de ofrecerle los productos / servicios que más se ajusten a sus necesidades.
Atender al habitante con diligencia y resolver las incidencias y dudas que puedan darse durante todo el proceso de venta, personalizando y ofreciendo experiencias de compra positivas.
Detectar oportunidades de negocio en todas las interacciones con el habitante, y aprovecharlas teniendo en cuenta siempre los criterios de margen y rentabilidad para Leroy Merlin, realizando los presupuestos y los pedidos asociados, y llevando a cabo un seguimiento de los mismos.
Ofrecer a los habitantes los servicios más adaptados a la venta solución como la instalación, financiación y envíos a domicilio entre otros gestionando los pagos en el punto de venta cuando la ocasión lo permita.
Realizar la gestión administrativa de los servicios postventa de cara a prestar un servicio idóneo para el habitante.


¿Qué ofrecemos?

Nuestro Propósito

En Leroy Merlin tenemos un propósito que da sentido a lo que somos y a todo lo que hacemos, una guía que es nuestro compromiso contigo y con el planeta. Y es que todo lo que te ofrecemos busca despertar en ti la motivación de crear entornos donde vivir mejor.

Porque estamos seguros de una cosa, si nos lo proponemos, cambiar el mundo está en nuestras manos y en las tuyas.

La Acción Social es uno de los pilares fundamentales de Leroy Merlin España, siendo un valor añadido para toda la empresa, pero también para la comunidad. A través de diversas acciones: proyectos de reforma y acondicionamiento, donaciones, productos solidarios, voluntariado corporativo y nuestra Convocatoria de Ayudas ""Hogares Dignos"", contribuimos a la construcción de un mundo y de una sociedad mejor.

¡Benefíciate! Por ser Leroy Merlin

Como colaboradora o colaborador de Leroy Merlin España tienes a tu disposición más de 70 beneficios y/o ventajas clasificados en 6 categorías, pensados para brindarte la mejor experiencia por ser parte de este gran equipo.

Te beneficiarás además de la Política de Compensación Flexible y de Beneficios ofrecidos por Leroy Merlin, como son la posibilidad de convertirte en accionista de la compañía, Seguro de Salud, ayudas en guardería, cheques restaurante y diversos descuentos con grandes colaboradores comerciales, entre otros.

Contarás con una retribución fija además de la participación en los resultados y beneficios.

¡Desarróllate!

¡Fórmate y desarróllate en una empresa multinacional! Encontrarás un gran ambiente de trabajo y dispondrás de autonomía para decidir y actuar, pudiendo participar en la toma de decisiones y en proyectos transversales.

El lugar para todas y todos

La Gestión de la Diversidad es un eje fundamental en nuestra filosofía de empresa. Es por esto que está incluida en el Chárter de Diversidad, un código de compromiso promovido por la Fundación para la Diversidad y apoyado por el Ministerio de Sanidad, Política Social e Igualdad. Con esto, nos reafirmamos en nuestro compromiso con el respeto al derecho de la inclusión de todas las personas y reconocemos los beneficios que nos brindan la diversidad cultural, demográfica y social.

Leroy Merlín España, S.L.U., declara su compromiso en el establecimiento y desarrollo de políticas que integren la igualdad entre mujeres y hombres, sin ningún tipo de discriminación, así como en el impulso y fomento de medidas para conseguir la igualdad efectiva en el seno de nuestra organización. Asumimos el principio de igualdad entre mujeres y hombres en todos y cada uno de los ámbitos en los que se desarrolla nuestra actividad y en el marco de la Responsabilidad social de nuestra Organización.

Si quieres desarrollar el trabajo que te gusta, nuestra puerta está abierta para ti. Aquí no entendemos de barreras.

TU TALENTO NO TIENE LÍMITES

Sí quieres conocer más información acerca de nuestro Propósito, valores y acciones y nuestras vacantes de empleo, dejamos a tu disposición nuestra Web de Empleo Corporativa Leroy Merlin España.

¡CAMBIAR NUESTRO MUNDO ESTÁ EN NUESTRAS MANOS!",Cuenca,Todos
RESPONSABLE DE SECCIÓN Decathlon Cuenca,Decathlon,Cuenca,No especificado,+ 30 d,"3,5","En Decathlon, el deporte forma parte de nuestro ADN, es nuestro interés común y se vive en nuestro día a día.

Estamos en constante evolución y tendrás la oportunidad de trabajar en diferentes proyectos.

En este momento, estamos en búsqueda de RESPONSABLES DE SECCIÓN que se unan a nosotros, que se atrevan, que no tengan miedo a equivocarse y que acompañen a su equipo en la toma de decisiones, orientándoles a progresar en su oficio para contribuir a nuestro sentido de empresa con el fin de satisfacer a cada uno de nuestros clientes deportistas.

Cómo nos encantaría que fueras:

Apasionado/a de las personas que construya, capacite y lidere el mejor equipo de deportistas, haciéndolo crecer, trabajando por y para el talento .
Que como deportista, te sientas identificado/a con nuestra marca para ofrecer la mejor oferta, el mejor producto y la mejor experiencia a nuestros clientes.
Capaz de tomar decisiones sobre tu perímetro de responsabilidad respetando los ratios económicos, comprometiéndote a conseguir objetivos claros, medibles tanto en el comercio físico y digital para hacer crecer tu deporte.
Una persona con ganas de progresar en su formación y con ambición a seguir avanzando en su recorrido profesional.
Que te movilice participar en la construcción y animación del proyecto local de tu centro en coherencia con el de la empresa.

Porque nos importas:

Como responsable de sección, te ofrecemos un contrato indefinido y a tiempo completo.
Decathlon te acompaña en tu aprendizaje continuo. Te formarás en un entorno que te invitará a tomar decisiones a diario y dónde todos consideran que equivocarse también forma parte del proceso.
Te acompañamos en tu plan de desarrollo/carrera profesional en un entorno donde se favorece la promoción interna y se fomenta la igualdad de oportunidades.
Te damos la posibilidad de convertirte en accionista de la empresa.
Por ser parte de Decathlon, te acompañamos con numerosos beneficios para facilitar tu día a día y tu práctica deportiva: productos Decathlon aún más accesibles, seguro de vida, seguro de salud con condiciones especiales, convenios con otras empresas para facilitar la práctica de tu deporte, etc.


Deportista que incorpore el deporte como práctica habitual .
Disponibilidad horaria completa.
Disponibilidad los fines de semana.
Estudios universitarios o ciclo formativo superior.
Movilidad geográfica",Cuenca,Todos
Sales Assistant - - CALLE CARRETERA (CUENCA),LA CASA DE LAS CARCASAS,Cuenca,No especificado,24 horas,"3,5","¿Cómo te cuidaremos en tu día a día?

Recibirás una formación continua de la mano de los mejores profesionales.
Para introducirte en el mundo La Casa de las Carcasas, pondremos a tu disposición nuestra academia de acogida llamada Start Trip y te daremos acceso a nuestra plataforma e-learning de formación continua que te ayudará a seguir desarrollando tus competencias (liderazgo, comunicación interna…).
Te acompañaremos durante todo el camino y trabajaremos juntos para que puedas seguir creciendo.
Obtendrás un salario competitivo en el sector y comisiones por ventas.
Tendrás descuentos exclusivos en todos nuestros productos.

¿Cuáles serán tus funciones en tienda?

Te encargarás de generar una experiencia de venta única a nuestros clientes, haciéndoles sentir como en casa desde el principio.
Te enseñaremos nuevas técnicas de asesoramiento y venta para poder ayudar a nuestros clientes en todo lo que necesiten.
Junto a tu equipo, apoyarás en la gestión del stock, el visual y el orden de la tienda.",Cuenca,Todos
"Recepcionista-Telefonista, indefinido, CADIG SAN CLEMENTE",Grupo 5 (Spain),Cuenca,No especificado,8 días,"3,5","Descripción
Empresa

División otros servicios de AAPP

Puesto

Recepcionista-Telefonista, indefinido, CADIG SAN CLEMENTE

Tipo de oferta

Interna

Número de vacantes

1

Descripción de la oferta

En Grupo 5, una organización comprometida con el bienestar social, estamos en la búsqueda de profesionales dedicados para unirse a nuestro equipo. Como parte de nuestra plantilla de más de 3,200 profesionales, tendrás la oportunidad de contribuir directamente a mejorar la vida de 5,100 personas en situación de vulnerabilidad social. Actualmente buscamos un/a Recepcionista - Telefonista para incorporar en nuestra residencia de discapacidad de San Clemente ubicado en la localidad de Cuenca.

Requisitos:

Experiencia similar
Buenas habilidades de informática

Se ofrece:

Contrato indefinido
Salario según convenio
Horario de mañana o tardes de lunes a domingo con sus descansos correspondientes


Experiencia mínima

De 1 a 3 años

Incorporación

28/03/2026


Fecha de publicación

18/02/2026

Fecha límite envio CV

01/04/2026",Cuenca,Todos
Profesional polivalente de Supermercado-Cuenca 40h/Rotativo,Ahorramas,Cuenca,No especificado,24 horas,"3,5","AHORRAMAS empresa líder en el sector de alimentación en la que trabajamos cada día con gran ilusión para seguir alimentando un gran proyecto en expansión, en el que somos más de 14.000 personas y que cuenta con más de 290 supermercados distribuidos entre Madrid, Castilla-La Mancha y Castilla y León. Un proyecto donde el compromiso con la calidad, nuestros clientes y nuestros trabajadores son los ingredientes principales. Y tú, ¿quieres sumarte a nuestro equipo?

Si tienes ganas de desarrollarte profesionalmente, te ofrecemos la oportunidad de aprender y conocer todas las secciones de nuestros establecimientos: carnicería, charcutería, pescadería, frutería, panadería y caja.

Cuenca

Te formarás en:
La atención a nuestros clientes en mostrador y caja, cubriendo sus necesidades, ayudándoles y asesorándoles.
Los tipos y características de nuestros productos. Cómo se presentan, conservan y preparan correctamente para la venta.
La preparación del mostrador y los expositores de productos.
La adecuada recepción y colocación del pedido.
El uso de las herramientas de corte y útiles de trabajo.
Proceso de cobro en caja.
Descarga y reposición de productos en estanterías y murales de frío.
Qué buscamos:
Personas con buenas habilidades de comunicación, con motivación por aprender y orientación al trabajo en equipo.
Formación mínima en Graduado de Secundaria/ESO.
No se requiere experiencia previa. Valoramos experiencias anteriores en puestos similares y/o de atención al cliente.
Motivación por aprender y trabajar en equipo.
Disponibilidad para trabajar en domingo y festivos, con el descanso semanal correspondiente.
Qué ofrecemos:
Un proyecto estable, con muy buen ambiente de trabajo y en el que crecer profesionalmente.
Contrato indefinido.
Ofrecemos una jornada a tiempo completo (40 horas semanales)
Comenzarás con una jornada a tiempo parcial (20 horas semanales) y con posibilidad de incrementarla a futuro.
Trabajamos con horario rotativo.
Pertenecer a una empresa estable y en constante crecimiento.
Buen ambiente de trabajo.

Solicita el puesto y únete a nuestro equipo para crear un proyecto de futuro juntos

Si te interesa este puesto y cumples los requisitos: ¡Inscríbete en la oferta y adjunta tu CV!

Valoraremos tu candidatura y contactaremos contigo si te ajustas al perfil del puesto.

Podrás ver el estado del proceso en tu perfil de candidato: www.ahorramas.com

Muchas gracias.




En Ahorramas, nos esforzamos por construir un lugar de trabajo donde todos pueden contribuir plenamente y sentirse orgullosos de formar parte de nuestro equipo. Creemos que la igualdad de oportunidades, la diversidad y el respeto a las personas es fundamental para fomentar la innovación y el crecimiento. Nuestro compromiso con la igualdad y la integración se manifiesta en nuestras políticas de contratación, desarrollo profesional y promoción, para que todas las personas trabajadoras tengan las mismas oportunidades de avanzar en sus carreras.",Cuenca,Todos
