Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Contable,Kolibri Consulting,Jerez,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Jerez de la Frontera, Cádiz provincia",Cádiz,Todos
"Si buscas estabilidad, seriedad y oportunidades de crecimiento, ¡únete a nuestro equipo!",SegurAlge,Algeciras,18 mil € - 35 mil € (Proporcionado por la empresa),+ 30 d,"3,9","**NO ES TELEBRAJO**

En nuestra compañía, todos los agentes de seguros tienen la oportunidad de ascender a posiciones de liderazgo y desarrollar su carrera.

Brindamos la oportunidad de brillar como agente de seguros.

Construye tu camino hacia el éxito en un entorno flexible y lleno de posibilidades.

Lo que harás:

Diseño de Estrategias: Crea soluciones únicas de protección y ahorro adaptadas a las necesidades de cada cliente!
Relaciones Sólidas: Construye y mantiene relaciones duraderas con tus clientes, asegurando su confianza en ti.
Aprovechamiento Digital: Utiliza las últimas herramientas digitales para maximizar tus ventas y mejorar tu eficiencia.
Prospección Activa: Expande tu red de clientes de manera proactiva con el apoyo y acompañamiento de nuestra compañía.

Lo que ofrecemos:

Plan de Crecimiento Rentable: Ingresos adaptados a tu trabajo y comisiones de cartera desde el primer día.
Capacitación Continua: Recibe formación que te mantendrán en la cima del sector.
Conciliación Familiar: Valoramos tu tiempo con un horario flexible que permite equilibrar trabajo y vida personal.
Apoyo Incondicional: Disfruta de herramientas digitales y respaldo de expertos en el sector para que tengas éxito desde el inicio.
Cartera de Clientes: Comienza con una base sólida y sigue haciendo crecer tu cartera de manera orgánica.
Oportunidades de crecimiento: Nuestro compromiso es desarrollar líderes en nuestra compañía.

¿Qué buscamos en ti?

Habilidades de Comunicación y Negociación: Tu capacidad para conectar es clave.
Proactividad y Foco en Resultados: Queremos que te centres en alcanzar metas ambiciosas.
Pasión por el Trabajo en Equipo: Disfruta el proceso y fomenta un buen ambiente laboral.
Gestión del Tiempo: Organiza tu vida y tus objetivos de manera eficiente.
Actitud Positiva y Constancia: La motivación y la persistencia son la clave del éxito.

Requisitos:

Compromiso: Ganas de colaborar y dedicación para crecer junto a nosotros.

Detalles del Puesto:

Tipo de Puesto: Agente de Seguros
Renumeración: Entre 18.000€ y 35.000€ Anuales. ¡tus esfuerzos son recompensados con rappeles y comisiones atractivas!

¡_Tu éxito está a solo un paso! Unete a nosotros y transforma tu potencial en resultados tangibles!_

Tipo de puesto: Autónomo

Sueldo: 18.000,00€-35.000,00€ al año

Beneficios:

Flexibilidad horaria
Programa de formación

Preguntas para la solicitud:

¿Reside en el campo de Gibraltar?

Idioma:

Español (Obligatorio)

Ubicación del trabajo: Empleo presencial",Cádiz,Todos
Acompañante gastronómico - Tour Leader,Do Eat Better Srl,España,"22,00 € - 25,00 € Por hora (Proporcionado por la empresa)",3 días,"3,9","Buscamos un ACOMPAÑANTE GASTRONÓMICO para un Food Tour en Cadiz.

Se requiere que dirija un recorrido gastronómico a pie por el centro de la ciudad, contando datos y anécdotas interesantes sobre la tradición gastronómica local. El tour dura aproximadamente 3 horas.

El tour se realiza con un grupo de tamaño variable (mín. 2; máx. 12 clientes) de origen principalmente extranjero.

Se requiere experiencia previa, licencia de tour leader (apreciado no obligatorio) y ser autónomo (obligatorio). Se requiere un nivel alto de inglés (cualquier otro idioma es una ventaja).

Do Eat Better es líder en Italia, Francia, España y Portugal en la oferta de tours gastronómicos: un viaje gastronómico por etapas para descubrir los mejores lugares, las especialidades típicas y las historias, curiosidades y tradiciones que se esconden tras la preparación de los platos locales tradicionales.

Tipo de puesto: Media jornada, Autónomo

Sueldo: 22,00€-25,00€ la hora

Beneficios:

Comidas en la empresa
Flexibilidad horaria

Preguntas para la solicitud:

Hablas inglés con fluidez? (Mìnimo nivel B2)
Eres autónomo/a?
Vives en Cadiz o cerca?

Ubicación del trabajo: Empleo presencial",Cádiz,Todos
Atención al cliente,MH MEDIACION Y GESTION INMOBILIARIA SL,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,9","MH Inmobiliaria incorpora a su equipo un/a Administrativo/a de Atención al Cliente para nuestras oficinas de Sanlúcar de Barrameda y Costa Ballena.

Funciones principales

Atención al cliente presencial y telefónica
Gestión de contactos y agenda
Organización y seguimiento de visitas a viviendas
Apoyo administrativo al equipo comercial
Tareas de oficina relacionadas con la actividad inmobiliaria

Jornada

Jornada laboral completa

Requisitos

No es necesaria experiencia previa
Actitud proactiva y orientación al cliente
Capacidad de organización
Vehículo propio (imprescindible)

Ubicación

Oficinas de Sanlúcar de Barrameda y Costa Ballena

Envío de CV

Las personas interesadas pueden enviar su CV a:
fer@mhinmobiliaria.org

Tipo de puesto: Jornada completa

Sueldo: 1.200,00€-1.260,00€ al mes

Beneficios:

Acciones empresariales
Ayuda al desarrollo profesional
Opción a contrato indefinido
Ordenador de empresa
Programa de formación

Ubicación del trabajo: Empleo presencial",Cádiz,Todos
Dependiente/a de Tienda,OBRADOR PANADERIA,Sotogrande,No especificado,28 días,"3,9","Buscamos una persona dinámica,sonriente y responsable para incorporarse a nuestro equipo de trabajo .

Funciones

Atencion al cliente :Montaje de vitrinas,reposición de producto y aseguramiento de una presentación visual atractiva.
Caja y cobro: Manejo de TPV, cobro en efectivo y tarjeta, y cierre de caja.
Mantenimiento: Limpieza y orden del local y zona de trabajo, cumpliendo con las normas de higiene y seguridad alimentaria.
Preparación de pedidos: Gestión de encargos

Requisitos

Experiencia: Valorable experiencia previa en panaderías, cafeterías o atención al cliente.
Actitud: Persona proactiva, puntual y con don de gentes.
Disponibilidad: Disponibilidad para trabajar en turnos rotativos y fines de semana
Documentación: Carnet de manipulador de alimentos
Idiomas: Se valorará cononocimientos

¿ Que ofrecemos ?

Contrato: Fijo-discontinuo
Jornada: Completa
Salario: Según convenio
Ambiente: Un entorno de trabajo familiar y agradable.

Tipo de puesto: Jornada completa, Contrato indefinido

Ubicación del trabajo: Empleo presencial",Cádiz,Todos
Service Coordinator (m/f/d),Palfinger,España,No especificado,9 días,"3,9","At PALFINGER, we have been lifting goods to a new level for over 90 years – with a pioneering and passionate spirit. As a global technology and engineering company, we are the world's leading manufacturer and supplier of innovative crane and lifting solutions.

PALFINGER MARINE, an integral part of our organization since 1992, offers complete deck equipment solutions and lifesaving appliances to various maritime industries. Our success is based on the tireless efforts of our approximately 12,350 employees, who contribute their ideas and energy to our vision. With us, you can expect a dynamic working environment full of opportunities for personal and professional development. Become part of our team and start your career at PALFINGER.


To strengthen our operation, we are looking for a Service Coordinator (f/m/d) at our Livorno Location.TALENTED, AMBITIOUS AND READY FOR A NEW CHALLENGE?We are currently looking for a business / customer minded and focused Service Coordinator. This position willbe reporting to the Service Manager.

Your responsibilities

Lead and coordinate service operations, including planning, execution, and follow-up of service jobs in collaboration with the Service Manager and other departments.
Act as the main customer contact for service-related matters, including handling the service hotline, preparing quotations, and ensuring customer expectations are met.
Support service engineers through job briefings, debriefings, and preparation of necessary documentation.
Assist sales and project teams in executing service-related contracts and ensuring smooth integration with ongoing projects.
Monitor service performance, including tracking hours, costs, invoicing, and ensuring KPIs and project targets are achieved.
Your qualifications

Educational and industry background: Holds a Bachelor's or Master’s degree in a relevant field (e.g., Engineering), with preferred experience in the Maritime or Offshore service industry.
Service and coordination expertise: Proven experience in service coordination, execution, and working cross-functionally and cross-regionally within international organizations.
Customer and business orientation: Strong customer service skills, with a solution-driven, business-minded, and customer-focused approach.
Interpersonal and communication strengths: Excellent communication, networking, and organizational skills; fluent in English, both spoken and written.
Personal attributes: Self-motivated, proactive, adaptable, and hands-on with a “boots on the ground” mentality.
We offer

A chance to be part of the fast-growing PALFINGER MARINE family
Competitive compensation package
A friendly and pro-active team

Are you interested in the position and still have questions? Please do not hesitate to contact us.



Quick application Apply with registration",Cádiz,Todos
gestion de ventas productos veterinarios y alimentacion animal,navarro montes agro sl,Los Barrios,2 mil € (Proporcionado por la empresa),+ 30 d,"3,9","En Navarro Zoovet vamos a incorporar a nuestro equipo un nuevo compañer@ para el departamento de ventas; si eres una persona comprometida, que le gusta relacionarse con personas y … mascotas, que no teme a los nuevos proyectos… posiblemente estamos hablando de ti!!

En este puesto tendrás que visitar clínicas veterinarias y profesionales del sector de las mascotas, dando a conocer los productos que tenemos en cartera. Trabajarás por objetivos tanto de ventas como otras métricas.

La zona en cuestión será la Costa del Sol.

Se requiere permiso de conducir y vehículo propio, así como tener la residencia en la costa o campo de gibraltar.

Se valorará la experiencia en ventas, pero no es imprescindible.

Tipo de puesto: Jornada completa, Autónomo

Sueldo: A partir de 2.000,00€ al mes

Beneficios:

Flexibilidad horaria

Ubicación del trabajo: Teletrabajo híbrido en 11370 Los Barrios, Cádiz provincia",Cádiz,Todos
ENTRENADOR PERSONAL AUTÓNOMO JEREZ,Basic-Fit,Jerez,No especificado,7 días,"3,9","Nos encontramos en plena fase de expansión, abriendo nuevos centros con muchas posibilidades laborales de promoción interna.

Estamos en búsqueda continua de perfiles que se desarrollan en el entrenamiento personal.

¿Eres entrenador personal con pasión por el fitness o quieres serlo y tienes ganas de crecer profesionalmente?

¡Estamos buscando entrenadores personales freelance para unirse a nuestro equipo en Basic-Fit!

Nos encontramos en plena expansión y queremos incorporar entrenadores motivados y comprometidos.

Si te encanta ayudar a otros a alcanzar sus metas y quieres tener flexibilidad, ¡esta es tu oportunidad!

CONDICIONES QUE OFRECEMOS PARA FREELANCE:

Firma de un contrato anual renovable de año en año.

Tener el certificado de alta como autónomo.

El fee mensual es de 300€ más IVA.

En el fee mensual entra la posibilidad de entrenamiento en todas las áreas del club excepto clases de actividades dirigidas, así como el Wifi o gastos de cualquier suministro.

No tienes exclusividad en el club como entrenador personal.

Tu perfil aparecerá en WEB, NARROW CASTING, APP para poder generar negocio.

Tendrás acceso a una plataforma interna con herramientas para desarrollar su negocio y mejorar en ventas, administración y Marketing

Te damos soporte desde Partners para todo el proceso de alta y para comenzar a operar los primeros meses.

Te ponemos en contacto con empresas para que te den soportes de software y formación con las mejores condiciones del mercado.

Eres dueño de tu negocio y como tal decides tu horario, precios y servicios a ofrecer.

Tienes una suscripción gratuita para entrenar en la red de Gimnasios Basic Fit.

Como entrenador/a decides la indumentaria y el marketing a utilizar de manera local.

Si ya eres autónomo o tienes la intención de serlo, ponte en contacto con nosotros y te explicamos paso por paso como hacerlo.

¡No dudes en hacerlo!

Envía tu propuesta o CV a carlos.lopez@basic-fit.com",Cádiz,Todos
Monitor/a de YOGA,LUDIBE,España,"12,00 € Por hora (Proporcionado por la empresa)",24 horas,"3,9","Somos una agencia especializada en la prestación de servicios de ocio, tiempo libre y formación que opera a nivel nacional.

Para dar respuesta a las necesidades de nuestros clientes, necesitamos incorporar monitores en las principales ciudades de España.

Buscamos personas responsables, comunicativas y con amplios conocimientos en materia de formación y/o actividades de ocio y tiempo libre:

YOGA para personas con discapacidad visual

Tipo de puesto: Temporal

Sueldo: A partir de 12,00€ la hora

Preguntas para la solicitud:

¿ En que ciudad resides?
¿ En qué tipo de formación o taller tienes experiencia?

Experiencia:

Monitor en Animación y Gestión de grupos: 2 años (Deseable)

Ubicación del trabajo: Empleo presencial",Cádiz,Todos
Oficial 2ª Fontanería,Surpool - pool & spa service -,Algeciras,1 mil € - 2 mil € (Proporcionado por la empresa),24 horas,"3,9","Se precisa persona con conocimientos de fontanería, con algunas nociones de electricidad y albañilería.

Tipo de puesto: Jornada completa, Contrato indefinido, Contrato temporal
Duración del contrato: 6 meses

Sueldo: 1.200,00€-1.500,00€ al mes

Ubicación del trabajo: Empleo presencial",Cádiz,Todos
