Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Ausbildung 2026 zum:zur Beton- und Stahlbetonbauer:in (m/w/d),STRABAG SE,España,No especificado,21 días,"3,7","Ausbildung 2026 zum:zur Beton- und Stahlbetonbauer:in (m/w/d)
STRABAG AG
Ausbildung
das umliegende Rheinland
Dienstleistungen / Servicebetriebe
Ausbildung 2026 zum:zur Beton- und Stahlbetonbauer:in (m/w/d)
Bock auf Stahl und Beton? Starte deine Ausbildung bei STRABAG!
Jetzt bewerben

Was für uns zählt
Du hast mindestens einen guten Hauptschulabschluss oder bist gerade dabei ihn zu machen
Du liebst es anzupacken, scheust dich nicht vor anspruchsvollen Aufgaben und bringst handwerkliches Geschick mit
Du zeichnest dich durch Genauigkeit, Zuverlässigkeit und Teamfähigkeit aus

Zukunft bauen: Eine Ausbildung als Straßenbauerin bei STRABAG

Dein Beitrag bei uns
Du stellst Bauteile aus Beton und Stahlbeton her
Du lernst den Umgang mit gängigen Schalungssystem und die Fertigung von Schalungen kennen
Du arbeitest nach Bauzeichnungen, Schal- und Bewehrungsplänen
Du lernst die Sicherheitsvorschriften, Arbeitsabläufen und Baustellenorganisation
Du verwendest und verarbeitest Baustoffe sowie lernst den Umgang mit Werkzeugen und Baumaschinen

Unser Mehrwert für dich
1. Lehrjahr: 1.122,00€, 2. Lehrjahr: 1.351,00€, 3. Lehrjahr: 1.610,00€
Urlaubs- und Weihnachtsgeld
30 Urlaubstage + Weihnachten und Silvester arbeitsfrei
Kostenfreie Verpflegung während der Aufenthalte im Ausbildungszentrum
Erstattung der Fahrtkosten
Übergeordnete:r Ausbildungskoordinator:in für individuelle Unterstützung
Bereitstellung von Schulmaterialien und hochwertiger Arbeitskleidung

Werde jetzt Teil unseres Teams! Sende uns dazu einfach Deine Onlinebewerbung zu.

Bei Fragen kannst Du Dich gerne jederzeit an uns wenden

vielfältige Weiterbildungsmöglichkeiten
wettbewerbsfähige Vergütung

Kontakt
Katja Düren
Alfred-Schütte-Allee 10
50679 Köln

+49 151 18450872
Jetzt bewerben",Girona,Todos
Cuidadora Interna (Catalán imprescindible),Curaleaf,España,2 mil € (Proporcionado por la empresa),24 horas,"3,7","¿Eres una persona con vocación sociosanitaria y buscas estabilidad en la zona de L’Estartit? Auxiliar Interna para incorporación inmediata. Buscamos un perfil profesional, paciente y con capacidad de acompañamiento integral.

DETALLES DE LA OFERTA (REF 295)

Ubicación: L’Estartit (Girona).
Horario: Entrada lunes 9:00h - Salida sábado 9:00h.
Disponibilidad adicional: Se requiere trabajar dos fines de semana al mes.
Incorporación: Inmediata.

REQUISITOS OBLIGATORIOS (Por favor, abstenerse si no se cumplen)

Idioma: Dominio fluido del Catalán (Imprescindible para la comunicación con el usuario).
Experiencia: Mínimo 2 años verificables en cuidado de personas mayores o dependientes.
Perfil: Formación o experiencia en el ámbito Sociosanitario.
Actitud: Alta capacidad de empatía, paciencia y proactividad en tareas de estimulación y ejercicios.

RESPONSABILIDADES

Atención sociosanitaria y cuidados personales.
Acompañamiento activo y realización de ejercicios físicos/cognitivos.
Gestión de tareas del hogar vinculadas al bienestar del usuario.
Mantenimiento de rutinas y medicación.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.658,00€-1.780,00€ al mes

Preguntas para la solicitud:

¿Tiene permiso de trabajo activo?

Ubicación del trabajo: Empleo presencial",Girona,Todos
Jefe de Equipo Comercial,Sector Alarm,Gerona,2 mil € - 4 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Estamos buscando a nuestro próximo Jefe de Equipo Comercial en Girona. Trabajarás para construir tu propio equipo de ventas y los ayudarás en su día a día para que alcancen su objetivo.

Sobre Nosotros: Sector Alarm es una empresa multinacional noruega con más de 25 años en el sector de la seguridad, pero llegamos a España hace tan solo cuatro años, ¿eso qué significa? ¡Que nos encontramos en pleno momento de expansión comercial! Por lo que necesitamos ampliar nuestra plantilla.

Sector Alarm en Barcelona: Estamos buscando Jefes de Equipo Comercial que se unan a nuestra oficina de Mataró. Necesitamos personas con muchas ganas de crecer, gestionar equipos y darlo todo en el día a día.

Funciones y tareas: Trabajarás para construir un equipo de hasta 14 comerciales con la ayuda del departamento de formación (SWA) y el equipo de reclutamiento comercial. Tu función será acompañarlos en su día a día y liderar con el ejemplo para que den su mejor versión cada día.

Realizarás cada mañana la reunión de ventas y fijarás los objetivos del día
Acompañarás y formarás a los nuevos miembros de tu equipo desde su primer día. Somos comerciales de calle y estarás con ellos cada día para que se conviertan en los mejores vendedores de la ciudad
Ayudarás y motivarás a los comerciales. Serás el referente para ellos
Participarás en reuniones junto con el Director Regional para identificar puntos de mejora en tu equipo
No tendrás objetivos de venta propio, sino que comisionarás por las ventas de tu equipo

Requisitos: ¿Quieres vivir la experiencia de trabajar en una multinacional en plena expansión? ¡Genial! Estos son los requisitos para poder aplicar al puesto de Jefe de Ventas:

Experiencia comercial en venta directa: creemos que hay que liderar con el ejemplo, por eso te pedimos que tengas al menos 1 año de experiencia comercial en calle
Valorable experiencia gestionando equipos (no es necesario, si buscas tu primera oportunidad no dudes en aplicar)
Capacidad de liderazgo y personalidad carismática: Dirigirás tu propio equipo y queremos que seas la persona en la que ellos se orienten para crecer
Orientado a objetivos y logros: buscamos personas que tengan mentalidad ganadora y ganas de superación
Requisito imprescindible carnet de conducir B. No se valorarán aquellas candidaturas que no dispongan de carnet de conducir coche vigente

Qué te ofrecemos: Aunque Sector Alarm es una empresa multinacional, conserva una cultura familiar desde sus inicios. ¡Es lo que nos hace diferentes! Por lo que contarás con las siguientes condiciones:

Salario Fijo + Comisión por las ventas de tu equipo: contamos con un atractivo plan salarial compuesto por un salario fijo y una variable en función de las ventas de tu equipo (¡sin límite!)
Coche de empresa y tarjeta de gasolina mensual: Desde tu primer día recibirás tu coche de empresa. No tienes que dejarlo en la oficina, puedes también utilizarlo para uso personal
Eventos de empresa, actividades de equipo y viajes internacionales: Cada año realizamos dos viajes para los mejores comerciales y jefes de Equipo de España ¿Te apetece visitar República Dominicana?
Formación y desarrollo a cargo de nuestro Equipo de Formación (SWA)

Tipo de puesto: Jornada completa

Sueldo: 1.600,00€-4.000,00€ al mes

Beneficios:

Coche de empresa
Eventos de la empresa
Flexibilidad horaria
Programa de formación

Experiencia:

Ventas directas (en calle): 1 año (Deseable)
Gestión de equipo: 1 año (Deseable)

Licencia/Certificación:

Carnet de conducir B (Obligatorio)

Ubicación del trabajo: Empleo presencial",Girona,Todos
Agente Comercial,ALEX ROS,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Buscamos un comercial inmobiliario junior, para unirse a nuestro equipo.

Con un contrato de formación en inicio y conversión a indefinido.

26 horas de trabajo + 14 horas de formación

En horario de 10 a 14h y de 16 a 20h, de martes a sábado.

Requisitos:

No es necesario tener experiencia previa en el sector inmobiliario.
Ganas de aprender y desarrollarse en el area.
Actitud proactiva, dinámico y orientado a resultados.
Coche propio.
Catalán, castellano, se valorará francés e inglés.

Se ofrece:

Formación continua a cargo de la empresa.
Sueldo fijo según convenio + incentivos.
Un ambiente de trabajo joven y profesional.
Oportunidad de crecimiento y desarrollo dentro de la empresa.

Si tienes interés en empezar tu carrera en el sector inmobiliario y crecer profesionalmente, ésta es tu oportunidad!

Envianos tu cv y únete a nuestro equipo.

Tipo de puesto: Jornada completa

Sueldo: A partir de 1.185,00€ al mes

Beneficios:

Programa de formación

Retribución complementaria:

Bonus por objetivos
Plan de comisiones

Preguntas para la solicitud:

Tienes carnet de conducir y coche propio?

Educación:

ESO (Deseable)

Ubicación del trabajo: Empleo presencial",Girona,Todos
Comercial en tienda,Dormity,Figueres,30 mil € - 40 mil € (Proporcionado por la empresa),24 horas,"3,7","¿Te gustaría formar parte de una empresa líder en el sector Retail? ¿Eres un apasionado del mundo de la venta?

Si has contestado que sí a estas preguntas ¡Entonces sigue leyendo!

Con más de 20 años de experiencia y una red de más de 70 puntos de venta, Dormity es la empresa líder en la fabricación y venta de sistemas de descanso. Actualmente, buscamos incorporar 1 perfil enfocado a ventas para nuestra próxima apertura en Figueres.

¿Cuál será tu función?

Tu papel será fundamental para asegurar que cada cliente viva una experiencia de compra única y personalizada:

Escucha activa y asesoramiento a cada cliente en función de sus necesidades reales.
Impulsar la venta con seguridad, convicción y conocimiento del producto.
Realizar seguimiento de presupuestos y contribuir a la fidelización del cliente.
Habilidad para acompañar al cliente hasta la decisión de compra, asegurando una gran experiencia, aportando confianza y valor al cliente

¿Qué ofrecemos?

Contrato indefinido
Salario: el salario fijo (19.392€ brutos anuales ) + variables, hacen que el promedio salarial del equipo se encuentre entre 30.000 y 40.000 € brutos anuales.
Jornada de 40 horas a la semana distribuidas de lunes a sábado de 10:00 a 14:00 y de 17:00 a 20:30 con el correspondiente descanso semanal.
Formación inicial y continua en producto y técnicas de venta, a cargo de nuestros especialistas.

Si crees que eres el candidato/a ideal... Zzz ¡No te duermas en los laureles e inscríbete!

¡En DORMITY te estamos esperando!

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 30.000,00€-40.000,00€ al año

Beneficios:

Programa de formación

Preguntas para la solicitud:

En caso de no residir en Figueres o un municipio cercano, ¿Dispones de vehículo propio para desplazarte?

Ubicación del trabajo: Empleo presencial",Girona,Todos
Vendedor/a en tienda,Dormity,Figueres,30 mil € - 40 mil € (Proporcionado por la empresa),24 horas,"3,7","¿Te gustaría formar parte de una empresa líder en el sector Retail? ¿Eres un apasionado del mundo de la venta?

Si has contestado que sí a estas preguntas ¡Entonces sigue leyendo!

Con más de 20 años de experiencia y una red de más de 70 puntos de venta, Dormity es la empresa líder en la fabricación y venta de sistemas de descanso. Actualmente, buscamos incorporar 1 perfil enfocado a ventas para nuestra próxima apertura en Figueres.

¿Cuál será tu función?

Tu papel será fundamental para asegurar que cada cliente viva una experiencia de compra única y personalizada:

Escucha activa y asesoramiento a cada cliente en función de sus necesidades reales.
Impulsar la venta con seguridad, convicción y conocimiento del producto.
Realizar seguimiento de presupuestos y contribuir a la fidelización del cliente.
Habilidad para acompañar al cliente hasta la decisión de compra, asegurando una gran experiencia, aportando confianza y valor al cliente

¿Qué ofrecemos?

Contrato indefinido
Salario: el salario fijo (19.392€ brutos anuales ) + variables, hacen que el promedio salarial del equipo se encuentre entre 30.000 y 40.000 € brutos anuales.
Jornada de 40 horas a la semana distribuidas de lunes a sábado de 10:00 a 14:00 y de 17:00 a 20:30 con el correspondiente descanso semanal.
Formación inicial y continua en producto y técnicas de venta, a cargo de nuestros especialistas.

Si crees que eres el candidato/a ideal... Zzz ¡No te duermas en los laureles e inscríbete!

¡En DORMITY te estamos esperando!

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 30.000,00€-40.000,00€ al año

Beneficios:

Programa de formación

Preguntas para la solicitud:

En caso de no residir en Figueres o un municipio cercano, ¿Dispones de vehículo propio para desplazarte?

Ubicación del trabajo: Empleo presencial",Girona,Todos
Business Developer,Eurofirms,Gerona,No especificado,21 días,"3,7","Girona, Girona

Empleo de Business Developer, Girona
Fecha de publicación:
05/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y viernes en turno partido en horario entre 09:00h y 18:00h con los descansos establecidos por ley.
Vacantes:
1
Salario:
A concretar
Población:
Girona



Descripción de la oferta de empleo de Comercial en Girona
Eurofirms Group | People first Lleida, Catalunya, España

¿Te apasiona conectar personas, generar oportunidades y liderar por valores?
Si tienes actitud, visión comercial y te motiva impulsar el crecimiento en la zona de Lleida, ¡este puesto de Business Developer es para ti!

¿Por qué trabajar con nosotros?

En Eurofirms Group creemos en el talento sin etiquetas. Apostamos por un entorno inclusivo, diverso y respetuoso, donde cada persona cuenta y puede crecer siendo auténtica.
People First no es solo nuestro lema, es nuestra forma de trabajar.
Entrarás a formar parte de la empresa de gestión de talento de capital nacional número 1 en España, con más de 30 años de trayectoria en el sector de los Recursos Humanos. Estamos presentes en varios países de Europa y Latinoamérica, y seguimos en constante expansión, poniendo a las personas en el centro.

¿Qué te ofrecemos?


Apoyo continuo de tu líder y compañeros/as desde el primer día.
Plan de carrera real dentro de la compañía, con posibilidades de crecimiento y promoción interna.
Un entorno donde tu voz cuenta: fomentamos la participación, las ideas y que cada persona aporte lo mejor de sí misma.
Gestión por valores, con foco en la transparencia, el compromiso y el respeto.
Buen ambiente laboral, donde el compañerismo y la colaboración son parte de nuestro día a día.
Flexibilidad horaria real: entrada entre las 8:00 y las 10:00, salida entre las 17:00 y las 19:00.
Una tarde libre por semana, para ti.
Un día de teletrabajo semanal.
Formación continua y herramientas tecnológicas que te facilitan el trabajo.
Sistema de bonus atractivo que reconoce tu esfuerzo.
Seguro médico a los 2 años para ti y tu familia.
Benefits y descuentos en gimnasios.
La tranquilidad de formar parte de una empresa sólida, con más de 30 años de trayectoria.

Testimonios reales de compañeros/as en Eurofirms:

""Aquí no hay jerarquías que separan, sino personas que suman. Lo que hacemos tiene sentido, porque ayudamos a clientes, trabajadores y compañeros. Y eso, sinceramente, es muy bonito.""
""Yo disfruto mucho mi trabajo. Me siento escuchada, acompañada y valorada. Y eso no tiene precio.""
""Nosotros ayudamos a crecer a la empresa. Y eso solo se consigue con actitud, constancia y transparencia. Aquí no vendemos humo, vendemos soluciones reales.""

¿Te gusta lo que lees?

Si te apetece formar parte de una empresa que cree en las personas y te va a acompañar en tu desarrollo... ¡Inscríbete, queremos conocerte!

#BD
¿Qué vas a vivir y hacer en este rol?

Tu misión será desarrollar negocio en la zona de Lleida, generando nuevas oportunidades comerciales y consolidando relaciones con clientes.

Esto incluye:

Labor comercial:


Prospección activa y apertura de nuevos clientes.
Fidelización y desarrollo de cuentas activas.
Identificación de oportunidades y necesidades reales.
Desarrollo de nuevas líneas de negocio.
Coordinación con otras oficinas para garantizar un servicio excelente.

Colaboración interna:


Trabajo conjunto con el equipo de Recruiters para asegurar la calidad del servicio.
Apoyo en procesos de selección y seguimiento de trabajadores según necesidades del cliente.
Función:
Comercial
Requisitos:
¿Qué buscamos en ti?


Escucha activa, empatía y actitud positiva.
Perseverancia, iniciativa y ganas de aprender.
Capacidad de adaptación y comunicación clara.
Experiencia comercial (valorable en el sector ETT o RRHH).
Carné de conducir.
Formación:
Valorable grado universitario en ADE.
Idiomas:
Castellano hablado y escrito correctamente.",Girona,Todos
Comercial de Ventas [Alarmas y Sistemas de Seguridad],Sector Alarm,Gerona,No especificado,+ 30 d,"3,7","¿Quieres formar parte de una de las mejores empresas para trabajar en España reconocida por Great Place To Work?

Sector Alarm es una empresa multinacional noruega líder en soluciones de seguridad, presente en más de 8 países europeos y con miles de clientes protegidos. Apostamos por el talento, la promoción interna y el desarrollo profesional a largo plazo

Buscamos Agentes Comerciales para incorporarse a su equipo de ventas en Girona, especializados en la venta e instalación de alarmas y sistemas de seguridad para hogares y negocios

QUÉ TE OFRECEMOS

Contrato laboral a jornada completa (no trabajamos con régimen de autónomos)
Salario sin límite con altas comisiones
Formación constante y certificada + acompañamiento en tus primeras semanas
Plan de carrera real con posibilidades de promoción interna y desarrollo hacia puestos de gestión de equipos
Empresa reconocida como Great Place To Work durante 7 años consecutivos
Vehículo de empresa + Tarjeta de combustible + Eventos, viajes y premios…

FUNCIONES DEL PUESTO

Captación de clientes. Trabajo en calle a puerta fría
Asesoramiento personalizado a clientes sobre nuestros sistemas de seguridad
Visitas comerciales concertadas
Cierre de la venta
Instalación de los sistemas
Seguimiento de tu cartera de clientes

REQUISITOS IMPRESCINDIBLES

Carnet de conducir tipo B (en vigor y válido en España)
Disponibilidad para trabajar a jornada completa (40h) en turno partido (mañana y tarde).
Residencia en Girona o alrededores
Permiso de trabajo en vigor

VALORAMOS POSITIVAMENTE

Actitud comercial
Habilidades comunicativas
Poractividad
Actitud Positiva/Ambicion
Orientación a objetivos

Si ya habías aplicado anteriormente y no nos hemos puesto en contacto contigo, vuelve a aplicar. Recibimos un volumen muy alto de candidaturas y a veces nos es imposible revisarlas todas.",Girona,Todos
Alabañil ENCARGADO,ELFSA OBRES I SERVEIS,Lloret de Mar,30 mil € (Proporcionado por la empresa),+ 30 d,"3,7","DESCRIPCIÓN DEL PUESTO

En ELFSA Obres i Serveis, empresa especializada en proyectos de edificación y reformas, buscamos un/a Encargado/a de Obra con experiencia contrastada para obras en la provincia de Girona, así como en las comarcas del Maresme, Vallès Oriental y Osona.

Tu misión será coordinar y supervisar los trabajos de ejecución en obra, asegurando el cumplimiento de plazos, calidades y medidas de seguridad.

FUNCIONES PRINCIPALES

Planificación y control de los trabajos diarios en obra.
Coordinación de los diferentes equipos de operarios.
Asignación de tareas y supervisión del rendimiento.
Seguimiento de la ejecución según planos y mediciones reales.
Control de materiales, maquinaria y medios auxiliares.
Garantizar el cumplimiento del plan de seguridad y salud.
Organización de accesos, zonas de maniobra y espacios de trabajo.
Comunicación fluida con el jefe de obra y la oficina técnica.

REQUISITOS

Experiencia mínima de 5 años como encargado/a de obra en edificación.
Formación en PRL: curso de 60 h + especialidad de 6 h.
Conocimientos básicos de catalán y castellano.
Persona proactiva, resolutiva, organizada y con liderazgo.
Carnet de conducir.

REMUNERACIÓN

29700€ brutos anuales.
Horas extras.
Vehículo de empresa.

Tipo de puesto: Jornada completa

Sueldo: 29.720,00€ al año

Experiencia:

Construcción: 3 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Girona,Todos
Recepcionista de hotel,Molineu,España,No especificado,+ 30 d,"3,7","Se precisa recepcionista de hotel, con trabajo para todo el año. Indispensable saber catalan, castellano y inglés, se valoraran otros idiomas.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Girona,Todos
