Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Truck/Bus/HGV Mechanic (Relocation to The Netherlands),TPS Levert,Granada,3 mil € - 4 mil € (Proporcionado por la empresa),26 días,"4,0","Truck Mechanic

Location: Southern Netherlands
Relocation required – full support provided
Language: Conversational & technical English

About the Job

As a Truck Mechanic, you will work in modern, clean, and well-equipped workshops at leading transport and automotive companies in the Netherlands. You’ll be maintaining and repairing modern diesel and electric trucks from well-known brands such as Scania, DAF, Volvo, and MAN.

You won’t be just a number: personal contact, clear planning, and good working conditions are key. TPS takes care of housing, transport, tools, and insurance — so you can focus on doing what you do best.

What TPS Offers You

Weekly net salary: €665 – €800 (depending on overtime)
Working hours: 40–55 hours per week
Rotational system: 10 weeks working in the Netherlands / 1–2 weeks at home
Fully equipped housing with a private bedroom
Company vehicle + fuel included
Modern tools & PPE provided
100% covered private health insurance
Annual budget for technical training & certifications
Short- and long-term projects available
Language courses (English / Dutch)
Up to €210 extra per quarter (conditions apply)
Personal guidance before and during your assignment

Your Responsibilities

You will be responsible for maintaining and repairing trucks and commercial vehicles, including:

Maintenance and repair of diesel engines (Scania, DAF, Volvo, MAN, etc.)
Replacing brakes, filters, bearings, windshield wipers
Checking and refilling oil, coolant, and brake fluids
Diagnosing and repairing electrical and mechanical systems
Inspecting tires, batteries, lighting, and steering systems
Using diagnostic equipment and completing technical reports

Your Profile

Minimum 3 years of experience as a truck or commercial vehicle mechanic
Technical education in automotive or mechanical engineering
Able to read and understand technical drawings and schematics
Intermediate English (spoken)
EU passport required (work permits not accepted)
Category B driving license
Willing to relocate to the Netherlands
Available for rotational work (10 weeks NL / 1–2 weeks home)

About TPS

TPS is a technical recruitment agency based in Breda, the Netherlands. We specialize in placing experienced mechanics and technicians at top companies in the automotive, industrial, and logistics sectors.
Today, 160+ professionals work with TPS across 25+ locations all over the Netherlands, supported by a team that values personal contact, reliability, and quality workplaces.

Job Types: Full-time, Part-time, Temporary, Permanent
Contract length: 12 months

Pay: 2,800.00€ - 3,650.00€ per month

Experience:

Truck mechanic: 3 years (Required)

Language:

English? (Required)

License/Certification:

Driving license B (Required)
EU Passport (Required)

Work Location: In person",Granada,Todos
Comercial Técnico de Maquinaria Industrial - Granada,Grupo Nortempo,Granada,30 mil € - 36 mil € (Proporcionado por la empresa),3 días,"4,0","Desde la división de Sales & Marketing de Grupo Nortempo buscamos incorporar un/a Comercial Técnico de Maquinaria Industrial para una empresa consolidada y en expansión dentro del sector, ubicada en Granada.

Estamos en búsqueda de un perfil dinámico y proactivo para unirse al equipo de ventas. El/la candidato/a ideal deberá contar con experiencia previa como comercial de campo en el sector agrícola, construcción y/o industrial, destacando por sus habilidades de comunicación y su capacidad para trabajar de forma autónoma.


¿CUÁLES SERÁN TUS FUNCIONES?
Prospección y captación de nuevos clientes (sector industrial, logístico, construcción, etc.).
Gestión y fidelización de cartera existente.
Asesoramiento técnico-comercial sobre maquinaria y soluciones adaptadas a cada cliente.
Venta cruzada de las diferentes líneas de negocio de la empresa.
Elaboración y seguimiento de ofertas.
Negociación y cierre de operaciones.
Coordinación con el área técnica y postventa.
Reporte de actividad comercial y seguimiento de objetivos.

Requisitos


Experiencia previa en venta de maquinaria industrial, vehículos industriales o producto técnico. Perfil claramente orientado a resultados y captación. Persona dinámica, proactiva y con excelentes habilidades comunicativas. Valorable conocimiento del sector industrial/logístico. Capacidad de negociación y visión estratégica del negocio. Carnet de conducir y disponibilidad para realizar visitas comerciales en la provincia de Granada y alrededores.


Se ofrece


Incorporación a empresa en expansión. Proyecto estable con desarrollo profesional. Salario fijo + variable por objetivos. Herramientas de trabajo (vehículo, móvil, etc.). Dietas. Contrato indefinido. Buen ambiente de trabajo. Horario: 08:00 a 14:00 y de 16:00 a 18:00. Ubicación: Granada.

Requisitos

Experiencia previa en venta de maquinaria industrial, vehículos industriales o producto técnico. Perfil claramente orientado a resultados y captación. Persona dinámica, proactiva y con excelentes habilidades comunicativas. Valorable conocimiento del sector industrial/logístico. Capacidad de negociación y visión estratégica del negocio. Carnet de conducir y disponibilidad para realizar visitas comerciales en la provincia de Granada y alrededores.

Estudios mínimos Licenciatura
Experiencia mínima Al menos 2 años
Se Ofrece

Incorporación a empresa en expansión. Proyecto estable con desarrollo profesional. Salario fijo + variable por objetivos. Herramientas de trabajo (vehículo, móvil, etc.). Dietas. Contrato indefinido. Buen ambiente de trabajo. Horario: 08:00 a 14:00 y de 16:00 a 18:00. Ubicación: Granada.",Granada,Todos
Asesor/a Contable,Kolibri Consulting,Granada,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"4,0","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Granada, Granada provincia (Granada)",Granada,Todos
Comercial de Exportación – Responsable de área comercial internacional,Claire Joster,Granada,No especificado,15 días,"4,0","Presentación

Somos la firma global de talento: Selección, headhunting, formación y consultoría de Eurofirms Group.

En Claire Joster creemos en el talento único de cada persona y sabemos que la diversidad aporta valora a los equipos, impulsando organizaciones más innovadoras, creativas y eficientes. Por eso, como parte de Eurofirms Group, y de acuerdo con la cultura de nuestra empresa People First, trabajamos para generar entornos laborales inclusivos en los que cada individuo pueda crecer y desarrollar su mejor versión. Asimismo, buscamos actuar como agentes de cambio para promover la igualdad de oportunidades en nuestro entorno, fomentando el respeto y apostando por la diversidad en todas sus formas.

Seas como seas y sientas como sientas, en Claire Joster tendrás un sitio para brillar.

Organización

Nuestro cliente es un importante grupo industrial dedicado principalmente al diseño, fabricación y distribución de productos y sistemas basados en materiales plásticos (orientado al sector construcción), siendo uno de los líderes en su sector. Como Responsable de Área Comercial Internacional, la persona seleccionada dependerá de Dirección General y será responsable de la estrategia comercial y del desarrollo del negocio en los países asignados, priorizando África francófona y Latinoamérica.

Función
Desarrollo y gestión de la red comercial internacional, incluyendo la creación y coordinación de agentes en cada país.
Análisis de mercados internacionales y propuesta de estrategias de implantación, en colaboración con Dirección General.
Apoyo técnico y comercial a los agentes y clientes, resolviendo consultas y reclamaciones.
Ejecución de estrategias comerciales aprobadas por la Dirección General.
Visitas periódicas a clientes y agentes para fortalecer relaciones y detectar nuevas oportunidades.
Colaboración con los departamentos comercial y marketing para identificar necesidades específicas del cliente.
Propuesta de mejoras a logística, calidad y producto, con el objetivo de optimizar el servicio y la satisfacción del cliente.
Apoyo al área de calidad en la aplicación de procedimientos y en la obtención de certificaciones (AENOR, LNEC, etc.).
Seguimiento continuo de la competencia y del mercado, incluyendo comparativas de precios, promociones y tendencias.
Análisis técnico-comercial de productos de la competencia y elaboración de informes para Dirección General y Marketing Corporativo.
Desarrollo y propuesta de nuevos productos, así como búsqueda de proveedores alternativos.
Planificación y ejecución del plan mensual de visitas comerciales.
Asesoramiento técnico a clientes, dando soporte ante incidencias o dudas sobre el producto.
Participación en ferias del sector y eventos internacionales.
Colaboración con Marketing Corporativo en la elaboración y adaptación de contenidos técnicos, supervisión de imagen corporativa, presentaciones y ferias.
Requisitos

Imprescindible, nivel avanzado/profesional de Francés. Muy valorable también Inglés.

Disponibilidad para viajar a nivel internacional. (aprox. 1 o 2 semanas al mes fuera).

Oferta

Proyecto estable. Contrato indefinido a jornada completa.

Con base en Andalucía, preferiblemente en Granada y con posibilidad de modelo híbrido.

El salario se definirá en función del perfil del candidato/a, competitivo en base a la experiencia del mismo.

Se ofrece salario fijo + bonus.

Postulación

Si estás interesado/a y tienes ganas de formar parte de un importante proyecto como éste ¡ésta es tu oportunidad!

10/2/2026",Granada,Todos
Social Care Worker (Relocation to Ireland),CPL Healthcare,España,37 mil € - 47 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Make the Move to Ireland – Join Us as a Social Care Worker!

Are you a qualified Social Care Worker in Spain looking for an exciting opportunity to advance your career?

Cpl Healthcare is seeking compassionate and motivated Social Care Workers to join reputable services across Ireland. This is your chance to live and work in Ireland while making a real difference in people’s lives!

The Role

Join a dedicated team providing high-quality, person-centred care in two key areas:

Supporting young people in a residential setting.
Supporting individuals with disabilities in a residential setting.

As a Social Care Worker, you’ll play a vital role in the day-to-day running of the service, promoting independence, supporting daily activities, and ensuring the well-being of service users. You’ll help create an emotionally and psychologically safe environment for those in your care.

Key Responsibilities

Collaborate as part of a team and take initiative when needed.
Build and maintain professional, supportive relationships with service users and stakeholders.
Attend team meetings to ensure effective communication and planning.
Provide keyworking support, advocating for the individuals in your care.
Assist in the smooth daily operations of the service.
Adhere to HIQA standards and regulations for residential services.
Conduct risk assessments and support safeguarding measures for vulnerable individuals.

Essential Qualifications & Requirements

Minimum Level 7 qualification in Social Care, Social Education, or Psychology.
Strong understanding of person-centred care, keyworking, and safeguarding practices.
Experience and knowledge of risk assessments and safeguarding vulnerable adults.
Familiarity with HIQA policies, procedures, and Children’s First guidelines.
Full, clean manual driving licence.

Benefits & Relocation Package

Permanent, full-time contract
Competitive Salary: €37,000 - €47,000
Relocation Support: €1,200 reimbursement for initial accommodation costs and €100 reimbursement for flight tickets
Employee assistance program
Bike-to-work scheme
On-site parking

Available Locations Across Ireland:

Sligo
Cavan
Mayo
Roscommon
Longford

Why Join Us?

This is an excellent opportunity to grow professionally and be part of a dynamic, hardworking team. You’ll play a pivotal role in creating a safe, supportive space for service users, ensuring their quality of life is maximised. The role offers the chance to work with a diverse group of individuals, providing care and support to both young people and adults with disabilities.

Take the Leap Today!
If you’re ready to take the next step in your career and experience life in Ireland, we want to hear from you!

Job Types: Full-time, Permanent

Pay: 37,000.00€ - 47,000.00€ per year

Application Question(s):

Will you be able to relocate to Ireland for this job?

Experience:

social care: 1 year (Preferred)

License/Certification:

Level 7 in Social Care, Social Education or Psychology (Preferred)
full clean manual driving licence (Preferred)

Work Location: In person",Granada,Todos
Maestro as de educacion infantil in Irlanda,Giraffe Childcare,Granada,33 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Role Overview:
¿Es usted un profesor de primaria o de primera infancia cualificado que busca mudarse a Irlanda?
¿Está buscando una experiencia de enseñanza internacional? ¡A Giraffe Childcare le encantaría reunirse con usted!
Queremos ayudarlo a dar el siguiente paso en su carrera docente, donde obtendrá una gran experiencia y conocimiento para ampliar sus habilidades docentes mientras vive en Irlanda y perfecciona su inglés.
¡Tenemos varios puestos disponibles a partir de mayo de 2026!
Te estamos ofreciendo:
Un salario muy competitivo: desde €33280 al año
Alojamiento ofrecido; los terminos y Condiciones aplican
Accede a nuestra academia de formación con formación y seminarios en línea y presenciales que conducen a habilidades docentes para toda la vida.
Capacitación pagada en primeros auxilios y manejo manual como estándar
Hasta 34 días de vacaciones anuales incluidos festivos
Cerrado por periodo navideño
Acceso a WellBee: nuestro programa de bienestar del personal
Acceso a Wellhub: una plataforma de bienestar digital que respalda el bienestar de nuestros equipos
Acceso a un programa confidencial de asistencia al empleado
Salidas nocturnas del personal, obsequios y golosinas
Programa de intercambio de talentos - experiencia docente en otro país
Oportunidades de carrera como programa de gestión de aprendices, roles de supervisión
Aproximación proactiva a nuevos métodos y herramientas de enseñanza
Oportunidades para realizar tus propias actividades dentro del Currículo de Aistear y Siolta
Descuentos para el personal, incluidos teléfonos móviles, bicicleta para ir al trabajo, tarjeta de viaje
Oportunidades de tutoría
Esquemas de bonificación para el personal, como recomendar a un amigo: gane hasta 500 € por recomendación (se aplican términos y condiciones)
Oportunidad de dirigir tu propia clase y actividades
Únete a nuestra comunidad española hoy


Required Qualifications:
Los candidatos deben tener elegibilidad para trabajar en la UE y tener una calificación en cuidado infantil / educación infantil, como:

Grado en Educación Primaria
Grado en Educación Infantil
Técnica Superior en Educación Infantil

Beneficios:

Apoyo para el cuidado de niños
Ayuda al desarrollo profesional
Eventos de la empresa
Guardería
Opción a contrato indefinido
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Granada,Todos
Mantenimiento de instalaciones de climatizacion calefaccion o electricidad,OFICINA DE INGENIERIA Y TECNICA APLICADA SL,Granada,2 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Se necesita personal para mantenimiento de instalaciones de climatizacion y electricidad.

Bajo la supervision del jefe de zona atendera las tareas dispuesta en la jornada, cubriendo la zona de Andalucia occidental

Tipo de puesto: Jornada completa

Sueldo: 1.700,00€-1.900,00€ al mes

Beneficios:

Ayuda al desarrollo profesional
Formación en certificaciones profesionales

Educación:

FP Grado Medio (Deseable)

Experiencia:

Tecnico especialisa climatizacion: 2 años (Deseable)

Licencia/Certificación:

RITE (Deseable)

Ubicación del trabajo: Empleo presencial",Granada,Todos
Técnico Delineante Telecomunicaciones,Connect44,Granada,No especificado,+ 30 d,"4,0","En Connect44 estamos buscando ampliar nuestro equipo técnico.

Buscamos un/a Delineante para la realización de proyectos, planos y diseños relacionados con la instalación de equipos de telecomunicaciones en estaciones base de telefonía móvil.

Requisitos:

Experiencia en delineación de planos.
Manejo avanzado de AutoCAD.
Capacidad para interpretar y desarrollar documentación técnica.
Habilidad para trabajar en equipo y cumplir con plazos establecidos.
Organización, atención al detalle y responsabilidad en la ejecución de tareas.

Se valorará:

Experiencia previa en el sector de telecomunicaciones.
Conocimientos en normativas aplicables a la instalación de equipos.
Manejo de otras herramientas de diseño (Revit, MicroStation u otras).
Capacidad para trabajar en entornos multidisciplinares.

Ofrecemos:

Incorporación a una empresa en crecimiento dentro del sector telecomunicaciones.
Estabilidad laboral y desarrollo profesional.
Buen ambiente de trabajo.
Condiciones económicas acordes a la experiencia y valía del candidato.

Si cumples con el perfil y quieres formar parte de nuestro equipo, envíanos tu CV.

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Formación en certificaciones profesionales

Ubicación del trabajo: Empleo presencial",Granada,Todos
Asesor Inmobiliario,Tecnocasa Albolote ( Estudio Abadia SL),Albolote,1 mil € - 5 mil € (Proporcionado por la empresa),+ 30 d,"4,0","En TECNOCASA, grupo líder en el sector inmobiliario, buscamos personal para incorporar a nuestro equipo de varias de nuestras oficinas de los pueblos de Granada Norte: Tecnocasa ALBOLOTE ¿Te gustaría formar parte?

Aprenderás una profesión de principio a fin: desde la captación de inmuebles hasta la finalización de la compraventa, pasando por todos los procesos necesarios.

Para desempeñar este puesto, NO ES NECESARIO TENER EXPERIENCIA EN EL SECTOR, buscamos a una persona con:

Ganas de trabajar

Ambición, metas y objetivos

Perspectiva de crecimiento y superación personal

Positividad

Tecnocasa te ofrece la oportunidad de desarrollar tu carrera profesional en un entorno dinámico y en constante crecimiento, con posibilidades de formación, desarrollo y promoción interna. Además, contarás con un plan de retribución competitivo y un ambiente de trabajo colaborativo y motivador.

OFRECEMOS:

- Contrato Indefinido

- Jornada COMPLETA (turno partido de mañana y tarde) sábados rotativos solo de mañana.

- Salario fijo + variable

- Formación continua y completa a cargo de la empresa

- Oportunidad de viaje

- Objetivos alcanzables y motivadores

Si quieres apostar por los líderes... ¡No dudes en inscribirte!

Requisitos mínimos:

- Buena presencia

- Carnet de conducir (coche o moto)

- Vehículo propio

Categoría

Comercial y ventas - Agente comercial

Nivel

Empleado/a

Vacantes

4

Salario

15.000€ - 25.000€ Bruto/año

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.200,00€-5.000,00€ al mes

Beneficios:

Ayuda al desarrollo profesional
Cesta de navidad
Comidas en la empresa
Eventos de la empresa
Formación en certificaciones profesionales
Opción a contrato indefinido
Ordenador de empresa
Programa de formación
Teléfono de empresa

Ubicación del trabajo: Empleo presencial",Granada,Todos
Area Manager Gestor/a de equipos,Joyerías Sánchez,Granada,2 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Descripción de la empresa Indica aquí los detalles.

Descripción del puesto Como Area Manager en Joyerías Sánchez, serás responsable de supervisar y coordinar las actividades de las tiendas. Gestionarás el equipo de ventas, implementarás estrategias para alcanzar los objetivos de negocio y su crecimiento en ventas, y garantizarás una experiencia excepcional para los clientes. Además, te encargarás de analizar indicadores de rendimiento y buscar oportunidades de mejora continua. Este es un puesto de jornada continua y se llevará a cabo de forma presencial en nuestra ubicación de Granada, si bien es necesario desplazarse entre las provincias de Granada, Málaga y Jaén.

Requisitos

Experiencia en gestión de equipos y habilidades para liderar, motivar y desarrollar al personal.
Conocimiento en estrategias de ventas, análisis de métricas de rendimiento, y establecimiento de objetivos comerciales.
Habilidades organizativas, de resolución de problemas y capacidad de tomar decisiones efectivas.
Aptitudes interpersonales destacadas, como la comunicación asertiva y una mentalidad orientada al cliente.
Conocimientos y manejo básico de herramientas tecnológicas relacionadas con la planificación y gestión de ventas.
Vehículo de empresa. Imprescindible carnet de conducir tipo B

Tipo de puesto: Jornada completa

Sueldo: A partir de 2.000,00€ al mes

Experiencia:

Area Manager: 2 años (Deseable)

Ubicación del trabajo: Empleo presencial",Granada,Todos
