Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Expendedor de gasolinera,Districom Agro-Gutierrez S.L,España,No especificado,24 horas,"3,9","Busco expendedores para gasolinera ubicada en Yunquera de henares con ganas de trabajar y constancia. Los horarios son distintos, cambian cada semana, unas semanas toca de mañana y otras de tarde. Si tiene experiencia mejor, sino se le enseña. Busco más de una persona para trabajar. Pasar el currículum al 663904608. Al correo alvarogutiérrezbriones@gmail.com

Tipo de puesto: Jornada completa

Beneficios:

Seguro médico privado

Ubicación del trabajo: Empleo presencial",Guadalajara,Todos
Asesor/a Contable,Kolibri Consulting,Guadalajara,22 mil € - 28 mil € (Proporcionado por la empresa),24 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Guadalajara, Guadalajara provincia (Guadalajara)",Guadalajara,Todos
Estudio Marchamalo Fontanar SL,Estudio Marchamalo Fontanar SL,Marchamalo,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Ofrecemos puesto de trabajo de asesor inmobiliario en la oficina de TECNOCASA MARCHAMALO

Condiciones del puesto:

Contrato indefinido

Sueldo fijo más comisiones

Jornada completa

Posibilidad de crecimiento dentro de la empresa

Formación continua.

No se requiere experiencia.

Se necesita carnet de conducir y vehículo.

Tipo de puesto: Jornada completa

Sueldo: 1.200,00€-1.800,00€ al mes

Beneficios:

Ordenador de empresa
Programa de formación
Teléfono de empresa

Ubicación del trabajo: Empleo presencial",Guadalajara,Todos
Agente inmobiliario,ESTUDIO INMOBILIARIO POZO DE GUADALAJARA SL,España,1 mil € - 3 mil € (Proporcionado por la empresa),+ 30 d,"3,9","El Grupo Tecnocasa, 1ª Red en franquicia inmobiliaria líder de Europa y de España con más de 3.500 oficinas, siendo a su vez la mayor red inmobiliaria en el Corredor del Henares, selecciona personal para plazas vacantes de agente inmobiliario de ventas de inmuebles en la zona de Pozo de Guadalajara, Pioz y Los Santos de la Humosa.

Buscamos gente comprometida e interesada para trabajar en un entorno laboral joven y dinámico, con una gran posibilidad de crecimiento futuro y ascenso en función a resultados.

SE OFRECE:
- Formación remunerada a cargo de la empresa.
- Contrato indefinido.
- Salario fijo + comisiones e incentivos.
- Posibilidad de crecimiento profesional y ascenso dentro de la empresa.

REQUISITOS:
- No es necesaria experiencia profesional.
- Carnet de conducir y vehículo propio.
- Buena presencia, don de gentes, afán de superación, aptitudes para el trabajo en equipo, entusiasmo, compromiso y motivación.

FUNCIONES:
- Asesoramiento sobre inmuebles a potenciales clientes.
- Gestión de los inmuebles en las zonas asignadas.
- Captación y venta de propiedades.
- Seguimiento de clientes, asesoramiento y atención a los mismos.

Si eres una persona joven, con ganas de desarrollarte profesionalmente en el sector inmobiliario, tienes ambición por tener un futuro mejor y buscas una estabilidad y visión de futuro, esta puede ser tu oportunidad.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.200,00€-3.000,00€ al mes

Beneficios:

Cesta de navidad
Formación en certificaciones profesionales
Ordenador de empresa
Programa de formación
Teléfono de empresa

Horario:

Jornada partida

Retribución complementaria:

Bonus anual
Bonus mensual
Bonus por objetivos
Bonus trimestral
Plan de comisiones

Ubicación del trabajo: Empleo presencial",Guadalajara,Todos
Conductor/a E+D+CAP. GUADALAJARA,Adecco,Guadalajara,No especificado,22 días,"3,9","¿Te apasiona la conducción y buscas una oportunidad para formar parte de un equipo dinámico en el sector del vidrio?

¡Esta es tu oportunidad! Una reconocida empresa en Guadalajara está buscando un/a conductor/a profesional con permiso D+E+CAP para unirse a su equipo y contribuir al sector del reciclaje.

El puesto se desarrollará de manera presencial y te permitirá recorrer rutas planificadas en Madrid, Extremadura, Andalucía y alrededores. Tu labor será clave para garantizar la recogida y traslado de vidrio, aportando valor al proceso logístico de la compañía. Este empleo requiere flexibilidad horaria de lunes a viernes y disponibilidad para viajar, ya que las rutas y horarios pueden variar según las necesidades de la planificación.

Si tienes experiencia en la conducción de vehículos con remolque, disfrutas de trabajar en la carretera y estás listo/a para asumir nuevos retos, ¡te queremos conocer!

Funciones:

Entre las funciones que desempeñarás, se incluyen:

Recoger y transportar vidrio de manera segura y eficiente siguiendo las rutas establecidas.
Gestionar rutas planificadas en Madrid, Extremadura, Andalucía y alrededores, asegurándote de cumplir con los tiempos y prioridades de entrega.
Supervisar la carga y descarga del material para garantizar que se realice correctamente y sin daños.
Realizar inspecciones rutinarias del vehículo para asegurar que esté en óptimas condiciones antes, durante y después de cada trayecto.
Cumplir con las normativas de tráfico y seguridad vial en todo momento.
Mantener una comunicación constante con el equipo de planificación para informar sobre el progreso de las rutas o cualquier incidencia.
Adaptarte a cambios en los itinerarios o solicitudes adicionales según las necesidades del equipo.
Asegurar el correcto mantenimiento del vehículo, reportando cualquier avería o necesidad de reparación.
Requisitos:

Contar con el permiso de conducción D+E+CAP en vigor.
Tener flexibilidad horaria de lunes a viernes y disponibilidad para viajar según las necesidades de las rutas.
Experiencia previa en la conducción de vehículos con remolque o de gran tonelaje.
Habilidad para gestionar rutas largas y adaptarte a cambios en los itinerarios.
Compromiso con la seguridad vial y el cuidado del vehículo asignado.
Capacidad para trabajar de manera autónoma y organizada, con un enfoque en la eficiencia y la responsabilidad.
Residencia en Guadalajara o alrededores, para facilitar el acceso al centro de operaciones.

Beneficios del puesto:

(Se ofrece)Cobertura de gastos adicionales relacionados con el desempeño de tus funciones, asegurando que no tengas que asumir ningún coste extra.
Incorporación inmediata, para que puedas comenzar a trabajar en cuanto estés listo/a y formar parte del equipo sin demoras.

Salario en función de experiencia y valía, dinos cual es tu banda salarial y valoraremos!
Posibilidad de continuidad y/o pasar a plantilla, brindándote estabilidad laboral y la oportunidad de crecer dentro de la empresa.

Tipo de puesto: Jornada completa

Beneficios:

Opción a contrato indefinido

Ubicación del trabajo: Empleo presencial",Guadalajara,Todos
"Fisioterapeuta (H/M/D) Con/Sin Discapacidad, CD Las Acacias (Guadalajara)",Ilunion VidaSénior,Azuqueca de Henares,20 mil € - 22 mil € (Proporcionado por la empresa),17 días,"3,9","Somos ILUNION VidaSénior, la empresa del grupo ILUNION que atiende a las personas mayores y dependientes. 

Llevamos más de 30 años dedicados al sector sociosanitario a través de diferentes servicios: Centros de Día, Ayuda a Domicilio, Teleasistencia y Residencias de Personas Mayores. También apostamos por nuevos servicios, como el senior living. 

Estamos en un momento de crecimiento, y necesitamos incorporar a nuestros equipos personas que quieran contribuir a nuestro propósito, cuidando y atendiendo a personas mayores. 

En Ilunion Vida Sénior buscamos incorporar fisioterapeutas a jornada completa en horario de 9:00 a 17:00 al equipo de nuestros Centros Las Acacias y Manolito Taberné, en Guadalajara.

Tus funciones serán:
- Valorar al ingreso y realizar seguimiento de usuarios.
- Atender a personas usuarias y familiares.
- Participar en las reuniones interdisciplinares del centro.
- Realizar actividades técnicas propias de su categoría.
- Realizar los tratamientos y técnicas rehabilitadoras que se prescriban,
- Conocer y mantener el material y equipamiento del departamento.
- Colaborar en actividades organizadas por el centro.
- Realizar pedidos, controlar y almacenar el control de stock de material de fisioterapia de uso diario.
- Desarrollar programas específicos de su departamento.

TE OFRECEMOS
- Jornada completa de lunes a viernes con un contrato de 12 meses.

REQUISITOS
- Titulación universitaria en Fisioterapia finalizada en España u homologada para el territorio español.

TAMBIÉN VALORAREMOS
- Experiencia en puestos similares
- Certificado de discapacidad igual o superior al 33%
- Incapacidad reconocida
- Documento acreditativo de pertenencia a un colectivo vulnerable

La mejor forma de predecir el futuro es creándolo juntos.

Tipo de puesto: Jornada completa

Sueldo: 20.000,00€-22.000,00€ al año

Preguntas para la solicitud:

¿Tienes un certificado de discapacidad en vigor igual o superior al 33%?
¿Perteneces a algún colectivo vulnerable y dispones de un certificado que lo acredite?
¿Tienes una titulación universitaria en Fisioterapia?
¿Vives en Guadalajara?

Educación:

Licenciatura/Grado (Obligatorio)

Ubicación del trabajo: Empleo presencial",Guadalajara,Todos
"Auxiliar de enfermería con/sin discapacidad (Maranchón, Guadalajara)",ILUNION VidaSénior,España,No especificado,+ 30 d,"3,9","En ILUNION VidaSénior buscamos incorporar compañeros/as auxiliares de enfermería al equipo de nuestra Residencia de Mayores de Maranchón (Guadalajara)

Trabajarás de lunes a domingo (descansando según cuadrante) en un puesto estable, en turnos rotativos de mañana, tarde y noche.

Valoraremos positivamente que tengas un certificado de discapacidad en vigor igual o superior al 33%, una incapacidad reconocida para otra profesión o un documento acreditativo de pertenencia a un colectivo vulnerable..

Necesitarás tener un título FP de grado medio de Técnico en Cuidados Auxiliares de Enfermería, FP de grado medio de Técnico en Auxiliar de clínica, FP de grado medio de Técnico en Atención a Personas en Situación de Dependencia, Técnico Atención Socio-Sanitario o Certificado de profesionalidad.

Valoraremos positivamente que tengas experiencia previa en puestos similares.

Como auxiliar de enfermería, serás responsable de velar por la seguridad y el bienestar de nuestros/as usuarios/as, cuidando de aspectos esenciales de su día a día en el centro.

La mejor forma de predecir el futuro es creándolo juntos.

Tipo de puesto: Contrato indefinido

Preguntas para la solicitud:

¿Vives cerca de Maranchón?
¿Tienes alguna de las siguientes titulaciones? FP de Técnico en Auxiliar de Enfermería, FP de Técnico en Auxiliar de clínica o Técnico Socio-sanitario.
¿Tienes certificado de discapacidad en vigor superior el 33% o una incapacidad reconocida para otro puesto de trabajo?
¿Tienes vehículo propio?

Ubicación del trabajo: Empleo presencial",Guadalajara,Todos
Terapeuta Ocupacional (H/M/D) con/sin discapacidad - Centro de Día (Azuqueca de Henares-Guadalajara),ILUNION VidaSénior,Azuqueca de Henares,No especificado,29 días,"3,9","Somos ILUNION VidaSénior, la empresa del grupo ILUNION que atiende a las personas mayores y dependientes. 

Llevamos más de 30 años dedicados al sector sociosanitario a través de diferentes servicios: Centros de Día, Ayuda a Domicilio, Teleasistencia y Residencias de Personas Mayores. También apostamos por nuevos servicios, como el senior living. 

Estamos en un momento de crecimiento, y necesitamos incorporar a nuestros equipos personas que quieran contribuir a nuestro propósito, cuidando y atendiendo a personas mayores. 

En Ilunion VidaSénior buscamos incorporar un/a terapeuta ocupacional a nuestros equipos de CD Las Acacias .

Como nuestro/a terapeuta ocupacional trabajarás de lunes a viernes, con una jornada parcial para cubrir reducción de jornada por cuidado de un menor, con posibilidades reales de ampliar a jornada completa de manera indefinida en el mes de Julio.

La persona seleccionada deberá tener una titulación universitaria en Terapia ocupacional.

Se valorará positivamente tener un certificado de discapacidad en vigor (igual o mayor del 33%), tener una incapacidad compatible con el puesto o pertenecer a un colectivo vulnerable y tener experiencia previa en puestos similares.

Tus funciones serán:
- Valorar al ingreso y realizar seguimiento de usuarios.
- Atender a personas usuarias y familiares.
- Realizar actividades auxiliares de psicomotricidad, lenguaje, dinámicas y rehabilitación personal y social a las personas usuarias.
- Colaborar en el seguimiento o la evaluación del proceso recuperador o asistencial de las personas usuarias del centro.
- Participar en las reuniones interdisciplinares del centro.
- Controlar y mantener el material propio del departamento.
- Colaborar en actividades organizadas por el centro.
- Participar en la planificación y desarrollo de la animación del centro.
- Realizar pedidos, controlar y almacenar el material de terapia de uso diario.
- Desarrollar los programas específicos de su departamento.

Tipo de puesto: Jornada completa, Media jornada

Sueldo: 7.000,00€-8.000,00€ al año

Beneficios:

Opción a contrato indefinido

Licencia/Certificación:

Terapeuta Ocupacional (Obligatorio)

Ubicación del trabajo: Empleo presencial",Guadalajara,Todos
Técnico de Puesta en Marcha y Servicio,TOSA SPA,Guadalajara,No especificado,+ 30 d,"3,9","Tosa Group, líder global en soluciones de final de línea con sus marcas TOSA, MIMI y CMR, busca incorporar un Técnico de Puesta en Marcha y Servicio para reforzar su equipo técnico internacional.

La persona seleccionada será el referente para la instalación, puesta en marcha y mantenimiento de nuestras máquinas en clientes de todo el mundo.

Buscamos un profesional técnico, dinámico y orientado al cliente, con ganas de desarrollarse en un entorno internacional.

Requisitos

Experiencia mínima de 5 años como técnico mecatrónico o en puestos similares
Conocimientos sólidos en Electricidad y electrónica, Mecánica básica Y programación PLC
Capacidad para leer e interpretar esquemas eléctricos y planos técnicos
Espanol fluido y Inglès intermedio (Italiano y/o Francés serán valorados positivamente)
Buenas habilidades de comunicación y trabajo en equipo
Capacidad de análisis y resolución de problemas
Flexibilidad, autonomía, precisión y profesionalidad

Funciones principales

Viajar con frecuencia por España y Portugal para realizar pruebas y puestas en marcha de máquinas en casa del cliente
Ejecutar mantenimiento preventivo y correctivo
Formar a los clientes en el uso correcto y seguro de los equipos
Diagnosticar y resolver incidencias técnicas de forma eficaz

¿Qué ofrecemos?

Incorporación a una empresa sólida y en crecimiento internacional
Proyecto estable y dinámico
Formación continua en tecnologías propias
Entorno técnico de alto nivel y contacto directo con clientes internacionales

Tipo de puesto: Jornada completa, Contrato indefinido

Ubicación del trabajo: Teletrabajo híbrido en 19002 Guadalajara, Guadalajara provincia",Guadalajara,Todos
conductor de trailer,MIAL SERVEIS,España,3 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Empresa de transporte busca conductor/a de trailer con experiencia y carnet al día para realizar rutas internacionales. Ofrecemos estabilidad laboral y la oportunidad de unirse a un equipo profesional con vehículos modernos y excelentes condiciones.

Funciones principales:

Realizar transporte de mercancías por territorio nacional o internacional (depende de la ruta que quiera realizar)
Garantizar la correcta carga y descarga de la mercancía
Cumplir con los plazos de entrega establecidos
Realizar el mantenimiento básico del vehículo
Respetar la normativa de transporte y seguridad vial

Requisitos imprescindibles:

Carnet de conducir C+E en vigor
Certificado de Capacitación Profesional (CAP) actualizado
Experiencia mínima de 1 años como conductor de trailer
Disponibilidad para viajes nacionales o internacionales
Conducta responsable y compromiso con la seguridad

Se valorará:

Experiencia en transporte de mercancías peligrosas (ADR)
Flexibilidad geográfica

Ofrecemos:

Contrato indefinido desde el primer día
Incorporación inmediata
Salario competitivo según convenio + pluses
Planificación de rutas eficientes
Ambiente de trabajo estable y profesional

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 3.300,00€ al mes

Ubicación del trabajo: Empleo presencial",Guadalajara,Todos
