Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Administrativo/a,Domestiko,España,No especificado,21 días,"3,7","Se busca una persona para un puesto de carácter administrativo en una empresa de mensajería ubicada en Huesca.

Se requiere un manejo fluido de herramientas informáticas básicas, aunque la empresa proporcionará formación específica sobre su programa de gestión interna. Se valorará positivamente la experiencia previa en funciones administrativas y haber cursado estudios relacionados con la administración y gestión. Las tareas principales incluirán la gestión y organización de rutas, la preparación de pedidos, la resolución de incidencias y la atención al público.

El puesto ofrece un contrato indefinido a jornada parcial, con horario de lunes a viernes de 07:30 a 11:30, y existe la posibilidad de ampliar las horas de trabajo en el futuro. La remuneración se ajustará al Convenio Colectivo, con potencial de mejora en función del desempeño.",Huesca,Todos
Personal administrativo,Domestiko,España,No especificado,29 días,"3,7","Se requiere un profesional administrativo para un departamento especializado en control de plagas, situado en Huesca.

Los requisitos indispensables incluyen una formación mínima de Bachiller, Grado Medio o Superior en un área administrativa, o un Grado universitario en la misma rama. Es necesario contar con al menos 12 meses de experiencia previa y un manejo avanzado de herramientas informáticas para operar los programas internos.

Las responsabilidades abarcan la gestión de contratos con clientes, la elaboración de partes de trabajo, el control de costes y presupuestos, la tramitación de pedidos a proveedores, la supervisión de albaranes y el apoyo al departamento de Recursos Humanos. También se encargará del control de inventarios y artículos utilizando hojas de cálculo. Se ofrece un contrato indefinido a jornada completa, con un horario de 07:30 a 15:30, de lunes a viernes. El salario inicial seguirá lo establecido en el convenio durante el periodo de formación, con posibilidad de ajuste posterior. La incorporación es inmediata.",Huesca,Todos
Personal de equipo para restaurante de comida rápida,Domestiko,España,No especificado,30 días,"3,7","Se buscan ayudantes de cocina y personal de equipo para un restaurante de comida rápida en Huesca.

Las tareas principales incluyen la preparación y montaje de los diferentes productos del menú, la elaboración de alimentos en la cocina, y el mantenimiento del orden y la limpieza tanto de utensilios como del local. Además, se requerirá la atención al cliente en la zona de caja y en el salón.

Se ofrece un contrato indefinido para una jornada parcial de 20 horas semanales. Los turnos disponibles son de mañana o tarde, y la incorporación es inmediata. Las condiciones salariales se ajustarán a lo establecido en el convenio.",Huesca,Todos
Técnicos en organización de ferias y eventos,Domestiko,España,No especificado,+ 30 d,"3,7","Profesionales con experiencia en la organización integral de ferias y eventos son buscados para unirse a nuestro equipo en Sardas. La gestión abarcará desde bodas, bautizos y comuniones hasta eventos de diversa índole. Se dará preferencia a aquellos candidatos que posean experiencia previa en el sector de hostelería, particularmente en el área de sala, así como a quienes cuenten con formación o experiencia como wedding planner.

Es fundamental que los aspirantes dominen el manejo de redes sociales y software de gestión de reservas. También se requiere habilidad en el diseño de material publicitario, incluyendo el uso de Canva, y un buen manejo de herramientas de ofimática como Office. Se considerarán positivamente los conocimientos en idiomas.

Buscamos una persona con excelentes habilidades interpersonales, capaz de ofrecer una atención al cliente cercana y personalizada. Es importante la flexibilidad horaria y la disponibilidad para desplazarse según las necesidades de los eventos. La remuneración se ajustará al convenio de hostelería, complementada con incentivos, y se ofrecerá un contrato indefinido a jornada completa.",Huesca,Todos
Trafficker digital (gestor de redes sociales),Domestiko,España,No especificado,+ 30 d,"3,7","Se busca un profesional para el puesto de Trafficker Digital, encargado de la gestión de redes sociales.

Los requisitos esenciales incluyen contar con un título de Formación Profesional de Grado Medio o Superior en la familia de informática y comunicaciones, o en Marketing y Publicidad. Además, es indispensable tener conocimientos sólidos en herramientas informáticas y en el manejo de entornos online.

Se valorará positivamente la experiencia demostrada en el ámbito informático y digital, incluso si no se dispone de la formación académica específica. Un buen nivel de inglés también será considerado una ventaja. La persona seleccionada recibirá formación en herramientas de Google, como Docs y Sheets, para la gestión de campañas publicitarias en plataformas digitales. El puesto ofrece un contrato indefinido a jornada completa, con un horario de lunes a viernes de 8:30 a 13:30 y de 15:00 a 18:00. El salario se determinará de mutuo acuerdo. Se prevé una incorporación inmediata.",Huesca,Todos
Integradores sociales para alojamiento residencial de mujeres víctimas de violencia de género,Domestiko,España,2 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Se requiere personal para trabajar como auxiliar en un alojamiento residencial destinado a mujeres víctimas de violencia de género y sus hijos.

El puesto exige una experiencia previa de al menos seis meses, así como contar con un título de Bachiller, Técnico Superior en Integración Social o una titulación universitaria en Ciencias Sociales. Además, es necesario poseer un Máster Universitario o una formación superior a 150 horas específicamente en violencia de género.

Las responsabilidades del puesto incluyen la acogida inicial a las usuarias, ofreciendo información sobre las normas y horarios del centro. Se prestará apoyo en las necesidades diarias de alimentación e higiene, y se realizará un seguimiento del comportamiento de las mujeres y sus hijos, registrando las observaciones. También se promoverán actividades para dinamizar la vida del centro. El contrato es indefinido, a jornada completa, con turnos rotativos que incluyen mañanas, tardes, noches y fines de semana, y un salario bruto mensual de 1934 euros, además de pagas extras y pluses por nocturnidad y festivos.",Huesca,Todos
Auxiliar administrato/a (jornada parcial),Domestiko,España,No especificado,21 días,"3,7","Buscamos un auxiliar administrativo para trabajar a tiempo parcial en Huesca. Las tareas incluirán atender el teléfono, realizar labores de contabilidad básica y atender al público.

Se requiere un manejo de informática a nivel usuario para familiarizarse con nuestro programa. Se valorará la experiencia previa en puestos similares.

Se ofrece un contrato indefinido, con una jornada de 15 horas semanales, generalmente en horario de 10:00 a 13:00. El sueldo inicial seguirá lo establecido en el convenio colectivo, con potencial de aumento según el desempeño.",Huesca,Todos
Automation Engineer,Baxter,Huesca,No especificado,2 días,"3,7","This is where your work makes a difference.

At Baxter, we believe every person—regardless of who they are or where they are from—deserves a chance to live a healthy life. It was our founding belief in 1931 and continues to be our guiding principle. We are redefining healthcare delivery to make a greater impact today, tomorrow, and beyond.

Our Baxter colleagues are united by our Mission to Save and Sustain Lives. Together, our community is driven by a culture of courage, trust, and collaboration. Every individual is empowered to take ownership and make a meaningful impact. We strive for efficient and effective operations, and we hold each other accountable for delivering exceptional results.

Here, you will find more than just a job—you will find purpose and pride.

Summary:

We are looking for an Automation Engineer based at our Sabiñanigo plant that will be responsible for ensuring optimal performance, reliability, and stability of automated equipment across multiple manufacturing sites at a regional and global level.

Reporting directly to the Regional Engineering Leader, this engineer will be part of a Regional Team and will focus on PLC/HMI programming, data communication, and automation solving to continuously improve the efficiency and consistency of packaging processes in a GMP environment.

What you will be doing:
Fix and optimize PLC and HMI systems on automated production lines.
Develop and modify control logic to improve process stability and reduce downtime.
Integrate SCADA and MES systems for data collection and performance tracking.
Lead effective root cause analyses and corrective actions for automation-related issues.
Collaborate with mechanical, electrical, and maintenance teams to ensure cohesive system functionality.
Implement successfully software change controls according to GMP and validation procedures.
Support digitalization and Industry 4.0 initiatives across Baxter sites.
Provide training to site technicians and engineers on control systems procedures.
Contribute to continuous improvement projects focused on Overall Equipment Effectiveness, waste reduction, and process reliability.

What you will bring:
Degree or equivalent experience in Automation, Software, Control Engineering or a similar field.
Proven technical exposure to automation of filling/packaging technology in a manufacturing/ production environment, ideally in the pharma or healthcare industry.
Strong knowledge acquired through experience of PLC programming skills and HMI and SCADA development.
Solid understanding of automation architectures and system integration.
Analytical and structured problem-solving approach.
Able to communicate optimally in English in a work environment.
Availability to travel 80% of the time within regional or international contexts.

Why do you want to work at Baxter?

Competitive total compensation package
Professional development opportunities
High importance placed on work life balance (Family Responsible Certificate EFR)
Flexible benefits (childcare vouchers, employee discounts, etc.)
Commitment to growing and developing an inclusive and diverse workforce

#LI-TA1

Equal Employment Opportunity

Baxter is an equal opportunity employer. Baxter evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability/handicap status or any other legally protected characteristic.

Reasonable Accommodations

Baxter is committed to working with and providing reasonable accommodations to individuals with disabilities globally. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please click on the link here and let us know the nature of your request along with your contact information.

Recruitment Fraud Notice

Baxter has discovered incidents of employment scams, where fraudulent parties pose as Baxter employees, recruiters, or other agents, and engage with online job seekers in an attempt to steal personal and/or financial information. To learn how you can protect yourself, review our Recruitment Fraud Notice.",Huesca,Todos
granjero,MURILLÓ FRESH FOODS,España,No especificado,+ 30 d,"3,7","Se busca a una persona o varias con experiencia en el sector vacuno (terneros), para trabajo en un cebadero, se requiere saber vacunar, mover los terneros, carga y descarga...

Es en la provincia de Huesca. Se requiere carnet de conducir B

Se valorará tener experiencia con tractores y maquinaria.

Tipo de puesto: Jornada completa

Experiencia:

trabajo con terneros: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Huesca,Todos
Mechanical Engineer,Baxter,Huesca,No especificado,2 días,"3,7","This is where your work makes a difference.

At Baxter, we believe every person—regardless of who they are or where they are from—deserves a chance to live a healthy life. It was our founding belief in 1931 and continues to be our guiding principle. We are redefining healthcare delivery to make a greater impact today, tomorrow, and beyond.

Our Baxter colleagues are united by our Mission to Save and Sustain Lives. Together, our community is driven by a culture of courage, trust, and collaboration. Every individual is empowered to take ownership and make a meaningful impact. We strive for efficient and effective operations, and we hold each other accountable for delivering exceptional results.

Here, you will find more than just a job—you will find purpose and pride.

Summary:

We are looking for a Mechanical Engineer based at our Sabiñanigo plant that will be responsible for the analysis, optimization, and reliability improvement of automated filling, printing, and pouching systems.

Reporting directly to the Regional Engineering Leader, this engineer will be part of a Regional Team and will focus on mechanical performance, design improvement, and process stability, ensuring high machine availability and product quality across multiple Baxter manufacturing sites at a regional and global level.

What you will be doing:
Analyze and optimize mechanical assemblies to improve equipment performance and stability.
Identify mechanical bottlenecks, wear points, and recurring breakdowns, and implement robust solutions.
Collaborate with multi-functional teams on equipment upgrades and modifications.
Participate in root cause analyses and propose optimal mechanical improvements to minimize recurring failures.
Lead mechanical performance studies to support Overall Equipment Effectiveness improvement initiatives.
Review and validate mechanical drawings, component specifications, and Bill of Materials.
Support equipment Factory Acceptance Tests/ Site Acceptance Tests, installation, and commissioning activities.
Ensure compliance with safety, GMP, and mechanical integrity standards.
Document changes through proper engineering change control processes.

What you will bring:
Degree or equivalent experience in Mechanical Engineering or related field.
Proven professional exposure to automated, packaging or filling machines mechanics in a manufacturing/ production environment, ideally in the pharma or healthcare industry.
Strong knowledge of mechanical design, kinematics and motion systems.
Good command of 3D CAD software.
Solid understanding of Root Cause Analysis (RCA), Failure Mode and Effects Analysis (FMEA), and reliability engineering methods.
Analytical, problem-solving skills and continuous improvement mindset.
Able to communicate optimally in English in a work environment.
Availability to travel 80% of the time within regional or international contexts.

Why do you want to work at Baxter?

Competitive total compensation package
Professional development opportunities
High importance placed on work life balance (Family Responsible Certificate EFR)
Flexible benefits (childcare vouchers, employee discounts, etc.)
Commitment to growing and developing an inclusive and diverse workforce

#LI-TA1

Equal Employment Opportunity

Baxter is an equal opportunity employer. Baxter evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability/handicap status or any other legally protected characteristic.

Reasonable Accommodations

Baxter is committed to working with and providing reasonable accommodations to individuals with disabilities globally. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please click on the link here and let us know the nature of your request along with your contact information.

Recruitment Fraud Notice

Baxter has discovered incidents of employment scams, where fraudulent parties pose as Baxter employees, recruiters, or other agents, and engage with online job seekers in an attempt to steal personal and/or financial information. To learn how you can protect yourself, review our Recruitment Fraud Notice.",Huesca,Todos
