Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Atención al cliente en Jaén,Andalucía Emplea +,España,16 mil € - 18 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Empresa del sector retail busca ampliar su plantilla para el puesto de dependiente/a y atención al público.

Requisitos

Residir en Jaén capital o poder desplazarse al puesto de trabajo
Estar dado de alta como demandante de empleo
Puntualidad y buena presencia
Capacidad de trabajo en equipo

Datos generales

Ubicación del centro de trabajo: Jaén, capital
Horario: Trabajo a tiempo completo
Salario: Según convenio
No se requiere experiencia previa

Tipo de puesto: Jornada completa

Sueldo: 16.000,00€-18.000,00€ al año

Beneficios:

Formación en certificaciones profesionales
Programa de formación

Horario:

De lunes a viernes
Disponibilidad fin de semana
Turno rotativo

Ubicación del trabajo: Empleo presencial",Jaén,Todos
Dependiente de papeleria,Domestiko,España,No especificado,+ 30 d,"3,4","Se necesita dependiente para trabajar en una papelería. Se considerará positivamente a las personas que cuenten con experiencia o conocimientos en temas de administración.

La incorporación inicial se realizará con un contrato a media jornada. Posteriormente, se ofrecerá la posibilidad de ampliar esta jornada hasta un contrato a tiempo completo, de carácter indefinido.

Se valorará la proactividad y el buen trato con el cliente. La persona seleccionada se encargará de la atención al público, la gestión de productos y el mantenimiento general del establecimiento.",Jaén,Todos
Operario mantenimiento electromecánico- Zona Jaén a Cantoria,Grupo Nortempo,España,33 mil € (Proporcionado por la empresa),27 días,"3,4","¿Eres de la zona de Pozo Alcón , Jaén o alrededores y buscas un proyecto para crecer profesionalmente?


En Grupo Nortempo seleccionamos un Operario de Mantenimiento para incorporarse de forma estable en la planta de Consentino en Cantoría. Buscamos un perfil técnico con base eléctrica sólida, habituado a entornos industriales muy automatizados y con alta demanda operativa.


La persona seleccionada formará parte del equipo de Mantenimiento de la planta Dekton, realizando intervenciones preventivas, correctivas y predictivas en maquinaria industrial. El entorno de trabajo es altamente automatizado, con ritmo exigente y elevado nivel de estrés operativo.


Funciones principales:




Ejecutar mantenimiento preventivo, correctivo y predictivo en maquinaria industrial.
Realizar intervenciones para asegurar la disponibilidad de equipos y línea de producción.
Interpretar esquemas eléctricos, neumáticos e hidráulicos.
Sustituir y ajustar componentes como motores, rodamientos y reductores.
Registrar las intervenciones en el sistema interno de mantenimiento.
Cumplir estrictamente las normas de Seguridad, Calidad y Medio Ambiente, incluyendo el uso obligatorio de EPIs.

Requisitos


FP II / Grado Medio o Superior en Electromecánica, Mantenimiento Industrial, Electricidad, Mecatrónica o similar. Experiencia mínima: 6 meses en mantenimiento industrial. Competencia eléctrica sólida (preferencia por perfiles fuertes en electricidad).


Se ofrece


Contrato indefinido (categoría: Oficial de 2ª). Salario aproximado: 33.000 € brutos anuales según convenio (negociable según experiencia). Turnos rotativos: 7 días de trabajo + 5 días de descanso. Proyecto estable en una fábrica avanzada y altamente automatizada. Acceso a la planta: recomendable vehículo propio (autobús con lista de espera).

Requisitos

FP II / Grado Medio o Superior en Electromecánica, Mantenimiento Industrial, Electricidad, Mecatrónica o similar. Experiencia mínima: 6 meses en mantenimiento industrial. Competencia eléctrica sólida (preferencia por perfiles fuertes en electricidad).

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Conocimientos

Desarrollo de personas

Se Ofrece

Contrato indefinido (categoría: Oficial de 2ª). Salario aproximado: 33.000 € brutos anuales según convenio (negociable según experiencia). Turnos rotativos: 7 días de trabajo + 5 días de descanso. Proyecto estable en una fábrica avanzada y altamente automatizada. Acceso a la planta: recomendable vehículo propio (autobús con lista de espera).",Jaén,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,4","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Jaén, Jaén provincia (Jaén)",Jaén,Todos
PRÁCTICAS DE ATENCIÓN AL CLIENTE EN ASESORÍA,El Mundo del Becario,España,No especificado,24 días,"3,4","Nuestro equipo esta formado por profesionales, economistas y abogados comprometidos con el trabajo diario y en ofrecer a nuestros clientes soluciones y alternativas adecuadas a sus necesidades.

Son ellos, pues, el mejor activo de nuestra firma por su cualificación, dedicación y esfuerzo necesarios para alcanzar los objetivos de los servicios que prestamos a nuestros clientes.

Actualmente estamos buscando a una persona que de apoyo a nuestro departamento de atención al cliente.

Tras la realización de esta prácticas y siempre que ambas partes estén satisfechas, se producirá una contratación laboral.

Funciones de apoyo en el departamento de Atención al cliente:

-Asistir en la atención y resolución de consultas de los clientes a través de diferentes canales (teléfono, correo electrónico, chat).

-Colaborar con el equipo para garantizar una experiencia de cliente positiva.

-Gestionar y documentar incidencias en el sistema de gestión de clientes.

-Participar en la mejora continua de los procesos de atención al cliente.

-Recopilación de información de clientes para gestión de Rentas.

Relaciones Laborales o similares

Posibilidad de realizar convenio con la universidad o centro de estudios

Tipo de puesto: Contrato en prácticas, Contrato para la formación y el aprendizaje

Sueldo: 300,00€ al mes

Ubicación del trabajo: Empleo presencial",Jaén,Todos
Jefe/a de Obra ELECTRICA - Plantas Fotovoltaicas - SUNERGY,Sunergy Global Services SL,Linares,24 mil € - 36 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Seleccionamos Jefe/a de obra ELÉCTRICO para plantas fotovoltaicas en España e Italia, sus principales tareas y responsabilidades serán las siguientes;

- Velar por el cumplimiento de la seguridad, presupuesto, calidad y plazos de ejecución de la obra.
- Se responsabilizará de la gestión de los recursos para cumplir con el cronograma sin exceder, el presupuesto del proyecto.
- Se responsabilizará por el desarrollo de los trabajos de acuerdo a proyecto, informando de los cambios de proyecto al ingeniero de proyecto.
-Vigilará el cumplimiento de requisitos legales e institucionales relacionados con ejecución de obras.
- Control y seguimiento de los acabados y aplicación de la guía de buenas prácticas según especificaciones del proyecto.
- Garantizar el funcionamiento, el control y monitorización de fallos durante el periodo de PR y previo a la firma de PA, apoyándose en el equipo de monitorización y revisando el cumplimiento de su trabajo.

REQUISITOS MÍNIMOS:

-Experiencia como Jefe de obra en campos fotovoltaicos. Al menos 2 años.
- Es imprescindible viajar y estar en obra el tiempo que dure la misma. ( Las instalaciones se encuentran en España o Italia)
- Alta capacidad de gestión
- Alta capacidad para organizar el trabajo y coordinar subcontratas.
- Acostumbrado a coordinar personal en obras.
- Acostumbrado a seleccionar equipos de trabajo.

SE OFRECE
- Trabajo estable en empresa grupo de empresas en constante crecimiento.
- Posibilidad de crecimiento en la empresa
- Vehículo de empresa

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 24.000,00€-36.000,00€ al año

Beneficios:

Coche de empresa
Comidas en la empresa
Gastos de vivienda
Jornada intensiva en verano
Jornada intensiva los viernes
Opción a contrato indefinido
Ordenador de empresa
Teléfono de empresa
Uniforme proporcionado

Retribución complementaria:

Bonus por objetivos

Posibilidad de trasladarse/mudarse:

23700 Linares, Jaén provincia: Desplazarse al trabajo sin problemas o planificar mudarse antes de comenzar a trabajar (Obligatorio)

Experiencia:

Plantas Fotovoltaicas: 2 años (Obligatorio)

Disponibilidad para viajar:

100 % (Obligatorio)

Ubicación del trabajo: Empleo presencial",Jaén,Todos
Técnico de camiones Carboneros,DAF,España,No especificado,+ 30 d,"3,4","Técnico de camiones

¿Has trabajado como mecánico, técnico automotriz o incluso como mecánico de coches (o simplemente estás listo para un nuevo reto)? En DAF, damos la bienvenida a profesionales con una mentalidad técnica que quieran desarrollarse como técnico de camiones. Tener experiencia como mecánico de coches o técnico automotriz puede ser una gran base, pero lo que más importa es tu pasión por los camiones.

¿Estás ""Hecho para DAF""?

Perfecto, porque justo estamos buscando talento. En un concesionario DAF, trabajarás con camiones líderes del mercado para devolverlos a la carretera lo más rápido posible cuando requieran un mantenimiento y utilizarás los sistemas de taller más avanzados en vehículos equipados con tecnología de vanguardia. Si te gusta asumir responsabilidades, te invitamos a formar parte de un gran equipo en el concesionario DAF.

En función de tus conocimientos y experiencia actuales, y adaptado a los requisitos específicos del puesto, esto es lo que puedes esperar en tu trabajo diario:

Serás responsable de realizar diagnósticos rápidos y precisos utilizando herramientas de diagnóstico.
Trabajarás de forma independiente para realizar las tareas de mantenimiento y reparación de los vehículos y componentes DAF.
Realizarás diversas inspecciones (ITV, tacógrafo, etc.).
Ayudarás y asesorarás diariamente a los técnicos menos experimentados.
Realizarás las comprobaciones finales de los trabajos completados.

Esto es lo que estamos buscando:

Gente motivada para trabajar con camiones, ya sea en el taller o utilizando equipos de diagnóstico.
Gente motivada para desarrollar sus habilidades técnicas, como reparaciones de motores o solución de problemas eléctricos.
Gente motivada para aprender sobre la instalación de accesorios y la preparación de vehículos para la entrega.
Gente orgullosa de su trabajo, con una auténtica pasión por mantener los vehículos en las mejores condiciones.
Gente deseosa de mantener y ampliar sus conocimientos actualizados con los avances del sector.
Gente con una actitud positiva y entusiasmo por trabajar en equipo.
Valoramos la experiencia previa como mecánico de camiones, pero también damos la bienvenida a nuevos entusiastas.

¿Está DAF hecho para ti?

Esto es lo que garantizamos:

Responsabilidad individual y libertad de acción.
Salario competitivo y beneficios adicionales.
Muchas oportunidades de formación y posibilidades de promoción.

¿Estás hecho para DAF? Rellena el formulario que encontrarás en nuestro sitio web.",Jaén,Todos
Sales Assistant,Silbon,España,No especificado,+ 30 d,"3,4","SILBON, NOTHING IS CASUAL

¿Te apasiona la moda y quieres formar parte de un equipo dinámico en constante crecimiento?

En Silbon, la marca cordobesa de las dos raquetas estamos buscando talento para unirse a nuestro equipo.

Desde nuestros inicios en 2009, hemos tenido un propósito claro: conectar la marca con nuevos segmentos de clientes a través de nuestra esencia: el diseño y elegancia, la calidad, la normalidad y el compromiso social y medioambiental reforzado con una visión clara: la búsqueda constante de la diferenciación, sorprender para liderar.

Contamos con más de 130 tiendas y más de 500 colaboradores en la compañía entre España, Portugal, Francia y México.

Silbon es moda, pero también es pasión y estilo de vida.

Dress to live, dress to last.

Descripción de la oferta:

Buscamos diferentes perfiles de Sales Assistant de 15-20h para nuestra tienda ubicada en el Centro Comercial Jaén Plaza.

Perfil profesional & responsabilidades:

Ofrecer una excelente experiencia de compra a nuestros clientes y fidelizarlos.
Actitud positiva, proactiva y entusiasta.
Capacidad de adaptación y flexibilidad.
Manejo de indicadores para ayudar a alcanzar los objetivos comerciales.
Gusto por la moda, sobre todo el universo masculino y conocimiento de Sastrería.
Vocación de servicio para ayudar a satisfacer las necesidades de nuestros clientes.
Recepción de mercancía, colocación y visual merchandising.
Valoramos experiencia en puesto similar
Se valorará tu movilidad geográfica

Ofrecemos:

Desarrollo profesional con posibilidades de crecimiento profesional
Un excelente entorno profesional en moda premium
Salario acorde al nivel de responsabilidad

¡No dudes en apuntarte a nuestra oferta y desarrolla tu carrera profesional con nosotros!",Jaén,Todos
Fisioterapeuta para Residencia de Mayores H/F,Reifs Group,Cazalilla,No especificado,+ 30 d,"3,4","Descripción
Conoce Residencias Reifs

Residencias Reifs nació en el año 2001 como empresa sociosanitaria. Durante estos años, Residencias Reifs se ha ido especializando en la gestión de residencias para personas mayores, siendo actualmente uno de los grupos de referencia en Andalucía, con centros distribuidos en toda la comunidad autónoma. Residencias Reifs se caracteriza por su compromiso con el bienestar de las personas mayores, brindándoles una atención y cuidados personalizados, privados y cercanos. Las competencias profesionales, la relación personal con las personas mayores y sus familias y la mejora continua, constituyen los pilares sobre los que se construye la misión de las Residencias de Mayores de Grupo Reifs.

Proceso de selección:

En nuestro centro REIFS CAZALILLA (JAÉN) buscamos incorporar una persona para el departamento de FISIOTERAPIA.

Responsabilidades

Entre las responsabilidades que asumirías se encuentran, planificación, coordinación y realización de programas de intervención y rehabilitación física, participación en el Plan de Atención Individualizada de la persona y programa de actividades del centro, atención a las familias.

Requisitos
Te ofrecemos:

Te ofrecemos contratación indefinida a jornada completa, así como la oportunidad de desarrollo profesional en una empresa en constante crecimiento.

Requisitos:

Es necesario que cuentes con Diplomatura / Grado universitario en Fisioterapia y colegiación en vigor. Valoraremos positivamente que tengas experiencia previa en el sector.

Si quieres saber más y estás buscando un nuevo reto profesional, esta es una oportunidad perfecta para ti.

¡Te esperamos!",Jaén,Todos
AUXILIAR AYUDA A DOMICILIO RUS (JAÉN),Macrosad,España,No especificado,+ 30 d,"3,4","Descripción:

Nos encontramos en búsqueda de Auxiliares de ayuda a domicilio para bolsa de empleo en la localidad de Rus (Jaén).

Funciones

Atender al usuario, en el propio domicilio o entorno, siguiendo las pautas de actuación y cuidados indicados por el personal de Coordinación de Gestión del SAD en consonancia con los criterios establecidos en el Programa de Atención Individualizada de las personas usuarias.

Se ofrece

Contrato de sustitución.
Horarios de fines de semana y festivos y de entre semana.
Incorporación inmediata o en bolsa de empleo.
Salario por convenio de ayuda a domicilio de Andalucía.

Requisitos:

Titulación de Auxiliar (Enfermería, Clínica, Sociosanitario o similar), TCAE o Certificado de profesionalidad de atención sociosanitaria a personas dependientes en instituciones sociales.
Experiencia mínima de 3 meses en puesto similar.

Macrosad, cooperativa comprometida con la igualdad entre hombres y mujeres.",Jaén,Todos
