Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Personal Almacén 40hrs/sem Arinaga,Lidl,Las Palmas,No especificado,20 días,"3,5","Introducción

Nuestro #teamlidl es competitivo y muy dinámico. Para saber más sobre cómo es trabajar en Lidl consulta nuestra página web de empleo: https://empleo.lidl.es/

¿Cómo será tu día a día?

En nuestras plataformas logísticas, según el área en la que estés colaborando: Recepción de la mercancía, Preparación de los pedidos o Expedición a tienda, asumirás distintas tareas que consistirán en:

Ubicar la mercancía en las zonas asignadas de almacenamiento y desubicarla.
Gestionar las peticiones de lxs preparadorxs.
Preparar la mercancía para enviar los pedidos a las tiendas.
Transportar los palets preparados a las correspondientes filas del área de Expediciones y flejar palets de forma segura para su transporte.
Rotular correctamente los palets terminados.
Dar soporte en la realización de inventarios de almacén.
Introducir y actualizar las rutas y planificaciones.
Elaborar los comprobantes de facturación para lxs transportistas.
Controlar el cumplimiento del nivel de calidad necesario.
Supervisar la correcta gestión de recogida de residuos y reciclaje.
Si se requiere, carga y descarga de camiones.
¿Eres tú la persona que buscamos?
Disponibilidad horaria para trabajar por turnos (horarios rotativos).
Motivación, flexibilidad y capacidad para el trabajo en equipo.
Valorable formación de Educación Secundaria Obligatoria o equivalente y experiencia previa.
¿Qué te ofrecemos?
Te facilitamos formación teórico-práctica adaptada a tu puesto de trabajo.
Garantizamos desde el inicio del proceso de selección que éste se desarrollará en base a criterios objetivos. La preocupación por eliminar la brecha de género, así como cualquier otro tipo de discriminación alcanza también a nuestra política salarial, en la que rige el principio de equidad retributiva ante el desempeño de las mismas funciones.
Desde hace años garantizamos que cada minuto trabajado en Lidl se registra y se compensa.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/",Las Palmas de Gran Canaria,Todos
Camarero/a de sala - Las Palmas (zona sur),Grupo Nortempo,Las Palmas,"12,00 € Por hora (Proporcionado por la empresa)",24 horas,"3,5","En Grupo Nortempo, contamos con más de 30 años de experiencia en el sector de los recursos humanos. Actualmente, estamos en búsqueda de un CAMARERO/A con experiencia para incorporar a un destacado hotel en Las Palmas (zona sur)

La persona seleccionada será responsable de la atención directa al cliente y del servicio en mesa garantizando los estándares de calidad y normas de higiene. Colaborará con el equipo de sala y cocina para asegurar un servicio eficiente.

Funciones:

Atención al cliente, toma de comandas y servicio.

Preparación y montaje de mesas.

Gestión de cobros cuando sea necesario.

Apoyo al equipo en momentos de alta demanda.


Requisitos


Disponibilidad de incorporación inmediata DESDE MAÑANA HASTA EL DOMINGO 01/03 en horario de 18:00 A 24:00 Experiencia previa como camarero/a. Buena presencia y habilidades comunicativas. Capacidad para trabajar en equipo y bajo presión.


Se ofrece


Salario 10,56 euros bruto/ hora Incorporación inmediata . Contrato según necesidades del restaurante y posibilidad de continuos llamamientos. Oportunidades de continuidad y desarrollo profesional dentro del grupo. ¡Si cumples los requisitos y te gusta el trato con el público, inscríbete y únete a un gran equipo!

Requisitos

Disponibilidad de incorporación inmediata DESDE MAÑANA HASTA EL DOMINGO 01/03 en horario de 18:00 A 24:00 Experiencia previa como camarero/a. Buena presencia y habilidades comunicativas. Capacidad para trabajar en equipo y bajo presión.

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

. Contrato según necesidades del restaurante y posibilidad de continuos llamamientos. Oportunidades de continuidad y desarrollo profesional dentro del grupo. ¡Si cumples los requisitos y te gusta el trato con el público, inscríbete y únete a un gran equipo!",Las Palmas de Gran Canaria,Todos
Profesional de Punto Caliente (Panadería -Pastelería),Alcampo,Telde,No especificado,+ 30 d,"3,5","Como parte del equipo de la Sección de Ultrafrescos, liderado por el/la Responsable de la Sección, tus funciones serán:


Realizar la recepción y control de la mercancía, asegurando la frescura y las condiciones de entrada de los productos..
Elaborar y reponer los lineales para garantizar la variedad de los productos a la venta.
Retirar el producto sobrante del día anterior y limpieza de cámaras y lineales correspondientes.
Controlar el stock existente de la mercancía para apoyar al Responsable de la Sección en la realización de inventarios y pedidos. Controlar caducidades de productos en stock.
Limpiar, ordenar y supervisar el material de manipulación del producto y las instalaciones del mercado.

Nos encantará conocerte si sientes pasión por el comercio, el producto fresco y las personas, y si cuentas con:


Educación Secundaria Obligatoria
Formación sobre manipulación de alimentos/seguridad alimentaria
*Conocimientos del producto de panadería y pastelería y elaboración del mismo.*

Formar parte de una empresa internacional que quiere construir el comercio del futuro dentro un sector clave y en crecimiento para la sociedad.
Formación continua con una plataforma e-learning con más de 100 cursos.
Posibilidad de retribución flexible, descuentos en compras en tiendas y gasolineras.
Posibilidad de acogerse al plan de accionariado Alcampo (políticas de reparto y beneficios)
Jornadas de voluntariado dentro de tu jornada laboral con asociaciones locales y nacionales.",Las Palmas de Gran Canaria,Todos
Técnico mantenimiento,Unión Martín,España,2 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Necesitamos técnico en mantenimiento con experiencia en sector industrial (preferiblemente sector alimentario). Se valorará que además posea conocimientos en mantenimiento en frío industrial.

Tipo de puesto: Jornada completa

Sueldo: 1.500,00€-1.800,00€ al mes

Educación:

FP Grado Medio (Obligatorio)

Experiencia:

Mantenimiento industrial: 3 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Las Palmas de Gran Canaria,Todos
Auxiliar Administrativa/o,"ALMACENES BAEZ,S.L.",España,No especificado,20 días,"3,5","JORNADA CONTINUA

LUNES A SÁBADO

Tipo de puesto: Jornada completa

Preguntas para la solicitud:

¿Tiene experiencia administrativa en el sector de la alimentación y distribución?

Ubicación del trabajo: Empleo presencial",Las Palmas de Gran Canaria,Todos
Asesor Comercial de Telecomunicaciones,Roul Comunicaciones S.l,Las Palmas,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Empresa canaria con más de 20 años en el sector busca comercial de Telecomunicaciones e informática. Somos distribuidores de Movistar Empresas.

Se busca comercial para atender cartera de clientes y realizar captación en Las Palmas de G.C.

Se valorará conocimientos informáticos y de digitalización, coche propio.

Tipo de puesto: Jornada completa, Indefinido

Sueldo: 1.400,00€-2.000,00€ al mes

Beneficios:

Programa de formación
Teléfono de empresa

Educación:

FP Grado Medio (Deseable)

Experiencia:

Comercial: 2 años (Deseable)

Ubicación del trabajo: Teletrabajo híbrido en 35010 Las Palmas de Gran Canaria, Las Palmas provincia

Fecha límite para enviar la solicitud: 01/03/2026
Fecha de inicio prevista 13/02/2026",Las Palmas de Gran Canaria,Todos
Comercial de Ventas [Alarmas y Sistemas de Seguridad],Sector Alarm,España,No especificado,+ 30 d,"3,5","¿Quieres formar parte de una de las mejores empresas para trabajar en España reconocida por Great Place To Work?

Sector Alarm es una empresa multinacional noruega líder en soluciones de seguridad, presente en más de 8 países europeos y con miles de clientes protegidos. Apostamos por el talento, la promoción interna y el desarrollo profesional a largo plazo

Buscamos Agentes Comerciales para incorporarse a su equipo de ventas en Gran Canaria (Ingenio), especializados en la venta e instalación de alarmas y sistemas de seguridad para hogares y negocios

QUÉ TE OFRECEMOS

Contrato laboral a jornada completa (no trabajamos con régimen de autónomos)
Salario sin límite con altas comisiones
Formación constante y certificada + acompañamiento en tus primeras semanas
Plan de carrera real con posibilidades de promoción interna y desarrollo hacia puestos de gestión de equipos
Empresa reconocida como Great Place To Work durante 7 años consecutivos
Vehículo de empresa + Tarjeta de combustible + Eventos, viajes y premios…

FUNCIONES DEL PUESTO

Captación de clientes. Trabajo en calle a puerta fría
Asesoramiento personalizado a clientes sobre nuestros sistemas de seguridad
Visitas comerciales concertadas
Cierre de la venta
Instalación de los sistemas
Seguimiento de tu cartera de clientes

REQUISITOS IMPRESCINDIBLES

Carnet de conducir tipo B (en vigor y válido en España)
Disponibilidad para trabajar a jornada completa (40h) en turno partido (mañana y tarde).
Residencia en Ingenio, Las Palmas o alrededores
Permiso de trabajo en vigor

VALORAMOS POSITIVAMENTE

Actitud comercial
Habilidades comunicativas
Poractividad
Actitud Positiva/Ambicion
Orientación a objetivos

Si ya habías aplicado anteriormente y no nos hemos puesto en contacto contigo, vuelve a aplicar. Recibimos un volumen muy alto de candidaturas y a veces nos es imposible revisarlas todas.",Las Palmas de Gran Canaria,Todos
Administrativo Laboral,Tramitación de Documentos,Las Palmas,1 mil € (Proporcionado por la empresa),24 horas,"3,5","Asesoría laboral, fiscal y contable busca administrativo laboral para las gestiones de altas y bajas en la Seguridad Social, elaboración de contratos y registro en el SEPE, realización de seguros sociales.

Manejo básico de A3Nom, Siltra, Delt@, Sistema Red.

Tipo de puesto: Jornada completa, Temporal, Indefinido

Sueldo: A partir de 1.400,00€ al mes

Beneficios:

Opción a contrato indefinido

Educación:

FP Grado Superior (Deseable)

Experiencia:

Relaciones laborales: 1 año (Deseable)
Gestión de nóminas: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Las Palmas de Gran Canaria,Todos
Peón agrícola,Fresh Tom Export,Ingenio,16 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Se necesita personal en finca de invernaderos de tomates para la realización de las tareas básicas de campo, preparación del terreno, siembra, manejo del cultivo, recolección.

No se precisa experiencia ya que contamos con equipo de formación.

Tipo de puesto: Jornada completa, Contrato fijo discontinuo
Duración del contrato: 10 meses

Sueldo: A partir de 15.876,00€ al año

Beneficios:

Cesta de navidad
Opción a contrato indefinido
Parking gratuito
Programa de formación
Teléfono de empresa

Ubicación del trabajo: Empleo presencial",Las Palmas de Gran Canaria,Todos
Se busca ayudante de cocina/camarero.,Lapatacaliente Arucas,Arucas,1 mil € - 2 mil € (Proporcionado por la empresa),4 días,"3,5","Buscamos ayudante de cocina/ camarero dinámicos, responsables y comprometidos para incorporarse a nuestro equipo.

Valoramos actitud positiva, ganas de trabajar y buen trato al cliente.

Si te gusta el trabajo en equipo y un ambiente activo, ¡queremos conocerte!

Tipo de puesto: Jornada completa

Sueldo: 1.300,00€-1.500,00€ al mes

Ubicación del trabajo: Empleo presencial",Las Palmas de Gran Canaria,Todos
