Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Project Manager d'Obra Civil Épila,bonÀrea Agrupa,España,No especificado,+ 30 d,"3,3","Descripció del lloc

Vols formar part d'un dels projectes industrials més ambiciosos de l'Aragó?

bonÀrea continua amb la construcció del seu nou complex alimentari a Épila, un projecte estratègic que marcarà un abans i un després en el sector.
Busquem un/a Project Manager per al departament d'Obra Civil, que vulgui assumir un paper clau en la gestió i el control d'obres civils dins d'aquest gran repte.

Quina serà la teva missió?

Supervisar i coordinar diferents tipologies d'obra civil (botigues i espais comercials, estacions de servei, instal·lacions industrials del nou complex bonÀrea).

Garantir la qualitat, els terminis i la coordinació amb equips interns i externs.

Aplicar metodologies BIM per optimitzar processos i resultats.

Què oferim?


Contractació indefinida en una empresa en creixement.
Flexibilitat horària en torn central.
Salari competitiu.
Formaràs part del desenvolupament del nou complex bonÀrea a Épila, un dels projectes industrials més rellevants a l'Aragó, contribuint a una iniciativa estratègica amb impacte real a la regió. [+]



Formació Mínima

Formació en Enginyeria Civil, Arquitectura Tècnica o similar.

Altres requisits

Experiència en gestió d'obres civils.
Es valoraran coneixements de BIM.
Perfil resolutiu, organitzat i amb visió global.

Incorporació




Salari

No informat",Lleida,Todos
Tècnic/a en eficiència energètica botigues,bonÀrea Agrupa,España,No especificado,8 días,"3,3","Descripció del lloc

A bonÀrea busquem una persona amb iniciativa i mirada analítica que ens ajudi a continuar millorant l'eficiència energètica de les nostres botigues. Si t'agrada investigar, detectar oportunitats d'estalvi i posar en marxa solucions reals sobre el terreny, aquesta és una oportunitat per a tu. Formaràs part d'un equip compromès amb la sostenibilitat i l'optimització dels recursos, contribuint de forma directa al bon funcionament de tota la xarxa comercial.

Quines seran les teves funcions?
Vetllar per l'eficiència energètica de les botigues de la xarxa bonÀrea.
Analitzar i optimitzar les potències contractades, assegurant un consum energètic ajustat i eficient.
Realitzar visites tècniques als establiments per detectar incidències, analitzar-ne les causes i proposar solucions efectives.
Fer seguiment dels consums energètics i identificar desviacions o oportunitats de millora.
Donar suport en la tramitació de CAEs i subvencions vinculades a projectes d'eficiència energètica.
Treballar de manera coordinada amb els equips tècnics i de manteniment per implementar accions de millora.

Què oferim?

Incorporació estable en una empresa sòlida i en creixement.
Horari de dilluns a divendres en jornada partida i flexible.
Possibilitat d'un dia de teletreball
Treball en un entorn tècnic, amb projectes de millora molt tangibles i d'impacte directe.
Possibilitats de desenvolupament professional i formatiu.
Condicions competitives adaptades a l'experiència aportada.
Formar part d'un equip proper, professional i orientat a la millora contínua. [+]




Formació Mínima

Grau en Enginyeria (Enginyeria Industrial, Enginyeria de l'Energia, Enginyeria Mecànica, etc.).
Formació complementària en eficiència energètica, auditories energètiques o energies renovables serà un plus.

Altres requisits

Coneixements en anàlisi de consums i optimització energètica.
Capacitat per realitzar visites de camp i diagnòstics sobre instal·lacions.
Habilitat per documentar processos i gestionar tràmits (subvencions, CAEs…).
Persona analítica, proactiva i amb orientació a la millora contínua.
Carnet de conduir i disponibilitat per desplaçaments.

Incorporació

El més aviat possible

Salari

Segons formació i experiència",Lleida,Todos
Business Developer,Eurofirms,Lleida,No especificado,21 días,"3,3","Lleida, Lleida

Empleo de Business Developer, Lleida
Fecha de publicación:
05/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y viernes en turno partido en horario entre 09:00h y 18:00h con los descansos establecidos por ley.
Vacantes:
1
Salario:
A concretar
Población:
Lleida



Descripción de la oferta de empleo de Comercial en Lleida
Eurofirms Group | People first Lleida, Cataluña, España

¿Te apasiona conectar personas, generar oportunidades y liderar por valores?
Si tienes actitud, visión comercial y te motiva impulsar el crecimiento en la zona de Lleida, ¡este puesto de Business Developer es para ti!

¿Por qué trabajar con nosotros?

En Eurofirms Group creemos en el talento sin etiquetas. Apostamos por un entorno inclusivo, diverso y respetuoso, donde cada persona cuenta y puede crecer siendo auténtica.
People First no es solo nuestro lema, es nuestra forma de trabajar.
Entrarás a formar parte de la empresa de gestión de talento de capital nacional número 1 en España, con más de 30 años de trayectoria en el sector de los Recursos Humanos. Estamos presentes en varios países de Europa y Latinoamérica, y seguimos en constante expansión, poniendo a las personas en el centro.

¿Qué te ofrecemos?


Apoyo continuo de tu líder y compañeros/as desde el primer día.
Plan de carrera real dentro de la compañía, con posibilidades de crecimiento y promoción interna.
Un entorno donde tu voz cuenta: fomentamos la participación, las ideas y que cada persona aporte lo mejor de sí misma.
Gestión por valores, con foco en la transparencia, el compromiso y el respeto.
Buen ambiente laboral, donde el compañerismo y la colaboración son parte de nuestro día a día.
Flexibilidad horaria real: entrada entre las 8:00 y las 10:00, salida entre las 17:00 y las 19:00.
Una tarde libre por semana, para ti.
Un día de teletrabajo semanal.
Formación continua y herramientas tecnológicas que te facilitan el trabajo.
Sistema de bonus atractivo que reconoce tu esfuerzo.
Seguro médico a los 2 años para ti y tu familia.
Benefits y descuentos en gimnasios.
La tranquilidad de formar parte de una empresa sólida, con más de 30 años de trayectoria.

Testimonios reales de compañeros/as en Eurofirms:

""Aquí no hay jerarquías que separan, sino personas que suman. Lo que hacemos tiene sentido, porque ayudamos a clientes, trabajadores y compañeros. Y eso, sinceramente, es muy bonito.""
""Yo disfruto mucho mi trabajo. Me siento escuchada, acompañada y valorada. Y eso no tiene precio.""
""Nosotros ayudamos a crecer a la empresa. Y eso solo se consigue con actitud, constancia y transparencia. Aquí no vendemos humo, vendemos soluciones reales.""

¿Te gusta lo que lees?

Si te apetece formar parte de una empresa que cree en las personas y te va a acompañar en tu desarrollo... ¡Inscríbete, queremos conocerte!

#BD
¿Qué vas a vivir y hacer en este rol?

Tu misión será desarrollar negocio en la zona de Lleida, generando nuevas oportunidades comerciales y consolidando relaciones con clientes.

Esto incluye:

Labor comercial:


Prospección activa y apertura de nuevos clientes.
Fidelización y desarrollo de cuentas activas.
Identificación de oportunidades y necesidades reales.
Desarrollo de nuevas líneas de negocio.
Coordinación con otras oficinas para garantizar un servicio excelente.

Colaboración interna:


Trabajo conjunto con el equipo de Recruiters para asegurar la calidad del servicio.
Apoyo en procesos de selección y seguimiento de trabajadores según necesidades del cliente.
Función:
Comercial
Requisitos:
¿Qué buscamos en ti?


Escucha activa, empatía y actitud positiva.
Perseverancia, iniciativa y ganas de aprender.
Capacidad de adaptación y comunicación clara.
Experiencia comercial (valorable en el sector ETT o RRHH).
Carné de conducir.
Formación:
Valorable grado universitario en ADE.
Idiomas:
Castellano y/o catalán hablados y escritos correctamente.",Lleida,Todos
Tècnic/a ISO- APPC a (Guissona),bonÀrea Agrupa,España,No especificado,+ 30 d,"3,3","Descripció del lloc

A bonÀrea estem buscant a una persona per incorporar-se al departament de comercial alimentació a la secció de control de qualitat. Seràs la persona responsable de la implantanció, manteniment i seguiment de les certificacions com la ISO, IFS entre altre homologacions.

El teu dia a dia será:

Implantar y mantener sistemas de gestión de calidad y seguridad alimentaria (ISO, IFS, BRC...).
Coordinar auditorías internas y externas.
Gestionar la documentación y los registros relacionados con las certificaciones.
Asegurar el cumplimiento normativo y legal en materia de seguridad alimentaria.
Colaborar con diferentes departamentos para garantizar la mejora continua de los procesos.

Oferim:

Contracte estable i jornada completa de dilluns a divendres de les 9:00h a les 18:00h.
Incorporació a una empresa consolidada i en creixement.
Bon ambient laboral i possibilitat de desenvolupament professional.
[+]



Formació Mínima

Grau en Ciència i Tecnologia dels Aliments

Altres requisits

Es valorarà experiència prèvia en llocs similars.
Persona proactiva, amb iniciativa i capacitat per treballar de manera autònoma i en equip.

Incorporació

breu

Salari

No informat",Lleida,Todos
AGENTE COMERCIAL|LLEIDA,GRIZZLY,Lleida,3 mil € - 5 mil € (Proporcionado por la empresa),6 días,"3,3","Grizzly Hispania

¿Tienes madera de vendedor y estás buscando una empresa sólida donde crecer profesionalmente? (¿O ya tienes experiencia y quieres dar un salto de calidad?) ¡Grizzly Hispania SL podría ser tu próximo reto!
Somos líderes desde hace más de 30 años en el sector de las máquinas para la limpieza industrial y estamos buscando un Comercial motivado para ampliar nuestro equipo.
Fabricamos máquinas y equipos de alta calidad para la limpieza y el mantenimiento industrial, poniendo siempre en el centro la satisfacción de nuestros clientes. ¿Uno de nuestros puntos fuertes? ¡Las demostraciones gratuitas que ofrecemos para mostrar la eficacia de nuestros productos directamente en el entorno de trabajo de los potenciales clientes!

Estamos buscando una persona (¡Incluso sin experiencia previa!) con muchas ganas de trabajar, determinada a alcanzar resultados y con buenas habilidades para el trato con el público.

¿Cuál será tu función?
Te encargarás de buscar nuevos clientes (También mediante visitas directas) y de mantener una excelente relación con los que ya confían en nosotros.

¿Qué te ofrecemos?

Un interesante paquete retributivo (Gastos cubiertos + comisiones) que te permitirá alcanzar una media de 2.500/3.000 € de ingresos desde el inicio.
Un ingreso mínimo garantizado de €1.500 durante el período inicial de formación para ofrecerte una base sólida.
Una cartera de clientes ya activa sobre la que podrás trabajar.
Un recorrido de formación y acompañamiento constante para apoyar tu crecimiento profesional.
Herramientas de marketing eficaces para facilitar tu trabajo.
Colaboración como autónomo (IVA) con posibilidad de comenzar con retención en origen.
Posibilidad de contrato indefinido, a valorar caso por caso.

La oferta está dirigida a candidatos de ambos sexos (L.903/77 y L.125/91).
Si te reconoces en esta descripción y estás listo para unirte a la familia Grizzly, ¡No dudes en postularte! ¡Estamos deseando conocerte!

Tipo de puesto: Jornada completa, Autónomo

Sueldo: 2.500,00€-5.000,00€ al mes

Beneficios:

Flexibilidad horaria

Preguntas para la solicitud:

¿Dispones de coche y carnet?

Ubicación del trabajo: Empleo presencial",Lleida,Todos
Assessor/a Fiscal i Comptable (Guissona),bonÀrea Agrupa,España,No especificado,16 días,"3,3","Descripció del lloc

T'agrada la fiscalitat i l'atenció al client? A bonÀrea Assessora busquem una persona dinàmica i amb ganes de créixer per incorporar-se al nostre equip com a Assessor/a Fiscal i Comptable. Si tens formació i experiència en l'àmbit comptable, fiscal o econòmic; i ganes de créixer professionalment en un entorn proper i col·laboratiu, aquesta és la teva oportunitat!

Funcions principals:

Gestió integral de la comptabilitat i preparació de models tributaris (IVA, IRPF, Impost de Societats,...) per a la seva presentació a l'Agència Tributària.
Anàlisi de la situació comptable i econòmica, i assessorament fiscal personalitzat a la cartera de clients assignada; resolent consultes comptables i fiscals.

Oferim:

Contracte indefinit. Incorporació immediata.
Formació contínua i suport per part de l'equip.
Bon ambient de treball i possibilitats de creixement professional.
Horari flexible i divendres intensiu.
Possibilitat de realitzar un dia de teletreball setmanal.
[+]



Formació Mínima

Grau en Administració i Direcció d'Empreses, Grau en Dret o Cicle Formatiu en Comptabilitat.

Altres requisits

Experiència mínima de 2 anys en tasques similars.
Residència pròxima a Guissona o disponibilitat per desplaçar-s'hi.
Capacitat d'organització, autonomia i orientació al client.
Valorable coneixement dels programes de gestió comptable i fiscal A3.

Incorporació

Breu.

Salari

Salari negociable en funció del perfil i experiència.",Lleida,Todos
Administrativo Contable,Seros,España,No especificado,27 días,"3,3","Se busca Administrativo Contable con experiéncia también de Recursos Humanos, para empresa del sector fruticola a jornada completa para todo el año.

Tipo de puesto: Jornada completa

Educación:

Diplomatura/Grado (Deseable)

Experiencia:

administracion y contabilidad: 4 años (Obligatorio)

Idioma:

Inglés (Obligatorio)

Ubicación del trabajo: Empleo presencial",Lleida,Todos
Director/a de Ventas (Contact Center),Ilerna,Lleida,No especificado,+ 30 d,"3,3","Descripción:

¿Eres un líder nato con alma comercial? ¡Te estamos buscando!

Quiénes somos

iLERNA es un grupo educativo dedicado a la Formación Profesional y Educación Universidad, tanto online como en presencial.

Nuestro propósito es claro: ofrecer formación de calidad para mejorar la vida de las personas y crear un impacto positivo en la sociedad. Eso significa estándares altos, metodologías vivas y una obsesión sana por hacer que cada alumno/a avance en cada etapa formativa impactando en nuestros más de 50.000 estudiantes que confían en nosotros cada año

Somos una compañía joven, tecnológica y con espíritu emprendedor; donde la creatividad no estorba, sino que impulsa.

Además, contamos con el fondo de inversión internacional (Jacobs Capital) que nos acompaña en nuestro plan de crecimiento. Vamos rápido, pero vamos juntos.

¿Qué nos hace especiales?

Expansión que abre camino: estamos en plena etapa de crecimiento y profesionalización, ofreciendo proyectos estratégicos, decisiones de impacto y la oportunidad de dejar tu huella impulsando lo que está por venir.
Aquí tu voz importa: en iLERNA, la experiencia se escucha y se valora; con jerarquía plana y comunicación fluida, tus ideas e influencia tienen un impacto directo.
Protagonismo y desarrollo: buscamos personas que quieran liderar, transformar y elevar el nivel, impulsar iniciativas y ver resultados tangibles.
Expertise que impulsa: tu conocimiento no solo suma, sino que acelera: podrás diseñar, mejorar y liderar proyectos junto a equipos colaborativos en un entorno que valora el criterio experto.
Propósito real: en iLERNA cada decisión impacta en miles de personas que buscan transformar su trayectoria vital. Contribuir aquí significa dejar un legado: profesional, humano y educativo.

No todo va a ser dar, también necesitamos de tí

Impulsarás un equipo comercial de alto rendimiento, orientado a resultados y con foco en la captación y fidelización de alumnos en formación online.
Diseñarás e implementarás planes de desarrollo comercial, combinando formación, coaching y seguimiento personalizado para potenciar el talento del equipo.
Garantizarás una experiencia de venta excelente, supervisando el seguimiento de leads y asegurando una atención cercana, eficaz y diferencial.
Optimizarás procesos y herramientas de venta, para escalar resultados y mejorar la eficiencia operativa.
Convertirás datos en decisiones, analizando KPIs clave para anticiparse, corregir y acelerar el crecimiento comercial.
Alinearás estrategia comercial y marketing, coordinando acciones para generar leads cualificados y mejorar la conversión.
Gestionarás recursos con visión de negocio, maximizando el retorno de inversión y asegurando un uso eficiente del presupuesto.
Construirás una cultura de equipo sólida, basada en la colaboración, la ambición compartida y la orientación a objetivos.

¿Qué te hace especial?

Experiencia sólida en dirección y gestión de equipos comerciales, especialmente en entornos de venta telefónica y digital.
Experiencia previa en gestión de call centers con al menos 20 personas a cargo.
Formación universitaria en Administración de Empresas, Ingeniería, Economía o titulaciones afines.
Se valorará formación complementaria como Máster en Dirección Comercial y/o Ventas.
Habilidades demostradas en coaching, liderazgo y desarrollo de equipos.
Perfil con fuerte orientación a resultados, capacidad analítica y visión estratégica.

Qué herramientas nos gustaría que supieras utilizar:

Conocimiento avanzado de CRM, preferiblemente Zoho.
Dominio de herramientas de reporting como Excel, Power BI, Looker, entre otras.
Familiaridad con entornos digitales y sistemas de gestión comercial.

¿Qué te ofrecemos?



Contrato Indefinido.
Flexibilidad horaria: Entrada de 8h-9:30h y salida de 17h-18:30h (1 hora descanso), viernes intensivo de 8h a 15h.
Retribución flexible: ticket restaurante, ticket transporte, formación y cheque guardería.
Impulsa tu desarrollo profesional con descuentos en toda nuestra oferta formativa: cursos, FP, grados y másteres.
Formarás parte de una organización en expansión, con propósito y con un fuerte impacto social.

Haz que tu talento marque la diferencia. ¡Queremos conocerte! #makeithappen",Lleida,Todos
Controller,Ilerna,Lleida,No especificado,+ 30 d,"3,3","Descripción:

¿Te apasiona transformar datos en decisiones que marcan diferencia? Si te motiva aportar valor en un entorno dinámico y crecer junto a un equipo que apuesta por la excelencia, ¡esta oportunidad es para ti!

¿Quiénes somos?

iLERNA es un grupo educativo dedicado a la Formación Profesional y Educación Universidad, tanto online como en presencial.

Nuestro propósito es claro: ofrecer formación de calidad para mejorar la vida de las personas y crear un impacto positivo en la sociedad. Eso significa estándares altos, metodologías vivas y una obsesión sana por hacer que cada alumno/a avance en cada etapa formativa impactando en nuestros más de 50.000 estudiantes que confían en nosotros cada año.

Somos una compañía joven, tecnológica y con espíritu emprendedor; donde la creatividad no estorba, sino que impulsa.

Además, contamos con el fondo de inversión internacional (Jacobs Capital) que nos acompaña en nuestro plan de crecimiento. Vamos rápido, pero vamos juntos.

Actualmente buscamos un/a Controller con iniciativa y ganas de impulsar la eficiencia en procesos financieros.

¿Qué nos hace especiales?



Expansión que abre camino: estamos en plena etapa de crecimiento y profesionalización, ofreciendo proyectos estratégicos, decisiones de impacto y la oportunidad de dejar tu huella impulsando lo que está por venir.
Aquí tu voz importa: en iLERNA, la experiencia se escucha y se valora; con jerarquía plana y comunicación fluida, tus ideas e influencia tienen un impacto directo.
Protagonismo y desarrollo: buscamos personas que quieran liderar, transformar y elevar el nivel, impulsar iniciativas y ver resultados tangibles.
Expertise que impulsa: tu conocimiento no solo suma, sino que acelera: podrás diseñar, mejorar y liderar proyectos junto a equipos colaborativos en un entorno que valora el criterio experto.
Propósito real: en iLERNA cada decisión impacta en miles de personas que buscan transformar su trayectoria vital. Contribuir aquí significa dejar un legado: profesional, humano y educativo.

No todo va a ser dar, también necesitamos de ti

Participarás activamente en el proyecto de integración de la Universidad Isabel I en iLERNA desde el área de controlling, colaborando en la armonización de procesos financieros, reporting y control presupuestario.
Convertirás datos financieros en información estratégica, elaborando informes que apoyen la toma de decisiones clave durante la fase de integración y en el negocio recurrente.
Garantizarás la fiabilidad de los datos económicos, revisando registros contables y preparando documentación para cierres mensuales y reportes de resultados.
Darás visibilidad al rendimiento del negocio, actualizando dashboards y KPIs con herramientas como Excel o Qlik/BI.
Impulsarás la eficiencia operativa participando en la mejora e implementación de procesos financieros y de control interno.
Anticiparás el futuro, preparando y actualizando previsiones de flujo de caja para una planificación financiera sólida.

¿Qué te hace especial?

Formación en ADE, Económicas o similar, porque tu conocimiento será la base para que todo funcione.
Dominio experto de Excel, para convertir datos en insights que marquen la diferencia.
Conocimientos en programas contables (preferible Sage) y BI en Qlik, para dar visibilidad y potenciar la eficiencia.
Actitud proactiva y compromiso, porque buscamos a alguien que no solo haga, sino que lidere mejoras y deje huella.

¿Qué te ofrecemos?

Contrato Indefinido.
Retribución flexible: disfruta de beneficios como ticket restaurante, ticket transporte, formación continua y cheque guardería.
Impulsa tu desarrollo profesional con descuentos en toda nuestra oferta formativa: cursos, FP, grados y másteres.
Formarás parte de una organización en expansión, con propósito y con un fuerte impacto social.

Si crees que puedes llevar la gestión financiera a otro nivel, este es tu reto. #makeithappen",Lleida,Todos
Gestor/a telefónico/a ventas - sector educativo,Ilerna,Lleida,No especificado,10 días,"3,3","Descripción:

¡Sé quien conecta a nuestro futuro alumnado con su próxima aventura educativa!

¿Quiénes somos?

iLERNA es un grupo educativo dedicado a la Formación Profesional y Educación Universidad, tanto online como en presencial.

Nuestro propósito es claro: ofrecer formación de calidad para mejorar la vida de las personas y crear un impacto positivo en la sociedad. Eso significa estándares altos, metodologías vivas y una obsesión sana por hacer que cada alumno/a avance en cada etapa formativa impactando en nuestros más de 50.000 estudiantes que confían en nosotros cada año.

Somos una compañía joven, tecnológica y con espíritu emprendedor; donde la creatividad no estorba, sino que impulsa.

Además, contamos con el fondo de inversión internacional (Jacobs Capital) que nos acompaña en nuestro plan de crecimiento. Vamos rápido, pero vamos juntos.





¿Qué nos hace especiales?

Crece desde el primer día: estamos en una fase de crecimiento y profesionalización que te permitirá aprender, aportar y participar en proyectos con impacto real desde el primer día.

Un equipo que te impulsa de verdad: trabajamos con jerarquía plana y comunicación cercana, facilitando la colaboración directa con perfiles expertos y managers accesibles

Aprender haciendo: participarás en proyectos retadores que fomentan la autonomía, la propuesta de ideas y el aprendizaje continuo a través de la práctica.

Evoluciona sin parar: el cambio es parte del ADN de iLERNA: nuevos proyectos, mejoras constantes y muchas oportunidades para desarrollarte.

Crece con propósito: en iLERNA, tu trabajo tiene un impacto real, ya que contribuye directamente a transformar el futuro educativo y profesional de miles de personas.





¿Qué harás en tu día a día?

Gestionarás llamadas con cercanía, transmitiendo nuestra oferta formativa de manera atractiva y haciendo que cada alumno sienta que su desarrollo profesional empieza contigo.
Detectarás las necesidades de crecimiento profesional y ofrecer soluciones rápidas y comprometidas que conecten al estudiante con la formación que hará brillar su futuro.
Concertarás y confirmarás visitas en los centros presenciales, asegurando una correcta derivación del lead.
Registrarás y actualizarás la información en el CRM, garantizando un seguimiento coordinado con el equipo del centro.


¿Qué te hace especial?

Experiencia sólida en gestión telefónica.
Dominio avanzado de Microsoft Office (Word, Excel, PowerPoint) y otras herramientas digitales de productividad.
Capacidad para comunicarte con claridad y trabajar en equipo.
Actitud proactiva y curiosa, orientada a soluciones, con ganas de aportar ideas y mejorar procesos.
Comodidad en entornos dinámicos y en crecimiento.


¿Qué te ofrecemos?

Formar parte de un proyecto educativo en expansión real.
Libertad para aportar, crear y proponer.
Un entorno humano, colaborativo y cercano.
Salario base + comisiones.
Beneficios: club de descuentos para trabajadores/as, descuentos en formación para empleados y familiares en Formación Profesional y estudios universitarios y másteres.

Si te motiva acompañar a las personas en momentos clave de su desarrollo profesional y quieres formar parte de un proyecto educativo con impacto real, ¡este es tu lugar!

#makeithappen",Lleida,Todos
