Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Oficial de Peluquería Jean Louis David Logroño,Provalliance,España,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"4,7","PELUQUERA/O PROVALLIANCE - JEAN LOUIS DAVID LOGROÑO

Buscamos peluqueros/a que quieran impulsar su carrera dentro de una marca reconocida en el sector de la belleza.

Ofrecemos un entorno de trabajo colaborativo, donde podrás aprender, mejorar tus habilidades y formar parte de un equipo que valora la creatividad y la dedicación.

Que necesitamos de ti

· Brindar asesoramiento personalizado a los clientes.

· Realizar cortes, aplicar técnicas de coloración, peinados, tratamientos capilares, adaptados al estilo y preferencias del cliente.

· Colaborar con el equipo para mantener un espacio agradable y cuidado, contribuyendo a la experiencia del cliente.

Que te ofrecemos

· Contrato estable con salario fijo y bonos por rendimiento.

· Formación continua en la Universidad Provalliance para que sigas mejorando día a día.

· Oportunidades de crecimiento con un plan de carrera adaptado a tus metas profesionales.

Tienes ganas de formar parte de un equipo dinámico y con muchas oportunidades para crecer, queremos conocerte. Envíanos tu CV

En Jean Louis David, apostamos por la igualdad de oportunidades y la no discriminación en todos nuestros procesos de selección. Valoramos la diversidad y fomentamos un entorno inclusivo, donde todas las personas puedan desarrollarse profesionalmente con independencia de su género, edad, origen, orientación sexual, identidad de género, religión o cualquier otra condición personal o social.
#PROVALLIANCE1

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.300,00€-1.500,00€ al mes

Beneficios:

Opción a contrato indefinido
Programa de formación
Uniforme proporcionado

Experiencia:

Técnicas de peluquería: 2 años (Obligatorio)",Logroño,Todos
Técnico/a de atención al cliente- Servicio técnico,Grupo Nortempo,España,2 mil € (Proporcionado por la empresa),9 días,"4,7","Empresa del sector industrial dedicada a la fabricación artesanal de butacas busca incorporar un/a Técnico/a de Atención al Cliente – Servicio Técnico para su sede en el Polígono La Portalada en Logroño.

Se trata de un puesto dinámico que combina viajes por España para realizar reparaciones en casa del cliente con trabajo como operario/a en la nave de Logroño cuando no haya desplazamientos.

La persona seleccionada organizará los viajes agrupando los días de intervención fuera y el resto del tiempo desarrollará tareas internas en la empresa.

Funciones

Atención directa al cliente en su domicilio a nivel nacional.
Diagnóstico y reparación de incidencias.
Montaje y desmontaje de producto.
Reparaciones manuales: tapizado, cosido, ajustes y arreglo de pequeños fallos.
Resolución de problemas técnicos in situ.
Cuando no haya viajes: tareas de operario/a en la nave (apoyo en producción, montaje y preparación).

Perfil que buscamos

Persona “manitas”, resolutiva y con habilidades manuales.
Experiencia o conocimientos en montaje, tapizado, cosido o trabajos similares.
Don de gentes y buena atención al cliente.
Capacidad de organización y autonomía.
Disponibilidad para viajar por España (imprescindible).
Carné de conducir.

Ofrecemos

Contrato inicial de 3 meses por ETT y posterior incorporación a la empresa.
Trabajo variado y dinámico.
Formación inicial a cargo de la empresa.
Buen ambiente de trabajo.
Salario 1700-1900/mes.

Si eres una persona práctica, con buena actitud y te gusta combinar trabajo técnico con trato al cliente y viajes, ¡te estamos buscando!


Requisitos

Disponibilidad para viajar

Se ofrece

Contrato inicial de 3 meses por ETT con posterior incorporación a la empresa.
Requisitos

Disponibilidad para viajar

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Contrato inicial de 3 meses por ETT con posterior incorporación a la empresa.",Logroño,Todos
Médico/a Neumólogo/a,Air Liquide,España,No especificado,+ 30 d,"4,7","At Air Liquide Healthcare Iberia, we are specialists in the manufacture and comercialization of medical and healthcare gases. We manufacture and supply medical gases; we develop, install, maintain equipment and propose essential solutions for their proper use.



We work with the highest safety standards in all our processes to ensure the proper use and handling of our gases, services and equipment at all times. In addition, we have a large team of experts and professionals who have an in-depth knowledge of our customers' needs.






How will you CONTRIBUTE and GROW?



La candidatura tendrá como misión principal promover y preservar el bienestar y la salud de los pacientes mediante el seguimiento y desarrollo de las funciones propias de su profesión en la atención al paciente con tratamiento de terapias respiratorias a domicilio, coordinándose con la persona Responsable Asistencial de la Delegación.





Ligada esta misión nuestro/a médico/a especializado en neumología deberá cubrir las siguientes tareas:

Garantizar la máxima calidad de procesos asistenciales, de acuerdo con los procedimientos estandarizados de VitalAire.

Promover la protección y promoción de la salud mediante el desarrollo de planes interdepartamentales en coordinación con la persona Responsable Asistencial de la Delegación.

Valorar la introducción de nuevas tecnologías y proponer programas científicos o de investigación.

Aportar soluciones innovadoras en el marco de las terapias respiratorias en beneficio de los pacientes y de la mejora de su calidad de vida.

Garantizar la implementación de los programas de educación sanitaria para el personal asistencial, para pacientes, cuidadores y familiares.

Coordinar con los servicios de neumología nuevos procesos de seguimiento de las terapias respiratorias domiciliarias.

Evaluar los conocimientos, habilidades y actitudes del personal asistencial, promoviendo la mejora continua de la calidad de vida de los pacientes.

Colaborar con las líneas de investigación clínica y epidemiológica que determinen el personal responsable hospitalario y con los programas de rehabilitación, educación sanitaria y prevención de enfermedades respiratorias. Seguimiento del paciente frágil ventilado, en coordinación con el personal Responsable Nacional Asistencial y los/as Responsables Asistenciales Referentes.





Are you a MATCH?





Los requisitos para cubrir esta posición han de ser:

Titulación en Medicina completada con un periodo de prácticas o experiencia profesional
Especialización en el ámbito respiratorio /neumología
Persona proactiva con ganas de proponer y con capacidad de trabajo autónomo

Preferencia Jornada completa pero se tendran en cuenta candidaturas que solo tengan disponibilidad a TIEMPO PARCIAL.





Our Differences make our Performance

At Air Liquide, we are committed to build a diverse and inclusive workplace that embraces the diversity of our employees, our customers, patients, community stakeholders and cultures across the world.

We welcome and consider applications from all qualified applicants, regardless of their background. We strongly believe a diverse organization opens up opportunities for people to express their talent, both individually and collectively and it helps foster our ability to innovate by living our fundamentals, acting for our success and creating an engaging environment in a changing world.",Logroño,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),24 días,"4,7","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Logroño, La Rioja provincia (Logroño)",Logroño,Todos
MONTADOR ESCENOGRAFÍA / ESTRUCTURAS (EVENTOS),CONEJO LOCO WORLD S.L.,España,No especificado,11 días,"4,7","Buscamos incorporar montadores de escenografía y estructuras para reforzar el equipo técnico en eventos y producciones de gran formato.

El puesto está orientado a trabajos de montaje y desmontaje durante eventos, que habitualmente se desarrollan entre jueves y domingo, participando en producciones nacionales e internacionales. El trabajo requiere disponibilidad para desplazamientos, capacidad física y experiencia previa en entornos técnicos o de montaje.

Funciones principales

Montaje y desmontaje de estructuras escenográficas.
Carga y descarga de material técnico.
Preparación y organización del material antes y después del evento.
Apoyo en tareas técnicas relacionadas con estructuras y montaje.
Desplazamientos nacionales e internacionales según planificación de eventos.

Requisitos

Experiencia previa en montaje, obra, estructuras o trabajos técnicos similares.
Valorable experiencia en soldadura y trabajos metálicos.
Manejo de herramientas eléctricas y manuales.
Experiencia en montajes de eventos o festivales (valorada).
Capacidad de trabajo en equipo y buena condición física.
Disponibilidad para viajar y trabajar durante periodos de producción (habitualmente de jueves a domingo).

Condiciones

Trabajo por evento.
Remuneración por día trabajado.
Dietas y desplazamientos cubiertos según producción.
Participación en eventos nacionales e internacionales.
Posibilidad de continuidad y crecimiento dentro del equipo según desempeño.

Tipo de puesto: Contrato temporal
Duración del contrato: 6 meses

Sueldo: 120,00€-180,00€ al día

Beneficios:

Eventos de la empresa
Opción a contrato indefinido
Pago de kilometraje

Ubicación del trabajo: Viajes periódicos",Logroño,Todos
Jefe/a de obra,Grupo Nortempo,España,2 mil € (Proporcionado por la empresa),14 días,"4,7","¿Tienes experiencia en obra y coordinación de cuadrillas?

Empresa del sector construcción busca Jefe/a de Obra con perfil de Oficial de 1ª que quiera asumir mayores responsabilidades y crecer profesionalmente dentro de la empresa.


Funciones principales

Organización y planificación del trabajo diario en obra.
Supervisión y coordinación de peones y oficiales.
Control de ejecución, calidad y cumplimiento de plazos.
Gestión y organización del transporte de materiales a obra.
Apoyo en la gestión administrativa básica relacionada con la obra.
Coordinación con gerencia y proveedores.
Cumplimiento de la normativa de prevención de riesgos laborales.

Requisitos

Experiencia demostrable en trabajos de obra: albañilería, alicatado, reformas, etc.
Experiencia previa coordinando cuadrillas o equipos de trabajo.
Perfil de Oficial de 1ª con capacidad para asumir responsabilidades.
Carné de conducir.
Disponibilidad para viajar y trabajar en distintas ubicaciones.
Alta capacidad de organización y gestión del tiempo.
Persona resolutiva, responsable y con iniciativa.

Se ofrece

Contrato de 3 meses por ETT con posterior incorporación a la empresa.
Salario de 2000€ netos/mes.
Buen ambiente de trabajo.
Posibilidad de desarrollo profesional dentro de la empresa.

Ofrecemos también

Coche de empresa
Teléfono de empresa
Dietas


Da el siguiente impulso a tu trayectoria profesional. Inscríbete y te informamos de todos los detalles!


Requisitos


- Experiencia coordinando equipos de trabajo - Carné de conducir y disponibilidad para viajar


Se ofrece

Contrato de 3 meses por ETT con posterior incorporación a la empresa
Requisitos

Experiencia coordinando equipos de trabajo
Carné de conducir y disponibilidad para viajar

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Contrato de 3 meses por ETT con posterior incorporación a la empresa",Logroño,Todos
Técnico de camiones Vitoria - Gasteiz Alava,DAF,España,No especificado,+ 30 d,"4,7","Técnico de camiones

¿Has trabajado como mecánico, técnico automotriz o incluso como mecánico de coches (o simplemente estás listo para un nuevo reto)? En DAF, damos la bienvenida a profesionales con una mentalidad técnica que quieran desarrollarse como técnico de camiones. Tener experiencia como mecánico de coches o técnico automotriz puede ser una gran base, pero lo que más importa es tu pasión por los camiones.

¿Estás ""Hecho para DAF""?

Perfecto, porque justo estamos buscando talento. En un concesionario DAF, trabajarás con camiones líderes del mercado para devolverlos a la carretera lo más rápido posible cuando requieran un mantenimiento y utilizarás los sistemas de taller más avanzados en vehículos equipados con tecnología de vanguardia. Si te gusta asumir responsabilidades, te invitamos a formar parte de un gran equipo en el concesionario DAF.

En función de tus conocimientos y experiencia actuales, y adaptado a los requisitos específicos del puesto, esto es lo que puedes esperar en tu trabajo diario:

Serás responsable de realizar diagnósticos rápidos y precisos utilizando herramientas de diagnóstico.
Trabajarás de forma independiente para realizar las tareas de mantenimiento y reparación de los vehículos y componentes DAF.
Realizarás diversas inspecciones (ITV, tacógrafo, etc.).
Ayudarás y asesorarás diariamente a los técnicos menos experimentados.
Realizarás las comprobaciones finales de los trabajos completados.

Esto es lo que estamos buscando:

Gente motivada para trabajar con camiones, ya sea en el taller o utilizando equipos de diagnóstico.
Gente motivada para desarrollar sus habilidades técnicas, como reparaciones de motores o solución de problemas eléctricos.
Gente motivada para aprender sobre la instalación de accesorios y la preparación de vehículos para la entrega.
Gente orgullosa de su trabajo, con una auténtica pasión por mantener los vehículos en las mejores condiciones.
Gente deseosa de mantener y ampliar sus conocimientos actualizados con los avances del sector.
Gente con una actitud positiva y entusiasmo por trabajar en equipo.
Valoramos la experiencia previa como mecánico de camiones, pero también damos la bienvenida a nuevos entusiastas.

¿Está DAF hecho para ti?

Esto es lo que garantizamos:

Responsabilidad individual y libertad de acción.
Salario competitivo y beneficios adicionales.
Muchas oportunidades de formación y posibilidades de promoción.

¿Estás hecho para DAF? Rellena el formulario que encontrarás en nuestro sitio web.",Logroño,Todos
Mecanico SAT aparatos elevación,Talent2time,España,28 mil € - 36 mil € (Proporcionado por la empresa),8 días,"4,7","Oferta de empleo: Mecánico/a SAT de Carretillas Elevadoras

Talent2Time, para una importante compañía francesa líder en el sector de maquinaria industrial y con presencia en todo el territorio nacional, con mas de 500 empleados en España, selecciona un/a Técnico/a Mecánico/a de Carretillas Elevadoras para incorporarse a su Servicio de Asistencia Técnica (SAT)

Funciones

Realizar mantenimientos preventivos de carretillas elevadoras (térmicas y eléctricas).
Llevar a cabo diagnóstico y reparación de averías mecánicas, eléctricas, hidráulicas y electrónicas.
Atención de servicios en ruta en las instalaciones de clientes asignados.
Uso de herramientas de diagnosis y software técnico del fabricante.
Elaboración de partes de trabajo y reporte de intervenciones en el sistema.
Asesoramiento técnico al cliente y comunicación sobre el estado de la maquinaria.
Cumplimiento de los protocolos de seguridad y calidad establecidos.

Requisitos

Experiencia previa como mecánico/a de maquinaria industrial, carretillas elevadoras, automoción, agrícola o similar.
Conocimientos de mecánica, electricidad, hidráulica y motores térmicos.
Valorable experiencia con maquinaria eléctrica y equipos de diagnóstico.
Carné de conducir B.
Orientación al cliente, autonomía y responsabilidad.

Se ofrece

Contrato indefinido con incorporación estable.

Horario de 8-17.30 ( 1 hora comida) viernes de 8-13.30 pm

Retribución competitiva y negociable según experiencia.

Dietas

Furgoneta de empresa, herramientas y dispositivo móvil.

Variable ligado a presupuestos de un 3%

Formación continua en equipos térmicos y eléctricos.

Furgoneta empresa

Tipo de puesto: Jornada completa

Tipo de puesto: Jornada completa

Sueldo: 28.000,00€-36.000,00€ al año

Beneficios:

Seguro médico privado

Experiencia:

mecánica : 2 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Logroño,Todos
Asesor/a Laboral,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"4,7","Buscamos, para un Despacho Profesional consolidado, un/a Asesor/a Laboral con experiencia demostrable en la gestión integral de nóminas y seguridad social para una cartera de clientes (Pymes y Autónomos).

Si tiene un conocimiento profundo del Derecho Laboral y la Negociación Colectiva, y domina las plataformas oficiales (Sistema RED, SILTRA), le invitamos a formar parte de nuestro equipo.

Funciones Clave: Dominio Integral de la Gestión de Personal

El/La Asesor/a Laboral será el/la profesional de referencia para los clientes en todo lo relativo a recursos humanos y normativa sociolaboral:

Confección de Nóminas y Seguros Sociales:
Cálculo y elaboración mensual de nóminas, pagas extras y liquidaciones (finiquitos).
Preparación y presentación de los seguros sociales a través del Sistema RED y SILTRA.
Contratación y Trámites Oficiales:
Redacción y gestión de todo tipo de contratos de trabajo, prórrogas y variaciones contractuales.
Gestión de altas, bajas, variaciones de datos y partes de IT (Incapacidad Temporal) ante la Seguridad Social.
Preparación de los modelos de retenciones (Modelo 111 y 190).
Asesoramiento Estratégico:
Resolución de consultas diarias de los clientes sobre convenios colectivos, jornada laboral, licencias y permisos.
Asistencia en inspecciones de trabajo y gestión de expedientes de regulación de empleo (ERTE/ERE).
Mantenimiento actualizado de los expedientes de personal de la cartera asignada.

Requisitos Indispensables del Perfil

Experiencia: Mínimo 3-5 años de experiencia reciente y demostrable como Asesor/a Laboral o Graduado Social en un Despacho o Asesoría.
Formación: Titulación universitaria en Relaciones Laborales y Recursos Humanos (Graduado/a Social), Derecho o similar.
Conocimiento Legal: Dominio avanzado de la legislación laboral española vigente, incluyendo convenios colectivos de aplicación frecuente (ej. sector metal, comercio, oficinas y despachos).
Herramientas: Dominio experto de Software de Nóminas (ej. A3nom, Nominasol, Sage) y manejo fluido de las plataformas de la Seguridad Social (Sistema RED, SILTRA, Contrat@).
Habilidades: Capacidad organizativa para la gestión de plazos fijos (cierres de nómina), atención al detalle y excelente trato con el cliente.

Condiciones de la Contratación

Contrato: Puesto estable con Contrato Indefinido (contrato indefinido).
Desarrollo: Integración en un equipo especializado con apoyo para el desarrollo profesional continuo en materia de legislación.
Remuneración: Salario competitivo, acorde a la experiencia técnica en asesoría laboral.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Vitoria-Gasteiz, Álava provincia (Vitoria-Gasteiz)",Logroño,Todos
Cocinero,Grupo Tudanca,España,21 mil € (Proporcionado por la empresa),22 días,"4,7","Buscamos un cocinero con experiencia

Cuyas tareas serían:

-Preparación de las comandas bajo la dirección del jefe de cocina.

-Realizar de manera cualifica, autónoma y responsable, la preparación, aderezo y presentación de platos utilizando las técnicas más idóneas.

-Colaborar en los pedidos y conservación de materias primas y productos de uso en la cocina.

-Preparar, cocinar y presentar los productos de uso culinario.

-Revisar y controlar el material de uso en la cocina, comunicando cualquier incidencia al respecto.

-Controlar y cuidar de la conservación y aprovechamiento de los productos puestos a su disposición

Imprescindible:
Habilidades comunicativas.

Valorable:
Conocimientos sólidos en el sector (cartas de vino, conocimiento de menús, protocolos...).

Tipo de puesto: Jornada completa

Sueldo: A partir de 21.000,00€ al año

Ubicación del trabajo: Empleo presencial",Logroño,Todos
