Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Técnico/a mantenimiento,Grupo Nortempo,Sarría,18 mil € - 25 mil € (Proporcionado por la empresa),+ 30 d,"3,4","¿Acabas de terminar tus estudios en Robótica, Automatización o Mecatrónica?

¿Te gustaría arrancar tu carrera profesional en una empresa que combina tecnología de vanguardia con el mundo rural?

En Grupo Nortempo buscamos a jóvenes talentos con vocación técnica, para incorporarse al equipo de una empresa líder en distribución e instalación de robots para el sector ganadero en Galicia.


Formarás parte del equipo técnico de mantenimiento, recorriendo la provincia de Lugo y zonas cercanas para realizar mantenimientos preventivos y correctivos de robots de ordeño y alimentación.

No estarás solo: contarás con el apoyo continuo de técnicos sénior, aprendiendo a diagnosticar y resolver averías eléctricas, electromecánicas y de robótica en campo. Esta experiencia será tu mejor escuela práctica.


Requisitos


- Formación finalizada en Robótica, Automatización, Mecatrónica, Electricidad o Electromecánica. - Ganas reales de aprender y desarrollarte como técnico/a especializado/a. - Carnet de conducir y disponibilidad para moverte por la provincia. - Disponibilidad para participar en guardias planificadas (una semana al mes).


Se ofrece


- Contrato estable en una empresa en plena expansión, referente en su sector. - Plan de carrera con formación técnica específica y acompañamiento de profesionales experimentados. - Paquete retributivo competitivo, compuesto de fijo + variable. - Furgoneta de empresa, móvil y portátil, con posibilidad de salir directamente desde tu domicilio hacia los clientes. - Horario de lunes a viernes de 08:30 a 17:30 o de 9:00 a 18:00, con guardias rotativas mensuales.

Requisitos

Formación finalizada en Robótica, Automatización, Mecatrónica, Electricidad o Electromecánica.
Ganas reales de aprender y desarrollarte como técnico/a especializado/a.
Carnet de conducir y disponibilidad para moverte por la provincia.
Disponibilidad para participar en guardias planificadas (una semana al mes).

Estudios mínimos Máster
Experiencia mínima No Requerida
Se Ofrece

Contrato estable en una empresa en plena expansión, referente en su sector.
Plan de carrera con formación técnica específica y acompañamiento de profesionales experimentados.
Paquete retributivo competitivo, compuesto de fijo + variable.
Furgoneta de empresa, móvil y portátil, con posibilidad de salir directamente desde tu domicilio hacia los clientes.
Horario de lunes a viernes de 08:30 a 17:30 o de 9:00 a 18:00, con guardias rotativas mensuales.",Lugo,Todos
Conductor/ Chofer de tráiler,Sande Bouza SL,España,2 mil € - 4 mil € (Proporcionado por la empresa),+ 30 d,"3,4","CONDUCTOR DE TRAILER NECESARIA EXPERIENCIA Y CARNET C+E

Tipo de puesto: Jornada completa

Sueldo: 2.000,00€-4.000,00€ al mes

Licencia/Certificación:

LICENCIA C+E, TACÓGRAFO Y TARJETA CAP (Obligatorio)

Ubicación del trabajo: Empleo presencial",Lugo,Todos
Asesor/a Contable,Kolibri Consulting,Lugo,22 mil € - 28 mil € (Proporcionado por la empresa),24 días,"3,4","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Lugo, Lugo provincia (Lugo)",Lugo,Todos
Soldador/a,Grupo Nortempo,Lugo,"12,00 € - 14,00 € Por hora (Proporcionado por la empresa)",13 días,"3,4","Desde Nortempo buscamos soldador/a para importante empresa en la provincia de Lugo.

Si tienes experiencia como soldador/a y te gusta ese trabajo este es el lugar perfecto para desarrollar tu potencial.


Ofrecemos un puesto estable, a jornada completa, con posibilidad de quedarse.


Si tienes experiencia en este ámbito y te interesa el trabajo, no dudes en inscribirte.


Requisitos


- Experiencia demostrable como soldador/a - Disponibilidad inmediata - Ganas de desarrollarse y crecer profesionalmente en este ámbito


Se ofrece


- Contrato inicial por ETT, con posibilidad de pasar a plantilla. - Jornada completa, de lunes a viernes. - Buenas condiciones laborales.

Requisitos

Experiencia demostrable como soldador/a
Disponibilidad inmediata
Ganas de desarrollarse y crecer profesionalmente en este ámbito

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Contrato inicial por ETT, con posibilidad de pasar a plantilla.
Jornada completa, de lunes a viernes.
Buenas condiciones laborales.",Lugo,Todos
Monitor/a de Ocio y Tiempo Libre – Lugo,Proyectos y Servicios Galaica Norte,Lugo,No especificado,21 días,"3,4","Buscamos monitoras/es de tiempo libre para la realización de actividades educativas y lúdicas en diferentes centros escolares de la zona de Lugo.

La persona seleccionada se encargará de dinamizar actividades adaptadas a alumnado infantil, fomentando el aprendizaje, la participación y el juego en un entorno seguro y educativo.

Condiciones:

Zona: Lugo
Jornada parcial por las mañanas
Contrato temporal: de marzo a julio (aprox.)
Actividades en diferentes escuelas de la zona

Requisitos:

Titulación de Monitor/a de Tiempo Libre
Carnet de conducir y coche propio (imprescindible)
Disponibilidad en el horario indicado
Experiencia previa con niños/as (valorable)
Responsabilidad, dinamismo y habilidades comunicativas

Se ofrece:

Incorporación a un proyecto educativo dinámico
Buen ambiente de trabajo
Posibilidad de adquirir experiencia en distintos centros escolares

Tipo de puesto: Media jornada, Contrato temporal

Ubicación del trabajo: Empleo presencial",Lugo,Todos
Empleados administrativos,Domestiko,Burela,No especificado,+ 30 d,"3,4","Se busca personal administrativo con formación de Ciclo Medio en Gestión Administrativa y un mínimo de seis meses de experiencia previa en puestos similares. Es indispensable contar con carnet de conducir tipo B.

Se valorarán conocimientos de informática que se ajusten a las necesidades del puesto de trabajo. El contrato ofrecido es indefinido, con una jornada inicial parcial que podría ampliarse a jornada completa. Dada la naturaleza del puesto, existe la posibilidad de trabajar en horario nocturno.",Lugo,Todos
Dependiente de panadería,Domestiko,Viveiro,No especificado,+ 30 d,"3,4","Se busca un dependiente para un puesto en una panadería. El contrato ofrecido es indefinido, con una jornada parcial que abarca las mañanas, sumando un total de 32 horas semanales de trabajo.

Es imprescindible que los candidatos dispongan del permiso de conducir tipo B. Para que la candidatura pueda ser considerada por la empresa, todos los requisitos mínimos solicitados deben estar claramente indicados en la demanda de empleo de la persona interesada.",Lugo,Todos
Ayudante de panaderia,Domestiko,España,No especificado,+ 30 d,"3,4","Se busca ayudante de panadería para unirse a nuestro equipo en Friol (Lugo). Se ofrece un contrato temporal que, con buen desempeño, podría convertirse en indefinido. La incorporación sería inmediata.

Se requiere jornada completa, aunque existe la posibilidad de una jornada parcial. Las opciones de horario son variadas: una jornada podría ser de martes a viernes, con turnos de 8:00 a 14:00 o de 9:00 a 15:00, y los sábados de 8:00 a 13:00 o de 15:00 a 21:00, teniendo libranza los domingos y lunes. Otra opción de jornada implicaría trabajar únicamente los viernes y sábados.

Es imprescindible contar con permiso de conducir.",Lugo,Todos
Recepcionistas de hotel,Domestiko,Viveiro,No especificado,+ 30 d,"3,4","Se busca recepcionista-conserje para trabajar en Viveiro (Lugo). El contrato será de seis meses de duración, con una jornada parcial de 20 horas semanales.

Los requisitos para el puesto incluyen tener la titulación de Educación Secundaria Obligatoria (ESO), un nivel medio de inglés y conocimientos básicos de informática. También se requiere que las personas interesadas dispongan del carné de conducir tipo B.

Es importante que estos requisitos estén debidamente reflejados en la demanda de empleo de los candidatos para que su currículum pueda ser enviado a la empresa contratante.",Lugo,Todos
Dependientes de muebles y artículos de decoración,Domestiko,Lugo,No especificado,+ 30 d,"3,4","Puesto de trabajo como dependiente de muebles y artículos de decoración en Lugo. Se requiere experiencia previa de al menos seis meses en puestos similares y disponibilidad de carnet de conducir tipo B.

Se valorará positivamente formación en diseño de interiores, así como experiencia específica en diseño de cocinas y baños. El contrato es indefinido a jornada parcial, con un total de 20 horas semanales. El horario se establecerá de mutuo acuerdo, pudiendo ser de mañana, de 9:30 a 13:30, o de tarde, de 16:00 a 20:00.

La posición ofrece la oportunidad de trabajar en el sector del mobiliario y la decoración, aplicando conocimientos en diseño para asesorar a los clientes en la elección de sus productos.",Lugo,Todos
Atención al cliente en entidad bancaria,Domestiko,Lugo,"12,41 € Por hora (Proporcionado por la empresa)",22 días,"3,4","Se busca persona para atención al cliente en una entidad financiera. Es una ocasión ideal para quienes desean comenzar su carrera en el sector bancario, proporcionando un ambiente de aprendizaje y desarrollo profesional.

La posición ofrece una formación inicial completa, por lo que no se necesita experiencia previa. El horario es de lunes a viernes, de 8:00 a 15:00, lo que permite un buen equilibrio entre la vida laboral y personal. El pago es de 12,41 € por hora bruta.

Quienes muestren buen desempeño tendrán la posibilidad de continuar y ser ubicados en otras sucursales, abriendo puertas a un futuro crecimiento. Podrás adquirir experiencia en las operaciones diarias de una entidad bancaria, gestionando la interacción con clientes y tareas administrativas.

Estudiantes o titulados en ADE, Derecho, Económicas, Finanzas o CFGS en Administración y Finanzas. Se valora la proactividad, el deseo de aprender, una clara orientación al cliente y la capacidad de adaptación a nuevos entornos. No es necesaria experiencia previa, ya que se proporcionará formación completa.",Lugo,Todos
Camarero/a,Domestiko,Monforte,No especificado,+ 30 d,"3,4","Se busca camarero/a para unirse a nuestro equipo.

Es fundamental que los candidatos cumplan con ciertos requisitos para el puesto. Se requiere que los aspirantes tengan menos de 30 años de edad y cuenten con un mínimo de 12 meses de experiencia previa en trabajos de hostelería. La jornada laboral ofrecida es a tiempo completo.

Se valorará la presentación de la documentación que acredite la experiencia laboral y el cumplimiento de la edad.",Lugo,Todos
Peones ganaderos,Domestiko,Vilalba,No especificado,+ 30 d,"3,4","Se buscan peones ganaderos con al menos dos meses de experiencia previa en el sector.

Es imprescindible contar con el permiso de conducir tipo B.

Esta oportunidad laboral está dirigida a personas que residan en .",Lugo,Todos
Administrativo/a,Domestiko,España,No especificado,+ 30 d,"3,4","Se busca una persona para un puesto administrativo con experiencia en el sector alimentario. Las responsabilidades principales incluirán la grabación de albaranes, la gestión de facturas, el seguimiento de cobros y la conciliación bancaria.

Además, se encargará de la elaboración de informes y de otras tareas administrativas relacionadas con el puesto. La jornada laboral será completa, de 40 horas semanales, distribuidas de lunes a viernes.

El horario será partido, comprendido entre las 08:30 y las 18:00, con los descansos legalmente establecidos.


Experiencia de al menos 1 año, en puesto similar.
Buscamos a una persona responsable y dinámica.
Valorable residencia cercana al puesto de trabajo.
Grado universitario en ADE , Economía o similar.- GM/GS en Administración y finanzas , comercio, marketing o similar.",Lugo,Todos
Animadores socioculturales,Domestiko,Ribadeo,No especificado,+ 30 d,"3,4","Se busca una persona para realizar actividades de animación sociocultural en una residencia de mayores. El puesto es para contrato indefinido con una jornada de 25 horas semanales.

El horario habitual será de lunes a viernes, de 15:00 a 20:00. Además, se trabajará un sábado al mes. En los meses en que se trabaje ese sábado, el viernes anterior y el domingo se disfrutarán de días libres.

Para poder acceder a esta posición, es necesario contar con un título de Técnico Superior en Animación Sociocultural y Turismo, un Certificado de Profesionalidad afín, o bien un curso de Animación Sociocultural o una formación similar.",Lugo,Todos
Dependientes de floristería,Domestiko,Chantada,No especificado,+ 30 d,"3,4","Puesto de dependiente para trabajar a jornada completa con contrato indefinido.

Se requiere permiso de conducir tipo B para poder desempeñar las funciones del puesto.

El trabajo se desarrollará en el sector de floristería o frutería.",Lugo,Todos
Montadores de muebles de madera o similares,Domestiko,Chantada,No especificado,+ 30 d,"3,4","Se busca profesional para puesto de montador de muebles y complementos, con un contrato indefinido. El horario ofrecido es a jornada parcial, de tarde, con una duración de 4 horas diarias.

Para optar a esta posición, es necesario contar con el título de Educación Secundaria Obligatoria (ESO) y poseer el carnet de conducir tipo B. Además, se requiere una experiencia previa demostrable de al menos 12 meses en un puesto similar.

La disponibilidad de este puesto de trabajo en Chantada está enfocada en cubrir necesidades específicas.",Lugo,Todos
Recepción,Samay Resorts,España,No especificado,+ 30 d,"3,4","Forma parte de Samay
Somos un gran equipo de profesionales de una de las empresas líder del sector en la Costa Blanca y el resto del país. Trabajamos cada día para ofrecer una gran calidad de nuestras instalaciones junto con una cuidada atención al cliente. Pertenecer a un proyecto en constante evolución y mejora genera una gran ilusión y responsabilidad en las personas que formamos parte de él.



Si disfrutas ofreciendo un servicio excepcional, te desenvuelves bien en un entorno dinámico y hablas diferentes idiomas, esta es tu oportunidad para unirte a nosotros y dejar una impresión duradera en cada persona que nos visita.",Lugo,Todos
Conductor de furgoneta,Domestiko,Monforte,No especificado,+ 30 d,"3,4","Se busca conductor de furgoneta con carnet de tipo B. La labor principal será la recogida de pan directamente en el obrador y su posterior reparto siguiendo las rutas establecidas.

Además, será responsabilidad del conductor mantener la furgoneta de reparto en perfectas condiciones de uso y funcionamiento, asegurando su óptimo estado.

Se ofrece contrato indefinido a jornada completa para esta posición.",Lugo,Todos
Auxiliar administrativo/a,Domestiko,Lugo,No especificado,+ 30 d,"3,4","Se busca auxiliar administrativo para una empresa destacada dentro de la industria general en Lugo. Las responsabilidades del puesto incluyen la gestión del control de mercancías, abarcando tanto las entradas como las salidas.

Asimismo, la persona seleccionada se encargará de la elaboración y tramitación de albaranes, así como de todo el proceso de facturación. El puesto también contemplará otras tareas administrativas habituales y necesarias para el buen funcionamiento del departamento.

Se ofrece una jornada completa de 40 horas semanales, con horarios distribuidos de lunes a sábado entre las 09:00 y las 20:00 horas, incluyendo los descansos legales estipulados.


Experiencia de al menos 1 año, en puesto similar.
Buscamos a una persona dinámica y resolutiva.
Valorable residencia cercana al puesto de trabajo.
GM/GS en administración y finanzas.",Lugo,Todos
Repartidor/a,Domestiko,Lugo,No especificado,+ 30 d,"3,4","Se busca un/a repartidor/a para una empresa en el sector alimentario en Lugo. El puesto implica realizar el reparto de mercancía siguiendo la ruta establecida, gestionar los cobros y tramitar los albaranes correspondientes. Además, se valorará la capacidad para fidelizar a los clientes y se realizarán otras tareas habituales propias de la posición.

La jornada de trabajo será completa, abarcando 40 horas semanales. El horario se distribuirá de lunes a viernes, en turno de mañana, con una franja horaria entre las 06:00 y las 14:00 horas. Se respetarán los descansos legalmente establecidos.


Experiencia previa de 1 año en puesto de trabajo igual o similar al descrito.
Buscamos a una persona proactiva y dinámica.
Valorable residencia cercana al puesto de trabajo.
ESO o equivalente finalizada.",Lugo,Todos
Mozo/a almacén para descargas,Domestiko,Lugo,No especificado,+ 30 d,"3,4","Se necesita mozo/a de almacén para realizar tareas de carga y descarga. El horario es de 20 horas semanales, de lunes a sábado, de 6:00 a 10:00 de la mañana. Esto te permitirá tener el resto del día libre para tus actividades.

Las principales funciones incluirán el manejo de apiladora y movimientos de mercancía dentro del almacén. También te encargarás de la carga y descarga de camiones, la correcta ubicación de los productos y la gestión de residuos. Se valorará la experiencia con transpaleta eléctrica, siempre que se disponga de la titulación correspondiente.

Buscamos una persona con una buena actitud, con ganas de trabajar y dispuesta a colaborar en equipo. Valoramos especialmente tu predisposición y tu capacidad para integrarte en el grupo.",Lugo,Todos
Camareros de piso,Domestiko,Viveiro,No especificado,+ 30 d,"3,4","Se busca personal para puesto de camarera de pisos en Viveiro (Lugo). El contrato tendrá una duración de seis meses.

La jornada laboral será a tiempo parcial, concretamente de tarde, con una dedicación de 20 horas semanales. Es imprescindible contar con la Educación Secundaria Obligatoria (ESO) y poseer el carné de conducir tipo B.

Estos requisitos deberán estar debidamente reflejados en tu demanda de empleo para poder tener en cuenta tu candidatura.",Lugo,Todos
Médico,Domestiko,Lugo,No especificado,+ 30 d,"3,4","Se necesita un profesional de medicina general para realizar reconocimientos médicos a empresas y pruebas psicotécnicas. La posición es a jornada completa, de lunes a viernes, en horario de 8:00 a 16:00 horas, con contrato indefinido.

Se requiere título de Licenciatura en Medicina. El puesto se enfoca en la atención médica general y en la evaluación de aptitudes para el ámbito laboral.

Este rol ofrece una oportunidad estable para ejercer la medicina en un entorno corporativo, contribuyendo al bienestar y la seguridad de los trabajadores.",Lugo,Todos
Comercial,Domestiko,Lugo,No especificado,+ 30 d,"3,4","Se busca profesional para el puesto de comercial en la zona de Lugo y A Coruña, dentro del sector de la distribución de alimentación. Las responsabilidades clave incluirán la gestión activa de la cartera de clientes existente en ambas provincias, así como la captación de nuevos clientes.

Además, la persona seleccionada se encargará del seguimiento de cobros y la resolución de incidencias comerciales que puedan surgir. También será fundamental el control y análisis de indicadores de venta y otros indicadores clave de rendimiento (KPIs), junto con otras tareas inherentes a la función comercial.

La jornada será completa, de 40 horas semanales, distribuidas de lunes a viernes. Los turnos serán rotativos, alternando mañanas y tardes, con un horario comprendido entre las 09:30h y las 18:30h, incluyendo los descansos legales establecidos.


Experiencia al menos 2 años en puesto similar.
Buscamos a una persona organizada y metódica.
Valorable residencia cercana al puesto de trabajo.
Valoralbe GS en comercio y marketing.",Lugo,Todos
Vigilante,Domestiko,España,No especificado,+ 30 d,"3,4","Puesto para control de accesos con contrato indefinido y jornada completa. Las funciones principales implican la supervisión y gestión de entradas y salidas, asegurando la seguridad y el orden en las instalaciones.

El horario se organiza en turnos rotativos, abarcando mañanas, tardes y noches, para cubrir las necesidades operativas de manera continua. No es necesario contar con acreditación TIP para optar a esta posición.

Este rol es ideal para personas con atención al detalle y capacidad de respuesta, que busquen un empleo estable en el sector de la seguridad.",Lugo,Todos
Caldereros industriales,Domestiko,España,No especificado,+ 30 d,"3,4","Se buscan cinco caldereros o soldadores para una posición a jornada completa con contrato indefinido.

Los candidatos ideales deberán contar con un Ciclo Medio de Soldadura y Calderería, además de un mínimo de 84 meses de experiencia en el sector. Se requiere poseer carnet de conducir.

Las responsabilidades principales del puesto incluirán la interpretación de planos y la realización de croquis, aplicando técnicas de trazado, desarrollo, corte, conformado y soldadura de materiales.",Lugo,Todos
