Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
FISIOTERAPEUTA NEUROLÓGICO,Centro Monte del Pilar,Majadahonda,24 mil € - 26 mil € (Proporcionado por la empresa),24 horas,"3,9","Oferta de empleo – Fisioterapeuta Neurológico/a

Centro Monte del Pilar – Majadahonda (Madrid)

¿Te apasiona la fisioterapia neurológica? ¿Buscas un lugar donde sentirte valorado/a, crecer profesionalmente y marcar la diferencia en la vida de tus pacientes?

En Monte del Pilar estamos buscando alguien como tú: comprometido/a, con vocación, sensibilidad y ganas de formar parte de un equipo que cree en la fisioterapia como motor de cambio y recuperación real.

¿Qué buscamos?

Fisioterapeutas apasionados/as por la neurorehabilitación.

Personas con formación y experiencia en fisioterapia neurológica (adulto)

Ganas de seguir aprendiendo, aportar ideas y crecer junto a un equipo multidisciplinar.

Buenas habilidades de comunicación y empatía con el paciente.

Proactividad, iniciativa y trabajo en equipo.

¿Qué ofrecemos?

- Contrato indefinido desde el primer día. Estabilidad laboral real.

- Jornada parcial de 20 h/semana en turno de mañana, con posibilidad de ampliación a jornada completa si lo deseas.

- Salario competitivo, por encima de convenio y ajustado a tu perfil y experiencia.

- Oportunidades reales de desarrollo profesional: especialización y crecimiento dentro del equipo.

- Equipo humano de referencia en el sector de la neurorehabilitación, donde tu voz cuenta y tu trabajo importa.

- Ambiente de trabajo sano, cercano y colaborativo.

- Centro muy bien comunicado: Renfe a 5 min andando y autobús en la puerta.

- Ubicación: Majadahonda (zona Monte del Pilar)

¿Quiénes somos?

Somos un centro especializado en rehabilitación neurológica con un enfoque humano, integral e individualizado. Trabajamos codo a codo con profesionales de distintas disciplinas, siempre poniendo al paciente en el centro.

Aquí no serás un número. Serás parte de un proyecto con alma.

¿Te interesa?

Mándanos tu CV a info@montedelpilar.com con el asunto:

“Fisio Neuro – Quiero formar parte del equipo”

¡Te estamos esperando!

Tipo de puesto: Jornada completa, Media jornada, Contrato indefinido

Sueldo: 24.000,00€-26.000,00€ al año

Beneficios:

Flexibilidad horaria

Educación:

Diplomatura/Grado (Deseable)

Experiencia:

Fisioterapia: 3 años (Deseable)

Ubicación del trabajo: Empleo presencial",Madrid,Todos
Comercial puerta fría (presencial) - Sector banca digital (TPVs),Total Management Consulting,Madrid,1 mil € - 6 mil € (Proporcionado por la empresa),24 horas,"3,9","Desde Total Management Consulting nos encontramos en búsqueda de dos Comerciales de Puerta Fría (presencial) para importante multinacional de banca digital con más de 15 años de experiencia dedicada a la comercialización de TPVs principalmente a empresas del sector retail y hospitality.

Si tienes un perfil comercial de puerta fría y te atrae el sector de la banca digital, esto es para ti:

¿Qué se ofrece?

Contrato indefinido
Jornada de 40h semanales
Salario fijo: 1400€ brutos mensuales
Salario variable semanal sin límite: Comisión de 350€ por venta (volumen muy alto de ventas mensualmente)
Bonus mensual por volumen de ventas mensuales
Horario: De Lunes a Viernes de 09h a 18h (1h de comida)

¿Qué buscamos?

Al menos 3 años de experiencia como Comercial de puerta fría presencial
Disponibilidad de incorporación inmediata
Carnet de conducir y vehículo propio
Costumbre a trabajar por sistema de objetivos y comisiones
MUY VALORABLE: Experiencia en sector energético, asegurador, inmobiliario, alarmas, telecomunicaciones, o similares

¿Qué harás?

Prospectar, captar y cerrar nuevos clientes a puerta fría interesados en soluciones de pago innovadoras.
Alcanzar objetivos mensuales con un sistema de comisiones e incentivos sin techo.
Gestionar tu pipeline comercial en el CRM con seguimiento detallado.
Colaborar con los equipos de Marketing y Producto compartiendo insights del mercado para mejorar continuamente nuestras ofertas.

Esta es tu oportunidad de pasar al siguiente nivel como Comercial. ¡¡Te esperamos!!

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.200,00€-6.000,00€ al mes

Preguntas para la solicitud:

¿Tienes disponibilidad de incorporación inmediata?
¿Tienes vehículo propio?
¿Tienes experiencia en alguno de estos sectores: Energético, Asegurador, Inmobiliario, Alarmas, Telecomunicaciones o similares?
¿Te interesa una posición 100% presencial en Madrid trabajando en la calle para captar comercios y empresas?
¿Te interesa un salario fijo de 1.400€ brutos anuales en 12 pagas + comisiones ilimitadas semanales (350€ por venta, con volumen muy alto de ventas) + bonus mensual por computo de ventas mensuales?
¿Te interesa un horario de Lunes a Viernes de 09h a 18h (1h de comida)?
¿Estás acostumbrado/a a trabajar por objetivos y comisiones?

Experiencia:

Comercial presencial de puerta fría: 2 años (Obligatorio)

Licencia/Certificación:

Carnet de conducir B (Obligatorio)

Ubicación del trabajo: Empleo presencial",Madrid,Todos
Profesora/a de Lengua 2ºESO (Aravaca),Verona Servicios de Intermediación Educativa S.L.,España,"10,00 € - 12,00 € Por hora (Proporcionado por la empresa)",24 horas,"3,9","Estamos seleccionando un profesor/a para impartir clases particulares de Lengua a un alumno de 2º de ESO en su domicilio en Aravaca, la zona de El Paular

Horario: lunes, 18-19.30h

Honorarios: 18 euros (12 euros/hora)

Tipo de puesto: Contrato indefinido

Sueldo: 10,00€-12,00€ la hora

Educación:

Diplomatura/Grado (Deseable)

Experiencia:

Profesor: 1 año (Deseable)
Enseñanza: 1 año (Deseable)

Licencia/Certificación:

CAP/MAES (Deseable)
Certificado de aptitud pedagógica (Deseable)

Ubicación del trabajo: Empleo presencial",Madrid,Todos
Direct Entry Captain - Pilot,The Emirates Group,España,No especificado,+ 30 d,"3,9","Company Introduction


From its global hub in Dubai, Emirates is the award-winning airline that serves customers on six continents, providing high quality air transport services that facilitate tourism and trade. The airline has earned customer recognition for its industry-leading services on the ground and in the sky, delivered by a passionate workforce representing over 160 nations.

Emirates operates the world’s largest fleet of wide-body Boeing 777 and Airbus A380 aircraft, offering spacious cabins and iconic inflight features such as its A380 Shower Spa and Onboard Lounge, and its ice inflight entertainment system available in all seats across its fleet, offering up to 6,500 channels of on-demand, multi-language content.

Be part of a new pilot era with Emirates


Exciting changes are on the horizon at Emirates for our next generation of pilots.

We’re looking for motivated pilots to join the Emirates flight deck in an exciting time of opportunity and growth. We’ve got big and ambitious plans for the future, and we want the very best pilots at the helm of our modern fleet of aircraft.

With enhanced benefits and improved eligibility criteria, there’s never been a better time to become an Emirates pilot.

Along with growing your career with the world’s largest international airline, there’s much more to being an Emirates pilot. You’ll enjoy a generous tax-free salary, rent-free accommodation, Provident Fund contributions, education allowances, excellent medical and dental cover, chauffeur-driven transport to work and fantastic travel benefits for you and your family.

So, if you’re looking for a game-changing career opportunity, we want to meet you.

Description of the Position

Direct Entry Captain – Take a seat in our most senior position in command of the aircraft.
What the Company offers

Health Insurance
Dental Insurance
Discounts across leisure and retail outlets
Life Insurance
Vacation & Paid Time Off
Concessional staff travel airline tickets

Min Salary


Minimum basic salary: AED 40,100 (~USD 10,926) not inclusive of flying pay

Max Salary



Dependant on position held

Min required experience

To become one of our Airbus Captains, you will need:

Minimum 7,000hrs total flying time (excluding P3, rotary and single/multi-engine piston aircraft)
For A380, you must currently be flying as an Airbus FBW Wide Body Captain and have a minimum of 3,000 hours PIC on Airbus FBW Wide Body
For A350, you must have a minimum of 3,000 hours command time on a multi-crew, multi-engine commercial jet aircraft with MTOW of >50T. Minimum 1,500 hours must be as a Captain on an Airbus FBW
Minimum 150hrs in past 12 months on type
A valid ICAO ATPL with a matching Authority Class 1 Medical
ICAO English level 5 or above",Madrid,Todos
Promotor/a - Encuestador/a de Educación (Campus Universitarios),Cambridge Exams,Madrid,1 mil € (Proporcionado por la empresa),24 horas,"3,9","¿Te consideras una persona extrovertida, empática y con ganas de trabajar en un entorno joven?

En Cambridge Exams Madrid buscamos personas como tú para ayudarnos a difundir nuestras becas de inglés en las principales facultades de Madrid. Tu misión será sencilla pero vital: conectar con estudiantes universitarios, realizar un breve sondeo de 3 preguntas y ofrecerles la oportunidad de acceder a cursos de preparación para su título B2/C1. ¿Qué ofrecemos?

Contrato estable: Alta en la Seguridad Social desde el primer día.

Salario: Según SMI (Salario Mínimo Interprofesional) proporcional a la jornada.

Flexibilidad: Posibilidad de Media Jornada (ideal para estudiantes) o Jornada Completa.

Ubicación: Diferentes campus universitarios de Madrid (zona Moncloa, Ciudad Universitaria, Cantoblanco, Getafe, etc.).

Formación: Te enseñamos nuestras técnicas de comunicación y empatía. ¿A quién buscamos?

 Personas emprendedoras, con energía positiva y sin miedo a romper el hielo.

 Capacidad de comunicación y mucha empatía.

 Se valorará experiencia previa en captación, encuestas o atención al cliente (aunque no es imprescindible, ¡nosotros te formamos!).

 Interés por el sector educativo y los idiomas.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.260,00€-1.264,00€ al mes

Preguntas para la solicitud:

¿Te consideras una persona entusiasta y positiva?

Ubicación del trabajo: Empleo presencial",Madrid,Todos
Health and Safety Specialist,Just Eat Takeaway.com,Madrid,No especificado,+ 30 d,"3,9","Ready for a challenge?

Then Just Eat Takeaway.com might be the place for you. We’re a leading global online food delivery platform, and our vision is to empower everyday convenience. Whether it’s a Friday-night feast, a post-gym poke bowl, or grabbing some groceries, our tech platform connects tens of millions of customers with hundreds of thousands of restaurant, grocery and convenience partners across the globe.

About this role:

As our HSSE Specialist in Spain, you’ll be the driving force behind keeping our people safe, our operations compliant, and our culture strong. You’ll make sure health, safety, security, and environmental standards are not just met—but embedded into the way we work every day across all Scoober locations in Spain.

You’ll work closely with the Global HSSE team to bring our global strategy to life locally—adapting frameworks, leading compliance, and ensuring continuous improvement.

These are some of the key ingredients to the role:
Lead HSSE Compliance & Governance: Champion compliance with local Occupational Health, Safety, and Environmental legislation, ensuring alignment with corporate HSSE policies, standards, and programs.
Drive HSSE Strategy & Continuous Improvement: Develop and implement national HSSE frameworks, objectives, and KPIs to foster ongoing performance improvement and a culture of operational excellence.
Champion Risk Management & Auditing: Oversee comprehensive risk assessments and internal audits, ensuring that effective control measures are implemented, monitored, and continuously improved to maintain a safe and sustainable workplace.
Promote Learning & Safety Leadership: Design, deliver, and manage HSSE training programs, embedding safety leadership principles and behavior-based safety practices to build a proactive safety culture.
Lead Incident Management & Regulatory Reporting: Ensure timely reporting and thorough investigation of HSSE incidents, driving root cause analysis, corrective actions, and compliance with regulatory requirements.
Engage & Collaborate Globally: Actively contribute to the global HSSE community, sharing insights, best practices, and innovative approaches that strengthen safety leadership and environmental stewardship across all operations.

What will you bring to the table?
Relevant experience in Occupational Health & Safety, including collaboration with trade unions, authorities, and key stakeholders.
Academic degree in a relevant field (Occupational Health & Safety, Environmental Science, Engineering, or related discipline).
Fluency in both Spanish and English, with excellent communication and influencing skills across all levels of the organization.
Proven ability to implement and sustain HSE management systems, with experience in ISO 45001 considered a strong advantage.
Strong relationship-building and collaboration skills, with the ability to influence across a matrixed and global environment.
A proactive mindset with a passion for designing and launching new processes that drive innovation and continuous improvement.
Tech-savvy and adaptable, comfortable working with Google Workspace and leveraging digital tools to enhance HSSE performance.

At JET, this is on the menu:

Our teams forge connections internally and work with some of the best-known brands on the planet, giving us truly international impact in a dynamic environment.

Fun, fast-paced and supportive, the JET culture is about movement, growth and about celebrating every aspect of our JETers. Thanks to them we stay one step ahead of the competition.


Inclusion, Diversity & Belonging

No matter who you are, what you look like, who you love, or where you are from, you can find your place at Just Eat Takeaway.com. We’re committed to creating an inclusive culture, encouraging diversity of people and thinking, in which all employees feel they truly belong and can bring their most colorful selves to work every day.


What else are we delivering?

Want to know more about our JETers, culture or company? Have a look at our career site where you can find people's stories, blogs, podcasts and more JET morsels.


Are you ready to take your seat? Apply now!

#LI-JH2",Madrid,Todos
Únete a nuestro equipo: buscamos Asesores Inmobiliarios - San Isidro y Usera,Gruppo Tempocasa,Madrid,1 mil € (Proporcionado por la empresa),23 días,"3,9","Tempocasa, empresa líder en el sector inmobiliario en Italia y en Europa, busca asesores inmobiliarios, no es necesario tener experiencia ni tampoco exigimos requisitos académicos elevados, pero sí que es imprescindible tener ganas de aprender una profesión de agente inmobiliario.

¿Qué harás en este puesto?
Serás responsable de desarrollar actividades comerciales orientadas a la localización y captación de clientes, ofreciendo un asesoramiento personal e integral durante todo el proceso de compraventa. Además, gestionarás tu propia cartera de clientes en la zona asignada.

Tus principales funciones serán:

Contacto y seguimiento personal ó telefónico con clientes.
Realización de valoraciones inmobiliarias.
Asesoramiento personalizado a la cartera de clientes asignada.
Gestión y seguimiento de operaciones de compraventa.


Que ofrecemos?


Contrato indefinido.
Ofrecemos 1250 € al mes de salario fijo brutos.
Varias bonificaciones y comisiones
Crecimiento profesional en la empresa

Estamos ubicados en Madrid en el barrio San Isidro y Usera, el objetivo es expandirnos también aquí en la capital española, como viene sucediendo con éxito durante años en Italia.

El candidato para información o más detalles puede contactarme directamente o responder a este anuncio

Salario: 1250 € brutos",Madrid,Todos
Manager - BCG Vantage - Aerospace and Defense,Boston Consulting Group,Madrid,No especificado,+ 30 d,"3,9","Locations: Düsseldorf | München | London | Madrid

Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.


What You'll Do

As a Manager – BCG Vantage on our Topic Activation path within BCG's Industrial Goods Practice Area, you will collaborate and partner in a growing global team, providing industry expertise and insights. You will work together with case and proposal teams to provide knowledge assets, analysis and expert advisory. You’ll serve as a thought partner and content expert to case teams and sector leaders, helping structure and solve complex issues.


Additionally, as a Manager – BCG Vantage you will drive development of intellectual property and knowledge assets to support the Aerospace & Defense sector, serving as an active contributor to commercialization efforts for the topic, whilst working with business leaders to drive proposals & go-to-market efforts. As a Manager – BCG Vantage, you may line manage a team of junior colleagues (though will not be expected to do so immediately), taking responsibility for their goal setting, ongoing feedback and career development support.


We are seeking a qualified candidate to support projects within the Aerospace & Defense sectors across the globe, with a particular emphasis on the defense industry in Europe. A successful candidate will likely come from the aerospace and defense industry, an aerospace and defense consultancy, or think tanks. Military service, particularly in roles relevant to defense strategy, procurement and operations, would also be a strong asset. This role is geared for an individual with a strong understanding of the business dynamics across the European defense sector, especially those who can speak to the technical and corporate trends across all military domains.


While this role is pitched at the Manager level, we welcome applications from candidates with slightly less experience who demonstrate strong capabilities — in which case we may consider appointment at the Senior Analyst level.


YOU'RE GOOD AT

Solving complex client problems through formulating relevant research and/or analytical approaches in aerospace and defense
Driving development and maintenance of knowledge assets e.g. tools, databases, sector materials, based on different client contexts
Communicating with senior stakeholders, demonstrating the ability to engage your audience effectively
Managing a portfolio of projects, with strong awareness of business priorities and commercial impact
Training, coaching, and mentoring junior team members
Working in an ever changing and complex environment, and comfortable with ambiguity and navigating a fast-paced environment


What You'll Bring

3+ years consulting experience in relevant aerospace and defense industry required; candidates with consulting experience (especially strategy, growth, go-to-market, and due diligence experience) preferred
In lieu of consulting experience, 4+ years minimum industry experience required; 6-10+ years of industry experience strongly preferred
Bachelor's Degree required (advanced degree preferred)
Fluency in English; fluency in one or more other European languages is a major plus
Outstanding interpersonal and communication skills to interact with internal and external stakeholder while working in a global collaborative team environment; experience working with diverse international teams is a major plus


Who You'll Work With

As a Manager – BCG Vantage on our Topic Activation path, you will collaborate with global topic leads and colleagues across BCG to bring expertise and capabilities to the service of our internal and external clients. Our team is made up of a diverse pool of BCG Vantage positions that allow us to pursue exciting, innovative BCG Vantage careers.


Additional info

BCG Vantage is a powerhouse of expertise, seamlessly embedded within Practice Areas and markets to drive extraordinary impact. It equips BCG case teams and clients with cutting-edge expertise, proprietary assets, actionable data, and transformative insights that empower our case teams and enable our clients to achieve their aspirations.

With global experts across 20 Practices, covering more than 100 topics, sectors and offers, plus four focused geographic markets, BCG Vantage delivers unparalleled depth and breadth of insight & expertise. BCG Vantage consists of three career paths, each playing a crucial role in delivering value to clients, case teams and practice teams.


Client Focus (Embedded Expertise)

Integrates into client-facing teams to deliver direct client impact through expertise, know-how, and proprietary tools and assets


Topic Activation (Sector Expertise with Proprietary Tool & Data Solutions)

Combines deep domain insights with our know-how and proprietary assets to address targeted challenges directly with clients and project teams; co-creates insights on industry trends and functional topics, proprietary data and tools, and teams to codify IP that all enables BCG to deliver excellent business value with its clients


Research (Practice Topic and Sector-Aligned Research and Insights)

Delivers actionable research and insights tailored to the client project’s needs; works with qualitative and quantitative data, conducts research and provides synthesized results from sources including commercial data, public and open source, company and industry research, macro-economic, commodities and trade data.


Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E - Verify Employer. Click here for more information on E-Verify.",Madrid,Todos
PROFESOR/A DE BIOLOGÍA Y QUÍMICA BILINGÜE,Omid Holdings SL,Madrid,No especificado,+ 30 d,"3,9","We are looking for a teacher who can teach Biology and Chemistry.

Here at TutorASAP High Performance International Study Centre, we are looking for charismatic and creative people with a strong passion for teaching who have an interest in taking education to another level.

TutorASAP High Performance International Study Centre is NOT a school NOT an academy, but an organization made up of passionate teachers willing to take education to another level.

Our main aim is to provide students, aged 13-18, with the skills and knowledge necessary for the 21st century, giving them a ""solid foundation for a brighter future"".

If you think this is a place for you we have the following position available from September 2025:

Locations: our centres are located in Madrid (Chamartín, La Moraleja and Pozuelo de Alarcón).

To successfully apply for a position, the requirements are:

- Bilingual or high level of English

- One year of experience in teaching science subjects at ESO and Bachillerato level.

Job responsibilities:

Prepare and create teaching materials.
Communicating and co-operating with other teachers.
Monitoring pupils' progress.
Attend all weekly meetings with the teaching staff.
Assist fellow teachers in the revision and editing of materials.

Working hours: 20 hours per week from Monday to Sunday.

Age of students: 13-18 years old

Why teach at TutorASAP?

Friendly, warm and welcoming people
Maximum of 8 students per class
Exciting place to teach and experiment with new teaching methods

Tipo de puesto: Media jornada

Sueldo: 1.000,00€ al mes

Preguntas para la solicitud:

Do you have experience teaching Biology and Chemistry?
Do you have English level C1?
Are you available to teach in Madrid everyday on evenings?

Ubicación del trabajo: Empleo presencial",Madrid,Todos
Fisioterapeuta en Leganés,Consultorio Medico Zarzaquemada,España,No especificado,+ 30 d,"3,9","Fisioterapeuta se necesita, para clínica en funcionamiento.

Contrato Mercantil de Prestación de Servicios Profesionales.

Flexibilidad horaria.

Tipo de puesto: Autónomo

Beneficios:

Flexibilidad horaria

Ubicación del trabajo: Empleo presencial",Madrid,Todos
