Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Mecánico/a de Vehículos Industriales,Office People - Personalmanagement,Murcia,22 mil € - 30 mil € (Proporcionado por la empresa),24 horas,"3,2","Mecánico/a de Vehículos Industriales — Murcia (Presencial)

Ubicación: Murcia, España
Modalidad: Presencial
Tipo de contrato: Jornada completa
Salario: 22.000 € — 30.000 € brutos anuales (según experiencia)

Importante empresa del sector automoción y mantenimiento de vehículos industriales, ubicada en Murcia, busca incorporar un/a Mecánico/a especializado/a para reforzar su equipo técnico. Si cuentas con experiencia en diagnóstico y reparación mecánica avanzada y te interesa formar parte de un entorno profesional dinámico, esta puede ser tu oportunidad.

Funciones principales

Realizar mantenimiento preventivo y correctivo en vehículos industriales.
Ejecutar reparaciones mecánicas complejas en motores diésel, sistemas de transmisión, suspensión, dirección y frenos.
Montaje, ajuste y verificación de conjuntos mecánicos.
Detección, diagnóstico y resolución de averías mecánicas, eléctricas y electrónicas.
Manejo avanzado de equipos de diagnosis multimarca y específicos.
Comprobación, reparación y ajuste de sistemas electrónicos del vehículo.

Requisitos del puesto

Experiencia mínima de 1 año en un puesto similar, demostrando competencias técnicas en mantenimiento y reparación.
Formación específica en electrónica, diagnóstico y mecánica aplicada al sector automoción.
Título de Grado Superior en Automoción o formación equivalente.
Capacidad de análisis, resolución de problemas y trabajo en equipo.

Condiciones laborales

Jornada laboral de lunes a viernes, de 08:00 a 17:30.
Descanso de 30 minutos para almuerzo y 1 hora para comida.
Incorporación a un equipo técnico profesional en crecimiento.
Salario competitivo acorde a experiencia y conocimientos.

Proceso de selección

Entrevista inicial con el departamento de Recursos Humanos.

Si estás interesado/a en desarrollar tu carrera en el sector automoción y cumples con los requisitos, ¡queremos conocerte!

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-30.000,00€ al año

Ubicación del trabajo: Empleo presencial",Murcia,Todos
Ingeniero/a Técnico/a,"AWMA SUN CONTROL SOLUTIONS, S.L.",España,25 mil € (Proporcionado por la empresa),+ 30 d,"3,2","Empresa dedicada a la fabricación de productos de protección solar (toldos, pérgolas y sistemas bioclimáticos) busca incorporar Ingeniero/a para su Departamento Técnico.

Funciones principales:
Desarrollo y gestión de proyectos técnicos, diseño y modelado de productos, elaboración de planos y documentación técnica, apoyo técnico a los departamentos comercial y de producción, supervisión de mediciones y replanteos, coordinación con fabricación y proveedores, y control técnico de calidad y mejora de procesos.

Requisitos:
Formación en Ingeniería (industrial, mecánica, diseño industrial o similar), experiencia en entorno técnico o industrial, manejo habitual de Autodesk Inventor y Rhinoceros, conocimientos a nivel usuario de Cype y Dlubal para cálculo de estructuras, y uso de herramientas de diseño y presentación como Blender, 3D Max e InDesign. Capacidad de organización, análisis y trabajo en equipo. Se valorará experiencia en el sector de protección solar, carpintería metálica o cerramientos.

Qué ofrecemos:
Contrato estable, incorporación a empresa en crecimiento, salario acorde a experiencia y posibilidades de desarrollo profesional, buen ambiente de trabajo y participación en proyectos técnicos de alto valor añadido.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 25.000,00€ al mes

Posibilidad de trasladarse/mudarse:

30591 Balsicas, Murcia provincia: Desplazarse al trabajo sin problemas o planificar mudarse antes de comenzar a trabajar (Obligatorio)

Ubicación del trabajo: Empleo presencial",Murcia,Todos
Area Manager Murcia,Lidl,España,No especificado,+ 30 d,"3,2","Introducción

Como Área Manager, serás responsable de impulsar las ventas de un grupo de tiendas, liderando un equipo humano de entre 80 a 100 personas y de gestionar todos los indicadores de rendimiento de tus tiendas.

¿Cómo será tu día a día?
Serás responsable de los equipos de tienda: realizar la selección de personal, contratación, formación y desarrollo del equipo.
Gestionarás las ventas, garantizando los estándares definidos por la compañía y procedimientos en las tiendas.
Implementarás nuevos procedimientos, productos y promociones de venta en tienda.
Optimizarás la disponibilidad de productos.
Garantizarás un funcionamiento optimizado de las tiendas.
¿Eres tú la persona que buscamos?
Estudios Universitarios finalizados.
Experiencia de 2-3 años en gestión de equipos.
Nivel alto/nativo de español, mínimo nivel B2-C1 de inglés y valorable de alemán.
Iniciativa, proactividad, orientación a personas, pasión por el trabajo en equipo, liderazgo y orientación al logro.
Se requiere permiso de conducir.
Se valorará experiencia previa en el sector y disponer de movilidad nacional.
Qué te ofrecemos
Un contrato de jornada completa.
Un trabajo dinámico en un sector que necesita de la constante innovación y de replantearse el día a día permanentemente.
Te facilitamos una formación inicial teórico-práctica adaptada a tu puesto de trabajo junto con un programa específico donde podrás obtener una visión global de la compañía y las distintas áreas. También adquirirás conocimientos transversales en gestión de personas, así como el desarrollo de distintas habilidades que facilitarán el desempeño de tus funciones.
Un salario competitivo, beneficios sociales y coche de empresa.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/",Murcia,Todos
Gerente de Tienda Murcia,Lidl,Murcia,27 mil € (Proporcionado por la empresa),9 días,"3,2","Introducción

Nuestro #teamlidl es competitivo y muy dinámico. Para saber más sobre cómo es trabajar en Lidl consulta nuestra página web de empleo: https://empleo.lidl.es/

¿Cómo será tu día a día?
Ser responsable del equipo de tienda: realizar la selección de personal, contratación, formación y desarrollo del equipo bajo la supervisión y colaboración del/de la Jefx de Ventas.
Gestionar la tienda, garantizando los estándares definidos por la compañía y el cumplimiento de los procedimientos en las tiendas.
Ser responsable de la disponibilidad de productos en tienda y la correcta contabilización de las mermas.
Garantizar un funcionamiento optimizado de la tienda.
Preparar y realizar la reunión de costes junto con el/la Jefx de Ventas.
Planificar de forma anual y mensual las ventas y productividad de la tienda.
¿Eres tú la persona que buscamos?
Formación Profesional de Grado Medio o equivalente.
Experiencia previa de más de un año en gestión de equipos.
Disponibilidad horaria para trabajar por turnos (horarios rotativos).
Orientación a personas y colaboradorxs, flexibilidad y trabajo en equipo.
Alta capacidad de organización, planificación y liderazgo.
¿Qué te ofrecemos?
Un contrato de jornada completa.
Te facilitamos formación teórico-práctica de 6 meses adaptada a tu puesto de trabajo, para que seas capaz de enfrentar cada reto con éxito. Tu plan de formación inicial incluirá estancias en diferentes tiendas y capacitaciones teórico-prácticas de desarrollo de diferentes habilidades y conocimientos técnicos relacionados con el área de ventas.
Jornada semanal de cinco días en lugar de seis, horario continuado y 6 fines de semana de calidad al año para una mejor conciliación.
Desde hace años garantizamos que cada minuto trabajado en Lidl se registra y se compensa.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar
nuestra página web de empleo: https://empleo.lidl.es/",Murcia,Todos
Repartidor -Mozo de Almacén,Groupe Crit,Molina de Segura,No especificado,22 días,"3,2","Descripción:

Grupo CRIT selecciona para importante empresa del sector industrial, ubicada en Molina de Segura, personal de almacén con experiencia en la preparación y reparto de pedidos.

Responsabilidades:

Realizar el reparto de mercancías en la región asignada.
Verificar la correcta carga y descarga de los productos.
Preparación de pedidos.
Ofrecer un servicio al cliente excepcional durante el proceso de entrega.
Cumplir con las normativas de tráfico y seguridad vial.
Colaborar con el equipo logístico para asegurar un flujo de trabajo eficiente.

Requisitos:

Requisitos Mínimos:

Tener Carnet de conducir B.
Experiencia previa en posiciones de reparto o logística es valorada.
Experiencia previa como repartidor/a y/o mozo/a de almacén (valorable).
Ser responsable y tener una buena actitud hacia el trabajo.
Disponibilidad para trabajar en el horario de Lunes a jueves: de 08:00 a 14:00 y de 15:30 a 18:00 / Viernes: de 08:00 a 14:00",Murcia,Todos
Camarero/a de Sala/Terraza,Tu Taverna Olavide sl,Murcia,No especificado,+ 30 d,"3,2","Puesto: Camarero/a de salaJornada: turno partido
Descanso: 2 días libres semanales
Ubicación: Murcia (centro)¿Qué harás?

Montaje de sala y mise en place.
Recepción, asesoramiento y atención al cliente con servicio ágil y cuidado.
Toma de comandas y manejo de TPV.
Recomendación de carnes a la brasa, puntos de cocción y guarniciones.
Sugerencia de vinos y maridajes; upselling con criterio.
Coordinación con cocina y parrilla; control de rangos.
Apertura/cierre y mantenimiento de estándares APPCC.

Requisitos

Mínimo 3 años de experiencia como camarero/a en restaurantes con ritmo y estándar medio/alto.
Disponibilidad para turno partido y fines de semana.
Conocimiento de cortes y puntos de carne; soltura con bandeja y protocolo básico.
Manejo de TPV, nociones de bodega (imprescindible nivel base).
Castellano fluido; inglés valorable.
Perfil proactivo, ordenado, buena presencia y orientación a servicio y ventas.
Permiso de trabajo en vigor en España.

Qué ofrecemos

Participar en una apertura con proyecto sólido y equipo profesional.
2 días libres semanales.
Plan de formación en parrilla y servicio.
Estabilidad (contrato según normativa vigente) y posibilidades reales de crecimiento.
Condiciones según convenio de hostelería de Murcia, más propinas y objetivos.
Uniforme y buen clima de trabajo.

Enviá tu CV en PDF y disponibilidad indicando en el asunto: ""Camarero/a – Asador Murcia"".
Podés postular por esta plataforma o al correo que figure en la oferta.Te esperamos para prender la brasa juntos.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Murcia,Todos
CONDUCTOR/A C+E y ADR (cisterna gas),CITESA,Cartagena,41 mil € (Proporcionado por la empresa),+ 30 d,"3,2","CITESA empresa dedicada al transporte de mercancía ADR por carretera busca conductores/as con carnet C+E y ADR cisterna, para rutas de reparto de GAS.

Funciones

Distribución mercancía peligrosa (carnet C+E y ADR).
Reparto de GAS en ruta y Gas Primario.
Trabajo de LUNES a VIERNES y guardia de fin de semana según cuadrante.

Requisitos

ADR básico + cisterna.
Experiencia mínima de 1 año con camión pesado.
Se valorará positivamente carnet C+E y experiencia en CISTERNAS DE GAS.
Formación a cargo de la empresa.

Se ofrece

Contrato fijo.
Disponemos de una plaza fija en Cartagena para distribución de Gas.
Salario Bruto anual desde 39.000 euros con un salario neto desde de 2.300 euros, mas pagas tres extras aparte (según convenio)
Empresa que ofrece estabilidad, continuidad y seguridad laboral.
Siempre respetando los descansos y horas de conducción.
Jornada completa.
Incorporación inmediata.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 41.000,00€ al año

Beneficios:

Programa de formación
Teléfono de empresa
Uniforme proporcionado

Experiencia:

conductor camión ADR: 1 año (Obligatorio)

Licencia/Certificación:

Carnet de conducir C (Obligatorio)
ADR + CAP (Obligatorio)
ADR CISTERNAS EN VIGOR (Obligatorio)

Ubicación del trabajo: Empleo presencial",Murcia,Todos
Asesor/a Contable,Kolibri Consulting,Murcia,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"3,2","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Murcia, Murcia provincia (Murcia)",Murcia,Todos
Mozo Carretillero - Águilas,Groupe Crit,España,No especificado,8 días,"3,2","Descripción:

Desde GRUPO CRIT buscamos un/a MOZO CARRETILLERO para una importante empresa de alimentación hortofrutícola ubicada en ÁGUILAS:

Se busca un perfil de mozo carretillero con polivalencia. Cuyas tareas principales son:

Trabajo polivalente de recepción de pedidos y de materia prima (""picking"" con PDA) y labores de carretillero.
Seguimiento de las máximas exigencias de seguridad alimentaria, higiene y buenas practicas de los alimentos.
Ejecución de los procedimientos de limpieza establecidos por la organización.


Se ofrece:

Jornada completa

Requisitos:

Experiencia previa en traspaleta eléctrica y carretilla elevadora.",Murcia,Todos
Operario/a Rebobinado,Groupe Crit,España,No especificado,+ 30 d,"3,2","Descripción:

Desde Grupo Crit seleccionamos para importante empresa de plástico ubicada en Lorqui, Operario/as de Rebobinado.


FUNCIONES:

Controlar la máquina rebobinadora siguiendo procedimientos preestablecidos y bajo supervisión directa.

Verificar que el formato de la máquina se ajuste a las especificaciones requeridas para cada producto entrante.

Asegurar el correcto desarrollo del proceso de rebobinado.

Control de calidad durante el proceso de impresión.

Ejecutar procesos como microperforado y macroperforado según instrucciones.





SE OFRECE:

Lunes a viernes turnos rotativos de mañana, tarde y noche (7-15h, 15-23h y 23-7h. con 20min de descanso)

Salario según convenio

Contrato inicial temporal prorrogable + posibilidad de paso a plantilla empresa

Requisitos:

Disponibilidad para trabajar a turnos

Disponibilidad de incorporación inmediata

Experiencia mínima de seis meses en producción

Muy valorable experiencia en empresas del sector/puestos similares",Murcia,Todos
