Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Production event member - HOLANDA,IC Europe,Fuengirola,"17,42 € Por hora (Proporcionado por la empresa)",+ 30 d,"5,0","Puesto:

Production Event Member- HOLANDA - DE INMEDIATO!

Condiciones:

Salario bruto: €17,42 por hora (incluye vacaciones y paga de vacaciones)
Alojamiento: organizado y facilitado en los Países Bajos
Contrato: según condiciones de empleo de IC Europe

Descripción del puesto:

Como Production Event Member te encargarás de apoyar en la construcción de stands ,carpas, moquetas, gradas y andamios para eventos. Se trata principalmente de actividades sencillas, rutinarias y de preparación, tales como:

Carga y descarga de materiales
Manipulación de piezas y componentes
Montaje y desmontaje de estructuras

Responsabilidades y requisitos:

Realizar las tareas con precisión y cuidado
Trabajar bajo indicaciones del supervisor (capataz o jefe de proyecto)
Capacidad para gestionar la presión del tiempo
Anticiparse a circunstancias cambiantes durante el trabajo
Flexibilidad para realizar otras tareas relacionadas que puedan ser razonablemente requeridas

Lo que ofrecemos:

Salario competitivo
Vivienda en los Países Bajos organizada por la empresa
Experiencia laboral internacional en un entorno dinámico

Tenemos un proyecto que empieza la semana 3 asi que postulate lo antes possible!

¿Te interesa formar parte de IC Europe? ¡Postúlate ahora y únete a nuestro equipo de producción para eventos en los Países Bajos!

Tipo de puesto: Jornada completa

Sueldo: 17,42€ la hora

Horas previstas: 40 a la semana

Beneficios:

Cesta de navidad
Coche de empresa

Preguntas para la solicitud:

Tiene Nacionalidad EU?

Idioma:

Inglés (Obligatorio)

Licencia/Certificación:

Carnet de conducir B (Deseable)

Ubicación del trabajo: Empleo presencial",Málaga,Todos
Front/Back office medewerker,DiscountOffice.nl,España,No especificado,+ 30 d,"5,0","Wij zoeken een enthousiaste Front- & Backoffice Medewerker voor 40u.

Ben jij leergierig, servicegericht, kan je snel schakelen en ben je niet bang om een klant telefonisch te woord te staan dan is dit de vacature voor jou!!

DiscountOffice.be is een snelgroeiende webshop met een breed assortiment bedrijfsbenodigheden.

Wij zijn niet alleen in België actief maar ook in Nederland via Discountoffice.nl.

Vanwege onze groei zoeken wij op korte termijn een nieuwe Front- & Backoffice Medewerker voor onze afdeling Klantenservice (BE).

Wat ga je doen?

Helpen van klanten aan de telefoon met allerlei vragen.

Verwerken van meldingen per mail in onze backoffice, waar nodig neem je contact op met onze leveranciers.

Je schakelt tussen de afdelingen binnen ons bedrijf om een klant te helpen of problemen op te lossen.

Wat vragen wij?

Een klantvriendelijke instelling in combinatie met een hands-on mentaliteit en goed zelfstandig kunnen werken.

Vloeiende beheersing van de Vlaamse en Nederlandse taal in woord en geschrift.

Frans is gewenst in verband met klanten in Franstalig België.

Ervaring met Microsoft apps zoals Word, Excel en Outlook.

Wat bieden wij?

Ongedwongen sfeer in een gezellig familiebedrijf!

Afwisselende baan waar geen enkele dag hetzelfde hoeft te zijn.

Werkweek van minimaal 40u verspreid over 5 werkdagen.

Werktijden tussen 08.30u en 17.00u op kantoor in Alcaucin/Puente don manuel

Doorgroeimogelijkheden (zowel verticaal als horizontaal) binnen het bedrijf.

2 Weken op en af thuiswerken na inwerkperiode

Interesse gewekt?

Stuur dan je CV en motivatie naar vacatures@discountoffice.nl.

Èn kijk ook eens op onze site https://discountoffice.be/.

Soort dienstverband: Fulltime, Parttime

Arbeidsvoorwaarden:

Bedrijfsfeesten
Kerstpakket
Pensioen
Reiskostenvergoeding

Taal:

Nederlands (Vereist)
Vlaams (Vereist)
Frans (Pré)

Werklocatie: Fysiek, na inwerkperiode ook thuis

Soort dienstverband: Fulltime

Werklocatie: Fysiek",Málaga,Todos
Join Our Culinary Team – Kitchen staff required in the Netherlands,GP - Connect,España,3 mil € (Proporcionado por la empresa),24 horas,"5,0","We’re currently looking for an experienced and motivated Cooks and Chef de Partie to join a hospitality team located in a different areas of the Netherlands.
If you’re passionate about high‑quality cooking, teamwork, and elevating guest experiences through delicious dishes, this opportunity could be your perfect next step!

Start Date: ASAP
Duration: Long-term position (also seasonal available)

Accommodation Provided weekly or monthly rent fees apply

Tasks & RequirementsWhat is expected from you

3–4 years of experience as a cook or Chef de Partie
Ability to work independently and efficiently in a professional kitchen
Experience with preparing dishes and following recipes
Eagerness to learn the local working standards and methods
Strong focus on quality, presentation, and consistency
Ability to perform well under pressure and adapt to changing situations
Proactive mindset — you take initiative, not wait for instructions

Ready to take your culinary career to the next level? Apply now and start your new culinary adventure!

More information will be provided after selection

Job Type: Full-time

Pay: From 2,500.00€ per month

Work Location: In person",Málaga,Todos
Digital Delivery Coordinator,A-SAFE Digital,España,No especificado,+ 30 d,"5,0","About A-SAFE and the Role

A-SAFE DIGITAL is a dynamic and innovative tech company dedicated to providing digital solutions for the A-SAFE Group.

Are you the kind of person who thrives on improving delivery and efficiency throughout an organisation?




As the Digital Delivery Coordinator you will help drive the successful delivery of digital solutions for A-SAFE Group’s digital transformation, ensuring execution stays on track, improving delivery predictability and efficiency, and delivering real business value. Working within an Agile framework, you will organise the backlog, remove blockers, and keep colleagues aligned, making processes clear and easy to follow. This role is ideal for someone who enjoys driving execution and is organised and proactive. You will report to the Digital Delivery Lead.

How you will make an impact:

You will organise and maintain backlog items, ensuring readiness for development.
You will translate business priorities and stakeholder requirements into well-defined items, applying business analysis techniques when needed.
You will coordinate with Delivery team members, developers, testers, and UX/UI teams to meet requirements, ensuring smooth integration of solutions into the wider digital ecosystem.
You will support sprint planning and reviews to keep delivery on track.
You will Identify risks in deliverables and resolve issues promptly, escalating when needed.
You will communicate progress and maintain alignment with timelines.
You will document requirements, decisions, and changes throughout the delivery cycle.
You will contribute to continuous improvement of delivery processes within the defined framework



What we would like you to Bring to the Team
Bachelor’s degree in Computer Science, IT, Engineering, Business, or equivalent work experience.
Minimum 2 years of experience in a digital/technology delivery environment (e.g., software development, digital implementation, project delivery).
Familiarity with Agile frameworks (Scrum, Kanban).
Ability to define requirements and write user stories.
Basic technical awareness (e.g., familiarity with concepts like APIs, databases, and system integrations at a high level).
Tech-oriented mindset with curiosity and a strong interest in digital products, staying informed about industry trends and emerging features.
Excellent communication skills (written and verbal) in English and Spanish.
Capacity to inspire collaboration to achieve shared goals.
Ability to work effectively with cross-functional teams.
Organisational and prioritisation skills.
Attention to detail and analytical skills for accurate and effective outcomes.
Problem-solving mindset.
Resilience, proactivity and comfort with ambiguity.

Nice-to-Haves (Desired)

Previous experience as a Product Owner, Business Analyst, or Project Coordinator in a digital/tech environment.
Exposure to user interaction and requirements gathering.
Experience with release coordination, quality assurance, or user acceptance testing.
Experience with backlog management tools (e.g., Jira, Trello, Linear, Planner, Asana) and knowledge sharing tools (e.g., Confluence, Microsoft SharePoint).
Exposure to digital ecosystems (ERP, CRM, WMS, HRIS, MES, LMS).
Familiarity with data-driven decision making and the ability to interpret dashboards and metrics (e.g., in Power BI) to inform actions.

Benefits




Opportunities for professional growth and career advancement.
Collaborative and supportive work environment.
Hybrid model: 3 days in the office, 2 days remote work.
On-site pool and ping-pong table
Intensive working hours (Jornada intensiva) in August: during this month we work from 8:00 to 15:00
Flexible working hours with the option to finish early on Fridays.
Apply

About us:

Our story started in 1984, when A-SAFE set out to solve real workplace safety problems with better, more innovative products. Today, our solutions protect people, assets and operations for brands globally.

We remain a family-owned business, built on strong values and long-term relationships. If you want to know what we stand for, you can learn more about our story and values.

Our HQ in Elland, Halifax, is home to cutting-edge manufacturing technology and modern offices that reflect the quality of what we do. You can take a virtual look around with our 3D tour.

A-SAFE has grown organically over the years and now supports more than 6,000 customers across 50 countries. We are proud to work with global names such as Amazon, Coca Cola and BMW. You can explore more of our Customer Success Stories here.

If you require the application form in an alternative format or need adjustments during the recruitment process, please contact us at recruitment@asafe.com.",Málaga,Todos
Dutch-speaking Customer Service Representative - Malaga,Transcom WorldWide,Arroyo de la Miel,No especificado,14 días,"5,0","Werk aan de Costa del Sol en help klanten met mobiele en thuisdiensten!

Wij zijn CX-fanaten, net zo gepassioneerd over onze klanten als hun fans. Daarom vertrouwen de meest geliefde merken ter wereld op ons. Achter de schittering van baanbrekende fintechs, technologische legendes en meer… daar vind je ons.

We zijn op zoek naar Nederlandstalige klantenservicemedewerkers voor ons Odido-project bij Transcom in Malaga, met een nieuwe startdatum op 16 maart 2026. Lijkt het jou wat om ons team te komen versterken?

Wat levert het JOU op!

* Salaris: € 2.094,66 bruto/maand (fulltime);

* Bonus: Kan oplopen tot 15% van het maandsalaris;

* Contract: Onbepaalde duur, 2 maanden proeftijd;

* Uren: 39 uur per week;

* Training: Start met 2 weken training, 1 week begeleid bellen, en 1 week extra training;

* Kantoor/Thuiswerk: eerste 3 maanden op kantoor, daarna gedeeltelijk thuiswerken mogelijk na goedkeuring van de team leaders;

* Werkplek: Inspirerende-, sociale werkomgeving in het zonnige Malaga;

* Carrière: Doorgroeimogelijkheden (bijv. Teamleider of Trainer);

* Teamgevoel: Samenwerking met Nederlandse collega’s;

* Verhuizing: Indien je in aanmerking komt, bieden we een relocatiepakket aan;

* Werk voor een bekroond bedrijf.

Kom bij Transcom werken als klantenservicemedewerker!

Als klantenservicemedewerker voor Odido Service & Tech beantwoord je vragen over mobiele telefonie, internet en tv, zoals:

* Mobiele diensten: Hoe installeer ik mijn simkaart? Hoe krijg ik internet op mijn mobiel?

* Thuisdiensten: Mijn internet is traag, wat nu? Hoe stel ik mijn tv-box in?

Je helpt klanten met hun vragen, maar sales is ook een erg belangrijk deel van je rol. Dankzij je commerciële inzicht weet je precies wanneer cross- of upselling waarde toevoegt — voor de klant én het resultaat.

Wat wij zoeken?

* Taalvaardigheden: Nederlands C2 en Engels (C1);

* Openingstijden: ma-vr 08:00-20:00 en zaterdagen en zondagen 09:00-17:30;

* Beschikbaarheid:

- 5 dagen/week beschikbaar, maandagochtend verplicht;

- 2 zaterdagen/maand;

- Flexibel om meer/minder uren te werken (afhankelijk van werklast). Dit heeft geen invloed op salaris/contracturen

* Servicegericht: Uitstekende communicatieve vaardigheden en klantvriendelijk;

* Technische affiniteit: Sterke interesse in technologie en sterke basis computervaardigheden;

* Salesvaardigheden: Commercieel ingesteld en gemakkelijk verkoopkansen benutten;

* Probleemoplossend vermogen: Klanten proactief en efficiënt helpen;

* Belangrijk: Om in aanmerking te komen, moeten kandidaten beschikken over het wettelijke recht om in Spanje te wonen en te werken.

Hoe het leven bij Transcom is!

Bij Transcom zijn we toegewijd aan klanten én elkaar. Elke dag begint iemand zijn/haar reis bij Transcom. Ze ontwikkelen potentieel tot waardevolle vaardigheden. Ze worden erkend voor inzet, teamgeest en steun aan anderen. Ze zetten zich in voor positieve verandering binnen teams.

Dat is wie we zijn. Hier geven we om elkaar en moedigen we elkaar aan. Je bent welkom, precies zoals je bent, vanaf dag één. En met de juiste mindset is er geen grens aan wat we samen kunnen bereiken.

Wij zijn een werkgever die gelijke kansen biedt en alle gekwalificeerde sollicitanten worden in overweging genomen voor tewerkstelling, ongeacht ras, huidskleur, religie, geslacht, nationaliteit, handicapstatus, beschermde status als veteraan of enige andere wettelijk beschermde eigenschap.

Vragen? Neem contact op via hello.spain@transcom.com

Tipo de puesto: Jornada completa, Media jornada, Contrato indefinido

Ubicación del trabajo: Teletrabajo híbrido en 29631 Arroyo de la Miel, Málaga provincia",Málaga,Todos
Agent commercial Junior appels entrants,Selectra,España,No especificado,13 días,"5,0","Important : ce poste est basé à Malaga.


Tu en as assez de ton emploi actuel et recherches un nouveau défi ? Tu aimes parler aux gens par téléphone, tu as un attrait pour la vente et maîtrises parfaitement le français ?

Alors tu es au bon endroit !

Profil

Ce poste d’Agent commercial junior appels entrants est fait pour toi si :

Tu es motivé et souhaite devenir un excellent vendeur en suivant l'une des meilleures formations initiales de vente en Europe ;
Tu es dynamique et n'as pas peur de parler à des personnes que tu ne connais pas ;
Tu es déterminé et chaque objection est pour toi un nouveau challenge de vente ;
Tu aimerais gagner de belles primes grâce à tes performances ;
Tu recherches une nouvelle opportunité de carrière en Espagne, tout en travaillant en français.

Tes missions

Ta mission en tant que commercial sédentaire est la vente de contrats d’énergie et de télécommunication sur le marché belge francophone auprès des particuliers. Tu devras donc :

Réceptionner les appels entrants ;
Identifier et comprendre les besoins des clients ;
Trouver et proposer l’offre énergie / télécom la plus adaptée ainsi que des ventes additionnelles ;
Traiter les objections et être force de proposition ;
Saisir les souscriptions et faire le suivi des ventes.

Chez Selectra, chaque appel est différent, mais l’objectif reste le même : vendre !

Oseras-tu relever le défi ?

Pourquoi Selectra?

Une entreprise ambitieuse et reconnue : citée dans le Financial Times 1000 comme l'une des entreprises à la croissance la plus rapide d'Europe et membre du French Tech 120 pour la deuxième année consécutive.
Des possibilités d’évolution rapides : nous reconnaissons le talent et la motivation et privilégions la mobilité interne plutôt que les recrutements externes.
Nous misons sur le développement de carrière et proposons une formation initiale et continue tout au long de ton parcours chez Selectra.
Événements d'entreprise : nous travaillons dur et nous aimons faire la fête une fois le travail terminé ! Nous organisons des événements d'équipe trimestriels ainsi que trois afterworks d’entreprise par an.
Nous nous soucions de ta santé et de ton bien-être :
des tarifs préférentiels pour une assurance maladie privée (offerte après un an dans l'entreprise) ;
tarifs préférentiels pour des salles de sports ;
des fruits frais livrés chaque semaine ;
mais surtout, une atmosphère saine, où nous ne laissons jamais des situations RH préoccupantes s’installer.
Un environnement de travail jeune et détendu avec une culture de la gentillesse : tu peux venir comme tu es, nous accueillons tout le monde, peu importe ta façon de t’habiller ou qui tu aimes !
Des événements d'entreprise : nous travaillons dur et aimons faire la fête une fois le travail terminé !

Processus de recrutement

Un premier échange téléphonique RH (15-20 minutes) ;
Un entretien de mise en situation par visioconférence (45-90 minutes) ;

À propos de nous

Notre mission est de rendre le monde moins cher, plus vert, et plus simple grâce à nos services de comparaison, souscription et gestion des contrats de la maison. Initialement comparateur des prix de l’énergie, Selectra a étendu son activité aux abonnements Internet et mobile, à l’assurance et à la banque. Notre avenir est de nous positionner comme la solution de référence pour les consommateurs souhaitant gérer l’ensemble de leurs abonnements et dépenses récurrentes sur un seul outil.

Comptant plus de 2200 collaborateurs, 96 millions d’euros de chiffre d’affaires en 2023 et des activités dans 17 pays, Selectra compte parmi les grandes startups européennes.

Selectra, leader européen de la comparaison des contrats de la maison, recherche des commerciaux pour étoffer ses équipes et pérenniser sa croissance à deux chiffres. Selectra est active dans l'énergie en Belgique sous le nom Callmepower depuis 2015 et a commencé à offrir des services Internet à partir de 2020. Toutes les opérations belges sont traitées depuis notre siège européen à Madrid. Connaissant actuellement une croissance rapide, Selectra Belgium vise à se classer rapidement parmi les principaux acteurs du marché.

Rejoins-nous !

Aucune considération de genre, d'âge, de couleur de peau, d'orientation sexuelle ou d'autre motif de discrimination ne vient interférer avec le processus de sélection chez Selectra.

Nous t’informons que les données te concernant sont informatisées et traitées de manière confidentielle. Tes données seront conservées jusqu’à trois ans après l’envoi de ta candidature. Seules les personnes employées au sein du service ressources humaines pourront accéder à tes données à des fins strictement internes. Tu peux accéder à tes données, les corriger ou les supprimer en contactant talents@selectra.info


IgwXPTE6iN",Málaga,Todos
Rental Manager | Marbella,Oasis Europe,Nueva Andalucia,2 mil € (Proporcionado por la empresa),24 horas,"5,0","We are looking for somebody that is highly organised, thinks in solutions rather than problems and who is very stress resistant.

You are a natural communicator and know how to connect with people. In addition, you have a driving licence, speak fluent English, are computer literate and motivated to be successful in your job.

Duties and Responsibilities.

Communicate with guests and respond to inquiries.
Prepare properties for check-ins.
Arrange, manage and execute check-ins & check-outs.
Manage keys and key management system.
Respond to guest and owner complaints and/or emergencies.
Purchase, manage and deliver goods & products.
Create, manage and supervise task execution via task system.
Arrange internal and external meetings with colleagues and external parties to ensure the execution and quality of our services.
Anticipate in the preparation process of a new rental property.
Maintain Property Management systems and Databases to ensure proper tracking of documentation and workflows.
Manage internship students during their internship in the Customer Focus team. They will assist with all aforementioned tasks.

Knowledge & Skills

Ability to communicate verbally and in writing in a professional way to guests and clients.
Ability to communicate and manage internal and external cooperation parties.
Ability to handle difficult situation and difficult customers in a professional way.
Ability to provide a level of customer service that meets or exceeds customer expectation and satisfaction.
Knowledge in basic computer programs.
Ability to relate and work effectively with colleagues.
Basic English as second language.
Flexible availability.

If you recognise yourself in this job description and already live in the Marbella region, we would like to meet you!

Please provide us your CV in English and we hope to welcome you as a member of the team!

In case you applied already in the earlier advertisement and we have missed you, please apply again. We had received many candidates and could not process everyone at the time.

Job Types: Full-time, Permanent

Pay: 1,500.00€ - 2,250.00€ per month

Work Location: In person",Málaga,Todos
Asesor Inmobiliario,Tecnocasa Álora,España,1 mil € (Proporcionado por la empresa),+ 30 d,"5,0","Asesor/a Inmobiliario en Tecnocasa Álora

Ubicación: Álora (Málaga)
Tipo de contrato: Jornada completa
Salario: Fijo + comisiones + incentivos
Incorporación: Inmediata

Descripción del empleo

En Tecnocasa Álora, agencia perteneciente a la red inmobiliaria líder en España y Europa, buscamos personas dinámicas, con ambición y ganas de crecer profesionalmente, para incorporarse a nuestro equipo como Asesor/a Inmobiliario/a.

Formarás parte de una oficina en expansión, donde recibirás formación continua, apoyo constante y oportunidades reales de desarrollo profesional dentro del grupo Tecnocasa.

Funciones principales

Captación y gestión de inmuebles.
Atención y asesoramiento personalizado a clientes compradores y vendedores.
Organización y realización de visitas a inmuebles.
Negociación y cierre de operaciones de compraventa o alquiler.
Gestión de la base de datos y seguimiento comercial.

Requisitos

No es necesaria experiencia previa (formación inicial a cargo de la empresa).
Residencia en Álora o alrededores.
Persona proactiva, con dotes comerciales y orientada a objetivos.
Buenas habilidades de comunicación y trabajo en equipo.
Permiso de conducir (valorable)

Ofrecemos

Formación continua en el sector inmobiliario y en técnicas de venta.
Atractivo sistema retributivo: sueldo fijo + comisiones + incentivos.
Posibilidad de desarrollo profesional y promoción interna dentro del Grupo Tecnocasa.
Excelente ambiente de trabajo en una empresa sólida y en crecimiento.

¿Te apasiona el mundo inmobiliario y quieres crecer con nosotros?
Envía tu currículum a [correo de contacto] o preséntate directamente en nuestra oficina Tecnocasa Álora, ¡queremos conocerte!

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 1.291,82€ al mes

Beneficios:

Cesta de navidad
Comidas en la empresa
Eventos de la empresa
Ordenador de empresa
Programa de formación
Teléfono de empresa

Ubicación del trabajo: Empleo presencial",Málaga,Todos
Téléconseiller (H/F) - CDI - Basé à Malaga,Hello Watt,España,1 mil € - 3 mil € (Proporcionado por la empresa),+ 30 d,"5,0","Tu veux partir vivre à Malaga et tu souhaites travailler en français pour une entreprise de la transition énergétique ?

Hello Watt est la plateforme de référence pour réduire sa facture d’énergie et son impact sur la planète.

Partout en France, Hello Watt permet aux particuliers de reprendre le contrôle de leur consommation d'énergie via son app, téléchargée plus d’un million de fois, et de :

Choisir un fournisseur d’énergie plus vert et moins cher ;
D’isoler son logement et de remplacer sa chaudière gaz ou fioul par une pompe à chaleur ;
D’installer des panneaux solaires pour devenir son propre producteur d'énergie renouvelable.

Hello Watt, c'est surtout une belle équipe de plus de 200 personnes, centrée sur la satisfaction de ses clients, et déterminée à accélérer la transition énergétique en France et en Europe !

Hello Watt accélère la transition énergétique en la rendant plus simple, plus performante et plus accessible.

Descriptif du poste :

En tant que téléconseiller·e en énergie , tu seras chargé·e de :

Prendre contact par téléphone avec les utilisateurs du site Hello Watt qui veulent changer de fournisseurs (rappel de clients intéressés - pas de prospection)
Les accompagner dans la souscription à leurs contrats (contrat d’énergie, assurances habitation, box internet, etc)
Les orienter vers des solutions d'économies d'énergie pertinentes pour leur logement (redirection vers les services solaire et rénovation énergétique)
Suivre les dossiers des clients pour assurer une validation définitive des contrats.

Tu aimes travailler dans une ambiance conviviale, tu adores parler avec les clients et les aider à trouver des solutions moins chères et adaptées à leurs besoins, et tu es reconnu pour ton professionnalisme ? Ne cherche plus, tu as le profil idéal pour nous rejoindre !

** Le poste est situé à Malaga (Espagne) **

Formation :

Hello Watt te propose une formation initiale de trois semaines en interne intégrant théorie et pratique, puis des modules de formation complémentaire pendant les 4 premiers mois (à minima). Tu développeras tes compétences commerciales et deviendras un expert de l’énergie.

Le profil recherché :

Une expérience réussie dans la vente,
Une appétence pour le commercial et un excellent relationnel, notamment une maîtrise totale du français (écrit/parlé)
De la rigueur et de la force de conviction pour accompagner le prospect tout au long du parcours
Dynamique, persévérant·e, pédagogue, à l’écoute,
Des connaissances en énergie seraient un plus !

Les valeurs d’Hello Watt :

Impact more : nous accompagnons les particuliers dans la transition énergétique et nous utilisons la tech pour leur permettre de maîtriser leur consommation. Nous visons grand pour maximiser cet impact.
User focused : à l'écoute de nos clients, nous cherchons à les étonner par la qualité de notre service et de nos produits.
One caring team : nous veillons au bien être et au développement de chacun en fondant nos relations sur l’humilité et l'honnêteté.

Process de recrutement :

Entretien téléphonique de 20 minutes et étude de cas (l’occasion pour toi de te projeter dans ce métier !)
Entretien en visio ou en physique avec un responsable d’équipe,
Entretien avec le directeur de site.

Informations pratiques :

Type d'emploi : Temps plein

Rémunération : Hello Watt s'engage sur le long terme avec ses commerciaux, c'est pourquoi nous proposons un fixe évolutif et un variable déplafonné.

Salaire brut à partir de 1424,50€/mois
Variable de performance brut : déplafonné, en fonction du nombre de ventes

Lieu du poste : En présentiel, à Malaga

Type d'emploi : Temps plein

Rémunération : 1 424,50€ à 3 300,00€ par mois

Capacité à faire le trajet ou à déménager:

29003 Málaga, Málaga provincia: Faire le trajet sans problème ou prévoir un déménagement avant de prendre son poste (Requis)

Langue:

français (Requis)

Lieu du poste : En présentiel",Málaga,Todos
Agente Inmobiliario (Captador y Comercial),Rino invest Asset S.L.,España,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"5,0","Rino Invest Asset S.L., empresa internacional dedicada a la promoción y comercialización inmobiliaria, busca incorporar un/a Agente Inmobiliario (Captador y Comercial) con experiencia para unirse a nuestro equipo en Málaga.

Funciones del Puesto

Intermediación inmobiliaria y gestión de proyectos inmobiliarios.
Visitas y negociaciones con propietarios o colaboradores para obtener órdenes de intermediación.
Determinación del precio de mercado de propiedades, con apoyo de tasadores si es necesario.
Creación de contenido para dossiers comerciales (imágenes, vídeos, planos).
Inspección de propiedades con clientes y asistencia personalizada (incluyendo traslados desde/hacia aeropuertos y hoteles).

Requisitos Imprescindibles

Experiencia: Mínimo 5 años en el sector inmobiliario.
Idiomas: Inglés (C1-C2) y Castellano (C1-C2).
Habilidades: Dotes comerciales y experiencia en atención al cliente.
Herramientas: Dominio de software inmobiliario.
Conocimiento profundo del mercado inmobiliario local y compromiso exclusivo con Rino Invest Asset S.L.

Requisitos Valorables

Experiencia adicional en el sector inmobiliario.

Competencias Deseadas

Trabajo en equipo, responsabilidad y puntualidad.
Iniciativa y capacidad para multitareas en entornos de estrés.
Motivación y visión de crecimiento profesional.
Excelentes habilidades comerciales.

¿Por qué trabajar con nosotros?

En Rino Invest Asset S.L., ofrecemos un entorno dinámico y profesional donde podrás desarrollar tu carrera en el sector inmobiliario internacional. Valoramos el compromiso, la iniciativa y el talento comercial, brindando oportunidades de crecimiento y un sistema de comisiones competitivo.

Tipo de puesto: Jornada completa, Media jornada

Sueldo: 1.200,00€-1.500,00€ al mes

Beneficios:

Teléfono de empresa

Preguntas para la solicitud:

¿Tienes experiencia en manejo de software inmobiliario?

Educación:

FP Grado Superior (Obligatorio)

Experiencia:

Agente Inmobiliario (Captador y Comercial): 5 años (Obligatorio)

Idioma:

Español (Obligatorio)
Inglés (Obligatorio)

Licencia/Certificación:

Carnet de conducir B (Obligatorio)

Ubicación del trabajo: Empleo presencial

Fecha límite para enviar la solicitud: 30/05/2025",Málaga,Todos
