Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Mecánico/a industrial,Grupo Nortempo,Orense,25 mil € - 27 mil € (Proporcionado por la empresa),28 días,"3,4","Desde Grupo Nortempo estamos colaborando con una empresa especializada en mantenimiento y reparación de maquinaria industrial, y nos encontramos en la búsqueda de un/a:


Mecánico/a Maquinaria


Funciones:




Preparar la maquinaria según los estándares de calidad y funcionamiento establecidos por la compañía.
Ejecutar las tareas asignadas por el jefe de taller, incluyendo mantenimientos preventivos y correctivos, reparaciones, ajustes y puestas a punto.
Asegurar el buen estado de las instalaciones, manteniendo el orden y limpieza del entorno de trabajo, así como el cuidado del utillaje y equipos comunes.
Proponer mejoras continuas en los procedimientos, medios técnicos y maquinaria, contribuyendo a la optimización de los procesos del taller.


Requisitos:




Formación profesional de grado medio o superior en ramas técnicas: mecánica, electricidad o electrónica.
Experiencia mínima de 3 años como técnico electromecánico.
Capacidad para resolver problemas de forma autónoma.
Habilidades sociales y facilidad para las relaciones interpersonales.
Flexibilidad y adaptación a cambios en las tareas según las necesidades operativas del taller.


Se ofrece:




Contrato indefinido
Salario: 25.000/30.000 € bruto/año en función del perfil.
Jornada completa: horario de lunes a jueves de 08.00 a 17.30 horas y viernes de 08.00 a 14.00 horas.
Incorporación a un equipo técnico con alto nivel de especialización.
Posibilidad de desarrollo profesional y formación continua.


Buscamos a una persona comprometida, con iniciativa y actitud orientada a la mejora continua. Si te apasiona la mecánica, la versatilidad técnica y los entornos dinámicos, ¡queremos conocerte!


Requisitos


-Formación profesional de grado medio o superior en ramas técnicas: mecánica, electricidad o electrónica. -Experiencia mínima de 3 años como técnico electromecánico. -Capacidad para resolver problemas de forma autónoma. -Habilidades sociales y facilidad para las relaciones interpersonales. -Flexibilidad y adaptación a cambios en las tareas según las necesidades operativas del taller.


Se ofrece


-Contrato indefinido -Salario: 25.000/30.000 € bruto/año en función del perfil. -Jornada completa: horario de lunes a jueves de 08.00 a 17.30 horas y viernes de 08.00 a 14.00 horas. -Incorporación a un equipo técnico con alto nivel de especialización. -Posibilidad de desarrollo profesional y formación continua.

Requisitos

Formación profesional de grado medio o superior en ramas técnicas: mecánica, electricidad o electrónica.
Experiencia mínima de 3 años como técnico electromecánico.
Capacidad para resolver problemas de forma autónoma.
Habilidades sociales y facilidad para las relaciones interpersonales.
Flexibilidad y adaptación a cambios en las tareas según las necesidades operativas del taller.

Estudios mínimos Máster
Experiencia mínima Al menos 2 años
Se Ofrece

Contrato indefinido
Salario: 25.000/30.000 € bruto/año en función del perfil.
Jornada completa: horario de lunes a jueves de 08.00 a 17.30 horas y viernes de 08.00 a 14.00 horas.
Incorporación a un equipo técnico con alto nivel de especialización.
Posibilidad de desarrollo profesional y formación continua.",Ourense,Todos
Asesor/a Laboral,Kolibri Consulting,Orense,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,4","Buscamos, para un Despacho Profesional consolidado, un/a Asesor/a Laboral con experiencia demostrable en la gestión integral de nóminas y seguridad social para una cartera de clientes (Pymes y Autónomos).

Si tiene un conocimiento profundo del Derecho Laboral y la Negociación Colectiva, y domina las plataformas oficiales (Sistema RED, SILTRA), le invitamos a formar parte de nuestro equipo.

Funciones Clave: Dominio Integral de la Gestión de Personal

El/La Asesor/a Laboral será el/la profesional de referencia para los clientes en todo lo relativo a recursos humanos y normativa sociolaboral:

Confección de Nóminas y Seguros Sociales:
Cálculo y elaboración mensual de nóminas, pagas extras y liquidaciones (finiquitos).
Preparación y presentación de los seguros sociales a través del Sistema RED y SILTRA.
Contratación y Trámites Oficiales:
Redacción y gestión de todo tipo de contratos de trabajo, prórrogas y variaciones contractuales.
Gestión de altas, bajas, variaciones de datos y partes de IT (Incapacidad Temporal) ante la Seguridad Social.
Preparación de los modelos de retenciones (Modelo 111 y 190).
Asesoramiento Estratégico:
Resolución de consultas diarias de los clientes sobre convenios colectivos, jornada laboral, licencias y permisos.
Asistencia en inspecciones de trabajo y gestión de expedientes de regulación de empleo (ERTE/ERE).
Mantenimiento actualizado de los expedientes de personal de la cartera asignada.

Requisitos Indispensables del Perfil

Experiencia: Mínimo 3-5 años de experiencia reciente y demostrable como Asesor/a Laboral o Graduado Social en un Despacho o Asesoría.
Formación: Titulación universitaria en Relaciones Laborales y Recursos Humanos (Graduado/a Social), Derecho o similar.
Conocimiento Legal: Dominio avanzado de la legislación laboral española vigente, incluyendo convenios colectivos de aplicación frecuente (ej. sector metal, comercio, oficinas y despachos).
Herramientas: Dominio experto de Software de Nóminas (ej. A3nom, Nominasol, Sage) y manejo fluido de las plataformas de la Seguridad Social (Sistema RED, SILTRA, Contrat@).
Habilidades: Capacidad organizativa para la gestión de plazos fijos (cierres de nómina), atención al detalle y excelente trato con el cliente.

Condiciones de la Contratación

Contrato: Puesto estable con Contrato Indefinido (contrato indefinido).
Desarrollo: Integración en un equipo especializado con apoyo para el desarrollo profesional continuo en materia de legislación.
Remuneración: Salario competitivo, acorde a la experiencia técnica en asesoría laboral.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Ourense, Ourense provincia (Ourense)",Ourense,Todos
Monitor/a de Bailes de Salon,LUDIBE,Orense,"12,00 € Por hora (Proporcionado por la empresa)",+ 30 d,"3,4","Somos una agencia especializada en la prestación de servicios de ocio, tiempo libre y formación que opera a nivel nacional.

Para dar respuesta a las necesidades de nuestros clientes, necesitamos incorporar monitores en las principales ciudades de España.

Buscamos personas responsables, comunicativas y con amplios conocimientos en materia de formación y/o actividades de ocio y tiempo libre:

Taller de Bailes de Salon

Tipo de puesto: Contrato fijo discontinuo

Sueldo: 12,00€ la hora

Preguntas para la solicitud:

¿ En que ciudad resides?
¿ En qué tipo de formación o taller tienes experiencia?

Experiencia:

Monitor en Animación y Gestión de grupos: 2 años (Deseable)

Ubicación del trabajo: Empleo presencial",Ourense,Todos
Secretario/a,Domestiko,Orense,No especificado,+ 30 d,"3,4","Se busca una persona resolutiva y con iniciativa para ocupar un puesto de apoyo administrativo en nuestras instalaciones. Las responsabilidades principales incluirán la gestión de tareas diarias de oficina, asegurando un funcionamiento eficiente y organizado.

Para esta posición, se requiere contar con formación profesional de grado medio o superior, diplomatura o grado en áreas relacionadas con la administración. Es fundamental un buen dominio de las herramientas de Microsoft Office.

Será valorable la experiencia previa en puestos similares y el conocimiento del programa LexNET. Se ofrece un contrato indefinido a jornada completa, con un horario partido que facilita la conciliación.",Ourense,Todos
Administrativo/a,Domestiko,Orense,No especificado,+ 30 d,"3,4","Se busca un/a auxiliar administrativo/a para integrarse en nuestro equipo. Las funciones principales incluirán la gestión y el archivo riguroso de toda la documentación pertinente, así como la atención telefónica y presencial a clientes y colaboradores. También se encargará de la administración de agendas, la tramitación eficiente de la correspondencia entrante y saliente, y colaborará en tareas contables básicas.

Para este puesto es fundamental contar con una titulación de Técnico en Gestión Administrativa o superior, un buen dominio de la lengua gallega y sólidas competencias informáticas. Se valorará positivamente que los candidatos posean el permiso de conducir B1.

Se ofrece una oportunidad de empleo temporal, con una jornada laboral parcial distribuida de lunes a viernes, que permite conciliar la vida profesional y personal.",Ourense,Todos
Dependiente/a,Domestiko,Orense,No especificado,6 días,"3,4","Se busca dependiente/a para establecimiento de sombrerería en Ourense. Es fundamental que los aspirantes cumplan con una serie de requisitos que deberán figurar en su demanda de empleo.

Se valorará la experiencia previa en puestos similares. La oferta contempla un contrato indefinido, con una jornada laboral parcial que incluye tardes entre semana y dos mañanas de sábado al mes.",Ourense,Todos
Empleado/a administrativo,Domestiko,España,No especificado,+ 30 d,"3,4","Buscamos a una persona con formación profesional de grado medio en gestión administrativa para unirse a nuestro equipo. Tus responsabilidades incluirán la gestión de documentos, el archivo de expedientes y el soporte en tareas de contabilidad.

También te encargarás del control de albaranes, la gestión de gastos y la supervisión de suministros. Ofrecemos un contrato indefinido a jornada completa, con la oportunidad de desarrollarte profesionalmente en un entorno dinámico.

Este puesto requiere atención al detalle y habilidades organizativas. Valoramos la proactividad y la capacidad para trabajar de forma autónoma y en equipo, contribuyendo al buen funcionamiento de las operaciones diarias.",Ourense,Todos
Auxiliar de Cajas/Reposición,Carrefour,Orense,No especificado,24 horas,"3,4","¡Hola! ¡Queremos conocerte!
¿Te apasiona el mundo del comercio? ¿Te preocupas por los detalles? ¿Te consideras una persona dinámica? ¡Te estábamos esperando!
Carrefour es una empresa líder en comercio de alimentación y distribución y queremos que inicies una carrera profesional llena de posibilidades con nuestros mejores profesionales.
Pretendemos que todos los días sean un aprendizaje, que crezcas y llegues tan lejos como quieras. Te ofrecemos formación a cargo de la empresa y la posibilidad de promocionar internamente para seguir creciendo con nosotros.
¿Qué buscamos?
Que nuestros clientes quieran volver y para ello hay que empezar por nuestros colaboradores. Nuestro objetivo es encontrar personas con don de gentes, dinámicas, con capacidad de aprendizaje y a las que les guste trabajar en equipo.
¿Cuáles serían tus funciones?

Aportar la ayuda que nuestros clientes necesiten en su recorrido por la tienda.
Te ocuparás del mantenimiento de la imagen de la tienda, organizar el almacén, cobrar en caja y reponer los productos, para dar a nuestros clientes el servicio que están buscando.

Nos encantará conocerte si cuentas con:

Educación Secundaria Obligatoria (formación mínima requerida).
Habilidades: orientación al cliente, trabajo en equipo, proactividad.
Se valora la experiencia previa pero no es imprescindible.
Incorporación a una gran compañía donde podrás crecer.
Descuento del 8% para ti y para 6 personas más en todos nuestros productos.
Formación continua para desarrollarte profesionalmente.
Programas que se preocupan por tu bienestar: Carrefour Life (actividades y eventos deportivos, descuentos y ventajas exclusivas).

En Carrefour apostamos por un espacio de trabajo idóneo para que cualquier persona con independencia de su género, orientación sexual, identidad y/o expresión de género, creencias, ideologías, origen, capacidades, entre otras, pueda desplegar todo su potencial.",Ourense,Todos
Técnicos en gestión de stocks y/o almacén,Domestiko,Orense,No especificado,+ 30 d,"3,4","Se requiere personal para realizar inventarios de productos. Este es un contrato temporal con una jornada parcial de 15 horas semanales. Es importante tener en cuenta que la jornada puede incluir turnos durante el horario nocturno.

Para poder optar a este puesto, es indispensable que los candidatos dispongan del permiso de conducir B. Además, se necesita total disponibilidad para viajar y pernoctar fuera de casa cuando sea requerido para las tareas del inventariado.

Se valorará la experiencia previa en gestión de stocks y/o almacén, aunque no sea un requisito excluyente. Buscamos personas serias y organizadas que puedan integrarse en nuestro equipo para llevar a cabo estas funciones.",Ourense,Todos
Auditor/a de inventario sin experiencia,RGIS,Orense,"9,38 € Por hora (Proporcionado por la empresa)",+ 30 d,"3,4","RGIS SPAIN S.L.


Ourense



Experiencia

No se requiere experiencia

Salario

Retribución sin especificar

Área - Puesto

Compras, logística y transporte

Inventarista

Personal de tienda y retail

Inventarista
Categoría o nivel

Empleado/a

Vacantes

14

Inscritos

15

Contrato

Contrato De duración determinada


Proceso de selección continuo.

Funciones

RGIS busca incorporar auditor/a de inventarios para trabajar en sus campañas de conteo de productos en tiendas. La empresa realiza inventarios durante todo el año, con descansos en Navidad y verano, y jornadas de lunes a viernes. No se requiere experiencia previa, ya que se ofrece formación. La empresa valora perfiles profesionales, comprometidos y responsables. Misión del puesto Realizar inventarios fiables y rápidos de los productos en tienda, asegurando precisión y cumplimiento de los procedimientos. Funciones del puesto · Contar los productos de la tienda utilizando un lector de código de barras. · Seguir las indicaciones del supervisor/a durante todo el proceso. · Garantizar la fiabilidad y rapidez del inventario. · Interactuar profesionalmente con clientes y compañeros durante el trabajo. · Adaptarse a los horarios de inventario, normalmente durante la noche o según la misión asignada. · Desplazarse a los puntos de salida y llegada según planificación. · En inventarios fuera de la zona local, pernoctar fuera de casa si es necesario.

Requisitos

· ¡Saber contar! · Puntualidad, compromiso y rigor en la realización de tareas. · Capacidad para contar y verificar productos con precisión. · Disponibilidad para trabajar en horarios flexibles (tarde/noche) y en días de inventario según planificación. · Carné de conducir y vehículo propio para desplazamientos a los puntos de salida y llegada. · Disponibilidad para viajar y pernoctar en inventarios fuera de la zona local. · Honestidad y claridad en la comunicación sobre disponibilidad y condiciones.

Se ofrece

· Contrato temporal para la campaña de inventarios con opción a incorporación como fijo discontinuo tras la campaña. · Salario: 10,28 €/h en horario nocturno (22:00 a 06:00) y 9,38 €/h en horario diurno. · Compensación adicional por dietas y kilometraje (detalles en entrevista). · Transporte y alojamiento proporcionados por la empresa cuando se requiera. · Planificación de trabajos publicada en la App para organización previa. · Fines de semana libres y periodos vacacionales. · Posibilidad de crecimiento dentro de la empresa, incluyendo supervisión y formación interna.

Etiquetas
no necesaria experiencia",Ourense,Todos
