Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
EMEA Pricing Manager (Industrial),Axalta,España,No especificado,21 días,"3,6","Axalta has remained at the forefront of the coatings industry by continually investing in innovative solutions. We engineer technologies that protect customers’ products – whether they are battling heat, light, corrosion, abrasion, moisture, or chemicals – and add dimension and beauty with colourful finishes. We have a vast and ever-evolving portfolio of brands primed to play an important part in everything from modernizing infrastructure around the world to enabling the next generation of electric and autonomous vehicles.

We are currently looking for an EMEA Pricing Manager (Industrial) to join us at our facility in Asturias, Spain, on a hybrid setting, working 2 days from home and 3 days from the office at your choice.

The Global Industrial Pricing Team is seeking a skilled and detail-oriented Pricing Manager to join our organization. The Pricing Manager will play a critical role in analyzing pricing strategies, market trends, and competitive landscapes to optimize product pricing. The successful candidate will work closely with cross-functional teams to ensure our pricing models align with business objectives and drive revenue growth.

Key responsibilities:

Conduct pricing analysis and sensitivityífy analysis to determine the impact of different pricing scenarios on revenue and profitability.
Analyze pricing data, sales data, and customer feedback to derive insights and make data-driven recommendations for pricing improvements.
Prepare regular reports and presentations to communicate pricing analysis and recommendations to key stakeholders.
Collaborate with the sales and marketing teams to align pricing strategies with product positioning and customer segments.
Develop and maintain pricing models based on cost analysis, market dynamics, and business goals.
Provide recommendations based on competitive benchmarking to improve our pricing strategies.
Continuously monitor the performance of pricing strategies and initiatives and recommend adjustments to optimize pricing and maximize revenue.
Utilize data analytics and key performance indicators to evaluate the effectiveness of pricing strategies and initiatives.
Collaborate with cross-functional teams, including sales, marketing, finance, and product management, to gather insights and incorporate inputs into pricing strategies.
Work closely with stakeholders to ensure alignment of pricing strategies with business objectives and customer expectations
Analyze market trends, competitor pricing strategies, and customer behavior to develop effective pricing strategies that maximize profitability and competitiveness.

Key requirements:

Bachelor's degree in finance, business, mathematics, economics, or other related fields is required.
Minimum 5 years in pricing analysis, pricing strategy, market research, or related roles.
Proficient in data analysis tools such Microsoft Excel, Power BI.
Proven project management success with high visibility projects.
Experience with SAP and CRM (Salesforce) desired.
Strong analytical and problem-solving skills, with the ability to analyze complex data sets and extract meaningful insights.
High level of attention to detail to ensure accuracy in pricing models and analysis.
Ability to work at tactical and strategic levels.
Excellent communication and presentation skills to effectively convey pricing strategies and insights to stakeholders.
Ability to interact and influence at all levels of the organization; experience presenting at an executive level.

Axalta operates its business in two segments: Performance Coatings and Mobility Coatings, which serve four end markets, including Refinish, Industrial, Light Vehicle and Commercial Vehicle, across North America, EMEA, Latin America and Asia-Pacific. Our diverse global footprint allows us to deliver solutions in over 140+ countries and coat 30 million vehicles per year. We’ve recently set an exciting 2040 carbon neutrality goal, in addition to 10 other sustainability initiatives, and we take pride in working with our customers to optimize their businesses and achieve their goals.

Our Company:

Axalta has remained at the forefront of the coatings industry by continually investing in innovative solutions. We engineer technologies that protect customers’ products – whether they are battling heat, light, corrosion, abrasion, moisture, or chemicals – and add dimension and beauty with colorful finishes. We have a vast and ever-evolving portfolio of brands primed to play an important part in everything from modernizing infrastructure around the world to enabling the next generation of electric and autonomous vehicles.


Axalta operates its business in two segments: Performance Coatings and Mobility Coatings, which serve four end markets, including Refinish, Industrial, Light Vehicle and Commercial Vehicle, across North America, EMEA, Latin America and Asia-Pacific. Our diverse global footprint allows us to deliver solutions in over 140+ countries and coat 30 million vehicles per year. We’ve recently set an exciting 2040 carbon neutrality goal, in addition to 10 other sustainability initiatives, and we take pride in working with our customers to optimize their businesses and achieve their goals.

Axalta may use technology-assisted tools, including artificial intelligence (AI), to support certain aspects of the recruitment and selection process. These tools may be used to help manage applications, identify job-related qualifications, and assist recruiter review. All hiring decisions involve human oversight and review.

Recruitment Fraud Alert: We take candidate safety seriously. If you believe you’ve encountered a fraudulent job posting claiming to represent our company, please include a link or screenshot and report it to TA-Support-Center@axalta.com.",Oviedo,Todos
Médico capilar,Muy Capilar,España,25 mil € - 45 mil € (Proporcionado por la empresa),29 días,"3,6","Desde MCapilar, clínica líder del sector capilar, buscamos incorporar a nuestra plantilla un médico capilar que pueda brindar a nuestros pacientes un servicio de calidad y excelencia.

Requisitos:

- Título de medicina.
- Colegiatura de medicina.

-Master en tricología y cirugía capilar
- Seguro de responsabilidad civil.

Tipo de puesto: Jornada completa

Sueldo: 25.000,00€-45.000,00€ al año

Preguntas para la solicitud:

¿ Has trabajado anteriormente en un puesto similar?
¿Tienes disponibilidad para viajar para hacer formación, cursos...?

Experiencia:

médico capilar : 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Oviedo,Todos
Puestos vacantes: Beca Unidad de Compras y Logística (Oviedo) (13009),Naturgy,España,No especificado,30 días,"3,6","Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta.
Si te encuentras cursando el último año de estudios universitarios, ofrecemos la posibilidad de realizar becas en nuestros negocios en distintas especialidades, que te permitirán completar tu formación y ayudarte en tu orientación profesional. Comprueba en el detalle a qué estudios van dirigidas.
¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!


Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta. Buscamos talento joven, digital, flexible y creativo. Conecta con nosotros tus ganas de aprender y de trabajar en equipos diversos. Buscamos tu proactividad y valentía para impulsar nuestra transformación y la del mundo, a través de la energía. ¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!


Para cumplir estos compromisos contamos con el talento de un equipo transformador, diverso y muy comprometido. En Naturgy Impulsamos la conexión de nuestros profesionales con las últimas tendencias del entorno, conocimientos digitales y competencias vinculadas a nuestros modelos de liderazgo y cultura. Asimismo promovemos su desarrollo integral a través de diversas medidas de conciliación profesional y laboral. Para integrar el talento que necesitamos, nuestro modelo de selección externa está homogeneizado en todas las geografías donde operamos, para garantizar una única estrategia empleadora, priorizando la igualdad de oportunidades y la diversidad como ejes de nuestra transformación
Departamento: Compras y Logística - Generación Térmica España


Funciones a realizar:
Identificar las recomendaciones de mantenimiento de los fabricantes.
Uniformizar las acciones de mantenimiento.
Identificación de los activos físicos en SAP S/4HANA.
Enriquecimiento documentación técnica en el SAP S/4HANA.
Propuesta de revisión del Pliego Técnico.


Requisitos:
Estudiante de Grado en Ingeniería mecánica o similar
Excel intermedio


Herramientas que utilizarás en tus prácticas:
Excel avanzado.
Power BI.
SAP.


Se ofrece:
Ayuda a estudios.
Aprendizaje en un puesto específico de compras válido para cualquier empresa.
Buen ambiente de trabajo.


Las prácticas se realizarán presencialmente en CL. Santa Susana, 2. Oviedo (33007).


¿Te apuntas al desafío?
Rellena el formulario con tus datos. Para completar el perfil, adjunta tu CV y tu expediente académico.
Si cumples el perfil, contactaremos contigo para participar en una prueba y entrevistas.
Si avanzas con éxito en el proceso ¡te damos la bienvenida al equipo Naturgy!
¡Inscríbete y atrévete a impulsar tu energía y acelerar tu futuro con Naturgy!",Oviedo,Todos
Comercial Occident,Occident,España,No especificado,16 días,"3,6","¡Impulsa tu carrera como Comercial en Occident!

¿Te apasiona crecer, aprender y marcar la diferencia? En Occident, no solo buscamos talento: lo desarrollamos. Únete a un equipo donde el acompañamiento, la formación personalizada y el reconocimiento son parte del día a día.

¿Qué te espera con nosotros?

Objetivos variables: tu esfuerzo tiene recompensa real.

Formación sólida y cercana: te acompañamos desde la experiencia y el compromiso.

Flexibilidad real: gestiona tu tiempo y tu desarrollo a tu ritmo.

Un entorno positivo y dinámico: donde cada reto es una oportunidad de crecer.

Liderazgo que inspira: basado en la confianza, la escucha activa y el respeto.

Viajes, logros y evolución profesional: porque aquí celebramos tus metas.

¿A quién buscamos?

Personas con actitud proactiva y orientación a resultados.

Con ganas de aprender, crecer y superarse cada día.

Que valoren el trabajo en equipo y la buena comunicación.

Que quieran formar parte de un proyecto con propósito y futuro.

¿Qué dicen quienes ya están aquí?

“Me siento acompañado, inspirado y con retos apasionantes. Aquí no solo crezco como profesional, también como persona.”

Si estás listo para dar el siguiente paso en tu carrera y formar parte de un equipo que cree en ti desde el primer día, ¡te estamos esperando!

Envía tu CV ahora y empieza tu camino con nosotros.

Tipo de puesto: Jornada completa

Beneficios:

Ayuda al desarrollo profesional
Flexibilidad horaria
Formación en certificaciones profesionales
Programa de formación
Teletrabajo opcional

Preguntas para la solicitud:

¿Has trabajado alguna vez enfocado/a a objetivos?

Ubicación del trabajo: Teletrabajo híbrido en 33001 Oviedo, Asturias provincia",Oviedo,Todos
Responsable de taller,Talent2time,España,28 mil € - 35 mil € (Proporcionado por la empresa),8 días,"3,6","Oferta de Empleo: Responsable de Taller de metal

Grupo Empresarial con Sede Fiscal en Gijón y Delegación en Madrid

Desde Talent2time como recruiter de RRHH para importante compañía en Gijón cuya taller de carpintería metálica/ desarrollo de imágenes corporativas está equipado con herramientas y maquinaria de última generación, orientado a la fabricación y montaje de estructuras metálicas, mobiliario urbano y componentes personalizados según las especificaciones del cliente.con un enfoque en la precisión y la calidad en cada proyecto, buscamos para formar parte de equipo Responsable de Taller

Funciones del Puesto:

Gestión de Equipo y Liderazgo: Supervisar y coordinar un equipo promoviendo un ambiente de trabajo seguro, eficiente y motivador.
Gestión de Producción: Planificar y organizar la producción de manera efectiva, asegurando el cumplimiento de los plazos de entrega y la calidad de los productos. Supervisar el proceso de fabricación y montaje, realizando ajustes cuando sea necesario.
Planificación de Órdenes de Trabajo: Elaborar y gestionar el calendario de producción, priorizando tareas y asegurando una correcta asignación de recursos. Realizar seguimientos periódicos para garantizar la correcta ejecución de los proyectos.
Contacto con Clientes y Proveedores: Colaborar con proveedores para asegurar la disponibilidad de materiales y equipos necesarios.
Seguimiento de Obra: Visitar obras y coordinar con el equipo de montaje para asegurar que las instalaciones se realicen conforme a los planos y especificaciones acordados. Gestionar cualquier incidencia que pueda surgir en el proceso.
Interpretación de Planos y Diseños: Leer e interpretar planos técnicos y diseños tanto en 2D como en 3D,

Requisitos:

Formación Profesional (FP): Grado Medio o Superior en Fabricación Mecánica, Construcciones Metálicas o Soldadura y Calderería.
Lectura avanzada de planos: Capacidad para interpretar planos arquitectónicos y de despiece industrial.
Manejo de maquinaria: Conocimiento experto en cizallas, plegadoras (manuales y CNC), tronzadoras, prensas y equipos de soldadura.
Conocimiento de materiales: Diferenciar tratamientos y comportamientos del acero al carbono, acero inoxidable, aluminio y sus acabados (lacados, galvanizados, imprimaciones).
Software CAD: Conocimientos básicos de AutoCAD o similares para consultar medidas o realizar pequeñas modificaciones.
Liderazgo y autoridad: Capacidad para gestionar conflictos y mantener la disciplina en el taller.
Planificación estratégica: Capacidad para organizar el flujo de trabajo de varias semanas vista.
Resiliencia: Temple para manejar las prisas de los clientes y los retrasos de los proveedores sin perder la eficiencia.

Ofrecemos:

Contrato indefinido.
Jornada partida de lunes a viernes.
Oportunidades de desarrollo profesional.

Tipo de puesto: Jornada completa

Sueldo: 28.000,00€-35.000,00€ al año

Ubicación del trabajo: Empleo presencial",Oviedo,Todos
Operario/A Sector Metal,Gi Group Holding,España,No especificado,8 días,"3,6","Desde Gi Group, la firma de servicios de trabajo temporal y permanent placement de Gi Group Holding, multinacional italiana líder en soluciones de Recursos Humanos, estamos convencidos de que podemos ayudarte a encontrar tu trabajo ideal. Es sencillo, cuidamos de ti y nos preocupamos por potenciar tu carrera profesional.


Actualmente, desde la delegación de Oviedo nos encontramos en busca de OPERARIO/A DE PRODUCCIÓN, para GIJON

¿Buscas estabilidad, proyección y formar parte de una compañía referente en el sector metal? Esta es tu oportunidad. Estamos seleccionando varios operarios/as de producción para reforzar diferentes áreas de una importante empresa ubicada en el centro de Asturias.


¿Cómo será tu día a día?

Formarás parte del equipo de producción en las secciones de abastecimiento de maquinaria de trefilado, perfilado y transformación, así como de la línea de pintura. Manejarás principalmente puente grúa, transpaleta y/o carretilla elevadora.


¿Qué necesitamos de ti?

Carnet de puente grúa en vigor (imprescindible).

Experiencia previa en entornos industriales o del metal.

Disponibilidad para trabajar en turno 3T4, de lunes a domingo según cuadrante.

Actitud proactiva, responsabilidad y ganas de aprender.


Y por nuestra parte, ¿qué podemos ofrecerte?

Contrato fijo discontinuo.

Salario según convenio propio de empresa, (mejorado respecto al metal) con primas de producción.

Formación inicial y acompañamiento para que puedas desarrollarte desde el primer día.


Y bien, ¿estás preparad@? Una oportunidad laboral de calidad y un trato personalizado y cercano te están esperando.


¡Inscríbete a la oferta y únete al equipo Gi Group! Te estamos esperando porque #NuestroCompromisoEresTú.


En cumplimiento de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, le informamos de que sus datos personales forman parte de un fichero propiedad de Gi Group Spain ETT S.L.U. y son tratados con la única finalidad de mantener la relación adquirida con usted. Puede ejercitar sus derechos de acceso, rectificación, cancelación y oposición dirigiéndose por escrito a Paseo de la Castellana, 89, 5º Planta, 28046, Madrid.",Oviedo,Todos
Electromecánico/a,Eurofirms,España,No especificado,16 días,"3,6","Oviedo, Asturias

Empleo de Electromecánico/a, Oviedo
Fecha de publicación:
09/02/2026
Horario:
Jornada completa de 40 horas semanales con los descansos establecidos por ley.
Vacantes:
1
Salario:
A concretar
Población:
Oviedo



Descripción de la oferta de empleo de Electromecánico/a en Oviedo

Desde Eurofirms, seleccionamos un/a Electromecánico/a Oficial de 1ª para importante compañía del sector industrial ubicada en la zona de Oviedo. La incorporación es directa por empresa, con un proyecto estable y de largo recorrido.

Mantenimiento preventivo y correctivo de maquinaria industrial.
Diagnóstico y reparación de averías en sistemas eléctricos, mecánicos, hidráulicos y neumáticos.
Ajustes, montajes y mejoras en equipos productivos.
Interpretación de planos y esquemas eléctricos/mecánicos.
Colaboración con el equipo de mantenimiento para garantizar la disponibilidad de la maquinaria.
Función:
Electromecánico/a
Requisitos:
- Experiencia demostrable como Oficial de 1ª en entornos industriales.

Conocimientos sólidos en electricidad, mecánica, hidráulica y neumática.
Buscamos a una persona con capacidad para trabajar de forma autónoma y resolutiva.
Valorable residencia cercana al puesto de trabajo.
Formación:
GM/GS en Electromecánica, Mantenimiento Industrial o similar
Idiomas:
Castellano hablado y escrito correctamente.",Oviedo,Todos
Project Manager,PROASUR,España,37 mil € - 48 mil € (Proporcionado por la empresa),2 días,"3,6","Project Manager - Museografía y Espacios Expositivos (H/M/D)

Solo se valorarán candidaturas que adjunten carta de motivación para el puesto

Sobre la posición

En PROASUR buscamos incorporar a una persona con visión estratégica para liderar proyectos internacionales singulares. Si te motiva gestionar el ciclo de vida completo de un proyecto, desde el detalle técnico hasta el éxito financiero, y buscas un entorno donde ejercer con autonomía y responsabilidad, esta es tu oportunidad.

Tus Responsabilidades Principales

1. Gestión y Salud Financiera del Proyecto

Liderazgo Económico: Serás responsable de la cuenta de resultados de tus proyectos. Tu objetivo será optimizar los recursos para maximizar el margen, asegurando siempre la calidad de ejecución y la satisfacción del cliente.
Reporte y Análisis: Elaboración de informes mensuales de seguimiento (certificaciones, cashflow y control de costes), identificando proactivamente desviaciones y proponiendo soluciones para asegurar el resultado final.

2. Gestión Integral del Alcance (Scope Management)

Visión 360º: Gestión global del alcance contractual, asegurando la correcta integración de todas las disciplinas (AV, iluminación, estructuras, acabados, contenidos, etc.).
Control de Cambios: Detectarás y gestionarás las variaciones y solicitudes del cliente, elaborando los presupuestos de variaciones necesarios en coordinación con la Oficina Técnica y proveedores, protegiendo los intereses del proyecto.

3. Planificación y Estrategia Técnica

Planificación Maestra: Definición de la hoja de ruta del proyecto. Establecerás hitos (milestones) claros y realistas, asegurando que todo el equipo (interno y externo) esté alineado con los plazos y objetivos críticos.
Profundidad Técnica: Análisis de la documentación contractual para elaborar especificaciones de compra precisas y definir la estrategia de ejecución (EDT) en herramientas como Asana.

4. Coordinación de Operaciones: Compras, Taller y Logística

Activación de la Cadena de Suministro: Liderarás la planificación de compras y subcontrataciones, resolviendo dudas técnicas y asegurando que los materiales lleguen en tiempo y forma.
Enlace con Producción: Mantendrás una comunicación fluida con Taller y Producción, supervisando la calidad y el avance mediante las Órdenes de Trabajo, y reportando el estado en las reuniones de seguimiento operativo.
Logística Eficiente: Coordinación con el departamento logístico para planificar envíos complejos y recepciones en obra, anticipando las necesidades de medios auxiliares y montaje.

5. Gestión Documental y Calidad (QA/QC)

Rigor Administrativo: Supervisión del flujo documental del proyecto (planos, fichas técnicas, entregables), garantizando que todo envío al cliente cumpla con los estándares de calidad de PROASUR.
Gestión de Incidencias: Liderarás la resolución de No Conformidades (NCs) e incidencias, tanto en fase de ejecución como en garantía, coordinando a los equipos de Calidad y proveedores para un cierre eficaz.

6. Relación con el Cliente y Cierre

Interlocución Clave: Serás el principal punto de contacto con el cliente tras la adjudicación, construyendo una relación de confianza y transparencia.
Gestión de Cobros: Supervisión de los hitos de facturación y preparación de la documentación soporte (albaranes, certificaciones) para asegurar el flujo de caja del proyecto.
Cierre Exitoso: Responsabilidad sobre el cierre administrativo y económico, obtención de certificados de buena ejecución y análisis de lecciones aprendidas para la mejora continua del equipo.

Perfil y Requisitos del Candidato

Para asegurar el éxito en esta posición, buscamos un perfil técnico con visión de negocio, capaz de desenvolverse en entornos internacionales complejos.

Formación y Experiencia:

Titulación: Arquitectura, Ingeniería (Industrial/Técnica) o formación superior equivalente con enfoque en gestión de proyectos.
Trayectoria: Entre 5 y 8 años de experiencia demostrable gestionando proyectos completos (ciclo de vida 360º), valorándose especialmente la experiencia en museografía, retail (fit-out), construcción singular o ferias internacionales.

Idiomas:

Inglés: Nivel Negociación (C1) imprescindible. Capacidad para defender propuestas, discutir contratos y gestionar reuniones técnicas fluidas.

Competencias Técnicas y Gestión (Hard Skills):

Control Económico y Analítico: Alta capacidad para el análisis de costes y gestión de proveedores. Buscamos a alguien que domine el dato financiero del proyecto.
Herramientas: Conocimiento de software de diseño (lectura de planos, CAD, visualización 3D) y dominio de herramientas de planificación y gestión de tareas (Project, Asana o similares).
Calidad: Rigor en el cumplimiento de los estándares corporativos y normativas técnicas.

Habilidades de Liderazgo y Personales (Soft Skills):

Autonomía Radical y Responsabilidad: Buscamos profesionales con capacidad de decisión (""Ownership""), que gestionen con criterio propio y eleven soluciones estratégicas, no solo reportes de estado.
Gestión de Equipos y Comunicación: Habilidad para liderar equipos multidisciplinares y coordinar proveedores externos, manteniendo la motivación y el orden en momentos de alta demanda.
Movilidad: Disponibilidad para viajar internacionalmente para supervisiones críticas, arranques o cierres de proyecto.

Compromiso con la Igualdad

""La oferta respeta la no discriminación por sexo, raza u otros motivos (RDL 6/2019), especialmente la igualdad entre hombres y mujeres. Animamos a mujeres a postularse en este puesto tradicionalmente masculinizado.""

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 37.000,00€-48.000,00€ al año

Beneficios:

Ayuda al desarrollo profesional
Cursos de idiomas ofertados
Flexibilidad horaria
Jornada intensiva los viernes
Ordenador de empresa
Parking gratuito
Programa de formación
Teléfono de empresa
Teletrabajo opcional

Educación:

Diplomatura/Grado (Deseable)

Experiencia:

Gestión de proyectos técnicos: 7 años (Obligatorio)

Idioma:

Inglés (Obligatorio)

Licencia/Certificación:

PMP (Deseable)

Disponibilidad para viajar:

25 % (Deseable)

Ubicación del trabajo: Empleo presencial",Oviedo,Todos
Departamento de Operaciones y Administración en Agencia de Viajes,GRUPO VALÍA,España,No especificado,+ 30 d,"3,6",N/A,Oviedo,Todos
Oficial peluqueria,Tu Peluqueria Online,España,No especificado,+ 30 d,"3,6","Salon con muy buen posicionamiento en Oviedo necesita oficial de peluqueria con experiencia.
Se valoraran conocimientos estética. Trabajo a turnos, sábados tarde cerrado, excelentes condiciones laborales y económicas.
Si quieres crecer , renovarte constantemente y trabajar en un gran equipo. Te estamos buscando!!!!",Oviedo,Todos
