Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Laboral,Kolibri Consulting,Palencia,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,9","Buscamos, para un Despacho Profesional consolidado, un/a Asesor/a Laboral con experiencia demostrable en la gestión integral de nóminas y seguridad social para una cartera de clientes (Pymes y Autónomos).

Si tiene un conocimiento profundo del Derecho Laboral y la Negociación Colectiva, y domina las plataformas oficiales (Sistema RED, SILTRA), le invitamos a formar parte de nuestro equipo.

Funciones Clave: Dominio Integral de la Gestión de Personal

El/La Asesor/a Laboral será el/la profesional de referencia para los clientes en todo lo relativo a recursos humanos y normativa sociolaboral:

Confección de Nóminas y Seguros Sociales:
Cálculo y elaboración mensual de nóminas, pagas extras y liquidaciones (finiquitos).
Preparación y presentación de los seguros sociales a través del Sistema RED y SILTRA.
Contratación y Trámites Oficiales:
Redacción y gestión de todo tipo de contratos de trabajo, prórrogas y variaciones contractuales.
Gestión de altas, bajas, variaciones de datos y partes de IT (Incapacidad Temporal) ante la Seguridad Social.
Preparación de los modelos de retenciones (Modelo 111 y 190).
Asesoramiento Estratégico:
Resolución de consultas diarias de los clientes sobre convenios colectivos, jornada laboral, licencias y permisos.
Asistencia en inspecciones de trabajo y gestión de expedientes de regulación de empleo (ERTE/ERE).
Mantenimiento actualizado de los expedientes de personal de la cartera asignada.

Requisitos Indispensables del Perfil

Experiencia: Mínimo 3-5 años de experiencia reciente y demostrable como Asesor/a Laboral o Graduado Social en un Despacho o Asesoría.
Formación: Titulación universitaria en Relaciones Laborales y Recursos Humanos (Graduado/a Social), Derecho o similar.
Conocimiento Legal: Dominio avanzado de la legislación laboral española vigente, incluyendo convenios colectivos de aplicación frecuente (ej. sector metal, comercio, oficinas y despachos).
Herramientas: Dominio experto de Software de Nóminas (ej. A3nom, Nominasol, Sage) y manejo fluido de las plataformas de la Seguridad Social (Sistema RED, SILTRA, Contrat@).
Habilidades: Capacidad organizativa para la gestión de plazos fijos (cierres de nómina), atención al detalle y excelente trato con el cliente.

Condiciones de la Contratación

Contrato: Puesto estable con Contrato Indefinido (contrato indefinido).
Desarrollo: Integración en un equipo especializado con apoyo para el desarrollo profesional continuo en materia de legislación.
Remuneración: Salario competitivo, acorde a la experiencia técnica en asesoría laboral.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Palencia, Palencia provincia (Palencia)",Palencia,Todos
Técnico/a de Obra Forestal,Silvanatura,Palencia,No especificado,9 días,"3,9","Silvanatura opera en la gestión forestal y ambiental con excelencia técnica, y compromiso con la sostenibilidad.

Actualmente nos encontramos en la búsqueda de un/a Técnico/a de Obra forestal, para incorporarse a nuestro equipo, en una obra de Tratamiento de Vegetación en Infraestructuras Eléctricas en la Comunidad de Cantabria y la Comunidad de Castilla y León.

Las principales tareas y responsabilidades de este profesional serán:

Planificar, coordinar y supervisar el trabajo forestal;
Gestionar y evaluar el rendimiento de los equipos internos y de los proveedores de servicios externos;
Informes periódicos del seguimiento de las obras;
Asegurar una estrecha colaboración con el cliente en la gestión y las actualizaciones del proyecto;
Gestionar los equipos asignados y fomentar la cultura de empresa entre los equipos in situ.
Visitas de obra, captación de nuevos clientes y apoyo a los estudios de licitación.

¿Qué estamos buscando?

Buscamos un Ingeniero Forestal o de Montes, o Ciencias ambientales;
Manejo de herramientas SIG;
Conocimiento en programa MS Project (deseable);
Disponibilidad para realizar desplazamientos y trabajos de campo;
Incorporación en marzo;
Deseable que domicilio entre las provincias de Valladolid, Palência o Cantábria.

¿Qué ofrecemos?

Formación inicial y continuade soft skills y hard skills;
Retributivo acorde al perfil profesional;
Seguridad y estabilidad laboral: un proyecto a largo plazo;
Coche de empresa;

Para efectos de admisibilidad, el candidato deberá presentar:

CV;
Certificado académico de los estúdios finalizados

Esta propuesta de trabajo tiene vigencia hasta el 27 de febrero de 2026.

Los interesados ​​deberán enviar los elementos solicitados a:

recursos.humanos@grupofbc.com

Tipo de puesto: Jornada completa, Contrato temporal
Duración del contrato: 12 meses

Beneficios:

Coche de empresa
Formación en certificaciones profesionales
Ordenador de empresa
Programa de formación
Teléfono de empresa

Ubicación del trabajo: Empleo presencial",Palencia,Todos
RECEPCIONISTA,Grupo Recoletas Red Hospitalaria,España,No especificado,+ 30 d,"3,9","Empresa
RECOLETAS SALUD
Descripción de la empresa
Recoletas Salud, empresa referente en el sector de la sanidad privada, con implantación en la mayor parte del territorio nacional, y referencia de las sociedades en las que está presente, cuenta con la tecnología más avanzada y eficiente gozando de la confianza depositada en ella cada año por miles de personas
Ubicación
Provincia : Palencia
Población : Palencia Capital




Descripción del puesto vacante

Nombre del puesto
RECEPCIONISTA

Categoría
Peones-Peones Especializados-Ayudantes
Sector
Sanidad

Perfil deseado

Formación mínima
C.F. Grado Superior
Idiomas
""No es necesario""

Informática
""No es necesario""

Experiencia mínima necesaria
1 año
Descripción de la oferta
Se precisa la incorporación de un/a recepcionista para el servicio de admisión de nuestro hospital ubicado en Palencia.

Contrato indefinido a jornada completa
Horario a turnos
Condiciones del empleo
Imprescindible residencia en lugar de trabajo
No
Horario
A turnos
Jornada
Jornada Completa
Tipo de Contrato
Indefinido
Remuneración estimada *
Según convenio Sanidad Privada Palencia
Carnet de conducir
No es necesario
Imprescindible vehículo propio
Si
Salario bruto anual, excepto que se indique lo contrario.",Palencia,Todos
Trabajador agrícola,Domestiko,España,No especificado,24 horas,"3,9","Se necesita un trabajador agrícola para unirse al equipo en Aguilar de Campoo. Las responsabilidades incluirán tareas esenciales en el ciclo de cultivo, desde la siembra hasta la recolección de campos, asegurando la calidad y eficiencia. También se ocupará de mantener limpios los terrenos agrícolas, creando un ambiente propicio para el crecimiento de las plantas y garantizando la seguridad.

La recolección de productos agrícolas es otra función importante, exigiendo precisión y delicadeza. Se valorará la habilidad para trabajar de forma independiente y colaborativa, siguiendo directrices y procedimientos. Buscamos a una persona trabajadora, dedicada y con ganas de adaptarse a las dinámicas del sector.

Se requiere al menos un año de experiencia previa en trabajos agrícolas. No se exige formación académica, se dará prioridad a la experiencia práctica y los conocimientos del campo. El puesto implica estar en contacto con la naturaleza, por lo que se necesita adaptabilidad y resistencia al clima. Se proporcionará el equipo necesario para un desempeño seguro y eficaz.

Experiencia previa de al menos 1 año en trabajos agrícolas. No se requiere formación específica.",Palencia,Todos
DEPENDIENTE/A BURGER KING PALENCIA FINES DE SEMANA ref RDPND,Burger King,Palencia,No especificado,15 días,"3,9","Descripción:

¡En Burger King® necesitamos de tu talento!

Si quieres contribuir a que el fuego de nuestras parrillas no cese, ¡ahora es tu oportunidad!

¿Te gustaría trabajar en un entorno dinámico con oportunidades reales de hacer carrera profesional? ¡Has encontrado tu lugar!

Buscamos personal para nuestros restaurantes de Palencia.

¿Qué necesitamos de ti?

Habilidades para atender a nuestros clientes como nadie.
Trabajar en equipo con el talento de nuestras cocinas.
Ganas, ganas y más ganas de aprender, ¡nunca es suficiente!

¿Cómo será tu día a día en Burger King®?

Atenderás a nuestros clientes y te encargarás del cobro en la caja.
Cocinar nuestras hamburguesas para que todos nuestros clientes disfruten del auténtico sabor a la parrilla.
Preparar pedidos para todos nuestros canales de venta: sala, take away y delivery.
Tareas de reposición y limpieza en nuestros restaurantes.

¿Qué te ofrecemos a cambio?

Plan de carrera: Posibilidad de realizarte en una gran empresa de restauración en plena expansión y desarrollo a nivel nacional. ¡Podrás llegar a gerente en poco más de un año si cumples con el plan estipulado y existe una vacante en alguno de nuestros establecimientos!
Modalidad de contrato: Indefinido para fines de semana.
Horario: Turnos rotativos.
Salario: Según convenio.
Disfrutar de la Retribución Flexible de RB Europe (ticket restaurante, transporte, guardería, etc.), una plataforma llena de beneficios para que ahorres mensualmente.
Beneficiarte de un pack de descuentos y experiencias solo por ser de RB Europe (descuentos de grupo y otras promociones).

En Burger King estamos comprometidos con la igualdad, y por ello promovemos ambientes de trabajo basados en el respeto a las personas, fomentando el desarrollo profesional de nuestros/as trabajadores/as garantizando en todo momento la igualdad de oportunidades. Nos preocupamos en ofrecer y mantener un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, orientación sexual, religión, etnia o cualquier otra circunstancia personal o social.

Si eres un/a auténtico/a fan del Whopper® y quieres formar parte de un proyecto laboral retador, ¡no dudes más y envíanos tu solicitud!




Requisitos:

Residencia en zona cercana al centro de trabajo.
Orientación al Cliente.
Capacidad para el trabajo en equipo.",Palencia,Todos
Ayudante de coordinación,AFA GUARDO,Guardo,No especificado,+ 30 d,"3,9","AFA GUARDO


Guardo (Palencia)



Experiencia

No se requiere experiencia

Salario

Retribución sin especificar

Área - Puesto

Sanidad, salud y servicios sociales

Trabajador/a Social
Coordinador/a de Proyectos
Categoría o nivel

Técnico/a Mandos Intermedios

Vacantes

1

Inscritos

0

Contrato

Contrato De duración determinada

Jornada

Completa


Duración de la oferta: hasta el 28/01/2026.

Funciones

Apoyo en las tareas y gestión del servicio de promoción de autonomía personal. Evaluación y diseño de planes de intervención individualizada. Diseño y desarrollo de actividades de estimulación cognitiva individual y grupal. Diseño y desarrollo de actividades de información y difusión. Implemetación de terapias no farmacológicas. Atención a familias. Apoyo en programa de voluntariado.

Requisitos

Titulación universitaria del ámbito sociosanitario.

Se ofrece

Contrata jornada completa. Incorporación a un equipo multidisciplinar. Enriquecimiento profesional.",Palencia,Todos
Mozo/a de carga y descarga,Domestiko,Palencia,No especificado,+ 30 d,"3,9","Se busca un profesional para unirse a un equipo dedicado al montaje de pistas deportivas. La posición implica la manipulación y el traslado de materiales esenciales para la construcción de pistas de placas de madera.

Las responsabilidades principales incluyen la carga y descarga eficiente de todo el material necesario, así como el montaje de las pistas deportivas. Se valorará la capacidad para realizar otras tareas relacionadas con las funciones habituales del puesto.

La jornada laboral será parcial, con una dedicación de 4 horas diarias. El horario previsto es de mañanas, comprendido entre las 08:30 y las 12:30, con los descansos legales correspondientes.


Valorable experiencia previa en un puesto de trabajo igual o similar al descrito.
Buscamos a una persona responsable y dinámica.
Valorable residencia cercana al puesto de trabajo.",Palencia,Todos
Vendedor/a Joyería - Palencia ( 24h),TOUS Jewelry,Palencia,No especificado,17 días,"3,9","Descripción:

¿Quieres formar parte de un equipo donde la colaboración y el buen rollo son la base de todo? ¿Disfrutas asesorando, creando estilismos únicos con producto exclusivo, y formando parte de los momentos especiales de tus clientes? Si es así…. ¡Sigue leyendo!

No dejes escapar esta oportunidad en nuestra tienda de Palencia:

Contrato Indefinido.
Jornada de 24h.
De Lunes a Sabado con horario rotativo de 10 a 20:30h.

¿Aceptas el reto?

El propósito de TOUS es crear un mundo de alegría, tanto para nuestros clientes como para nuestros equipos.

¿Qué te ofrecemos?

Espacio de creatividad: Pondrás en práctica tus habilidades y conocimientos ideando looks personalizados para cada cliente, ¡cada día será diferente!

Sé tú mismx: Queremos que seas auténticx y te sientas cómodx en tu faceta TOUS, por esto tendrás opción de elegir el uniforme que mejor te represente y lo podrás completar luciendo nuestrxs productos.

Equipo con alegría e ilusión: Si desprendes buenas vibras y buen rollo este es tu TEAM . El compañerismo y la calidad humana de nuestras personas son lo primero, nuestra prioridad es que el cliente se vaya siempre con una sonrisa.

Formación y Desarrollo: Estamos comprometidxs con tu desarrollo. Te formaremos de forma continua en nuestro producto, visual merchandising, customer experience, kpis y.… ¡mucho más! Para que te atrevas, aprendas y te retes cada día para brillar con nosotrxs.

Virtual coffee chats: tendrás conversaciones con parte del equipo directivo comercial dónde intercambiarás ideas, experiencias y proyectos.

TOUS Connect: ¡toda la información que necesitas con un solo clic! Contarás con una intranet corporativa para mantenerte al tanto de todo lo que está pasando en la compañía. Además, podrás compartir impresiones y experiencias a través de nuestra red social Yammer

30% de descuento en todos nuestros productos. Además, podrás disfrutar de ventas especiales durante todo el año. Si no lo eres ya, acabarás convirtiéndote en un #TOUSLover.

¿Qué te hará triunfar en esta posición?

Ser apasionadx del producto y de la moda. Si además te fascina el estilismo y ayudar a nuestrxs clientes a expresarse a través de sus looks, ¡el éxito es tuyo!

Si tienes experiencia como vendedor/a será ideal, pero si no es así ¡no te preocupes! te formaremos sobre el producto y te daremos tips para ofrecer una experiencia de compra única al cliente, ¡creemos en tu potencial!

Tener buenas habilidades comunicativas para poder conectar con nuestrxs clientes

Si quieres que la posición sea tuya, inscríbete ahora a la oferta.

Sé tú mism@, la clave del éxito es TU ACTITUD. Are you IN?

¡TE ESPERAMOS!",Palencia,Todos
Sales Assistant,Silbon,Palencia,No especificado,+ 30 d,"3,9","SILBON, NOTHING IS CASUAL

¿Te apasiona la moda y quieres formar parte de un equipo dinámico en constante crecimiento?

En Silbon, la marca cordobesa de las dos raquetas estamos buscando talento para unirse a nuestro equipo.

Desde nuestros inicios en 2009, hemos tenido un propósito claro: conectar la marca con nuevos segmentos de clientes a través de nuestra esencia: el diseño y elegancia, la calidad, la normalidad y el compromiso social y medioambiental reforzado con una visión clara: la búsqueda constante de la diferenciación, sorprender para liderar.

Contamos con más de 130 tiendas y más de 500 colaboradores en la compañía entre España, Portugal, Francia y México.

Silbon es moda, pero también es pasión y estilo de vida.

Dress to live, dress to last.

Descripción de la oferta:

Buscamos diferentes perfiles de Sales Assistant de 20h para nuestra tienda ubicada en Palencia.

Perfil profesional & responsabilidades:

Ofrecer una excelente experiencia de compra a nuestros clientes y fidelizarlos.
Actitud positiva, proactiva y entusiasta.
Disponibilidad para trabajar en turnos rotativos y fines de semana.
Capacidad de adaptación y flexibilidad.
Manejo de indicadores para ayudar a alcanzar los objetivos comerciales.
Gusto por la moda, sobre todo el universo masculino y conocimiento de Sastrería.
Vocación de servicio para ayudar a satisfacer las necesidades de nuestros clientes.
Recepción de mercancía, colocación y visual merchandising.
Valoramos experiencia en puesto similar
Se valorará tu movilidad geográfica

Ofrecemos:

Desarrollo profesional con posibilidades de crecimiento profesional
Un excelente entorno profesional en moda premium
Salario acorde al nivel de responsabilidad

¡No dudes en apuntarte a nuestra oferta y desarrolla tu carrera profesional con nosotros!",Palencia,Todos
Administrador/a de sistemas,Domestiko,España,No especificado,+ 30 d,"3,9","Se busca un/a profesional con experiencia para gestionar el sistema informático SAP en una empresa del sector logístico. Las responsabilidades incluirán apoyar al equipo en la optimización de los procesos productivos del almacén y el registro de información esencial para el cálculo de indicadores clave de rendimiento.

Entre otras funciones, se encargará del control de inventario en el almacén y deberá mantener comunicación fluida en inglés con el personal de sistemas, colaborando en diversas tareas propias del puesto.

La jornada laboral será completa, de 40 horas semanales, distribuida en turnos rotativos que abarcan mañanas, tardes y noches, de lunes a domingo, respetando los descansos legales establecidos.


Experiencia previa en un puesto de trabajo igual o similar al descrito.
Buscamos a una persona proactiva y dinámica.
Valorable residencia cercana al puesto de trabajo.
Disponer de carné B y vehículo propio para desplazarse al centro de trabajo.
- Inglés nivel medio.
Valorable GM/GS en ramas informáticas, administrativas i/o similares.",Palencia,Todos
