Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Agente Comercial en Palma [Alarmas y Sistemas de Seguridad],Sector Alarm,España,No especificado,+ 30 d,"3,5","¿Quieres formar parte de una de las mejores empresas para trabajar en España reconocida por Great Place To Work?

Sector Alarm es una empresa multinacional noruega líder en soluciones de seguridad, presente en más de 8 países europeos y con miles de clientes protegidos. Apostamos por el talento, la promoción interna y el desarrollo profesional a largo plazo

Buscamos Agentes Comerciales para incorporarse a su equipo de ventas en Palma, especializados en la venta e instalación de alarmas y sistemas de seguridad para hogares y negocios

QUÉ TE OFRECEMOS

Contrato laboral a jornada completa (no trabajamos con régimen de autónomos)
Salario sin límite con altas comisiones
Formación constante y certificada + acompañamiento en tus primeras semanas
Plan de carrera real con posibilidades de promoción interna y desarrollo hacia puestos de gestión de equipos
Empresa reconocida como Great Place To Work durante 7 años consecutivos
Vehículo de empresa + Tarjeta de combustible + Eventos, viajes y premios…

FUNCIONES DEL PUESTO

Captación de clientes. Trabajo en calle a puerta fría
Asesoramiento personalizado a clientes sobre nuestros sistemas de seguridad
Visitas comerciales concertadas
Cierre de la venta
Instalación de los sistemas
Seguimiento de tu cartera de clientes

REQUISITOS IMPRESCINDIBLES

Carnet de conducir tipo B (en vigor y válido en España)
Disponibilidad para trabajar a jornada completa (40h) en turno partido (mañana y tarde).
Residencia en Palma o alrededores
Permiso de trabajo en vigor

VALORAMOS POSITIVAMENTE

Actitud comercial
Habilidades comunicativas
Poractividad
Actitud Positiva/Ambicion
Orientación a objetivos

Si ya habías aplicado anteriormente y no nos hemos puesto en contacto contigo, vuelve a aplicar. Recibimos un volumen muy alto de candidaturas y a veces nos es imposible revisarlas todas.",Palma de Mallorca,Todos
Operario/a de limpieza en ruta,ISS Facility Services,España,No especificado,24 horas,"3,5","En ISS, empresa líder en gestión del workplace y facility management, creamos ambientes de trabajo excelentes, que contribuyen al éxito de nuestros clientes, haciéndoles la vida más fácil, productiva, agradable y siempre con personas comprometidas. En España, ISS dispone de oficinas propias en todo el territorio y presta servicio a cerca de 6.000 clientes. Un servicio que la compañía presta respetando sus pilares: las personas, el medioambiente y la sociedad

Funciones:

Buscamos incorporar un/a Operario/a de limpieza en ruta para la zona de Santanyí (Islas Baleares). La persona seleccionada será responsable de la ejecución de servicios de limpieza en distintos centros asignados dentro de una red de oficinas y locales. Entre sus funciones principales se encuentran:

Limpieza general de instalaciones, incluyendo suelos, mobiliario, cristales y zonas comunes.
Reposición de consumibles como papel higiénico, jabón y otros materiales.
Control del correcto estado de los espacios.
Comunicación de incidencias detectadas durante el servicio.
Mantener una correcta organización de las rutas asignadas.
Cumplir con los estándares de calidad establecidos por la compañía.
Garantizar un trato profesional y cercano con el cliente en cada centro.

Requisitos:


Educación Secundaria Obligatoria (ESO) o FP, así como experiencia mínima de 2 años en puestos de limpieza profesional (oficinas, locales, comunidades...).
Conocimiento de productos y técnicas de limpieza.
Valorable experiencia en limpieza en ruta o en varios centros de trabajo.
Valorable carnet de conducir B.
Persona autónoma, responsable, orientada al detalle y con habilidades de interlocución con el cliente.

Se ofrece:


Contrato indefinido, incorporación inmediata.
Jornada completa de lunes a sábado.
Vehículo de empresa.

ISS promueve la diversidad dentro de la organización y garantiza procesos de selección con criterios de igualdad de trato y oportunidades.",Palma de Mallorca,Todos
Passenger Agent - Palma Mallorca,Jet2.com and Jet2holidays,España,No especificado,16 días,"3,5","Job Description:

Are you passionate about helping people and delivering outstanding service? Join our Jet2.com & Jet2Holidays team in Palma Mallorca as a Passenger Service Agent

Click the link to find out more about the role! Passenger Service Agent - Overseas on Vimeo

What We Offer:
20.282.00 € annually (pro-rated) + additional pay for transport, early shifts, weekends & holidays
This is a 20-hour (part-time) permanent intermittent contract with the potential to increase the hours depending on the operational requirements
45 days holiday (pro-rated)
Free uniform, paid training, life assurance & retail discounts
Discounts on Jet2.com & Jet2holidays flights
Recommend a Friend bonus
What We’re Looking For
Ability to work as a team
Fluent in Spanish & intermediate/fluent English
Ability to have a flexible and positive approach
Provide Excellent Customer Service in a fast-paced environment
Ability to liaise with challenging situations such as flight delays and disruptions
What will you do in the role?
Create Memories - Ensuring the delivery of outstanding Customer Service that meets the needs of our customers and promotes our brand values.
Be Present - Greet our customers at the arrivals area at the start of their holiday to create a great first impression, providing a friendly and efficient check-in and boarding service for departing customers, offering helpful advice on the sales desk and being present for our customers throughout their time at the airport
Take Responsibility - Ensuring Jet2.com’s policies and procedures are implemented and adhered to. Ensuring quality standards are met and safe practices are always carried out. Responsible for safety reporting using the company system (The Hub)
Work as One Team - Working in partnership with internal colleagues and internal partners including Ground Operations colleagues, third party providers and our Flight Deck and Cabin Crew Teams to ensure the best Customer experience
Ready to take off? Apply today!",Palma de Mallorca,Todos
Agente de Rampa - Aeropuerto de Palma Mallorca,Jet2.com and Jet2holidays,España,20 mil € (Proporcionado por la empresa),16 días,"3,5","Job Description:

¿Te gustan los puestos operativos y trabajar en equipo? Únete a nuestro equipo de Jet2.com & Jet2Holidays en Palma de Mallorca como Agente de Rampa

Haz clic en el enlace para saber más sobre el puesto: Un dia en la vida de Agente de Rampa
Lo que ofrecemos:
20.084,00 € anuales (prorrateado) + pagos adicionales por transporte, turnos tempranos, fines de semana y festivos
Ofrecemos un contrato fijo discontinuo a 20 horas semanales que se incrementará a un mínimo de 30 horas semanales durante los primeros 5 a 6 meses
45 días de vacaciones (prorrateado)
Uniforme gratuito, formación remunerada, seguro de vida y descuentos en tiendas
Descuentos en vuelos de Jet2.com & Jet2holidays
Bonificación por recomendar a un/a amigo/a
Lo que buscamos:
Persona Responsable, puntual y atento a la seguridad
Carnet de conducir B
Español fluido
Disponibilidad para turnos, fines de semana y festivos
Capacidad para trabajar bajo presión

Lo que harás:
Tomar responsabilidad - Apoyar la llegada, el posicionamiento y el retorno seguro de nuestros aviones, garantizando que los vehículos y equipos especializados estén en el lugar correcto en el momento adecuado
Estar presente - operar todos los equipos de manera segura y mantener un entorno de trabajo despejado y seguro
Crear recuerdos - Ofrecer un servicio eficiente y amable que satisfaga las necesidades de nuestros clientes y refleje los valores de nuestra empresa
Trabajar en equipo - Comunicarse de manera eficaz con operaciones, tripulación de vuelo, tripulación de cabina e ingeniería, informando sobre cualquier incidencia o cambio en tierra que pueda afectar a su área de trabajo.
¿Listo/a para despegar? ¡Aplica hoy!",Palma de Mallorca,Todos
Inspector/a de ITV con FP mecánica del automóvil o Ingeniería,Grupo Itevelesa,España,27 mil € - 33 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Se ofrece puesto de inspector para los Centros de ITV de Mallorca, imprescindible titulo de grado medio o superior en electromecánica de vehículos o equivalentehomologado en España

· Realización de inspección técnicas unitarias de vehículos.

· Mantenimiento de equipos.

· Entrega de documentación finalizada la inspección y Archivo.

Requisitos:

· Persona autónoma y con capacidad de aprendizaje.

· Se valorarán conocimientos de idiomas.

· Competencias digitales.

· Formación específica mínima: Título oficial de F.P. grado medio en electromecánica del automóvil emitido por un instituto de España u homologado por el Ministerio de educación o un título de ingeniería emitido por una universidad española u homologación del título por el Ministerio de educación.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 26.880,00€-32.880,00€ al año

Beneficios:

Formación en certificaciones profesionales

Licencia/Certificación:

Grado medio o superior de electromécanica (Obligatorio)

Ubicación del trabajo: Empleo presencial",Palma de Mallorca,Todos
Passenger Service Agent - Palma Mallorca,Jet2.com and Jet2holidays,España,No especificado,16 días,"3,5","Job Description:

Are you passionate about helping people and delivering outstanding service? Join our Jet2.com & Jet2Holidays team in Palma Mallorca as a Passenger Service Agent

Click the link to find out more about the role! Passenger Service Agent - Overseas on Vimeo

What We Offer:
20.282.00 € annually (pro-rated) + additional pay for transport, early shifts, weekends & holidays
This is a 20-hour (part-time) permanent intermittent contract with the potential to increase the hours depending on the operational requirements
45 days holiday (pro-rated)
Free uniform, paid training, life assurance & retail discounts
Discounts on Jet2.com & Jet2holidays flights
Recommend a Friend bonus
What We’re Looking For
Ability to work as a team
Fluent in Spanish & intermediate/fluent English
Ability to have a flexible and positive approach
Provide Excellent Customer Service in a fast-paced environment
Ability to liaise with challenging situations such as flight delays and disruptions
What will you do in the role?
Create Memories - Ensuring the delivery of outstanding Customer Service that meets the needs of our customers and promotes our brand values.
Be Present - Greet our customers at the arrivals area at the start of their holiday to create a great first impression, providing a friendly and efficient check-in and boarding service for departing customers, offering helpful advice on the sales desk and being present for our customers throughout their time at the airport
Take Responsibility - Ensuring Jet2.com’s policies and procedures are implemented and adhered to. Ensuring quality standards are met and safe practices are always carried out. Responsible for safety reporting using the company system (The Hub)
Work as One Team - Working in partnership with internal colleagues and internal partners including Ground Operations colleagues, third party providers and our Flight Deck and Cabin Crew Teams to ensure the best Customer experience
Ready to take off? Apply today!",Palma de Mallorca,Todos
Personal de Equipo - APERTURA MAGALUF,Five Guys,España,No especificado,16 días,"3,5","Como Personal de Equipo tendrás un gran impacto tanto en la atención al cliente (camarero/a), como en nuestras cocinas (cocinero/a). Trabajarás en todas las posiciones: explicando nuestras opciones de ingredientes, preparando las hamburguesas perfectas, sirviendo nuestras famosas patatas fritas, tomando comandas en la caja, y manteniendo nuestros restaurantes relucientes.

Nuestras hamburguesas son frescas y están hechas a mano, focalizamos los esfuerzos en la calidad de los ingredientes y nuestro personal es enérgico y está comprometido con la Compañía porque realmente nos preocupamos de cuidarles. ¡Nuestros restaurantes están llenos de clientes que son auténticos fans de Five Guys!

¿Qué te ofrecemos?

Contrato Indefinido
Jornada intensiva, ¡NO tenemos turnos partidos!
Salario fijo competitivo
Retribución variable con en el programa “Cliente Misterioso” (hasta 200€ al mes)
Oportunidades excepcionales de desarrollar tu carrera
Programa estructurado de formación
Excelente ambiente de trabajo
Política de comida en el restaurante",Palma de Mallorca,Todos
Administrativx Dpto. Facility Management Palma de Mallorca,Lidl,España,No especificado,15 días,"3,5","Introducción

Nuestro #teamlidl es competitivo y muy dinámico. Para saber más sobre cómo es trabajar en Lidl consulta nuestra página web de empleo: https://empleo.lidl.es/

¿Cómo será tu día a día?
Gestionar el mantenimiento de nuestros edificios, instalaciones y equipamientoGestionar pedidos de equipamiento para rutas de mantenimiento de tiendas.
Coordinar, controlar y revisar la subsanación de averías por parte de las empresas colaboradoras.
Controlar la duración de los contratos de servicios, así como dar soporte a la gestión documental de reuniones de negociación y firma de los mismos.
Controlar y gestionar las empresas externas contratadas para la realización de las distintas tareas de reparación y mantenimiento, cotejar y validar facturas.
Gestionar siniestros y documentación para reclamación a tercerosPrestar apoyo al/a la Jefe/a de Facility Management en tareas no rutinarias como el desarrollo de nuevas licitaciones, revisión de presupuestos, gestión de herramientas y/o plataformas de control de equipos, etc.
¿Eres tú la persona que buscamos?
Formación de Educación Secundaria Obligatoria o equivalente.
Dominio del paquete office (nivel avanzado de MS Excel imprescindible).
Capacidad de organización, dinamismo, resolución y orientación al detalle.

¿Qué te ofrecemos?
Un contrato de jornada completa.
Te facilitamos formación teórico-práctica adaptada a tu puesto de trabajo, para que seas capaz de enfrentar cada reto con éxito.
Garantizamos desde el inicio del proceso de selección que éste se desarrollará en base a criterios objetivos. La preocupación por eliminar la brecha de género, así como cualquier otro tipo de discriminación alcanza también a nuestra política salarial, en la que rige el principio de equidad retributiva ante el desempeño de las mismas funciones.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/",Palma de Mallorca,Todos
Tracking & Integration Specialist,Next Level S.L.,España,No especificado,19 días,"3,5","Location: Palma de Mallorca (on-site)
Employment: Full-time
Start: ASAP

⸻

About us

We are Next Level Affiliate Marketing – a specialized agency for sustainable growth in B2C e-commerce.
Since 2009, we’ve been helping D2C brands from all over Europe scale with data-driven affiliate strategies.
Our team works from Palma de Mallorca – ambitious, hands-on, and international.
Now we’re looking for a Junior/Mid Frontend Developer (gn) to join our dev team and shape user experiences seen by thousands of customers.

⸻

Your mission

Your mission is to ensure reliable, accurate, and future-proof affiliate tracking across all partner integrations. You will be the technical backbone behind our performance data—building, maintaining, and improving tracking setups that advertisers and partners can trust. By combining technical precision with a deep understanding of attribution, e-commerce flows, and privacy requirements, you help maximize campaign performance while keeping our tracking GDPR-compliant and resilient to browser and platform changes. Through close collaboration with account managers, advertisers, and developers, you actively contribute to the evolution of our in-house tracking solution and set new standards for tracking quality and transparency.

⸻

Your responsibilities

Implementing, testing & maintaining affiliate tracking integrations (Awin, Adcell, custom scripts)
Working with and extending our own in-house tracking solution
Integrating tracking pixels, postbacks & conversion events across different platforms
Adapting integrations for various e-commerce systems (Shopify, OpenCart, WooCommerce, custom shops)
Debugging tracking issues (missing sales, wrong attribution, duplicated conversions)
Collaborating with account managers, advertisers & developers to improve tracking quality
Ensuring GDPR-compliant tracking implementations (cookies, consent, CMPs)
Documenting integrations, best practices & internal tooling
Actively keeping up to date with new tracking technologies, browser changes & platform updates
Contributing ideas and improvements to our in-house tracking solution and overall integration architecture

⸻

Your profile

1+ year experience in affiliate marketing integrations, tracking or web analytics
Solid understanding of HTML, CSS & JavaScript (reading & modifying frontend code)
Hands-on experience with tracking scripts, pixels, postbacks & GTM
Familiarity with e-commerce platforms (Shopify, OpenCart, WooCommerce or similar)
Basic understanding of checkout flows, order confirmations & data layers
Experience debugging with browser dev tools (Network, Console, Cookies, LocalStorage)
Understanding of cookie lifetimes, attribution windows & cross-domain tracking
Curiosity & willingness to continuously learn and evaluate new tools & approaches
Very good English skills (C1+) – German is a plus, not a must
Experience with affiliate networks (Awin, Adcell, CJ, Impact, TradeTracker)
Basic PHP knowledge (Shopify Liquid, OpenCart, WooCommerce templates)
Experience with server-side tracking / postback URLs
Knowledge of GA4, Meta/Google Conversion APIs, GTM Server-Side
Understanding of GDPR, CMPs (Cookiebot, OneTrust, etc.)
Experience working with in-house tools / internal platforms
Agency experience or working with multiple clients in parallel

⸻

What we offer

Ownership from day one – your code goes live fast
Permanent on-site position in Palma – modern office, central location
Work with a motivated, international team on real projects
Free coffee, drinks & fresh fruit
Regular team events
Language courses at Escuela Oficial de Idiomas
23 vacation days

⸻

Ready for your Next Level?
Send us your CV (and if you like, a few examples of your projects):
hr@next-level.com

We look forward to your story!

Job Type: Full-time

Ability to commute/relocate:

07002 Palma de Mallorca, Illes Balears provincia: Reliably commute or planning to relocate before starting work (Required)

Language:

English (Required)

Work Location: In person",Palma de Mallorca,Todos
Técnico mantenimiento de embarcaciones,Iris Yachtcharter SL,España,1 mil € - 3 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Buscamos un Técnico de Mantenimiento de Embarcaciones para unirse a nuestro equipo en Mallorca. El candidato será responsable del mantenimiento preventivo y correctivo de nuestra flota de veleros y catamaranes, asegurando que todas las embarcaciones estén en perfectas condiciones para su alquiler.

Responsabilidades:

Realizar revisiones, reparaciones y mantenimiento general de motores, sistemas eléctricos, fontanería y equipos de a bordo.
Diagnosticar y solucionar averías mecánicas y eléctricas.
Aplicar tratamientos de limpieza, pintura y conservación de cascos y cubiertas.
Coordinar con proveedores y técnicos externos para la compra de repuestos y materiales.
Garantizar el cumplimiento de los estándares de seguridad y calidad en cada embarcación.

Requisitos:

Experiencia previa en mantenimiento de embarcaciones, mecánica naval o similar.
Conocimientos en electricidad, fontanería y motores marinos.
Capacidad para trabajar de manera autónoma y en equipo.
Carnet de conducir y disponibilidad para trabajar en el puerto.
Se valorará experiencia en náutica y titulación relacionada.
Se valorarán conocimientos de otros idiomas.

Ofrecemos:

Trabajo estable en un entorno dinámico y marítimo.
Oportunidad de crecimiento en una empresa en expansión.
Salario competitivo según experiencia y habilidades.

Si te apasiona el mundo náutico y tienes experiencia en mantenimiento de embarcaciones, ¡te estamos buscando!

Tipo de puesto: Jornada completa, Contrato indefinido, Contrato fijo discontinuo
Duración del contrato: 10 meses

Sueldo: 1.400,00€-3.000,00€ al mes

Experiencia:

mantenimiento de embarcaciones: 3 años (Deseable)

Idioma:

español y inglés (Obligatorio)

Ubicación del trabajo: Empleo presencial",Palma de Mallorca,Todos
