Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
TÉCNICO DEPORTIVO FÚTBOL,ASDEFOR,Pamplona,No especificado,+ 30 d,"3,4","Buscamos Técnicos Deportivos para dirigir y formar chicos y chicas en torno al Fútbol Base en la Comarca de Pamplona. Se requiere una mínima experiencia pero Sobre todo vocación para formar, educar, y entrar dentro de un interesante proceso de aprendizaje como técnico siguiendo las directrices del Club y el Director Deportivo. Se pide compromiso por las tardes y ganas de desarrollarse y hacer avanzar a los deportistas. Hay que enviar información y curriculum al correo iffuttec@gmail.com. Posteriormente se concretarán entrevistas con los/las interesados/as. No se da información por teléfono. Remuneración como complemento a otras actividades. Se pueden plantear otras labores en el sector deportivo para completar ingresos.

Job Type: Part-time

Pay: 1,100.00€ - 3,000.00€ per year

Work Location: In person",Pamplona,Todos
Chapista pintor preparador,inniauto SL,Mutilva Baja,30 mil € - 45 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Preparador de vehículos – Chapa y Pintura

inniauto

En inniauto buscamos un preparador de vehículos para reforzar el departamento de chapa y pintura, con experiencia y ganas reales de trabajar bien y de forma constante.

Buscamos a alguien responsable y profesional, que quiera estabilidad y que valore un entorno donde el trabajo bien hecho se nota.

Funciones del puesto

Preparación de vehículos para pintura.
Trabajos de chapa (daños leves).
Apoyo en procesos de pintura.
Repasos y acabados finales.
Trabajo coordinado con el resto del taller.

No buscamos chapuzas ni prisas mal hechas.
Buscamos calidad, ritmo y constancia.

Qué buscamos

Experiencia en chapa y/o preparación de pintura (valorable).
Persona trabajadora, constante y responsable.
Buen criterio en acabados.
Capacidad para trabajar en equipo.
Ganas de estabilidad y continuidad.

No es imprescindible ser “oficial de primera” si tienes buena mano y actitud.

Qué ofrecemos

Contrato estable.
Sueldo base según convenio.
Sistema de incentivos mensuales claros.

Posibilidad real de llevarse entre 2.000 € y 2.800 € netos al mes, según rendimiento.

Taller organizado.
Buen ambiente de trabajo.
Volumen constante de trabajo (no parones).

Horario

Jornada completa.
Horario estable (a concretar en entrevista).

Cómo postular

Envíanos tu CV o cuéntanos tu experiencia en chapa y pintura.

Nota importante

Buscamos personas que quieran trabajar bien y ganar bien, no cambiar de taller cada pocos meses.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial

Tipo de puesto: Jornada completa

Sueldo: 30.000,00€-45.000,00€ al año

Ubicación del trabajo: Empleo presencial",Pamplona,Todos
Operario/a reparaciones,Grupo Nortempo,Pamplona,"14,00 € - 16,00 € Por hora (Proporcionado por la empresa)",8 días,"3,4","Empresa ubicada en la Comarca de Pamplona busca persona para realizar trabajos de reparación en sus instalaciones.


Condiciones:
Modalidad: Trabajo por días sueltos
Horario: De 06:00 a 14:00
Salario: En torno a 15 € / hora
Formación: 1–2 días de formación en Logroño (a cargo de la empresa)

Funciones:
Arreglo de fallos de tapizado
Trabajos de cosido
Montaje y ajustes

Requisitos:
Experiencia o conocimientos en tapicería, costura o montaje
Persona detallista y resolutiva
Carnet de conducir B


¡Te estamos esperando!


Requisitos


Experiencia o conocimientos en tapicería, costura o montaje Persona detallista y resolutiva Carnet de conducir B


Se ofrece


Modalidad: Trabajo por días sueltos Horario: De 06:00 a 14:00 Salario: En torno a 15 € / hora Formación: 1–2 días de formación en Logroño (a cargo de la empresa)

Requisitos

Experiencia o conocimientos en tapicería, costura o montaje Persona detallista y resolutiva Carnet de conducir B

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Modalidad: Trabajo por días sueltos Horario: De 06:00 a 14:00 Salario: En torno a 15 € / hora Formación: 1–2 días de formación en Logroño (a cargo de la empresa)",Pamplona,Todos
Técnico de camiones Imarcoain (Navarra),DAF,España,No especificado,+ 30 d,"3,4","Técnico de camiones

¿Has trabajado como mecánico, técnico automotriz o incluso como mecánico de coches (o simplemente estás listo para un nuevo reto)? En DAF, damos la bienvenida a profesionales con una mentalidad técnica que quieran desarrollarse como técnico de camiones. Tener experiencia como mecánico de coches o técnico automotriz puede ser una gran base, pero lo que más importa es tu pasión por los camiones.

¿Estás ""Hecho para DAF""?

Perfecto, porque justo estamos buscando talento. En un concesionario DAF, trabajarás con camiones líderes del mercado para devolverlos a la carretera lo más rápido posible cuando requieran un mantenimiento y utilizarás los sistemas de taller más avanzados en vehículos equipados con tecnología de vanguardia. Si te gusta asumir responsabilidades, te invitamos a formar parte de un gran equipo en el concesionario DAF.

En función de tus conocimientos y experiencia actuales, y adaptado a los requisitos específicos del puesto, esto es lo que puedes esperar en tu trabajo diario:

Serás responsable de realizar diagnósticos rápidos y precisos utilizando herramientas de diagnóstico.
Trabajarás de forma independiente para realizar las tareas de mantenimiento y reparación de los vehículos y componentes DAF.
Realizarás diversas inspecciones (ITV, tacógrafo, etc.).
Ayudarás y asesorarás diariamente a los técnicos menos experimentados.
Realizarás las comprobaciones finales de los trabajos completados.

Esto es lo que estamos buscando:

Gente motivada para trabajar con camiones, ya sea en el taller o utilizando equipos de diagnóstico.
Gente motivada para desarrollar sus habilidades técnicas, como reparaciones de motores o solución de problemas eléctricos.
Gente motivada para aprender sobre la instalación de accesorios y la preparación de vehículos para la entrega.
Gente orgullosa de su trabajo, con una auténtica pasión por mantener los vehículos en las mejores condiciones.
Gente deseosa de mantener y ampliar sus conocimientos actualizados con los avances del sector.
Gente con una actitud positiva y entusiasmo por trabajar en equipo.
Valoramos la experiencia previa como mecánico de camiones, pero también damos la bienvenida a nuevos entusiastas.

¿Está DAF hecho para ti?

Esto es lo que garantizamos:

Responsabilidad individual y libertad de acción.
Salario competitivo y beneficios adicionales.
Muchas oportunidades de formación y posibilidades de promoción.

¿Estás hecho para DAF? Rellena el formulario que encontrarás en nuestro sitio web.",Pamplona,Todos
Asesor/a Contable,Kolibri Consulting,Pamplona,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"3,4","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Pamplona, Navarra provincia (Pamplona)",Pamplona,Todos
Forklift Driver,Rhenus Group,Orkoien,No especificado,+ 30 d,"3,4","Forklift Driver

What you can expect
Forklift driving tasks.
Review instructions.
Parcels check.
What you bring
Driving license.
High level of Spanish.
Experience in logistics.
Experience in driving forklift.

Your Benefits
Exclusive Discounts:
Enjoy exclusive perks: Our extensive partner network gives you access to special discounts with various providers.
Great Team:
It’s truly the people that make the difference — and with us you’ll join the best team around.
Onboarding:
Start strong and discover your new role step-by-step with our comprehensive onboarding program.",Pamplona,Todos
Chef de projet développement bu espagne (H/F),Dhova,Pamplona,No especificado,30 días,"3,4","Entreprise

Dans le cadre du rachat d’une structure basée à proximité de Pampelune en Espagne, notre client recrute un(e) chef de projet pour accompagner le développement de cette filiale experte du commerce BtoB, dans un contexte d'évolution et de digitalisation des process. Vous êtes localisé(e) dans le Pays Basque français ou espagnol et souhaitez vous impliquer dans un projet de transformation challengeant et stimulant ?

Le poste impliquera des déplacements à la maison mère basée dans le Nord des Pays de Loire et une présence dans les locaux de l’entreprise situés à 1h15 d’Hendaye.

Poste

Rattaché(e) au Directeur Général, votre rôle est d’accompagner la transformation et la digitalisation des processus de la filiale et de phaser le projet dans une perspective de fort développement à venir. A ce titre, vous aurez pour missions :

\- coordonner les projets de l'entreprise en étant en lien avec les équipes IT, marketing, vente, logistique en France et en Espagne…

\- définir la roadmap et le rétroplanning par étape avec la répartition des rôles et des échéances

\- participer à la création du PIM avec l’appairage des bases articles

\- coordonner le projet lancement de nouveau site web BtoB

\- mettre en place des rituels de suivi individuel et collectif, prendre en compte les feedbacks et éventuelles résistances et proposer des solutions adaptées

\- former la force de vente à l’utilisation des nouveaux outils tout comme les clients

\- assurer le suivi de l’adoption des nouveaux process, ajuster les pratiques selon les retours d’expérience et retours terrain

\- capitaliser sur les succès pour accompagner la transformation

Profil

Issu(e) d’une formation type Master/ESC, vous avez une première expérience réussie en gestion de projet, idéalement dans un contexte de transformation commerciale ou d’intégration post-acquisition. Votre expérience dans un environnement biculturel (France/Espagne ou Amérique du Sud) sera appréciée. Vous êtes bilingue français et espagnol. Vous maîtrisez les méthodologies de gestion de projet, et l’organisation du commerce avec une clientèle de b to B. Le développement et la croissance vous animent.

Vous avez un esprit d’analyse, aimez apporter des solutions et travaillez avec agilité dans une société en transformation. Vous savez analyser, cartographier des processus et les faire évoluer avec de l’accompagnement humain opérationnel. La culture du résultat, le leadership humain, l’humilité, la résilience et l’adaptabilité face aux résistances sont des points clé dans la réussite de ce poste.",Pamplona,Todos
Comercial B2B Empresas - Navarra y La Rioja,Lyreco,Pamplona,No especificado,13 días,"3,4","Para nuestro departamento de Ventas buscamos a un/a Comercial B2B Empresas - Navarra y La Rioja

La misión del puesto será fidelizar, potenciar y ampliar la cartera de clientes de su zona a través de una venta consultiva de productos y servicios para conseguir los objetivos dentro del territorio geográfico predeterminado y devoluciones. Preparar la documentación necesaria para las reuniones mensuales con su manager y realizar todas las tareas administrativas asociadas a la gestión comercial.

Entre las funciones principales del puesto:

Fidelizar, potenciar y ampliar la cartera de clientes de su zona.
Analizar el potencial de la zona asignada y las oportunidades de negocio para poner el foco en aquellas acciones que aporten más valor al cliente y a la compañía.
Planificar, preparar y realizar las visitas a la cartera de clientes de la zona asignada y mantener actualizada la base de datos, para alcanzar los objetivos de ventas.
Prospectar, captar y hacer seguimiento de los nuevos clientes, a fin de aumentar la cuota de mercado en la zona y crear nuevas oportunidades.
Impulsar la venta de nuevas familias, productos y servicios en clientes existentes, para incrementar la cuota de mercado en la zona y mejorar la rentabilidad de la cuenta.
Realizar un seguimiento continuado del consumo actual y potencial de los clientes, detectando posibles desviaciones, nuevas necesidades, renegociando las condiciones de compra cuando resulte necesario y potenciando el incremento de líneas.
Mantener comunicación continuada con el departamento de Customer Service, para coordinar gestiones especiales, ofertas, consultas sobre devoluciones.
Preparar la documentación necesaria para las reuniones mensuales con su manager y realizar todas las tareas administrativas asociadas a la gestión comercial.

Requisitos:

Titulación a nivel de Bachillerato/COU o Ciclo Formativo.
Valorable aportar formación en técnicas de ventas, atención al cliente, negociación o similar.
Idiomas: castellano avanzado.
Nivel de usuario del paquete Office.
Experiencia en el uso de Tablets y Smartphones así como el uso de Redes Sociales (Linkedin)
Valorable aportar conocimiento técnico en alguna de las familias de producto: EPI's, Impresión, Catering e Higiene y Producto Escolar
Valorable experiencia de al menos 3 años en venta consultiva en ámbito B2B, como comercial interno o externo.
Imprescindible carnet de conducir y vehículo propio y/o ciclomotor
Lugar de residencia ideal: 10 km dentro del radio de Zona media de Navarra, Pamplona o Tudela.

Ofrecemos:

Proyecto estable
Jornada completa.
Ubicación puesto de trabajo en: Pamplona, Navarra, España
Imprescindible vivir en Zona media de Navarra, Pamplona, Tudela o Logroño
Zona de trabajo: Navarra media y parte de La Rioja (Calahorra- Rincón de Soto - Pradejón).
Nivel valoración puesto Hay: 10
Beneficios sociales exclusivos Lyreco:
Conciliación (Jornada flexible e intensiva y posibilidad de trabajar en remoto)
Salud y bienestar (seguros, wellness y fruta fresca cada mes)
Descuentos para empleados
Desarrollo profesional
Programas de reconocimiento interno
Dia libre el día de tu cumpleaños

#LI-MN1

#LI-Hybrid",Pamplona,Todos
Operario/a area de producción Converting,Essity,España,No especificado,+ 30 d,"3,4","Acerca del rol

Será la persona responsable de la alimentación y conducción de una máquina automática de papel tisú con las instalaciones asociadas a la misma controlando las distintas variables y operaciones del proceso.

Estamos buscando personas que personifiquen nuestros valores, no tengan miedo de desafiar, innovar, experimentar y moverse a un ritmo rápido. Siempre estamos buscando formas de mejorar nuestros productos y a nosotros mismos. Si eres tú, nos encantaría hablar.

Responsabilidades del puesto

Cumplir las normas de seguridad de Essity.

Asegurar que el nivel de calidad es acorde con las especificaciones de los productos mediante la realización de pruebas periódicas.

Asegurar que los productos que no cumplen las especificaciones son rechazados o bloqueados.

Ejecutar los diferentes estándares generados en la unidad mediante el DDS: SOP, CIL, Centerlining, especificaciones, ejecución de órdenes preventivas (SAP), etc.

Conducir la máquina y supervisar el proceso. Si es necesario realizar ajustes de acorde a los estándares, consultando al Team Leader o Line Leader.

Supervisar y colaborar activamente en el cambio de formato, mantenimiento, pruebas y otras actividades técnicas.

Preparar las materias primas y su colocación en la máquina de acuerdo a los estándares establecidos.

Mantener una comunicación correcta en el cambio de turno (anterior y posterior).

Mantener y optimizar el orden y la limpieza de su zona de trabajo.

Participar en la introducción y reporte de los datos que se generen durante la producción.

Trabajar de acuerdo a los programas de desarrollo del personal (121).

Quién eres

Nivel educación: se valorará formación técnica

Experiencia demostrada como Operario/Operaria en líneas de rollos

Orientado/a a resultados en trabajo en un proceso continuo de producción

Habilidades funcionales / técnicas

Integridad y confianza en las relaciones de compañeros

Gestión del tiempo

Información adicional

Calendario de trabajo a turnos

Integración en equipo productivo

Que te ofrecemos

En Essity, creemos que cada carrera es tan única como el individuo y capacitamos a las personas para alcanzar su máximo potencial en una cultura ganadora motivada por un poderoso propósito.

Ambiente de trabajo colaborativo y afectuoso | Empoderamiento | Impacto laboral | Trabajar con un propósito poderoso | Aprendizaje individual y desarrollo | Salud y seguridad | Responsabilidad social | Innovación
Essity es un empleador que ofrece igualdad de oportunidades. Todos los aspectos del empleo, incluida la decisión de contratar, promover, disciplinar o despedir, se basarán en el mérito, la competencia, el desempeño y las necesidades comerciales. No discriminamos por motivos de raza, color, religión, edad, discapacidad física o mental, embarazo, orientación sexual. Buscamos reclutar, desarrollar y retener a las personas más talentosas de un grupo diverso de candidatos/as.

Application End Date:

27 feb 2026
Job Requisition ID:
Essity257456",Pamplona,Todos
Atención al cliente,Domestiko,Pamplona,No especificado,16 días,"3,4","Buscamos una persona para dar apoyo en atención al cliente en Pamplona. Las funciones principales incluirán la atención telefónica y presencial, especializándose en casos de diversidad funcional y apoyo a familias.

Las tareas también abarcan la gestión de facturación mensual, el control de gastos trimestrales y la organización de las agendas de los profesionales. Además, se encargará de la tramitación de documentos, la gestión de correos electrónicos y la comunicación fluida con empresas para gestionar compras y coordinar ayudas a los clientes.

Se ofrece una jornada completa. El horario habitual será de lunes a jueves de 8:00 a 16:00 horas y los viernes de 8:00 a 14:30 horas. Durante los periodos de Navidad, julio y agosto, el horario será de lunes a viernes de 8:00 a 15:00 horas.

Experiencia profesional:
Menos de un año

Estudios:
En el ámbito social, Integración social, Trabajo social, Psicología, etc.


Amabilidad en el trato con personas de forma directa.
Formación en el ámbito administrativo.
Organización.
Comunicación.
Trabajo en equipo.
Empatía y buen trato.",Pamplona,Todos
