Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),24 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Vigo, Pontevedra provincia (Vigo, Vigo)",Pontevedra,Todos
Operario/a sierra-sector congelado (Zona Vigo-Morrazo),Grupo Nortempo,España,2 mil € (Proporcionado por la empresa),10 días,"3,9","Empresa del sector alimentario busca incorporar Operario/a de Sierra para trabajar en el área de producto congelado.


Funciones:
Manejo de sierra para el corte de producto congelado.
Preparación y manipulación de mercancía.
Cumplimiento de las normas de seguridad e higiene alimentaria.
Mantenimiento del orden y limpieza en el puesto de trabajo.


Horario:
De lunes a viernes.
Turno fijo de mañana (6:00 a 14:00) o turno fijo de tarde (14:00 a 22:00).


Si cumples los requisitos, no dudes en inscribirte. ¡Te estamos esperando!


Requisitos


- Experiencia mínima de 6 meses en manejo de sierra. - Valorable experiencia en sector alimentación o producto congelado. - Disponibilidad para trabajar en turno de mañana o tarde.


Se ofrece


- Contrato inicial a través de ETT. - Posibilidades reales de incorporación a plantilla de empresa. - Jornada completa.

Requisitos

Experiencia mínima de 6 meses en manejo de sierra.
Valorable experiencia en sector alimentación o producto congelado.
Disponibilidad para trabajar en turno de mañana o tarde.

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Contrato inicial a través de ETT.
Posibilidades reales de incorporación a plantilla de empresa.
Jornada completa.",Pontevedra,Todos
Agente comercial con Plan de Carrera,Occident,España,No especificado,21 días,"3,9","¿Te gustaría formar parte de Occident? ¡Esta es tu oportunidad!

¿ Qué te ofrecemos?

Acceso a un Programa con un plan de formación continua, homologado por lo Dirección General de Seguros y Fondos de Pensiones.
Flexibilidad horaria.
Ambicioso paquete retributivo compuesto por financiación, variables y comisiones recurrentes acumulativas.
Derechos económicos sobre la cartera de clientes.
Gestión de la cartera de clientes, mediante CRM propio, para un óptimo seguimiento de la actividad comercial.
Acompañamiento y mentoring por parte de un supervisor especializado.
Posibilidad de apertura de una oficina propia una vez finalizado el Plan de Carrera.

¿Qué ventajas tiene para ti?

No es necesaria experiencia previa en el sector (sí valorable experiencia comercial).
Acceso a una retribución estable y sin límites variables gracias al sistema de comisiones recurrentes acumulativas.
Flexibilidad horaria total.
Gran ambiente de trabajo, con acceso a premios, viajes, promociones, beneficios y descuentos en productos comercializados.

Requisito indispensable tener los estudios homologados en España.

Tu futuro sólo depende de ti, asegura tu futuro profesional asegurando el de nuestros clientes.

Tipo de puesto: Autónomo

Beneficios:

Ayuda al desarrollo profesional
Flexibilidad horaria
Formación en certificaciones profesionales
Programa de formación
Teletrabajo opcional

Preguntas para la solicitud:

¿Has trabajado alguna vez enfocado/a a objetivos?

Ubicación del trabajo: Teletrabajo híbrido en 36201 Vigo, Pontevedra provincia",Pontevedra,Todos
Electromecánico/a,Grupo Nortempo,Pontevedra,25 mil € - 30 mil € (Proporcionado por la empresa),24 días,"3,9","¿Buscas un puesto técnico estable, en una empresa industrial de la zona, donde puedas trabajar con maquinaria, aprender y crecer a largo plazo dentro de un entorno cercano?


Desde Nortempo Selección estamos seleccionando un/a Técnico/a Electromecánico/a para una empresa especializada en el diseño, fabricación, montaje y mantenimiento de maquinaria industrial, ubicada en Pontevedra.

La persona seleccionada se incorporará a un equipo técnico estable, con formación interna y acompañamiento, participando en el montaje, ajuste y mantenimiento de maquinaria industrial.


¿Cuáles serán tus funciones?



Montaje y ajuste de maquinaria industrial en taller y, puntualmente, en instalaciones cercanas.
Puesta en marcha de equipos y apoyo en pruebas de funcionamiento.
Resolución de incidencias técnicas.
Mantenimiento preventivo y correctivo de los equipos.

Requisitos


- Formación Profesional de Grado Medio o Superior en Mecanizado, Fabricación Mecánica o similar. - Experiencia previa en taller de mecanizado o fresadora CNC. - Capacidad para interpretar planos mecánicos. - Valorable experiencia realizando ajustes o pequeñas modificaciones en programas CNC (Heidenhain, Fanuc). - Residencia en Pontevedra o alrededores.


Se ofrece


- Contrato indefinido directamente por empresa. - Horario estable de lunes a viernes (08:00 a 17:30). - Entorno de trabajo técnico, organizado y estable. - Formación interna. - Condiciones económicas negociables según experiencia.

Requisitos

Formación Profesional de Grado Medio o Superior en Mecanizado, Fabricación Mecánica o similar.
Experiencia previa en taller de mecanizado o fresadora CNC.
Capacidad para interpretar planos mecánicos.
Valorable experiencia realizando ajustes o pequeñas modificaciones en programas CNC (Heidenhain, Fanuc).
Residencia en Pontevedra o alrededores.

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Contrato indefinido directamente por empresa.
Horario estable de lunes a viernes (08:00 a 17:30).
Entorno de trabajo técnico, organizado y estable.
Formación interna.
Condiciones económicas negociables según experiencia.",Pontevedra,Todos
Técnico Comercial,"TRIENXIS, S.L.",España,35 mil € - 45 mil € (Proporcionado por la empresa),3 días,"3,9","TRIENXIS, S.L. es la empresa líder en el tratamiento de aguas residuales de procesos industriales, de forma más especializada en la siderurgia y la automoción, donde ofrece unos resultados innovadores con una tecnología disruptiva única en el mundo que permite a los clientes estar dentro de los límites legales de vertido más del 99% del tiempo.

En el puesto de Técnico Comercial en TRIENXIS, S.L., te encargarás de gestionar la comercialización de soluciones para el tratamiento de aguas residuales. Esto incluye identificar y captar nuevos clientes, asesorar técnicamente sobre los productos y servicios de la empresa, ayudar al análisis, diseño y posterior montaje de las instalaciones del tratamiento en nuevos clientes, y proporcionar soporte postventa. También participarás en reuniones con clientes para ofrecer formación sobre las soluciones técnicas, asegurando su correcta implementación. Este es un puesto de tiempo completo que se desempeñará de forma presencial en Pontevedra, pero con presencia constante en las plantas de los clientes en España y en otros países en los que se está implantando el sistema.

Requisitos

Titulación en Ingeniería Química o Ciencias del Mar, preferentemente. En su defecto, otra ingeniería con amplios conocimientos químicos demostrables
Se valorará muy positivamente la experiencia laboral específica en el mundo de los productos químicos (tanto en producción como en distribución) y en el sector de tratamientos de aguas.
Habilidades analíticas para identificar necesidades específicas de los clientes y proponer soluciones efectivas.
Excelentes aptitudes de comunicación para interactuar de manera efectiva con clientes y equipos internos.
Experiencia en soporte técnico para resolver consultas y problemas de los clientes de manera eficiente.
Capacidad para gestionar y cerrar ventas, incluyendo seguimiento y desarrollo de relaciones comerciales.
Experiencia en formación para explicar y enseñar el uso correcto de tecnologías o servicios técnicos.
Se valorará un enfoque proactivo, habilidades interpersonales y conocimientos sobre productos o servicios en el sector de tratamiento de aguas residuales.
Disponibilidad completa para viajar, tanto en viajes cercanos de un día como en implantaciones lejanas que requieran más días o incluso semanas de permanencia

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 35.000,00€-45.000,00€ al año

Beneficios:

Jornada intensiva en verano
Jornada intensiva los viernes
Ordenador de empresa
Pago de kilometraje
Teléfono de empresa

Ubicación del trabajo: Viajes periódicos",Pontevedra,Todos
Técnico de camiones PONTEVEDRA Pontevedra,DAF,Pontevedra,No especificado,+ 30 d,"3,9","Técnico de camiones

¿Has trabajado como mecánico, técnico automotriz o incluso como mecánico de coches (o simplemente estás listo para un nuevo reto)? En DAF, damos la bienvenida a profesionales con una mentalidad técnica que quieran desarrollarse como técnico de camiones. Tener experiencia como mecánico de coches o técnico automotriz puede ser una gran base, pero lo que más importa es tu pasión por los camiones.

¿Estás ""Hecho para DAF""?

Perfecto, porque justo estamos buscando talento. En un concesionario DAF, trabajarás con camiones líderes del mercado para devolverlos a la carretera lo más rápido posible cuando requieran un mantenimiento y utilizarás los sistemas de taller más avanzados en vehículos equipados con tecnología de vanguardia. Si te gusta asumir responsabilidades, te invitamos a formar parte de un gran equipo en el concesionario DAF.

En función de tus conocimientos y experiencia actuales, y adaptado a los requisitos específicos del puesto, esto es lo que puedes esperar en tu trabajo diario:

Serás responsable de realizar diagnósticos rápidos y precisos utilizando herramientas de diagnóstico.
Trabajarás de forma independiente para realizar las tareas de mantenimiento y reparación de los vehículos y componentes DAF.
Realizarás diversas inspecciones (ITV, tacógrafo, etc.).
Ayudarás y asesorarás diariamente a los técnicos menos experimentados.
Realizarás las comprobaciones finales de los trabajos completados.

Esto es lo que estamos buscando:

Gente motivada para trabajar con camiones, ya sea en el taller o utilizando equipos de diagnóstico.
Gente motivada para desarrollar sus habilidades técnicas, como reparaciones de motores o solución de problemas eléctricos.
Gente motivada para aprender sobre la instalación de accesorios y la preparación de vehículos para la entrega.
Gente orgullosa de su trabajo, con una auténtica pasión por mantener los vehículos en las mejores condiciones.
Gente deseosa de mantener y ampliar sus conocimientos actualizados con los avances del sector.
Gente con una actitud positiva y entusiasmo por trabajar en equipo.
Valoramos la experiencia previa como mecánico de camiones, pero también damos la bienvenida a nuevos entusiastas.

¿Está DAF hecho para ti?

Esto es lo que garantizamos:

Responsabilidad individual y libertad de acción.
Salario competitivo y beneficios adicionales.
Muchas oportunidades de formación y posibilidades de promoción.

¿Estás hecho para DAF? Rellena el formulario que encontrarás en nuestro sitio web.",Pontevedra,Todos
REPARTIDOR CON DOTES COMERCIALES,AGUAS DO PARAÑO SL,Pontevedra,No especificado,+ 30 d,"3,9","Se busca repartidor con dotes comerciales y disponibilidad geográfica

Tipo de puesto: Jornada completa

Experiencia:

Conducción de furgones: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Pontevedra,Todos
MECÁNICO/A OFICIAL DE 1ª/2ª EN VIGO,Northgate Renting Flexible,España,No especificado,28 días,"3,9","Localidad: Vigo


Provincia: Pontevedra


Nº Vacantes (puestos): 2


Tipo de oferta: Oferta de Empleo



Funciones

Northgate es el líder en Renting Flexible en España. Actualmente necesitamos incorporar en nuestra delegación de Vigo un mecánico/a oficial de 1ª y un mecánico oficial de 2ª categoría cuyas funciones principales serán:

Reparación y / o cambio de distribuciones.
Reparación y / o cambio de embragues.
Revisiones generales de los vehículos.
Cambios de ruedas.
Cambios de aceite.
Diagnóstico y reparación de averías eléctricas.
Montajes especiales.
Cambio de frenos y cambios.
Conocimiento y manejo de máquina de diagnosis.
Cambio de inyectores.
Cambio de espejos.
Reparaciones de motor y cajas de cambio
Comunicar posibles incidencias sobre el estándar del vh a limpiar
Movimiento de vehículos dentro y fuera del recinto de la compañía.


Requisitos




Imprescindible tener carnet de conducir B.
Estudios: FPGM en mecánica.
Mínimo 4/5 años de experiencia en un puesto similar.




Se ofrece

Contrato de indefinido.
Actualmente estamos con la jornada intensiva en verano en horario de 7:30 a 15:00 en desde la última semana de Julio hasta la primera semana de septiembre.
El resto del año el horario es de lunes a viernes de 8:30 a 17:30 con 1 hora para comer.
Posibilidades de crecimiento profesional.
Excelente ambiente de trabajo.
Excelentes instalaciones de taller.",Pontevedra,Todos
Administrativo/a,Domestiko,España,No especificado,+ 30 d,"3,9","Se busca administrativo/a para una empresa del sector alimentario. El puesto implica una variedad de tareas de soporte esenciales para el buen funcionamiento del negocio.

Las responsabilidades principales incluyen la organización y el archivo de toda la documentación relevante, así como la atención de llamadas y correos electrónicos tanto de clientes como de proveedores. También se encargará de la emisión de facturas, la revisión meticulosa de albaranes, el registro de pagos y la constante actualización del sistema de gestión.

Además, la persona seleccionada gestionará la realización de pedidos y coordinará las actividades con el almacén y el departamento de transporte, entre otras funciones propias del puesto. La jornada laboral es completa, con 40 horas semanales, de lunes a viernes, en horario partido, generalmente entre las 09:00 y las 18:00, respetando los descansos legales establecidos.


Experiencia mínima de 1 año desempeñando funciones similares.
Buscamos a una persona comprometida, seria y activa.
Valorable residencia cercana al puesto de trabajo.
GM/GS en adminsitratición o áreas afines finalizado.",Pontevedra,Todos
Auxiliar administrativo,Domestiko,España,No especificado,+ 30 d,"3,9","Se busca auxiliar administrativo con experiencia en tareas de administración general y manejo de documentación. La persona seleccionada se encargará de organizar, clasificar y archivar documentos, además de dar soporte en diversas gestiones administrativas diarias.

Este puesto es de carácter temporal, con una jornada laboral completa. Se ofrece un salario bruto anual competitivo, que oscila entre 20.000 y 23.000 euros, dependiendo de la experiencia y las aptitudes demostradas.",Pontevedra,Todos
