Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
ASISTENCIAL,Air Liquide,España,No especificado,14 días,"3,8","At Air Liquide Healthcare Iberia, we are specialists in the manufacture and comercialization of medical and healthcare gases. We manufacture and supply medical gases; we develop, install, maintain equipment and propose essential solutions for their proper use.



We work with the highest safety standards in all our processes to ensure the proper use and handling of our gases, services and equipment at all times. In addition, we have a large team of experts and professionals who have an in-depth knowledge of our customers' needs.






How will you CONTRIBUTE and GROW?



¿Eres enfermero/a y buscas un trabajo con impacto real, flexibilidad y grandes beneficios?

Únete a Air Liquide Healthcare, líder mundial en gases medicinales, y forma parte de un equipo que marca la diferencia en la vida de miles de personas. Buscamos a una persona con pasión, para trabajar en nuestro equipo de Castilla y León y ofrecer una atención de calidad en el hogar.





¿ Qué harás en tu día a día?
Tu rol es fundamental para garantizar el bienestar de nuestros pacientes. Serás la persona encargada de:

Coordinar y gestionar las visitas a domicilio con pacientes y sus familias.
Instruir y educar a los pacientes sobre el uso de los equipos y la terapia prescrita.
Brindar una atención personalizada para resolver dudas e incidencias.
Realizar el seguimiento de la terapia y coordinación con el hospital para un servicio de excelencia.




¿Qué te ofrecemos?

Paquete retributivo competitivo
Flexibilidad para conciliar: Elige entre jornada completa o parcial .
Contrato estable: Te ofrecemos un contrato indefinido desde el primer día.
Beneficios excepcionales: Seguro médico privado, seguro de vida, tarjeta Sodexo (tickets restaurante), 22 días hábiles de vacaciones, programa de conciliación laboral y mucho más.
Desarrollo profesional: Te damos la oportunidad de crecer con nosotros a través de formación continua.
Ambiente de trabajo inmejorable: Un equipo flexible, dinámico y con un gran ambiente laboral.





Are you a MATCH?





Serás el candidato /a si cumples con los siguientes requisitos mínimos:

Título de Grado en Enfermería.
Estar colegiado/a.
Carnet de conducir B.





Our Differences make our Performance

At Air Liquide, we are committed to build a diverse and inclusive workplace that embraces the diversity of our employees, our customers, patients, community stakeholders and cultures across the world.

We welcome and consider applications from all qualified applicants, regardless of their background. We strongly believe a diverse organization opens up opportunities for people to express their talent, both individually and collectively and it helps foster our ability to innovate by living our fundamentals, acting for our success and creating an engaging environment in a changing world.",Salamanca,Todos
Asesor/a Contable,Kolibri Consulting,Salamanca,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,8","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Salamanca, Salamanca provincia (Salamanca)",Salamanca,Todos
Recepcionista centro deportivo,Centro Deportivo Salamanca,Salamanca,No especificado,8 días,"3,8","Se busca recepcionista para un centro deportivo. Atención al cliente, proveedores, medios de pago, excel, valorable conocimiento de idiomas, valorable experiencia en puesto similar.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 13.000,00€-16.000,00€ al año

Ubicación del trabajo: Empleo presencial",Salamanca,Todos
Empleado General - Cinépolis Plaza Santiago,Cinépolis,España,6 mil € - 8 mil € (Proporcionado por la empresa),4 días,"3,8","Si te apasiona el cine y el servicio, te invitamos a iluminar la película de tu vida en la empresa más importante del entretenimiento nacida en México, ya presente en 17 países.

Queremos que seas nuestro protagonista como:

Empleado General - Cinépolis Plaza Santiago, N.L

Ubicación: Carretera Nacional 209 Colonia Santiago Centro C.P. 67310, Santiago, N.L Entre calles: Abasolo y De la Madrid. SANTIAGO, NL

¿Qué necesitas?

Contar con RFC emitido por el SAT e INE vigente.
Ser mayor de edad
Ganas de Trabajar
Vivir cerca de la zona, por tema de horarios.

Objetivo del puesto:
Buscamos tu talento para: Atención al cliente, venta de productos, limpieza de áreas y preparación de alimentos

¿Qué esperamos de ti?
Confiamos en tus conocimientos, los cuales permitirán una rápida adaptación a la compañía, así como tu valiosa aportación a nuevos retos y proyectos dentro del área de nuestros cines, logrando excelentes resultados cumpliendo en tiempos y ofreciendo un excelente servicio a tus clientes.

** INTERESADOS POSTULARSE POR ESTE MEDIO O POR WHATSAPP AL +52 81 2652 2858**

Tipo de puesto: Tiempo completo

Salario: $6,400.00 al mes

Horario:

Horario flexible
Incluye fines de semana
Rotativo
Turno de 5 y 8 horas
Turno vespertino

Prestaciones:

Descuentos y precios preferenciales
Horarios flexibles
Prestaciones de Ley
Beneficios en alimentos y entradas gratis al cine
Programa de referidos
Seguro de vida

Pregunta(s) de postulación:

¿Tienes RFC emitido por el SAT y tu INE vigente?
¿Cuánto tiempo de traslado haces de tu domicilio a la plaza?
¿Puedes cubrir turnos de cierre?

Tipo de puesto: Jornada completa, Media jornada

Sueldo: 5.500,00€-7.500,00€ al mes

Beneficios:

Seguro de vida
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Salamanca,Todos
Asistente administrativo y de recepción,Domestiko,Salamanca,No especificado,14 días,"3,8","Se busca una persona para desempeñar funciones de asistente administrativo y de recepción. La posición requiere a alguien con iniciativa, muy organizado y capaz de gestionar múltiples tareas al mismo tiempo en un entorno dinámico. Serás el punto de contacto inicial para quienes visiten o llamen, jugando un papel importante en la atención y el apoyo a las tareas administrativas diarias. Tu labor ayudará a mantener la eficiencia y una imagen profesional.

Las funciones principales consistirán en la gestión completa de la atención al cliente, recibiendo a las personas y atendiendo llamadas telefónicas de forma profesional y cordial. Esto incluye resolver dudas básicas y derivar consultas al área correspondiente. También participarás en la gestión de promociones y en la administración de suscripciones, garantizando que los procesos se realicen sin demoras. Una tarea importante será el manejo diario de la caja, registrando cobros, gestionando devoluciones y realizando los cierres contables necesarios.

Además, serás responsable de mantener el orden administrativo, anticipando posibles problemas y solucionando incidencias. Deberás registrar operaciones y manejar documentación utilizando nuestro sistema informático y programas de ofimática. El contrato será temporal y a jornada parcial.

Se requiere una experiencia mínima de 1 año en puestos de atención al cliente y en gestión administrativa dentro de entornos empresariales. Es deseable una Formación Profesional en Asistencia a la Dirección, Administración o un campo afín. Se valorará la capacidad de organización, un alto sentido de la responsabilidad y una meticulosa atención al detalle. Asimismo, son fundamentales unas excelentes habilidades de comunicación y la habilidad para mantener un trato cordial y profesional con todas las personas con las que interactúes.",Salamanca,Todos
Auxiliar de Cajas/Reposición,Carrefour,Salamanca,No especificado,24 horas,"3,8","¡Hola! ¡Queremos conocerte!
¿Te apasiona el mundo del comercio? ¿Te preocupas por los detalles? ¿Te consideras una persona dinámica? ¡Te estábamos esperando!
Carrefour es una empresa líder en comercio de alimentación y distribución y queremos que inicies una carrera profesional llena de posibilidades con nuestros mejores profesionales.
Pretendemos que todos los días sean un aprendizaje, que crezcas y llegues tan lejos como quieras. Te ofrecemos formación a cargo de la empresa y la posibilidad de promocionar internamente para seguir creciendo con nosotros.
¿Qué buscamos?
Que nuestros clientes quieran volver y para ello hay que empezar por nuestros colaboradores. Nuestro objetivo es encontrar personas con don de gentes, dinámicas, con capacidad de aprendizaje y a las que les guste trabajar en equipo.
¿Cuáles serían tus funciones?
Aportar la ayuda que nuestros clientes necesiten en su recorrido por la tienda. Te ocuparás del mantenimiento de la imagen de la tienda, organizar el almacén, cobrar en caja y reponer los productos, para dar a nuestros clientes el servicio que están buscando.


Nos encantará conocerte si cuentas con:

Educación Secundaria Obligatoria (formación mínima requerida).
Habilidades: orientación al cliente, trabajo en equipo, proactividad.
Se valora la experiencia previa pero no es imprescindible.
Incorporación a una gran compañía donde podrás crecer.
Descuento del 8% para ti y para 6 personas más en todos nuestros productos.
Formación continua para desarrollarte profesionalmente.
Programas que se preocupan por tu bienestar: Carrefour Life (actividades y eventos deportivos, descuentos y ventajas exclusivas).

En Carrefour apostamos por un espacio de trabajo idóneo para que cualquier persona con independencia de su género, orientación sexual, identidad y/o expresión de género, creencias, ideologías, origen, capacidades, entre otras, pueda desplegar todo su potencial.",Salamanca,Todos
Recepcionista centro deportivo,Domestiko,Salamanca,No especificado,22 días,"3,8","Se busca una persona para trabajar como recepcionista en un centro deportivo. Las tareas principales incluirán la atención directa a los clientes, gestionando la entrada y salida de personas. También se encargará del manejo de herramientas informáticas como Excel y programas específicos del centro deportivo.

La persona seleccionada también llevará a cabo la atención telefónica, respondiendo consultas y gestionando citas. Además, realizará diversas tareas administrativas necesarias para el buen funcionamiento del centro.

El puesto ofrece un contrato indefinido con una jornada laboral completa.",Salamanca,Todos
Técnico contable y administrativo,Domestiko,Salamanca,No especificado,24 horas,"3,8","Se busca una persona con perfil contable y administrativo para unirse a un equipo en Salamanca. El puesto es clave para la gestión interna, apoyando en tareas diarias y asegurando la fiabilidad de los procesos económicos y administrativos. Será fundamental para mantener el orden y la eficiencia, contribuyendo al control de costes y a la toma de decisiones estratégicas.

La posición ofrece contratación directa con la empresa, formando parte de un proyecto con visión de continuidad y crecimiento. Se integrará en un departamento dinámico, donde el trabajo tendrá un impacto directo. Se disfrutará de jornada continua de lunes a viernes, favoreciendo la conciliación. Habrá oportunidad de desarrollar la carrera dentro del departamento, ampliando responsabilidades y consolidando el perfil profesional.

Las funciones incluirán la gestión integral de facturación, tareas contables y seguimiento de costes con atención al detalle. Se encargará de organizar y mantener actualizada la documentación, bases de datos y sistemas de gestión. Participará en la elaboración de informes y proporcionará soporte administrativo y financiero, asegurando la correcta operativa y optimización.

Formación académica en ADE, Empresariales, Gestión de PYMES o similar. Experiencia mínima demostrable de 2 años en puestos de administración y contabilidad. Dominio avanzado de Microsoft Excel y otras herramientas ofimáticas. Se valorará una gran capacidad de organización, atención al detalle y habilidades de comunicación.",Salamanca,Todos
DEPENDIENTE/A SALAMANCA TORO 11-13 ST 16H FINES DE SEMANA,Mango,Salamanca,No especificado,+ 30 d,"3,8",N/A,Salamanca,Todos
Auxiliar de facturación,ALS,Salamanca,No especificado,6 días,"3,8","ALS es una empresa global líder en servicios de análisis y laboratorio, comprometida con ofrecer soluciones de alta calidad y precisión a clientes de diversas industrias. Con más de 40 años de experiencia, brindamos una amplia gama de servicios que incluyen pruebas, análisis y asesoramiento técnico en áreas como minería, medio ambiente, alimentos, energía, entre otros.

Nuestra misión es proporcionar resultados confiables que ayuden a nuestros clientes a tomar decisiones informadas, impulsando la sostenibilidad, la seguridad y la innovación en sus operaciones. En ALS, valoramos la integridad, la excelencia y la colaboración, y trabajamos para crear un ambiente de trabajo inclusivo y diverso, donde cada miembro del equipo pueda contribuir al éxito colectivo.

Como parte de nuestro equipo, tendrás la oportunidad de desarrollarte profesionalmente en una empresa comprometida con la mejora continua y con un impacto positivo en la sociedad y el medio ambiente.

Precisamos incorporar a nuestro equipo de Salamanca una persona con perfil administrativo para el área de facturación y con dotes de atención al cliente.

Funciones principales:

Gestión de documentación propia de facturación
Manejo avanzado de Excel y sus herramientas
Contactar con clientes para resolver incidencias, reclamos y resolver dudas.
Facturar de manera constate
Gestión telefónica y de correo

Requisitos:

Formación de grado medio o FP en Administración o similar
Experiencia previa en tareas administrativas (valorable en Facturación).
Manejo de herramientas ofimáticas (Excel, Word) ,sistemas de facturación y nuevas tecnologías (IA, office 365, etc)
Capacidad organizativa, atención al detalle y trabajo en equipo.
Valorable inglés medio
Disponibilidad inmediata de incorporación
Flexibilidad horarios en días de cierre
dotes de atención al cliente y trabajo en equipo

Tipo de puesto: Jornada completa

Beneficios:

Ayuda al desarrollo profesional
Cursos de idiomas ofertados
Eventos de la empresa
Programa de formación

Ubicación del trabajo: Empleo presencial",Salamanca,Todos
Camarera/o de pisos media jornada de mañanas,Domestiko,Salamanca,No especificado,+ 30 d,"3,8",N/A,Salamanca,Todos
Administrativo/a de Logística (Salamanca),PROMAN,Salamanca,No especificado,+ 30 d,"3,8","Descripción:

Desde Proman Personas ETT estamos buscando Administrativo/a de Logística (H/M) con experiencia tanto con labores administrativas como de mozo de almacén Salamanca.

Necesario de 1 año de experiencia en el puesto ofertado.

Funciones:

Gestión de Inventarios y Control de Stocks.
Coordinación de Transporte y Logística de Distribución.
Documentación y Gestión de Pedidos.
Comunicación con Proveedores y Clientes.
Análisis y Mejora de Procesos Logísticos

Requisitos:

Necesario de 1 año de experiencia en el puesto ofertado.

Disponibilidad de incorporación inmediata.

Vehículo para desplazarse.",Salamanca,Todos
