Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Mecánico/a Oficial 1ª y 2ª - Midas Madrid - Contrato Indefinido - 14 Pagas,Doguelter Inversiones SL,Madrid,22 mil € - 36 mil € (Proporcionado por la empresa),24 horas,"4,2","¿Quieres trabajar con la tecnología más avanzada?

En Midas (Grupo Doguelter) buscamos mecánicos para nuestros 6 talleres en Madrid. Si te apasiona la mecánica pero quieres dejar de hacer ""siempre lo mismo"", este es tu sitio.

Tus beneficios con nosotros:

✅ FORMACIÓN ESPECIALIZADA: Acceso a cursos técnicos constantes. Te formamos en nuevas tecnologías para que nunca te quedes atrás.
✅ CONTRATO FIJO: Estabilidad desde el primer día.
✅ 14 PAGAS: Cobras extra en verano y Navidad.
✅ CRECIMIENTO: Posibilidad real de promocionar a Jefe de Taller en nuestra red de 6 centros.

¿Qué harás?

Mecánica multimarca, diagnosis avanzada, mantenimiento integral y atención a estándares de calidad Midas.

¿Cómo aplicar?

Buscamos gente decidida. Si te interesa, rellena este formulario y te llamaremos para una entrevista mañana mismo:
Formulario de Preselección - https://docs.google.com/forms/d/e/1FAIpQLSdWritSiCUJj6Wxr2yhII99-0V0FVK0a0lYFnEmoZHZRsIEfQ/viewform?usp=dialog

Sueldo: 22.000,00€-36.000,00€ al año

Ubicación del trabajo: Empleo presencial",San Sebastián,Todos
Air Supply System Software Control Engineer,Airbus,Getafe,No especificado,+ 30 d,"4,2","Job Description:

Air Systems Control Engineer: Shape the Future of Flight

Are you an engineer with a passion for innovation and a knack for problem-solving? Do you want to play a key role in developing the next generation of greener, more efficient aircraft?

We're looking for an Air Systems Control Engineer to join our team at Airbus in Getafe (Madrid). You'll be at the heart of our Engineering department, contributing directly to the safety and comfort of millions of travelers.

What You’ll Do

As a core member of the Air Supply Systems team, you will:

Innovate and Optimize : Develop and integrate cutting-edge system architectures and equipment, ensuring our Environmental Control Systems (ECS) are reliable, highly efficient, and meet the highest safety standards. You'll be a vital part of our mission to explore green technologies for the Zero Emission challenges of tomorrow.

Take Control : Become the expert on the software and hardware that safely operates our Air Supply Systems. You will lead the charge in improving and adapting these systems, including groundbreaking work on projects like fiber optic sensing applications.

Solve Complex Challenges: Use your deep understanding of system behavior and control logic to support the daily operations of our air supply systems and resolve critical in-service issues.

Collaborate and Influence: Work directly with a dynamic network of international teams, from system suppliers and flight test teams to stakeholders across multiple organizations. Your expertise will be crucial in defining interfaces and driving project success.

Guide and Develop: You'll be part of a team that champions a new way of working, with a strong focus on professional development, well-being, and continuous improvement. Your contributions will be valued and celebrated.




Who We Are Looking For

We need a dedicated professional who is ready to make a significant impact on the future of aerospace. If you're a proactive problem-solver who thrives in a collaborative, forward-thinking environment, this is the role for you.

Join us at Airbus and help us build a more sustainable and comfortable future for air travel.

Ready to apply?

If you're excited by the chance to be at the forefront of aerospace engineering, we encourage you to submit your application and join our mission.

Required skills :

We are looking for candidates with the following skills and experience:

Master's degree / Diploma in Engineering or similar qualifications.

Work experience in System Engineering (V&V methodology).

Work experience in Software development and integration (mainly in IMA architecture).

Experience and knowledge on Airbus software & hardware development tools and processes:




SW/HW development reviews - FDR, FFR, ...

DO 178 & DO 254

SW/HW SOI 2/3/4



Experience in technical (international) coordination would be appreciated.

Experience in SW laboratory testing is considered a plus.

Good interpersonal and presentation skills (with business customers, internal and/or external, with Extended Enterprise subcontractors, etc.).

Good communication skills and ability to work within an international team.

Ability to abstract problems and issues in analytical way.

Ability to propose solutions and to challenge alternatives based on concrete business model in a constructive and respectful way.

Fluency in English is mandatory, Spanish or French or German is appreciated.

Team-oriented mindset with high communication skills, open mindset and willingness to learn complete your Profile.





You will become a member of a highly motivated and positively minded team.

WHICH BENEFITS WILL YOU HAVE AS AIRBUS EMPLOYEE?:

At Airbus we are focused on our employees and their welfare. Take a look at some of our social benefits:

Vacation days plus additional days-off along the year (Apróx. 35 days per year in total).

Attractive salary.

Hybrid model of working (40% per quarter) when possible, promoting the work-life balance.

Collective transport service subject to working calendar/home location.

Benefits such as life insurance, health insurance, employee stock options, retirement plan, or study grants.

On-site facilities (among others): free canteen, kindergarten, medical office.

Possibility to collaborate in different social and corporate social responsibility initiatives.

Excellent upskilling opportunities and great development prospects in a multicultural environment.

Option to access special rates in products & benefits.





This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company:
Airbus Operations SL

Employment Type:
Permanent
-

Experience Level:
Professional

Job Family:
Software Engineering

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com .

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.",San Sebastián,Todos
SW Technical Lead,GMV,Tres Cantos,No especificado,+ 30 d,"4,2","Do you want to lead a consolidated team in the space sector and take on new challenges? GMV is an experienced technology group.

We are expanding our teams in the space sector to take on international projects in the field of satellite communications.

We´ll get to the point; we'll tell you what's not on the web. If you want to know more about us go to GMV website




WHAT CHALLENGE WILL YOU BE TAKING ON?

As part of our team, you will participate in international projects integrated into our development teams. You will be responsible for defining software designs based on microservices architecture in the context of satellite communications, analyzing customer needs, and providing innovative solutions.




WHAT DO WE NEED IN OUR TEAM?

For this position, we are looking for a Telecommunications Engineer to join our team in the ground control center area for the development of software products and operational solutions for the new generation of communication satellites.

For this position, we are looking for experts in ground software systems who want a stable environment in which to develop, with a track record and experience in:


Software engineering/software architecture.
Programming languages: web technologies (JavaScript, Node.js, Angular), Java.
Linux/Virtualization/Microservices/Databases/Cloud concepts, Docker, K8s, HA, Orchestrators, RabbitMQ/Kafka, MongoDB...
Development environments, methodologies, and best practices in programming.
Software requirements related to cybersecurity.

We will also value previous experience in the telecommunications sector, especially in payload systems for satellite communications, as well as initiative and the ability to work in a multitasking environment.



WHAT DO WE OFFER?

Hybrid working model and 8 weeks per year of teleworking outside your usual geographical area.

Flexible start and finish times, and intensive working hours Fridays and in summer.

Personalized career plan development, training and language learning support.

National and international mobility. Do you come from another country? We can offer you a relocation package.

Competitive compensation with ongoing reviews, flexible compensation and discount on brands.

Wellbeing program: Health, dental and accident insurance; free fruit and coffee, physical, mental and financialhealth training, and much more!

️ In our recruitment processes you will always have telephone and personal contact, face-to-face or online, with our talent acquisition team. In addition, bank transfers and bank cards will never be requested. If you are contacted through any other process, please write to our team at privacy@gmv.com

❤️We promote equal opportunities in recruitment, and we are committed to inclusion and diversity.

WHAT ARE YOU WAITING FOR? JOIN US

#LI-Hybrid



If you have any questions please do not hesitate to contact Laura Uribarren, in charge of this vacancy.



Laura Uribarren",San Sebastián,Todos
SIEM Infrastructure Specialist (QRadar),GMV,Tres Cantos,No especificado,+ 30 d,"4,2","Are you a SIEM expert looking for a new challenge? Join our cybersecurity team to detect and mitigate threats in real time!

We´ll get to the point; we'll tell you what's not on the web. If you want to know more about de GMV




WHAT CHALLENGE WILL YOU BE TAKING ON?

As a SIEM Engineer, in the Cybersecurity and Infrastructure division, you will be in charge of the design, deployment, configuration and maintenance of the SIEM platforms in the different secure infrastructure projects with the aim of ensuring that the SOCs and CERTs receive all the security monitoring.

The projects in which you will have the opportunity to participate cover all sectors: financial, aerospace, services, industry,... including national and international clients.


WHAT DO WE NEED IN OUR TEAM?

For this position, we are looking for cybersecurity engineers with knowledge and experience in:

SIEM Tools: QRadar
Security
Networking
System Administration


WHAT DO WE OFFER?

Hybrid working model and 8 weeks per year of teleworking outside your usual geographical area.

Flexible start and finish times, and intensive working hours Fridays and in summer.

Personalized career plan development, training and language learning support.

National and international mobility. Do you come from another country? We can offer you a relocation package.

Competitive compensation with ongoing reviews, flexible compensation and discount on brands.

Wellbeing program: Health, dental and accident insurance; free fruit and coffee, physical, mental and financial health training, and much more!

️ In our recruitment processes you will always have telephone and personal contact, face-to-face or online, with our talent acquisition team. In addition, bank transfers and bank cards will never be requested. If you are contacted through another process, please get in touch with the person responsible for the selection process.

❤️ We promote equal opportunities in recruitment, and we are committed to inclusion and diversity.

WHAT ARE YOU WAITING FOR? JOIN US




#LI-Hybrid



If you have any questions please do not hesitate to contact Natalia Serrano Madrid, in charge of this vacancy.



nserrano@gmv.com

Natalia Serrano Madrid",San Sebastián,Todos
Validation and verification software engineer for Galileo,GMV,Tres Cantos,No especificado,+ 30 d,"4,2","If the expression 'Houston we have a problem' gives you mixed feelings... Your place is with us!

We are expanding our SW Validation team for the ️ Galileo project.

We like to get to the point, so we're going to tell you what's not on the web. If you want to know more about GMV: www.gmv.com/en-es/about-gmv

WHAT CHALLENGE ARE YOU GOING TO FACE?

You will support the Galileo validation team, where you will learn all the elements that make up a control centre and perform tasks such as:

Complete control center software installation.
Preparation of test environments, including continuous integration and automation.
Development of testing and configuration management tools.
Preparation, execution, and reporting of tests (functional, performance, cybersecurity, etc.)



WHAT DO WE NEED IN OUR TEAM?

For this position, we are looking for engineering graduates with an interest in the world of testing and validation. We will also value previous experience and knowledge in:

Experience in complex and distributed systems (Linux operating system)
Participation in test campaigns: planning, preparation, execution, reports.
Knowledge of V&V related tools (DOORS, Jira, Git...)
Hardening of operating systems and/or network equipment and PenTesting and vulnerability management



WHAT DO WE OFFER?

Hybrid working model and 8 weeks per year of teleworking outside your usual geographical area.

Flexible start and finish times and intensive working hours on Fridays and summer.

Personalised career plan development, training and language learning support.

National and international mobility. Coming from another country? We offer you a relocation package.

Competitive remuneration with ongoing reviews, flexible remuneration and brand discounts.

Wellbeing programme: medical, dental and accident insurance, free fruit and coffee, training in physical, mental and financial health, and much more!

In our selection processes, you will always have telephone and personal contact, in person or online, with our talent acquisition team. In addition, bank transfers and bank cards will never be requested. If you are contacted by any other process, please write to our team at privacy@gmv.com.

❤️We promote equal opportunities in recruitment and are committed to inclusion and diversity.

WHAT ARE YOU WAITING FOR? JOIN



Si tienes alguna pregunta no dudes en contactar con Ignacio Martínez de Salinas, responsable de esta vacante.



Ignacio Martínez de Salinas",San Sebastián,Todos
Eurofighter Test Manager,Airbus,Getafe,No especificado,+ 30 d,"4,2","Job Description:

An opportunity for an Eurofighter Test Manager has arisen within Airbus Defence and Space, Getafe (Madrid).

The Test Programme Management mission is to manage the development, production and retrofit Flight Test & Integration CoC Programme activities supporting EF SP integration Manager

The programme teams have the mission to manage and control the preparation and execution of EF SP CoC activities including financial aspects in line with requirements from the EF programme and are the designated point of contacts for external stakeholders (Programs, Chief Engineer, Design Office, Production, Comms & Marketing) into Flight & Integration Test Centre CoC for their respective Programs.

RESPONSIBILITIES


Coordinate Eurofighter Spain program Test activities (Virtual, Bench, ground and flight tests) including all Test Center (TADV) activities (test Means development, Test Execution and Reporting, Support to Services..) and to coordinate them with the Chief Engineering office
Represent TADV Test Center in the Eurofighter forum for all testing topics
Coordination of all the inputs from the different Test Center CoC domains to provide a harmonized status to the HO CoC
Liason with all stakeholders in TADV (Flight & Integration Test) and outside (Engineering including Chief Engineer and CoCs) to ensure all testing activities are in line with program requirements in time in cost and in quality
Planning, follow up and steering of the program activities including the finantial topics liaising with all test center domains
Ensuring the program requirements in terms of workload and skills and competences are properly addressed by the Test Center


Develop a long term view of the program to allow proper CoC strategic planning

SKILLS


Aeronautical engineering degree
Minimum 10 years relevant experience in the field of integration tests
Experience within a Combat Fighter A/C program (very desirable in the integration and testing field)
English negotiation level

WHICH BENEFITS WILL YOU HAVE AS AIRBUS EMPLOYEE?

At Airbus we are focused on our employees and their welfare. Take a look at some of our social benefits:

Vacation days plus additional days-off along the year.

Attractive salary.

Hybrid model of working when possible, promoting the work-life balance.

Collective transport service subject to working calendar/home location.

Benefits such as life insurance, health insurance, employee stock options, retirement plan, or study grants.

On-site facilities (among others): free canteen, kindergarten, medical office.

Possibility to collaborate in different social and corporate social responsibility initiatives.

Excellent upskilling opportunities and great development prospects in a multicultural environment.

Option to access special rates in products & benefits.





This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company:
Airbus Defence and Space SAU

Employment Type:
Permanent
-

Experience Level:
Professional

Job Family:
Testing

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com .

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.",San Sebastián,Todos
Flight Dynamics and Flight Control Laws specialist,Airbus,Getafe,No especificado,+ 30 d,"4,2","Job Description:

Join the Flight Physics Centre of Competence (CoC) at Airbus Defence & Space (AD&S) Engineering, a dynamic and inclusive German-Spanish organization dedicated to shaping the future of air power solutions. We are seeking a passionate and innovative Flight Dynamics and Flight Control Laws Engineer to join our team and help us redefine the skies. At Airbus, we believe in the power of diversity and are committed to creating an environment where everyone can thrive.

The selected candidate will join the Flight Dynamics and Flight Control Laws Team in Getafe to contribute to the development of the on-going projects (EF2000, FCAS, MRTT, SIRTAP, M&L;...)

Flight the Flight Dynamics and Flight Control Laws Domain mission is to provide our customers safely flying air vehicles with the best possible performance, agility and handling/flying qualities by designing extraordinary control laws and performing comprehensive clearance assessments within the full flying envelope. Main task and responsibilities of Flight Dynamics and Flight Control Laws Domain are:

Definition of the flight control system requirements (aircraft stability requirements, aircraft control power requirement, sensors requirements, actuators requirements, electric and hydraulic flight control system requirements,...)
Design of the flight control laws algorithms thar provide system stability augmentation, command system, autopilots and automatic function to reduce pilot workload and ensure optimal Handling Qualities
Produce a comprehensive flight clearance that ensure a safe flight test envelope expansion, data gathering of required test data and demonstration of the desired performances of the aircraft flight control system
Produce aircraft simulation models, simulation environment build-up to allow the development, validation and verification of the flight control laws software design as well as flight test matching of the aircraft dynamic models for training simulators accreditation
Produce the documentation dossiers to grant product Handling Qualities certification and qualification
Contribute to flight control system development and certification that is a key complex system in all AIRBUS products that significantly contribute to our customer satisfaction

What you will do

Shape the Future: Contribute to current and future Flight Dynamics and Flight Control Laws projects, R&D, certification processes, and negotiations with certification authorities. Your insights will drive innovation and excellence.
Innovate and Inspire: Support the design phase of new programs and derivatives of existing products, evaluating the impact of configuration changes on aircraft handling qualities and mission effectiveness. Your creativity will be the catalyst for ground breaking solutions.
Customer-Centric Approach: Conduct handling qualities studies and flight control laws enhancements to support sales campaigns, RFPs, and customer inquiries. Provide operational tools and documentation for flight operations, and assist with flight data analysis for development, certification, training, and incident investigations. Your customer-focused mindset will ensure we deliver exceptional service.
Strategic Implementation: Develop and implement roadmaps for tool harmonization, data management, and marketing of simulation services. Drive the Flight Physics strategy and grow our service portfolio. Your strategic thinking will help us stay ahead of the curve.
Quality and Excellence: Ensure the highest standards in technical dossier content and presentation. Implement digitalization, capability, and technology roadmaps while ensuring R&T, R&D, and program delivery. Your attention to detail will set the bar for excellence.
Collaborate and Lead: Contribute to team and program activities, fostering synergies and continuous improvement. Communicate effectively with internal and external stakeholders, demonstrating strong problem-solving and organizational skills. Your leadership will inspire and motivate the team.
Customer Focus: Inspire confidence and credibility with internal and external customers, anticipating their needs and delivering exceptional service. Your customer-centric approach will build lasting relationships.

RESPONSIBILITIES/MAIN TASKS

The jobholder will be responsible of the following task:

Perform the stability analysis of aircraft relevant configuration in failure free and under degraded system states
Analyze nonlinear aircraft simulation in failure free and under degraded system states to ensure adequate aircraft response, departure resistance and adequate handling qualities’
Maintain and upgrade simulation models, pre and post processing tools to perform above mentioned tasks
Perform trade-off to identify root cause of the deficiencies found during the flight clearance activities
Organize flight dynamic manned simulation activities required to answer programs needs during a flight clearance loop
Define the flight test campaign required for simulation models data gathering and for Handling Qualities assessment
Propose flight control laws updates based on clearance and flight test results
Flight test analysis to update/validate simulation models and for the preparation of handling qualities certification/qualification dossier

SKILLS

We are looking for candidates with the following skills and experience:

Educated in an Aeronautical Engineering degree (MASTER in air vehicles)
Proficiency in English at a negotiation level. German knowledge will be valued
Knowledge of FORTRAN, C, Matlab, Simulink
Experience in flight dynamics activities will be consider as a plus. Your expertise will be invaluable to our team.
Passion for Improvement: A commitment to continuous improvement and a willingness to roll up your sleeves to get the job done. Your dedication will drive our success.
Strategic Thinking: The ability to think strategically and execute methodically. Your vision will guide our projects to new heights.
Resilience: The capability to work under pressure and travel as required. Your adaptability will be key to our success.
Integrity: A strong awareness of compliance risks and a commitment to acting with integrity. Your ethical standards will uphold our reputation.
Capability to integrate in a multi-cultural team
High adaptability to work on new topics, new business and in a network mode *competences

At Airbus Defence & Space, we are committed to fostering an inclusive culture where everyone can reach their full potential. We encourage women to apply and be part of a team that is transforming the future of aviation. Together, we can achieve greatness and make a lasting impact on the world.

We shape your career in a dynamic and supportive environment. We offer opportunities for professional development and advancement.
Contribute to ground breaking projects that redefine air power solutions. Your work will have a lasting impact on the world.
Enjoy a balanced work environment that supports your personal and professional growth. We understand the importance of a healthy work-life balance.
Join a community of like-minded professionals who support and uplift each other. Your voice will be heard, and your ideas will be valued.

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company:
Airbus Defence and Space SAU

Employment Type:
Permanent
-

Experience Level:
Entry Level

Job Family:
Flight & Space Physics

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com .

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.",San Sebastián,Todos
Direct Entry Captain - Pilot,The Emirates Group,España,No especificado,+ 30 d,"4,2","Company Introduction


From its global hub in Dubai, Emirates is the award-winning airline that serves customers on six continents, providing high quality air transport services that facilitate tourism and trade. The airline has earned customer recognition for its industry-leading services on the ground and in the sky, delivered by a passionate workforce representing over 160 nations.

Emirates operates the world’s largest fleet of wide-body Boeing 777 and Airbus A380 aircraft, offering spacious cabins and iconic inflight features such as its A380 Shower Spa and Onboard Lounge, and its ice inflight entertainment system available in all seats across its fleet, offering up to 6,500 channels of on-demand, multi-language content.

Be part of a new pilot era with Emirates


Exciting changes are on the horizon at Emirates for our next generation of pilots.

We’re looking for motivated pilots to join the Emirates flight deck in an exciting time of opportunity and growth. We’ve got big and ambitious plans for the future, and we want the very best pilots at the helm of our modern fleet of aircraft.

With enhanced benefits and improved eligibility criteria, there’s never been a better time to become an Emirates pilot.

Along with growing your career with the world’s largest international airline, there’s much more to being an Emirates pilot. You’ll enjoy a generous tax-free salary, rent-free accommodation, Provident Fund contributions, education allowances, excellent medical and dental cover, chauffeur-driven transport to work and fantastic travel benefits for you and your family.

So, if you’re looking for a game-changing career opportunity, we want to meet you.

Description of the Position

Direct Entry Captain – Take a seat in our most senior position in command of the aircraft.
What the Company offers

Health Insurance
Dental Insurance
Discounts across leisure and retail outlets
Life Insurance
Vacation & Paid Time Off
Concessional staff travel airline tickets

Min Salary


Minimum basic salary: AED 40,100 (~USD 10,926) not inclusive of flying pay

Max Salary



Dependant on position held

Min required experience

To become one of our Airbus Captains, you will need:

Minimum 7,000hrs total flying time (excluding P3, rotary and single/multi-engine piston aircraft)
For A380, you must currently be flying as an Airbus FBW Wide Body Captain and have a minimum of 3,000 hours PIC on Airbus FBW Wide Body
For A350, you must have a minimum of 3,000 hours command time on a multi-crew, multi-engine commercial jet aircraft with MTOW of >50T. Minimum 1,500 hours must be as a Captain on an Airbus FBW
Minimum 150hrs in past 12 months on type
A valid ICAO ATPL with a matching Authority Class 1 Medical
ICAO English level 5 or above",San Sebastián,Todos
Advanced navigation algorithms developer,GMV,Tres Cantos,No especificado,+ 30 d,"4,2","Do you want to face new challenges without giving up the stability of a highly experienced technology group? At GMV and We are expanding our teams in the Defence sector to take on research and development projects focused on advanced navigation algorithms for military systems.

We´ll get to the point; we'll tell you what's not on the web. If you want to know more about us go to GMV website




WHAT CHALLENGE WILL YOU BE TAKING ON?

As part of our team, you will develop and implement advanced navigation algorithms applied to land, maritime, and aerial systems within the military and defence domain. Your responsibilities will include:

Research and analysis of existing and state-of-the-art navigation algorithms, including sensor fusion using Kalman filters, inertial navigation, and GNSS.
Design, development, and maintenance of high-performance C/C++ code to be integrated into our navigation library, used across multiple defence projects.
Analysis of data from navigation sensors (IMU/INS, GNSS) to model and improve algorithm performance.
Development and execution of test cases to validate the accuracy and robustness of the algorithms using simulators and real data.
Clear and well-structured documentation of algorithmic approaches, assumptions, and results to support verification and future evolution.
Close collaboration with other software developers and navigation algorithm specialists.
Participation in code reviews, promoting best development practices.
Participation in field testing campaigns and data collection activities to assess algorithm behaviour in real-world environments.



WHAT DO WE NEED IN OUR TEAM?

For this position, we are looking for Aerospace Engineers or engineers from related fields, with education and interest in algorithms, the defence sector, and a strong background in applied mathematics and classical mechanics.

Previous experience and knowledge in C/C++ software development formedium to large-scale applications will be valued, as well as hands-on experience (professional or personal) in this area.

We are seeking experts in navigation algorithms and software development who are looking for a stable environment in which to grow, with a solid track record and experience in complex technological projects within the defence domain.

Knowledge of Matlab, Python, Linux systems, Git version control, and IDEs such as Eclipse, Visual Studio, or Visual Code will also be valued.




WHAT DO WE OFFER?

Hybrid working model and 8 weeks per year of teleworking outside your usual geographical area.

Flexible start and finish times, and intensive working hours Fridays and in summer.

Personalized career plan development, training and language learning support.

National and international mobility. Do you come from another country? We can offer you a relocation package.

Competitive compensation with ongoing reviews, flexible compensation and discount on brands.

Wellbeing program: Health, dental and accident insurance; free fruit and coffee, physical, mental and financialhealth training, and much more!

️ In our recruitment processes you will always have telephone and personal contact, face-to-face or online, with our talent acquisition team. In addition, bank transfers and bank cards will never be requested. If you are contacted through any other process, please write to our team at privacy@gmv.com

❤️We promote equal opportunities in recruitment, and we are committed to inclusion and diversity.

WHAT ARE YOU WAITING FOR? JOIN US

#LI-Hybrid



If you have any questions please do not hesitate to contact Anna Alejo Guilarte, in charge of this vacancy.



Anna Alejo Guilarte",San Sebastián,Todos
Navigation Systems Engineer,Airbus,Getafe,No especificado,+ 30 d,"4,2","Job Description:

A vacancy for a Navigation Systems Engineer has arisen within Airbus Defence & Space in Getafe .The ideal candidate will have background in airborne embedded navigation systems, with expertise in Galileo GNSS, M-Code, systems engineering and certification processes. (DO-178C. DO-254, ARP4754A, CS-25, etc).

The successful applicant will join Engineering Department, regarding Navigation Systems (Navigation Sensors, Radio Navigation, Satellite Navigation, Mil Hybrid Sensors, Mil Radio Navigation).

Tasks & accountabilities

Your main tasks and responsibilities will include:


Identify the activities of the development life cycle that are necessary to develop a system/product and provide the level of confidence which is consistent with regulation and program requirements.


Define checkpoints and reviews with associated maturity expectation aligned with program phases and gates.


Provide sufficient detailed data and information about system elements to enable the implementation consistent with architectural entities as defined in models and views of the system architecture and in accordance with the allocated requirements.

-Work closely sharing both industrial and functional design view, from the very early stages of the design through the serial production phase and up to the in- service life of the product (whole product lifecycle), working in close collaboration between the Engineering, Manufacturing Engineering and any other disciplines involved throughout the whole product lifecycle.


Understand the organization, infrastructure, constraints and limitations of program industrial planning.


Understand global systems/products and their interdependencies during industrialization phase.


Acquire technological expertise to ensure efficient solutions from concept up to in service operation.


Being in the state of the art on Navigation Systems technology: Galileo GNSS, M-Code, Celestial Navigation, Quantum INS.

Required skills

We are looking for candidates with the following skills and experience:

Degree in Aerospace Engineering, Industrial, Telecoms, or related field.
Proven experience in airborne navigation systems (i.e. GNSS, Galileo, GPS, MMR...)
Experience in Systems Engineering principles and lifecycle processes.
Familiarity with certification standards (EASA, INTA/FAA, CS25, Do-178C, DO-254, ARP4754A)
Comunication skills and ability to work in a collaborative environment.
English advanced.
Experience with simulation tools and MBSE.

At Airbus, we support you to work, connect and collaborate more easily and flexibly. We offer you to work on cutting-edge aviation technologies.

WHICH BENEFITS WILL YOU HAVE AS AIRBUS EMPLOYEE?

At Airbus we are focused on our employees and their welfare. Take a look at some of our social benefits:

Vacation days and additional days-off along the year (+35 days off in total).

Attractive salary and compensation package.

Hybrid model of working when possible, promoting the work-life balance (40% remote work).

Collective transport service in some sites.

Benefits such as health insurance, employee stock options, retirement plan, or study grants.

On-site facilities (among others): free canteen, kindergarten, medical office.

Possibility to collaborate in different social and corporate social responsibility initiatives.

Excellent upskilling opportunities and great development prospects in a multicultural environment.

Special rates in products & benefits.




At Airbus, we support you to work, connect and collaborate more easily and flexibly.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company:
Airbus Defence and Space SAU

Employment Type:
Permanent
-

Experience Level:
Professional

Job Family:
Vehicle Mission & Control

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com .

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.",San Sebastián,Todos
