Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Comercial de Ventas [Alarmas y Sistemas de Seguridad],Sector Alarm,Santa Cruz,No especificado,+ 30 d,"3,5","¿Quieres formar parte de una de las mejores empresas para trabajar en España reconocida por Great Place To Work?

Sector Alarm es una empresa multinacional noruega líder en soluciones de seguridad, presente en más de 8 países europeos y con miles de clientes protegidos. Apostamos por el talento, la promoción interna y el desarrollo profesional a largo plazo

Buscamos Agentes Comerciales para incorporarse a su equipo de ventas en Santa Cruz, especializados en la venta e instalación de alarmas y sistemas de seguridad para hogares y negocios

QUÉ TE OFRECEMOS

Contrato laboral a jornada completa (no trabajamos con régimen de autónomos)
Salario sin límite con altas comisiones
Formación constante y certificada + acompañamiento en tus primeras semanas
Plan de carrera real con posibilidades de promoción interna y desarrollo hacia puestos de gestión de equipos
Empresa reconocida como Great Place To Work durante 7 años consecutivos
Vehículo de empresa + Tarjeta de combustible + Eventos, viajes y premios…

FUNCIONES DEL PUESTO

Captación de clientes. Trabajo en calle a puerta fría
Asesoramiento personalizado a clientes sobre nuestros sistemas de seguridad
Visitas comerciales concertadas
Cierre de la venta
Instalación de los sistemas
Seguimiento de tu cartera de clientes

REQUISITOS IMPRESCINDIBLES

Carnet de conducir tipo B (en vigor y válido en España)
Disponibilidad para trabajar a jornada completa (40h) en turno partido (mañana y tarde).
Residencia en Santa Cruz o alrededores (Tenerife Norte)
Permiso de trabajo en vigor

VALORAMOS POSITIVAMENTE

Actitud comercial
Habilidades comunicativas
Poractividad
Actitud Positiva/Ambicion
Orientación a objetivos

Si ya habías aplicado anteriormente y no nos hemos puesto en contacto contigo, vuelve a aplicar. Recibimos un volumen muy alto de candidaturas y a veces nos es imposible revisarlas todas.",Santa Cruz de Tenerife,Todos
Conductor/a C+E,Adecco,Santa Cruz,15 mil € - 20 mil € (Proporcionado por la empresa),+ 30 d,"3,5","¿Te apasiona el mundo del transporte y buscas una oportunidad para demostrar tus habilidades al volante? ¡Esta oferta es para ti! Una reconocida empresa del sector industrial en Santa Cruz de Tenerife está buscando incorporar a su equipo a dos profesionales con experiencia y ganas de contribuir al éxito de su organización.
Como conductor/a C+E , tendrás un papel esencial en el día a día de la empresa, asegurando que los productos lleguen a su destino de manera segura, eficiente y puntual. Este puesto te permitirá trabajar en un entorno dinámico y presencial, donde tus capacidades y compromiso serán valorados y recompensados.
Ellos buscan personas responsables, con disponibilidad inmediata y motivadas para formar parte de su equipo. Si tienes experiencia previa en transporte de mercancías y cumples con los requisitos, ¡no dejes pasar esta oportunidad!
En Adecco creemos en la igualdad de oportunidades y apostamos por el Talento Sin Etiquetas

Requisitos
Carnet de conducir tipo C y E vigente.
Certificado de Aptitud Profesional (CAP) actualizado.
Conocimientos y experiencia en el uso del tacógrafo, asegurando el cumplimiento de la normativa.
Disponibilidad inmediata para incorporarse al equipo.

¿Qué ofrecemos?
Horario fijo de noche, de 21:00 a 05:00 ó de 20:00 a 04:00
La oportunidad de adquirir experiencia en una importante compañía del sector cárnico de Canarias, fortaleciendo tu trayectoria profesional en el transporte industrial.
Formar parte de un equipo comprometido y colaborativo, donde el trabajo en equipo es clave para alcanzar los objetivos comunes.

Tipo de puesto: Jornada completa

Sueldo: 15.000,00€-20.000,00€ al mes

Ubicación del trabajo: Empleo presencial",Santa Cruz de Tenerife,Todos
Operario de lavandería (H/M/D) con discapacidad - Polígono de Güimar,ILUNION,Candelaria,No especificado,+ 30 d,"3,5","¿Te gustaría trabajar en una empresa que apuesta por los retos y la superación?

En ILUNION TextilCare hacemos mucho más que gestionar textiles: construimos un entorno donde cada persona cuenta y puede marcar la diferencia.

Somos una compañía consolidada y líder en el sector de lavandería industrial especialista en servicios hospitalarios, hoteleros y de uniformidad laboral. Con más de 6.800 compañeros/as y 45 plantas en España, Portugal y Colombia, trabajamos cada día para crear un impacto social y ambiental que trascienda.

Si buscas un lugar donde crecer, sentirte valorado y aportar al bienestar de las personas y el planeta, este es tu sitio. En ILUNION TextilCare te ofrecemos la oportunidad de ser parte de un equipo diverso, comprometido y con propósito.

¡Únete a nosotros y transforma el mundo con tu talento!

¿Cómo será tu día a día?
Te encargarás de garantizar que la ropa se limpie y se procese para dar servicio a los clientes gestionando, lavando y procesando la ropa hospitalaria y hotelera.

Lo harás muy bien en este puesto si tienes:

- Ganas de aprender y desarrollarte dentro del sector.
- Actitud positiva y compromiso para trabajar en equipo.
- Flexibilidad para adaptarte a un entorno de trabajo dinámico en el que estarás de pie durante la jornada laboral.
- Posibilidad de cargar peso y realizar movimientos repetitivos.
- Valorable disponer de carnet de conducir B y vehículo propio.
- Disponer de Certificado de Discapacidad igual o superior al 33% o Incapacidad Permanente.

Las ventajas de ser parte de nuestra familia:

- Entorno inclusivo y diverso.
- Oportunidades de desarrollo profesional: Apostamos por tu crecimiento con formación continua y oportunidades de avance dentro de la empresa.
- Equipo comprometido y solidario: Formarás parte de un equipo que trabaja unido para lograr objetivos comunes, con un ambiente de trabajo cálido y cercano.
- Programa Ayuda al Empleado (PAE) donde se ofrece ayuda psicológica al empleado y a sus familiares de primer grado 24 horas al día, 7 días de la semana.
- Obtención de la ""tarjeta +ONCE"" con numerosos descuentos.
- Beneficios sociales a partir del año (Ayudas comedor escolar, ayudas compra de gafas, ayuda a la compra de dispositivos electrónicos, etc.) que mejoran tu experiencia laboral.
- Sesiones gratuitas de fisioterapia desde el inicio del contrato.

¿Está vacante te entusiasma? ¡Inscríbete ahora! Y si piensas que hay alguien más a quien podría interesarle, recuerda: ¡La generosidad es un valor incalculable!

Tipo de puesto: Jornada completa

Beneficios:

Cursos de idiomas ofertados
Eventos de la empresa
Opción a contrato indefinido
Parking gratuito
Programa de formación
Uniforme proporcionado

Horario:

Turno rotativo

Requisito de idioma flexible:

Español no requerido

Retribución complementaria:

14 pagas

Preguntas para la solicitud:

¿Dispone de certificado de discapacidad igual o superior al 33% o incapacidad laboral?
¿Tiene disponibilidad para trabajar turnos rotativos?

Ubicación del trabajo: Empleo presencial",Santa Cruz de Tenerife,Todos
Cocinero/a,Eurofirms,Santa Cruz,No especificado,17 días,"3,5","Empleo de Cocinero/a, Arona
Fecha de publicación:
09/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y domingo en turnos rotativos en horario entre 06:00h y 23:00h con los descansos establecidos por ley.
Vacantes:
10
Salario:
A concretar
Población:
Arona



Descripción de la oferta de empleo de Cocinero/a en Arona

Importante hotel ubicado en la zona de Playa de Las Amércias, busca incorporar un/a cocinero/a con experiencia para formar parte del equipo de cocina. La persona seleccionada realizará las siguientes funciones:

Preparación y elaboración de platos del menú y el bufete, según la recetas establecidas.
Organización y limpieza de la cocina y utensilios de trabajo.
Control de stock y correcta conservación de alimentos.
Cumplimiento de las normas de higiene y seguridad alimentaria.
Colaboración con el resto del equipo de cocina.
Asegurar los estándares de calidad, higiene y presentación de los platos.
Función:
Cocinero/a
Requisitos:
- Experiencia mínima de 1 año en un puesto de trabajo igual o similar al descrito.

Buscamos a una persona dinámica, resposable y proactiva.
Valorable residencia cercana al puesto de trabajo
Disponibilidad horaria.
Formación:
- ESO o equivalente finalizada.

FP en cocina o similar valorable.
Idiomas:
Castellano hablado y escrito correctamente.",Santa Cruz de Tenerife,Todos
Cocinero/a Santa Cruz. Ref. SCCNRC,Serunion,Santa Cruz,No especificado,24 horas,"3,5","Descripción:

Si eres un/a apasionado/a de la cocina y tienes experiencia en el mundo de la restauración colectiva, esta oferta es para ti. ¡Serunion te está buscando!


En Serunion, empresa de restauración colectiva con más de 30 años de experiencia en el sector y líder en el mercado, estamos en busca de un/a cocinero/a para incorporar a un nuevo centro en zona de Santa Cruz de Tenerife, con incorporación inmediata, con contrato inicial eventual y posibilidad de pasar a indefinido. Si tienes experiencia como cocinero/a y buscas una oportunidad para demostrar tus habilidades, ¡esta oferta es perfecta para ti!


¿Qué estamos buscando?

Como Cocinero/a tendrás la oportunidad de poner en práctica tus conocimientos culinarios, ayudando en la preparación y elaboración de la producción. Cumpliendo con las normas de seguridad alimentaria y de higiene y manteniendo un ambiente de trabajo agradable y productivo. Tus principales funcioneras serán:

Elaboración de partidas del menú.
Llevar buen control y mantenimiento del uso de maquinaria, materiales, utillaje, etc. del departamento.
Limpieza de menaje y áreas de cocina.
Recepción de materia prima y albaranes.
Registros de APPCC.

¿Qué ofrecemos?

Contrato por sustitucion.
Jornada parcial.
Salario según convenio.
Incorporación inmediata.

Una vez que te inscribas en la oferta, recibirás un mensaje por WhatsApp con un enlace para realizar tu entrevista virtual de forma rápida y sencilla con DANI. ¡Estate atento/a y prepárate para dar el siguiente paso en tu camino laboral con Serunion!

En Serunion, queremos construir un equipo diverso y comprometido, donde todas las personas tengan la oportunidad de desarrollar su potencial y contribuir al éxito de nuestra empresa. ¡Te animamos a que te postules y seas parte de nuestro equipo inclusivo!

Requisitos:

Titulación en cocina.
Experiencia demostrable de al menos 1 año en sector colectividades, restauración o afines.
Persona resolutiva y colaborativa.
Nociones del appcc.",Santa Cruz de Tenerife,Todos
MOZO ALMACEN EN TENERIFE,LEOTER TENERIFE SL,España,No especificado,27 días,"3,5","Se busca persona responsable para trabajar como mozo de almacén a jornada completa de lunes a viernes.

Las funciones son: preparación de mercancía, montaje de palets, así como otras funciones en el almacén.

El almacén está en el Polígono de San Isidro, El Chorrillo (La Campana), El Rosario.

Tipo de puesto: Jornada completa

Experiencia:

Carga y descarga: 1 año (Deseable)

Licencia/Certificación:

Carnet de carretillero (Deseable)
Manipulador de alimentos

Tipo de puesto: Jornada completa

Preguntas para la solicitud:

¿Vive en la isla de Tenerife?

Experiencia:

Carga y descarga: 1 año (Obligatorio)

Licencia/Certificación:

Carnet de carretillero (Obligatorio)

Ubicación del trabajo: Empleo presencial",Santa Cruz de Tenerife,Todos
Conductor (H/M/D) - Polígono de Güimar (Tenerife),ILUNION,España,No especificado,+ 30 d,"3,5","¿Te gustaría trabajar en una empresa que apuesta por los retos y la superación?

En ILUNION TextilCare hacemos mucho más que gestionar textiles: construimos un entorno donde cada persona cuenta y puede marcar la diferencia. Somos una compañía consolidada y líder en el sector de lavandería industrial especialista en servicios hospitalarios, hoteleros y de uniformidad laboral.

En ILUNION TextilCare estamos buscando conductores/as con el carné de conducir C, CAP y el tacógrafo para nuestro departamento de transporte.

¡Únete a nosotros y transforma el mundo con tu talento!

¿Cómo será tu día a día?
Te encargarás de realizar el transporte entre el centro de trabajo y el cliente/a atendiendo las instrucciones directas del/a Jefe/a de Transporte.

Tus funciones principales serán:

- Carga de carros de ropa limpia en el vehículo.
- Transporte de ropa a su destino.
- Descarga de carros de ropa en las instalaciones del cliente.
- Carga de carros de ropa usada en el vehículo y transporte de vuelta a las instalaciones.
- Entrega de los albaranes correspondientes al encargado de lavandería y al cliente.
- Revisión mantenimiento y limpieza del vehículo.
- Controlar los carros, su estado y cantidad por cliente/albarán/entrega y recogida.
- Pesar la ropa sucia tanto en el cliente/a como en planta, indicándolo en el sistema de control de expedición.

Las ventajas de ser parte de nuestra familia:

- Entorno inclusivo y diverso: Aquí, cada voz cuenta. Valoramos la diversidad y el trabajo en equipo, y fomentamos un ambiente de respeto y colaboración.
- Oportunidades de desarrollo profesional: Apostamos por tu crecimiento con formación continua y oportunidades de avance dentro de la empresa.
- Equipo comprometido y solidario: Formarás parte de un equipo que trabaja unido para lograr objetivos comunes, con un ambiente de trabajo cálido y cercano.
- Programa Ayuda al Empleado (PAE) donde se ofrece ayuda psicológica al empleado y a sus familiares de primer grado 24 horas al día, 7 días de la semana.
- Obtención de la ""tarjeta +ONCE"" con numerosos descuentos.
- Beneficios sociales a partir del año (Ayudas comedor escolar, Ayudas compra de gafas, Ayuda a la compra de dispositivos electrónicos, etc.) que mejoran tu experiencia laboral.
- Sesiones gratuitas de fisioterapia desde el inicio del contrato.

¿Está vacante te entusiasma? ¡Inscríbete ahora! Y si piensas que hay alguien más a quien podría interesarle, recuerda: ¡La generosidad es un valor incalculable!

Tipo de puesto: Jornada completa, Contrato temporal

Beneficios:

Cursos de idiomas ofertados
Formación en certificaciones profesionales
Parking gratuito
Programa de formación
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Santa Cruz de Tenerife,Todos
Azafato/a de Estancos – Santa Cruz de Tenerife,T-TIME BELOW THE LINE,Santa Cruz,No especificado,7 días,"3,5","Azafato/a de Estancos – Santa Cruz de Tenerife

Contrato Indefinido + Comisiones + Kilometraje

¿Te gustaría trabajar en un puesto dinámico, con incentivos por ventas y contrato estable desde el primer día?

Buscamos personas con energía, actitud comercial y ganas de ganar más según su rendimiento.

Si te gusta el trato con el público y quieres formar parte de una marca reconocida, ¡esta es tu oportunidad!

¿Qué harás?

· Representar marcas líderes en puntos de ventas de la zona.

· Asesorar a clientes y potenciar ventas.

· Ser la imagen de la marca en distintos puntos de ventas de Tenerife.

· Trabajar con objetivos e incentivos atractivos.

· Disfrutar de un entorno dinámico y diferente cada día.

Lo que te ofrecemos:

· Contrato indefinido desde el primer día.

· Jornada parcial de 20h semanales, con posibilidad de ampliación hasta 28h semanales.

· Salario fijo + comisiones por ventas (sin techo).

· Pago de kilometraje.

· Formación continua a cargo de la empresa.

· Acompañamiento de élite: Tendrá un responsable y un equipo apoyándote en todo momento.

Aquí tu actitud marca la diferencia… y tu salario también.

Horario:

· 20 horas semanales.

· Turnos de lunes a sábado.

· Solo 2 lunes y 2 sábados al mes.

· Jueves en horario de tarde.

· Viernes turno partido.

Perfecto para compatibilizar con estudios u otros proyectos.

Requisitos indispensables:

· Mayor de 21 años.

· Residencia en Santa Cruz de Tenerife.

· Vehículo propio.

· Perfil comunicativo y orientación a ventas.

· Buena actitud y compromiso.

· Si tienes experiencia en ventas o promociones, genial. Si no la tienes, te formamos.

¿Por qué esta oferta es diferente?

Porque no es un trabajo rutinario.

Es una oportunidad para personas activas, con ambición y ganas de ganar más según su esfuerzo.

Si cumples los requisitos y quieres empezar cuanto antes, inscríbete ahora.

Tipo de puesto: Media jornada, Contrato indefinido

Sueldo: 875,00€-1.225,00€ al mes

Horas previstas: 20 a la semana

Beneficios:

Pago de kilometraje
Uniforme proporcionado

Preguntas para la solicitud:

¿Tienes más de 21 años?
¿Dispones de vehículo propio para desplazarte entre los puntos de trabajo?
¿Tienes experiencia previa en promociones, ventas o atención al cliente?
¿Has trabajado en promociones de productos o eventos, interactuando con clientes para impulsar ventas?
¿Tienes experiencia en ventas a puerta fría y/o telemarketing?

Ubicación del trabajo: Empleo presencial",Santa Cruz de Tenerife,Todos
Valet,MABEJA S.L.,Santa Cruz,2 mil € (Proporcionado por la empresa),2 días,"3,5","Se busca Valet de Pisos – Apartamentos en Santa Cruz de Tenerife

Ubicación: Santa Cruz de Tenerife
Tipo de contrato: Jornada completa
Incorporación: Inmediata

Descripción del puesto:
Buscamos un valet de pisos responsable, con buena actitud y capacidad para trabajar en equipo, para apoyar al departamento de limpieza y mantenimiento en nuestros apartamentos turísticos ubicados en Santa Cruz de Tenerife.

El puesto implica colaborar estrechamente con las camareras de pisos y el equipo técnico, garantizando la limpieza, el orden y el buen estado de las instalaciones.

Funciones principales:

Limpieza de ventanas, cristales, barandillas, zonas altas, lámparas, etc.
Recogida de bolsas de basura de los apartamentos, asegurando la correcta separación de residuos para reciclaje.
Recogida, conteo y pesado de la lencería (sábanas, toallas, etc.).
Instalación y retirada de camas supletorias y cunas.
Limpieza diaria de zonas comunes: escaleras, rellanos, ascensores, patios, etc.
Apoyo al servicio técnico en reparaciones o pequeñas obras.
Colaboración en el rellenado de carros de las camareras.
Realización de limpieza de apartamentos completos en caso de necesidad.

Requisitos:

Experiencia previa en puesto similar (valet, mozo de habitaciones o mantenimiento ligero en hoteles/apartamentos).
Buena condición física y predisposición al trabajo en equipo.
Actitud responsable, organizada y con atención al detalle.
Se valorará conocimientos básicos de mantenimiento o limpieza profesional.

Ofrecemos:

Incorporación inmediata a un equipo estable y buen ambiente laboral.
Formación inicial y apoyo continuo.
Salario según convenio y posibilidades de crecimiento interno.

Si estás interesado/a, envíanos tu currículum actualizado y cuéntanos brevemente tu experiencia.

Tipo de puesto: Jornada completa

Sueldo: Hasta 1.600,00€ al mes

Ubicación del trabajo: Empleo presencial",Santa Cruz de Tenerife,Todos
Peon de obra,Brotech,Santa Cruz,2 mil € (Proporcionado por la empresa),3 días,"3,5","Se precisa peon de obra, para trabajos varios desde electricidad,pintura, telecomunicaciones.Se ofrece contrato indefinido, buen salario segun valia, buen ambiente laboras.Absternese candidatos sin iniciativa, Se valora carnet de conducir.

Tipo de puesto: Jornada completa

Sueldo: A partir de 1.800,00€ al mes

Ubicación del trabajo: Empleo presencial",Santa Cruz de Tenerife,Todos
