Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Contable,Kolibri Consulting,Santander,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Santander, Cantabria provincia (Santander)",Santander,Todos
Ingeniero/a de Calidad – Proyecto Internacional (EE. UU.),Grupo Nortempo,Santander,33 mil € (Proporcionado por la empresa),16 días,"3,9","¿Te gustaría desarrollar tu carrera profesional en un proyecto industrial internacional?

¿Buscas una posición estable, con recorrido y la oportunidad de trabajar varios años en Estados Unidos?

¿Te motiva asumir un rol clave en el área de calidad dentro de una empresa industrial de alto nivel?

Desde Grupo Nortempo buscamos un/a Ingeniero/a de Calidad para una empresa industrial de referencia, especializada en proyectos industriales a medida y con presencia internacional, ubicada inicialmente en Santander y con planta productiva en Estados Unidos.

Misión del puesto: la persona seleccionada tendrá como misión asegurar los procesos y el producto desde el punto de vista de calidad, trabajando de forma transversal con los distintos equipos de la compañía y liderando la implantación, certificación y mantenimiento del sistema de calidad conforme a la norma ISO 9001 en la planta de Estados Unidos.

Funciones principales




Implantación, certificación y mantenimiento del sistema de calidad ISO 9001 en la planta de destino.
Definición y seguimiento de procesos y controles de calidad.
Elaboración y mantenimiento de la documentación del sistema de calidad.
Realización de auditorías internas y externas, y seguimiento de acciones correctivas.
Gestión de reclamaciones de clientes y coordinación de acciones de mejora.
Coordinación con proveedores cuando sea necesario en materia de calidad.


¿Te interesa el reto?

Si buscas un proyecto a largo plazo, con proyección internacional y la oportunidad de crecer profesionalmente en el área de calidad, queremos conocerte. Inscríbete y te ampliaremos la información sobre esta oportunidad.


Requisitos


-Formación técnica, preferiblemente Ingeniería. -Experiencia previa en entorno industrial, dentro del área de calidad. -Conocimientos en ISO 9001 (valorable). -Nivel alto de inglés. -Actitud proactiva, capacidad de adaptación y orientación al aprendizaje. -Disponibilidad total para un proyecto internacional y desplazamiento a Estados Unidos.


Se ofrece


-Contrato indefinido. -Formación inicial en la planta de Santander (aproximadamente 1 mes). -Posterior desplazamiento a Estados Unidos, con una estancia mínima estimada de 2 a 3 años. -Retribución de 40.000 dólares anuales. -Piso, coche de empresa y seguro de salud incluido durante la estancia en EE. UU. -Proyecto estable, con recorrido y claras posibilidades de desarrollo profesional en un entorno industrial internacional.

Requisitos

Formación técnica, preferiblemente Ingeniería.
Experiencia previa en entorno industrial, dentro del área de calidad.
Conocimientos en ISO 9001 (valorable).
Nivel alto de inglés.
Actitud proactiva, capacidad de adaptación y orientación al aprendizaje.
Disponibilidad total para un proyecto internacional y desplazamiento a Estados Unidos.

Estudios mínimos Máster
Experiencia mínima Al menos 2 años
Se Ofrece

Contrato indefinido.
Formación inicial en la planta de Santander (aproximadamente 1 mes).
Posterior desplazamiento a Estados Unidos, con una estancia mínima estimada de 2 a 3 años.
Retribución de 40.000 dólares anuales.
Piso, coche de empresa y seguro de salud incluido durante la estancia en EE. UU.
Proyecto estable, con recorrido y claras posibilidades de desarrollo profesional en un entorno industrial internacional.",Santander,Todos
Supervisor,Santander NH,Santander,1 mil € - 4 mil € (Proporcionado por la empresa),28 días,"3,9","¡Únete al equipo líder en seguros en Cantabria!
Oportunidad única: Supervisor / Monitor Comercial – Santander (Cantabria)
Sector: Seguros (Especialista en Decesos y más)
¿Tienes experiencia en el mundo asegurador y te apasiona liderar equipos, captar talento y superar objetivos?
¡Esta es tu oportunidad de construir y dirigir tu propio proyecto comercial con el respaldo de una de las aseguradoras más sólidas y con mayor crecimiento de España!
¿Qué vas a hacer? (y por qué te va a enganchar)

Diseñar y poner en marcha estructuras comerciales potentes para vender seguros de forma efectiva (venta directa + canales alternativos).
Liderar, seleccionar, formar y motivar a equipos comerciales para que alcancen (y superen) sus metas.
Implementar estrategias ganadoras de captación y venta que generen resultados reales y sostenibles.
Hacer seguimiento de resultados, ajustar sobre la marcha y celebrar los logros junto a tu equipo.
¿Qué buscamos en ti?
(lo esencial para triunfar aquí)
Experiencia demostrable en el sector asegurador (captación, venta o gestión de equipos comerciales).
Demostrado liderazgo y capacidad para formar y motivar personas.
Fuerte orientación a resultados, ambición y comodidad trabajando con objetivos claros y ambiciosos.
Ganas de crecer y de construir algo propio con apoyo de una gran compañía.

¿Qué te ofrecemos? (lo que realmente marca la diferencia)¿Te ves liderando un equipo ganador en Cantabria?Envía ahora tu CV actualizado + una breve carta de presentación (cuéntanos por qué te motiva esta oportunidad y qué resultados has conseguido antes en seguros) a:Santander@occident.comAsunto: Supervisor Comercial Cantabria – [Tu Nombre]¡Plazas limitadas! Si encajas, te llamaremos en los próximos días para charlar sin compromiso.¿Quieres comentarlo antes de enviar? Llámame o escríbeme cuando puedas, Diego. Estoy aquí para resolver dudas y darte más detalles del plan de carrera.¡Un abrazo y a por ello!

Formación continua de primer nivel (homologada y actualizada constantemente).
Retribución muy competitiva + parte variable alta ligada directamente a tus resultados y los de tu equipo (sin techo).
Viajes, incentivos y premios por cumplimiento y superación de objetivos (experiencias, metálico, gadgets…).
Oportunidades reales de promoción rápida → muchas personas empiezan como monitor y en poco tiempo gestionan su propia estructura / oficina.
Proyecto estable con una compañía líder (Occident – parte de Grupo Catalana Occidente).
Ambiente dinámico, emprendedor y orientado al éxito compartido.

Tipo de puesto: Jornada completa, Contrato indefinido, Autónomo

Sueldo: 1.400,00€-3.500,00€ al mes

Beneficios:

Acciones empresariales
Flexibilidad horaria
Formación en certificaciones profesionales
Programa de formación
Teletrabajo opcional

Ubicación del trabajo: Empleo presencial",Santander,Todos
Mecánico/a automóviles,Grupo Nortempo,Santander,20 mil € - 26 mil € (Proporcionado por la empresa),24 horas,"3,9","Mecánico/a

¿Tienes experiencia en mecánica y buscas un horario estable que te permita conciliar? Estamos seleccionando un/a Mecánico/a para incorporarse a un proyecto trabajando principalmente con vehículos de ocasión.


La persona seleccionada se encargará de la puesta a punto y reparación de vehículos, realizando intervenciones habituales como sustitución de radiadores dañados por golpes, cambio de amortiguadores, reparación o sustitución de depósitos, cambios de aceite y filtros, entre otras tareas propias del mantenimiento mecánico general. Se trata de un puesto práctico, dinámico y orientado a la reparación eficiente y preparación del vehículo para su venta.


Buscamos un perfil con base técnica sólida, ganas de trabajar y seguir desarrollándose en entorno de taller.


Requisitos


Experiencia previa en mecánica general. Conocimientos en mantenimiento y reparación de vehículos. Capacidad para realizar intervenciones habituales en vehículos de ocasión. Perfil responsable, resolutivo y con buena actitud en taller.


Se ofrece


Incorporación estable. Horario continuo de lunes a viernes de 08:00 a 16:00, favoreciendo la conciliación. Salario según valía. Buen ambiente de trabajo y estabilidad profesional.

Requisitos

Experiencia previa en mecánica general. Conocimientos en mantenimiento y reparación de vehículos. Capacidad para realizar intervenciones habituales en vehículos de ocasión. Perfil responsable, resolutivo y con buena actitud en taller.

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Incorporación estable. Horario continuo de lunes a viernes de 08:00 a 16:00, favoreciendo la conciliación. Salario según valía. Buen ambiente de trabajo y estabilidad profesional.",Santander,Todos
Técnico/a de Obra Forestal,Silvanatura,Santander,No especificado,+ 30 d,"3,9","Silvanatura opera en la gestión forestal y ambiental con excelencia técnica, y compromiso con la sostenibilidad.

Actualmente nos encontramos en la búsqueda de un/a Técnico/a de Obra forestal, para incorporarse a nuestro equipo, en una obra de Tratamiento de Vegetación en Infraestructuras Eléctricas en la Comunidad de Cantabria y la Comunidad de Castilla y León.

Las principales tareas y responsabilidades de este profesional serán:

Planificar, coordinar y supervisar el trabajo forestal;
Gestionar y evaluar el rendimiento de los equipos internos y de los proveedores de servicios externos;
Informes periódicos del seguimiento de las obras;
Asegurar una estrecha colaboración con el cliente en la gestión y las actualizaciones del proyecto;
Gestionar los equipos asignados y fomentar la cultura de empresa entre los equipos in situ.
Visitas de obra, captación de nuevos clientes y apoyo a los estudios de licitación.

¿Qué estamos buscando?

Buscamos un Ingeniero Forestal o de Montes, o Ciencias ambientales;
Manejo de herramientas SIG;
Conocimiento en programa MS Project (deseable);
Disponibilidad para realizar desplazamientos y trabajos de campo;
Incorporación en marzo;
Deseable que domicilio entre las provincias de Valladolid, Palência o Cantábria.

¿Qué ofrecemos?

Formación inicial y continuade soft skills y hard skills;
Retributivo acorde al perfil profesional;
Seguridad y estabilidad laboral: un proyecto a largo plazo;
Coche de empresa;

Para efectos de admisibilidad, el candidato deberá presentar:

CV;
Certificado académico de los estúdios finalizados

Esta propuesta de trabajo tiene vigencia hasta el 27 de febrero de 2026.

Los interesados ​​deberán enviar los elementos solicitados a:

recursos.humanos@grupofbc.com

Tipo de puesto: Jornada completa, Contrato temporal
Duración del contrato: 12 meses

Beneficios:

Coche de empresa
Formación en certificaciones profesionales
Ordenador de empresa
Programa de formación
Teléfono de empresa",Santander,Todos
Operario/a de pescado,Eurofirms,España,No especificado,+ 30 d,"3,9","Empleo de Operario/a de pescado, Santoña
Fecha de publicación:
06/02/2026
Horario:
Jornada parcial de 39 horas semanales entre lunes y sábado en turno partido con los descansos establecidos por ley.
Vacantes:
150
Salario:
A concretar
Población:
Santoña



Descripción de la oferta de empleo de Operario/a pescado en Santoña

¿Quieres trabajar como operario/a de pescado en la Costera de 2026?

En Eurofirms buscamos personal para trabajar como operarios/as de alimentación en varias empresas del sector conservero de la zona de Santoña, Colindres y Laredo durante la campaña de verdel y bocarte de 2026:

Manipulación de la materia prima.
Descabezado y corte del pescado.
Movimiento de cajas y pallets.
Tratamiento del verdel y bocarte.
Entre otras tareas propias del puesto de trabajo.
Función:
Operario/a pescado
Requisitos:
- Experiencia mínima de al menos 6 meses en un puesto similar al descrito.

Buscamos personas dinámicas y responsables.
Valorable residencia cercana al puesto de trabajo.
Valorable disponer de vehículo propio para desplazarse al puesto de trabajo.
Formación:
ESO finalizada.
Idiomas:
Castellano hablado y escrito correctamente.",Santander,Todos
COMERCIAL DDD,Mides Olid,Santander,2 mil € - 4 mil € (Proporcionado por la empresa),7 días,"3,9","MIDES sanidad ambiental control de plagas urbanas selecciona en Santander un comercial que visite comercios, administradores de fincas, naves industriales con conocimientos de la zona y del mercado

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 2.000,00€-3.500,00€ al mes

Beneficios:

Formación en certificaciones profesionales
Jornada intensiva en verano
Jornada intensiva los viernes
Plus transporte
Programa de formación
Teléfono de empresa
Ticket restaurante

Ubicación del trabajo: Empleo presencial",Santander,Todos
Teleoperador,Stucco telecomunicaciones,Camargo,20 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Buscamos teleoperadores/as para unirse a un gran equipo comercial. Trabajarás en una campaña de marketing para un importante grupo nacional.

Ofrecemos:

Contrato indefinido como teleoperador/a especialista.
Formación remunerada.
Jornada a tiempo completo en horario de mañanas.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: Hasta 20.000,00€ al año

Experiencia:

Energía: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Santander,Todos
Masajista y esteticista,sanagua,España,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Estás buscando un nuevo desafío, mientras continúas desarrollando tu experiencia profesional y evolucionando en tu plan de carrera, entonces únete a SANAGUA, un talentoso equipo internacional. Nuestro concepto holístico, rico en experiencias y emociones tanto para el cliente como para el profesional del spa, le permitirá desarrollar sus habilidades en el sector ultradinámico de los Spa Resort Hotels. Gracias a nuestra marca colaboradora Phytomer y a la completa formación de SANAGUA, podrás vivir una experiencia profesional enriquecedora, descubriendo al mismo tiempo la belleza de los destinos, Fuerteventura y Mallorca, en los que desarrollamos nuestra actividad. Excelente trato con los clientes, con ganas de trabajar en equipo, y estar dispuesto a progresar y a superarse en el trabajo. Una formación previa a la incorporación y continua acompañada de nuestras marcas de prestigio internacional. Trabajar en un entorno internacional. Incorporación inmediata.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.200,00€-1.800,00€ al mes

Beneficios:

Ayuda al desarrollo profesional
Cesta de navidad
Comidas en la empresa
Cursos de idiomas ofertados
Uniforme proporcionado

Horario:

De lunes a viernes
Disponibilidad fin de semana

Preguntas para la solicitud:

Esta ubicado en Fuerteventura ,Las Palmas

Ubicación del trabajo: Empleo presencial

Fecha de inicio prevista 01/04/2024",Santander,Todos
Cocinero/a,El apeadero 2020s.L.,España,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Se precisa cocinero/a

Jornada completa

Contrato indefinido

Imprescindible experiencia

Se valorará personas con ganas de crecimiento

Posibilidad de crecimiento internamente

Jornada partida

Tipo de puesto: Jornada completa

Sueldo: 1.400,00€-1.700,00€ al mes

Ubicación del trabajo: Empleo presencial",Santander,Todos
