Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Fisioterapeuta,SaludButragueño S.L.,Las Matas,24 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Requisitos:

Si estás graduad@ en fisioterapia, tienes experiencia, te define tu actitud y eres una persona pro activa, con ganas de trabajar. Si nunca pierdes las ganas de continuar formándote, si te implicarías en un equipo de jóvenes profesionales con posibilidades reales de crecimiento dentro del grupo, este puesto de trabajo es para ti.

Valoramos conocimiento en readaptación/ pilates/ejercicio terapéutico. Tratamiento manual y conocimientos en manejo de radiofrecuencia/ecografia Y EPI/epte

Se ofrece:

Ofrecemos un horario flexible, adaptado a tus necesidades. La modalidad de la contratación variará en función del candidato, desde la clínica se valora tanto el puesto de autónomo, como asalariado a jornada completa. Se ofrece salario más incentivos.

Muchas gracias

Tipo de puesto: Jornada completa, Media jornada, Indefinido

Sueldo: A partir de 23.500,00€ al año

Beneficios:

Flexibilidad horaria

Ubicación del trabajo: Empleo presencial",Segovia,Todos
Operario/A Alimentación (San Martín Y Mudrian),Gi Group Holding,España,"9,98 € Por hora (Proporcionado por la empresa)",24 horas,"3,5","Desde Gi Group, la firma de servicios de trabajo temporal y permanent placement de Gi Group Holding, multinacional italiana líder en soluciones de Recursos Humanos, estamos convencidos de que podemos ayudarte a encontrar tu trabajo ideal. Es sencillo, cuidamos de ti y nos preocupamos por potenciar tu carrera profesional.


Actualmente, desde la delegación de Valladolid nos encontramos en busca de Operario/a Alimentación, para San Martín y Mudrián (Segovia).


Te contamos los principales requerimientos y otras habilidades de la posición:


FUNCIONES:


Envasado de producto.

Abastecimiento de la línea de producción.

Preparación de cajas, estuches y paletización


REQUISITOS:


Experiencia previa en fábricas de alimentación.

Disponibilidad de incorporación inmediata y para trabajar a turnos.

Disponibilidad para trabajar sábados, sobre todo en temporada de campaña.

Carnet de conducir y vehículo propio.

Valorable carnet de carretilla.


Y por nuestra parte, ¿qué podemos ofrecerte?


Contratación a través de ETT.

Jornada completa, en turnos rotativos de mañana, tarde y noche. Distribuidos de la siguiente manera:

Noche: desde domingo a las 22:00h/22:30h hasta sábado a las 06:00h/06:30h

Descanso: de lunes a domingo

Tarde: desde lunes a las 14:00h/14:30h hasta sábado a las 22:00h/22:30h

Mañana: desde lunes a las 06:00h/06:30h hasta sábado a las 14:00h/14:30h


Salario: 9.98€/h brutos y plus de cuarto turno mensual.


Y bien, ¿estás preparad@? Una oportunidad laboral de calidad y un trato personalizado y cercano te están esperando.


¡Inscríbete a la oferta y únete al equipo Gi Group! Te estamos esperando porque #NuestroCompromisoEresTú.


En cumplimiento de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, le informamos de que sus datos personales forman parte de un fichero propiedad de Gi Group Spain ETT S.L.U. y son tratados con la única finalidad de mantener la relación adquirida con usted. Puede ejercitar sus derechos de acceso, rectificación, cancelación y oposición dirigiéndose por escrito a Paseo de la Castellana, 89, 5º Planta, 28046, Madrid.",Segovia,Todos
Profesor de Lengua y Literatura y humanidades,Centro de Estudios Alfa y Beta,Segovia,1 mil € - 2 mil € (Proporcionado por la empresa),11 días,"3,5","Se necesita persona licenciada o con grado en filología hispánica preferente con al menos 1 año de experiencia para impartir las asignaturas de lengua y literatura y resto de asignaturas de humanidades (geografía e historia, filosofía, latín) a alumnos de primaria, ESO y Bachillerato. También Español para extranjeros.

Tipo de puesto: Jornada completa, Media jornada, Indefinido

Sueldo: 1.200,00€-1.600,00€ al mes

Beneficios:

Cesta de navidad

Preguntas para la solicitud:

¿Resides en Segovia o estarías dispuest@ a hacerlo?

Educación:

Licenciatura/Grado (Obligatorio)

Experiencia:

Impartir clases: 1 año (Obligatorio)

Licencia/Certificación:

CAP/MAES (Deseable)

Ubicación del trabajo: Empleo presencial",Segovia,Todos
Conductor ADR,Marcos Luque,Segovia,2 mil € (Proporcionado por la empresa),3 días,"3,5","Compañía dedicada al sector energético busca conductor/a de camión cisterna para el suministro de gasóleo a clientes en Valseca y alrededores. La persona incorporada se encargará del reparto a particulares, comunidades de vecinos y empresas, asegurando un servicio seguro, eficaz y de calidad, siempre en cumplimiento de la normativa aplicable al transporte de mercancías peligrosas.

Funciones

Manejo y conducción de camión cisterna para la distribución de gasóleo.
Carga y descarga del producto siguiendo rigurosamente las normas de seguridad.
Desarrollo de las rutas diarias conforme a la planificación establecida.
Gestión y verificación de la documentación del servicio (albaranes, documentación ADR, etc.).
Trato directo con el cliente durante el reparto, cuidando la imagen profesional de la empresa.

Requisitos

Carnet de conducir C* (se valorará C+E*).
CAP de Mercancías en vigor.
Certificado ADR para mercancías peligrosas.
Experiencia previa en conducción de vehículos pesados o trabajos de reparto (no imprescindible).
Perfil responsable, puntual y comprometido con la seguridad.
Residencia en la zona o disponibilidad para desplazarse al área de trabajo.

Se ofrece

Contrato indefinido a jornada completa.
Retribución bruta anual entre 27.000 € y 29.500 €, en 12 mensualidades más 3 pagas extra.
Incorporación a una empresa consolidada y en expansión.
Estabilidad profesional y entorno de trabajo colaborativo con un equipo con experiencia.

Tipo de contrato: Jornada completa · Indefinido

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 2.000,00€ al mes

Licencia/Certificación:

ADR (Deseable)

Ubicación del trabajo: Empleo presencial",Segovia,Todos
Chapista Oficial 2ª,Automóviles,Collado-Villalba,17 mil € - 22 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Si eres reconocido(a) por tú implicación, tú orientación de servicio al cliente y demuestras capacidades de iniciativa, buena relación profesional y te gusta superar los desafíos. Aprovecha la oportunidad de unirte a una empresa estructurada y eficiente que reconocerá tú participación, tus resultados y te ofrecerá nuevas oportunidades de desarrollo profesional. Buscamos profesionales con experiencia en chapa para grupo de concesionarios.

Las principales funciones:

- Desmontajes y montajes de carrocería

- reparaciones de chapa

- cambio de piezas dañadas (puertas, aletas, capo, paragolpes...)

- trabajos en bancada, etc.

Requisitos:

- Alta orientación al cliente

- Resolución de problemas

- Calidad del trabajo

- Trabajo en equipo

- Compromiso e iniciativa

- Responsabilidad

Trabajo remoto

No

Tipo de puesto: Jornada completa

Preguntas para la solicitud:

¿Resides en Collado Villalba?

Educación:

FP Grado Medio (Deseable)

Experiencia:

Chapista: 1 año (Deseable)
MIG: 1 año (Deseable)
TIG: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Segovia,Todos
Asesor de Servicios Taller Mecánico,Automóviles,Collado-Villalba,20 mil € - 22 mil € (Proporcionado por la empresa),+ 30 d,"3,5","Buscamos profesionales con experiencia en atención al cliente y conocimientos en automoción para Taller de Reparación de vehículos ubicado en Collado Villalba.

Funciones del puesto, serás responsable:

- Recepción de Vehículos y atención al cliente de taller

- Seguimiento de clientes y tiempos de reparación

- Organización trabajo taller

- Tramitación de garantías

- Gestión de citas

- Atención telefónica

- Facturación

- Gestión de cajas

- Entrega del vehículo reparado

Requisitos:

- Se buscan personas con un destacado conocimiento en Automoción, dinámicas y con inquietudes para mejorar y desarrollarse profesionalmente en el sector

- Alta orientación al cliente

- Resolución de problemas

- Calidad del trabajo

- Trabajo en equipo

- Compromiso e iniciativa

- Responsabilidad

- Disponibilidad para trabajar en horario comercial

- Carnet de conducir

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 20.000,00€-22.000,00€ al año

Ubicación del trabajo: Empleo presencial",Segovia,Todos
Enfermera,Monte Hermoso S.A.,Cercedilla,2 mil € - 3 mil € (Proporcionado por la empresa),+ 30 d,"3,5","RESIDENCIA GERIATRICA Y CENTRO DE DIA MONTEHERMOSO CERCEDILLA , NECESITA ENFERMEROS PARA CUBRIR TURNO DE MAÑANA, TURNO DE TARDE Y TURNO DE FIN DE SEMANA Y FESTIVOS. ATENDERA LAS NECESIDADES PROPIAS DEL PUESTO

Tipo de puesto: Jornada completa

Sueldo: 1.900,00€-2.600,00€ al mes

Horario:

Festivos
Todos los fines de semana
Turno de mañana
Turno de tarde

Requisito de idioma flexible:

Español no requerido

Educación:

Diplomatura/Grado (Deseable)

Experiencia:

Enfermería: 1 año (Deseable)

Licencia/Certificación:

Colegiación (Deseable)

Ubicación del trabajo: Empleo presencial",Segovia,Todos
DELEGADO COMERCIAL ZONA VALENCIA NORTE,KRC MOTOS,Castilla y León,24 mil € - 48 mil € (Proporcionado por la empresa),24 horas,"3,5","Empresa importadora de motocicletas necesita cubrir puesto de delegado de ventas para la zona norte de España con disponibilidad para viajar e incorporación inmediata. Se ofrece contrato indefinido. Sueldo más comisiones más gastos. Vehículo y teléfono de empresa. Se valorará conocimientos en el sector de las motos. Imprescindible vivir en zona norte España. Interesados enviar C.V.

Tipo de puesto: Jornada completa

Sueldo: 24.000,00€-48.000,00€ al año

Ubicación del trabajo: Empleo presencial",Segovia,Todos
"Profesor de Física-Química, Biología y Tecnología",Colegio Los Abetos,España,No especificado,+ 30 d,"3,5","Descripción del empleo

Colegio concertado en Manzanares el Real busca un/a profesor/a para impartir las asignaturas de Biología, Física y Química y Tecnología (ESO)

Tipo de empleo, categoría y subcategoría

Se ofrece:

Jornada 18 horas
Incorporación Inmediata.
Salario según convenio.
Calificaciones y habilidades

Es imprescindible que la persona interesada esté en posesión del CAP o bien del Master de Formación del Profesorado. Es importante que disponga de una buena capacidad de comunicación y valoramos nivel alto de inglés

Tipo de puesto: Jornada completa, Media jornada

Ubicación del trabajo: Empleo presencial",Segovia,Todos
Monitor Natación,CDM Alpedrete,Alpedrete,No especificado,24 horas,"3,5","Tienes experiencia y formación como Socorrista y monitor deportivo con niñas/os?
Se busca Monitor/a natación para la Ciudad Deportiva de Alpedrete.

Tus funciones:
- Impartir clases a niños y niñas de entre 3 y 7 años.

- Socorrista
- Horario: 21,5 hrs/sem, de tardes con disponibilidad fines de semana

Imprescindible residir por la zona noroeste de Madrid: Alpedrete, Villalba, Hoyo, Torrelodones, Becerril, Navacerrada Majadahonda, Las Rozas, Colmenarejo, Collado Mediano.

Gimnasio en la empresa

Educación:

FP Grado Superior (Obligatorio)

Ubicación del trabajo: Empleo presencial

Tipo de puesto: Media jornada

Horas previstas: 21 a la semana

Beneficios:

Gimnasio en la empresa
Parking gratuito

Ubicación del trabajo: Empleo presencial",Segovia,Todos
