Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Contable,Kolibri Consulting,Soria,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Soria, Soria provincia (Soria)",Soria,Todos
DELEGADO COMERCIAL ZONA VALENCIA NORTE,KRC MOTOS,Castilla y León,24 mil € - 48 mil € (Proporcionado por la empresa),24 horas,"3,9","Empresa importadora de motocicletas necesita cubrir puesto de delegado de ventas para la zona norte de España con disponibilidad para viajar e incorporación inmediata. Se ofrece contrato indefinido. Sueldo más comisiones más gastos. Vehículo y teléfono de empresa. Se valorará conocimientos en el sector de las motos. Imprescindible vivir en zona norte España. Interesados enviar C.V.

Tipo de puesto: Jornada completa

Sueldo: 24.000,00€-48.000,00€ al año

Ubicación del trabajo: Empleo presencial",Soria,Todos
"Encargado de Obra Civil Salamanca, Valladolid y Zamora",Construcciones Civiles Aldaso,Castilla y León,No especificado,7 días,"3,9","Aldaso empresa constructora con amplia trayectoria selecciona para las Provincias de Salamanca, Zamora y Valladolid Encargados/as de Obra Civil que se encargará de planificar, organizar y supervisar los proyectos desde el inicio hasta el final, siempre tratando de respetar los tiempos acordados de ejecución y las especificaciones y presupuestos establecidos.

Responsabilidades:

Plan de ejecución, seguimiento y control de los trabajos en obra
Coordinación y supervisión equipos de trabajo
Asegurar el cumplimiento de las normas de seguridad y prevención de riesgos laborales en la obra
Control de las subcontratas
Gestionar el material y los medios auxiliares necesarios para ejecutar la obra: recepción de pedidos, revisión de albaranes, colocación y almacenamiento, control de stock y excedentes y gestión de posibles incidencias.
Supervisión del buen uso de la maquinaria de trabajo y orden y limpieza del entorno laboral
Elaboración de partes diarios de trabajo

Requisitos:

Experiencia mínima de 2 años como Encargado/a de Obra Civil
Conocimientos en obra lineal, urbanizaciones, canalizaciones, movimientos de tierras o estructuras
Manejo básico de herramientas digitales (correo, Excel, apps de obra)
Carné de conducir y disponibilidad para desplazamientos por las provincias de Salamanca, Valladolid y Zamora.
Valorable formación en prevención (PRL 60 h o similar).
Se ofrece:
Incorporación inmediata
Jornada Completa
Salario en función de conocimientos y experiencia aportada

Tipo de puesto: Jornada completa, Contrato indefinido

Ubicación del trabajo: Empleo presencial",Soria,Todos
Logístico/a Indefinido 20h Rotativo Soria,Leroy Merlin,Soria,No especificado,2 días,"3,9","Nuestras Tiendas

El lugar donde demostramos, cara a cara, nuestro propósito. Si compartes este objetivo y tu satisfacción es conseguir que los clientes puedan dar vida a sus ideas y proyectos, este es tu sitio.

Formar parte del equipo de nuestras tiendas significa trabajar en un ambiente de co-creación donde vivir nuestros valores y propósito de empresa junto al cliente.

¿Te unes a nosotros?

Te lo enseñamos aquí en este vídeo:

Por esto contamos contigo como Operario/a logístico/a tienda donde tu misión principal será la de garantizar la correcta gestión de los flujos de mercancía, desde la entrada hasta la puesta a disposición del cliente en tienda o bien preparando su entrega a través de los diversos canales existentes.

Principales funciones


Flujos logísticos:

Efectuar la recepción, la separación y la mecanización de la mercancía que ingresa en la tienda para optimizar los flujos logísticos y su correcta disposición a sala de venta, a la sección de servicios y a los clientes.


Ubicación en fecha de los Pedidos Clientes generados en tienda para facilitar la gestión de dicha mercancía por parte de la sección de Servicios.


Control de mercancías:

Realizar el control físico de mercancías, inventarios en el almacén y gestión de la demarca de la tienda, con el fin de garantizar un stock correcto y sano.

Gestión de residuos:

Garantiza la gestión de residuos generados en la tienda dentro de los parámetros legales marcados por la compañía, con el fin de lograr los objetivos de responsabilidad social corporativa.


Mantenimiento zonas logísticas:

Mantener la zona de recepción y reserva de la tienda limpia respetando las normas de Seguridad con el objetivo de garantizar la seguridad en el tránsito de las zonas.


¿Qué ofrecemos?

Nuestro Propósito

En Leroy Merlin tenemos un propósito que da sentido a lo que somos y a todo lo que hacemos, una guía que es nuestro compromiso contigo y con el planeta. Y es que todo lo que te ofrecemos busca despertar en ti la motivación de crear entornos donde vivir mejor.

Porque estamos seguros de una cosa, si nos lo proponemos, cambiar el mundo está en nuestras manos y en las tuyas.

La Acción Social es uno de los pilares fundamentales de Leroy Merlin España, siendo un valor añadido para toda la empresa, pero también para la comunidad. A través de diversas acciones: proyectos de reforma y acondicionamiento, donaciones, productos solidarios, voluntariado corporativo y nuestra Convocatoria de Ayudas ""Hogares Dignos"", contribuimos a la construcción de un mundo y de una sociedad mejor.

¡Benefíciate! Por ser Leroy Merlin

Como colaborador/a de Leroy Merlin España tienes a tu disposición más de 70 beneficios y/o ventajas clasificados en 6 categorías, pensados para brindarte la mejor experiencia por ser parte de este gran equipo.

Te beneficiarás además de la Política de Compensación Flexible y de Beneficios ofrecidos por Leroy Merlin, como son la posibilidad de convertirte en accionista de la compañía, Seguro de Salud, ayudas en guardería, cheques restaurante y diversos descuentos con grandes colaboradores comerciales, entre otros.

Contarás con una retribución fija además de la participación en los resultados y beneficios.

¡Desarróllate!

¡Fórmate y desarróllate en una empresa multinacional! Encontrarás un gran ambiente de trabajo y dispondrás de autonomía para decidir y actuar, pudiendo participar en la toma de decisiones y en proyectos transversales.

El lugar para todxs

La Gestión de la Diversidad es un eje fundamental en nuestra filosofía de empresa. Es por esto que está incluida en el Chárter de Diversidad, un código de compromiso promovido por la Fundación para la Diversidad y apoyado por el Ministerio de Sanidad, Política Social e Igualdad. Con esto, nos reafirmamos en nuestro compromiso con el respeto al derecho de la inclusión de todas las personas y reconocemos los beneficios que nos brindan la diversidad cultural, demográfica y social.

Leroy Merlín España, S.L.U., declara su compromiso en el establecimiento y desarrollo de políticas que integren la igualdad entre mujeres y hombres, sin ningún tipo de discriminación, así como en el impulso y fomento de medidas para conseguir la igualdad efectiva en el seno de nuestra organización. Asumimos el principio de igualdad entre mujeres y hombres en todos y cada uno de los ámbitos en los que se desarrolla nuestra actividad y en el marco de la Responsabilidad social de nuestra Organización.

Si quieres desarrollar el trabajo que te gusta, nuestra puerta está abierta para ti. Aquí no entendemos de barreras.

TU TALENTO NO TIENE LÍMITES

Sí quieres conocer más información acerca de nuestro Propósito, valores y acciones y nuestras vacantes de empleo, dejamos a tu disposición nuestra Web de Empleo Corporativa Leroy Merlin España.

¡CAMBIAR NUESTRO MUNDO ESTÁ EN NUESTRAS MANOS!",Soria,Todos
REPONEDOR/A JORNADA PARCIAL SORIA,TPV,Soria,No especificado,27 días,"3,9","SE OFRECE PUESTO DE REPONEDOR/A

ZONA: SORIA

GRUPO TPV, empresa dedicada a los servicios de campo, para actividades de reposición y marketing operacional que trabaja para marcas líderes de gran consumo selecciona un REPONEDOR-REPONEDORA para SORIA.

FUNCIONES:
La función principal será la de asegurar el buen estado de la mercancía en tienda, lo que, entre otras cosas, incluirá:

- Reponer los productos en el espacio reservado para nuestros clientes según planogramas, retirando aquellos productos en mal estado, caducados o que no cumplan con los estándares de calidad.
- Mantener limpios y ordenados los espacios, cuidando la buena señalización de los precios en los balizajes.

- Mantener los lineales y espacios promocionales llenos de nuestras marcas para facilitar el libre servicio y así satisfacer las necesidades de los clientes.

- Evitar y corregir las roturas de stocks informando de ello a los distintos responsables.

- Gestionar los flujos de mercancía y participar activamente en los inventarios de las secciones.

Se valorará experiencia en reposición y en el sector de la Alimentación

SALARIO SEGUN CONVENIO

INCORPORACIÓN INMEDIATA

HORARIO DE LUNES A DOMINGO SEGÚN NECESIDADES DE LA SECCIÓN

SE VALORÁ EXPERIENCIA PREVIA EN REPOSICIÓN Y EN EL SECTOR DE ALIMENTACIÓN

CARNET DE MANIPULADOR DE ALIMENTOS

Buen ambiente de trabajo

Tipo de puesto: Contrato a tiempo parcial

Ubicación del trabajo: Empleo presencial

Tipo de puesto: Media jornada

Ubicación del trabajo: Empleo presencial",Soria,Todos
VENDEDOR/A,JYSK,España,No especificado,+ 30 d,"3,9","Descripción de la empresa


JYSK es la marca de muebles, decoración y sistemas de descanso de origen escandinavo por excelencia. Desde que abrimos nuestra primera tienda en Dinamarca en 1979 no hemos parado de crecer, y hoy, con más de 3500 tiendas, estamos presentes en más de 50 países a nivel mundial. En JYSK queremos seguir creciendo y, para ello, necesitamos a los mejores en nuestro equipo.


Descripción del empleo


¿Te entusiasman las ventas? ¿Quieres proporcionar el mejor servicio al cliente de JYSK en España junto con tu equipo? ¿Te gusta la variación y un ritmo de trabajo dinámico?

¡Entonces puedes ser el Vendedor que estamos buscando!

QUÉ TE OFRECEMOS

Te ofrecemos la oportunidad de unirte a una empresa de distribución que escucha a sus colaboradores y se esfuerza cada día para ser un excelente lugar para trabajar. Somos dinámicos y tu desarrollo es crucial para nosotros. Además, como embajador de JYSK, obtienes lo siguiente:

Contrato indefinido a 30 horas semanales
Oportunidades para tu crecimiento y desarrollo: nuestro objetivo es que el 80% de nuestros futuros managers provengan de la promoción interna. Descubre más aquí.
Concursos internos entre tiendas con atractivos premios
Bonificaciones competitivas que premian los grandes resultados de ventas
Un horario de trabajo flexible
15% de descuento en todas las tiendas JYSK
Seguro de salud privado, fiesta anual, actividades internas (participación en eventos patrocinados como carreras, voluntariados, etc.)

CÓMO SERÁ TU TRABAJO EN JYSK

Serás responsable de las ventas en la tienda: ofrecerás a nuestros clientes el mejor servicio con una sonrisa
Garantizarás que la tienda esté 100% limpia y repuesta de nuestros productos
Participarás en el proceso de recepción de la mercancía y su correcta gestión y almacenaje
Tendrás la oportunidad de especializarte en tu propia área en la tienda
Mozo de almacén

Conoce a uno de nuestros Sales Assistant y aprende cómo somos como empleador aquí.

QUÉ DEBES TRAER

Disfrutas hablando con los clientes y les proporcionas la mejor experiencia de compra que puedan imaginar
Estar en movimiento es parte de tu día a día, y no tienes problema en asumir tareas físicas como mover productos o preparar pedidos.
Eres un buen compañero para tu equipo: juntos os esforzáis para conseguir grandes resultados
Te gusta la variedad y eres flexible: tanto en las tareas como en los horarios
Tienes disponibilidad para trabajar en horarios rotativos
Estudios de Educación Secundaria Obligatoria o superiores

Información adicional


Proceso de selección en España:

Procesamos las solicitudes de forma continua y completamos la contratación cuando encontramos al candidato adecuado
Revisaremos tu candidatura en el plazo de 1 semana (días laborables)
Si tiene éxito, te enviaremos un link para que respondas a algunas preguntas en vídeo
A continuación, te haremos una breve entrevista telefónica
En caso de que superes todas las fases anteriores te invitaremos a una entrevista presencial

SOBRE NOSOTROS

Creemos que nuestros colaboradores son la clave de nuestro éxito, pasando de una tienda en 1979 a más de 3500 tiendas en todo el mundo en la actualidad. Por eso nos esforzamos en ofrecer desarrollo y posibilidades de crecimiento dentro de JYSK, y también nos sentimos orgullosos de premiar el compromiso y el gran esfuerzo de nuestros colaboradores. Nuestros tres valores fundamentales JYSK: comerciante, compañero y espíritu corporativo, expresan el comportamiento y la actitud que esperamos de cada persona en JYSK. Confiamos unos en otros, y creemos en la delegación y la libertad con responsabilidad.

JYSK quiere incluir a todos, sin importar la edad, la identidad de género, la raza,la etnia, la orientación sexual, la capacidad física o mental. Juntos, aseguramos nuestra cultura inclusiva que anima, apoya y celebra las diversas voces de nuestros colaboradores. Porque una gran mezcla de mentes, talentos y personalidades únicas nos hace un equipo más fuerte.

Para más información, por favor visita nuestra página de carrera

Conoce cómo tratamos tus datos en nuestra Política de Privacidad.",Soria,Todos
EXPENDED@R PARA GASOLINERA EN SORIA,G.A.S.L,Soria,1 mil € (Proporcionado por la empresa),7 días,"3,9","SE PRECISA EXPENDED@R PARA GASOLINERA EN SORIA, JORNADA COMPLETA, SE REQUIERE VEHÍCULO PROPIO, CONOCIMIENTOS DE INFORMÁTICA.

LABORES LIMPIEZA DIARIA ESTACIÓN DE SERVICIO, ATENCIÓN Y SUMINISTRO DE COMBUSTIBLE AL CLIENTE.

HORARIO DE LUNES A VIERNES DE 10H A 15H Y DE 117H A 20H.

SÁBADOS DE 10H A 14H.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.200,00€-1.280,00€ al mes

Beneficios:

Uniforme proporcionado

Educación:

Bachillerato (Obligatorio)

Experiencia:

GASOLINERAS: 7 años (Deseable)

Ubicación del trabajo: Empleo presencial",Soria,Todos
RESPONSABLE DE SECCIÓN Decathlon SORIA,Decathlon,Soria,No especificado,10 días,"3,9","Responsable de Sección - Decathlon Soria

En Decathlon Soria, el deporte no es solo un trabajo, es nuestro ADN. Vivimos en una provincia que es un gimnasio al aire libre —desde las rutas por el Duero hasta las cimas de Urbión— y buscamos a alguien que comparta esa pasión y la transmita en su día a día.

Estamos en constante evolución y te ofrecemos la oportunidad de liderar proyectos que impacten directamente en la comunidad deportista soriana. Buscamos RESPONSABLES DE SECCIÓN que se atrevan, que no tengan miedo a equivocarse y que sean el faro de su equipo, acompañándolos en la toma de decisiones y orientándolos para ser los mejores expertos en su oficio.

Cómo nos encantaría que fueras:

Líder de personas: Que te apasione construir, capacitar y liderar al mejor equipo de deportistas de Soria, trabajando por y para el talento y haciéndolos crecer profesionalmente.

Deportista y referente: Que te sientas identificado/a con nuestra marca para ofrecer la mejor oferta técnica y una experiencia única a cada cliente que entra en nuestra tienda.

Gestor/a de tu propio negocio: Capaz de tomar decisiones valientes sobre tu perímetro, respetando los ratios económicos y comprometiéndote con objetivos claros tanto en el comercio físico como digital para hacer crecer tu deporte en la provincia.

Ambicioso/a y con ganas de aprender: Una persona con hambre de formación constante y con la ambición de seguir avanzando en su recorrido profesional dentro de la compañía.

Conectado/a con lo local: Que te movilice participar activamente en la construcción y animación del proyecto local de Decathlon Soria, alineándolo con el sentido global de la empresa pero con alma soriana.

Nos importas (Nuestra oferta):

Estabilidad desde el primer día: Te ofrecemos un contrato indefinido y a tiempo completo.

Aprendizaje real: Te acompañamos en tu aprendizaje continuo en un entorno donde tomar decisiones es parte fundamental de cada día y donde entendemos que equivocarse es parte del éxito.

Plan de carrera: Apostamos por tu desarrollo profesional con un sistema de promoción interna sólido y fomentando siempre la igualdad de oportunidades.

Siéntete dueño/a: Te damos la posibilidad de convertirte en accionista de la empresa.

Beneficios para tu día a día: Por ser parte del equipo, disfrutarás de ventajas para facilitar tu práctica deportiva: productos Decathlon más accesibles, seguro de vida, seguro de salud con condiciones especiales y convenios con entidades locales para que nunca dejes de moverte.

Si tienes ganas, te apasiona el servicio al cliente y quieres crecer en una empresa que confía en tu talento desde el primer día... ¡Queremos conocerte!



Deportista que incorpore el deporte como práctica habitual.
Disponibilidad horaria completa.
Disponibilidad los fines de semana.
Movilidad geográfica (valorable).",Soria,Todos
Equipo de sala,La Tagliatella,Soria,No especificado,+ 30 d,"3,9","La Tagliatella pertenece al Grupo Amrest, multinacional con más de 50.000 personas en 23 países por todo el mundo. Es una compañía global impulsada por un propósito común y una firme creencia: la excelencia de nuestro servicio es la manera de ganarnos el corazón de las personas.

¿QUÉ BUSCAMOS?

Profesionales con experiencia que disfruten con la hostelería y les apasione la atención al cliente. Si es tu caso, ¡te estamos esperando!

Tus responsabilidades serán:

Valorable experiencia en el sector, pero si no la tienes, no te preocupes ¡Nosotros te formamos!
Compromiso y responsabilidad
Motivación por crecer dentro de nuestra marca
Disponibilidad horaria
Energía positiva
Orientación al cliente
Ganas de aprender

¿QUÉ TE OFRECEMOS?

Si tienes disponibilidad de realizar jornadas partidas y rotativas (comidas, cenas, y/o fines de semana), te ofrecemos:

La posibilidad de hacer carrera dentro de la marca.
Poder moverte a otras empresas del Grupo.
Recibir una formación continua y especializada.
Buen ambiente de trabajo
Dos días libres seguidos

Además, Amrest se compromete a velar por la igualdad de oportunidades de mujeres y hombres al acceso a la empresa, la contratación, la promoción, la formación, la retribución, la conciliación de la vida personal laboral y familiar y la salud laboral.



Disponibilidad para trabajar a turno partido (horario de comidas y cenas) y en jornadas parciales (repartidas entre semana y fines de semana)
Residencia en la localidad",Soria,Todos
Vendedor/a Pintura Temporal 30h Rotativo Soria (Especialistas),Leroy Merlin,Soria,No especificado,14 días,"3,9","Nuestras Tiendas es el lugar donde demostramos, cara a cara, nuestro propósito. Si compartes este objetivo y tu satisfacción es conseguir que los clientes puedan dar vida a sus ideas y proyectos, este es tu sitio.

Formar parte del equipo de nuestras tiendas significa trabajar en un ambiente de co-creación donde vivir nuestros valores y propósito de empresa junto al cliente.

¿Te unes a nosotros y nosotras?

Te lo enseñamos aquí en este vídeo:

Por esto contamos contigo como Vendedor/a Especialista, porque tienes un amplio conocimiento de tu oficio y nuestros productos, aportas la experiencia de trabajar como profesional de tu sector y sobre todo tienes pasión por lo que haces.

Principales funciones

Ofrecer un asesoramiento completo al habitante, en su ámbito de actuación, con el objetivo de alcanzar la satisfacción y fidelización del mismo.
Asesorar al habitante, a través del canal adecuado en cada momento, con el objetivo de ofrecerle los productos / servicios que más se ajusten a sus necesidades.
Atender al habitante con diligencia y resolver las incidencias y dudas que puedan darse durante todo el proceso de venta, personalizando y ofreciendo experiencias de compra positivas.
Detectar oportunidades de negocio en todas las interacciones con el habitante, y aprovecharlas teniendo en cuenta siempre los criterios de margen y rentabilidad para Leroy Merlin, realizando los presupuestos y los pedidos asociados, y llevando a cabo un seguimiento de los mismos.
Ofrecer a los habitantes los servicios más adaptados a la venta solución como la instalación, financiación y envíos a domicilio entre otros gestionando los pagos en el punto de venta cuando la ocasión lo permita.
Realizar la gestión administrativa de los servicios postventa de cara a prestar un servicio idóneo para el habitante.


¿Qué ofrecemos?

Nuestro Propósito

En Leroy Merlin tenemos un propósito que da sentido a lo que somos y a todo lo que hacemos, una guía que es nuestro compromiso contigo y con el planeta. Y es que todo lo que te ofrecemos busca despertar en ti la motivación de crear entornos donde vivir mejor.

Porque estamos seguros de una cosa, si nos lo proponemos, cambiar el mundo está en nuestras manos y en las tuyas.

La Acción Social es uno de los pilares fundamentales de Leroy Merlin España, siendo un valor añadido para toda la empresa, pero también para la comunidad. A través de diversas acciones: proyectos de reforma y acondicionamiento, donaciones, productos solidarios, voluntariado corporativo y nuestra Convocatoria de Ayudas ""Hogares Dignos"", contribuimos a la construcción de un mundo y de una sociedad mejor.

¡Benefíciate! Por ser Leroy Merlin

Como colaboradora o colaborador de Leroy Merlin España tienes a tu disposición más de 70 beneficios y/o ventajas clasificados en 6 categorías, pensados para brindarte la mejor experiencia por ser parte de este gran equipo.

Te beneficiarás además de la Política de Compensación Flexible y de Beneficios ofrecidos por Leroy Merlin, como son la posibilidad de convertirte en accionista de la compañía, Seguro de Salud, ayudas en guardería, cheques restaurante y diversos descuentos con grandes colaboradores comerciales, entre otros.

Contarás con una retribución fija además de la participación en los resultados y beneficios.

¡Desarróllate!

¡Fórmate y desarróllate en una empresa multinacional! Encontrarás un gran ambiente de trabajo y dispondrás de autonomía para decidir y actuar, pudiendo participar en la toma de decisiones y en proyectos transversales.

El lugar para todas y todos

La Gestión de la Diversidad es un eje fundamental en nuestra filosofía de empresa. Es por esto que está incluida en el Chárter de Diversidad, un código de compromiso promovido por la Fundación para la Diversidad y apoyado por el Ministerio de Sanidad, Política Social e Igualdad. Con esto, nos reafirmamos en nuestro compromiso con el respeto al derecho de la inclusión de todas las personas y reconocemos los beneficios que nos brindan la diversidad cultural, demográfica y social.

Leroy Merlín España, S.L.U., declara su compromiso en el establecimiento y desarrollo de políticas que integren la igualdad entre mujeres y hombres, sin ningún tipo de discriminación, así como en el impulso y fomento de medidas para conseguir la igualdad efectiva en el seno de nuestra organización. Asumimos el principio de igualdad entre mujeres y hombres en todos y cada uno de los ámbitos en los que se desarrolla nuestra actividad y en el marco de la Responsabilidad social de nuestra Organización.

Si quieres desarrollar el trabajo que te gusta, nuestra puerta está abierta para ti. Aquí no entendemos de barreras.

TU TALENTO NO TIENE LÍMITES

Sí quieres conocer más información acerca de nuestro Propósito, valores y acciones y nuestras vacantes de empleo, dejamos a tu disposición nuestra Web de Empleo Corporativa Leroy Merlin España.

¡CAMBIAR NUESTRO MUNDO ESTÁ EN NUESTRAS MANOS!",Soria,Todos
