Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Cuidadora Interna Lunes a Viernes - Tarragona -,Curaleaf,Tarragona,1 mil € (Proporcionado por la empresa),24 horas,"3,0","¿Eres una persona con vocación sociosanitaria y buscas estabilidad en la zona de Tarragona? Auxiliar Interna para incorporación inmediata. Buscamos un perfil profesional, paciente y con capacidad de acompañamiento integral.

DETALLES DE LA OFERTA (REF 298)

Ubicación: Tarragona (centro).
Horario: Entrada lunes 9:00h - Salida sábado 9:00h.
Incorporación: Inmediata.

REQUISITOS OBLIGATORIOS (Por favor, abstenerse si no se cumplen)

Experiencia: Mínimo 2 años verificables en cuidado de personas mayores o dependientes.
Perfil: Formación o experiencia en el ámbito Sociosanitario.
Actitud: Alta capacidad de empatía, paciencia y proactividad en tareas de estimulación y ejercicios.

RESPONSABILIDADES

Atención sociosanitaria y cuidados personales.
Acompañamiento activo y realización de ejercicios físicos/cognitivos.
Gestión de tareas del hogar vinculadas al bienestar del usuario.
Mantenimiento de rutinas y medicación.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.340,00€-1.400,00€ al mes

Preguntas para la solicitud:

¿Tiene permiso de trabajo activo?

Ubicación del trabajo: Empleo presencial",Tarragona,Todos
Fisioterapeuta,CALAFELL PARK,Segur de Calafell,No especificado,+ 30 d,"3,0","Residencia de personas mayores ubicada en Segur de Calafell (Tarragona) selecciona Fisioterapeuta para incorporación inmediata.

Funciones principales:

Valoración inicial y seguimiento funcional de los residentes.
Diseño y ejecución de programas de rehabilitación y mantenimiento físico.
Prevención de caídas y promoción de la movilidad.
Coordinación con el equipo médico, de enfermería y equipo técnico.
Participación en actividades de bienestar físico y programas grupales.

Requisitos:

Titulación en Fisioterapia (grado o diplomatura).
Colegiación vigente.
Experiencia previa en el ámbito geriátrico (valorable).
Vocación por el trabajo con personas mayores, responsabilidad y empatía.

Se ofrece:

Jornada completa de lunes a viernes.
Horario: de 8:00 a 17:00 horas.
Contrato estable y salario según convenio.

Ubicación: Segur de Calafell (Tarragona)
Incorporación: inmediata o a convenir.

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Flexibilidad horaria

Ubicación del trabajo: Empleo presencial

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Flexibilidad horaria

Ubicación del trabajo: Empleo presencial",Tarragona,Todos
Area Manager Aragón,Lidl,España,No especificado,+ 30 d,"3,0","Introducción

Como Área Manager, serás responsable de impulsar las ventas de un grupo de tiendas, liderando un equipo humano de entre 80 a 100 personas y de gestionar todos los indicadores de rendimiento de tus tiendas.

Tus tareas
Ser responsable de los equipos de tienda: realizar la selección de personal, contratación, formación y desarrollo del equipo.
Gestionar las ventas, garantizando los estándares definidos por la compañía y procedimientos en las tiendas.
Implementar nuevos procedimientos, productos y promociones de venta en tienda.
Optimizar la disponibilidad de productos.
Garantizar un funcionamiento optimizado de las tiendas.
Tu perfil
Estudios universitarios finalizados
Experiencia en ventas mínimo 2 años
Alta capacidad de organización
Persona dinámica, proactiva y analítica
Disponibilidad para viajar y movilidad geografica
Dominio del paquete Office
Se valorarán conocimientos de inglés/ alemán
Qué te ofrecemos
Un contrato de jornada completa.
Un trabajo dinámico en un sector que necesita de la constante innovación y de replantearse el día a día permanentemente.
Te facilitamos una formación inicial teórico-práctica adaptada a tu puesto de trabajo junto con un programa específico donde podrás obtener una visión global de la compañía y las distintas áreas. También adquirirás conocimientos transversales en gestión de personas, así como el desarrollo de distintas habilidades que facilitarán el desempeño de tus funciones.
Un salario competitivo, beneficios sociales y coche de empresa.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/",Tarragona,Todos
Responsable de calidad planta,Claire Joster,España,No especificado,24 horas,"3,0","Presentación

Somos la firma global de talento: Selección, headhunting, formación y consultoría de Eurofirms Group.




En Claire Joster creemos en el talento único de cada persona y sabemos que la diversidad aporta valor a los equipos, impulsando organizaciones más innovadoras, creativas y eficientes. Por eso, como parte de Eurofirms Group, y de acuerdo con nuestra cultura People first, trabajamos para generar entornos laborales inclusivos en los que cada individuo pueda crecer y desarrollar su mejor versión. Asimismo, buscamos actuar como agentes de cambio para promover la igualdad de oportunidades en nuestro entorno, fomentando el respeto y apostando por la diversidad en todas sus formas.




Seas como seas y sientas como sientas, en Claire Joster tendrás un sitio para brillar.

Organización

Nos encontramos en la búsqueda de un Técnico PRL para compañía dedicada a la producción de ingredientes para la industria alimentaria, ubicada en Tarragona.

Función
Gestionar el departamento de Calidad de la fábrica, realizando reporte semanal a la Dirección de Calidad.
Elaborar el documento semanal de revisión de calidad en planta y enviarlo a dirección
Controlar el cumplimiento de los requisitos legales y reglamentarios aplicables en materia de calidad, inocuidad y medioambiente.
Gestionar el sistema de gestión ambiental ISO 14000, en coordinación con CETAIMA.
Realizar el seguimiento de indicadores del departamento de calidad (KPIs).
Crear, actualizar y supervisar los procedimientos, SOP, instrucciones, registros y su cumplimiento.
Requisitos
Formación técnica o universitaria vinculada a calidad industrial, ingeniería, ciencia y tecnología de los alimentos, química o similar.
Experiencia previa en departamentos de calidad en entorno industrial, idealmente con certificaciones GMP+, ISO 9001, ISO 14001 y/o RSPO.
Conocimiento de normativa de calidad, inocuidad alimentaria, sostenibilidad y legislación ambiental.
Persona organizada, meticulosa, con capacidad analítica y orientación a la mejora continua.
Habilidad para la redacción documental y la gestión de auditoría.
Oferta
Contrato indefinido, a jornada completa.
Horario flexible: posibilidad de jornada intensiva (de 7:00 a 15:00 h) o jornada partida (de 7/8:00 a 17/18:00 h).
Modalidad presencial, en un entorno colaborativo y dinámico.
Ubicación: Tarragona.
Postulación

Si tienes ganas de seguir aprendiendo y creciendo profesionalmente, ¡Es tu oportunidad!




Aplica a la oferta y nos pondremos en contacto contigo a la mayor brevedad posible

26/2/2026",Tarragona,Todos
Mecánico/a de turismo,Bridgestone Global,Tarragona,No especificado,+ 30 d,"3,0","Mecánico/a de turismo
RESUMEN DEL PUESTO
JobReq ID: 54297
Modalidad de Trabajo: Presencial
Tipo de contrato: Contrato indefinido
Jornada completa/Jornada parcial: Jornada completa
Ubicación: TARRAGONA, ES
SOBRE NOSOTROS

Bridgestone Americas, Inc. (BSAM), con sede en Nashville, Tennessee, y Bridgestone Europe, Middle East and Africa (BSEMEA), con sede en Bruselas, Bélgica, operan colectivamente como una región estratégica «Bridgestone West». Esta región da servicio a las necesidades empresariales estratégicas de los equipos de América, Europa, Oriente Medio y África. BSAM y BSEMEA son filiales de Bridgestone Corporation, con sede mundial en Japón. Bridgestone y sus filiales desarrollan, fabrican y comercializan una amplia gama de productos y soluciones de las marcas Bridgestone, Firestone y asociadas para satisfacer las necesidades de una amplia gama de clientes e industrias.

SOBRE LA POSICIÓN

Objetivo del puesto

En Tarragona, estamos buscando incorporar a un/a mecánico/a de turismo para First Stop quien realizará trabajos de montaje de neumáticos, mantenimiento, control de desgaste, diagnósis, mecánica rápida y avanzada.

First Stop y Elma son filiales del Grupo Bridgestone en España. En conjunto, gestionamos una red de aproximadamente 46 centros de servicio en todo el territorio nacional, ofreciendo cobertura integral en soluciones de mantenimiento para el automóvil.

First Stop está especializada en neumáticos y servicios de mantenimiento de automoción, tanto para clientes particulares como para flotas profesionales. Nuestra oferta abarca una completa gama de productos y servicios, incluyendo diagnóstico electrónico, mantenimiento preventivo, sustitución de neumáticos, frenos, suspensión, correas de distribución, embragues, sistemas de aire acondicionado y cambios de aceite. Asimismo, contamos con una sólida experiencia en la gestión de neumáticos para vehículos ligeros y pesados.

Comprometidos con la calidad y la seguridad, en First Stop trabajamos cada día para ofrecer un servicio eficiente, profesional y orientado al cliente.




Responsabilidades:

Montaje y reparación de neumáticos de turismo.
Mantenimiento, mecánica rápida y integral: aceites, frenos, amortiguadores, alineaciones, correas de distribución, embragues, mecánica avanzada: culatas, diagnosis de motor y sistemas eléctricos.



Cualificaciones y experiencia requeridas




Educación, Máster, otras cualificaciones:

Formación Profesional Grado Medio



Experiencia (años):

Al menos 3 años de experiencia



Habilidades técnicas:

Carnet de conducir
Experiencia demostrable en las siguientes funciones:
Mantenimiento.
Neumáticos.
Mecánica.
Diagnósis
Valorable: Conocimiento de camiones



Habilidades sociales:

Calidad
Trabajo en equipo



Idiomas:

Español



Nuestros Beneficios:

Salarios según convenio en función del valor aportado por el candidato/a.
Contrato a jornada completa.
Jornada de trabajo de lunes a viernes
Conciliación: Disfruta del día de tu cumpleaños si coincide en día laboral.
Estabilidad laboral.
Descuento importante en neumáticos y servicios de mecánica rápida para empleados/as a partir del primer año.
Programa conexión de descuentos en productos y servicios para familiares y amigos.
Acceso a sistemas de retribución flexible con beneficios fiscales. ¡Obtén más beneficio de tu nómina!
Formación técnica.
Formación gratuita de inglés.
Inmejorable ambiente de trabajo.
Opciones reales de desarrollo de carrera profesional en un grupo de empresas multinacional.
Día extra de vacaciones en tu 10º aniversario en la compañía.
Plan de wellbeing empresarial del año en curso (2025).
Ayudas a la discapacidad.
Equiparamos la pareja de hecho al matrimonio.
Mindfulness.
EAP: Asesoramiento para las personas de compañía y sus familias en áreas legales, familiares, bienestar...pensada para ti y los tuyos. Incluye 6 sesiones de psicólogo y 6 sesiones de coaching professional.
QUÉ OFRECEMOS

En Bridgestone, lo que realmente importa es fomentar las oportunidades de creación y desarrollarte para ser creativo y curioso para hacer que la movilidad sea más segura, más eficiente y más sostenible para las generaciones futuras. Sea cual sea la función que desempeñes, cuando representas a Bridgestone, eres un compañero/a de equipo valioso, y parte de nuestra misión más amplia de «Servir a la Sociedad con Calidad Superior», por ello, te ofrecemos algo más que un salario competitivo; te proporcionaremos:

Una experiencia de incorporación positiva y atractiva para garantizar una transición fluida a nuestro equipo.
La oportunidad de desarrollarse y crecer, a través de la formación y desarollo.
Actividades de responsabilidad social corporativa.
Un entorno de trabajo verdaderamente global, dinámico y estimulante.
Agilidad y eficacia en el trabajo y tu bienestar a largo plazo.
Un equipo diverso e integrador.

Nos comprometemos a crear una cultura aún más integradora que fomente la equidad, acoja la individualidad y ayude a prosperar a nuestros cada vez más diversos compañeros/as de equipo, clientes y comunidades, ofreciendo igualdad de oportunidades en el empleo. Esto significa que todos los solicitantes de empleo recibirán el mismo trato y que no discriminaremos por motivos de sexo, estado civil, etnia, color, nacionalidad, origen nacional, discapacidad, orientación sexual, religión o edad.",Tarragona,Todos
Conductor transportista,"ALIMENTBARNA,S.L.",Reus,2 mil € (Proporcionado por la empresa),+ 30 d,"3,0","Estamos en la búsqueda de un conductor profesional con carnet C+E para incorporación inmediata.

Requisitos:

Carnet de conducir C+E vigente
CAP y tarjeta tacógrafo digital en regla
Experiencia demostrable en conducción de tráiler
Responsabilidad, puntualidad y compromiso con el trabajo

Ofrecemos:

Contrato estable y buen ambiente laboral
Sueldo competitivo según convenio
Posibilidad de incorporación inmediata

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 2.000,00€ al mes

Ubicación del trabajo: Empleo presencial",Tarragona,Todos
Technical Operator,Essity,España,No especificado,+ 30 d,"3,0","Acerca del rol

Operario/a técnico/a de una línea de producción para productos de higiene, fabricando productos de acuerdo a las especificaciones fijadas y los procedimientos operativos estándar. Como miembro del equipo de turno, el/la Technical Operator es responsable del funcionamiento de la máquina.

Estamos buscando personas que personifiquen nuestros valores, no tengan miedo de desafiar, innovar, experimentar y moverse a un ritmo rápido. Siempre estamos buscando formas de mejorar nuestros productos y a nosotros mismos. Si es usted, nos encantaría hablar.

Responsabilidades del puesto

Cumplir las normas de seguridad de Essity.

Asegurar que el nivel de calidad es acorde con las especificaciones de los productos mediante la realización de pruebas periódicas.

Asegurar que los productos que no cumplen las especificaciones son rechazados o bloqueados.

Ejecutar los diferentes estándares generados en la unidad mediante el DDS: SOP, CIL, Center Lining, especificaciones, ejecución de órdenes preventivas (SAP), etc.

Reparación de la máquina en acciones de mantenimiento correctivo.

Supervisar y colaborar activamente en el cambio de formato, mantenimiento, pruebas y otras actividades técnicas.

Preparar las materias primas y su colocación en la máquina de acuerdo a los estándares establecidos.

Mantener una comunicación correcta en el cambio de turno (anterior y posterior).

Mantener una comunicación correcta con otras personas que intervienen en el funcionamiento de la máquina.

Participar en la introducción y reporte de los datos que se generen durante la producción.

Trabajar de acuerdo a los programas de desarrollo del personal (121).

Quién eres

Experiencia en entorno industrial

Ciclo formativo de grado superior (mecatrónica, etc…)

Valorable Conocimiento de ingles

Programas ofimaticos (word y excel)

Programa de gestión de mantenimiento SAP

Experiencia en soldadura

Experiencia con herramientas de diagnosis preventiva

Competencias

Orientado a la acción
Enfoque en el cliente
Habilidades funcionales / técnicas
Integridad y confianza en las relaciones de compañeros/as
Aprendizaje día a día
Resolución de Problemas
Auto-conocimiento
Gestión del tiempo

Qué te ofrecemos

En Essity, creemos que cada carrera es tan única como el individuo/a y capacitamos a los empleados para alcanzar su máximo potencial en una cultura ganadora motivada por un poderoso propósito.
Ambiente de trabajo colaborativo y afectuoso | Empoderamiento | Impacto laboral | Trabajar con un propósito poderoso | Aprendizaje individual y desarrollo | Salud y seguridad | Responsabilidad social | Innovación

Essity es un empleador que ofrece igualdad de oportunidades. Todos los aspectos del empleo, incluida la decisión de contratar, promover, disciplinar o despedir, se basarán en el mérito, la competencia, el desempeño y las necesidades comerciales. No discriminamos por motivos de raza, color, religión, edad, discapacidad física o mental, embarazo, orientación sexual. Buscamos reclutar, desarrollar y retener a las personas más talentosas de un grupo diverso de candidatos/as.

Application End Date:

30 mar 2026
Job Requisition ID:
Essity257318",Tarragona,Todos
Conductor (H/M/D) /Tortosa,ILUNION,Tortosa,No especificado,+ 30 d,"3,0","¿Te gustaría trabajar en una empresa que apuesta por los retos y la superación?

En ILUNION TextilCare hacemos mucho más que gestionar textiles: construimos un entorno donde cada persona cuenta y puede marcar la diferencia. Somos una compañía consolidada y líder en el sector de lavandería industrial especialista en servicios hospitalarios, hoteleros y de uniformidad laboral. Con más de 6.800 compañeros/as y 45 plantas en España, Portugal y Colombia, trabajamos cada día para crear un impacto social y ambiental que trascienda.

Si buscas un lugar donde crecer, sentirte valorado y aportar al bienestar de las personas y el planeta, este es tu sitio. En ILUNION TextilCare te ofrecemos la oportunidad de ser parte de un equipo diverso, comprometido y con propósito.

¡Únete a nosotros y transforma el mundo con tu talento!

¿Cómo será tu día a día?

Como parte de nuestro equipo, tu función principal será asegurarte de que cada entrega cumpla con los más altos estándares de calidad y puntualidad. Desde la recogida de ropa hospitalaria, hotelera y de uniformidad laboral hasta su entrega impecable, te enfocarás en cada detalle del proceso logístico para garantizar que las prendas lleguen en perfectas condiciones y a tiempo teniendo en cuenta:

El cuidado en el transporte
La gestión eficiente del proceso logístico.
El compromiso con la calidad y la seguridad

Lo harás muy bien en este puesto si tienes:

Ganas de aprender y desarrollarte dentro del sector.
Actitud positiva y compromiso para trabajar en equipo.
Contar con al menos 1 año de experiencia como conductor/a de vehículos pesados te permitirá adaptarte rápidamente a nuestro equipo.
Valorable disponer de carnet de conducir B y vehículo propio.
Disponer del carnet C, CAP vigente y curso de tacógrafo digital.
Valorable disponer de Certificado de Discapacidad igual o superior al 33%, Incapacidad Permanente o Certificado de Exclusión Social.

Las ventajas de ser parte de nuestra familia:

Entorno inclusivo y diverso: Aquí, cada voz cuenta. Valoramos la diversidad y el trabajo en equipo, y fomentamos un ambiente de respeto y colaboración.
Oportunidades de desarrollo profesional: Apostamos por tu crecimiento con formación continua y oportunidades de avance dentro de la empresa.
Equipo comprometido y solidario: Formarás parte de un equipo que trabaja unido para lograr objetivos comunes, con un ambiente de trabajo cálido y cercano.
Programa Ayuda al Empleado (PAE) donde se ofrece ayuda psicológica al empleado y a sus familiares de primer grado 24 horas al día, 7 días de la semana.
Obtención de la ""tarjeta +ONCE"" con numerosos descuentos.
Beneficios sociales a partir del año (Ayudas comedor escolar, Ayudas compra de gafas, Ayuda a la compra de dispositivos electrónicos, etc.) que mejoran tu experiencia laboral.

¿Está vacante te entusiasma? ¡Inscríbete ahora! Y si piensas que hay alguien más a quien podría interesarle, recuerda: ¡La generosidad es un valor incalculable!

Tipo de puesto: Jornada completa

Horario:

Disponibilidad fin de semana
Turno rotativo

Retribución complementaria:

14 pagas
Plus domingos y festivos

Preguntas para la solicitud:

¿Dispones del carnet C, CAP y Tacógrafo?

Ubicación del trabajo: Empleo presencial",Tarragona,Todos
Comercial de Ventas [Alarmas y Sistemas de Seguridad],Sector Alarm,Tarragona,No especificado,+ 30 d,"3,0","¿Quieres formar parte de una de las mejores empresas para trabajar en España reconocida por Great Place To Work?

Sector Alarm es una empresa multinacional noruega líder en soluciones de seguridad, presente en más de 8 países europeos y con miles de clientes protegidos. Apostamos por el talento, la promoción interna y el desarrollo profesional a largo plazo

Buscamos Agentes Comerciales para incorporarse a su equipo de ventas en Tarragona, especializados en la venta e instalación de alarmas y sistemas de seguridad para hogares y negocios

QUÉ TE OFRECEMOS

Contrato laboral a jornada completa (no trabajamos con régimen de autónomos)
Salario sin límite con altas comisiones
Formación constante y certificada + acompañamiento en tus primeras semanas
Plan de carrera real con posibilidades de promoción interna y desarrollo hacia puestos de gestión de equipos
Empresa reconocida como Great Place To Work durante 7 años consecutivos
Vehículo de empresa + Tarjeta de combustible + Eventos, viajes y premios…

FUNCIONES DEL PUESTO

Captación de clientes. Trabajo en calle a puerta fría
Asesoramiento personalizado a clientes sobre nuestros sistemas de seguridad
Visitas comerciales concertadas
Cierre de la venta
Instalación de los sistemas
Seguimiento de tu cartera de clientes

REQUISITOS IMPRESCINDIBLES

Carnet de conducir tipo B (en vigor y válido en España)
Disponibilidad para trabajar a jornada completa (40h) en turno partido (mañana y tarde).
Residencia en Tarragona o alrededores
Permiso de trabajo en vigor

VALORAMOS POSITIVAMENTE

Actitud comercial
Habilidades comunicativas
Poractividad
Actitud Positiva/Ambicion
Orientación a objetivos

Si ya habías aplicado anteriormente y no nos hemos puesto en contacto contigo, vuelve a aplicar. Recibimos un volumen muy alto de candidaturas y a veces nos es imposible revisarlas todas.",Tarragona,Todos
Comercial con perfil de gestión de personas para empresa de limpieza,Blazingarts,Tarragona,18 mil € - 22 mil € (Proporcionado por la empresa),9 días,"3,0","En BlazingArts, nos especializamos en brindar servicios de consultoría empresarial personalizados, centrándonos en la selección de personal para empresas del sector de servicios de limpieza.

Estamos buscando un Responsable de Área con perfil de comercial y de gestión de personas para unirse al equipo de uno de nuestros clientes, una empresa de Servicios de Limpieza del área de Tarragona.

Tareas

Desarrollar e implementar estrategias comerciales para expandir la cartera de clientes en el sector de servicios de limpieza.
Gestionar y coordinar procesos de selección de personal para cubrir necesidades específicas de los clientes en el ámbito de limpieza.
Establecer y mantener relaciones sólidas con los clientes, asegurando un alto nivel de satisfacción y fidelización.
Colaborar con el equipo interno para optimizar los procesos de contratación y formación de personal, garantizando el cumplimiento de los estándares de calidad de la empresa.
Realizar análisis de mercado y monitorear las tendencias del sector para identificar oportunidades de negocio y mejorar la competitividad de la empresa.


Requisitos

Experiencia previa en gestión de equipos y procesos de selección, preferiblemente en el sector de servicios de limpieza.
Habilidades excepcionales de comunicación y negociación para establecer y mantener relaciones con clientes y colaboradores.
Capacidad para trabajar de manera autónoma y proactiva, demostrando liderazgo y toma de decisiones efectivas.
Conocimiento sólido de herramientas de gestión de recursos humanos y software de seguimiento de candidatos.
Disponibilidad para adaptarse a horarios flexibles según las necesidades del negocio.


Beneficios

Retribución de convenio + variable según objetivos.
Vehículo de empresa.
Flexibilidad de horarios y posibilidad de teletrabajo.


Únete a nuestro cliente como Responsable de Área y crece con nosotros. ¡Forma parte de nuestro equipo innovador y comprometido!",Tarragona,Todos
