Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
PROFESOR REFUERZO ESO Y BACHILLERATO CIENCIAS,FLO SERVICE FORMACION,Teruel,No especificado,+ 30 d,"4,0","Se busca persona joven y dinámica, estudiante universitario, para dar refuerzo de TODAS las asignaturas de ESO, y Bachillerato (CIENCIAS, se valorará que pueda dar clase de matemáticas física y química) cuantas más asignaturas pueda dar mejor por el número de horas y clases, enviar CV indicando las materias que pueden ser dadas. Meses junio, julio, agosto y con posibilidad de continuar durante el próximo curso académico. Lo puedes compatibilizar con otros trabajos y estudios. Buen ambiente de trabajo.

Tipo de puesto: Temporal

Ubicación del trabajo: Empleo presencial",Teruel,Todos
Monitora de ocio y tiempo libre,FLO SERVICE FORMACION,España,No especificado,30 días,"4,0","Empresa de gestión de servicios selecciona candidatos para cubir el puesto de MONITOR DE TIEMPO LIBRE en ALCAÑIZ. Buscamos una persona apasionada de los niños y adolescentes que les guste desarrollar con ellos actividades para promover el ocio saludable. con experiencia. Seriedad, responsabildad, ganas de trabajar y comprmiso.

Tipo de puesto: Media jornada

Beneficios:

Cesta de navidad
Coche de empresa
Cursos de idiomas ofertados
Formación en certificaciones profesionales
Jornada intensiva en verano
Opción a contrato indefinido
Ordenador de empresa
Programa de formación
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Teruel,Todos
"️ Técnico/a de Mantenimiento Industrial | Entorno Natural y Contrato Indefinido – Agua de Bronchales (Bronchales, Teruel)",Importaco,España,No especificado,24 horas,"4,0","¿Te gustaría trabajar en un entorno tranquilo, rodeado de naturaleza y con un equipo que confía en ti desde el primer día?

En Agua de Bronchales (Teruel) desarrollar tu carrera técnica en una planta moderna y automatizada, orientada a la calidad y al cuidado del entorno.

Valoramos tus ganas de aprender, actitud y compromiso. Desde el inicio contarás con formación en planta, apoyo del equipo y contrato indefinido.

¿Qué te ofrecemos?

Entorno rural y natural, con calidad de vida y tranquilidad.

Formación continua y aprendizaje práctico en planta.

Equipo cercano y colaborativo, con buen ambiente.

Turnos y calendario planificados, con rotación de mañana, tarde y noche. Haciendo 6 días de trabajo + 3 de descanso; 6 días de trabajo + 3 de descanso; 6 días de trabajo + 6 días de descanso.

Contrato indefinido desde el inicio.

Comedor equipado y pago puntual el último día laborable del mes.

Tecnología y automatización, con acompañamiento para aprender paso a paso.

Mejora continua, tus ideas se escuchan y se valoran.

¿Qué te ayudará a encajar?

FP II o Grado Superior en Electricidad, Mecánica Industrial, Mantenimiento Electromecánico o Mecatrónica.

Conocimientos básicos en automatismos, neumática, electrónica o PLC (no excluyente).

Manejo básico de Word y Excel.

Actitud proactiva, ganas de aprender y compromiso con la zona.

Tu misión

Garantizar el buen funcionamiento de las instalaciones y líneas de proceso mediante mantenimiento correctivo y preventivo, proponiendo mejoras y asegurando un uso eficiente de los recursos.

Da el siguiente paso

Si te motiva la tecnología, buscas estabilidad y quieres crecer en un entorno natural y colaborativo, inscríbete ahora y empieza tu futuro profesional en Agua de Bronchales.",Teruel,Todos
Operario de Almacén y Taller (m/f/d),Talent Search People,Teruel,No especificado,6 días,"4,0","Lo que disfrutas haciendo

Garantizarás el buen funcionamiento de los equipos y realizarás el mantenimiento necesario para ponerlos a disposición del equipo técnico-sanitario
Realizarás las tareas de limpieza y reprocesado de los equipos, reparación siguiendo los procedimientos de Calidad de la CompañíaTe responsabilizarás del almacenamiento, Custodia y control de stock de los Equipos y Materiales necesarios para el normal desarrollo de la actividad
Realizarás los Inventarios parciales y o permanente que se establezcan
Te encargarás de confirmar las Recepciones y envíos de los distintos productos a los destinos que se especifiquen
Asegurarás el cumplimiento de los objetivos de Calidad y de Seguridad y Ley Orgánica de Protección de datos en su área de influencia
Asegurarás una buena rotación del stock de acuerdo con el principio FIFO (First Expiring-First Out, primero que caduca-primero que sale)
Coordinarás y conciliarás los pedidos semanales con el personal de almacén central y registro de la información en el sistema
Colaborarás en la gestión de incidencias por entregas con agencias de transportes
Realizarás carga y descarga de equipos recepcionados en el almacén
Participarás activamente en los procesos de digitalización y automatización de tareas, contribuyendo a la evolución de la empresa hacia la transformación digital

Lo que te hace ser excepcional

Dispones de carnet de manejo de carretillas y tienes experiencia en el manejo de la carretilla frontal (imprescindible)
Conocimientos y experiencia en gestión de stocks y almacenes
Sabes manejar paquete Office a nivel usuario
Valorable si tienes Formación Profesional en electrónica y/o mecánica o experiencia en puestos similares
Valorable experiencia en reparación de equipos electrónicos (especialmente médicos)
Eres una persona con capacidad para adaptarte a nuevas herramientas y tecnologías
Puedes recopilar, interpretar y utilizar datos de forma eficaz, impulsando la transformación digital

El puesto de trabajo ofertado es jornada completa y contrato temporal. El horario de trabajo será de 08:00 hrs a 17:30 hrs de Lunes a Jueves y de 08:00 hrs a 14:00 hrs los Viernes.

Tipo de puesto: Jornada completa

Beneficios:

Jornada intensiva los viernes

Preguntas para la solicitud:

¿Te interesa un contrato de duración determinada?

Licencia/Certificación:

Carnet de carretillero (Obligatorio)

Ubicación del trabajo: Empleo presencial",Teruel,Todos
MONITOR DE ACTIVIDADES DIRIGIDAS,FITNESS,España,No especificado,+ 30 d,"4,0","Se precisa incorporar en plantilla un monitor polivalente para clases dirigidas, pilates, Zumba o baile y b. pump. Empleo estable. Jornada 30 horas. Salario por encima de convenio. Enviar curriculum a premiumfitness @hotmail.es

Tipo de puesto: Contrato indefinido

Experiencia:

Monitor: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Teruel,Todos
RECURSO PREVENTIVO PARA PLANTA LOGÍSTICA,"LOGOS SEGURIDAD Y PREVENCIÓN EXTREMEÑA, S.L.",Teruel,2 mil € (Proporcionado por la empresa),24 horas,"4,0",N/A,Teruel,Todos
Masajista y Camarero (20h semanales cada puesto),Hotel Torre del Marqués,España,24 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Hotel Torre del Marqués 5* (Small Luxury Hotel), ubicado en Monroyo (Teruel) busca incorporar a su equipo un/a profesional que combine funciones de Masajista y Camarera/o de sala. Se ofrece la oportunidad de trabajar en un entorno de lujo, contribuyendo al bienestar de los huéspedes y al correcto funcionamiento administrativo del hotel.

Función Principal:

Masajista:

Proporcionar tratamientos de masaje de alta calidad, personalizados para cada cliente, asegurando una experiencia de bienestar satisfactoria y relajante, acorde con los estándares de calidad del hotel.

Camarera/o:

Realizar la puesta a punto y asistencia en el servicio de alimentos y bebidas en el hotel para ofrecer una experiencia personalizada y satisfactoria a cada cliente, siguiendo los estándares de calidad del hotel.

Funciones y Responsabilidades:

Masajista:

- Realizar una amplia gama de tratamientos de masaje según las necesidades y preferencias de los huéspedes.

- Preparar y mantener la sala de masajes y el equipo necesario en perfecto estado.

- Asesorar a los clientes sobre los tratamientos más adecuados para sus necesidades.

- Mantener un alto nivel de higiene y limpieza en el área de trabajo.

- Asegurar un ambiente de relajación y bienestar para los huéspedes, ofreciendo un trato personalizado y profesional.

Camarero/a

- Preparar la mise en place necesaria para el servicio.

- Realizar servicios de desayuno, comida o cena según las necesidades operativas del hotel, tanto en restaurante, bar como en servicios de banquetes.

- Participar en los montajes para eventos y banquetes.

- Satisfacer las necesidades de los huéspedes en lo relacionado con alimentos y bebidas, ofreciendo un trato excelente y personalizado.

- Mantener el área de trabajo según los estándares de orden y limpieza determinados por la empresa.

Se Ofrece:

- Horario: Jornada de 20h semanales como Masajista y 20h semanales como camarera/o.

- Alojamiento: Opcional.

- Tipo de contrato: Jornada completa, Fijo discontinuo.

- Horario: de lunes a domingo, con 2 días libres semanales rotativos.

- 23.500€

Requisitos:

- Idioma: español e inglés requerido

- Experiencia: Mínimo un año en funciones similares.

- Masajista: 1 año mínimo, titulación necesaria.

- Camarero/a: 1 año (Deseable).

- Ubicación: Empleo presencial en Monroyo, Teruel.

- Vehículo propio IMPRESCINDIBLE

Tipo de puesto: Jornada completa

Sueldo: 23.500,00€ al año

Preguntas para la solicitud:

¿Tienes coche?

Ubicación del trabajo: Empleo presencial",Teruel,Todos
Personal de atención al cliente-auxiliar administrativo/a,Domestiko,España,No especificado,22 días,"4,0","Se busca personal para atención al cliente y tareas administrativas en Teruel.

Es necesario contar con formación profesional de grado medio o superior en Administración o Actividades Comerciales. También se tendrán en cuenta perfiles con estudios universitarios en Administración de Empresas y Turismo. Es imprescindible disponer de carnet de conducir tipo B para desempeñar las funciones.

Las responsabilidades incluirán la atención al público, tanto por teléfono como en persona, la gestión de la documentación propia del local y el control de accesos. El puesto ofrece un contrato indefinido a tiempo parcial, con una jornada de 20 horas semanales distribuidas de 10:00 a 14:00. El salario se determinará en función de la experiencia y valía del candidato.",Teruel,Todos
Recepcionista de hotel,Domestiko,España,No especificado,+ 30 d,"4,0","Se busca Recepcionista de Hotel para trabajar en Teruel.

Se valorará que tengas formación relacionada con Turismo o administración de empresas, ya que te aportará conocimientos útiles para el puesto.

El contrato ofrecido es de tipo indefinido, con una jornada de trabajo completa.",Teruel,Todos
Administrativo/a (sector publico),Domestiko,España,25 mil € (Proporcionado por la empresa),16 días,"4,0","Se necesita personal administrativo para trabajar en Teruel. Las funciones principales incluyen la gestión de comunicaciones, tanto presenciales como telefónicas y por correo. También se encargará de la recogida, entrega y tratamiento telemático de documentación, así como del análisis y comprobación de la misma.

El puesto implica apoyo en la gestión documental y administrativa general, incluyendo la redacción de informes y la actualización de archivos. Se requerirá la generación de expedientes electrónicos, la coordinación y seguimiento de trámites, y la elaboración y registro de diversa documentación administrativa. Además, se resolverán incidencias y se gestionarán agendas, calendarios y reuniones.

Los requisitos son contar con Bachiller o Ciclo Formativo de Grado Superior, conocimiento a nivel de usuario de Word y Excel, y una experiencia mínima de 12 meses en puestos administrativos o de gestión documental. Se ofrece un contrato temporal, jornada completa y una incorporación inmediata. El salario bruto anual es de 25.126 euros.",Teruel,Todos
