Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
TECNICO DE MANTENIMIENTO EN TOLEDO,THe Hoteles,Toledo,1 mil € (Proporcionado por la empresa),+ 30 d,"4,0","TÉCNICO DE MANTENIMIENTO PARA HOTEL EN CASTILLA LA MANCHA

Tipo de puesto: Jornada completa

Horario:

Mañana

Educación:

FP Grado Medio (Deseable)

Experiencia:

Mantenimiento industrial: 1 año (Obligatorio)
Pintor
Reparaciones Básicas de fontanería.
Conocimientos básicos de electricidad.
Experiencia minima de 2 años en Mantenimiento

Coche Propio (Obligatorio por ubicación)

Ubicación del trabajo: Empleo presencial

Fecha de inicio prevista 1 /02/ 2026

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 1.250,00€ al mes

Beneficios:

Flexibilidad horaria

Educación:

FP Grado Medio (Obligatorio)

Experiencia:

Mantenimiento industrial: 1 año (Obligatorio)
Mantenimiento: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Toledo,Todos
Mozo de almacén,Grupo Yonhoo,España,1 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Se busca mozo de almacén para cubrir una vacante con contrato temporal durante un festival, con posibilidad de transición a contrato indefinido. Se valorará compromiso y disponibilidad inmediata. Excelente oportunidad para formar parte de un equipo dinámico y con proyecciónExperiencie previa como mozo de almacen.

Varolable carnet carretillero

Funciones:

-Preparacion de pedidos.

-Hacer inventariado.

-Mantener en orden las mercancias y las instalaciones.

Tipo de puesto: Jornada completa, Indefinido

Salario: 1.200-1400 € al mes bruto

Tipo de puesto: Jornada completa, Contrato temporal

Sueldo: 1.200,00€-1.400,00€ al mes

Beneficios:

Eventos de la empresa

Ubicación del trabajo: Empleo presencial",Toledo,Todos
Contable,Dismat,España,No especificado,12 días,"4,0","Empresa sector materiales de construccion solicita una persona para cubrir un puesto de contable.

Imprescindible conocimientos solidos de contabilidad, cierres, impuestos, asientos contables, etc. También se incorporará a tareas de gestión, almacenes, stocks, etc.

Con conocimientos de operativa financiera y bancos.

Se valorará conocimiento del programa KRITER

Se requiere Incorporacion inmediata.

Jornada completa de Lunes a Viernes. Contrato indefinido y salario a convenir.

Tipo de puesto: Jornada completa

Educación:

Diplomatura/Grado (Deseable)

Experiencia:

Contabilidad: 3 años (Deseable)
Programa de contabilidad, Contaplus u otros: 3 años (Deseable)

Ubicación del trabajo: Empleo presencial",Toledo,Todos
Recepcionista Hotel PART TIME de Hotel TOLEDO - Fines de semana y días sueltos,HOTELES BESTPRICE,Toledo,No especificado,2 días,"4,0","HOTELES BESTPRICE desea incorporar recepcionista de Hotel. Jornada PART TIME de fin de semana y posibles días sueltos entre semana según horarios de clases. REQUISITO: SER ESTUDIANTE que quieran compaginar sus estudios con el trabajo.

Buscamos personas con mucha orientación y pasión por la excelencia al servicio al cliente, motivación, compromiso, iniciativa y ganas de formar parte de un estupendo equipo.

FUNCIONES PRINCIPALES

Atender al cliente antes de su llegada (reservas, solicitud de información, etc.)
Atender al cliente en su llegada (check-in, transporte de maletas y bultos, etc.)
Gestión de la plataforma de reservas y gestión de plataformas de reservas tipo BOOKING.
Atender al cliente durante su estancia (entrega mensajes, servicio despertador, gestión de quejas y sugerencias, servicio de caja fuerte, reserva de entradas, etc.)
Atender al cliente en su salida (check-out, reserva de taxi, etc.)
Dar soporte en la atención al cliente después de su salida (encuestas de satisfacción, envío de información, etc.)
Realizar todas aquellas tareas internas de soporte que derivan de la atención al cliente durante todo el proceso (hacer caja, registro de incidencias, actualización de los datos del sistema, control de producción, etc.)
Coordinar con el departamento de pisos preparación y salida de habitaciones.
Rellenar libro de incidencias

Flexibilidad horaria , capaz de realizar turnos de mañana, tarde y esporádicamente alguna noche.

Inglés fluido.
Valorable otros idiomas
Herramientas informáticas
Ofimática (word, excel)

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 700,00€-1.200,00€ al mes

Experiencia:

Recepción: 1 año (Deseable)

Idioma:

Inglés (Obligatorio)

Ubicación del trabajo: Empleo presencial",Toledo,Todos
Cajero/a - Reponedor/a 20h (M/F/D),TEDi,España,No especificado,+ 30 d,"4,0","Cajero/a - Reponedor/a 20h (M/F/D)

¡Tu Talento Brilla en TEDi! ¿Listo para una Aventura en Retail?

En TEDi, el crecimiento es parte de nuestro ADN y las oportunidades están a cada paso. Con más de 320 tiendas en España y 3.200 en el mundo, ¡no solo crecemos, transformamos el mercado!

Si te apasiona la decoración, el menaje del hogar, la papelería o eres un entusiasta de proyectos creativos, TEDi es el lugar perfecto para ti. Aquí, tu imaginación no tiene límites y cada día es una ocasión ideal para hacer la vida más fácil y divertida.

Tareas a realizar:
Gestionar la caja y ofrecer una experiencia de compra excepcional.
Organizar, presentar y mantener impecable la tienda y sus productos para que brillen.
Participar activamente en la gestión de mercancía y promociones.
Perfil:
Si tienes experiencia en retail (mínimo 2 años) o formación en comercio, ¡ya tienes un punto extra!
Te encanta el trato con el cliente y sabes cómo hacer que su visita sea especial.
Eres una persona comprometida, autónoma y con capacidad para resolver desafíos con una sonrisa.
Disponibilidad para trabajar en turnos rotativos (mañanas, tardes, fines de semana).
Qué te ofrecemos:
Contrato de duración determinada a jornada parcial (20h).
Descuentos exclusivos en todos nuestros productos (¡para que tu casa sea la más TEDi!).
Formación continua para que nunca dejes de aprender y crecer.
Oportunidades reales de crecimiento y desarrollo profesional.
Un ambiente de trabajo dinámico, divertido y con un equipo que te apoya.

Esta oferta garantiza la igualdad de oportunidades a todas las candidaturas sin distinción de reza, etnia e ideología, religión, sexo, origen nacional, edad, orientación sexual, identidad de género, o cualquier otra característica.

Contacto / Persona de contacto:",Toledo,Todos
Agente de Reservas,Puy du Fou,Toledo,No especificado,8 días,"4,0","En Puy du Fou España nuestro objetivo es emocionar a todos nuestros visitantes. El equipo de Puy du Fou España está compuesto por más de 100 oficios, buscando siempre conseguir lo mejor de cada persona.

Hacer posible lo imposible es nuestra motivación.


Envía tu currículum a rhespana@puydufou.com



Agente de Reservas

Estamos en búsqueda de un/a Agente de Reservas para unirse a nuestro equipo de recepción de llamadas. Para nosotros este equipo es fundamental, ya que es el primer contacto que tiene el visitante con nosotros, por lo que es fundamental que esté en coherencia con la experiencia que posteriormente van a vivir en el parque.

Funciones:
Dar respuesta a aquellas dudas que puedan tener visitantes sobre la visita que ya tienen planificada con nosotros y a aquellos posibles visitantes que aún no tienen el pase pero que están valorando el poder venir a visitarnos.
Apoyo al resto del equipo para mejorar la capacidad de respuesta ante picos importantes de recepción de llamadas.
Atención e información telefónica.
Ofrecer una experiencia completa y adaptada a los diferentes visitantes que llamen, de forma que se les pueda ofrecer otros productos que complementen su visita (Venta Cruzada)
Formación y Experiencia:
Estudios mínimos: Bachillerato
Experiencia mínima: No requerida
Conocimientos necesarios: inglés a nivel de conversación. Valorable francés.

Si deseas ser parte de un equipo comprometido, envía tu CV a rhespana@puydufou.com con el asunto: “CV AGENTE DE RESERVAS”.",Toledo,Todos
Cuidador de animales,Puy du Fou,Toledo,No especificado,+ 30 d,"4,0","En Puy du Fou España nuestro objetivo es emocionar a todos nuestros visitantes. El equipo de Puy du Fou España está compuesto por más de 100 oficios, buscando siempre conseguir lo mejor de cada persona.

Hacer posible lo imposible es nuestra motivación.


Envía tu currículum a rhespana@puydufou.com



Cuidador de animales

En Puy du Fou España buscamos una persona para unirse como Cuidador de animales para velar por el bienestar, cuidado diario y correcto manejo de los animales del parque, garantizando unas condiciones óptimas de higiene, alimentación y salud, de acuerdo con los protocolos establecidos y bajo la supervisión del responsable del área.

Funciones:
Cuidado diario de los animales.
Limpieza y mantenimiento de recintos, corrales y zonas de estancia de los animales.
Preparación y suministro de dietas específicas según la especie, edad y necesidades de cada animal.
Control del estado de salud y comportamiento de los animales, detectando posibles signos de estrés, enfermedad o lesiones.
Colaboración en el manejo básico de los animales durante traslados, revisiones o tareas rutinarias.
Apoyo en la aplicación de protocolos de bienestar animal.
Formación y Experiencia:
Formación en cuidado y manejo de animales (ganadería, zootecnia, auxiliar veterinario/a, bienestar animal u otros similares).Actividades auxiliares de ganadería
Se valorará experiencia en el cuidado de animales y mantenimiento de instalaciones similares
Capacidad física y de observación

Si deseas ser parte de un equipo comprometido, envía tu CV a rhespana@puydufou.com con el asunto: “CV Cuidador de animales”.",Toledo,Todos
VENDEDOR/A,JYSK,Illescas,No especificado,+ 30 d,"4,0","Descripción de la empresa


JYSK es la marca de muebles, decoración y sistemas de descanso de origen escandinavo por excelencia. Desde que abrimos nuestra primera tienda en Dinamarca en 1979 no hemos parado de crecer, y hoy, con más de 3500 tiendas, estamos presentes en más de 50 países a nivel mundial. En JYSK queremos seguir creciendo y, para ello, necesitamos a los mejores en nuestro equipo.


Descripción del empleo


¿Te entusiasman las ventas? ¿Quieres proporcionar el mejor servicio al cliente de JYSK en España junto con tu equipo? ¿Te gusta la variación y un ritmo de trabajo dinámico?

¡Entonces puedes ser el Vendedor que estamos buscando!

QUÉ TE OFRECEMOS

Te ofrecemos la oportunidad de unirte a una empresa de distribución que escucha a sus colaboradores y se esfuerza cada día para ser un excelente lugar para trabajar. Somos dinámicos y tu desarrollo es crucial para nosotros. Además, como embajador de JYSK, obtienes lo siguiente:

Contrato indefinido a 30 horas semanales
Oportunidades para tu crecimiento y desarrollo: nuestro objetivo es que el 80% de nuestros futuros managers provengan de la promoción interna. Descubre más aquí.
Concursos internos entre tiendas con atractivos premios
Bonificaciones competitivas que premian los grandes resultados de ventas
Un horario de trabajo flexible
15% de descuento en todas las tiendas JYSK
Seguro de salud privado, fiesta anual, actividades internas (participación en eventos patrocinados como carreras, voluntariados, etc.)

CÓMO SERÁ TU TRABAJO EN JYSK

Serás responsable de las ventas en la tienda: ofrecerás a nuestros clientes el mejor servicio con una sonrisa
Garantizarás que la tienda esté 100% limpia y repuesta de nuestros productos
Participarás en el proceso de recepción de la mercancía y su correcta gestión y almacenaje
Tendrás la oportunidad de especializarte en tu propia área en la tienda

Conoce a uno de nuestros Sales Assistant y aprende cómo somos como empleador aquí.

QUÉ DEBES TRAER

Disfrutas hablando con los clientes y les proporcionas la mejor experiencia de compra que puedan imaginar
Estar en movimiento es parte de tu día a día, y no tienes problema en asumir tareas físicas como mover productos o preparar pedidos.
Eres un buen compañero para tu equipo: juntos os esforzáis para conseguir grandes resultados
Te gusta la variedad y eres flexible: tanto en las tareas como en los horarios
Tienes disponibilidad para trabajar en horarios rotativos
Estudios de Educación Secundaria Obligatoria o superiores

Información adicional


Proceso de selección en España:

Procesamos las solicitudes de forma continua y completamos la contratación cuando encontramos al candidato adecuado
Revisaremos tu candidatura en el plazo de 1 semana (días laborables)
Si tiene éxito, te enviaremos un link para que respondas a algunas preguntas en vídeo
A continuación, te haremos una breve entrevista telefónica
En caso de que superes todas las fases anteriores te invitaremos a una entrevista presencial

SOBRE NOSOTROS

Creemos que nuestros colaboradores son la clave de nuestro éxito, pasando de una tienda en 1979 a más de 3500 tiendas en todo el mundo en la actualidad. Por eso nos esforzamos en ofrecer desarrollo y posibilidades de crecimiento dentro de JYSK, y también nos sentimos orgullosos de premiar el compromiso y el gran esfuerzo de nuestros colaboradores. Nuestros tres valores fundamentales JYSK: comerciante, compañero y espíritu corporativo, expresan el comportamiento y la actitud que esperamos de cada persona en JYSK. Confiamos unos en otros, y creemos en la delegación y la libertad con responsabilidad.

JYSK quiere incluir a todos, sin importar la edad, la identidad de género, la raza,la etnia, la orientación sexual, la capacidad física o mental. Juntos, aseguramos nuestra cultura inclusiva que anima, apoya y celebra las diversas voces de nuestros colaboradores. Porque una gran mezcla de mentes, talentos y personalidades únicas nos hace un equipo más fuerte.

Para más información, por favor visita nuestra página de carrera

Conoce cómo tratamos tus datos en nuestra Política de Privacidad.",Toledo,Todos
Peon,Domestiko,España,18 mil € (Proporcionado por la empresa),19 días,"4,0","Se precisa incorporar a personal para realizar tareas de peón en el área de producción. Las funciones principales incluirán la introducción de órdenes de fabricación en el sistema informático, siguiendo los procedimientos establecidos.

El puesto también contempla la selección de referencias, cantidades y parámetros básicos de producción. Será necesario verificar que los datos introducidos se correspondan con las órdenes de trabajo reales. Además, se realizará una supervisión básica del estado de la producción desde la cabina, prestando atención a alertas y mensajes del sistema.

Se solicitará comunicación inmediata al encargado ante cualquier error o incidencia. El candidato deberá mantener el puesto de trabajo ordenado y limpio, y registrar incidencias en el software o partes internos. También se deberá colaborar con el área de producción facilitando información básica sobre el estado de las órdenes. Se requiere manejo básico de ordenador para introducir datos y utilizar programas de producción.

El contrato es laboral temporal con una duración inicial de 6 meses, prorrogable. La jornada es completa, con un horario de 08:00 a 13:00 y de 15:00 a 18:00 horas, sujeto a acuerdo entre empresa y trabajador. El salario bruto anual es de 18.481,88 €.",Toledo,Todos
Gerente de Tienda_Provincia de Toledo,Lidl,España,27 mil € (Proporcionado por la empresa),23 días,"4,0","Introducción

Nuestro #teamlidl es competitivo y muy dinámico. Para saber más sobre cómo es trabajar en Lidl consulta nuestra página web de empleo: https://empleo.lidl.es/

¿Cómo será tu día a día?
Ser responsable del equipo de tienda: realizar la selección de personal, contratación, formación y desarrollo del equipo bajo la supervisión y colaboración del/de la Jefx de Ventas.
Gestionar la tienda, garantizando los estándares definidos por la compañía y el cumplimiento de los procedimientos en las tiendas.
Ser responsable de la disponibilidad de productos en tienda y la correcta contabilización de las mermas.
Garantizar un funcionamiento optimizado de la tienda.
Preparar y realizar la reunión de costes junto con el/la Jefx de Ventas.
Planificar de forma anual y mensual las ventas y productividad de la tienda.
¿Eres tú la persona que buscamos?
Formación Profesional de Grado Medio o equivalente.
Experiencia previa de más de un año en gestión de equipos.
Disponibilidad horaria para trabajar por turnos (horarios rotativos).
Orientación a personas y colaboradorxs, flexibilidad y trabajo en equipo.
Alta capacidad de organización, planificación y liderazgo.
¿Qué te ofrecemos?
Un contrato de jornada completa.
Te facilitamos formación teórico-práctica de 6 meses adaptada a tu puesto de trabajo, para que seas capaz de enfrentar cada reto con éxito. Tu plan de formación inicial incluirá estancias en diferentes tiendas y capacitaciones teórico-prácticas de desarrollo de diferentes habilidades y conocimientos técnicos relacionados con el área de ventas.
Jornada semanal de cinco días en lugar de seis, horario continuado y 6 fines de semana de calidad al año para una mejor conciliación.
Desde hace años garantizamos que cada minuto trabajado en Lidl se registra y se compensa.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar
nuestra página web de empleo: https://empleo.lidl.es/",Toledo,Todos
