Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Pizzero,Grupo Mandala,España,2 mil € (Proporcionado por la empresa),24 horas,"3,7","En Grupo Mandala buscamos Pizzaiolo con experiencia en la elaboración de pizzas y focaccias, con conocimiento del manejo de horno profesional. Buscamos a una persona comprometida, responsable y organizada.
Ofrecemos buen ambiente de trabajo en un equipo joven, incentivos y posibilidad de alojamiento (a coste reducido).

Tipo de puesto: Jornada completa

Sueldo: 1.500,00€-1.800,00€ al mes

Beneficios:

Opción a contrato indefinido
Uniforme proporcionado

Posibilidad de trasladarse/mudarse:

03720 Benissa, Alicante provincia: Desplazarse al trabajo sin problemas o planificar mudarse antes de comenzar a trabajar (Deseable)

Experiencia:

elaboración de pizzas: 2 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Valencia,Todos
Staff Digital Design Engineer (d/m/f),ams OSRAM,España,No especificado,20 días,"3,7","The CSA division supplies sensors that bridge the gap between the world we live in and the digital world of machines. By converting physical signals - heartbeats, sounds, light waves - into data, we enable robots, cars and other devices to interact with people and improve our world. What drives CSA is a relentless desire to contribute to technology and have a meaningful impact on the world. This business thrives on solving complex problems and partnering with global leaders at the forefront of technological advancement. Our goal: to push the boundaries of sensor technology and empower innovators to make the world smarter, healthier and happier.
Digital module requirements elaboration and capture in close collaboration with System/Digital Architects and Analog Design team members with regards to Analog-Digital interfacing
Develop digital block architecture under consideration of Automotive quality, testability and safety requirements (ISO26262)Digital RTL design implementation including: state machine design, synchronization, clock gating, low-power strategies, mixed-signal interfacing, static timing analysis (STA), design-for-test (DFT), clock-domain-crossing (CDC), etc.
Digital design verification on block and top-level (UVM environment) and fault injection simulations according ISO26262
Digital RTL synthesis using state-of-the-art tools, including DFT, low-power and safety requirements
Handover and collaboration with Digital Place & Route team, execute gate-level simulation
Conduct requirements/architecture/design reviews and generate relevant block design and sign-off documentation
Close collaboration on Design-for-Test strategy with Test Development Engineers to meet Automotive test coverage requirements. Support Test Development with ATPG pattern generation and simulation
Contributions to continuous improvement of digital design methodology, best practices, guidelines
Master’s degree in Electrical Engineering with an emphasis on Digital Integrated Circuit Design or equivalent
Professional experience of >3 years in digital IC front-end design covering aspects of architectural exploration, specification, modelling, timing analysis, design-for-test strategies and verification
Experience with advanced MCU/bus-system based digital architectures (e.g. ARM Cortex-M/AHB/AXI/etc.) is a plus
Experience with relevant coding languages and CAD tools used for digital IC design and verification (Verilog, System-Verilog, Synthesis, LINT, CDC, Static Timing Analysis, IR-Drop, ATPG, etc)
Experience with formal requirements management tools (e.g. Jama, Doors, ...)
Additional experience in following fields is a plus: Standard and automotive interfaces (I2C, SPI, SENT, PSI5, LVDS, etc.); ISO26262 functional safety concepts and implementation of digital safety mechanisms
Ability to perform digital design verification in a UVM environment is a plus
Proficiency in English (both oral and written) and excellent communication/listening skills
Collaborative and respectful team player, dedicated to team success
Exceptional team working attitude is a must",Valencia,Todos
Oficial electricista,Nomak servicios de Telecomunicaciones S.L,España,2 mil € (Proporcionado por la empresa),24 horas,"3,7","Necesitamos incorporar a nuestras Obras Oficiales con Conocimientos en Electricidad para Obras Industriales en Valencia, que tengan experiencia en el montaje de infraestructura como bandeja Rejiband y tubería de PVC....Ademas de Instalaciones de Circuitos Eléctricos, Cuadros Etc Etc..Contrato Indefinido y Salario según Cualificación ademas de Horas Incorporación Inmediata y contrato Indefinido..Obras de larga duración..

Tipo de puesto: Jornada completa

Sueldo: 1.500,00€-1.700,00€ al mes

Beneficios:

Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Valencia,Todos
CHAPISTA / PINTOR,Jose Jorro,España,No especificado,+ 30 d,"3,7","Se busca chapista y/o pintor para taller de carroceria ubicado en Benissa. Servicio Oficial Volkswagen, Seat, Skoda y Cupra.

OBLIGATORIO: Experiencia previa en el sector.

Incorporación inmediata.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Valencia,Todos
CHOFER CAMION BAÑERA,GRUPO HNOS FAS,Quart de Poblet,2 mil € (Proporcionado por la empresa),27 días,"3,7","Se necesita chofer con carnet C+E CAP , para camion bañera basculante de aridos. De lunes a viernes, de 7:30-17:00. Trayectos cortos. Jornada completa, contrato indefinido, incorporación inmediatal

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 2.000,00€-2.100,00€ al mes

Experiencia:

camión bañera: 5 años (Obligatorio)

Licencia/Certificación:

Carnet CAP (Obligatorio)
Carnet C +E (Deseable)

Ubicación del trabajo: Empleo presencial",Valencia,Todos
Técnico de camiones Les Alqueries (Castellón),DAF,España,No especificado,+ 30 d,"3,7","Técnico de camiones

¿Has trabajado como mecánico, técnico automotriz o incluso como mecánico de coches (o simplemente estás listo para un nuevo reto)? En DAF, damos la bienvenida a profesionales con una mentalidad técnica que quieran desarrollarse como técnico de camiones. Tener experiencia como mecánico de coches o técnico automotriz puede ser una gran base, pero lo que más importa es tu pasión por los camiones.

¿Estás ""Hecho para DAF""?

Perfecto, porque justo estamos buscando talento. En un concesionario DAF, trabajarás con camiones líderes del mercado para devolverlos a la carretera lo más rápido posible cuando requieran un mantenimiento y utilizarás los sistemas de taller más avanzados en vehículos equipados con tecnología de vanguardia. Si te gusta asumir responsabilidades, te invitamos a formar parte de un gran equipo en el concesionario DAF.

En función de tus conocimientos y experiencia actuales, y adaptado a los requisitos específicos del puesto, esto es lo que puedes esperar en tu trabajo diario:

Serás responsable de realizar diagnósticos rápidos y precisos utilizando herramientas de diagnóstico.
Trabajarás de forma independiente para realizar las tareas de mantenimiento y reparación de los vehículos y componentes DAF.
Realizarás diversas inspecciones (ITV, tacógrafo, etc.).
Ayudarás y asesorarás diariamente a los técnicos menos experimentados.
Realizarás las comprobaciones finales de los trabajos completados.

Esto es lo que estamos buscando:

Gente motivada para trabajar con camiones, ya sea en el taller o utilizando equipos de diagnóstico.
Gente motivada para desarrollar sus habilidades técnicas, como reparaciones de motores o solución de problemas eléctricos.
Gente motivada para aprender sobre la instalación de accesorios y la preparación de vehículos para la entrega.
Gente orgullosa de su trabajo, con una auténtica pasión por mantener los vehículos en las mejores condiciones.
Gente deseosa de mantener y ampliar sus conocimientos actualizados con los avances del sector.
Gente con una actitud positiva y entusiasmo por trabajar en equipo.
Valoramos la experiencia previa como mecánico de camiones, pero también damos la bienvenida a nuevos entusiastas.

¿Está DAF hecho para ti?

Esto es lo que garantizamos:

Responsabilidad individual y libertad de acción.
Salario competitivo y beneficios adicionales.
Muchas oportunidades de formación y posibilidades de promoción.

¿Estás hecho para DAF? Rellena el formulario que encontrarás en nuestro sitio web.",Valencia,Todos
Técnico/a de compra con Inglés Alto,Claire Joster,España,No especificado,29 días,"3,7","Presentación

Somos la firma global de talento: Selección, headhunting, formación y consultoría de Eurofirms Group.

En Claire Joster creemos en el talento único de cada persona y sabemos que la diversidad aporta valor a los equipos, impulsando organizaciones más innovadoras, creativas y eficientes. Por eso, como parte de Eurofirms Group, y de acuerdo con nuestra cultura People first, trabajamos para generar entornos laborales inclusivos en los que cada individuo pueda crecer y desarrollar su mejor versión. Asimismo, buscamos actuar como agentes de cambio para promover la igualdad de oportunidades en nuestro entorno, fomentando el respeto y apostando por la diversidad en todas sus formas.

Seas como seas y sientas como sientas, en Claire Joster tendrás un sitio para brillar.




Organización

Desde Claire Joster, estamos colaborando con una importante empresa de importación y exportación del sector agrícola, ubicada en Valencia; en la búsqueda de un técnico/a de compra con nivel fluido de inglés.

Función

En tu día a día te encargarás de:

– Contacto con proveedores internacionales para realizar los pedidos y negociar los precios en caso de que sea necesario.

– Gestión de facturas, plataformas, precios, cantidades y forma de pago acordadas con cada proveedor.

– Seguimiento del pedido.

Requisitos

Para ser valorado/a deberás de cumplir con los siguientes requisitos:

– Formación relacionada con el puesto en cuestión.

– Dominio fluido de inglés, siendo valorable otros idiomas.

– Experiencia en el trato con proveedores internacionales.

– Conocimientos de Intercoms (incomterms) y reglas de comercio internacional.

Oferta

¿Qué te ofrece este proyecto?

– La posibilidad de formar parte de un proyecto motivador, donde poner en prácticas todos tus conocimientos.

– Contratación estable y directa por parte de la empresa.

– Jornada completa en horario partido de 8:00h a 17:30h, con jornada intensiva los viernes y el mes de agosto.

– Salario negociable según la experiencia y valía aportada por cada candidatura.

Postulación

Si estás buscando un nuevo reto profesional en el ámbito industriales y quieres formar parte de una empresa con tradición, innovación y visión de futuro… ¡No lo dudes más e inscríbete ya!

27/1/2026",Valencia,Todos
Rotulista con experiencia,rotulos pemar,Picanya,1 mil € - 2 mil € (Proporcionado por la empresa),27 días,"3,7","Necesitamos cubrir puestos de rotulista, con experiencia en montaje de vinilos, con ganas de trabajar y de aprender un oficio en el caso de que no tengas mucha experiencia.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.300,00€-1.500,00€ al mes

Experiencia:

rotulación de vehículos: 2 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Valencia,Todos
Business Developer/Comercial – Servicios de Recursos Humanos,Claire Joster,España,No especificado,5 días,"3,7","Presentación

Somos la firma global de talento: Selección, headhunting, formación y consultoría de Eurofirms Group.

En Eurofirms creemos en el talento único de cada persona y sabemos que la diversidad aporta valor a los equipos, impulsando organizaciones más innovadoras, creativas y eficientes. Por eso, y de acuerdo con nuestra cultura People first, trabajamos para generar entornos laborales inclusivos en los que cada individuo pueda crecer y desarrollar su mejor versión. Asimismo, buscamos actuar como agentes de cambio para promover la igualdad de oportunidades en nuestro entorno, fomentando el respeto y apostando por la diversidad en todas sus formas.

Seas como seas y sientas como sientas, en Grupo Eurofirms tendrás un sitio para brillar.

Organización

Desde Eurofirms estamos en la búsqueda de un/a Business Developer que se encargue de fidelizar e incrementar la actual cartera de clientes B2B, ofreciendo los servicios de trabajo temporal.

¿Por qué trabajar con nosotros?

En Eurofirms Group creemos en el talento sin etiquetas. Apostamos por un entorno inclusivo, diverso y respetuoso, donde cada persona cuenta y puede crecer siendo auténtica.

People First no es solo nuestro lema, es nuestra forma de trabajar.

Entrarás a formar parte de la empresa de gestión de talento de capital nacional número 1 en España, con más de 30 años de trayectoria en el sector de los Recursos Humanos. Estamos presentes en varios países de Europa y Latinoamérica, y seguimos en constante expansión, poniendo a las personas en el centro.

Función

Tu misión será desarrollar negocio en Valencia, generando nuevas oportunidades comerciales y consolidando relaciones con clientes.

Esto incluye:

Labor comercial:

Prospección activa y apertura de nuevos clientes.
Fidelización y desarrollo de cuentas activas.
Identificación de oportunidades y necesidades reales.
Desarrollo de nuevas líneas de negocio.
Coordinación con otras oficinas para garantizar un servicio excelente.

Colaboración interna:

Trabajo conjunto con el equipo de Recruiters para asegurar la calidad del servicio.
Apoyo en procesos de selección y seguimiento de trabajadores según necesidades del cliente.
Requisitos
Escucha activa, empatía y actitud positiva.
Perseverancia, iniciativa y ganas de aprender.
Capacidad de adaptación y comunicación clara.
Experiencia comercial (valorable en el sector ETT o RRHH).
Carnet de conducir.
Oferta
Apoyo continuo de tu líder y compañeros/as desde el primer día.
Plan de carrera real dentro de la compañía, con posibilidades de crecimiento y promoción interna.
Un entorno donde tu voz cuenta: fomentamos la participación, las ideas y que cada persona aporte lo mejor de sí misma.
Gestión por valores, con foco en la transparencia, el compromiso y el respeto.
Buen ambiente laboral, donde el compañerismo y la colaboración son parte de nuestro día a día.
Flexibilidad horaria real: entrada entre las 8:00 y las 10:00, salida entre las 17:00 y las 19:00.
Una tarde libre por semana, para ti.
Un día de teletrabajo semanal.
Formación continua y herramientas tecnológicas que te facilitan el trabajo.
Sistema de bonus atractivo que reconoce tu esfuerzo.
Seguro médico a los 2 años para ti y tu familia.
Benefits y descuentos en gimnasios.
La tranquilidad de formar parte de una empresa sólida, con más de 30 años de trayectoria.
Información

Si te apetece formar parte de una empresa que cree en las personas y te va a acompañar en tu desarrollo… ¡Inscríbete, queremos conocerte!



Postulación



Testimonios reales de compañeros/as en Eurofirms:

«Aquí no hay jerarquías que separan, sino personas que suman. Lo que hacemos tiene sentido, porque ayudamos a clientes, trabajadores y compañeros. Y eso, sinceramente, es muy bonito.»

«Yo disfruto mucho mi trabajo. Me siento escuchada, acompañada y valorada. Y eso no tiene precio.»

«Nosotros ayudamos a crecer a la empresa. Y eso solo se consigue con actitud, constancia y transparencia. Aquí no vendemos humo, vendemos soluciones reales.»

Si te apetece formar parte de una empresa que cree en las personas y te va a acompañar en tu desarrollo… ¡Inscríbete, queremos conocerte!

20/2/2026",Valencia,Todos
Team Leader,Assist Digital,España,No especificado,24 horas,"3,7","Estamos buscando un Team Leader para nuestra sede en Valencia.

El objetivo del puesto es coordinar y gestionar operativamente las actividades o áreas asignadas de acuerdo con los niveles de servicio (SLA) cuali-cuantitativos y los procesos establecidos, así como encargarse de la gestión diaria, la motivación y el desarrollo de los recursos asignados en sinergia con las áreas de Operaciones y RR.HH.

Responsabilidades principales:


Presidir la sala y realizar seguimiento (coaching) de los operadores.
Gestionar briefings operativos y actualizaciones sobre la campaña específica.
Impartir formación inicial y de actualización sobre productos, servicios y aplicaciones.
Sugerir modificaciones para aplicar a los procesos operativos y para el desarrollo de los soportes necesarios.
Motivar al grupo asignado para alcanzar un rendimiento excelente, fomentando el trabajo en equipo.
Monitorizar y verificar los conocimientos adquiridos por cada operador.
Monitorizar el rendimiento operativo del grupo asignado (calidad y productividad).
Redactar informes y supervisar el cumplimiento de los SLA contractuales y los KPI del servicio.

Requisitos:


Nivel alto de inglés.
Experiencia de al menos 6 meses en actividades de recepción de llamadas (INBOUND).
Enfoque analítico, flexibilidad, excelente capacidad de comunicación oral y escrita, gran capacidad de motivación, capacidad para gestionar situaciones de estrés y flexibilidad para manejar múltiples tareas simultáneamente.
Resolución de problemas (problem solving), predisposición al trabajo en equipo, gestión de objeciones y de conflictos.
Se valorará experiencia previa como Team Leader en el sector de call center.
Dominio en el uso de sistemas informáticos.

Condiciones Contractuales:

Contrato de 3 meses con posibilidad de conversión a indefinido.
Jornada completa (Full time).

Assist Digital obtuvo en 2021 la certificación como Great Place to Work en Italia. #ThinkDigitalThinkAssist

¡ÚNETE A NUESTRO EQUIPO!",Valencia,Todos
