Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Podólogo/a Autónomo/a – Clínica Senior +65 (Valladolid),Senior Market,Valladolid,2 mil € - 3 mil € (Proporcionado por la empresa),12 días,"3,6","Ubicación: Valladolid – Zona Hospitalaria
Tipo de contrato: Autónomo/a
Incorporación: Próxima apertura

Descripción del empleo

Buscamos Podólogo/a autónomo/a para incorporarse a nuestro nuevo centro especializado en activación y salud integral para personas mayores de 65 años.

Este será el último centro en Valladolid con un enfoque exclusivo en activación senior, ubicado en zona hospitalaria y con amplias instalaciones.

Formamos parte de una red consolidada que trabaja con más de 1.500 centros especializados y atiende a más de 8.000 familias mensuales.

Funciones

Quiropodias.
Tratamiento de patologías ungueales y dérmicas.
Valoración y prevención del pie diabético.
Educación preventiva al paciente.
Coordinación con fisioterapia.

Requisitos

Grado/Diplomatura en Podología.
Alta en régimen de autónomos.
Seguro de responsabilidad civil.
Experiencia en paciente geriátrico.

Se ofrece

Espacio habilitado dentro de clínica especializada.
Flujo constante de pacientes.
Proyecto con expectativas de crecimiento.
Posibilidad de agenda estable.

Únete a un proyecto innovador enfocado en la salud y activación de las personas mayores.

Tipo de puesto: Autónomo

Sueldo: 1.800,00€-3.000,00€ al mes

Ubicación del trabajo: Empleo presencial",Valladolid,Todos
Técnico especialista en Oleohidráulica,"CASTLE AGROINDUSTRIAL, S.A.",Valladolid,20 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"3,6","OFERTA DE TRABAJO

Te invitamos a que te unas a una empresa líder en el sector del comercio y la distribución de componentes para maquinaria agrícola, industrial y forestal.

En Castle Agroindustrial, S.A. trabajamos en colaboración con las mejores firmas del mercado, siendo distribuidores exclusivos en España de prestigiosas marcas como Comer Industries, Hivall Hydraulics, Mariz, Marquesini, Berma, y muchas otras.

Los 38 años de experiencia en el sector nos avalan como una empresa referente en nuestro sector y de cara a nuestros clientes.

Priorizamos la calidad, el servicio y atención al cliente, siempre con el objetivo de mejorar y evolucionar continuamente.

En Castle Agroindustrial, S.A. estamos buscando un “Técnico especialista en Oleohidráulica” para incorporarse a nuestro equipo.

En el trabajo deberá realizar actividades relacionadas con la Oleohidráulica, Electricidad y Soldadura.

Buscamos una persona proactiva, con iniciativa, trabajadora, con ganas de aprender y principalmente que quiera desarrollarse dentro de nuestra empresa.

Las funciones del puesto son:

Diseñar, desarrollar e implementar soluciones oleohidráulicas avanzadas para maquinaria agrícola e industrial.
Supervisar y optimizar el rendimiento de los sistemas hidráulicos en proyectos tanto en el taller como en campo.
Realizar diagnósticos avanzados y reparaciones de sistemas hidráulicos.
Colaborar con el equipo técnico para mejorar procesos de fabricación y montaje.
Asesorar técnicamente a clientes y compañeros en aspectos de oleohidráulica.
Preparar informes técnicos detallados sobre el estado y el funcionamiento de los equipos hidráulicos.

Condiciones para el puesto:

Formación técnica relacionada con la oleohidráulica o áreas afines.
Experiencia mínima de 5 años en el sector de la oleohidráulica.
Conocimientos avanzados en sistemas hidráulicos y neumáticos.
Capacidad para trabajar de forma autónoma, liderar proyectos y ofrecer soluciones técnicas innovadoras.
Disponibilidad para desplazamientos puntuales a nivel nacional.
Carnet de conducir B.

Que ofrecemos:

Contrato indefinido a jornada completa.
Oportunidades de desarrollo profesional en una empresa en constante crecimiento.
Entorno dinámico con proyectos técnicos desafiantes.
Horario de lunes a viernes con jornada partida.
31 días de vacaciones naturales.
Formación continua y plan de desarrollo profesional personalizado.
Beneficios sociales: comidas en la empresa, parking gratuito, uniforme proporcionado, y cesta de navidad.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 20.000,00€-30.000,00€ al mes

Beneficios:

Cesta de navidad
Comidas en la empresa
Opción a contrato indefinido
Parking gratuito
Programa de formación
Uniforme proporcionado

Horario:

De lunes a viernes
Horas extra
Jornada partida

Retribución complementaria:

Horas extras

Preguntas para la solicitud:

¿Dispone de conocimientos de oleohidráulica? Se realizarán preguntas técnicas durante la entrevista personal. Responda con Si, qué tipo de experiencia. O con No.

Idioma:

Español (Obligatorio)

Licencia/Certificación:

Carnet de conducir B (Obligatorio)

Ubicación del trabajo: Empleo presencial",Valladolid,Todos
Teleoperador/a comercial Valladolid,Adecco,Valladolid,"10,00 € - 11,00 € Por hora (Proporcionado por la empresa)",+ 30 d,"3,6","¿Te encuentras en búsqueda de nuevas oportunidades profesionales? ¿Te apasiona el trato con el cliente? ¡Estate atento porque lo que te voy a contar entonces te interesa!

Desde Adecco Valladolid estamos seleccionando Agentes telefónicos para EL MÁS reconocido Call Center de Valladolid para una campaña de telecomunicaciones de VENTA CRUZADA ¿te animas?

Te proponemos 30 horas semanales de lunes a viernes de 15.00 a 21.00

Necesitamos que tengas disponibilidad para realizar una formación inicial presencial y disponibilidad para la incorporación al puesto,

Nos encantaría que supieras:

- Manejarte con herramientas Web, CRM, uso medio del ordenador.
-Valorable experiencia en televenta.

Podrás disfrutar de:

- Formación inicial para desarrollarte profesionalmente y aprender.
- Mañanas y fines de semana libres para ti.
- Continuidad y posible incorporación a plantilla.
- BENEFICIOS ADECCO (Descuentos en marcas, gimnasios, etc).

¿A que esperas? Inscríbete

Tipo de puesto: Media jornada, Contrato temporal
Duración del contrato: 2 meses

Sueldo: 10,00€-11,00€ la hora

Ubicación del trabajo: Empleo presencial",Valladolid,Todos
Operario/A Alimentación (San Miguel Del Arroyo),Gi Group Holding,Valladolid,"9,98 € Por hora (Proporcionado por la empresa)",9 días,"3,6","Desde Gi Group, la firma de servicios de trabajo temporal y permanent placement de Gi Group Holding, multinacional italiana líder en soluciones de Recursos Humanos, estamos convencidos de que podemos ayudarte a encontrar tu trabajo ideal. Es sencillo, cuidamos de ti y nos preocupamos por potenciar tu carrera profesional.


Actualmente, desde la delegación de VALLADOLID nos encontramos en busca de OPERARIO/A PARA EL SECTOR DE LA ALIMENTACION, para SAN MIGUEL DEL ARROYO, VALLADOLID

Funciones

En cadena de producción, la realización de tareas como el empaquetado y etiquetado del producto, y el abastecimiento de líneas de producción.

Requisitos mínimos

Ganas de trabajar y motivación por aprender.

Valorable experiencia previa de al menos un año en cadena de alimentación u operario realizando funciones semejantes.

Disponibilidad para trabajar, en la actualidad, a turnos de mañana, tarde y noche, para el horario de LUNES A VIERNES UNA SEMANA DE MAÑANA, OTRA DE TARDE Y OTRA DE NOCHE

Disponibilidad para trabajar en el siguiente horario A PARTIR DE MARZO: LUNES A DOMINGO, DOS DIAS DE MAÑANA, DOS DIAS DE TARDE, DOS DÍAS DE NOCHE, Y DOS DIAS DE DESCANSO.

Disponibilidad de carnet de conducir y vehículo propio para desplazarse al centro de trabajo.

Disponibilidad inmediata de incorporación.

Se ofrece:

Contrato a través de ETT. Contrato estable.

Horario: Ahora mismo es el horario de LUNES A VIERNES UNA SEMANA DE MAÑANA, OTRA DE TARDE Y OTRA DE NOCHE.A partir de marzo se volverá a instaurar el TURNO ANTIESTRÉS (DOS DIAS DE MAÑANA, DOS DIAS DE TARDE, DOS NOCHES Y DOS DESCANSOS). Es imprescindible tener disponibilidad para ambos turnos.

Salario según convenio a 9,98€/ brutos la hora










Y bien, ¿estás preparad@? Una oportunidad laboral de calidad y un trato personalizado y cercano te están esperando.


¡Inscríbete a la oferta y únete al equipo Gi Group! Te estamos esperando porque #NuestroCompromisoEresTú.


En cumplimiento de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, le informamos de que sus datos personales forman parte de un fichero propiedad de Gi Group Spain ETT S.L.U. y son tratados con la única finalidad de mantener la relación adquirida con usted. Puede ejercitar sus derechos de acceso, rectificación, cancelación y oposición dirigiéndose por escrito a Paseo de la Castellana, 89, 5º Planta, 28046, Madrid.",Valladolid,Todos
VIGILANTE DE SEGURIDAD PRIVADA EN AEROPUERTO VALLADOLID,Grupo Sureste,Valladolid,No especificado,+ 30 d,"3,6","Se precisan vigilantes de seguridad para Aeropuerto de Valladolid.

Imprescindible TIP en vigor.
Incorporación inmediata.

Tipo de puesto: Contrato indefinido, Contrato temporal

Horario:

De lunes a viernes
Disponibilidad fin de semana

Ubicación del trabajo: Empleo presencial",Valladolid,Todos
"REPARADORES, INSTALADORES, PREVENTIVOS DE GAS",REDES DE IMPULSO,Valladolid,25 mil € - 27 mil € (Proporcionado por la empresa),+ 30 d,"3,6","Se precisan de manera urgente instaladores, reparadores y preventivos de instalaciones de gas y calderas para la zona de Valladolid. Se requiere:

GAS/CALDERAS: IGB Y APMR EN VIGOR (¡¡OBLIGATORIO!!)

Se pueden poner en contacto para el envio del curriculum en el email: raquel.cordero@redesdeimpulso.com

Tipo de puesto: Jornada completa

Sueldo: 25.000,00€-27.000,00€ al año

Beneficios:

Coche de empresa
Opción a contrato indefinido
Pago de kilometraje
Teléfono de empresa
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Valladolid,Todos
Personal técnico sistemas de seguridad,ILUNION,Valladolid,23 mil € (Proporcionado por la empresa),+ 30 d,"3,6","Buscamos incorporar personal técnico de sistemas de seguridad ubicado en Valladolid y con movilidad geográfica por Castilla y León, Asturias y Cantabria

Funciones:

- Perfil técnico de instalaciones y mantenimiento de sistemas de intrusión, CCTV, control de accesos.

- Reparación de incidencias de los sistemas de seguridad.

- Control y manejo de circuito cerrado de televisión.

- Control de accesos (lector de tarjetas).

- Instalación de sistemas de Seguridad y puesta en marcha.

Experiencia requerida: Al menos 2 años realizando labores de mantenimiento, instalación y resolución de averías en instalaciones de seguridad comprendidas por los subsistemas de CCTV, intrusión, CCAA e interfonía.

Se valorará muy positivamente el conocimiento en sistemas específicos de control de accesos como CCure, Prowatch, Dorlet, Desico. Intrusión como AJAX, Honeywell o Risco. En CCTV Milestone, Genetec, Hikvision o Honeywell.

Carnet de conducir.

Experiencia demostrable.

Contrato indefinido con periodo de prueba de 6 meses.

Salario según valía, vehículo de empresa.

Jornada partida de lunes a jueves, viernes jornada intensiva, con posibilidad de incorporar guardias. Jornada intensiva en verano.

Disponibilidad para viajar.

Disponibilidad para guardias alternas dentro del equipo.

Capacidad de interlocución con el cliente.

Se incorporará a un proyecto en plena expansión.

Salario a convenir según la experiencia aportada.

Lugar de trabajo: Castilla y León, Asturias y Cantabria

Requisitos:

- FP Técnica : preferentemente en electrónica y electricidad de grado medio o superior

- Nivel medio en MS Office

- Permiso de conducir

- Disponibilidad para viajar por Castilla y León, Cantabria y Asturias

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 23.000,00€ al año

Beneficios:

Flexibilidad horaria
Uniforme proporcionado

Preguntas para la solicitud:

Dispone de incorporación inmediata?
Explique su experiencia como personal técnico en Sistemas de Seguridad no para equipos informáticos
Explique su formación y experiencia en sistemas de CCTV , CCAA y PCI

Educación:

FP Grado Medio (Deseable)

Licencia/Certificación:

grado medio o superior en electricidad o electrónica (Obligatorio)
Carnet de conducir B (Obligatorio)

Ubicación del trabajo: Empleo presencial",Valladolid,Todos
Personal cortador jamón,ILUNION,Valladolid,"15,00 € Por hora (Proporcionado por la empresa)",7 días,"3,6","Se necesita incorporar Personal cortador de jamón para campaña por días en Valladolid.

Cortar jamón y dar a degustar a la clientela de sala de juegos

Condiciones laborales:

Contrato temporal por campaña en 1 sala de juegos en Valladolid los días: 6,13,20, y 27 de marzo
Horario: 18h a 22 h
Jornada parcial 50%
Salario 15 euros /hora brutos

Requisitos:

Residencia en Valladolid o alrededores
Como centro especial de empleo, priorizamos la contratación de personas con certificado de discapcidad 33%
Carnet de manipulador de alimentos
No estar inscrito en el sistema de personas con prohibición de entrada a salas de juegos
Experiencia como persona cortadora de jamón
Buen manejo de cuchillo
Buena atención al cliente
Vehículo propio para transporte de herramientas de trabajo
Interés en contrato temporal para campaña por días

Tipo de puesto: Media jornada, Contrato temporal
Duración del contrato: 4 días

Sueldo: A partir de 15,00€ la hora

Horas previstas: 20 a la semana

Preguntas para la solicitud:

Dispone de vehículo propio para poder transportar las herramientas de trabajo a la sala de juegos?
Explique su experiencia como persona cortadora de jamón en eventos
Dispone de libre acceso a salas de juegos?
Por qué le interesa un contrato temporal los días 6, 13, 20 y 27 de marzo?

Licencia/Certificación:

Carnet de Manipulación de alimentos (Obligatorio)
certificado discapacidad? (Deseable)

Ubicación del trabajo: Empleo presencial",Valladolid,Todos
Asesor/a Contable,Kolibri Consulting,Valladolid,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"3,6","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Valladolid, Valladolid provincia (Valladolid)",Valladolid,Todos
Ingeniero/a de Proyectos Industriales,Lavoropiù,Valladolid,38 mil € - 42 mil € (Proporcionado por la empresa),21 días,"3,6","Pyou, marca internacional del Grupo Lavoropiù, empresa italiana especializada en Recursos Humanos, selecciona un/a Ingeniero/a de Proyectos Industriales para una multinacional dedicada al sector agroalimentario industrial.

Buscamos un perfil técnico y polivalente, con interés por la gestión integral de proyectos industriales, optimización de procesos y dirección de obra para nuevas instalaciones en Granjas. La persona seleccionada será responsable de liderar proyectos desde la conceptualización hasta la puesta en marcha, trabajando estrechamente con los equipos de ingeniería, compras, calidad, mantenimiento y PRL, así como con proveedores y otras plantas del grupo.

Responsabilidades:

- Analizar la viabilidad técnica de nuevas ubicaciones y procesos.

- Definir y desarrollar soluciones técnicas aplicadas a proyectos industriales.

- Proponer mejoras en procesos de fabricación, optimizando recursos y reduciendo costes.

- Definir alcance de proyectos, cronograma, plazos y costes.

- Preparar licitaciones de proyecto y obra, redactar proyectos y supervisar su aprobación.

- Coordinar y dirigir equipos multidisciplinares durante el diseño y la ejecución de proyectos.

- Realizar seguimiento técnico y económico a lo largo del ciclo de vida de los proyectos.

- Supervisar obras, garantizando cumplimiento de plazos, costes y calidad.

- Legalización y puesta en servicio de las instalaciones una vez construidas.

- Elaborar ofertas, negociar con proveedores y velar por la calidad de los productos suministrados. - Mantener actualizado el listado de materiales, proveedores y precios de compra, así como la documentación asociada.

- Garantizar el cumplimiento de la normativa en PRL y asegurar su aplicación en todos los proyectos.

Requisitos:

- Titulación en Ingeniería Industrial o similar.

- Experiencia mínima de 3 años en gestión de proyectos industriales, preferiblemente en el sector agroindustrial o instalaciones industriales.

- Conocimiento en planificación de proyectos, dirección de obra y coordinación de equipos multidisciplinares.

- Capacidad para definir y optimizar procesos, así como para gestionar costes y proveedores.

- Proactividad, orientación a resultados y habilidades de comunicación transversal.

Qué ofrecemos:

- Proyecto estable en una compañía en expansión dentro del sector agroalimentario industrial.

- Formación continua y oportunidades de desarrollo profesional dentro del área de proyectos.

- Ambiente de trabajo colaborativo, dinámico y orientado a la innovación.

Ubicación: Valladolid.

En aplicación del Real Decreto Legislativo 2/2015, de 23 de octubre, por el que se aprueba el texto refundido de la Ley del Estatuto de los Trabajadores, del Real Decreto Legislativo 5/2000, de 4 de agosto, por el que se aprueba el texto refundido de la Ley sobre Infracciones y Sanciones en el Orden Social y de la Ley 15/2022, de 12 de julio, integral para la igualdad de trato y la no discriminación, la presente oferta va dirigida a cualquier persona, sin discriminación de género, edad, nacionalidad etc.

Rogamos que leas atentamente la política de privacidad disponible en la página web (https://pyou.es/privacy-policy/) y adjuntes en el CV la autorización para tratar tus datos personales, de acuerdo con el Reglamento de la UE n. 679/2016 y la legislación española vigente (Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales).

No añadas datos que pertenezcan a categorías particulares (datos que revelen el origen racial o étnico, opiniones políticas, creencias religiosas o filosóficas, afiliación sindical, datos genéticos, datos biométricos destinados a identificar de manera única a una persona física, datos relacionados con la salud u orientación sexual).

Te recordamos que Pyou no requiere, en la primera fase de recepción de solicitudes, el envío de documentos de identificación u otra documentación burocrática (por ejemplo, información personal, datos o códigos relacionados con sistemas de pago) y nuestros anuncios siempre muestran una dirección de correo electrónico para recibir solicitudes con uno de los siguientes dominios de empresa: @pyou.es / @lavoropiu.it

Te aconsejamos que prestes especial atención a cualquier comunicación que aparentemente esté vinculada a nuestra marca y que solicite el envío de documentos escaneados para participar en selecciones y/o entrevistas, especialmente con direcciones de correo electrónico con diferentes dominios a los nombrados anteriormente. En caso de duda, contáctanos por uno de nuestros canales para obtener toda la información necesaria.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 38.000,00€-42.000,00€ al año

Beneficios:

Coche de empresa

Ubicación del trabajo: Empleo presencial",Valladolid,Todos
