Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Administrativo/a Dpto. Mercancías 40hrs/sem Narón,Lidl,España,No especificado,13 días,"3,5","Introducción

Nuestro #teamlidl es competitivo y muy dinámico. Para saber más sobre cómo es trabajar en Lidl consulta nuestra página web de empleo: https://empleo.lidl.es/

¿Cómo será tu día a día?
Gestionar el correo y la documentación entrante de la mercancía.
Elaborar informes, protocolos, comunicados y presentaciones.
Garantizar la actualización y el mantenimiento de la base de datos.
Asegurar el flujo monetario entre los departamentos internos.
Grabar y revisar los pedidos pendientes.
¿Eres tú la persona que buscamos?
Formación de Educación Secundaria Obligatoria o equivalente.
Dominio del paquete office (nivel avanzado de MS Excel imprescindible).
Disponibilidad horaria para trabajar sábados y festivos rotativos.
Persona organizada, dinámica y proactiva.

¿Qué te ofrecemos?
Un contrato de jornada completa.
Te facilitamos formación teórico-práctica adaptada a tu puesto de trabajo, para que seas capaz de enfrentar cada reto con éxito.
Garantizamos desde el inicio del proceso de selección que éste se desarrollará en base a criterios objetivos. La preocupación por eliminar la brecha de género, así como cualquier otro tipo de discriminación alcanza también a nuestra política salarial, en la que rige el principio de equidad retributiva ante el desempeño de las mismas funciones.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/",Vigo,Todos
Conductor/ Chofer de tráiler,Sande Bouza SL,España,2 mil € - 4 mil € (Proporcionado por la empresa),+ 30 d,"3,5","CONDUCTOR DE TRAILER NECESARIA EXPERIENCIA Y CARNET C+E

Tipo de puesto: Jornada completa

Sueldo: 2.000,00€-4.000,00€ al mes

Licencia/Certificación:

LICENCIA C+E, TACÓGRAFO Y TARJETA CAP (Obligatorio)

Ubicación del trabajo: Empleo presencial",Vigo,Todos
Puestos vacantes: Técnico/a Operación CCO (La Coruña) (12987),Naturgy,España,No especificado,+ 30 d,"3,5","Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta.
Buscamos talento joven, digital, flexible y creativo. Conecta con nosotros tus ganas de aprender y de trabajar en equipos diversos. Buscamos tu proactividad y valentía para impulsar nuestra transformación y la del mundo, a través de la energía.
¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!


Dentro de Generación Renovable, buscamos talento en el equipo de Operaciones España para nuestros proyectos internacionales de Naturgy Renovables. Como Técnico/a Operación CCO serás parte de este reto ilusionante de crecimiento y expansión.
Además, formarás parte de nuestro Plan de Transformación y podrás impulsar tu desarrollo en entornos ágiles y colaborativos, dentro de una cultura de aprendizaje continuo.


Los retos de tu día a día estarán orientados a:
Operación y control remoto de instalaciones eléctricas y plantas renovables, gestionando maniobras e incidencias hasta su normalización.
Gestión operativa en tiempo real, coordinando maniobras, descargos y equipos locales con criterios de seguridad, calidad y plazo.
Planificación y optimización de la producción, minimizando desvíos y penalizaciones mediante previsión y coordinación operativa.
Gestión de emergencias y situaciones extraordinarias, actuando como centro coordinador ante incidencias y fenómenos adversos.
Reporting y mejora continua, asegurando la calidad de la información, el análisis de incidencias y la evolución de los sistemas de control.


Lo que necesitas:
Titulación académica:
Ingeniería eléctrica, mecánica, industrial, energía o similar. Se compensará la falta de Formación académica obligatoria con experiencia en puestos similares mínima demostrable de más de 3 años en áreas de Operación de Centro de Control.
Requisitos obligatorios:
1 a 3 años en trabajo de campo en el negocio de electricidad y/o generación.
Disponibilidad para trabajar en jornada a turnos -Turno Rotativo Regular (TRR)
Requisitos Valorables:
Formación en operación remota desde salas de control, plantas de generación renovable y redes eléctricas.
Experiencia en operación remota en plantas de tecnología eólica, fotovoltaica, instalaciones de cogeneración y otras de origen renovable.
Conocimiento en SCADA, automatización, comunicaciones, arquitecturas de control, lógicas de funcionamiento, ciberseguridad.
Conocimiento en modos de funcionamiento, esquemas eléctricos, de control, de plantas de generación.
Conocimiento básico en mercado eléctrico y en modelos de previsiones meteorológicas y su aplicación en las plantas de generación.
Conocimientos en turbinas, generadores, circuitos y equipos proceso, esquemas eléctricos y de interconexión.


Lo que ofrecemos:
Ambiente que promueve la diversidad e igualdad
Programa formativo y de desarrollo
Compromiso con la conciliación y la flexibilidad
Espíritu innovador en un entorno retador y motivador
Retribución competitiva, beneficios y compensación flexible


Contamos contigo en nuestras oficinas de La Coruña.


¿Te apuntas al desafío?
Rellena el formulario con tus datos. Para completar el perfil, te recomendamos adjuntar tu CV actualizado y certificado de inglés.
Si cumples el perfil, contactaremos contigo para participar en las diferentes pruebas y entrevistas.
Si avanzas con éxito en el proceso ¡te damos la bienvenida al equipo Naturgy!


¡Inscríbete y atrévete a impulsar tu energía y acelerar tu futuro con Naturgy!",Vigo,Todos
Modista,"Decategoria, SL",Arteixo,No especificado,+ 30 d,"3,5","Confeccionista con experiencia en elaboración de prenda completa para taller de alta costura en Arteixo.

Dominio de plancha, imprescindible.

Tipo de puesto: Jornada completa

Experiencia:

Confección: 5 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Vigo,Todos
Electromecánico/a Internacional,Eurofirms,España,30 mil € - 40 mil € (Proporcionado por la empresa),19 días,"3,5","Outeiro De Rei Casco Urbano, Lugo

Empleo de Electromecánico/a Internacional, Outeiro De Rei Casco Urbano
Fecha de publicación:
06/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y domingo en turnos rotativos en horario entre 06:00h y 22:00h con los descansos establecidos por ley.
Vacantes:
1
Salario:
de 30.000€ a 40.000€ Bruto/año
Población:
Outeiro De Rei Casco Urbano



Descripción de la oferta de empleo de Electromecánico/a en Outeiro De Rei Casco Urbano

Buscamos un/a electromecánico/a internacional para una importante empresa multinacional del sector alimentario. Comenzarás con una formación de 3 a 6 meses en alguna de sus fábricas en Galicia y luego darás el salto a proyectos internacionales. La persona seleccioanda realizartá las siguientes funciones:

Realizar mantenimiento preventivo según los programas establecidos, revisando y lubricando la maquinaria, y verificando el buen estado de los equipos.
Ejecutar mantenimiento correctivo frente a fallos o averías en maquinaria y equipos, diagnosticando problemas y realizando las reparaciones necesarias.
Registrar todas las acciones de mantenimiento en los sistemas de gestión establecidos.
Colaborar en la inspección y control de calidad de las instalaciones y equipos.
Cumplir con las normas de seguridad e higiene en la planta, garantizando un entorno de trabajo seguro y limpio.
Apoyar en la gestión de inventario de repuestos y herramientas.
Función:
Electromecánico/a
Requisitos:
- Experiencia mínima de 6 meses como electromecánico/a o similar.

Buscamos a una persona responsable y dinámica.
Disponer de medio de transporte para desplazarse al centro de trabajo.
Disponibilidad para trabajar en turnos rotativos.
Formación:
GS en mecatrónica, Grado en robótica o similar.
Idiomas:
- Castellano hablado y escrito correctamente.

Nivel B2 de inglés.
Valorable conocimiento de otro idioma (francés, alemán, con nivel B2).",Vigo,Todos
Técnico/a Operación CCO (La Coruña),Naturgy,España,No especificado,+ 30 d,"3,5","Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta.

Buscamos talento joven, digital, flexible y creativo. Conecta con nosotros tus ganas de aprender y de trabajar en equipos diversos. Buscamos tu proactividad y valentía para impulsar nuestra transformación y la del mundo, a través de la energía.

¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!




Dentro de Generación Renovable, buscamos talento en el equipo de Operaciones España para nuestros proyectos internacionales de Naturgy Renovables. Como Técnico/a Operación CCO serás parte de este reto ilusionante de crecimiento y expansión.

Además, formarás parte de nuestro Plan de Transformación y podrás impulsar tu desarrollo en entornos ágiles y colaborativos, dentro de una cultura de aprendizaje continuo.




Los retos de tu día a día estarán orientados a:

Operación y control remoto de instalaciones eléctricas y plantas renovables, gestionando maniobras e incidencias hasta su normalización.
Gestión operativa en tiempo real, coordinando maniobras, descargos y equipos locales con criterios de seguridad, calidad y plazo.
Planificación y optimización de la producción, minimizando desvíos y penalizaciones mediante previsión y coordinación operativa.
Gestión de emergencias y situaciones extraordinarias, actuando como centro coordinador ante incidencias y fenómenos adversos.
Reporting y mejora continua, asegurando la calidad de la información, el análisis de incidencias y la evolución de los sistemas de control.



Lo que necesitas:

Titulación académica:
Ingeniería eléctrica, mecánica, industrial, energía o similar. Se compensará la falta de Formación académica obligatoria con experiencia en puestos similares mínima demostrable de más de 3 años en áreas de Operación de Centro de Control.
Requisitos obligatorios:
1 a 3 años en trabajo de campo en el negocio de electricidad y/o generación.
Disponibilidad para trabajar en jornada a turnos -Turno Rotativo Regular (TRR)
Requisitos Valorables:
Formación en operación remota desde salas de control, plantas de generación renovable y redes eléctricas.
Experiencia en operación remota en plantas de tecnología eólica, fotovoltaica, instalaciones de cogeneración y otras de origen renovable.
Conocimiento en SCADA, automatización, comunicaciones, arquitecturas de control, lógicas de funcionamiento, ciberseguridad.
Conocimiento en modos de funcionamiento, esquemas eléctricos, de control, de plantas de generación.
Conocimiento básico en mercado eléctrico y en modelos de previsiones meteorológicas y su aplicación en las plantas de generación.
Conocimientos en turbinas, generadores, circuitos y equipos proceso, esquemas eléctricos y de interconexión.



Lo que ofrecemos:

Ambiente que promueve la diversidad e igualdad
Programa formativo y de desarrollo
Compromiso con la conciliación y la flexibilidad
Espíritu innovador en un entorno retador y motivador
Retribución competitiva, beneficios y compensación flexible



Contamos contigo en nuestras oficinas de La Coruña.




¿Te apuntas al desafío?

Rellena el formulario con tus datos. Para completar el perfil, te recomendamos adjuntar tu CV actualizado y certificado de inglés.
Si cumples el perfil, contactaremos contigo para participar en las diferentes pruebas y entrevistas.
Si avanzas con éxito en el proceso ¡te damos la bienvenida al equipo Naturgy!


¡Inscríbete y atrévete a impulsar tu energía y acelerar tu futuro con Naturgy!",Vigo,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"3,5","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en A Coruña, A Coruña provincia",Vigo,Todos
Consultor/a laboral RRHH,Grupo Nortempo,España,1 mil € (Proporcionado por la empresa),13 días,"3,5","Desde Nortempo ETT estamos en búsqueda de un/a Consultor/a Laboral para el área de RRHH, para empresa ubicada en A Coruña.

Buscamos una persona con experiencia en CRM, elaboración y gestión de contratos, confección de nóminas y en tareas administrativas propias del ámbito laboral. Es importante contar con autonomía en la gestión diaria y manejo habitual de documentación laboral.

Se requiere disponibilidad de incorporación inmediata.

La jornada es completa, de lunes a viernes. De lunes a jueves el horario habitual es de 9:00 a 17:00 y los viernes de 9:00 a 15:00, con cierta flexibilidad que puede adaptarse según necesidades.

Se ofrece contrato inicial de 3 meses a través de ETT, con posibilidad real de incorporación a empresa.

Si estás interesado/a, envíanos tu CV.


Requisitos


Experiencia previa en departamento laboral o asesoría. Manejo de CRM. Experiencia en elaboración y gestión de contratos. Confección de nóminas y gestión administrativa laboral. Disponibilidad de incorporación inmediata. Capacidad de organización y autonomía en el puesto.


Se ofrece


Jornada completa de lunes a viernes. De lunes a jueves de 9:00 a 17:00. Viernes de 9:00 a 15:00. Horario con cierta flexibilidad. Contrato inicial de 3 meses a través de ETT. Posibilidad real de incorporación a empresa. Incorporación a un entorno profesional dentro del área de RRHH.

Requisitos

Experiencia previa en departamento laboral o asesoría. Manejo de CRM. Experiencia en elaboración y gestión de contratos. Confección de nóminas y gestión administrativa laboral. Disponibilidad de incorporación inmediata. Capacidad de organización y autonomía en el puesto.

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Jornada completa de lunes a viernes. De lunes a jueves de 9:00 a 17:00. Viernes de 9:00 a 15:00. Horario con cierta flexibilidad. Contrato inicial de 3 meses a través de ETT. Posibilidad real de incorporación a empresa. Incorporación a un entorno profesional dentro del área de RRHH.",Vigo,Todos
GESTOR/A DE PROYECTOS,"EQUIPOS LAGOS, S.A.",España,No especificado,24 horas,"3,5","Descripción de la empresa

Equipos Lagos es una empresa española experta en el diseño de procesos y productos para el tratamiento de superficies como el lijado, revestimiento metálico, pintura, secado y pulido. Fundada en 1983, se ha posicionado como líder en desarrollos de proyectos a gran escala en diversos sectores industriales. Con más de 14.000 instalaciones y 26 distribuidores alrededor del mundo, Equipos Lagos mantiene una presencia constante en actividades que requieren tratamiento de superficies, como la aviación, el ferrocarril, la energía renovable, la automoción y la industria de la madera. Equipos Lagos trabaja en estrecha colaboración con empresas renombradas como Airbus, Alstom, SNCF, Bombardier, Siemens y Renfe, asegurando el éxito de sus clientes.

Descripción del puesto

Como Gestor/a de Proyectos en Equipos Lagos, serás responsable de la planificación, coordinación y supervisión de proyectos de tratamiento de superficies.

Tus tareas diarias incluirán la gestión de logística, la inspección de procesos y materiales, el control presupuestario, la supervisión en fase de montaje y la aceleración de la entrega de proyectos.

Este es un puesto de tiempo completo y se realizará de manera presencial en nuestra sede ubicada en el Greater La Coruña Area.

Requisitos

Experiencia en gestión de proyectos y competencias en la aceleración y seguimiento de plazos.
Competencias en la inspección de procesos y materiales para asegurar la calidad del proyecto.
Aptitudes en la gestión de logística para coordinar eficientemente la entrega de materiales y recursos.
Se valorarán habilidades adicionales como capacidad de trabajo en equipo, buena comunicación y orientación a resultados.
Titulación: Ingeniería técnica
Idiomas: dominio inglés. Valorable conocimientos de francés, alemán.
Herramientas informáticas: Microsoft office y programas de diseño (Autocad, Solidworks, etc.)
Otros conocimientos: Kaizen Managemet System, Lean, 5S.
Experiencia previa de 2 a 3 años como responsable de proyectos en sector industrial o afín.

Tipo de puesto: Jornada completa, Contrato indefinido

Ubicación del trabajo: Empleo presencial",Vigo,Todos
Modista profesional o costurera con discapacidad.,Diecar s.l.,España,1 mil € (Proporcionado por la empresa),3 días,"3,5","Modista, corte, diseño, atención al público, manejo de maquinas de coser. Seriedad, buena presencia y profesionalidad.

Tipo de puesto: Jornada completa

Sueldo: A partir de 1.200,00€ al mes

Beneficios:

Flexibilidad horaria

Experiencia:

Corte y confección: 4 años (Deseable)

Ubicación del trabajo: Empleo presencial",Vigo,Todos
