Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Mecánico/chapista carrocero/pintor para concesionario,Alava Lascaray,España,20 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"3,7","En Alava Lascaray nos encontramos en la búsqueda de mecánicos y chapistas de automóviles para nuestro concesionario ubicado en Vitoria.

Tus funciones diarias son las siguientes:

-Mantenimiento de vehículos.

-Reparación de incidencias.

-Atención al cliente.

-Contacto con proveedores.

-Mantenimiento preventivo y correctivo de vehículos de motor.

Requisitos mínimos:

- Formación: FP Grado Medio

- Conocimientos: mecánica

- Experiencia en taller.

- Experiencia en reparación de vehículos

- Resolución de problemas

Horario de L-J jornada partida y viernes intensivo

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 20.000,00€-30.000,00€ al año

Preguntas para la solicitud:

¿Vives en Alava?

Educación:

FP Grado Medio (Obligatorio)

Ubicación del trabajo: Empleo presencial",Vitoria,Todos
Limpiador de coches VITORIA,ROGOMOVIL SL,España,1 mil € (Proporcionado por la empresa),17 días,"3,7","Trabajo en Vitoria para lavar coches, jornada completa, de lunes a viernes, menos de 40 años, IMPRESCINDIBLE carnet de conducir en vigor español y documentación que permita trabajar. Horario semanal de 10,00 a 14,00 y de 14.30 a 17,30. DE LUNES A VIERNES. Interesados, enviar currículum con foto. Contrato indefinido.

ABSTENERSE CANDIDATOS SIN DOCUMENTACION O SIN CARNET ESPAÑOL DE CONDUCIR

SALARIO 1200€ BRUTOS MES CON PAGAS INCLUIDAS

No se admiten candidatos en persona o por teléfono, solo por esta aplicación o enviado curriculum completo a: rrhhrogomovil@gmail.com

Tipo de puesto: Contrato temporal

Sueldo: 1.200,00€ al mes

Beneficios:

Uniforme proporcionado

Preguntas para la solicitud:

¿Está trabajando actualmente o tiene que darle preaviso a su empresa actual?
¿que edad tiene?

Licencia/Certificación:

¿tiene carnet de conducir español? (Obligatorio)

Ubicación del trabajo: Empleo presencial",Vitoria,Todos
Asesor Comercial Telefónico,Alava Lascaray,España,20 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Descripción del Puesto:

Gestionar las ventas por teléfono, proporcionando un servicio excepcional al cliente.
Tu función principal será contactar a clientes potenciales, comprender sus necesidades y guiarlos en el proceso de adquisición de vehículos nuevos o de ocasión de alta calidad.

Responsabilidades:

Contactar a clientes potenciales y existentes

Proporcionar información detallada sobre los vehículos, características y beneficios.

Guiar a los clientes a través del proceso de compra y cerrar acuerdos de manera efectiva.

Mantener registros precisos en nuestro sistema.

Trabajo en equipo para consecución de objetivos.

Requisitos:

Residir en Vitoria-Gasteiz o alrededores.

Experiencia previa en ventas telefónicas, preferiblemente en el sector automoción.

Excelentes habilidades de comunicación y persuasión.

Orientación a resultados y capacidad para trabajar en un entorno orientado a metas.

Conocimiento básico de vehículos y sus especificaciones técnicas.

Actitud proactiva y enfoque orientado al cliente.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 20.000,00€-30.000,00€ al año

Preguntas para la solicitud:

Vives en Vitoria

Experiencia:

venta telefonica: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Vitoria,Todos
Preparador/a de pedidos para almacén - Araba/Álava,Mercadona,España,No especificado,+ 30 d,"3,7","Araba/Álava
Municipios con vacante disponibles
Vitoria-Gasteiz
Tipo de contrato
Fijo
Necesitamos personal de almacén para preparar los pedidos de abastecimiento de nuestras tiendas. Si eres una persona organizada, eficiente y te gusta trabajar en un entorno colaborativo, únete a nuestro equipo.


Qué te ofrecemos
Qué te ofrecemos
Formación remunerada
Proyección laboral dentro de la empresa
Calendario anual indicando días de trabajo, vacaciones y libranzas conocidas
Compensación por frío, altura, nocturnidad y/o festivo en caso de aplicarse
Si lo que has especificado en tu perfil coincide con lo que buscamos, te podemos ofrecer:
40 h/semana
Jornadas semanales de 5 días
Turnos fijos de mañana, tarde o noche



Retribución mensual bruta con progresión salarial de
1.734€ a 2.346€
22,5 h/semana
Jornadas semanales de 3 días
Turnos fijos de mañana, tarde o noche



Retribución mensual bruta con progresión salarial de
975€ a 1.319€
15 h/semana
Jornadas semanales de 2 días

Turnos fijos de mañana, tarde o noche


Retribución mensual bruta con progresión salarial de
650€ a 879€


Cómo será tu día a día
En nuestro almacén, prepararás los pedidos que hay que enviar a nuestras tiendas, asegurando siempre la calidad de los productos.
No te preocupes por la experiencia, la formación corre de nuestra cuenta.",Vitoria,Todos
Colaborador/a de tienda ALDI Vitoria - Salburua 24H Indefinido,ALDI Nord,España,No especificado,3 días,"3,7","Resumen

Job ID:

ES_SL01082





Ubicación:

01003 Vitoria





Área profesional:

Tienda





Nivel de Responsabilidad:

Profesional





Jornada:

Tiempo parcial





Horas trabajadas:

24




Funciones

Buscamos profesionales como tú, que quieran crecer personal y profesionalmente junto a un equipo potente.
Entre tus principales funciones destacamos:

Asegurar la presentación de los productos en el lineal.
Atender a la clientela y aportar valor en un entorno exigente, todo ello para facilitar su experiencia de compra en nuestras tiendas y así mantener la base actual de clientes y ampliarla.
Con un trabajo meticuloso en la caja, garantizar la facturación correcta de todos los artículos.
Colaborar con tus compañeros y compañeras en las diferentes tareas de la tienda (Reposición, Picking, Orden y Limpieza, Recepción de mercancía, Horneado).

Requisitos

Finalizados los estudios de ESO
Valoraremos positivamente haber cursado FP Dual en la rama de Comercio.
Valoraremos positivamente disponer de experiencia previa en el sector.
Orientación al cliente.
Alto grado de responsabilidad y autonomía.
Capacidad de trabajo en equipo.
Valorable residencia en la zona.

Te ofrecemos

Te ofrecemos formar parte de una empresa en crecimiento
Excelentes compañeros y compañeras donde el trabajo en equipo será tu día a día.
Versatilidad de tareas.

Contacto

ALDI Miranda Supermercados SLU

Avenida Brasil 2

09219 Miranda de Ebro

Sobre nosotros

Somos una de las cadenas de alimentación y supermercados más importantes del mundo y creadores del Descuento. Nuestra historia se remonta a 1945, cuando los hermanos Theo y Karl Albrecht se encargaron del negocio de ultramarinos que su familia regentaba desde 1913 en Essen (Alemania). Desde nuestros inicios, siempre hemos tenido en cuenta lo importante que es conocer al cliente y darle lo que necesita al mejor precio. En España abrimos el primer supermercado en 2002 y ya tenemos más de 400 establecimientos

Nos importa el bienestar de las personas: nuestros clientes, nuestro equipo y nuestro entorno. En nuestra compañía, en pleno crecimiento, siempre hay oportunidades laborales para diferentes perfiles profesionales y oportunidades de desarrollo y crecimiento profesional.

Durante estos 100 años, hemos establecido con nuestros clientes una relación de confianza y hemos cubierto sus necesidades diarias. Llevamos el principio de sencillez en nuestro ADN, es nuestra ventaja competitiva y esto nos lleva al éxito como compañía y nos hace sentir orgullosos/as de seguir generando empleo en España. El camino no siempre es fácil, pero cada paso suma. Sabemos que el éxito llega del trabajo en equipo y estamos orgullosos/as de avanzar juntos/as.

Si tienes una mentalidad fuerte, eres tenaz, avanzas con firmeza, cuentas con cualidades para generar una experiencia positiva en las personas que acuden a comprar a nuestras tiendas y quieres alcanzar tus objetivos con un buen equipo... ¡Te invitamos a dar lo mejor de ti y a formar parte de este emocionante camino!

Sencillamente ALDI. Nuestra fuerza son las personas.",Vitoria,Todos
"Vendedores a 40, 30 o 20 horas semanales",Fútbol Emotion,España,1 mil € (Proporcionado por la empresa),9 días,"3,7","Tenemos más de 30 tiendas físicas divididas por el sur de Europa.

Este año 2026, realizaremos más de 10 nuevas aperturas por todo el territorio, entre ellas, estrenamos ubicación en CC Boulevard, Vitoria con dos tiendas nuevas: Fútbol Emotion y Basketball Emotion

Por ello, buscamos completar todo el equipo de tienda con vendedores a 40, 30 o 20 horas semanales.

¿Cuál es el objetivo?



Como Sales Assistant, formarás parte del equipo de tienda y serás fundamental para garantizar una excelente experiencia de compra. Reportando directamente al Store Manager y al Assistant Store Manager, tus responsabilidades serán:

1. Atención al cliente

Brindar una atención personalizada y cercana, asegurando altos niveles de satisfacción en cada interacción.

Asesorar al cliente sobre productos y promociones, fomentando la venta cruzada y la fidelización.

Colaborar activamente en el impulso del programa de fidelización Member, promoviendo sus beneficios.

Garantizar una experiencia de compra única en el ecosistema Sports Emotion.

2. Apoyo en la Gestión del Producto

Mantener la tienda ordenada y atractiva, siguiendo los estándares de presentación visual establecidos.

Colocar y reponer productos según las directrices de merchandising.

Ayudar en la recepción, etiquetado y almacenaje de mercancías, asegurando una correcta organización en el almacén.

3. Contribución a los Objetivos Comerciales

Participar activamente en la consecución de los objetivos de ventas individuales y colectivos.

Informar al equipo de gestión sobre cualquier incidencia o sugerencia relacionada con la experiencia del cliente o el rendimiento del producto.

Apoyar en la implementación de promociones y actividades comerciales en tienda.

4. Cumplimiento de Procedimientos
Respetar y aplicar los procedimientos de seguridad y prevención de pérdidas.

Colaborar en el mantenimiento de la limpieza y el orden de la tienda, tanto en el área de ventas como en el almacén.

Cumplir con las políticas de la empresa y mantener una actitud profesional en todo momento.

Ofrecemos:


Jornada de trabajo de hasta 5 días a la semana con mínimo 2 días de decanso preferiblemente en jornada intensiva rotativa.

Comisiones mensuales según los objetivos grupales de la tienda.

Salario fijo según convenio:


Para 40 horas 21.156,79 € brutos al año (1.410,45 €/ mes);

para 30 horas; 15.867,59 € brutos al año (1.322,29 € / mes);

para 20 horas 10.578,39 € brutos al año (881,53 € / mes).",Vitoria,Todos
Empleado/a de Ventas,Foot Locker,España,No especificado,+ 30 d,"3,7","Descripción general:
Se puede reconocer personalmente cuando entra en una de nuestras tiendas. Le encanta tanto hablar sobre ropa y zapatillas deportivas como coleccionarla. Siempre conoce los modelos más recientes y disfruta compartiendo su entusiasmo con los clientes. Le resulta sencillo iniciar conversaciones naturales y amistosas, adaptarse a distintos tipos de clientes y solucionar los problemas con una sonrisa. Le gusta trabajar como parte de un equipo mientras mejora sus habilidades individuales en la zona comercial. Su éxito en esta función se medirá considerando los objetivos personales y de productividad y también su capacidad para proporcionar una experiencia excepcional en la tienda para cada cliente.
Responsabilidades:
Garantizar elevados niveles de satisfacción del cliente conociendo todos los productos que se ofrecen y colaborando con los compañeros de trabajo para proporcionar un excelente servicio de ventas
Proporcionar ventas, una excelente experiencia para el cliente y las expectativas operativas
Mantener los objetivos personales y de productividad
Logra conectar con todos los clientes realizando preguntas abiertas para evaluar las necesidades
Capacidad para aprender y compartir los conocimientos sobre los productos y las tendencias para coincidir con las necesidades del cliente
Se mantiene al tanto y conoce todos los productos y está al día con las tendencias y productos actuales o futuros
Contribuye a un entorno laboral positivo y de integración
Cualificaciones:
De cero a tres años de experiencia en tiendas
Siente seguridad personal y le resulta cómodo relacionarse con los clientes para proporcionar una mejor experiencia
Con motivación para lograr excelentes resultados gracias al entusiasmo personal para relacionarse con clientes y productos deportivos
Inicia la realización de tareas o actividades sin necesidad de supervisión
Disponibilidad flexible, incluyendo noches, fines de semana y días festivos",Vitoria,Todos
Azafata/o de caja y reposición,Alcampo,España,No especificado,+ 30 d,"3,7","Como parte del equipo de tienda, coordinado por los Responsables de Turno, tus funciones en esta posición serán:


Reponer, frentear y rotar los productos en los lineales, con la periodicidad y orden establecido,
Informar amablemente a los/as clientes que tengan dudas de las características y ubicación de los productos, así como recoger sus sugerencias.
Asegurar el correcto balizaje de todos los productos.
Realizar el cobro en caja.
Verificar la correlación de los productos y facturas en cajas autoservicio.
Velar por mantener una correcta fluidez en la salida de clientes por las cajas.
Comprobar y dotar la existencia de bolsas, rollos de papel, etc.
Cuidar de la recaudación, así como de los documentos, gaveta y justificantes hasta entregarlos al final de la jornada.

Nos encantará conocerte si sientes pasión por el comercio, el food y las personas, y si cuentas con:


Experiencia en puestos en los que se precise un trato directo con el público
Educación Secundaria Obligatoria, Bachillerato o FP Grado Medio.
Dominio de Caja registradora, datáfono, etc
Herramientas ofimáticas a nivel básico.

Formar parte de una empresa internacional en un sector clave y en crecimiento para la sociedad.
Formación continua con una plataforma e-learning con más de 100 cursos.
Posibilidad de retribución flexible, descuentos en compras en tiendas y gasolineras.
Posibilidad de acogerse al plan de accionariado Alcampo (políticas de reparto y beneficios)
Jornadas de voluntariado dentro de tu jornada laboral con asociaciones locales y nacionales.",Vitoria,Todos
Responsable de Almacén,Grupompleo,España,20 mil € (Proporcionado por la empresa),29 días,"3,7","¿Buscas un nuevo reto profesional que te permita crecer y desarrollar tu talento en una empresa que apuesta por la estabilidad y la conciliación? Desde euskadimpleo Bilbao, seleccionamos un/a responsable de almacén para importante empresa del sector componentes electrónicos ubicada en Vitoria. Una oportunidad para potenciar tus capacidades dentro de un equipo comprometido con la calidad, la precisión y la optimización de procesos.

FUNCIONES: - Recepcionarás físicamente los productos y registrarás administrativamente su entrada en el ERP.- Coordinarás el almacenamiento de materiales y componentes recepcionados, garantizando su trazabilidad.- Organizarás el espacio de almacén para optimizar medios y garantizar la integridad de los materiales.- Controlarás los niveles de stock y mantendrás actualizados los registros.- Prepararás kits de materiales como entrada para producción.- Te responsabilizarás del orden y la limpieza en el almacén.

REQUERIMIENTOS: - Que dispongas de carné de carretilla elevadora en vigor.- Formación complementaria en logística o gestión de almacén.

FORMACIÓN BASE: Ciclo formativo de grado medio o superior en areas relacionadas con logística.

EXPERIENCIA: Experiencia previa de dos años en almacén o logística. Se valorará positivamente haber gestionado almacenes en entornos industriales.

APTITUDES: - Planificación y organización: Serás la persona encargada de asegurar que cada material esté donde debe estar, en el momento adecuado.- Rigor y atención al detalle: Trabajarás con productos que requieren precisión en su almacenamiento y control.- Respons


SALARIO: 20000.00 €22000.00 €
UBICACIÓN: Vitoria",Vitoria,Todos
Sales Assistant,Silbon,España,No especificado,+ 30 d,"3,7","SILBON, NOTHING IS CASUAL

¿Te apasiona la moda y quieres formar parte de un equipo dinámico en constante crecimiento?

En Silbon, la marca cordobesa de las dos raquetas estamos buscando talento para unirse a nuestro equipo.

Desde nuestros inicios en 2009, hemos tenido un propósito claro: conectar la marca con nuevos segmentos de clientes a través de nuestra esencia: el diseño y elegancia, la calidad, la normalidad y el compromiso social y medioambiental reforzado con una visión clara: la búsqueda constante de la diferenciación, sorprender para liderar.

Contamos con más de 130 tiendas y más de 500 colaboradores en la compañía entre España, Portugal, Francia y México.

Silbon es moda, pero también es pasión y estilo de vida.

Dress to live, dress to last.

Descripción de la oferta:

Buscamos diferentes perfiles de Sales Assistant de 20h para nuestra tienda ubicada en Vitoria.

Perfil profesional & responsabilidades:

Ofrecer una excelente experiencia de compra a nuestros clientes y fidelizarlos.
Actitud positiva, proactiva y entusiasta.
Capacidad de adaptación y flexibilidad.
Manejo de indicadores para ayudar a alcanzar los objetivos comerciales.
Gusto por la moda, sobre todo el universo masculino y conocimiento de Sastrería.
Vocación de servicio para ayudar a satisfacer las necesidades de nuestros clientes.
Recepción de mercancía, colocación y visual merchandising.
Valoramos experiencia en puesto similar
Se valorará tu movilidad geográfica

Ofrecemos:

Desarrollo profesional con posibilidades de crecimiento profesional
Un excelente entorno profesional en moda premium
Salario acorde al nivel de responsabilidad

¡No dudes en apuntarte a nuestra oferta y desarrolla tu carrera profesional con nosotros!",Vitoria,Todos
