Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Laboral,Kolibri Consulting,Zamora,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,9","Buscamos, para un Despacho Profesional consolidado, un/a Asesor/a Laboral con experiencia demostrable en la gestión integral de nóminas y seguridad social para una cartera de clientes (Pymes y Autónomos).

Si tiene un conocimiento profundo del Derecho Laboral y la Negociación Colectiva, y domina las plataformas oficiales (Sistema RED, SILTRA), le invitamos a formar parte de nuestro equipo.

Funciones Clave: Dominio Integral de la Gestión de Personal

El/La Asesor/a Laboral será el/la profesional de referencia para los clientes en todo lo relativo a recursos humanos y normativa sociolaboral:

Confección de Nóminas y Seguros Sociales:
Cálculo y elaboración mensual de nóminas, pagas extras y liquidaciones (finiquitos).
Preparación y presentación de los seguros sociales a través del Sistema RED y SILTRA.
Contratación y Trámites Oficiales:
Redacción y gestión de todo tipo de contratos de trabajo, prórrogas y variaciones contractuales.
Gestión de altas, bajas, variaciones de datos y partes de IT (Incapacidad Temporal) ante la Seguridad Social.
Preparación de los modelos de retenciones (Modelo 111 y 190).
Asesoramiento Estratégico:
Resolución de consultas diarias de los clientes sobre convenios colectivos, jornada laboral, licencias y permisos.
Asistencia en inspecciones de trabajo y gestión de expedientes de regulación de empleo (ERTE/ERE).
Mantenimiento actualizado de los expedientes de personal de la cartera asignada.

Requisitos Indispensables del Perfil

Experiencia: Mínimo 3-5 años de experiencia reciente y demostrable como Asesor/a Laboral o Graduado Social en un Despacho o Asesoría.
Formación: Titulación universitaria en Relaciones Laborales y Recursos Humanos (Graduado/a Social), Derecho o similar.
Conocimiento Legal: Dominio avanzado de la legislación laboral española vigente, incluyendo convenios colectivos de aplicación frecuente (ej. sector metal, comercio, oficinas y despachos).
Herramientas: Dominio experto de Software de Nóminas (ej. A3nom, Nominasol, Sage) y manejo fluido de las plataformas de la Seguridad Social (Sistema RED, SILTRA, Contrat@).
Habilidades: Capacidad organizativa para la gestión de plazos fijos (cierres de nómina), atención al detalle y excelente trato con el cliente.

Condiciones de la Contratación

Contrato: Puesto estable con Contrato Indefinido (contrato indefinido).
Desarrollo: Integración en un equipo especializado con apoyo para el desarrollo profesional continuo en materia de legislación.
Remuneración: Salario competitivo, acorde a la experiencia técnica en asesoría laboral.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Zamora, Zamora provincia (Zamora)",Zamora,Todos
Técnico Eléctrico SAT Zamora,Power Electronics,Zamora,No especificado,+ 30 d,"3,9","¡Únete a Power Electronics y forma parte del cambio hacia un futuro sostenible! ⚡️

Sobre Power Electronics

En Power Electronics creemos en un futuro más limpio, eficiente y sostenible, impulsado por la innovación tecnológica. Somos líderes globales en energías renovables y electrónica de potencia, con presencia en más de 36 países y un equipo de más de 3.000 personas comprometidas con un mismo propósito: transformar la energía en progreso. Trabajamos cada día para diseñar soluciones que impulsen el cambio hacia un mundo más responsable con el planeta y con las generaciones futuras.

La visión de Power Electronics es liderar la generación de energía renovable y contribuir a un mundo limpio y sostenible para las futuras generaciones.

Tu impacto

Como parte de nuestro equipo, contribuirás directamente al desarrollo de soluciones que marcan la diferencia. Entre tus principales responsabilidades estarán.

Realizar la puesta en marcha en baja y media tensión de nuestros equipos en campo.
Reparaciones en campo de inversores solares.
Realización de pruebas y test de control.
Acceso remoto a los equipos.
Soporte a clientes y delegaciones internacionales.
Formación de técnicos y clientes.
Asesoramiento técnico preventa
Realización de partes de trabajo e informes técnicos.
Atender y gestionar las incidencias de equipos en funcionamiento.
Coordinación con los responsables del departamento.

Buscamos personas con:

Formación académica: Formación Grado Superior (Eléctrico /Electrónico), Ingeniería o superior. Especialidad en Electrónica / Electricidad
Experiencia profesional: 1 año en entornos similares. Experiencia en maniobras de Baja y Media tensión dentro del sector de las energias renovables.
Idiomas: Inglés B2
Conocimientos técnicos: Manejo de instrumentación, analizador de redes, osciloscopio, aislamiento.

¿Por qué elegir Power Electronics?

Horario flexible y modalidad híbrida (según el puesto).
Formación continua a través de nuestra Universidad Corporativa.
Beneficios como comedor subvencionado, gimnasio propio y PEbenefits personalizados.
Plan de Retribución Flexible: transporte, guardería, formación, entre otros.
Entorno multicultural con oportunidades reales de crecimiento internacional.

Nuestro compromiso

En Power Electronics promovemos la igualdad de oportunidades, la diversidad y el desarrollo profesional y evaluamos a las personas por su aportación de valor profesional formando parte de nuestra cultura empresarial los principios de Integridad, Igualdad, Transparencia y Compromiso cívico, generando un entorno de trabajo sin discriminación por razón de sexo, estado civil, edad, condición física, condición social, religión, ideología o convicciones, orientación e identidad sexual, expresión de género, características sexuales, así como por razón de la lengua.

¿Te sumas al cambio? Únete a Power Electronics y forma parte de una compañía que impulsa el futuro de la Energía Inagotable.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Zamora,Todos
DELEGADO COMERCIAL ZONA VALENCIA NORTE,KRC MOTOS,Castilla y León,24 mil € - 48 mil € (Proporcionado por la empresa),24 horas,"3,9","Empresa importadora de motocicletas necesita cubrir puesto de delegado de ventas para la zona norte de España con disponibilidad para viajar e incorporación inmediata. Se ofrece contrato indefinido. Sueldo más comisiones más gastos. Vehículo y teléfono de empresa. Se valorará conocimientos en el sector de las motos. Imprescindible vivir en zona norte España. Interesados enviar C.V.

Tipo de puesto: Jornada completa

Sueldo: 24.000,00€-48.000,00€ al año

Ubicación del trabajo: Empleo presencial",Zamora,Todos
"Encargado de Obra Civil Salamanca, Valladolid y Zamora",Construcciones Civiles Aldaso,Castilla y León,No especificado,7 días,"3,9","Aldaso empresa constructora con amplia trayectoria selecciona para las Provincias de Salamanca, Zamora y Valladolid Encargados/as de Obra Civil que se encargará de planificar, organizar y supervisar los proyectos desde el inicio hasta el final, siempre tratando de respetar los tiempos acordados de ejecución y las especificaciones y presupuestos establecidos.

Responsabilidades:

Plan de ejecución, seguimiento y control de los trabajos en obra
Coordinación y supervisión equipos de trabajo
Asegurar el cumplimiento de las normas de seguridad y prevención de riesgos laborales en la obra
Control de las subcontratas
Gestionar el material y los medios auxiliares necesarios para ejecutar la obra: recepción de pedidos, revisión de albaranes, colocación y almacenamiento, control de stock y excedentes y gestión de posibles incidencias.
Supervisión del buen uso de la maquinaria de trabajo y orden y limpieza del entorno laboral
Elaboración de partes diarios de trabajo

Requisitos:

Experiencia mínima de 2 años como Encargado/a de Obra Civil
Conocimientos en obra lineal, urbanizaciones, canalizaciones, movimientos de tierras o estructuras
Manejo básico de herramientas digitales (correo, Excel, apps de obra)
Carné de conducir y disponibilidad para desplazamientos por las provincias de Salamanca, Valladolid y Zamora.
Valorable formación en prevención (PRL 60 h o similar).
Se ofrece:
Incorporación inmediata
Jornada Completa
Salario en función de conocimientos y experiencia aportada

Tipo de puesto: Jornada completa, Contrato indefinido

Ubicación del trabajo: Empleo presencial",Zamora,Todos
Auxiliar de Tienda para Zamora,Telepizza Chile,Zamora,No especificado,13 días,"3,9","Descripción:

¡Atención, amantes de la pizza! Telepizza, la reina del delivery, llegó a la fiesta en 1987 y desde entonces no ha parado de repartir felicidad en cada caja. ¡Más de 35 años haciendo que tus antojos se conviertan en sonrisas! Así que, si quieres un momento delicioso, ¡llama a Telepizza y deja que la magia de la pizza llegue a tu puerta! ¡Porque la vida es mejor con una porción en la mano!

¡futuro/a superhéroe de la tienda! ¿Te gustaría ser auxiliar y unirte a nuestra increíble familia? Estamos en busca de personas alegres y dinámicas que se encarguen de crear nuestras deliciosas Telepis, brindar una atención al cliente de 10 ,ayudando en las tareas de la tienda. ¡Y lo más importante! Debes ser un experto en guardar nuestro secreto mejor guardado.

¡Únete a nuestra aventura! Aquí tienes lo que te ofrecemos:

Un contrato parcial indefinido desde el primer día, ¡sí, así de fácil!
Trabaja desde 12 horas semanales, ¡perfecto para que puedas seguir disfrutando de la vida!
Flexibilidad horaria, porque sabemos que la vida es un equilibrio entre el trabajo y tus pasiones. Fomentamos la conciliación, porque tu bienestar es nuestra prioridad.
Formación continua para que siempre estés aprendiendo y creciendo.


¡Estamos en todas partes! Buscaremos un centro de trabajo cerquita de ti, para que puedas venir a trabajar con una sonrisa.

Así que, si te encanta trabajar en equipo, tienes buena energía y disponibilidad, ¡queremos conocerte!

Prepárate, porque podrías recibir un mensaje con un enlace para que te presentes en un vídeo breve y te contemos más sobre el puesto. Si todo va bien, ¡te contactaremos personalmente! ¡Te esperamos!

Requisitos:

Mayor de edad.
Permiso de trabajo en regla.
Experiencia en Atención al Cliente",Zamora,Todos
Agente de aparcamiento,Telpark,Zamora,No especificado,24 horas,"3,9","Si hay algo que nos mueve y apasiona en Telpark es el talento.

El agente de aparcamiento es el responsable de garantizar el funcionamiento eficiente y seguro de un aparcamiento, interactuando con los clientes, administrando el flujo de vehículos y clientes, proporcionando asistencia de estacionamiento y garantizando el cumplimiento de las reglas y regulaciones de estacionamiento.


Funciones:

Atención al cliente:
Gestión del aparcamiento:
Gestión comercial:
Mantenimiento del aparcamiento:
Información y reporte:
Resolver problemas y situaciones de emergencia

Conocimientos y habilidades

Orientación y atención al cliente
Comunicación efectiva
Habilidades comerciales
Trabajo en equipo

Si quieres formar parte de una empresa en crecimiento y en pleno proceso de transformación digital y cultural, este es tu momento.",Zamora,Todos
Atención al cliente,Aenus,Zamora,No especificado,7 días,"3,9","Ubicación: Zamora

¿Te motiva trabajar con personas, aportar soluciones y formar parte de un proyecto en crecimiento?

En Aenus Correduría de Seguros seguimos ampliando equipo y buscamos un perfil para nuestro departamento de atención al cliente.

¿Qué te encontrarás en esta posición?

Serás una pieza clave en la relación con nuestros clientes, participando activamente en los procesos del negocio y contribuyendo al buen funcionamiento de la compañía. Un rol dinámico, cercano y con impacto real en la experiencia del cliente.

Tus principales responsabilidades serán:

Canalizar y coordinar las gestiones de los clientes con las distintas áreas de la empresa.
Asesorar a los clientes en materia de seguros, adaptando las soluciones a cada caso.
Participar en campañas y acciones de venta cruzada.
Velar por una relación de calidad, garantizando una atención excelente a cada cliente.

¿Qué buscamos en ti?

Experiencia previa en atención al cliente (valoraremos experiencia en seguros o servicios profesionales).
Orientación a resultados y compromiso con la resolución efectiva de los problemas de nuestros clientes.
Capacidad para trabajar en equipo en conexión con las distintas disciplinas de la empresa.
Comunicación oral y escrita profesional y manejo de herramientas digitales necesarias.

¿Qué ofrecemos en Aenus?

Contrato indefinido y jornada completa con la tarde del viernes libre.
Horario intensivo los meses de verano.
Formación inicial y acompañamiento continuo.
Plan de retribución flexible y seguro de salud.
Incorporación a una compañía con más de 30 años de experiencia.
Equipo consolidado con amplia experiencia técnica y orientación al cliente.
Posibilidad de desarrollo profesional dentro de la correduría.
Flexibilidad y posibilidad de conciliación.

Si quieres crecer con nosotros y marcar la diferencia, envíanos tu candidatura. ¡Te estamos esperando!

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Jornada intensiva en verano
Jornada intensiva los viernes
Seguro dental
Seguro médico privado

Preguntas para la solicitud:

¿Cuántos años de experiencia tienes en un puesto similar?
¿Vives en Zamora?
¿Tienes experiencia utilizando herramientas digitales, CRM u otras plataformas de gestión en tu trabajo diario?
¿Has trabajado anteriormente en el sector seguros o en un entorno similar?
¿Has participado en campañas o acciones de venta cruzada anteriormente?
¿Cuales son tus expectativas salariales? Indica el SALARIO BRUTO ANUAL
¿Tienes disponibilidad inmediata de incorporación?

Ubicación del trabajo: Empleo presencial",Zamora,Todos
Administrativo,Esla Centros de Formacion,Zamora,No especificado,21 días,"3,9","Oferta de empleo: Administrativo/a – Zamora

Esla Centros de Formacion Zamora busca Administrativo/a para incorporarse a su equipo.

Funciones principales:

Gestión y archivo de documentación
Atención telefónica y presencial
Facturación, control de pagos y cobros
Apoyo administrativo a distintos departamentos
Manejo de correo electrónico y herramientas ofimáticas

Requisitos:

Formación en Administración, Gestión o similar
Experiencia previa en puesto administrativo (valorable)
Buen manejo de Microsoft Office (Word, Excel, Outlook)
Organización, responsabilidad y buena comunicación

Se ofrece

Incorporación inmediata
Jornada completa
Horario partido
Salario según convenio y experiencia
Incorporación a un equipo estable y buen ambiente de trabajo

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Zamora,Todos
Vendedor/a Jardín Temporal 30h Rotativo Zamora,Leroy Merlin,Zamora,No especificado,7 días,"3,9","Nuestras Tiendas es el lugar donde demostramos, cara a cara, nuestro propósito. Si compartes este objetivo y tu satisfacción es conseguir que los clientes puedan dar vida a sus ideas y proyectos, este es tu sitio.

Formar parte del equipo de nuestras tiendas significa trabajar en un ambiente de co-creación donde vivir nuestros valores y propósito de empresa junto al cliente.

¿Te unes a nosotros y nosotras?

Te lo enseñamos aquí en este vídeo:

Por esto contamos contigo como Vendedor/a Especialista, porque tienes un amplio conocimiento de tu oficio y nuestros productos, aportas la experiencia de trabajar como profesional de tu sector y sobre todo tienes pasión por lo que haces.

Principales funciones

Ofrecer un asesoramiento completo al habitante, en su ámbito de actuación, con el objetivo de alcanzar la satisfacción y fidelización del mismo.
Asesorar al habitante, a través del canal adecuado en cada momento, con el objetivo de ofrecerle los productos / servicios que más se ajusten a sus necesidades.
Atender al habitante con diligencia y resolver las incidencias y dudas que puedan darse durante todo el proceso de venta, personalizando y ofreciendo experiencias de compra positivas.
Detectar oportunidades de negocio en todas las interacciones con el habitante, y aprovecharlas teniendo en cuenta siempre los criterios de margen y rentabilidad para Leroy Merlin, realizando los presupuestos y los pedidos asociados, y llevando a cabo un seguimiento de los mismos.
Ofrecer a los habitantes los servicios más adaptados a la venta solución como la instalación, financiación y envíos a domicilio entre otros gestionando los pagos en el punto de venta cuando la ocasión lo permita.
Realizar la gestión administrativa de los servicios postventa de cara a prestar un servicio idóneo para el habitante.


¿Qué ofrecemos?

Nuestro Propósito

En Leroy Merlin tenemos un propósito que da sentido a lo que somos y a todo lo que hacemos, una guía que es nuestro compromiso contigo y con el planeta. Y es que todo lo que te ofrecemos busca despertar en ti la motivación de crear entornos donde vivir mejor.

Porque estamos seguros de una cosa, si nos lo proponemos, cambiar el mundo está en nuestras manos y en las tuyas.

La Acción Social es uno de los pilares fundamentales de Leroy Merlin España, siendo un valor añadido para toda la empresa, pero también para la comunidad. A través de diversas acciones: proyectos de reforma y acondicionamiento, donaciones, productos solidarios, voluntariado corporativo y nuestra Convocatoria de Ayudas ""Hogares Dignos"", contribuimos a la construcción de un mundo y de una sociedad mejor.

¡Benefíciate! Por ser Leroy Merlin

Como colaboradora o colaborador de Leroy Merlin España tienes a tu disposición más de 70 beneficios y/o ventajas clasificados en 6 categorías, pensados para brindarte la mejor experiencia por ser parte de este gran equipo.

Te beneficiarás además de la Política de Compensación Flexible y de Beneficios ofrecidos por Leroy Merlin, como son la posibilidad de convertirte en accionista de la compañía, Seguro de Salud, ayudas en guardería, cheques restaurante y diversos descuentos con grandes colaboradores comerciales, entre otros.

Contarás con una retribución fija además de la participación en los resultados y beneficios.

¡Desarróllate!

¡Fórmate y desarróllate en una empresa multinacional! Encontrarás un gran ambiente de trabajo y dispondrás de autonomía para decidir y actuar, pudiendo participar en la toma de decisiones y en proyectos transversales.

El lugar para todas y todos

La Gestión de la Diversidad es un eje fundamental en nuestra filosofía de empresa. Es por esto que está incluida en el Chárter de Diversidad, un código de compromiso promovido por la Fundación para la Diversidad y apoyado por el Ministerio de Sanidad, Política Social e Igualdad. Con esto, nos reafirmamos en nuestro compromiso con el respeto al derecho de la inclusión de todas las personas y reconocemos los beneficios que nos brindan la diversidad cultural, demográfica y social.

Leroy Merlín España, S.L.U., declara su compromiso en el establecimiento y desarrollo de políticas que integren la igualdad entre mujeres y hombres, sin ningún tipo de discriminación, así como en el impulso y fomento de medidas para conseguir la igualdad efectiva en el seno de nuestra organización. Asumimos el principio de igualdad entre mujeres y hombres en todos y cada uno de los ámbitos en los que se desarrolla nuestra actividad y en el marco de la Responsabilidad social de nuestra Organización.

Si quieres desarrollar el trabajo que te gusta, nuestra puerta está abierta para ti. Aquí no entendemos de barreras.

TU TALENTO NO TIENE LÍMITES

Sí quieres conocer más información acerca de nuestro Propósito, valores y acciones y nuestras vacantes de empleo, dejamos a tu disposición nuestra Web de Empleo Corporativa Leroy Merlin España.

¡CAMBIAR NUESTRO MUNDO ESTÁ EN NUESTRAS MANOS!",Zamora,Todos
Auxiliar Administrativo/a,Esla Centros de Formacion,Zamora,No especificado,16 días,"3,9","En el Centro de Formación ESLA buscamos incorporar un/a Auxiliar Administrativo/a para trabajar en nuestras oficinas centrales en Zamora.

Funciones principales:

Apoyo en la gestión administrativa de cursos de formación subvencionada y privada.
Organización, revisión y archivo de documentación.
Digitalización y gestión de expedientes.
Actualización de bases de datos.
Atención telefónica y apoyo general a los distintos departamentos.

Perfil que buscamos:

Persona organizada, responsable y con atención al detalle.
Ganas de aprender y desarrollarse profesionalmente.
Manejo básico de herramientas informáticas (Word, Excel, correo electrónico).
Se valorará formación administrativa o experiencia previa en puesto similar.

Ofrecemos:

Jornada completa.
Horario: de lunes a viernes, de 9:00 a 14:00 y de 16:00 a 19:00.
Incorporación a un equipo dinámico y en crecimiento.
Formación inicial y acompañamiento en el puesto.
Buen ambiente de trabajo y posibilidad de desarrollo profesional.

Tipo de puesto: Jornada completa

Preguntas para la solicitud:

¿Cuál es tu nivel de manejo de Excel y otras herramientas ofimáticas?
¿Vives en Zamora?

Experiencia:

Gestión administrativa: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Zamora,Todos
