Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Ingeniero de diseño y desarrollo electrónico,ARCO MET7 S.L. y Arco Electrónica,España,25 mil € - 35 mil € (Proporcionado por la empresa),24 horas,"4,0","Empresa con más de 47 años de experiencia, dedicada a la fabricación de maquinaria industrial y automatización de procesos industriales, precisa de un especialista en electrónica, para trabajar en su Oficina Técnica, ubicada en La Almunia de Doña Godina, Zaragoza.

¿Qué ofrecemos?

- Estabilidad.

- Proyecto de larga duración.

- Crecimiento personal y plan de carrera dentro de la empresa.

¿Qué estamos buscando?

- Formación en Ingeniería Electrónica Industrial y Automática o Grado Superior en Electrónica.

- Experiencia en componentes electrónicos básicos.

- Conocimientos en electrónica analógica y digital.

- Conocimientos de MCUs de diferentes marcas y en especial de arquitectura ARM.

- Conocimientos en sistemas RTOS.

Funciones:

- Programación firmware de microcontroladores (lenguaje C).

- Programación de aplicaciones destinadas al control de procesos industriales en lenguaje C.

- Manejo de Comunicaciones:

- Can

- RS-485

- Ethernet

Horario:

- De lunes a jueves (08:00h-17:00h).

- Los viernes (08:00h-16:00h).

Tipo de puesto: Jornada completa

Sueldo: 25.000,00€-35.000,00€ al año

Preguntas para la solicitud:

¿Cuándo podrías incorporarte?
¿Cuáles son tus expectativas salariales?

Experiencia:

diseño y desarrollo de FIRMWARE con lenguaje C: 2 años (Obligatorio)

Licencia/Certificación:

carnet de conducir tipo B y vehículo propio (Obligatorio)

Ubicación del trabajo: Empleo presencial",Zaragoza,Todos
Supply Chain Planning & Logistics Senior Specialist,Novartis,Zaragoza,No especificado,+ 30 d,"4,0","Summary
The SC Planning and Logistics Senior Specialist ensures that orders are taken in, processed and carried out with precision to make sure the customer receives their products on time.
About the Role

Major accountabilities:

Create Supply Plans at site level which incorporate Production plan and Logistic plan & ensure that the production plans are accurately reflected in our planning systems.
Manage the productions and shipments ensuring that product is manufactured and shipped on time, complying to IATA rules and ADR.
Ensure direct and fluent communication with all stakeholders.
Represent the point of contact for follow-up on time delivery dates & escalating changes related to supply.
It guarantees the initial training of the people who work in the logistics department.
Own and manage the planning parameters in planning system.
Actively supports the local Supply and operation process.
Responsible for organizing and follow up of logistic flows of final products to customer (freight out).
Manage international orders and their inclusion in correspondent systems and the preservation of documentation related to logistics.
In charge of ensuring the best routes and transport companies are always used.

Essential requirements:

Degree in Supply Chain Management/Business Administration/Economics or related field.
Previous experience in supply planning and logistics on a global scale.
Experience in an international environment.
Shows the appropriate sense of urgency and prioritization around given tasks.
Fluent in Spanish and English.

Desirable requirements:

Experience within pharmaceutical industry.
Exploration of new technology and techniques to eliminate non-value adding activities and improve productivity / performance through new processes.

Why Novartis: Helping people with disease and their families takes more than innovative science. It takes a community of smart, passionate people like you. Collaborating, supporting and inspiring each other. Combining to achieve breakthroughs that change patients’ lives. Ready to create a brighter future together? https://www.novartis.com/about/strategy/people-and-culture

Benefits and Rewards: Learn about all the ways we’ll help you thrive personally and professionally.
Read our handbook (PDF 30 MB)



Division
Operations
Business Unit
Production / Manufacturing
Location
Spain
Site
Zaragoza
Company / Legal Entity
ES45 (FCRS = ES045) AAA Ibérica S.L.U.
Functional Area
Technical Operations
Job Type
Full time
Employment Type
Regular
Shift Work
No
VIDEO

Novartis is committed to building an outstanding, inclusive work environment and diverse teams' representative of the patients and communities we serve.",Zaragoza,Todos
Supervisor(a) de tienda / Tercer(a) Encargado(a)- Jornada Completa - Puerto Venecia -,Skechers U.S.A.,Zaragoza,No especificado,23 días,"4,0","Supervisor/a tienda
Skechers, con sede en el sur de California, THE COMFORT TECHNOLOGY COMPANY, lleva más de 30 años ayudando a las personas de todo el mundo a verse y sentirse bien.
Además de nuestro extenso surtido en calzado, también ofrecemos una gama cada vez más amplia de ropa y accesorios. El desarrollo de elementos tecnológicos para aportar el máximo confort es la base de todo lo que hacemos, ofreciendo productos atractivos, cómodos, innovadores y de calidad a un precio razonable. Skechers es una marca de estilo de vida completa.
¿Eres un/a líder de equipo que se desenvuelve en un entorno de ritmo rápido y le encanta trabajar con los clientes?
Si es así, queremos que te unas a nosotros como Supervisor/a de nuestro equipo de ventas.

Descripción del puesto

Como Supervisor/a del equipo de ventas, garantizarás que nuestros clientes reciban un servicio excelente y trabajarás con el resto del equipo para alcanzar los objetivos de la tienda.

Contribuirás a convertir una visita a nuestras tiendas en una experiencia excepcional. Te sentirás identificado/a con los productos Skechers para así poder representarnos como embajador/a de la marca.

Te ofrecemos un salario competitivo y otros beneficios, además de oportunidades de crecimiento profesional. ¡Puedes dejar tu huella en el mundo del Retail con Skechers!

Queremos que seas tú mismo/a y te sientas bienvenido/a cuando te unas a nosotros.

Lo que buscamos

Experiencia previa en un puesto de supervisión

Fuertes habilidades de liderazgo y comunicación

Capacidad para motivar e inspirar a los demás

Compromiso de ofrecer un servicio excepcional al cliente

Lo que ofrecemos:

Salario competitivo y beneficios adicionales

Oportunidades de crecimiento y desarrollo profesional

Un entorno de trabajo divertido y dinámico

Descubre más sobre Skechers y nuestros beneficios en nuestro Candidate Pack que recibirás durante el proceso de selección.

Esta es una gran oportunidad para unirte a nosotros y tener un impacto positivo en una empresa en crecimiento. Si crees que puedes ser un/a verdadero/a embajador/a de la marca Skechers, envía tu CV haciendo clic en el enlace o visita www.skecherscareers.com.

En Skechers valoramos e impulsamos la diversidad en el seno de nuestra empresa, y en consecuencia, nos aseguramos de que nuestros procesos de selección sean transparentes y justos, y que fomenten la igualdad de oportunidades para nuestros/as empleados/as y candidatos/as.

About Skechers

Skechers, a global Fortune 500® company, develops and markets a diverse range of lifestyle and performance footwear, apparel, and accessories. Serving over 180 countries and territories, Skechers connects customers to products through department and specialty stores, e-commerce and digital stores, and through our more than 5,300 Skechers retail locations.

Be You - Feel Welcome

Skechers recognises the importance and power of diversity within our business. We ensure that our people processes are fair, transparent and promote equality of opportunity for all employees and job applicants.


Reasonable accommodations may be made to enable individuals with disabilities or health conditions, who are otherwise qualified for the job position, to perform the essential functions as detailed above.",Zaragoza,Todos
Mecánico/a de turismo,Bridgestone Global,Zaragoza,No especificado,+ 30 d,"4,0","Mecánico/a de turismo
RESUMEN DEL PUESTO
JobReq ID: 54348
Modalidad de Trabajo: Presencial
Tipo de contrato: Contrato temporal
Jornada completa/Jornada parcial: Jornada completa
Ubicación: ZARAGOZA, ES
SOBRE NOSOTROS

Bridgestone Americas, Inc. (BSAM), con sede en Nashville, Tennessee, y Bridgestone Europe, Middle East and Africa (BSEMEA), con sede en Bruselas, Bélgica, operan colectivamente como una región estratégica «Bridgestone West». Esta región da servicio a las necesidades empresariales estratégicas de los equipos de América, Europa, Oriente Medio y África. BSAM y BSEMEA son filiales de Bridgestone Corporation, con sede mundial en Japón. Bridgestone y sus filiales desarrollan, fabrican y comercializan una amplia gama de productos y soluciones de las marcas Bridgestone, Firestone y asociadas para satisfacer las necesidades de una amplia gama de clientes e industrias.

SOBRE LA POSICIÓN

Objetivo del puesto

En Zaragoza estamos buscando incorporar a un/a mecánico/a de turismo para First Stop quien realizará trabajos de montaje de neumáticos, mantenimiento, control de desgaste, diagnósis, mecánica rápida y avanzada.

First Stop y Elma son filiales del Grupo Bridgestone en España. En conjunto, gestionamos una red de aproximadamente 46 centros de servicio en todo el territorio nacional, ofreciendo cobertura integral en soluciones de mantenimiento para el automóvil.

First Stop está especializada en neumáticos y servicios de mantenimiento de automoción, tanto para clientes particulares como para flotas profesionales. Nuestra oferta abarca una completa gama de productos y servicios, incluyendo diagnóstico electrónico, mantenimiento preventivo, sustitución de neumáticos, frenos, suspensión, correas de distribución, embragues, sistemas de aire acondicionado y cambios de aceite. Asimismo, contamos con una sólida experiencia en la gestión de neumáticos para vehículos ligeros y pesados.

Comprometidos con la calidad y la seguridad, en First Stop trabajamos cada día para ofrecer un servicio eficiente, profesional y orientado al cliente.




Responsabilidades:

Montaje y reparación de neumáticos de turismo.
Mantenimiento, mecánica rápida y integral: aceites, frenos, amortiguadores, alineaciones, correas de distribución, embragues, mecánica avanzada: culatas, diagnosis de motor y sistemas eléctricos.



Cualificaciones y experiencia requeridas




Educación, Máster, otras cualificaciones:

Formación Profesional Grado Medio



Experiencia (años):

Al menos 3 años de experiencia



Habilidades técnicas:

Carnet de conducir
Experiencia demostrable en las siguientes funciones:
Mantenimiento.
Neumáticos.
Mecánica.
Diagnósis
Valorable: Conocimiento de camiones



Habilidades sociales:

Calidad
Trabajo en equipo



Idiomas:

Español



Nuestros Beneficios:

Salarios según convenio en función del valor aportado por el candidato/a.
Contrato a jornada completa.
Jornada de trabajo de lunes a viernes
Conciliación: Disfruta del día de tu cumpleaños si coincide en día laboral.
Estabilidad laboral.
Descuento importante en neumáticos y servicios de mecánica rápida para empleados/as a partir del primer año.
Programa conexión de descuentos en productos y servicios para familiares y amigos.
Acceso a sistemas de retribución flexible con beneficios fiscales. ¡Obtén más beneficio de tu nómina!
Formación técnica.
Formación gratuita de inglés.
Inmejorable ambiente de trabajo.
Opciones reales de desarrollo de carrera profesional en un grupo de empresas multinacional.
Día extra de vacaciones en tu 10º aniversario en la compañía.
Plan de wellbeing empresarial del año en curso (2025).
Ayudas a la discapacidad.
Equiparamos la pareja de hecho al matrimonio.
Mindfulness.
EAP: Asesoramiento para las personas de compañía y sus familias en áreas legales, familiares, bienestar...pensada para ti y los tuyos. Incluye 6 sesiones de psicólogo y 6 sesiones de coaching professional.
QUÉ OFRECEMOS

En Bridgestone, lo que realmente importa es fomentar las oportunidades de creación y desarrollarte para ser creativo y curioso para hacer que la movilidad sea más segura, más eficiente y más sostenible para las generaciones futuras. Sea cual sea la función que desempeñes, cuando representas a Bridgestone, eres un compañero/a de equipo valioso, y parte de nuestra misión más amplia de «Servir a la Sociedad con Calidad Superior», por ello, te ofrecemos algo más que un salario competitivo; te proporcionaremos:

Una experiencia de incorporación positiva y atractiva para garantizar una transición fluida a nuestro equipo.
La oportunidad de desarrollarse y crecer, a través de la formación y desarollo.
Actividades de responsabilidad social corporativa.
Un entorno de trabajo verdaderamente global, dinámico y estimulante.
Agilidad y eficacia en el trabajo y tu bienestar a largo plazo.
Un equipo diverso e integrador.

Nos comprometemos a crear una cultura aún más integradora que fomente la equidad, acoja la individualidad y ayude a prosperar a nuestros cada vez más diversos compañeros/as de equipo, clientes y comunidades, ofreciendo igualdad de oportunidades en el empleo. Esto significa que todos los solicitantes de empleo recibirán el mismo trato y que no discriminaremos por motivos de sexo, estado civil, etnia, color, nacionalidad, origen nacional, discapacidad, orientación sexual, religión o edad.",Zaragoza,Todos
Business Developer,Eurofirms,Zaragoza,No especificado,20 días,"4,0","Zaragoza, Zaragoza

Empleo de Business Developer, Zaragoza
Fecha de publicación:
05/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y viernes en turno partido en horario entre 09:00h y 18:00h con los descansos establecidos por ley.
Vacantes:
1
Salario:
A concretar
Población:
Zaragoza



Descripción de la oferta de empleo de Comercial en Zaragoza
Eurofirms Group | People first Zaragoza, Aragón, España

¿Te apasiona conectar personas, generar oportunidades y liderar por valores?
Si tienes actitud, visión comercial y te motiva impulsar el crecimiento en la zona de Zaragoza, ¡este puesto de Business Developer es para ti!

¿Por qué trabajar con nosotros?

En Eurofirms Group creemos en el talento sin etiquetas. Apostamos por un entorno inclusivo, diverso y respetuoso, donde cada persona cuenta y puede crecer siendo auténtica.
People First no es solo nuestro lema, es nuestra forma de trabajar.
Entrarás a formar parte de la empresa de gestión de talento de capital nacional número 1 en España, con más de 30 años de trayectoria en el sector de los Recursos Humanos. Estamos presentes en varios países de Europa y Latinoamérica, y seguimos en constante expansión, poniendo a las personas en el centro.

¿Qué te ofrecemos?


Apoyo continuo de tu líder y compañeros/as desde el primer día.
Plan de carrera real dentro de la compañía, con posibilidades de crecimiento y promoción interna.
Un entorno donde tu voz cuenta: fomentamos la participación, las ideas y que cada persona aporte lo mejor de sí misma.
Gestión por valores, con foco en la transparencia, el compromiso y el respeto.
Buen ambiente laboral, donde el compañerismo y la colaboración son parte de nuestro día a día.
Flexibilidad horaria real: entrada entre las 8:00 y las 10:00, salida entre las 17:00 y las 19:00.
Una tarde libre por semana, para ti.
Un día de teletrabajo semanal.
Formación continua y herramientas tecnológicas que te facilitan el trabajo.
Sistema de bonus atractivo que reconoce tu esfuerzo.
Seguro médico a los 2 años para ti y tu familia.
Benefits y descuentos en gimnasios.
La tranquilidad de formar parte de una empresa sólida, con más de 30 años de trayectoria.

Testimonios reales de compañeros/as en Eurofirms:

""Aquí no hay jerarquías que separan, sino personas que suman. Lo que hacemos tiene sentido, porque ayudamos a clientes, trabajadores y compañeros. Y eso, sinceramente, es muy bonito.""
""Yo disfruto mucho mi trabajo. Me siento escuchada, acompañada y valorada. Y eso no tiene precio.""
""Nosotros ayudamos a crecer a la empresa. Y eso solo se consigue con actitud, constancia y transparencia. Aquí no vendemos humo, vendemos soluciones reales.""

¿Te gusta lo que lees?

Si te apetece formar parte de una empresa que cree en las personas y te va a acompañar en tu desarrollo... ¡Inscríbete, queremos conocerte!

#BD
¿Qué vas a vivir y hacer en este rol?

Tu misión será desarrollar negocio en la zona de Zaragoza, generando nuevas oportunidades comerciales y consolidando relaciones con clientes.

Esto incluye:

Labor comercial:


Prospección activa y apertura de nuevos clientes.
Fidelización y desarrollo de cuentas activas.
Identificación de oportunidades y necesidades reales.
Desarrollo de nuevas líneas de negocio.
Coordinación con otras oficinas para garantizar un servicio excelente.

Colaboración interna:


Trabajo conjunto con el equipo de Recruiters para asegurar la calidad del servicio.
Apoyo en procesos de selección y seguimiento de trabajadores según necesidades del cliente.
Función:
Comercial
Requisitos:
¿Qué buscamos en ti?


Escucha activa, empatía y actitud positiva.
Perseverancia, iniciativa y ganas de aprender.
Capacidad de adaptación y comunicación clara.
Experiencia comercial (valorable en el sector ETT o RRHH).
Carné de conducir.
Formación:
Valorable grado universitario en ADE.
Idiomas:
Castellano hablado y escrito correctamente.",Zaragoza,Todos
Coordinador/a Senior de Departamento – Montaje de Hardware,Varios SL,Zaragoza,23 mil € - 25 mil € (Proporcionado por la empresa),+ 30 d,"4,0","En ProviSport SL buscamos incorporar un Coordinador Senior de Departamento de Montaje de Hardware para liderar y gestionar nuestro producto propio. Se trata de una posición estable y de largo recorrido, con contrato indefinido desde el inicio y un plan de crecimiento real dentro de la compañía.

Lo que ofrecemos

Estabilidad total: contrato indefinido y proyecto sólido.
Formación especializada de nicho, a cargo de la empresa, en nuestro producto y en tecnologías asociadas.
Posibilidades de crecimiento profesional dentro de una empresa en expansión desde 1997.
Ambiente de trabajo profesional, con acompañamiento en todo momento e integración en un equipo tanto dinámico como experto.

Responsabilidades

Coordinar el departamento de montaje e instalación de hardware específico de nuestro producto.
Supervisar conexiones básicas de electrónica, redes y electricidad.
Garantizar la correcta puesta en marcha y verificación del producto en cliente.
Gestionar al equipo técnico, asegurando la mejora continua y la calidad del servicio.
Planificación de viajes a clientes, asegurando cumplimiento de plazos y soporte eficaz.

Requisitos

Experiencia previa en montaje de hardware o entornos similares.
Muy valorables capacidades organizativas y de coordinación de equipos.
Conocimientos básicos de electrónica, redes y electricidad.
Disponibilidad para viajar dentro del territorio nacional.
Persona con compromiso, responsabilidad y visión de largo plazo.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.500,00€-24.500,00€ al año

Beneficios:

Formación en certificaciones profesionales
Jornada intensiva en verano

Experiencia:

montaje de electrónicas : 3 años (Obligatorio)
coordinando equipos: 2 años (Obligatorio)

Disponibilidad para viajar:

25 % (Obligatorio)

Ubicación del trabajo: Empleo presencial",Zaragoza,Todos
Técnico/a de compras con inglés,Singulier Consulting,España,27 mil € - 33 mil € (Proporcionado por la empresa),24 horas,"4,0","Importante empresa del sector industrial, busca incorporar para su delegación de Zaragoza un/a técnico/a para ampliar el equipo del departamento de compras.

Funciones a realizar:

Gestión de la cartera de proveedores asignada, negociación de precios, otras condiciones y valoraciones de ofertas.
Interlocución con los proveedores habituales asignados y con los diferentes departamentos de la empresa (oficina técnica, logística, producción, administración).
Elaboración y gestión de acciones de reducción de precios y de costes.
Análisis del BOM y ABS´s.
Seguimiento y actualización de índices de precios.
Definición e implementación de nuevas consultas e informes de compras para avanzar en la automatización de tareas administrativas.
Reportar al director de compras.

Conocimientos y experiencia requeridos:

Formación nivel universitario, preferentemente grado en ingeniería mecánica o afines.
Idiomas: inglés nivel alto (negociación), se valoran conocimientos de idiomas francés y/o alemán.
Informática: Excel nivel avanzado, Power BI y Ofimática nivel usuario.
Experiencia mínima de 3 años en funciones similares, preferentemente en empresas industriales del sector metal.
Persona organizada, resolutiva, con capacidad de trabajo en equipo y afán de superación.

Se ofrece:

Contrato directo por empresa y estabilidad laboral.
Rango salarial de 27.000-33.000k brutos anuales en función a la experiencia aportada.

Si te interesa, envíanos tu CV actualizado y nos pondremos en contacto para avanzar en el proceso.

Tipo de puesto: Jornada completa

Sueldo: 27.000,00€-33.000,00€ al año

Ubicación del trabajo: Empleo presencial",Zaragoza,Todos
Asesor/a Contable,Kolibri Consulting,Zaragoza,22 mil € - 28 mil € (Proporcionado por la empresa),23 días,"4,0","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Zaragoza, Zaragoza provincia (Zaragoza)",Zaragoza,Todos
Maquinista/Operario Máquina Obra Pública,Serranía Geominerales S.L,Zaragoza,2 mil € - 4 mil € (Proporcionado por la empresa),+ 30 d,"4,0","¡Únete a nuestro equipo! Buscamos Maquinista para Construcción

Estamos en la búsqueda de un Operador de máquina para la Construcción (retroexcavadoras, minis, mixtas, tractores, extravíales, bulldozer... )con experiencia para formar parte de nuestra empresa. Si eres una persona responsable, comprometida y con habilidades para operar maquinaria pesada, ¡esta es tu oportunidad.

Te esperamos.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.500,00€-3.500,00€ al mes

Beneficios:

Eventos de la empresa
Gastos de reubicación
Opción a contrato indefinido
Plus transporte
Programa de formación
Teléfono de empresa
Ticket restaurante
Uniforme proporcionado

Licencia/Certificación:

Manejo de maquinaria pesada (Obligatorio)
20 hrs contrucción (Obligatorio)

Ubicación del trabajo: Empleo presencial",Zaragoza,Todos
Técnico Eléctrico con EPLAN para Oficina Técnica Eléctrica,Arco Electrónica,España,24 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Empresa con más de 47 años de experiencia, dedicada a la fabricación de maquinaria industrial y automatización de procesos industriales, precisa de un especialista en electricidad, para trabajar en su oficina técnica eléctrica, ubicada en La Almunia de Doña Godina, Zaragoza.

¿Qué ofrecemos?

- Estabilidad.

- Proyecto de larga duración.

- Crecimiento personal y plan de carrera dentro de la empresa.

¿Qué estamos buscando?

- Formación en Ingeniería Eléctrica o similar, o bien Grado Superior de Electricidad.

- Experiencia en diseño de Esquemas Eléctricos.

- Conocimiento de diseño y cableado eléctrico para automatización de máquinas y procesos industriales.

- Conocimientos en Eplan o Electrical Autodesk.

Funciones:

- Diseño de planos eléctricos.

- Revisión de manuales.

- Preparación de listas de materiales.

- Realización de gráfica de proyectos.

Horario:

- De lunes a jueves (08:00h-17:00h).

- Los viernes (08:00h-16:00h).

Tipo de puesto: Jornada completa

Sueldo: 24.000,00€-30.000,00€ al año

Preguntas para la solicitud:

¿Cuándo podrías incorporarte?
¿Cuáles son tus expectativas salariales?
¿Tienes formación y experiencia trabajando con Eplan o Electrical Autodesk?

Experiencia:

Oficina técnica eléctrica: 2 años (Obligatorio)

Licencia/Certificación:

carnet de conducir tipo b y coche propio (Obligatorio)

Ubicación del trabajo: Empleo presencial",Zaragoza,Todos
