Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Administrativo,Atila Legal,Madrid,16 mil € - 26 mil € (Proporcionado por la empresa),+ 30 d,"3,6","Descripción del empleo

En Atila Legal salvamos vidas quitando deudas. Esto es a lo que vienes.

Buscamos a una persona proactiva y empática, comprometida con transmitir los valores de la empresa desde el primer momento. Como primer eslabón en la experiencia del cliente, tu rol será fundamental para:

Brindar una atención cálida y profesional, generando confianza y seguridad desde el primer contacto.

Orientar y resolver dudas, proporcionando información clara y detallada sobre nuestros servicios/procesos.

Gestionar agendas para derivar casos al equipo comercial especializado, asegurando una transición fluida y organizada de nuestros clientes.

Somos una empresa en plena expansión dentro del mundo del derecho y estamos ampliando el equipo comercial. Buscamos una persona con ganas de crecer, que le guste el trato con las personas y trabajar en equipo.

¿Qué ofrecemos?

Jornada completa: 10 a 19h.

Posibilidades reales de crecimiento profesional en la empresa.

Formación continua

16.000 € brutos + comisiones de hasta 10.000€ netos

Incorporación estable en empresa líder en su sector

Ubicación del puesto de trabajo: Madrid

Funciones Principales

Venta telefónica

Gestión de clientes

Eres tú si...

Tienes capacidad de negociación

Tienes actitud resolutiva y orientada al servicio

Si tienes una forma de trabajar organizada y metódica

Quieres ayudar a cambiar el mundo

Quieres crecer dentro de una empresa en pleno crecimiento

Te gusta trabajar en equipo

Sabes aportar al cliente una clara orientación

Idiomas

Idiomas español – Avanzado/nativo

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 16.000,00€-26.000,00€ al año

Preguntas para la solicitud:

¿Cuándo podrías incorporarte?
¿Has trabajado en algún despacho legal o similar?

Experiencia:

atención al cliente: 3 años (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Administración
Administrative assistant/ shop assistant,Grupo Cato 2009 SLU ESB54427950,España,2 mil € (Proporcionado por la empresa),16 días,"3,6","This is a full time position for 5 days per week but alternate Saturday mornings.

The job is to help with some admistrative and accounting tasks and to assist serving customers in our chandlery shop.

Previous experience in office duties and or experience in a retail environment is essential along with a wilingness to learn both system and products of the company.

Full training will be given on the job.

A good standard of English is required as well as Spanish . The company language is English for internal communication and training.

Job Types: Full-time, Permanent

Pay: 1,500.00€ - 1,800.00€ per month

Ability to commute/relocate:

03181 Torrevieja, Alicante provincia: Reliably commute or planning to relocate before starting work (Required)

Experience:

office or retail: 1 year (Required)

Language:

English and Spanish (Preferred)

Work Location: In person",Todas,Administración
Auxiliar Administrativo,HIDOGA ALUGUER LDA,España,1 mil € - 2 mil € (Proporcionado por la empresa),24 horas,"3,6","Grupo Galindo Alquiler de Maquinaria grupo empresarial con mas de 30 años de antigüedad en el sector del alquiler de maquinaria de obra civil, necesita auxiliar administrativo con formación profesional grado medio o superior para sus oficinas de Alcalá de Henares (Madrid), interesados enviar email vicente@galindomaquinaria.es

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.350,00€-1.800,00€ al mes

Ubicación del trabajo: Empleo presencial",Todas,Administración
Administrativo Logística y Almacén con Ingles C1 - Norte Madrid,Page Personnel,España,35 mil € - 40 mil € (Proporcionado por la empresa),24 horas,"3,6","Administrativo/a de logística y almacén con inglés C1 - San Agustín de Guadalix

Detalles del cliente

Empresa internacional del sector automoción ubicada en San Agustín de Guadalix.

Descripción de la oferta

La persona seleccionada se encargará de las siguientes funciones:

Gestión administrativa de procesos logísticos y de almacén.
Coordinación de envíos y recepción de mercancías.
Participación en proyectos estratégicos.
Supervisión del inventario y control de stock.
Preparación y archivo de documentación relacionada con la logística.
Colaboración con otros departamentos para garantizar el correcto flujo de mercancías.
Otras tareas adscritas al puesto y al departamento en cuestión.

Perfil del candidato

El/la candidato/a seleccionado deberá cumplir los siguientes requisitos:

Experiencia de 2-3 años en puestos relacionados con el sector logístico/almacén.
IMPRESCINDIBLE. Nivel de inglés C1. Entorno internacional.
Ofimática. Dominio de herramientas ofimáticas, paquete office y programas de gestión logística como SAP u otros ERPS valorables.
Capacidad para trabajar en un entorno dinámico y orientado a resultados.
Perfil proactivo, con ganas de aprender y con iniciativa.
Habilidades de trabajo en equipo e interés por el sector automoción y/o logístico.

Oferta de empleo

Se ofrece:

Contrato indefinido directamente a través de la empresa.
Salario. 35.000 EUR y 40.000 EUR BA. Dependiendo del perfil, experiencia y valía.
Beneficios adicionales: Cheque restaurante + bonus anual.
Horario. De lunes a viernes de 8:30 a 17:30 horas.
Modalidad. Híbrida, posibilidad de 17 días de teletrabajo al trimestre y un máximo de dos días por semana.
Formación inicial y continua en el proceso.
Ambiente colaborativo, internacional y con oportunidades.
Ubicación: en San Agustín del Guadalix. Imprescindible vehículo propio ya que se valora vivir por la zona.",Todas,Administración
Auxiliar administrativo/a,Eurofirms,Murcia,No especificado,8 días,"3,6","Empleo de Auxiliar administrativo/a, Murcia
Fecha de publicación:
18/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y viernes en turno partido en horario de 08:00h y 18:00h con los descansos establecidos por ley.
Vacantes:
2
Salario:
A concretar
Población:
Murcia



Descripción de la oferta de empleo de Auxiliar administrativo/a en Murcia

Empresa del sector de servicios busca un/a auxiliar administrativo/a para trabajar en Murcia. La persona seleccionada desarrollará las siguientes funciones:

Resolución de incidencias y reclamaciones, relacionadas con cuentas, activos financieros o productos de inversión.
Funciones de soporte telefónico.
Atención al cliente financiero.
Back-office de inversión.
Entre otras tareas propias del puesto de trabajo.
Función:
Auxiliar administrativo/a
Requisitos:
- Experiencia mínima de al menos 1 año en puesto similar al descrito.

Buscamos a una persona responsable y polivalente.
Valorable residencia cercana al puesto de trabajo.
Formación:
GM/GS en administrativos, derecho o similares.
Idiomas:
Castellano hablado y escrito correctamente.",Todas,Administración
Departamento de Operaciones y Administración en Agencia de Viajes,GRUPO VALÍA,España,No especificado,+ 30 d,"3,6","En Grupo Valía buscamos una persona para trabajar en el departamento de operaciones y administración de nuestra agencia de viajes.

El empleo se desarrollará de forma presencial en Asturias.

Requisitos:

Inglés nivel C1 o superior.
Valorable positivamente conocimiento en italiano, francés o portugués.
2-5 años de experiencia en agencias de viajes.
Disponibilidad para viajar.

Horario:

Lunes a viernes de 9:30-18:30.
Guardia telefónica 2 fines de semana al mes.

Funciones principales:

Gestión y organización de la agencia de viajes.
Relación con proveedores.
Diseñar, cotizar y gestionar paquetes turísticos receptivos para clientes individuales o grupos.
Colaborar con el equipo en la creación de nuevas propuestas y productos turísticos.
Mantener comunicación directa con agencias y clientes internacionales en inglés.
Coordinar reservas, proveedores, alojamiento, actividades y servicios complementarios.
Supervisar itinerarios y garantizar la excelencia en la experiencia del cliente.
Resolver incidencias y asegurar una atención rápida y eficaz.

Ofrecemos

Incorporación a un equipo profesional y dinámico.
Oportunidad de crecimiento dentro del sector receptivo.
Participación en proyectos internacionales y experiencias únicas.
Condiciones competitivas según experiencia.

Tipo de puesto: Jornada completa, Contrato indefinido

Ubicación del trabajo: Empleo presencial",Todas,Administración
Recepcionista-Administrativa,INFORECICLO,Zaragoza,1 mil € (Proporcionado por la empresa),24 horas,"3,6","BUSCAMOS RECEPCIONISTA - ADMINISTRATIVA CON EXPERIENCIA EN ORGANIZACION DE TRABAJOS Y TRATO CON EL CLIENTE. IMPRESCINDIBLE CONOCIMIENTOS DE FACTURACION Y CONTABILIDAD. SE VALORARA CONOCIMIENTOS DE INFORMATICA

Tipo de puesto: Jornada completa

Sueldo: A partir de 1.300,00€ al mes

Ubicación del trabajo: Empleo presencial",Todas,Administración
OFERTA DE EMPLEO – ADMINISTRACIÓN Y GESTIÓN DE PROPIEDADES,INMO MAS NOVA SOLUTIONS SL,España,No especificado,15 días,"3,6","OFERTA DE EMPLEO – ADMINISTRACIÓN Y GESTIÓN DE PROPIEDADES

En Rent It Properties buscamos incorporar a nuestro equipo una persona joven, dinámica y con mentalidad resolutiva para el área de administración y gestión operativa de inmuebles.

No buscamos cubrir una vacante puntual. Buscamos talento que quiera crecer con nosotros.

Funciones principales

Gestión administrativa de propiedades.
Asentamiento y control de reservas turísticas en nuestra plataforma interna (formación a cargo de la empresa).
Supervisión y control de cobros.
Gestión de alquiler de habitaciones.
Tramitación y seguimiento de incidencias con clientes y proveedores.
Atención presencial y telefónica.
Apoyo en tareas organizativas y operativas del día a día.

Perfil que buscamos

Manejo fluido de ordenador y herramientas ofimáticas.
Buena presencia y trato profesional cara al público.
Excelentes habilidades comunicativas.
Persona organizada, ágil y con capacidad para priorizar.
Perfil resolutivo, con iniciativa y enfoque práctico.
Compromiso a medio/largo plazo.

Abstenerse candidaturas que busquen empleo temporal o de corta duración.

Qué ofrecemos

Media jornada inicial en periodo de prueba.
Ampliación progresiva de jornada según rendimiento y adaptación.
Formación interna en procesos y plataforma propia.
Integración en un equipo en crecimiento.
Posibilidad real de desarrollo profesional dentro de la empresa.

Si te motiva la gestión inmobiliaria, te manejas con soltura en entornos digitales y quieres formar parte de una empresa en expansión, este es tu sitio.

Interesados/as enviar CV actualizado

Tipo de puesto: Media jornada

Horas previstas: 4 a la semana

Ubicación del trabajo: Empleo presencial",Todas,Administración
Administrativo/a de Logística (H/M),Groupe Crit,Chiva,"10,61 € Por hora (Proporcionado por la empresa)",24 horas,"3,6","Descripción:

Desde GRUPO CRIT estamos en búsqueda de un perfil ADMINISTRATIVO/A DE LOGÍSTICA (H/M) para una importante empresa medioambiental ubicada en CHIVA (VALENCIA).

Funciones:

Tareas administrativas relacionadas fundamentalmente entrada de datos en varios programas informáticos.

Gestionar la preparación documental necesaria para realizar los servicios.
Realizar tareas de apoyo administrativo como la preparación documental.
Colaborar con otros departamentos en tareas administrativas.
Organizar y mantener archivos y documentos físicos y digitales.


Ofrecemos:

Contrato inicialmente por ETT, temporal.
Horario de lunes a viernes 7h -15h.
Salario: 10,61€ brutos la hora.

Requisitos:

Formación: Título de educación secundaria o equivalente; se valora formación técnica.
Idiomas: Castellano.
Habilidades: Con el ordenador y con la entrada de datos en un sistema informático.


Todo el proceso de entrevista e incorporación lo realizarás con nosotros: Grupo CRIT. Somos una empresa de Recursos Humanos, que ponemos el foco en las personas, nos enorgullecemos de tratar por igual a todas las personas que buscan trabajo con nosotros, y te ayudaremos con tu incorporación a la empresa, tu formación, toda la documentación necesaria y dudas que tengas respecto al puesto.

¡En GRUPO CRIT, estamos deseando conocerte! ¡Inscríbete en la oferta y forma parte de nuestro gran equipo de profesionales!",Todas,Administración
Administrativo/a contable,Eurofirms,España,"13,96 € Por hora (Proporcionado por la empresa)",2 días,"3,6","Empleo de Administrativo/a contable, Zamudio
Fecha de publicación:
24/02/2026
Horario:
Jornada parcial de 25 horas semanales entre lunes y viernes en turno de mañana en horario de 08:00h y 13:00h con los descansos establecidos por ley.
Vacantes:
1
Salario:
13,96€ Bruto/hora
Población:
Zamudio



Descripción de la oferta de empleo de Contable en Zamudio

Empresa del sector industrial situada en Zamudio necesita incorporar un/a administrativo/a contable. La persona seleccionada realizará las siguientes funciones:

Conocimientos de contabilidad.
Experiencia, manejo del programa Logic.
Software de gestión contable.
Entre otras tareas propias del puesto de trabajo.
Función:
Contable
Requisitos:
- Experiencia mínima de al menos 1 año en puesto similar al descrito.

Buscamos a una persona responsable y resolutiva.
Valorable residencia cercana al puesto de trabajo.
Formación:
GM/GS en administracion y finanzas o similares.
Idiomas:
Castellano hablado y escrito correctamente.",Todas,Administración
