Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Construcción náutica,Royalds Personeel Service,Trabajo en remoto,2 mil € - 3 mil € (Proporcionado por la empresa),+ 30 d,"3,7","El puesto es en Holanda. Buscamos a profesionales de la construcción náutica con experiencia en la construcción de yates de lujo.

Requisitos:

Inglés intermedio
Experiencia relevante
Lugar: Holanda
La incorporación es inmediata
Pasaporte EU
Carnet de conducir (preferible)

Condiciones:

Salario: 2400€ - 3000€ netos mensuales (40 horas semanales, posibilidad de horas extras)
El salario se paga semanalmente
Alojamiento gestionado por la empresa
Transporte al trabajo incluido
Seguro médico privado incluido

Si tienes preguntas, puedes contactar a través de:
r.kaspers@royalds.es
607555335 (disponible en WhatsApp)

Tipo de puesto: Jornada completa

Preguntas para la solicitud:

Es imprescindible tener un nivel de inglés lo suficiente para comunicarse. Por favor, indícanos tu nivel de inglés (cero, bajo, medio, alto). Si es bajo, indícanos si puedes mantener una conversación básica.
Es imprescindible tener un DNI o pasaporte europeo. Por favor, confírmanos si tienes esto.
Es imprescindible tener experiencia en la construcción náutica. Por favor, indícanos cuántos años de experiencia en este sector tienes.
Tienes un carnet de conducir en vigor?

Ubicación del trabajo: Empleo remoto",Todas,Construcción
Encargado de obra,"VÍAS Y CONSTRUCCIONES DEL NORTE, S.L.",España,2 mil € - 3 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Se ofrece el puesto de Encargado/a de obra civil y edificación para la construcción de obras en León y provincia.

Los requisitos para el puesto son:

Más de 5 años de experiencia en puestos de responsabilidad en obras civiles.
Habilidades demostradas en Gestión de obra, Obra civil, Gestión de proyectos de construcción, Seguridad en la construcción, Prevención de riesgos en la construcción, Planificación de obra, Planificación de proyectos de construcción, Control de materiales de construcción, Supervisión.

La oferta incluye un contrato de duración definida por el plazo de ejecución de la obra, con un salario acorde a la experiencia. La persona seleccionada será responsable de la gestión, planificación y supervisión de todas las tareas de construcción, asegurando el cumplimiento de los plazos, presupuestos y especificaciones técnicas. Trabajará estrechamente con el equipo técnico de VIACON para llevar a cabo el proyecto con los más altos estándares de calidad.

Tipo de puesto: Jornada completa

Sueldo: 1.900,00€-2.500,00€ al mes

Beneficios:

Coche de empresa
Comidas en la empresa
Gastos de vivienda
Jornada intensiva los viernes

Experiencia:

Construcción: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Construcción
OFICIAL 1ª CONSTRUCCION,Rehabilitaciones e interiorismo,España,25 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Oficial de 1ª Albañilería, para trabajos en VALENCIA y alrededores.

Trabajos relacionados con el puesto: guarnecidos de yeso, enfoscados tanto maestreados como a buena vista, recibidos y falcados de carpinterías, colocación de pavimentos, de alicatados, tabiquerías de ladrillos cerámicos.

Imprescindible carnet de conducir.
curso de prevención riesgos laborales al menos 20 horas.

*

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 25.000,00€-30.000,00€ al año

Beneficios:

Cesta de navidad
Coche de empresa
Descuento en carburantes
Formación en certificaciones profesionales
Plan de jubilación
Plus transporte
Programa de formación
Seguro médico privado
Teléfono de empresa
Uniforme proporcionado

Preguntas para la solicitud:

¿El trabajo de albañilería le gusta?

En caso afirmativo ¿ que trabajo dentro de la albañilería considera tener mas destreza?

Experiencia:

Albañileria: 5 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Construcción
ALBAÑIL OFICIAL DE PRIMERA DE LA CONSTRUCCIÓN,Sunergy Global Services SL,Linares,23 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Experiencia mínima: más de 5 años

Tipo de contrato: indefinido, jornada intensiva - mañana

Requisitos

Estudios mínimos

Sin estudios

Experiencia mínima

Más de 5 años

Conocimientos necesarios

Materiales de construcción

Albañilería

Herramientas

Hormigonera

Revestimientos de albañilería

Trabajar en altura

Ejecución de obra

Construcción

Obra

Hormigonado

Descripción

Un oficial de primera en la construcción es un trabajador altamente cualificado que domina diversas tareas dentro de su especialidad. Sus características principales incluyen:

1. Habilidades Técnicas

Experiencia y conocimiento: Domina los procesos constructivos de su especialidad replanteo, albañilería general labrado de escaleras, tabiques, enfoscados, maestreados de paredes, alicatados y solados, manejo de la plana, impermeabilización.
Manejo de herramientas: Sabe utilizar equipos y herramientas específicas con precisión.
Lectura de planos: Interpreta planos y esquemas para ejecutar el trabajo correctamente.
Calidad en el trabajo: Realiza acabados de alta calidad con precisión y eficiencia.

2. Responsabilidad y Organización

Autonomía: Puede trabajar sin supervisión directa, organizando su propio trabajo.
Supervisión: Puede coordinar a oficiales de segunda, ayudantes o peones.
Seguridad: Conoce y aplica normas de seguridad laboral en todo momento.
Cumplimiento de plazos: Respeta los tiempos establecidos sin afectar la calidad.

3. Actitudes Profesionales

Compromiso y disciplina: Muestra seriedad y dedicación en el trabajo.
Trabajo en equipo: Se comunica eficazmente y colabora con otros profesionales.
Adaptabilidad: Se ajusta a cambios en el proyecto o en las condiciones del sitio.
Resolución de problemas: Encuentra soluciones ante imprevistos en la obra.

En general, un oficial de primera es un trabajador con experiencia, destreza y responsabilidad, fundamental en cualquier equipo de construcción.

Imprescindible carnet de conducir, vehículo propio, y disponibilidad geográfica.

Tipo de puesto: Jornada completa

Sueldo: 23.000,00€-30.000,00€ al año

Beneficios:

Jornada intensiva en verano

Retribución complementaria:

14 pagas
Horas extras
Plus domingos y festivos

Experiencia:

Construcción: 5 años (Deseable)

Licencia/Certificación:

Prevención de riesgos laborales (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Construcción
Aplicador de resinas / Pintor industrial,GLOBAL GRASS SL,España,No especificado,+ 30 d,"3,7","Empresa líder en el sector de pavimentos requiere aplicador de resinas para pavimentos industriales y/o deportivos (epoxis, poliuretano, autonivelantes, acrílicos). Se valorará también experiencia como pintor en señalización, parkings, pistas deportivas, pavimentos ligeros, pvc, caucho, instalación cesped etc.
Imprescindible curso PRL construcción de 20 horas. Se requiere carnet de conducir y vehículo propio hasta puesto de trabajo. Dispuesto a desplazarse con los equipos por toda la Comunidad Valenciana. Imprescindible residir en la ciudad de Valencia o alrededores. Experiencia mínima de 1 año desarrollando las labores descritas en la oferta. Incorporación inmediata (con período de prueba). Salario según convenio. Abstenerse de no cumplir alguno de estos requisitos. Enviar currículum.

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Descuento en carburantes
Opción a contrato indefinido
Plus transporte
Ticket restaurante

Preguntas para la solicitud:

¿Dispone de vehículo propio?

Experiencia:

pavimentos / pintura industrial: 1 año (Deseable)

Licencia/Certificación:

PRL (Obligatorio)

Disponibilidad para viajar:

25 % (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Construcción
Maquinista/Operario Máquina Obra Pública,Serranía Geominerales S.L,Zaragoza,2 mil € - 4 mil € (Proporcionado por la empresa),+ 30 d,"3,7","¡Únete a nuestro equipo! Buscamos Maquinista para Construcción

Estamos en la búsqueda de un Operador de máquina para la Construcción (retroexcavadoras, minis, mixtas, tractores, extravíales, bulldozer... )con experiencia para formar parte de nuestra empresa. Si eres una persona responsable, comprometida y con habilidades para operar maquinaria pesada, ¡esta es tu oportunidad.

Te esperamos.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.500,00€-3.500,00€ al mes

Beneficios:

Eventos de la empresa
Gastos de reubicación
Opción a contrato indefinido
Plus transporte
Programa de formación
Teléfono de empresa
Ticket restaurante
Uniforme proporcionado

Licencia/Certificación:

Manejo de maquinaria pesada (Obligatorio)
20 hrs contrucción (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Construcción
Oficial de 1º Albañil,CONSTRUCCIONES ALEX Y NADAL S.L,Las Palmas,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Empresa constructora especializada en proyectos de edificación residencial, industrial y reformas, precisa incorporar Albañil Oficial de 1ª con experiencia demostrable para obras en ejecución.

Requisitos

Experiencia mínima de 3-5 años como Oficial de 1ª en edificación.
Capacidad para trabajar de forma autónoma.
Experiencia en obras residenciales y/o industriales.
Curso PRL 20 horas construcción (imprescindible).
Valorable carnet de conducir.

Se ofrece

Incorporación inmediata.
Contrato según convenio construcción.
Salario acorde a experiencia y categoría.
Continuidad en futuros proyectos.
Buen ambiente de trabajo.

Tipo de puesto: Jornada completa

Sueldo: 1.400,00€-1.500,00€ al mes

Beneficios:

Flexibilidad horaria

Ubicación del trabajo: Empleo presencial",Todas,Construcción
Albañil Oficial alicatador,"NORDESIA Desarrollos, sl",España,2 mil € - 3 mil € (Proporcionado por la empresa),+ 30 d,"3,7","Empresa de Proyecto y Obra en Coruña

Buscamos obrero oficial para organizar y realizar obras de reformas de locales comerciales y viviendas.

Que sepa alicatar, hacer tabiques y revocos. Con experiencia demostrada.

La empresa le pone vehículo, herramienta y peón ayudante.

Necesita tener PRL de 60h y Carnet conducir

Tipo de puesto: Jornada completa

Sueldo: 2.000,00€-2.500,00€ al mes

Preguntas para la solicitud:

Carnet de conducir

Experiencia:

alicatado y tabiques: 3 años (Deseable)

Licencia/Certificación:

Prevención de riesgos laborales (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Construcción
JEFE DE TALLER DE MAQUINARIA DE CONSTRUCCIÓN,"AXOR RENTALS, S.L.",España,No especificado,+ 30 d,"3,7","Jefe de taller de maquinaria pesada

Requisitos

Conocimientos electricidad e hidráulica
Conocimientos en lectura de planos hidráulicos y eléctricos.
Conocimiento en mantenimiento de maquinaría obra publica y construcción
Conocimiento de motores Deutz, Perkins, Cummins,..
Se valorará conocimientos de máquina-herramienta.
Conocimientos ofimáticos

Funciones

Gestión de equipos.
Mantenimiento preventivo y correctivo de máquinas
Mantenimiento de sistemas hidráulicos de máquinas.
Diagnostico de fallas del sistema hidráulico y eléctricos
Supervisión y control de taller y trabajos técnicos.

Requerimientos

Mínimo 3 años de experiencia en maquinaria de obra publica o construcción
Se valora la experiencia y no hay limitación de edad.
Buena disposición para aprender
Deseos de superación.

Ofrecemos

Puesto de trabajo estable en empresa líder en alquiler de maquina de obra publica en España.
Buen ambiente laboral.
Retribución acorde al perfil.

Tipo de puesto: Jornada completa

Horario:

De lunes a viernes

Ubicación del trabajo: Empleo presencial",Todas,Construcción
ALBAÑIL PLADUR,Hestia Inmuebles S.L,España,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"3,7","SE BUSCAN ALBAÑILES PLADURISTAS! Estamos buscando un albañil oficiales y peones especializados en pladur para unirse a nuestro equipo.

El candidato ideal tendrá habilidades en construcción y renovación.

Requisitos: • Experiencia comprobada como albañil de pladur

Habilidad para trabajar con herramientas de construcción

. • Conocimiento en técnicas de construcción y materiales.

Capacidad para trabajar en equipo y de manera independiente.
Buenas habilidades de comunicación y resolución de problemas.

Ofrecemos: • Salario competitivo.

Oportunidades de desarrollo y formación continua.
Un ambiente de trabajo seguro

Tipo de puesto: Jornada completa

Sueldo: 1.300,00€-1.600,00€ al mes

Beneficios:

Opción a contrato indefinido
Uniforme proporcionado

Horario:

De lunes a viernes
Flexibilidad horaria

Retribución complementaria:

Horas extras
Propinas

Ubicación del trabajo: Empleo presencial",Todas,Construcción
