Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
PROFESOR REFUERZO ESO Y BACHILLERATO CIENCIAS,FLO SERVICE FORMACION,Teruel,No especificado,+ 30 d,"3,2","Se busca persona joven y dinámica, estudiante universitario, para dar refuerzo de TODAS las asignaturas de ESO, y Bachillerato (CIENCIAS, se valorará que pueda dar clase de matemáticas física y química) cuantas más asignaturas pueda dar mejor por el número de horas y clases, enviar CV indicando las materias que pueden ser dadas. Meses junio, julio, agosto y con posibilidad de continuar durante el próximo curso académico. Lo puedes compatibilizar con otros trabajos y estudios. Buen ambiente de trabajo.

Tipo de puesto: Temporal

Ubicación del trabajo: Empleo presencial",Todas,Educación
MONITOR/A PER A ESCOLA TERAPÈUTICA DEL BERGUEDÀ,AMALGAMA 7 I ASSOCIATS CENTRE D'ATENCIO BIO PSICO SOCIAL AL JOVE I A L'ADOLESCENT,Berga,No especificado,+ 30 d,"3,2","Escola terapèutica i educativa especialitzada en joves i adolescents, ubicada a la comarca del Berguedà, necessita MONITOR/A (en horari de matí o tarda).

Les funcions a realitzar són:

- Gestió i elaboració de les activitats socioeducatives

- Acompanyament educatiu als pacients-residents (aprenentatge d'hàbits horaris, d'higiene, alimentaris...)

- Acompanyament i seguiment en les diferents activitats: culturals, socioeducatives, de lleure, esportives dels residents.

- Participació en les reunions setmanals interdisciplinaris per revisió de pacients i plans terapèutics i educatius.

Tipo de puesto: Jornada completa, Temporal, Indefinido

Sueldo: 1.100,00€-1.400,00€ al mes

Horario:

Turno de 8 horas
Turno rotativo

Educación:

FP Grado Superior (Obligatorio)

Experiencia:

Monitor: 1 año (Deseable)

Licencia/Certificación:

CERTIFICAT DE DELICTES SEXUALS (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Educación
Maestro as de educacion infantil in Irlanda,Giraffe Childcare,España,33 mil € (Proporcionado por la empresa),+ 30 d,"3,2","Role Overview:
¿Es usted un profesor de primaria o de primera infancia cualificado que busca mudarse a Irlanda?
¿Está buscando una experiencia de enseñanza internacional? ¡A Giraffe Childcare le encantaría reunirse con usted!
Queremos ayudarlo a dar el siguiente paso en su carrera docente, donde obtendrá una gran experiencia y conocimiento para ampliar sus habilidades docentes mientras vive en Irlanda y perfecciona su inglés.
¡Tenemos varios puestos disponibles a partir de mayo de 2026!
Te estamos ofreciendo:
Un salario muy competitivo: desde €33280 al año
Alojamiento ofrecido; los terminos y Condiciones aplican
Accede a nuestra academia de formación con formación y seminarios en línea y presenciales que conducen a habilidades docentes para toda la vida.
Capacitación pagada en primeros auxilios y manejo manual como estándar
Hasta 34 días de vacaciones anuales incluidos festivos
Cerrado por periodo navideño
Acceso a WellBee: nuestro programa de bienestar del personal
Acceso a Wellhub: una plataforma de bienestar digital que respalda el bienestar de nuestros equipos
Acceso a un programa confidencial de asistencia al empleado
Salidas nocturnas del personal, obsequios y golosinas
Programa de intercambio de talentos - experiencia docente en otro país
Oportunidades de carrera como programa de gestión de aprendices, roles de supervisión
Aproximación proactiva a nuevos métodos y herramientas de enseñanza
Oportunidades para realizar tus propias actividades dentro del Currículo de Aistear y Siolta
Descuentos para el personal, incluidos teléfonos móviles, bicicleta para ir al trabajo, tarjeta de viaje
Oportunidades de tutoría
Esquemas de bonificación para el personal, como recomendar a un amigo: gane hasta 500 € por recomendación (se aplican términos y condiciones)
Oportunidad de dirigir tu propia clase y actividades
Únete a nuestra comunidad española hoy


Required Qualifications:
Los candidatos deben tener elegibilidad para trabajar en la UE y tener una calificación en cuidado infantil / educación infantil, como:

Grado en Educación Primaria
Grado en Educación Infantil
Técnica Superior en Educación Infantil

Beneficios:

Apoyo para el cuidado de niños
Ayuda al desarrollo profesional
Eventos de la empresa
Guardería
Opción a contrato indefinido
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Todas,Educación
Gestor/a telefónico/a ventas - sector educativo,Ilerna,Lleida,No especificado,10 días,"3,2","Descripción:

¡Sé quien conecta a nuestro futuro alumnado con su próxima aventura educativa!

¿Quiénes somos?

iLERNA es un grupo educativo dedicado a la Formación Profesional y Educación Universidad, tanto online como en presencial.

Nuestro propósito es claro: ofrecer formación de calidad para mejorar la vida de las personas y crear un impacto positivo en la sociedad. Eso significa estándares altos, metodologías vivas y una obsesión sana por hacer que cada alumno/a avance en cada etapa formativa impactando en nuestros más de 50.000 estudiantes que confían en nosotros cada año.

Somos una compañía joven, tecnológica y con espíritu emprendedor; donde la creatividad no estorba, sino que impulsa.

Además, contamos con el fondo de inversión internacional (Jacobs Capital) que nos acompaña en nuestro plan de crecimiento. Vamos rápido, pero vamos juntos.





¿Qué nos hace especiales?

Crece desde el primer día: estamos en una fase de crecimiento y profesionalización que te permitirá aprender, aportar y participar en proyectos con impacto real desde el primer día.

Un equipo que te impulsa de verdad: trabajamos con jerarquía plana y comunicación cercana, facilitando la colaboración directa con perfiles expertos y managers accesibles

Aprender haciendo: participarás en proyectos retadores que fomentan la autonomía, la propuesta de ideas y el aprendizaje continuo a través de la práctica.

Evoluciona sin parar: el cambio es parte del ADN de iLERNA: nuevos proyectos, mejoras constantes y muchas oportunidades para desarrollarte.

Crece con propósito: en iLERNA, tu trabajo tiene un impacto real, ya que contribuye directamente a transformar el futuro educativo y profesional de miles de personas.





¿Qué harás en tu día a día?

Gestionarás llamadas con cercanía, transmitiendo nuestra oferta formativa de manera atractiva y haciendo que cada alumno sienta que su desarrollo profesional empieza contigo.
Detectarás las necesidades de crecimiento profesional y ofrecer soluciones rápidas y comprometidas que conecten al estudiante con la formación que hará brillar su futuro.
Concertarás y confirmarás visitas en los centros presenciales, asegurando una correcta derivación del lead.
Registrarás y actualizarás la información en el CRM, garantizando un seguimiento coordinado con el equipo del centro.


¿Qué te hace especial?

Experiencia sólida en gestión telefónica.
Dominio avanzado de Microsoft Office (Word, Excel, PowerPoint) y otras herramientas digitales de productividad.
Capacidad para comunicarte con claridad y trabajar en equipo.
Actitud proactiva y curiosa, orientada a soluciones, con ganas de aportar ideas y mejorar procesos.
Comodidad en entornos dinámicos y en crecimiento.


¿Qué te ofrecemos?

Formar parte de un proyecto educativo en expansión real.
Libertad para aportar, crear y proponer.
Un entorno humano, colaborativo y cercano.
Salario base + comisiones.
Beneficios: club de descuentos para trabajadores/as, descuentos en formación para empleados y familiares en Formación Profesional y estudios universitarios y másteres.

Si te motiva acompañar a las personas en momentos clave de su desarrollo profesional y quieres formar parte de un proyecto educativo con impacto real, ¡este es tu lugar!

#makeithappen",Todas,Educación
Maestro as de educacion infantil in Irlanda - Evento de reclutamiento,Giraffe Childcare,Madrid,33 mil € (Proporcionado por la empresa),+ 30 d,"3,2","Role Overview:
¿Es usted un profesor de primaria o de primera infancia cualificado que busca mudarse a Irlanda?


¿Está buscando una experiencia de enseñanza internacional? ¡A Giraffe Childcare le encantaría reunirse con usted!
Queremos ayudarlo a dar el siguiente paso en su carrera docente, donde obtendrá una gran experiencia y conocimiento para ampliar sus habilidades docentes mientras vive en Irlanda y perfecciona su inglés.
Ven a conocer a nuestros representantes de Giraffe Childcare en Madrid el 12 y 13 de marzo en nuestro Evento de Reclutamiento en AC Hotel Carlton Madrid, Paseos de las Delicias, 26, Arganzuela, 28045 Madrid, Spain.
¡Reserva tu entrevista hoy!
Te estamos ofreciendo:
Un salario muy competitivo: desde €33280 al año
Alojamiento ofrecido; los terminos y Condiciones aplican
Accede a nuestra academia de formación con formación y seminarios en línea y presenciales que conducen a habilidades docentes para toda la vida.
Capacitación pagada en primeros auxilios y manejo manual como estándar
Hasta 34 días de vacaciones anuales incluidos festivos
Cerrado por periodo navideño
Acceso a WellBee: nuestro programa de bienestar del personal
Acceso a Wellhub: una plataforma de bienestar digital que respalda el bienestar de nuestros equipos
Acceso a un programa confidencial de asistencia al empleado
Salidas nocturnas del personal, obsequios y golosinas
Programa de intercambio de talentos - experiencia docente en otro país
Oportunidades de carrera como programa de gestión de aprendices, roles de supervisión
Aproximación proactiva a nuevos métodos y herramientas de enseñanza
Oportunidades para realizar tus propias actividades dentro del Currículo de Aistear y Siolta
Descuentos para el personal, incluidos teléfonos móviles, bicicleta para ir al trabajo, tarjeta de viaje
Oportunidades de tutoría
Esquemas de bonificación para el personal, como recomendar a un amigo: gane hasta 500 € por recomendación (se aplican términos y condiciones)
Oportunidad de dirigir tu propia clase y actividades
Únete a nuestra comunidad española hoy


Required Qualifications:
Los candidatos deben tener elegibilidad para trabajar en la UE y tener una calificación en cuidado infantil / educación infantil, como:

Grado en Educación Primaria
Grado en Educación Infantil
Técnica Superior en Educación Infantil

Beneficios:

Apoyo para el cuidado de niños
Ayuda al desarrollo profesional
Eventos de la empresa
Guardería
Opción a contrato indefinido
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Todas,Educación
Profesor de español para extranjeros,PROYECTO ESPAÑOL,España,"10,00 € Por hora (Proporcionado por la empresa)",+ 30 d,"3,2","PROYECTO ESPAÑOL está seleccionando profesores de español para extranjeros. Los candidatos seleccionados deberán estar motivados, ser dinámicos y capaces de adaptarse a diferentes contextos de enseñanza. Ellos deberán estar en posesión de:
Una licenciatura universitaria.
Un mínimo de un año de experiencia demostrada como profesor de ELE. #cv #enseñanza #formacion #ofertaempleo

Tipo de puesto: Media jornada

Sueldo: 10,00€ la hora

Educación:

Licenciatura/Grado (Obligatorio)

Experiencia:

Profesor Español para Extranjeros: 2 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Educación
URGENTE MATARÓ - Incorporació inmediata trabajo de mañana por mes y medio.,Dharma Factory SLU,Mataró,No especificado,+ 30 d,"3,2","Descripción del empleo

OFERTA DE FEINA

Dharma Factory, empresa especialitzada en projectes educatius, busca responsables de visites escolars adreçades a l’alumnat d’infantil i primària per un projecte sobre alimentació saludable i sostenible a explotacions agrícoles i ramaderes.

Cerquem personal per incorporació inmediata per a treballar de manera puntual en horari de matins com a guia, en unes visites concertades a Mataró.

Oferta de feina de mes i mig aprox.

Descripció

Preparació de les visites i materials
Recepció dels grups
Dinamització de les visites amb alumnat
Les visites es realitzaran de dilluns a divendres segons programació de les escoles en horari lectiu de matins (de 9h a 14h).
Contracte per sobre de conveni en base a les hores i dies treballats per mes.

Imprescindible (es demanarà còpia del títol o matricula si ets estudiant d'algun d'aquests títols)

Tenir el títol o ser estudiant de:
Grau universitari o cicles de Formació de Grau Superior de dietètica o,
Educació Infantil o
Educació Primària o
Pedagogia

Obligatori títol de monitor/director de lleure. Disponibilitat en horari de matins, (treball temporal, ideal per a compaginar amb altres activitats);

Català nivell C (les visites es fan en català)
Certificat de delictes sexuals negatiu

Es valorarà

Persona responsable, resolutiva i puntual
Experiència demostrable en el tracte amb infants de 3 a 12 anys.
Cotxe propi

Si teniu interès, podeu posar-vos en contacte amb nosaltres per a fer-nos arribar el vostre currículum.

Tipo de puesto: Media jornada, Contrato temporal

Tipo de puesto: Media jornada, Contrato temporal
Duración del contrato: 29 días

Sueldo: 50,00€-60,00€ al día

Horario:

Turno rotativo

Preguntas para la solicitud:

¿tienes el título o estas estudiando alguna de estas especialidades? Pedagogía, Magisterio, Educación Infantil o dietética y nutrición.

Idioma:

Catalán (Obligatorio)

Licencia/Certificación:

Certificado de monitor de ocio y de tiempo libre (Obligatorio)
carnet de conducir y vehículo? (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Educación
Academic Coordinator,FunTalk,Barcelona,1 mil € (Proporcionado por la empresa),+ 30 d,"3,2","FunTalk is an innovative education centre offering engaging, practical learning experiences, mainly for children and teenagers, Exam prep classes, adult classes, and businesses. We focus on creativity, skill-building, and meaningful learning through combining classes with creative workshops and projects.

Role Overview

We are looking for a highly organised, creative, and proactive Academic Coordinator to oversee the academic side of our programmes. This role ensures teaching quality, supports and manages teachers, and develops engaging content and projects, working closely with both teachers and management.

The timetable is broken down into:

20 hours / week during the academic year.

40 hours a week during the holiday periods when we run our holiday camps and there are no after-school classes. Mon - Fri 8:15am-5:15pm

Salary for 20 hours / week 1240€bruto/month

Salary for 40 hours / week 2100€/bruto/month

Key Responsibilities

Manage, support, and train teaching staff (scheduling, mentoring, meetings, and administration)
Develop and review lesson content, projects, and workshops
Coordinate academic content and activities for holiday camps and special programmes
Support teaching in the classroom when needed
Monitor teaching quality, gather feedback, and implement improvements

Requirements

Background in education or academic coordination - Minimum 4 years teaching experience
TEFL / CELTA certificate
Experience working with children (from 3 years old) and teenagers
Strong organisational, leadership, and communication skills
Creative, practical approach to learning
Ability to manage multiple tasks and deadlines

Desirable

Teacher training or mentoring experience
Curriculum or project-based learning experience
Holiday camp experience
DELTA certificate

What We Offer

A dynamic and creative working environment
Opportunities for professional growth and development
Supportive team culture
20 hours / week
Salary between 1240€ gross based on qualifications and experience.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.240,00€ al mes

Educación:

Licenciatura/Grado (Obligatorio)

Experiencia:

Enseñanza de Inglés: 4 años (Obligatorio)
Enseñanza de educación infantil: 4 años (Deseable)

Idioma:

Inglés (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Educación
Monitor de karate,Grupo Deporocio,España,No especificado,3 días,"3,2","Buscamos Monitor/a par impartir clases de karate, incorporándose a una empresa, con un ambiente cercano, activo y motivador.

** Funciones principales

Impartición de clases de karate para alumnos entre 6 a 12 años.
Dinamización de grupos.

**Titulación requerida:

Titulación federativa RFEK.
Grado de Dan correspondiente.
Ciencias de la Actividad Física y del Deporte (CAFYD)
TAFAD / TSEAS
Vocación educativa y gusto por el trabajo.
Responsabilidad, proactividad y trabajo en equipo.
Se valorará experiencia previa en centros educativos o instalaciones deportivas.

** Horario 4 H/semanales:

Martes y jueves de 17:30 a 19:30. dos turnos

Tipo de puesto: Contrato fijo discontinuo

Preguntas para la solicitud:

¿Tienes TAFAD /TSEAS?
¿Tienes incorporación inmediata?

Educación:

FP Grado Superior (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Educación
Maestro/a de Educación Infantil en Alemania,HELMECA,Madrid,3 mil € (Proporcionado por la empresa),+ 30 d,"3,2","Queremos completar nuestro equipo docente con maestros/as de educación infantil para trabajar con nosotros en Alemania.

TE OFRECEMOS:

- Trabajar con pedagogías activas en infantil (Montessori, Waldorf, Reggio Emilia...).

- Ratios de 6 niños/as por educador/a infantil.

- Contrato laboral indefinido como maestro/a de educación infantil.

- Sueldo bruto mensual 3.4000€

- La experiencia de vivir en una de las dos de las principales ciudades alemanas: Frankfurt y Múnich.

- Curso intensivo de alemán online en España de 6 meses, que te habilita oficialmente para trabajar en la escuela infantil.

- No debes buscar alojamiento en Alemania, ¡nosotros nos ocupamos!

- Te gestionamos toda la burocracia necesaria al llegar (reconocimiento de título, seguro médico, seguridad social, apertura de cuenta bancaria, empadronamiento).

- Contarás con una tutora bilingüe de HELMECA, que te acompañará y ayudará en la escuela infantil.

- Asistencia en ayudas europeas para costear los gastos de reubicación.

- Nuestro personal español de nuestras oficinas en Frankurt y Múnich, te ayudará en el papeleo del día a día.

- Vivirás la experiencia junto a más educadores infantiles españoles de HELMECA

REQUISITOS:

- Grado de Magisterio en Educación Infantil.

- ¡NO DEBES SABER ALEMÁN! Formaremos en alemán a los candidatos/as que sean seleccionados/as.

- Para saber más, inscríbete y te invitaremos a una sesión informativa online donde resolveremos todas tus preguntas.

- Experiencia no requerida

- Nacionalidad en un estado miembro de la Unión Europea.

NUESTROS LOGROS Y VALORES:

- Más de 10 años contratando educadores infantiles españoles

- Especializados exclusivamente en educación infantil

- Red de más de 400 escuelas infantiles.

- Más de 1.400 educadores infantiles españoles contratados

- Selección y contratación en España (no somos ni agencia de colocación, ni escuela de idiomas)

- Formación de alemán aplicada a educación infantil.

*Compruébalo todo lo que te contamos en las opiniones de nuestros educadores en nuestro

Instagram: @helmeca

Tiktok: @helmeca.educacion

Tipo de puesto: Contrato indefinido

Sueldo: Hasta 3.400,00€ al mes

Beneficios:

Ayuda al desarrollo profesional
Cursos de idiomas ofertados
Eventos de la empresa
Flexibilidad horaria
Gastos de reubicación
Opción a contrato indefinido
Programa de formación
Seguro médico privado

Ubicación del trabajo: Empleo presencial",Todas,Educación
