Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Contable,Kolibri Consulting,Soria,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Soria, Soria provincia (Soria)",Todas,Finanzas
ADMINISTRATIVO/A CONTABLE,"ALIMENTIAS, S.L. (EXPORTADORA DE PRODUCTOS ALIMENTARIOS)",España,21 mil € - 22 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Somos una empresa exportación de productos de alimentación, y estamos buscando un/a ADMINISTRATIVO/A CONTABLE para que forme parte de nuestro equipo de Administración y RRHH.

Si tienes iniciativa, un perfil multidisciplinar, capacidad de organización y además eres polivalente y riguroso/a en el desempeño de tu trabajo, ¡eres la persona que buscamos!

Tus principales funciones serían las siguientes:

- Revisar y registrar albaranes de compra y facturas de compras.

- Revisar y contabilizar liquidaciones de gastos.

- Participar en los cierres mensuales y anuales y en auditorías de la empresa.

- Colaborar en las tareas de recepción.

- Recopilación y comprobación de datos contables y de costes para diversos usos: subvenciones, proyectos, financiación, consultorías, cálculo de rentabilidades, comisiones, etc.

- Dar soporte en tareas de administración de RRHH que le sean asignadas, tales como revisión de fichajes de empleados, control de ausencias, etc.

- Dar soporte al departamento en otras tareas administrativas y de archivo.

Los requisitos mínimos del puesto son:

· Experiencia de al menos 3 años en tareas similares a las del puesto.

· Formación en Administración y Finanzas (FPII) o superior.

· Conocimiento del Plan General Contable.

· Manejo del paquete Office (imprescindible manejo de Excel y Outlook) y de algún software contable o de gestión.

· Inglés medio.

· Residencia en el área de la Bahía de Cádiz o disponibilidad para residir en dicha área. (No se admitirán candidaturas que no cumplan los requisitos mínimos).

El horario de trabajo es de 9.00h a 14.00h y de 15.00h a 18.00 horas.

¡Si te resulta interesante esta oferta, no dudes en enviarnos tu candidatura!

Tipo de puesto: Jornada completa

Sueldo: 21.000,00€-22.000,00€ al año

Horario:

Jornada partida

Preguntas para la solicitud:

¿Vives actualmente en alguna localidad dentro de la zona de la Bahía de Cádiz?
¿Por qué te interesa el puesto que ofertamos?
¿Tienes disponibilidad para trabajar en el horario indicado?

Educación:

FP Grado Superior (Obligatorio)

Experiencia:

tareas relacionadas con el puesto: 3 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Finanzas
Especialista Contable (Accounts Payable Lead),Adecco,España,23 mil € - 25 mil € (Proporcionado por la empresa),+ 30 d,"3,9","¿Tienes experiencia en contabilidad y gestión de presupuestos para grandes cuentas?¡Esta oportunidad es para ti!

Estamos buscando un/a Accounts Payable Lead con sólida experiencia en el área financiera para incorporarse a una multinacional líder en el sector de la automoción. Si te apasionan los números, los procesos financieros y el trabajo en equipo, ¡sigue leyendo!

Responsabilidades principales:

Supervisar informes de operaciones y cuentas de saldo para garantizar pagos y contabilización de facturas sin errores.
Aprobar facturas suspendidas o rechazadas.
Aplicar pagos, gestionar litigios y mejorar el flujo de caja mediante notas de débito/crédito.
Mantener comunicación con proveedores y socios internos para resolver incidencias de pago.
Realizar análisis de causa raíz y resolución de problemas de crédito/pago.
Elaborar informes detallados para audiencias internas y externas.
Gestionar el ciclo completo de pagos: ejecución, conciliación bancaria, archivos y compensaciones entre empresas.
Preparar estados de cuenta y conciliar gastos con el libro mayor.
Gestionar reclamaciones de gastos.
Apoyar en auditorías proporcionando información precisa.
Colaborar con otras áreas para mejorar la comprensión de procesos financieros y corregir errores.

Requisitos

Grado en Contabilidad, Finanzas Corporativas o similar.
Experiencia mínima de 5 años en roles financieros, preferiblemente en servicios internos.
Dominio de inglés y español.
Conocimiento de plataformas de procesamiento de facturas y sistemas ERP.
Excelentes habilidades analíticas, cuantitativas y de resolución de problemas.
Capacidad para trabajar en equipo y de forma autónoma.
Manejo avanzado de Microsoft Excel, Word, Access y PowerPoint.
Excelentes habilidades de comunicación y escucha activa.
Capacidad para influir y generar consenso entre diferentes stakeholders.
Familiaridad con herramientas de visualización como Tableau o Power BI. SAP muy Valorable.

¿Qué ofrecemos?

Horario flexible: Lunes a jueves con entrada entre 8:00 y 9:30. Viernes jornada intensiva hasta las 14:00.
Contrato temporal inicial de 3 meses a través de Adecco + posibilidad de incorporación a empresa
Salario anual: 25.874 € brutos.
Oportunidad de desarrollo en una empresa multinacional referente en el sector automoción.

Quedo atenta; Muchas Gracias.

Tipo de puesto: Jornada completa

Sueldo: 23.000,00€-25.000,00€ al año

Ubicación del trabajo: Empleo presencial",Todas,Finanzas
Asesor Fiscal y Contable (Remoto),Invertax,Trabajo en remoto,18 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"3,9","¡Ampliamos nuestro equipo! Seguimos creciendo y buscamos incorporar a un/a Asesor Fiscal y Contable para nuestra integrarse en nuestra plantilla.

¡Somos INVERTAX! Y queremos que nos conozcas un poco más:

Invertax es una asesoría especializada en modelos de negocio del sector inmobiliario.

Nuestra empresa es joven y dinámica que ofrece oportunidades de crecimiento y desarrollo profesional.

Buscamos la mejora continua y por ello, invertimos en innovación y en la tecnología más disruptiva del mercado.

Ahora viene lo más interesante

¿Qué es lo que harás en Invertax?

Gestionar una cartera de clientes que incluye sociedades y autónomos en diversos sectores.

Ofrecer asesoramiento en materia fiscal y contable.

Realizar el proceso contable, incluyendo la contabilización de facturas emitidas y recibidas, conciliación bancaria, amortizaciones, etc.

Confección y presentación de impuestos trimestrales y anuales, incluyendo 303, 111, 130, 115, 123, 202, 349, 390, 200, 180, 190, 193 y 347.

Realizar revisiones mensuales de los balances.

Gestionar altas en seguridad social de autónomos, altas en hacienda y variaciones censales.

WOW! Sounds good

¿Qué es lo que nos gustaría que tuvieras?

Buscamos personas resolutivas y proactivas que deseen formar parte de equipos de alto rendimiento.

Grado medio en gestión administrativa o grado superior de administración y finanzas.

Habilidad para trabajar en equipo y con objetivos comunes.

Excelentes habilidades de comunicación y organización.

Conocimiento sólido en materia fiscal y contable.

La experiencia previa en funciones similares será valorada.

Y, por supuesto, ¿Qué es lo que ofrecemos?

Un entorno de trabajo dinámico y en constante crecimiento profesional.

Posibilidad de promoción interna y desarrollo dentro de la compañía.

Aprender sobre modelos de negocio disruptivos, apoyados en la tecnología más vanguardista del mercado.

Si estás buscando una oportunidad para crecer profesionalmente y contribuir a un equipo en crecimiento, no esperes más y ¡dale al botón de aplicar!

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 18.000,00€-30.000,00€ al mes

Beneficios:

Ayuda al desarrollo profesional
Ordenador de empresa
Programa de formación
Teletrabajo opcional

Experiencia:

Administración y contabilidad: 3 años (Deseable)

Ubicación del trabajo: Empleo remoto",Todas,Finanzas
Técnico Finanzas,CREALSA INVESTMENTS SPAIN SA,España,No especificado,9 días,"3,9","Técnico de Finanzas

OFRECEMOS:

Contrato indefinido.
Horario: L-J de 8:00/9:00/10:00 a 17:15/18:15/18:30 h. Viernes de 8:00 a 15:00 h.
Del 15/06 al 15/09 de 8:00 a 15:00 h.
Vacaciones 23 días laborales.
Trabajo presencial.

REQUERIMOS:

Estudios relacionados en ADE, International Business, Económicas o similares.
Experiencia mínima 3 años
Excel avanzado
Se valorará conocimientos Power Query, Power BI y A3con.

RESPONSABILIDADES

Contabilidad y fiscalidad.
Control de costes, análisis desviaciones con presupuesto.
Auditoría interna y externa.
Seguimiento y conciliación de las fuentes de financiación.
Preparación y previsiones mensuales y anuales de estados financieros y flujos de caja.
Emisión de facturas, pagos, cobros.
Gestión de proveedores, seguimiento de contratos, creación y modificación de datos, pedidos, albaranes, facturas y control de pagos.
Preparación, presentación y pago de impuestos trimestrales y anuales.
Generación de informes para la dirección de la empresa.
Otras funciones relacionadas con la contabilidad de la compañía

Tipo de puesto: Jornada completa

Educación:

Licenciatura/Grado (Deseable)

Experiencia:

Contabilidad financiera: 3 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Finanzas
Administrativo/a con inglés,Eurofirms,Vall de Bianya,No especificado,21 días,"3,9","Empleo de Administrativo/a con inglés, Vall De Bianya, La
Fecha de publicación:
05/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y viernes en turno partido en horario entre las 08:00h y las 17:00h con los descansos establecidos por ley.
Vacantes:
1
Salario:
A concretar
Población:
Vall De Bianya, La



Descripción de la oferta de empleo de Administrativo/a en Vall De Bianya, La

Para importante empresa del sector farmacéutico ubicada a la zona de La Garrotxa necesitamos incorporar un/a administrativo/a con inglés para realizar las tareas siguientes:

Creación de códigos.
Hacer seguimiento y asegurar que todos los departamentos (calidad, procurement, producción y finanzas) realicen las tareas necesarias a Item Master (ECC/IBP/MDG).
Entrar datos de supply a cada item (incluyente almacén y planning).
Actualización y entrada de BOM’s de acuerdo con los datos proporcionados por calidad o responsable del ítem.
Crear el ECM por el cambio de BOM y asegurarse de que la fecha de implantación es la correcta.
Correcta configuración de los códigos (paletización, medidas, rutas, MoQ, etc.).
Seguimiento de la liberación de nuevos códigos (MDG).
Función:
Administrativo/a
Requisitos:
- Experiencia mínima de un año en un puesto de trabajo igual o similar al descrito.

Buscamos a una persona dinámica y polivalente.
Valorable residencia próxima al puesto de trabajo.
Disponer de carné B y coche propio para desplazarse hasta el centro de trabajo.
Formación:
- GS en administración o similar finalizado.

Conocimientos en SAP y Excel.
Idiomas:
- Catalán y/o castellano hablados y escritos correctamente.

Anglès nivel avanzado.",Todas,Finanzas
PARTNER MANAGER MADRID - ESPAÑA,Basic-Fit,Madrid,28 mil € (Proporcionado por la empresa),24 horas,"3,9","¡TENEMOS NUEVAS VACANTES!

Abrimos la convocatoria para nuevas posiciones de PARTNER MANAGER.

Buscamos un/a Partner Manager con perfil comercial, orientado/a a resultados y con pasión real por el mundo del fitness. Su función será clave para gestionar, expandir y optimizar la red de partners externos que operan en nuestros clubes, siendo el/la principal impulsor/a del crecimiento de este canal a nivel nacional.

➡️ Responsabilidades:

Captación activa de nuevos partners (entrenadores personales, fisioterapeutas y otros perfiles de valor) y gestión de su incorporación y seguimiento.
Dedicar más del 70% del tiempo a trabajar y fortalecer las relaciones con los partners existentes.
Colaborar con Operaciones, Producto, Legal, Finanzas y Marketing para garantizar una experiencia de calidad.
Visitar regularmente los clubes (1-2 días por semana) y reportar KPI al National Partner Manager.
Organizar eventos y formaciones para el desarrollo empresarial de los partners.
Trabajar con Salesforce y herramientas como Excel, PowerPoint y Word.

➡️ Requisitos:

Experiencia como gestor/a de cuentas o en roles de responsabilidad.
Perfil comercial con capacidad de persuasión y orientación a resultados.
Proactivo/a, independiente, flexible y con excelentes habilidades interpersonales.
Deportista activo/a con pasión por el fitness y el entrenamiento personal.
Carnet de conducir imprescindible.
Valorable: formación en entrenamiento personal, inglés y conocimientos de gestión.

➡️ LUGAR: MADRID

➡️ SALARIO: 28.000€ brutos anuales + coche de empresa

➡️ DURACIÓN: 9 meses

➡️ INCORPORACIÓN: Marzo 2026

Para solicitar el puesto, entra en tu perfil de Workday y solicita la posición haciendo clic en Incorporación >> Portal de empleo interno y buscando la posición utilizando los criterios de búsqueda o escribiendo en el buscador ""PARTNER MANAGER"".",Todas,Finanzas
Contable,"Huevos San Rafael, S.L.",España,2 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Puesto solicitado: Contable / Jefe de Departamento de Administración

Descripción del puesto:

Empresa del sector avícola y distribuidora de alimentación busca un profesional para desempeñar funciones de contabilidad general y responsable del departamento de administración. La persona seleccionada se encargará de coordinar los procesos administrativos y contables, asegurando un funcionamiento eficiente y el cumplimiento de las obligaciones fiscales y financieras.

Funciones principales:

- Gestión completa de la contabilidad: asientos, cierres mensuales y anuales, conciliaciones bancarias y elaboración de balances.

- Supervisión y coordinación del equipo administrativo.

- Control de facturación, cobros, pagos y gestión de proveedores y clientes.

- Elaboración de informes económicos y seguimiento presupuestario.

- Coordinación con auditorías externas, entidades financieras y asesoría fiscal-laboral.

- Propuesta y mejora de procedimientos administrativos y contables.

- Preparación y envío de la información necesaria a la asesoría externa para la elaboración y presentación de impuestos, así como para la gestión laboral.

Requisitos:

- Formación en Contabilidad, Administración y Dirección de Empresas, Finanzas o similar.

- Experiencia mínima de 4 años en puestos de contabilidad y gestión administrativa.

- Valorable experiencia en empresas del sector avícola, cárnico o de alimentación.

- Manejo avanzado de software contable y herramientas ofimáticas.

- Capacidad de liderazgo, organización y resolución de problemas.

Condiciones del puesto:

- Jornada continua de 07:00 a 15:00.

- Jornada completa y presencial.

- Dirección de las instalaciones Polígono de la Amargacena, se necesita vehículo ya que no transporte público en este horario.

- Incorporación a empresa sólida del sector, con más de 40 años de trayectoria.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 1.500,00€-2.200,00€ al mes

Beneficios:

Cesta de navidad
Descuento en carburantes
Parking gratuito

Experiencia:

Contabilidad: 4 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Finanzas
Administrativo Contable,DISPROKIN BALEAR S.L.,España,22 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Se busca Administrativo/a contable para incorporación inmediata.

Las principales funciones del puesto son:

Contabilidad diaria: facturas compras y ventas, cancelación cobros, nóminas. Conciliación cuentas y revisión de los asientos contables.
Cierre mensual y la preparación de balances.
Elaborar informes contables periódicos internos y externos requeridos por la legislación.
Colaborar en la elaboración de la documentación fiscal anual.

Se requiere formación adecuada a las tareas, FP II o formación universitaria en Administración y Finanzas o similar. Se precisa experiencia en funciones similares. Es indispensable contar con conocimientos adecuados de los principios de contabilidad, habilidades en herramientas informáticas como paquetes contables y excel, y conocimientos de la legislación fiscal y mercantil.

Ofrecemos un puesto estable en una empresa consolidada del sector, con un salario acorde a la experiencia y responsabilidad del puesto.

Retribución inicial propuesta Bruta: 22.000 € / Año

Tipo de puesto: Jornada completa

Sueldo: A partir de 22.000,00€ al año

Educación:

FP Grado Medio (Obligatorio)

Experiencia:

Contabilidad: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Finanzas
Controller Financiero,VAMOS A COMER SL,España,40 mil € (Proporcionado por la empresa),16 días,"3,9","VAMOS A COMER S.L. es un Cash and Carry que se dedica a la distribución de productos italianos de calidad a buen precio a restaurantes, pizzerías, bares, hoteles, catering y comercios en Barcelona y en todo el territorio español. Estamos desarrollando un proyecto de expansión y nos encantaría poder contar contigo para poder crecer juntos.

Descripción del puesto

Buscamos un/a Controller Financiero/a con almenos 3 años de experiencia en estrategias de expansión y crecimiento empresarial. Será responsable de liderar la planificación financiera, estructurar modelos de financiación y optimizar la rentabilidad en un entorno dinámico y en crecimiento.

Responsabilidades

Diseñar y ejecutar estrategias financieras alineadas con el plan de expansión de la empresa.
Analizar oportunidades de inversión, fusiones y adquisiciones.
Optimizar la estructura de capital y gestionar la relación con inversores y entidades financieras.
Supervisar la contabilidad, tesorería y control de gestión, garantizando la solidez financiera.
Implementar modelos financieros escalables para maximizar la rentabilidad.
Evaluar riesgos financieros y desarrollar planes de mitigación.
Colaborar estrechamente con el equipo directivo para la toma de decisiones estratégicas.

Requisitos

Conocimientos sólidos en corporate finance, M&A, fundraising y optimización fiscal.

Capacidad analítica y estratégica para la toma de decisiones financieras.
Habilidades de liderazgo, negociación y comunicación.
Formación en Finanzas, Economía, Administración de Empresas o afines; valorable MBA o certificaciones financieras (CFA, CPA).

Se valorará

Experiencia en sectores de alimentación. Muy valorable conocer los productos italianos y hablar el idioma, pero no indispensable.
Experiencia en empresas en fase de expansión.
Conocimiento en herramientas de BI y digitalización financiera.

Qué ofrecemos

Un entorno dinámico con oportunidades de crecimiento y desarrollo profesional.
Participación en proyectos estratégicos de alto impacto.
Poder formar parte de un proyecto a gran escala formando parte de una gran familia .

Si te motiva el reto de liderar la expansión de una empresa con alto potencial, ¡queremos conocerte!

Envía tu CV a rrhh@vamosacomer.eu con el asunto ""CONTROLLER FINANZAS""

Tipo de puesto: Jornada completa

Sueldo: A partir de 40.000,00€ al año

Ubicación del trabajo: Empleo presencial",Todas,Finanzas
