Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Ayudante camarero,Originale,España,No especificado,21 días,"3,4","Descripción

Somos Originale, un acogedor coffee shop en el centro de Bilbao. Nos apasiona el café de especialidad y los brunchs saludables. Ofrecemos café tostado localmente, deliciosos tés, tostadas gourmet, yogures frescos y repostería casera. Si amas el café tanto como nosotros y valoras la calidad y la sostenibilidad, ¡únete a nuestra misión de crear experiencias únicas con cada taza y cada plato!

¿Qué estamos buscando?

¡Forma parte de Originale! Buscamos personas positivas y proactivas, que quieran trabajar en un ambiente dinámico y apasionante.

Necesario un nivel medio-alto de inglés y experiencia previa en hostelería. Si eres entusiasta y disfrutas creando experiencias únicas para los clientes, esta es tu oportunidad.

¿Qué ofrecemos?

Contratos de 18-20 horas semanales (disponibilidad las tardes entre semana y los fines de semana )
Salario por convenio

Responsabilidades:

Experiencia del Cliente: Ofrecer una excelente atención, conocer la carta de alérgenos y los estándares de manejo de alimentos.
Orden y Limpieza: Mantén el coffee shop limpio y organizado.

Tipo de puesto: Media jornada, Contrato indefinido

Sueldo: 1.000,00€-1.400,00€ al mes

Beneficios:

Opción a contrato indefinido
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Todas,Hostelería
Ayudante de cocina,INVERODE SL,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Ampliamos nuestro equipo en Hábitat Cigüeña negra, un pequeño hotel rural con 12 habitaciones y restaurante-asador premiado con Estrella Verde Michelín, un lugar situado en mitad de una dehesa de 220 hectáreas, con ganadería propia, olivar y almazara ecológica.

Buscamos profesionales del sector con poca o mucha experiencia pero con ganas de aprender, trabajar y hacer equipo , orientados hacia la excelencia, con iniciativa y proactividad y que tengan compromiso y compartan los valores de este proyecto tan singular.

Las tareas a desarrollar en este puesto de trabajo se centran en todo lo relacionado a la preparación de los platos de nuestra carta, como el mantenimiento de la higiene y el orden de la cocina y utensilios.

Si quieres crecer con nosotros, este es tu sitio.

Tipo de puesto: Jornada completa

Sueldo: A partir de 1.300,00€ al mes

Beneficios:

Cesta de navidad
Comidas en la empresa
Gastos de vivienda
Opción a contrato indefinido
Parking gratuito
Uniforme proporcionado

Posibilidad de trasladarse/mudarse:

10890 Valverde del Fresno, Cáceres provincia: Desplazarse al trabajo sin problema o estar dispuesto a mudarse con un paquete de reubicación provisto por la empresa (Obligatorio)

Experiencia:

Hostelería: 1 año (Obligatorio)

Idioma:

español (Deseable)

Licencia/Certificación:

Carnet de Manipulación de alimentos (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Hostelería
camarero o chica para restaurant ba,cooking horeca,España,1 mil € - 2 mil € (Proporcionado por la empresa),20 días,"3,4","contratar camarero o chica para restaurante

Valiente, dinámica, voluntaria, atenta y ambiciosa.

Quieres aprender a evolucionar dentro de un equipo grande, horario variable, ya sea por la mañana o por la tarde o incluso ambas.

Se requiere buena presentación, papeleo de trabajo requerido, salario inicial y atractivo en caso de buen progreso.

PD: Personal que habla alemán y español también es bienvenido.solicitud y presentación obligatoria

Tipo de puesto: Jornada completa, Media jornada

Sueldo: 1.200,00€-1.500,00€ al mes

Beneficios:

Comidas en la empresa
Flexibilidad horaria

Preguntas para la solicitud:

habité la zone

Experiencia:

Hostelería: 10 años (Obligatorio)

Idioma:

Alemán (Deseable)
Español (Obligatorio)

Licencia/Certificación:

papier de travail espagnol (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Hostelería
MECANICO/A MAQUINARIA HOSTELERIA,ibzJOBS,España,No especificado,8 días,"3,4","Empresa de mantenimiento e instalaciones industriales selecciona, para incorporará en su departamento técnico en FORMENTERA a:

MECÁNCO/A .

Funciones:
Garantizar la correcta instalación y reparación de equipamientos de hostelería y frío industrial..
Dar servicio a la cartera de clientes de las operaciones preventivas necesarias para el óptimo funcionamiento de los equipo.

Se ofrece:
Trabajo todo el año
Jornada completa.
Contrato indefinido.
Formación continua.
Salario acorde con la formación, experiencia y conocimientos.
Opción de vivienda

Ciclo formativo grado medio, acorde con el puesto.
Experiencia previa ( se valorará).
Persona activa, dinámica y resolutiva.",Todas,Hostelería
SEGUNDO/A DE SALA PARA RESTAURANTE EN BARCELONA,GRUPO EXTERNA,Barcelona,2 mil € (Proporcionado por la empresa),24 horas,"3,4","En Externa conectamos a profesionales como tú, con empresas de diferentes sectores y actividades en todo el territorio nacional. Tenemos en cuenta tus necesidades, te acompañamos durante todo el proceso de búsqueda y te facilitamos el acceso a nuevas oportunidades laborales.

Nos encargamos del reclutamiento, selección, contratación y puesta a disposición de candidatos de forma rápida y eficaz, para distintas áreas, como logística, transporte, reparto, distribución, alimentación, metal, limpieza, hostelería, restauración, industria, fuerzas de ventas, etc.

Sabemos de la complejidad de la situación económica actual, por eso queremos hacerte las cosas más fáciles y ayudarte con tus gastos habituales. Desde Externa Gestión Integral de Recursos Humanos, si eres trabajador en activo de alguna empresa de nuestro grupo, te invitamos a darte de Alta en Externa Club Benefits, dónde podrás disfrutar de grandes ofertas y descuentos en las compras y productos que allí ofrecemos. Es completamente gratuito y muy sencillo de utilizar, sólo necesitas tus datos personales y tú correo electrónico, confirmar tú cuenta y ¡a ahorrar!

Funciones:

Responsable de garantizar un servicio de calidad, profesional y eficiente a los clientes.
Conocer y asesorar sobres los diferentes productos de la carta de alimentos y vinos.
Recabar información de la satisfacción de los clientes durante el servicio.
Supervisar el montaje y reposición de las sala.
Mantener en perfecto estado las instalaciones de las áreas del restaurante.
Realización de pedidos en ausencia del responsable directo.
Gestión de personal y turnos.
Buena coordinación con cocina.
Tareas de apertura y cierre del local.

Requisitos:

-Mínimo 2 años de experiencia en restaurantes, hoteles, banquetes.

-Imprescindible dominio del inglés, castellano y catalán.

-Dominio de herramientas de restauración (abridor de vinos, bandeja, etc)

-Disponibilidad para incorporación inmediata (Horarios partidos).

Se ofrece:

-Contrato indefinido

-Salario competitivo

-Buen ambiente laboral

-Posibilidad de crecimiento

Tipo de puesto: Jornada completa, Indefinido

Sueldo: 1.900,00€-2.000,00€ al mes

Experiencia:

Hostelería: 2 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Hostelería
Cocinero/a Residencia. Ref SCCNR,Serunion,España,2 mil € (Proporcionado por la empresa),24 horas,"3,4","Descripción:

¡Únete a nuestro exclusivo equipo!

Serunion, líder en servicios de restauración colectiva y facilities management, con más de 30 años de experiencia en el mercado; cuidando de más de 500 000 personas cada día en todas las etapas de su vida, promoviendo una alimentación saludable y actuando de forma sostenible. Buscamos construir un equipo diverso e inclusivo, valorando y respetando la diversidad y comprometidos con la igualdad de oportunidades en el acceso al empleo y desarrollo profesional. Buscamos a un/a cocinero/a con experiencia demostrable en colectividades, residencias u hospitales, para incorporar a una de nuestras residencias de la tercera edad, ubicada en Cornellà de Llobregat (Barcelona).

Como cocinero/a, tendrás la oportunidad de poner en práctica tus conocimientos culinarios, y ayudar en la preparación y elaboración de la producción. Deberás cumplir con las normas de seguridad alimentaria y de higiene y mantener un ambiente de trabajo agradable y productivo.

Las principales funciones previstas son:

Elaboración de partidas del menú.
Llevar buen control y mantenimiento del uso de maquinaria, materiales, utillaje, etc. del departamento.
Limpieza de menaje y áreas de cocina.
Recepción de materia prima y albaranes.
Registros de APPCC.

Ofrecemos:

Contrato temporal, con posibilidad de fijo.
Jornada completa (40hrs) semana corta (martes, jueves, viernes), semana larga (lunes, miércoles, sábado, domingo).
Incorporación inmediata en empresa líder en restauración, con presencia nacional, y parte de grupo internacional de gran relevancia.
Entorno dinámico y creativo.
Salario según convenio (1616 euros brutos/mes por 14 pagas al año).

Si eres un/a cocinero/a apasionado/a con ganas de trabajar y de formar parte de un equipo exitoso, envía tu currículum vitae. Todos los contacto directos con el centro de trabajo no serán tomados en consideración. ¡Estamos deseando conocerte y tener un/a nuevo/a miembro/a¡

Requisitos:

Formación preferiblemente en Hostelería: Técnico Superior en Restauración. Técnico en Cocina
Experiencia demostrable en sector hostelería, colectividades, restauración o afines.
Se valora disponer de 1 – 2 años de experiencia en funciones similares.
Conocimientos y/o experiencia en pedidos y organización de cocinas.
Persona resolutiva y con capacidad de comunicación.
Trabajo en equipo.
Disponibilidad horaria.",Todas,Hostelería
Ayudante de cocina,RESTAURANTE EL FARO,España,1 mil € - 2 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Se necesita personal para trabajar en cocina,con experie y manejo de utensilios,trabajo en equipo

Tipo de puesto: Jornada completa

Sueldo: 1.200,00€-1.600,00€ al mes

Horario:

Disponibilidad fin de semana

Requisito de idioma flexible:

Español no requerido

Retribución complementaria:

Propinas

Posibilidad de trasladarse/mudarse:

Níjar: Desplazarse al trabajo sin problema o estar dispuesto a mudarse con un paquete de reubicación provisto por la empresa (Obligatorio)

Experiencia:

Experiencia en cocina: 2 años (Obligatorio)
Cocina: 2 años (Obligatorio)
Hostelería: 2 años (Obligatorio)

Licencia/Certificación:

Carnet de Manipulación de alimentos (Obligatorio)

Ubicación del trabajo: Empleo presencial

Fecha de inicio prevista 19/09/2024",Todas,Hostelería
Personal para Restaurante,La Piemontesa,España,No especificado,+ 30 d,"3,4","Buscamos para nuestros restaurantes La Piemontesa en Sevilla:

Personal de sala.
Personal de cocina.

Horario partido. Alta en SS y contratación asegurada.

Imprescindible alguna experiencia en el sector de hostelería.

Tipo de puesto: Jornada completa, Contrato indefinido, Contrato temporal
Duración del contrato: 6 meses

Sueldo: A partir de 1.150,00€ al mes

Preguntas para la solicitud:

¿Tienes alguna experiencia en hostelería?

Ubicación del trabajo: Empleo presencial",Todas,Hostelería
Oficial de Sala de Juego ARGANDA,Orenes Grupo,Madrid,No especificado,16 días,"3,4","Grupo Orenes, multinacional líder en el sector del Ocio y Entretenimiento selecciona para su Salón de Juego en ARGANDA DEL REY personas para desempeñar el puesto de Oficial de Sala con contrato indefinido a jornada completa.

Las funciones principales a desarrollar serán:

Control de accesos.
Atención al cliente en el establecimiento.
Gestión del cambio a consumidores.
Control de los dispositivos y terminales.
Apertura o cierre del local.
Formación mínima requerida:

Educación Secundaria Obligatoria o Bachillerato.

Experiencia requerida:

Experiencia de al menos 1 año en HOSTELERÍA o ATENCIÓN AL CLIENTE.

Otros:

Disponibilidad para trabajar en TURNOS ROTATIVOS y en FINES DE SEMANA.
Residir en Arganda

¿Qué podemos ofrecerte?

Contrato indefinido a jornada completa 40h
Incorpórate a una empresa estable y con una larga trayectoria
Trabaja en un equipo innovador y multidisciplinar en constante evolución

#uneteanuestroequipo

Con el firme compromiso de tratar todas las candidaturas bajo la premisa de no discriminación e imparcialidad, y valorando las capacidades, logros y experiencia independientemente de su edad, sexo, nacionalidad, raza o discapacidad, se valorarán positivamente candidaturas con certificado de discapacidad.",Todas,Hostelería
Gerente de Fast Food,Talent Search People,España,30 mil € - 36 mil € (Proporcionado por la empresa),10 días,"3,4","Como Gerente, serás la persona responsable del éxito integral del restaurante, liderando tanto la operación como la cuenta de explotación completa.
Serás el motor del negocio: motivando al equipo, asegurando una experiencia excepcional para cada cliente y garantizando el cumplimiento de los estándares de calidad, servicio, limpieza y hospitalidad..

Responsabilidades principales

- Gestión operativa del restaurante, asegurando el cumplimiento de estándares de calidad, servicio, limpieza y seguridad alimentaria.
- Supervisión de KPIs: mano de obra, coste de producto, ventas, auditorías y experiencia del cliente.
- Planificación de horarios, coordinación de turnos y liderazgo del equipo de gerencia (asistentes y encargados/as).
- Control financiero: gestión del P&L, optimización de costes y análisis de resultados con planes de acción.
- Gestión del clima laboral y desarrollo profesional del equipo.

- Experiencia en cadenas, franquicias o grupos empresariales gastronómicos.
- Conocimiento en control de costes, inventarios y análisis de KPIs.
- Habilidades de liderazgo, visión de negocio y proactividad.
- Ingles Intermedio.

-INDISPENSABLE: Experiencia en restauración organizada (no hoteles ni restauración independiente)

- Salario: 30.000 € + bonus anual de hasta 12.000 €.
- Jornada: 40h semanales, turnos rotativos, 5 días trabajados + 2 libres consecutivos. Un fin de semana libre al mes.
- Vacaciones: 51 días/año.
- Beneficios: seguro médico privado + acceso a Wellhub.
- Formación obligatoria de 12 semanas en Barcelona o Madrid con viajes, alojamiento y dietas cubiertas.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 30.000,00€-36.000,00€ al año

Ubicación del trabajo: Empleo presencial",Todas,Hostelería
