Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
"Ingeniero, Arquitecto de redacción de proyectos","VÍAS Y CONSTRUCCIONES DEL NORTE, S.L.",España,No especificado,+ 30 d,"3,9","Empresa constructora de León, necesita incorporar para su departamento de redacción de proyectos personal con titulación técnica, ICCP, ITOP, Arquitecto, Arquitecto Técnico, Ingeniero Técnico de Minas, Ingeniero Civil, etc., con mas de 5 años de experiencia en redacción de proyectos de edificación y obra civil.

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Flexibilidad horaria

Experiencia:

Liderazgo: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Ingeniería
Licensed Aircraft Engineer – Base Maintenance,The Emirates Group,Barcelona,No especificado,+ 30 d,"3,9","Licensed Aircraft Engineer – Base Maintenance
Job Purpose

At Base Maintenance, our expert engineers deliver unparalleled service for all aircraft checks, from comprehensive inspections to major system repairs. We handle cabin retrofits, aircraft deliveries, and detailed inspection programs for Airbus A380, A350 and Boeing 777. Our team excels in timely, cost-effective solutions for A & C checks, engine change, and landing gear changes, along with unscheduled maintenance and pre-service checks.

To carry out routine maintenance tasks and defect rectification of aircraft as per company and associated regulatory procedures.

In this role you will:
Carry out aircraft maintenance and servicing tasks in compliance with manufacturer and safety procedures. Ensure that assigned zones/aircraft are maintained as per latest revisions of approved authority Technical Publications such as Aircraft documentation, Technical Notices, Quality Notices, and Engineering Procedures Manual etc. Ensure that personal approvals/licences are valid and applicable to aircraft types.
Ensure all off-aircraft tasks i.e. spares handling, robberies, hold items etc. are handled in compliance with company procedures and that the associated paperwork is complete to ensure full transparency. Determine if tooling/equipment used is serviceable and appropriate for the task and use specialised tooling where required. Ensure that trouble shooting procedures/tools used for fault rectification are carried out in a cost effective and efficient manner.
Carry out component changes as necessary as part of trouble shooting process and/or as directed by immediate supervisor. These should be done in accordance with AMM, IPC or other manufacturer/vendor documentation to complete the task.
Ensure that all activities performed are carried out in accordance with all safety rules and regulations and in adherence to company procedures, highlighting any deficiencies/requirements (whether for aircraft or hangar use) through the effective use of reporting tools in support of the overall quality improvement process and actively participate in propagating and enhancing the Group safety culture. Ensure all work locations are kept clean and excellent housekeeping conditions are maintained.
Maintain effective communication with Colleagues including Managers and Senior Engineers to ensure a seamless flow of information and to highlight any potential operational issues. Ensure that relevant reports are related to service delays, incidents and accidents are completed in detail including the identification of issues that led to the event so that rectification can be sought through short term maintenance planning.
Manage the performance of staff using performance review process and system. Ensure SMART goal setting, interim/annual reviews and development plans are in place for assigned staff members in accordance with company procedures.
Attend training/recurrent modules as required to enhance skills and comply with CAR 145.
Qualifications
To be considered for the role you must meet the below requirements:
Licensed Aircraft Engineer TE.03

Degree/Honors (12+3) in Aeronautical, Mechanical, Avionics, Electronic, or Technical Engineering, or a Maintenance Engineering Licence.

Minimum 10 years of Engineering experience, with 5+ years as certifying staff.

Minimum of 2 aircraft type approvals with at least one of the Emirates aircraft types (A380, A350, or B777).

Preferred GCAA, UK CAA or EASA license eligible for conversion.

Fully conversant with Air Legislation and legal matters that relate to the operation and maintenance of aircraft to international standards.

Licensed Aircraft Engineer TE.02

Degree/Honors (12+3) in Aeronautical, Mechanical, Avionics, Electronic, or Technical Engineering, or a Maintenance Engineering Licence.

Minimum 8 years of Engineering experience, with 2+ years as certifying staff.

Minimum of 2 aircraft type approvals with at least one of the Emirates aircraft types (A380, A350, or B777).

Preferred GCAA, UK CAA or EASA license eligible for conversion.

Fully conversant with Air Legislation and legal matters that relate to the operation and maintenance of aircraft to international standards.

Details of Safety Sensitive role:
Working at height: Yes
Exposure to hazardous energy systems: Yes
Heavy lifting: Yes
Working in areas with motorised mobile equipment: Yes
Work in confined spaces: Yes
Contact with contaminations materials (Humans/Animals/Chemicals): Yes
Contact with dangerous goods: Yes
Work in an extremely noisy environment: Yes
Work in heat: Yes
Working with pressurised substances: Yes
Exposure to fixed protruding sharp objects: Yes
Exposure to contact with moving/falling objects: Yes
Driving a vibrating equipment: No
Safety Sensitive role: Yes
Leadership role: Yes
PSMP role: Yes
Salary & Benefits

Join us in a management role and enjoy an attractive tax-free salary. On top of our generous travel benefits, including discounted flights and hotel stays around the world, this managerial role also has an excellent leave and healthcare package.

That’s on top of transport benefits, life insurance and more. Find out what it’s like to live and work in our fast-paced, cosmopolitan home city in the Dubai Lifestyle section of our website. https://www.emiratesgroupcareers.com/search-and-apply/20426",Todas,Ingeniería
Ingeniero/a Técnico/a,"AWMA SUN CONTROL SOLUTIONS, S.L.",España,25 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Empresa dedicada a la fabricación de productos de protección solar (toldos, pérgolas y sistemas bioclimáticos) busca incorporar Ingeniero/a para su Departamento Técnico.

Funciones principales:
Desarrollo y gestión de proyectos técnicos, diseño y modelado de productos, elaboración de planos y documentación técnica, apoyo técnico a los departamentos comercial y de producción, supervisión de mediciones y replanteos, coordinación con fabricación y proveedores, y control técnico de calidad y mejora de procesos.

Requisitos:
Formación en Ingeniería (industrial, mecánica, diseño industrial o similar), experiencia en entorno técnico o industrial, manejo habitual de Autodesk Inventor y Rhinoceros, conocimientos a nivel usuario de Cype y Dlubal para cálculo de estructuras, y uso de herramientas de diseño y presentación como Blender, 3D Max e InDesign. Capacidad de organización, análisis y trabajo en equipo. Se valorará experiencia en el sector de protección solar, carpintería metálica o cerramientos.

Qué ofrecemos:
Contrato estable, incorporación a empresa en crecimiento, salario acorde a experiencia y posibilidades de desarrollo profesional, buen ambiente de trabajo y participación en proyectos técnicos de alto valor añadido.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 25.000,00€ al mes

Posibilidad de trasladarse/mudarse:

30591 Balsicas, Murcia provincia: Desplazarse al trabajo sin problemas o planificar mudarse antes de comenzar a trabajar (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Ingeniería
Inspector/a de ITV con FP mecánica del automóvil o Ingeniería,Grupo Itevelesa,España,27 mil € - 33 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Se ofrece puesto de inspector para los Centros de ITV de Mallorca, imprescindible titulo de grado medio o superior en electromecánica de vehículos o equivalentehomologado en España

· Realización de inspección técnicas unitarias de vehículos.

· Mantenimiento de equipos.

· Entrega de documentación finalizada la inspección y Archivo.

Requisitos:

· Persona autónoma y con capacidad de aprendizaje.

· Se valorarán conocimientos de idiomas.

· Competencias digitales.

· Formación específica mínima: Título oficial de F.P. grado medio en electromecánica del automóvil emitido por un instituto de España u homologado por el Ministerio de educación o un título de ingeniería emitido por una universidad española u homologación del título por el Ministerio de educación.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 26.880,00€-32.880,00€ al año

Beneficios:

Formación en certificaciones profesionales

Licencia/Certificación:

Grado medio o superior de electromécanica (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Ingeniería
Project Manager d'Obra Civil Épila,bonÀrea Agrupa,España,No especificado,+ 30 d,"3,9","Descripció del lloc

Vols formar part d'un dels projectes industrials més ambiciosos de l'Aragó?

bonÀrea continua amb la construcció del seu nou complex alimentari a Épila, un projecte estratègic que marcarà un abans i un després en el sector.
Busquem un/a Project Manager per al departament d'Obra Civil, que vulgui assumir un paper clau en la gestió i el control d'obres civils dins d'aquest gran repte.

Quina serà la teva missió?

Supervisar i coordinar diferents tipologies d'obra civil (botigues i espais comercials, estacions de servei, instal·lacions industrials del nou complex bonÀrea).

Garantir la qualitat, els terminis i la coordinació amb equips interns i externs.

Aplicar metodologies BIM per optimitzar processos i resultats.

Què oferim?


Contractació indefinida en una empresa en creixement.
Flexibilitat horària en torn central.
Salari competitiu.
Formaràs part del desenvolupament del nou complex bonÀrea a Épila, un dels projectes industrials més rellevants a l'Aragó, contribuint a una iniciativa estratègica amb impacte real a la regió. [+]



Formació Mínima

Formació en Enginyeria Civil, Arquitectura Tècnica o similar.

Altres requisits

Experiència en gestió d'obres civils.
Es valoraran coneixements de BIM.
Perfil resolutiu, organitzat i amb visió global.

Incorporació




Salari

No informat",Todas,Ingeniería
Mechanical Engineer,Baxter,Huesca,No especificado,2 días,"3,9","This is where your work makes a difference.

At Baxter, we believe every person—regardless of who they are or where they are from—deserves a chance to live a healthy life. It was our founding belief in 1931 and continues to be our guiding principle. We are redefining healthcare delivery to make a greater impact today, tomorrow, and beyond.

Our Baxter colleagues are united by our Mission to Save and Sustain Lives. Together, our community is driven by a culture of courage, trust, and collaboration. Every individual is empowered to take ownership and make a meaningful impact. We strive for efficient and effective operations, and we hold each other accountable for delivering exceptional results.

Here, you will find more than just a job—you will find purpose and pride.

Summary:

We are looking for a Mechanical Engineer based at our Sabiñanigo plant that will be responsible for the analysis, optimization, and reliability improvement of automated filling, printing, and pouching systems.

Reporting directly to the Regional Engineering Leader, this engineer will be part of a Regional Team and will focus on mechanical performance, design improvement, and process stability, ensuring high machine availability and product quality across multiple Baxter manufacturing sites at a regional and global level.

What you will be doing:
Analyze and optimize mechanical assemblies to improve equipment performance and stability.
Identify mechanical bottlenecks, wear points, and recurring breakdowns, and implement robust solutions.
Collaborate with multi-functional teams on equipment upgrades and modifications.
Participate in root cause analyses and propose optimal mechanical improvements to minimize recurring failures.
Lead mechanical performance studies to support Overall Equipment Effectiveness improvement initiatives.
Review and validate mechanical drawings, component specifications, and Bill of Materials.
Support equipment Factory Acceptance Tests/ Site Acceptance Tests, installation, and commissioning activities.
Ensure compliance with safety, GMP, and mechanical integrity standards.
Document changes through proper engineering change control processes.

What you will bring:
Degree or equivalent experience in Mechanical Engineering or related field.
Proven professional exposure to automated, packaging or filling machines mechanics in a manufacturing/ production environment, ideally in the pharma or healthcare industry.
Strong knowledge of mechanical design, kinematics and motion systems.
Good command of 3D CAD software.
Solid understanding of Root Cause Analysis (RCA), Failure Mode and Effects Analysis (FMEA), and reliability engineering methods.
Analytical, problem-solving skills and continuous improvement mindset.
Able to communicate optimally in English in a work environment.
Availability to travel 80% of the time within regional or international contexts.

Why do you want to work at Baxter?

Competitive total compensation package
Professional development opportunities
High importance placed on work life balance (Family Responsible Certificate EFR)
Flexible benefits (childcare vouchers, employee discounts, etc.)
Commitment to growing and developing an inclusive and diverse workforce

#LI-TA1

Equal Employment Opportunity

Baxter is an equal opportunity employer. Baxter evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability/handicap status or any other legally protected characteristic.

Reasonable Accommodations

Baxter is committed to working with and providing reasonable accommodations to individuals with disabilities globally. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please click on the link here and let us know the nature of your request along with your contact information.

Recruitment Fraud Notice

Baxter has discovered incidents of employment scams, where fraudulent parties pose as Baxter employees, recruiters, or other agents, and engage with online job seekers in an attempt to steal personal and/or financial information. To learn how you can protect yourself, review our Recruitment Fraud Notice.",Todas,Ingeniería
Jefe de Obra,"ONE EDEN SPAIN LUXURY, S.L.",España,50 mil € - 70 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Reportará a: Dirección de Operaciones / Dirección de Proyecto

Descripción del puesto

Buscamos un/a Jefe/a de Obra con responsabilidad y capacidad legal para supervisar y gestionar proyectos y contratos de construcción de pequeña escala en España.

La persona ideal contará con – o podrá obtener – la acreditación profesional necesaria (por ejemplo, director/a de Ejecución de Obra o Coordinador/a de Seguridad y Salud) que le permita asumir legalmente la responsabilidad de las obras.

Su función principal será garantizar que los proyectos se ejecuten de forma segura, dentro del plazo y del presupuesto establecidos, y en pleno cumplimiento con la normativa española en materia de edificación, seguridad y salud, así como con las obligaciones contractuales correspondientes.

Principales Responsabilidades

· Asumir la responsabilidad legal en la ejecución de las obras, garantizando el cumplimiento del Código Técnico de la Edificación, la legislación en materia de seguridad y salud laboral y la normativa medioambiental vigente en España.

· Gestionar y supervisar de forma simultánea varios proyectos de construcción de pequeña escala, desde la planificación inicial hasta la finalización de las obras.

· Coordinar y supervisar a contratistas, subcontratistas, arquitectos, ingenieros y demás agentes intervinientes en el proyecto.

· Redactar, revisar y negociar contratos, asegurando que los términos sean claros, equitativos y conformes con la legislación española.

· Realizar inspecciones en obra para controlar la calidad de ejecución, el avance de los trabajos y el cumplimiento de las normas de seguridad.

· Elaborar y gestionar presupuestos, control de costes y planificación temporal de los proyectos.

· Asegurar la obtención y mantenimiento de todos los permisos, licencias y autorizaciones necesarias para la ejecución de las obras.

· Liderar la evaluación de riesgos e implementar estrategias de mitigación que garanticen operaciones seguras y conformes con la normativa.

· Elaborar informes periódicos de seguimiento para la Dirección y para los clientes.

· Fomentar y mantener relaciones sólidas con autoridades locales, proveedores y colaboradores externos.

Requisitos y cualificaciones

· Grado universitario (o superior) en Dirección de la Construcción, Ingeniería Civil, Arquitectura Técnica o en una disciplina relacionada.

· Acreditación o colegiación profesional vigente en España, por ejemplo: Ingeniero/a Técnico/a u otra titulación equivalente que habilite para ejercer la responsabilidad legal en obra.

· Experiencia demostrable de al menos 5 años en la gestión de proyectos de construcción de pequeña escala en España o en la Unión Europea.

· Sólido conocimiento de la legislación española en materia de construcción, contratación y seguridad y salud en el trabajo.

· Excelentes habilidades de liderazgo, negociación y comunicación.

· Dominio de herramientas de gestión de proyectos, como MS Project, Primavera u otras aplicaciones equivalentes.

· Fluidez en español (requisito indispensable); se valorará positivamente un buen nivel de inglés.

· Permiso de conducir vigente y disponibilidad para viajar entre las distintas obras o emplazamientos.

Competencias clave

· Conocimiento legal y normativo sólido

· Liderazgo y toma de decisiones

· Gestión financiera y contractual

· Resolución de problemas y gestión de riesgos

· Coordinación de equipos y gestión de las partes interesadas

Tipo de puesto: Jornada completa

Sueldo: 50.000,00€-70.000,00€ al año

Ubicación del trabajo: Empleo presencial",Todas,Ingeniería
Ingeniero marino experimentado,ARGO NAUTICAL YACHTING SLU,Marbella,No especificado,24 horas,"3,9","Experienced Marine Engineer

Join our team at Puerto Banus in Marbella, as an experienced Marine Engineer within our yacht servicing and aftercare team.

Reporting to the General Aftercare Manager, you will accurately and skilfully undertake the general and warranty repair, servicing and reconditioning of new and used motor yachts to the highest standards of customer satisfaction. The ideal candidate must have relevant marine experience with a proven record of skills and knowledge within the industry, preferably working with servicing and the maintenance of pleasure craft and motor yachts. You should be confident in troubleshooting whilst being able to work well within a team, but also unsupervised. The candidate must be able to be customer facing, providing a first-class service to our boat owners.

Key responsibilities

To ensure customer satisfaction in the service and repair of all vessels
To carry out pre-delivery inspections and testing of all vessels. To include the rectification and repair of all sub-standard components and systems on board as required and accurately completing the required documentation.
To undertake all aspects of work to ensure the vessel is in a condition to present to the customer at time of handover, to include cleaning as required.
To employ such knowledge and skills as may be required to test vessels, their components and diagnose faults.
To carry out servicing and repairs in a safe and economical manner with a right-first-time philosophy.
To report current and possible future vessel faults and servicing requirements noticed whilst fulfilling a job.
To ensure vessels comply with safety standards when returned to the customer and that any faults have been reported and noted on the job card.
Carry out and adhere to the approved used checklist, creating an accurate document quoting the works effectively and carrying out the rectification work required.
Work closely with sub-contractors to ensure the addition of all retro-fitted items are carried out with the maximum efficiency and the utmost protection of the vessel at all times.
Attend customers’ vessels to carry out any warranty repairs and service work both locally and further afield to the highest standards, ensuring that the vessel is looked

after whilst working on board.

To ensure that all hours and materials usage are recorded accurately, and to minimise wastage.
Liaise with customers on a technical basis, offering sound and knowledgeable advice on the care and maintenance of their vessel.
Attend the build-up or break-down of stands, and be present at boat shows as required
Ensure all health and safety and internal safety procedures are adhered to at all times.

A full driving license is required for this role. Salary dependent on experience and skill set.

Job Type: Full-time

Work Location: In person",Todas,Ingeniería
Ingeniero de diseño y desarrollo electrónico,ARCO MET7 S.L. y Arco Electrónica,España,25 mil € - 35 mil € (Proporcionado por la empresa),24 horas,"3,9","Empresa con más de 47 años de experiencia, dedicada a la fabricación de maquinaria industrial y automatización de procesos industriales, precisa de un especialista en electrónica, para trabajar en su Oficina Técnica, ubicada en La Almunia de Doña Godina, Zaragoza.

¿Qué ofrecemos?

- Estabilidad.

- Proyecto de larga duración.

- Crecimiento personal y plan de carrera dentro de la empresa.

¿Qué estamos buscando?

- Formación en Ingeniería Electrónica Industrial y Automática o Grado Superior en Electrónica.

- Experiencia en componentes electrónicos básicos.

- Conocimientos en electrónica analógica y digital.

- Conocimientos de MCUs de diferentes marcas y en especial de arquitectura ARM.

- Conocimientos en sistemas RTOS.

Funciones:

- Programación firmware de microcontroladores (lenguaje C).

- Programación de aplicaciones destinadas al control de procesos industriales en lenguaje C.

- Manejo de Comunicaciones:

- Can

- RS-485

- Ethernet

Horario:

- De lunes a jueves (08:00h-17:00h).

- Los viernes (08:00h-16:00h).

Tipo de puesto: Jornada completa

Sueldo: 25.000,00€-35.000,00€ al año

Preguntas para la solicitud:

¿Cuándo podrías incorporarte?
¿Cuáles son tus expectativas salariales?

Experiencia:

diseño y desarrollo de FIRMWARE con lenguaje C: 2 años (Obligatorio)

Licencia/Certificación:

carnet de conducir tipo B y vehículo propio (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Ingeniería
Electrical Engineer,Baxter,Huesca,No especificado,2 días,"3,9","This is where your work makes a difference.

At Baxter, we believe every person—regardless of who they are or where they are from—deserves a chance to live a healthy life. It was our founding belief in 1931 and continues to be our guiding principle. We are redefining healthcare delivery to make a greater impact today, tomorrow, and beyond.

Our Baxter colleagues are united by our Mission to Save and Sustain Lives. Together, our community is driven by a culture of courage, trust, and collaboration. Every individual is empowered to take ownership and make a meaningful impact. We strive for efficient and effective operations, and we hold each other accountable for delivering exceptional results.

Here, you will find more than just a job—you will find purpose and pride.

Summary:

We are looking for an Electrical Engineer based at our Sabiñanigo plant that will be responsible for ensuring the proper functioning, reliability, and electrical safety of fully automated machines.

Reporting directly to the Regional Engineering Leader, this engineer will be part of a Regional Team and will focus on electrical design, control panels, sensor systems, and power distribution to guarantee stable machine performance and seamless integration across multiple Baxter manufacturing sites at a regional and global level.

What you will be doing:
Fix and optimize electrical systems on automated production equipment.
Design and update control panels, wiring diagrams, and field instrumentation layouts.
Support the installation and commissioning of new electrical systems and upgrades.
Collaborate with software and mechanical engineers to ensure electrical compatibility and control integration.
Conduct effective failure analysis on electrical components to prevent recurring issues.
Implement and maintain preventive maintenance standards for electrical systems.
Support site technicians during electrical interventions and audits to guarantee a proper function of the machines.
Ensure compliance with electrical safety standards.
Lead or support electrical validation and change control documentation as appropriate.

What you will bring:
Degree or equivalent experience in Electrical or Industrial Engineering.
Proven professional exposure to electrical systems for automated or packaging technology in a manufacturing/ production environment, ideally in the pharma or healthcare industry.
Strong knowledge acquired through experience of industrial automation wiring, sensors, control panel design and power circuits.
Solid understanding of machine safety circuits and emergency systems and ability to read and interpret electrical schematics.
Analytical, problem-solving skills and precise approach to fixing.
Able to communicate optimally in English in a work environment.
Availability to travel 80% of the time within regional or international contexts.

Why do you want to work at Baxter?

Competitive total compensation package
Professional development opportunities
High importance placed on work life balance (Family Responsible Certificate EFR)
Flexible benefits (childcare vouchers, employee discounts, etc.)
Commitment to growing and developing an inclusive and diverse workforce

#LI-TA1

Equal Employment Opportunity

Baxter is an equal opportunity employer. Baxter evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability/handicap status or any other legally protected characteristic.

Reasonable Accommodations

Baxter is committed to working with and providing reasonable accommodations to individuals with disabilities globally. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please click on the link here and let us know the nature of your request along with your contact information.

Recruitment Fraud Notice

Baxter has discovered incidents of employment scams, where fraudulent parties pose as Baxter employees, recruiters, or other agents, and engage with online job seekers in an attempt to steal personal and/or financial information. To learn how you can protect yourself, review our Recruitment Fraud Notice.",Todas,Ingeniería
