Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Técnico Jurídico,Asfib,Zaragoza,2 mil € (Proporcionado por la empresa),+ 30 d,"2,8","Buscamos incorporar a nuestro equipo un/a Técnico Jurídico con sólidos conocimientos legales, habilidades analíticas y capacidad de trabajar en un entorno dinámico.

Si tienes pasión por el derecho y quieres formar parte de una organización en crecimiento, esta es tu oportunidad.

Responsabilidades principales:

Asistir en la elaboración, revisión y gestión de contratos, informes y otros documentos legales.
Apoyar en la gestión de procesos judiciales y administrativos.
Interactuar con clientes y terceros para coordinar trámites legales y resolver consultas.
Mantener actualizados los archivos legales y la base de datos jurídica
Colaborar con el equipo legal en la planificación estratégica y resolución de conflictos.

Requisitos

Titulación universitaria en Derecho

Experiencia en posiciones similares

Habilidades de comunicación, organización y trabajo en equipo

Proactividad, atención al detalle y capacidad para trabajar bajo presión

Ofrecemos

Jornada laboral intensiva (mañanas 8h-15.30h)

Salario competitivo, acorde a la experiencia y las competencias del candidato

Oportunidades de desarrollo profesional y formación continua

Un entorno de trabajo colaborativo y dinámico

Tipo de puesto: Jornada completa

Sueldo: A partir de 1.660,00€ al mes

Beneficios:

Ayuda al desarrollo profesional
Jornada intensiva en verano
Programa de formación
Teléfono de empresa

Ubicación del trabajo: Empleo presencial",Todas,Legal
UK-Qualified Solicitors (x3): In-House Legal Advisers (Spain-Based),European Consumer Claims,Mijas,25 mil € (Proporcionado por la empresa),+ 30 d,"2,8","UK-Qualified Solicitors (x3): In-House Legal Advisers (Spain-Based)

Location: Miramar Retail Park, Mijas Costa 29651, Málaga (Costa del Sol)
Job Type: Full-Time, Office-Based, Monday – Friday.

European Consumer Claims is expanding and recruiting three UK-qualified solicitors to join our in-house legal team in Mijas Costa. We help UK clients exit unfair timeshare and holiday park agreements and pursue compensation for clients who have been mis-sold. Both newly qualified and experienced solicitors are welcome to apply.

The Role

Advise on UK consumer and contract law
Review timeshare and holiday park agreements
Speak with UK clients via Zoom/phone
Draft legal letters before action (CPR-aligned)
Provide internal legal guidance and case assessments
Conduct legal research and support case development
UK jurisdiction only – no Spanish legal work

Requirements

Qualified UK solicitor (England & Wales / Scotland / NI)
Strong understanding of UK contract & consumer law
Commercial Awareness
Legal right to live and work in Spain (e.g., residency, Irish passport etc.)
Based on the Costa del Sol or willing to relocate
Excellent written English and communication skills
Detail-focused, professional, and client-oriented
Newly Qualified and experienced candidates both considered

What We Offer

Full-time employment with a growing, specialist legal team
Competitive salary
Monday – Friday, based in our prestigious offices
Opportunity for career progression
Exposure to international clients and the opportunity to collaborate with external lawyers
Work that helps consumers challenge unfair practices

How to Apply

Apply with your CV and a cover letter, including:

Confirmation of your UK solicitor qualification
Your right to live and work in Spain

Job Type: Full-time

Pay: From 25,000.00€ per year

Ability to commute/relocate:

29651 Mijas, Málaga provincia: Reliably commute or planning to relocate before starting work (Required)

Experience:

Legal Research: 3 years (Required)
Contract Analysis: 2 years (Required)

Language:

Fluent English (Required)

Work Location: In person",Todas,Legal
Corporate Legal Consultant (Spain Focus) – Freelance / Collaboration,Sharmax Motors,Trabajo en remoto,3 mil € (Proporcionado por la empresa),21 días,"2,8","Sharmax Motors is an international motorsports company, delivering top-quality equipment for both land and water adventures. From enduro bikes, ATVs, and buggies to jet skis, boats, and outboard motors, we have something for every thrill-seeker. For over a decade, we’ve been redefining freedom and adventure for bold spirits worldwide. And we’re just getting started.

Our mission is to give freedom to everyone and reconnect people with nature!

We are seeking an experienced and highly autonomous Corporate Legal Consultant to establish a flexible, long-term collaboration. You will act as an external expert, providing specialized legal services to our international clients looking to establish, modify, or restructure their business presence in Spain.

This is an ideal opportunity for a self-driven lawyer or legal firm who enjoys direct client interaction, managing diverse projects, and values the flexibility of a consultancy model.

Company Formation & Registration:

End-to-end legal guidance on setting up various types of Spanish legal entities (S.L., S.A., branch, representative office).
Preparation of incorporation documents (corporate bylaws, powers of attorney).
Liaison with notaries, commercial registries, and tax authorities for flawless registration.
Advice on optimal corporate structure and shareholder agreements.

Corporate Restructuring & Changes:

Change of Legal Entity Type: Legal transformation processes (e.g., from S.L. to S.A.).
Change of Ownership (100% or partial): Managing share transfer agreements, due diligence, notarial deeds, and updating the Commercial Registry.
Corporate Governance Changes: Amendments to bylaws, change of company name, registered address, or corporate purpose.
Mergers, Acquisitions, & Spin-offs (M&A): Providing legal support for national and cross-border transactions.

Ongoing Corporate Compliance & Advisory:

Legal representation for non-resident clients before Spanish authorities.
Advice on corporate formalities, directors' liabilities, and annual general meetings.
Drafting and reviewing commercial contracts related to corporate operations.

Required Qualifications & Skills:

Proven track record (3+ years) in Spanish corporate/commercial law, specifically in company formation and corporate restructuring.
In-depth, practical knowledge of Spanish Commercial Registry procedures, notarial acts, and tax (AEAT) requirements for companies.
Business-fluent English and Spanish (both written and spoken) are mandatory. Additional languages are a plus.
Strong client-facing and communication skills. Ability to explain complex legal concepts clearly.
Proactive, reliable, and able to work independently, managing multiple client projects simultaneously.
Solid network of local contacts (notaries, registrars, translators) is highly advantageous.

We Offer:

A key role in a growing, international company.
Competitive salary and benefits package.
Opportunities for professional development and career growth.
A collaborative and supportive work environment.

Job Type: Contract

Pay: From 3,000.00€ per month

Work Location: Remote",Todas,Legal
ABOGADO/A ESPECIALISTA EN DERECHO INMOBILIARIO,servicios de mediación inmobiliaria dio express sl,Madrid,3 mil € (Proporcionado por la empresa),+ 30 d,"2,8","Empresa especializada en la gestion y resolucion de conflictos inmobiliarios a nivel nacional, selecciona abogado/a con amplia experiencia para incorporacion inmediata

FUNCIONES PRINCIPALES:

Redaccion y envio de burofax por impago, incumplimiento contractual y requerimientos legales

Redaccion y tramitacion de demandas de desahucio contra inquilinos morosos, inquilinos en precario y ocupantes sin titulo

Asesoramiento juridico en derecho inmobiliario y arrendamientos urbanos

Coordinacion con el departamento de mediacion inmobiliaria

Seguimiento procesal de expedientes

REQUISITOS IMPRESCINDIBLES:

Licenciatura o grado en Derecho

Colegiacion en ejercicio (imprescindible)

Amplia experiencia demostrable en: Derecho inmobiliario, Arrendamientos urbanos, procedimientos de desahucio en España, capacidad de trabajo auonomo y toma de decisiones, Seriedad, confidencialidad y compromiso profesional.

Disponibilidad para incorporacion inmediata

SE OFRECE:

Incorporacion inmediata

Contrato estable

Salario fijo competitivo segun valia

Dietas y desplazamientos cubiertos

Alto volumen de trabajo

Colaboracion continuada y proyeccion profesional

Las personas interesadas deberan de enviar cv actualizado

Abstenerse candidatos sin experiencia real en la materia o no colegiados

Job Type: Full-time

Pay: 2,500.00€ - 2,800.00€ per month

Work Location: Hybrid remote in 28001 Madrid, Madrid provincia",Todas,Legal
PRÁCTICAS EN EL DEPARTAMENTO JURIDICO,El Mundo del Becario,España,No especificado,3 días,"2,8","Somos un grupo de empresas comprometidas con la excelencia, la innovación y el desarrollo sostenible. Nuestra filosofía se basa en tres pilares: confianza, experiencia y compromiso. Actualmente estamos buscando becarios jurídicos para nuestro Despacho de Abogados. ¿Quieres dar el primer paso en tu carrera profesional en un entorno dinámico, retador y enriquecedor? Buscamos jóvenes con talento, motivación y ganas de aprender para unirse a nuestro equipo

Como persona en prácticas dentro del departamento Jurídico prestará apoyo al equipo legal en diversas tareas relacionadas con el ámbito jurídico y administrativo, colaborando en el desarrollo de casos y ayudando en la gestión de documentación y trámites legales. Tus principales funciones serán:

1. Investigación jurídica: Realizar búsquedas de jurisprudencia, normativas y legislación vigente en diversas áreas del derecho (mercantil, civil, penal, laboral, etc.) para apoyar en la elaboración de informes y casos.

2. Redacción de documentos legales: Ayudar en la elaboración de borradores de contratos, demandas, recursos, acuerdos, y otros documentos legales bajo la supervisión de abogados y juristas.

3. Revisión de contratos y documentos legales: Colaborar en la revisión y análisis de documentos legales para asegurar que cumplan con las normativas y los intereses del cliente.

4. Asistencia en la preparación de juicios y audiencias: Apoyo en la recopilación de pruebas y documentación necesaria para la preparación de juicios o audiencias, incluyendo la organización de archivos y la creación de dossiers.

5. Seguimiento de trámites legales: Ayudar en la gestión de trámites administrativos relacionados con la tramitación de expedientes legales (presentación de escritos, registros, notificaciones, etc.).

6. Elaboración de informes y resúmenes: Colaborar en la redacción de informes y resúmen

Graduados en Derecho o que estén finalizando el Master de Abogacéa.

Posibilidad de formalizar convenio en prácticas

Tipo de puesto: Contrato en prácticas, Contrato para la formación y el aprendizaje

Sueldo: 250,00€ al mes

Ubicación del trabajo: Empleo presencial",Todas,Legal
OFERTA ABOGADO/A SENIOR - CÓRDOBA,Grupo CMC,España,No especificado,+ 30 d,"2,8","LEGAL EXPRESS es la nueva línea de atención jurídica inmediata del Grupo CMC Management Consultant, orientada a ofrecer soluciones legales y administrativas de forma ágil, accesible y profesional.

Con motivo de la apertura de nuestra nueva oficina en Córdoba, seleccionamos un/a Abogado/a Senior para funciones de recepción legal y gestión de expedientes, sin necesidad de ejercicio activo.

Funciones principales

Atención y orientación inicial a clientes.

Recepción, análisis y organización de expedientes legales.

Seguimiento administrativo de procedimientos.

Coordinación con abogados, asesores y técnicos del Grupo CMC.

Gestión avanzada de documentación jurídica.

Control de plazos y agendas.

Uso habitual de bases de datos jurídicas.

Apoyo en procesos de automatización documental y legal tech.

Garantizar confidencialidad y calidad del servicio.

Requisitos

Grado o Licenciatura en Derecho.

Experiencia mínima de 3 años en despachos, asesorías, consultoras o notarías.

No es necesaria colegiación ni ejercicio activo.

Manejo de documentación jurídica y bases de datos legales.

Conocimientos básicos de herramientas tecnológicas e IA aplicadas al ámbito jurídico.

Residencia en Córdoba o alrededores.

Se valorará

Experiencia en derecho administrativo, laboral o mercantil.

Experiencia en atención al público.

Capacidad organizativa y autonomía.

Perfil estable y orientado a largo plazo.

Condiciones

Contrato indefinido o de larga duración.

Jornada completa.

Retribución según experiencia y valía.

Incorporación prevista: marzo.

Proyecto estable dentro del Grupo CMC",Todas,Legal
Administrativo,Atila Legal,Madrid,16 mil € - 26 mil € (Proporcionado por la empresa),+ 30 d,"2,8","Descripción del empleo

En Atila Legal salvamos vidas quitando deudas. Esto es a lo que vienes.

Buscamos a una persona proactiva y empática, comprometida con transmitir los valores de la empresa desde el primer momento. Como primer eslabón en la experiencia del cliente, tu rol será fundamental para:

Brindar una atención cálida y profesional, generando confianza y seguridad desde el primer contacto.

Orientar y resolver dudas, proporcionando información clara y detallada sobre nuestros servicios/procesos.

Gestionar agendas para derivar casos al equipo comercial especializado, asegurando una transición fluida y organizada de nuestros clientes.

Somos una empresa en plena expansión dentro del mundo del derecho y estamos ampliando el equipo comercial. Buscamos una persona con ganas de crecer, que le guste el trato con las personas y trabajar en equipo.

¿Qué ofrecemos?

Jornada completa: 10 a 19h.

Posibilidades reales de crecimiento profesional en la empresa.

Formación continua

16.000 € brutos + comisiones de hasta 10.000€ netos

Incorporación estable en empresa líder en su sector

Ubicación del puesto de trabajo: Madrid

Funciones Principales

Venta telefónica

Gestión de clientes

Eres tú si...

Tienes capacidad de negociación

Tienes actitud resolutiva y orientada al servicio

Si tienes una forma de trabajar organizada y metódica

Quieres ayudar a cambiar el mundo

Quieres crecer dentro de una empresa en pleno crecimiento

Te gusta trabajar en equipo

Sabes aportar al cliente una clara orientación

Idiomas

Idiomas español – Avanzado/nativo

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 16.000,00€-26.000,00€ al año

Preguntas para la solicitud:

¿Cuándo podrías incorporarte?
¿Has trabajado en algún despacho legal o similar?

Experiencia:

atención al cliente: 3 años (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Legal
Business Development Specialist (Spain Remote),HY Legal and Services,Trabajo en remoto,2 mil € - 4 mil € (Proporcionado por la empresa),24 horas,"2,8","At HY Legal and Services, we are supporting a fast-growing global e-commerce platform in its international expansion. We are currently looking for proactive and driven Business Development Specialists to join a remote, project-based role focused on seller acquisition and activation in the Spanish market.

This is a great opportunity to work in a dynamic digital environment with high exposure to cross-functional collaboration and performance-based growth.

Key Responsibilities:

Identify, research, and approach potential sellers and partners
Conduct outreach via email, LinkedIn, and phone
Manage discovery calls to understand partner needs and present platform benefits
Support onboarding and activation of new sellers
Collaborate with internal teams to drive performance
Track and achieve weekly/monthly KPIs (seller acquisition, GMV, etc.)

Requirements:

1–3 years of relevant experience (internships included)
Fluency in Spanish and English, another language is a plus
Strong communication, negotiation, and interpersonal skills
Proactive, detail-oriented, and comfortable working independently
Availability to work full-time for a period of up to 6 months (contractor role)

Preferred:

Background in e-commerce, marketplaces, or digital sales

Compensation:

Competitive monthly base compensation, plus quarterly performance incentives

Location:

Remote – Spain-based
Start date: ASAP

What We Offer:

A fully remote position with flexible collaboration across international teams
Fixed-term contractor agreement for up to 6 months, with the possibility of extension based on performance and business needs
Performance-based quarterly bonus
Clear KPIs and support from a structured onboarding and training process
All necessary work equipment provided by the company for a smooth setup
Opportunity to gain experience in a leading global e-commerce environment

Job Types: Full-time, Temporary
Contract length: 6 months

Pay: 1,800.00€ - 3,800.00€ per month

Experience:

B2B sales development (SDR/BDR) or full-cycle sales: 1 year (Required)

Language:

English (Required)

Work Location: Remote",Todas,Legal
"Comercial de Campo (Puerta a Puerta, Prospección Activa y Atención de Stand)",GESTION ENERGETICA LEGAL,España,1 mil € - 2 mil € (Proporcionado por la empresa),2 días,"2,8","Descripción

Buscamos Comercial en la Provincia de León (Aislamiento y Eficiencia Energética)

Sector: Aislamiento térmico y eficiencia energética

Tipo de trabajo: Comercial de Campo (Puerta a Puerta, Prospección Activa y Atención de Stand)

Tu Misión Principal:

Prospección y Venta Directa: Visitar viviendas en la zona asignada para detectar necesidades y ofrecer soluciones personalizadas de aislamiento térmico por 1€.
Animación de Stand en Espacio León: Atender y dinamizar nuestro stand en el centro comercial Espacio León para captar clientes, explicar el servicio y generar nuevas oportunidades.
Gestión Autónoma: Trabajar con total autonomía en la gestión de tu agenda y ruta comercial.
Networking: Establecer alianzas estratégicas (partnerships) y utilizar tu red de contactos para generar nuevas oportunidades de negocio.
Asesoramiento Experto: Convertirte en el referente para las familias de León que buscan reducir su consumo energético y mejorar la calidad de su hogar.

¿Qué Buscamos en Ti?

Persona con fuerte iniciativa, autogestión y orientación a resultados.
Excelentes habilidades de comunicación, negociación y capacidad probada para generar confianza.
Pasión por las ventas y el sector de la eficiencia energética/sostenibilidad.

Te Ofrecemos:

Ingresos Competitivos: Salario base más un sistema de comisiones elevado con posibilidad real de ingresos muy superiores a la media del sector.
Flexibilidad Laboral: Según el perfil, Contrato Laboral (Régimen General) o Colaboración Mercantil (Autónomo).
Soporte Constante: Formación inicial completa en producto y técnicas de venta, además de apoyo diario del equipo de gestión.
Desarrollo Profesional: Oportunidades de crecimiento dentro de una empresa comprometida con un futuro más eficiente y sostenible.
Equipo dinámico y un entorno de trabajo colaborativo.

Requisitos Indispensables:

Experiencia: Mínimo 1 año en Ventas Directas (puerta a puerta, B2C, o similar). (Obligatorio)
Idioma: Dominio del Español. (Obligatorio)
Disponibilidad para Viajar: Disposición a viajes periódicos y prospección activa dentro de la Provincia de León. (Obligatorio)

Gestión Energética - Aislamiento Inteligente para un Hogar Más Eficiente

Categoría

Comercial y ventas - Comercial

Nivel

Empleado/a

Personas a cargo

1 - 5

Vacantes

2

Salario

1.400€ - 2.400€ Bruto/mes

Beneficios sociales

Otros beneficios: Comisiones elevadas según volumen de ventas

Tipo de puesto: Contrato indefinido

Sueldo: 1.400,00€-2.400,00€ al mes

Beneficios:

Uniforme proporcionado

Experiencia:

Requisitos comerciales: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Legal
Auxiliar Administrativo,FAU LEGAL ADVAISORS S.L.,España,No especificado,10 días,"2,8","AUXILIAR ADMINISTRATIVO DESEMPEÑANDO LABORES DE TAREAS ADMINISTRATIVAS, ATENCION AL CLIENTE Y TRADUCCION CON IDIOMAS: HOLANDES, INGLES Y ESPAÑOL

Tipo de puesto: Media jornada

Sueldo: 680,00€-1.500,00€ al mes

Educación:

ESO (Deseable)

Experiencia:

Experiencia administrativa: 1 año (Deseable)
Microsoft Office: 1 año (Deseable)

Idioma:

Inglés (Obligatorio)
HOLANDES (Obligatorio)
ESPAÑOL (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Legal
