Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Técnico de Logística,K-LOG Solutions SL,Gerona,22 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Somos una transitaria en Girona y buscamos para aumentar nuestra presencia de cara a nuestros clientes una persona para la ""Coordinacion completa de transporte internacional y nacional terrestre de import y de export""... desde la oferta al cliente hasta la facturacion final, pasando por el seguimiento, la informacion al cliente y la resolucion de incidencias por tiempo y por daños.

Tipo de puesto: Jornada completa

Sueldo: A partir de 22.000,00€ al año

Beneficios:

Formación en certificaciones profesionales
Jornada intensiva en verano
Jornada intensiva los viernes
Opción a contrato indefinido
Programa de formación

Preguntas para la solicitud:

Aunque no sea necesario siempre, la persona adecuada debería ser capaz de coordinarse con calma bajo presión, al igual que ser responsable, resolutiva, proactiva, organizada y coordinadora, con buenos modales, un claro perfil operativo y con dotes comerciales. La importancia y la fuerza de nuestra labor está en el SERVICIO AL CLIENTE.

Si estas buscando un cambio personal, una oportunidad para crecer profesionalmente, para dar servicio a nuestros clientes en Europa y el resto del mundo, si eres de mente abierta, y si te gusta el mundo del transporte, por mar, aire, carretera y tren, puede que tu destino está con nosotros. Te interesa?

Educación:

FP Grado Medio (Obligatorio)

Experiencia:

Coordinacion / Administracion de Transporte: 5 años (Obligatorio)

Idioma:

Español (Obligatorio)
Catalán (Obligatorio)
Otro idioma de la UE (deseable) (Deseable)

Ubicación del trabajo: Empleo presencial

Fecha límite para enviar la solicitud: 28/02/2026",Todas,Logística
Auxiliar logística,Grupo Nortempo,España,24 mil € (Proporcionado por la empresa),2 días,"3,4","Desde Grupo Nortempo estamos colaborando con una importante empresa del sector retail y distribución, que se encuentra inmersa en un proceso de profesionalización y mejora del Departamento de Operaciones de cara a 2026.

En este contexto, buscamos un/a:


Auxiliar de Logística


Funciones:




Gestión logística y operativa diaria del departamento.
Generación, revisión y control de albaranes.
Gestión de pedidos y necesidades de suministro con la red de tiendas propia.
Gestión de pedidos con cliente final, asegurando cumplimiento de plazos y calidad.
Gestión, control y validación de facturas propias y de proveedores.
Solicitud, coordinación y seguimiento de transportes.
Relación habitual con agencias de transporte nacionales e internacionales.
Comunicación y coordinación con distintos departamentos internos para garantizar una operativa fluida.
Identificación de errores operativos y propuestas de mejora para optimizar procesos.
Colaboración en nuevas iniciativas orientadas a mejorar la productividad y profesionalización del departamento.


Requisitos:




Experiencia previa en áreas similares: logística, operaciones, administración avanzada o gestión documental.
Experiencia en gestión de albaranes, pedidos, facturación y operativa logística.
Conocimientos de procesos administrativos y herramientas de gestión/ERP.
Se valorará de forma muy positiva el conocimiento de francés e inglés, debido al incremento de interacción con proveedores, clientes y agencias internacionales.
Capacidad de organización, atención al detalle y orientación a la mejora continua.
Habilidad para gestionar múltiples tareas simultáneamente y priorizar.
Buena comunicación y capacidad de trabajo en equipo.


Se ofrece:




Salario ajustable en función de experiencia y responsabilidades asumidas.
Incorporación directa a la empresa.
Horario de 08.30 a 13.30 y de 15.30 a 19.00 (De julio a septiembre de 08.30 a 14.30 horas)
Proyecto estable dentro de un departamento en crecimiento y profesionalización.
Formación interna ligada a procesos operativos y logísticos.
Oportunidad de participar activamente en la mejora y evolución del área.


Buscamos a una persona con rigor administrativo, capacidad analítica y orientación a la calidad, que pueda aportar solidez y profesionalidad al Departamento de Operaciones.


Requisitos


Experiencia previa en áreas similares: logística, operaciones, administración avanzada o gestión documental. Experiencia en gestión de albaranes, pedidos, facturación y operativa logística. Conocimientos de procesos administrativos y herramientas de gestión/ERP. Se valorará de forma muy positiva el conocimiento de francés e inglés, debido al incremento de interacción con proveedores, clientes y agencias internacionales. Capacidad de organización, atención al detalle y orientación a la mejora continua. Habilidad para gestionar múltiples tareas simultáneamente y priorizar. Buena comunicación y capacidad de trabajo en equipo.


Se ofrece


Salario ajustable en función de experiencia y responsabilidades asumidas. Incorporación directa a la empresa. Horario de 08.30 a 13.30 y de 15.30 a 19.00 (De julio a septiembre de 08.30 a 14.30 horas) Proyecto estable dentro de un departamento en crecimiento y profesionalización. Formación interna ligada a procesos operativos y logísticos. Oportunidad de participar activamente en la mejora y evolución del área.

Requisitos

Experiencia previa en áreas similares: logística, operaciones, administración avanzada o gestión documental. Experiencia en gestión de albaranes, pedidos, facturación y operativa logística. Conocimientos de procesos administrativos y herramientas de gestión/ERP. Se valorará de forma muy positiva el conocimiento de francés e inglés, debido al incremento de interacción con proveedores, clientes y agencias internacionales. Capacidad de organización, atención al detalle y orientación a la mejora continua. Habilidad para gestionar múltiples tareas simultáneamente y priorizar. Buena comunicación y capacidad de trabajo en equipo.

Estudios mínimos Máster
Experiencia mínima Al menos 2 años
Se Ofrece

Salario ajustable en función de experiencia y responsabilidades asumidas. Incorporación directa a la empresa. Horario de 08.30 a 13.30 y de 15.30 a 19.00 (De julio a septiembre de 08.30 a 14.30 horas) Proyecto estable dentro de un departamento en crecimiento y profesionalización. Formación interna ligada a procesos operativos y logísticos. Oportunidad de participar activamente en la mejora y evolución del área.",Todas,Logística
RESPONSABLE DE ALMACEN LOGISTICO H/M,STEF,España,No especificado,+ 30 d,"3,4","¿Listo/a para vivir una experiencia apasionante? En STEF, líder europeo del transporte y la logística alimentaria, trabajarás en un mundo en plena evolución.
¿Tu reto? Proporcionar cada día a millones de consumidores productos esenciales para alimentarse, de forma segura.
Incorporarte a nuestra empresa es una oportunidad para desarrollarte en un ambiente estimulante, compartir tu entusiasmo, fomentar tu carácter emprendedor e impulsar tu espíritu de equipo.
¡Estos son los valores que animan a diario a nuestros 22 000 trabajadores/as de 8 países!




En STEF somos un equipo apasionado por conectar productos esenciales con las personas que los necesitan, garantizando calidad, seguridad y eficiencia en cada paso del camino. STEF Valencia, especialista en actividades de Transporte y Logística, busca para su delegación un Responsable de Almacén.


Formar parte de STEF Valencia significa integrarte en una empresa con alma humana, donde las personas son el motor de nuestro éxito. Apostamos por el desarrollo profesional, la estabilidad y la evolución interna, ofreciendo a cada colaborador un entorno donde crecer y dejar huella. Se trata de un puesto de gestión operativa en el área de logística, en el que tendrás que gestionar un equipo de personas con el objetivo de conocer, seguir y transmitir los objetivos, así como identificar y desarrollar las competencias de los colaborador@s.


Tu misión:



Planificar, distribuir y seguir los cuadrantes de turnos y las tareas del equipo a cargo, en función de las necesidades del momento.
Llevar a cabo el mantenimiento de la organización, orden y limpieza del área de trabajo.
Garantizar la buena integración de los nuevos miembros del equipo.
Asegurar la gestión de equipos (absentismo, contratos, promoción, etc).Confeccionar los cuadrantes de turnos para posterior validación por el Responsable de Logistica.
Reportar todos los indicadores de la actividad y propuesta de áreas de mejora.
Coordinar la actividad para garantizar una óptima rentabilidad y calidad de servicio.


¿Qué buscamos?



Licenciado/diplomado o 3 años de experiencia en puesto similar.
Experiencia en gestión de equipos, idealmente en el ámbito logístico (sectores de gran distribución, industria, servicios a empresas).
Manejo de paquete Microsoft office, internet, correo electrónico y en SGA´s.
Valorable inglés/francés a nivel medio.


¿Qué te ofrecemos?



Itinerario de integración personalizado para que cada nuevo integrante se sienta acompañado desde el primer día.
Formación continua y planes de desarrollo, porque creemos en tu potencial y queremos que evoluciones con nosotros.


¿La diferencia en STEF?


Ser Responsable de dossier en STEF supone la oportunidad de desarrollar las competencias específicas en la gestión de equipos, adquirir conocimientos técnicos en la operativa específica y tener la posibilidad de evolucionar.


Unirse a STEF también es:
Formar parte de una filial con una dimensión humana, en el seno de un grupo dinámico que te abrirá perspectivas de evolución..
Desarrollar tus competencias a lo largo de toda tu carrera, gracias a una ambiciosa política de formación.
Convertirse en accionista de tu empresa, como 10.000 de nuestr@s colaborador@s.



¡No esperes más! ¡Construye tu futuro en STEF y contribuye al porvenir de un grupo en desarrollo! https://www.stef.jobs/",Todas,Logística
RECURSO PREVENTIVO PARA PLANTA LOGÍSTICA,"LOGOS SEGURIDAD Y PREVENCIÓN EXTREMEÑA, S.L.",Teruel,2 mil € (Proporcionado por la empresa),24 horas,"3,4","Tareas propias de Recurso preventivo: supervisar y controlar todas las condiciones de seguridad en una obra de construcción. Prevenir y minimizar los riesgos laborales, garantizando el cumplimiento de las normativas y medidas de seguridad establecidas. Gestión documental preventiva. Necesario Curso básico de 60 horas homologado por la Fundación laboral de la Construcción. Se valorará experiencia.

Tipo de puesto: Jornada completa

Sueldo: 1.600,00€-1.800,00€ al mes

Ubicación del trabajo: Empleo presencial",Todas,Logística
Tècnic/a logística,Claire Joster,Manresa,No especificado,6 días,"3,4","Presentación

Somos la firma global de talento: Selección, headhunting, formación y consultoría de Eurofirms Group.




En Claire Joster creemos en el talento único de cada persona y sabemos que la diversidad aporta valor a los equipos, impulsando organizaciones más innovadoras, creativas y eficientes. Por eso, como parte de Eurofirms Group, y de acuerdo con nuestra cultura People first, trabajamos para generar entornos laborales inclusivos en los que cada individuo pueda crecer y desarrollar su mejor versión. Asimismo, buscamos actuar como agentes de cambio para promover la igualdad de oportunidades en nuestro entorno, fomentando el respeto y apostando por la diversidad en todas sus formas.




Seas como seas y sientas como sientas, en Claire Joster tendrás un sitio para brillar.

Organización

Nuestro cliente es una compañía dedicada al sector alimentario, la cual precisa incorporar un/a Técnico/a logística.

Función



Planificar y coordinar las rutas de distribución de productos refrigerados
Gestionar la flota de vehículos y contratar servicios de transporte externos cuando sea necesario
Supervisar el cumplimiento de normativas y estándares de calidad en el transporte de alimentos
Optimizar procesos logísticos para mejorar la eficiencia y reducir costes
Colaborar estrechamente con otros departamentos como comercial y producción
Gestionar el equipo de logística y transporte
Requisitos
Experiencia de al menos 3 años en puestos similares
Formación en logística y transporte
Conocimientos en gestión de transporte refrigerado
Habilidades de comunicación y liderazgo
Disponibilidad para trabajar en turno de tarde (14h – 22h)
Curiosidad e iniciativa para aprender las particularidades del negocio
Oferta
Incorporación a empresa líder en el sector alimentación
Posición estable, con proyección de futuro y oportunidad de desarrollo profesional
Salario competitivo acorde a la experiencia aportada
Postulación

Si tienes ganas de seguir aprendiendo y creciendo profesionalmente, ¡es tu oportunidad!




Aplica a la oferta y nos pondremos en contacto contigo a la mayor brevedad




20/2/2026",Todas,Logística
Operario de logística de almacén,Koyasan Foods,España,No especificado,+ 30 d,"3,4","La Empresa Koyasan Foods busca incorporar personal para el puesto de operario de logística back-up en Villadangos del Páramo, León provincia.

Buscamos personas proactivas, capaces de asumir diferentes funciones, seguimiento de las normas de higiene-seguridad, con capacidad de adaptación y de trabajo en equipo.

Con experiencia en el desarrollo logístico, con capacidad de trabajo en equipo, resolutiva y proactiva.

Se requiere:

Experiencia en puestos similares.

Manejo y carnet de transpaleta eléctrica.

Conocimientos básicos informáticos, para control de inventarios, pedidos, registros de materia prima, ( Libra y Excel ).

Recepción de materia prima, correspondiente procesado y almacenamiento.

Mantenimiento y orden siguiendo nuestros estándares en almacén.

Preparación de pedidos y expedición a otras plantas.

Jornada completa.

Tipo de puesto: Jornada completa

Beneficios:

Uniforme proporcionado

Experiencia:

Operario de logística: 1 año (Obligatorio)

Licencia/Certificación:

Carnet de carretillero (Obligatorio)
Carnet de Manipulación de alimentos (Deseable)
Carnet de traspaleta eléctrica (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Logística
Operario de Almacén con Carretilla,Grupo Nortempo,España,20 mil € - 23 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Desde Nortempo Selección, buscamos incorporar un/a Operario/a de Almacén / Logística para una empresa industrial consolidada del sector metal–vidrio, ubicada en la zona de Olot.


Misión del puesto

Garantizar el correcto funcionamiento del almacén, asegurando el orden, la preparación de cargas, la recepción y expedición de materiales, así como el apoyo a las necesidades del taller.


Funciones principales
Manejo de carretilla elevadora (toro).
Carga, descarga, preparación y embalaje de materiales.
Transporte interno de materiales entre talleres.
Gestión y mantenimiento del orden en los distintos almacenes.
Recepción y expedición de mercancía.
Cuidado y buen uso de equipos, herramientas e instalaciones.
Apoyo puntual en tareas de mantenimiento de taller y montaje.

Requisitos


Experiencia previa en un puesto similar de almacén o logística. Carnet de carretilla elevadora en vigor (imprescindible). Capacidad para organizar y priorizar tareas. Actitud proactiva y responsable. Nivel funcional de castellano y/o catalán. Se valorará (No indispensable): Carnet de conducir tipo C. Curso de PRL (60h). Experiencia o formación en manejo de grúa / puente grúa. Conocimientos básicos de Excel u otras herramientas informáticas.


Se ofrece


Contrato Indefinido en empresa industrial consolidada y con larga trayectoria. Salario en función de la experiencia aportada. Horario estable y muy conciliador: Lunes a jueves: de 07:15 a 13:00 y de 14:00 a 17:00 Viernes (jornada reducida): de 07:15 a 13:30 Buen ambiente de trabajo en un entorno industrial técnico y organizado. Formación continua y posibilidades de desarrollo profesional. Estabilidad laboral y proyección a largo plazo. Si buscas estabilidad, buen horario y un entorno industrial donde se valore tu trabajo, esta es tu oportunidad.

Requisitos

Experiencia previa en un puesto similar de almacén o logística. Carnet de carretilla elevadora en vigor (imprescindible). Capacidad para organizar y priorizar tareas. Actitud proactiva y responsable. Nivel funcional de castellano y/o catalán. Se valorará (No indispensable): Carnet de conducir tipo C. Curso de PRL (60h). Experiencia o formación en manejo de grúa / puente grúa. Conocimientos básicos de Excel u otras herramientas informáticas.

Estudios mínimos Máster
Experiencia mínima Al menos 1 año
Se Ofrece

Si buscas estabilidad, buen horario y un entorno industrial donde se valore tu trabajo, esta es tu oportunidad.",Todas,Logística
Personal Almacén 40hrs/sem Tarragona,Lidl,España,No especificado,21 días,"3,4","Introducción

Nuestro #teamlidl es competitivo y muy dinámico. Para saber más sobre cómo es trabajar en Lidl consulta nuestra página web de empleo: https://empleo.lidl.es/

Tus tareas

En nuestras plataformas logísticas, según el área en la que estés colaborando: Recepción de la mercancía, Preparación de los pedidos o Expedición a tienda, asumirás distintas tareas que consistirán en:

Ubicar la mercancía en las zonas asignadas de almacenamiento y desubicarla.
Gestionar las peticiones de lxs preparadorxs.
Preparar la mercancía para enviar los pedidos a las tiendas.
Transportar los palets preparados a las correspondientes filas del área de Expediciones y flejar palets de forma segura para su transporte.
Rotular correctamente los palets terminados.
Dar soporte en la realización de inventarios de almacén.
Introducir y actualizar las rutas y planificaciones.
Elaborar los comprobantes de facturación para lxs transportistas.
Controlar el cumplimiento del nivel de calidad necesario.
Supervisar la correcta gestión de recogida de residuos y reciclaje.
Si se requiere, carga y descarga de camiones.
Tu perfil
Disponibilidad horaria para trabajar por turnos (horarios rotativos).
Motivación, flexibilidad y capacidad para el trabajo en equipo.
Valorable formación de Educación Secundaria Obligatoria o equivalente y experiencia previa.
Qué te ofrecemos
Te facilitamos formación teórico-práctica adaptada a tu puesto de trabajo.
Garantizamos desde el inicio del proceso de selección que éste se desarrollará en base a criterios objetivos. La preocupación por eliminar la brecha de género, así como cualquier otro tipo de discriminación alcanza también a nuestra política salarial, en la que rige el principio de equidad retributiva ante el desempeño de las mismas funciones.
Desde hace años garantizamos que cada minuto trabajado en Lidl se registra y se compensa.
Y un equipo como no te imaginas.

¿Quieres formar parte de una empresa y un equipo en expansión? ¡Inscríbete! Al inscribirte en nuestra oferta de empleo estas aceptando nuestros términos de uso para nuestro portal de empleo. Para más información puedes consultar nuestra página web de empleo: https://empleo.lidl.es/",Todas,Logística
Carretillero/a,Eurofirms,Lucena,No especificado,6 días,"3,4","Empleo de Carretillero/a, Lucena
Fecha de publicación:
20/02/2026
Horario:
Jornada completa de 40 horas semanales entre lunes y viernes en turnos rotativos en horario entre 07:00h y 15:00h con los descansos establecidos por ley.
Vacantes:
1
Salario:
A concretar
Población:
Lucena



Descripción de la oferta de empleo de Carretillero/a en Lucena

Seleccionamos un/a carretillero/a para trabajar en una empresa del sector logístico ubicada en Lucena. La persona seleccionada realizará las siguientes funciones:

Carga y descarga de mercancía.
Control de stock.
Abastecimiento de líneas.
Ubicación de mercancía en almacén.
Entre otras tareas propias del lugar de trabajo.
Función:
Carretillero/a
Requisitos:
- Experiencia de al menos dos años en un puesto similar al descrito.

Buscamos a una persona proactiva y responsable.
Valorable residencia cercana al puesto de trabajo.
Formación:
- ESO finalizada.

Certificado de carretillas elevadoras con horas teóricas y prácticas en vigor.
Idiomas:
Castellano hablado y escrito correctamente.",Todas,Logística
Mozo/a de almacén,INDECEMI,España,No especificado,22 días,"3,4","Descripción:

En SKLUM somos una empresa digital en la que contamos con gente joven (de actitud, sin importar nuestra fecha de nacimiento, ¡arriba los veintisiempre!), amantes de la buena vida y del buen rollo, que buscamos llevar a todos los hogares las últimas tendencias del mundo deco.


Para conseguir este equipo nuestro compromiso es atraer, retener y desarrollar a los mejores talentos, en un ambiente multicultural y comprometido con la diversidad e igualdad de oportunidades.





Buscamos una persona para ocupar el puesto de MOZO/A DE ALMACÉN, en el centro logístico del Real de Gandia, que se ocupe de desarrollar las siguientes funciones:

Preparar pedidos
Realizar la carga y descarga de la mercancía, tanto manual como paletizada
Reponer la mercancía del almacén y controlar el stock
Limpiar, organizar y llevar a cabo el mantenimiento del centro logístico


Podrás elegir entre dos horarios en jornada intensiva:

Turno diurno rotativo: de 06:00h a 14:00h y de 14:00h a 22:00h
Turno nocturno: de 22:00h a 06:00h





Y como lo que nos importa eres tú, contamos con:

Clases dirigidas de entrenamiento físico.
Escoleta infantil y de verano.
Seguro médico.
Cafetería
Descuentos adicionales en nuestros productos.


¡Únete a nuestro sueño, únete al Sklum Team!

Requisitos:

Se valora experiencia mínima de 6 meses en puestos similares y/o experiencia en sistemas de SGA.
Valorable experiencia en Carretilla.
En nuestra empresa, nos comprometemos firmemente a garantizar la igualdad total de oportunidades para todas las personas de nuestro trabajo, construyendo un entorno inclusivo y equitativo. Valoramos a cada persona trabajadora por sus talentos, habilidades y contribuciones, sin importar su raza, religión, color, origen, género, orientación sexual, edad, estado civil o discapacidad.",Todas,Logística
