Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Técnico de control de plagas,Plague,Tudela,21 mil € - 25 mil € (Proporcionado por la empresa),10 días,"3,4","En PLAGUE buscamos incorporar un/a Técnico/a aplicador/a de control de plagas para realizar servicios de sanidad ambiental en la zona de TUDELAy alrededores

Funciones principales

Ejecución de tratamientos y servicios de control de plagas (desinsectación, desratización y desinfección) en clientes residenciales, comerciales e industriales.
Control y prevención de legionella (según el tipo de cliente y servicio).
Inspecciones, diagnóstico de infestaciones, propuesta de medidas correctivas y preventivas.
Colocación y mantenimiento de portacebos/trampas, revisiones y seguimiento.
Cumplimentación de partes de trabajo e informes, registro de actuaciones y uso de app/soporte digital.
Atención al cliente y recomendaciones de buenas prácticas.

Requisitos

Permiso de conducir B (imprescindible).
Experiencia previa en control de plagas (valorable).
Formación/carnet para el puesto (valorable, por ejemplo: Nivel 2 de servicios para el control de plagas, formación en legionella o similar, según normativa aplicable).
Buenas habilidades de trato con clientes, autonomía y responsabilidad.
Disponibilidad para desplazamientos por la zona asignada
Incorporación: INMEDIATA.

Cómo aplicar
Inscríbete en la oferta y adjunta tu CV. Si encajas con el perfil, te contactaremos para una entrevista.

Tipo de puesto: Jornada completa

Sueldo: 21.000,00€-25.000,00€ al año

Ubicación del trabajo: Empleo presencial",Todas,Sanidad
COMERCIAL DDD,Mides Olid,Santander,2 mil € - 4 mil € (Proporcionado por la empresa),7 días,"3,4","MIDES sanidad ambiental control de plagas urbanas selecciona en Santander un comercial que visite comercios, administradores de fincas, naves industriales con conocimientos de la zona y del mercado

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 2.000,00€-3.500,00€ al mes

Beneficios:

Formación en certificaciones profesionales
Jornada intensiva en verano
Jornada intensiva los viernes
Plus transporte
Programa de formación
Teléfono de empresa
Ticket restaurante

Ubicación del trabajo: Empleo presencial",Todas,Sanidad
Técnico/a de Sanidad Vegetal (Segovia),Plantas de Navarra,España,No especificado,+ 30 d,"3,4","Descripción:

En Planasa, empresa líder en el sector agroalimentario, buscamos incorporar un/a Técnico/a de Sanidad Vegetal, en el centro de Fuente el Olmo de Fuentidueña, Segovia, que se encargue de supervisar el estado sanitario de nuestros cultivos (campo abierto, invernaderos y almacenes), con el objetivo de garantizar la salud vegetal y la eficiencia productiva.

Funciones principales

Control de plagas y enfermedades en diferentes tipos de cultivo.
Realización de muestreos y sondeos del estado fitosanitario de las plantas.
Elaboración de informes técnicos y recomendaciones de tratamientos.
Seguimiento de la aplicación de productos fitosanitarios.
Coordinación con otros departamentos (Producción, I+D).
Cumplimiento de la normativa en materia de sanidad vegetal.



Requisitos:

Requisitos mínimos

Titulación en Ingeniería Técnica Agrícola, Agronomía o similar.
Experiencia de 2-3 años en control de plagas, enfermedades y tratamientos fitosanitarios.
Conocimiento de normativas y manejo seguro de productos fitosanitarios.
Manejo básico de herramientas informáticas.
Carnet de conducir.

Requisitos valorables

Experiencia en cultivo de fresa o berries (Deseable).
Inglés B1 (deseable).",Todas,Sanidad
"Profesional para impartir taller de ""Desarrollo personal"" a personas mayores.",The Hartford,España,No especificado,+ 30 d,"3,4","Hartford


Los Llanos de Aridane (Santa Cruz de Tenerife)



Experiencia

No se requiere experiencia

Salario

Retribución sin especificar

Área - Puesto

Sanidad, salud y servicios sociales

Asistente/a Social
Categoría o nivel

Técnico/a

Vacantes

1

Inscritos

122

Contrato

Contrato Fijo discontinuo

Jornada

Parcial


Proceso de selección continuo.

Funciones

Dirigir y dinamizar taller de Desarrollo Personal en grupo de personas mayores en centro de Cruz Roja. A parte se abona desplazamiento.

Requisitos

Empatía, dinamización de grupos, poder de escucha.

Se ofrece

A parte de sueldo, se abona kilometraje.

Etiquetas
empatia
dinamizacion de grupos
saber escuchar",Todas,Sanidad
"Técnico Superior de la rama de la Sanidad o Química (NIVEL 1 MECES: TÉCNICO SUPERIOR, mínimo) REF: 035/26 CAB",FISEVI,España,18 mil € (Proporcionado por la empresa),10 días,"3,4","REF.: 035/26 CAB
LA FUNDACIÓN PARA LA GESTIÓN DE LA INVESTIGACIÓN EN SALUD DE SEVILLA OFERTA UNA PLAZA DE:

TÉCNICO/A AUXILIAR DE INVESTIGACIÓN

CABIMER constituye un espacio de investigación multidisciplinar en biomedicina pionero en España, ya que integra la investigación básica y aplicada con la finalidad de traducir los resultados de los trabajos científicos en mejoras directas en la salud y en la calidad de vida de los ciudadanos. CABIMER es fruto de la alianza entre la Consejería de Salud y Consumo y la Consejería de Universidad, Investigación e Innovación de la Junta de Andalucía, la Agencia Estatal del Consejo Superior de Investigaciones Científicas, la Universidad de Sevilla y la Universidad Pablo de Olavide.

Esta asociación facilita la conexión de los investigadores de CABIMER tanto con los centros y profesionales del Sistema Sanitario Público de Andalucía como con el entorno empresarial, lo que permite potenciar la transferencia de los avances científicos a la práctica clínica. Situado en el Parque Científico y Tecnológico Cartuja, dispone de un edificio de más de 9.000 m2 dotado con los últimos avances en equipamiento científico, que supuso una inversión total superior a 15 M€. El centro cuenta con 20 laboratorios, 29 grupos de investigación y diferentes servicios comunes que, distribuidos en tres plantas, albergan y hacen posible el trabajo de unos 170 profesionales investigadores, procedentes de las diferentes instituciones que lo conforman.

La Fundación para la Gestión de la Investigación en Salud de Sevilla (en adelante, FISEVI) es una organización constituida sin ánimo de lucro, cuyo patrimonio se encuentra afectado, de modo duradero al desarrollo de la docencia, la investigación científica y el desarrollo tecnológico en Ciencias de la Salud.

La Fundación tiene como fines la promoción y realización de investigaciones biomédicas de calidad en Andalucía, así como la promoción y el desarrollo de innovaciones en las tecnologías sanitarias, en la docencia y en la gestión de servicios sanitarios. Conforme a lo establecido en el artículo 5º de sus estatutos, para la consecución y desarrollo de sus fines, podrá desarrollar cuantas actividades se dirijan directa o indirectamente a este cometido.

En tal carácter, FISEVI, con la financiación pública procedente de la Convocatoria de subvenciones para la financiación de la Investigación, Desarrollo e Innovación (I+D+i) en Biomedicina y en Ciencias de la Salud en Andalucía 2025, proyecto PI-012-2025, lleva a cabo la publicación de la siguiente convocatoria, estableciendo las siguientes,

Bases de la convocatoria

A. Objeto de la convocatoria

Constituye el objeto de la presente convocatoria seleccionar una persona de entre las candidaturas recibidas, que cumpla los requisitos necesarios para incorporarse al Laboratorio “DNA double strand break repair and human disease” del CABIMER, concretamente participando en el proyecto de investigación “Exploiting the Radioadaptative response to improve radiotherapyos“, cuyo investigador responsable es Pablo Huertas Sánchez, para llevar a cabo en el CABIMER.

B. Información sobre la contratación

Modalidad Contractual: Contrato de actividades científico-técnicas (Art. 23 bis de la Ley 14/2011, de 1 de junio, de la Ciencia, la Tecnología y la Innovación), con un periodo de prueba de dos meses contemplado para el personal técnico titulado en el artículo 14 del Real Decreto Legislativo 1/1995, de 24 de marzo, por el que se aprueba el Texto Refundido de la Ley del Estatuto de los Trabajadores.
Duración: Indefinida, vinculada a la duración del proyecto o la financiación indicada en la presente convocatoria, inicialmente prevista hasta 24/11/2028.
Grupo Profesional: Técnico/a auxiliar de investigación.
Fecha prevista de incorporación: 01/03/2026
Jornada prevista: Jornada completa
Salario Bruto: 18.494,98 euros brutos anuales (salario base más la parte proporcional de pagas extras).

C. Funciones del puesto

Cultivo de células humanas en cultivo.
Análisis de la reparación del ADN.
Estudio de vesículas extracelulares.

D. Requisitos Mínimos

Estar en posesión de la documentación reglada para su contratación laboral en España.
No haber sido separado/a del servicio de cualquiera de las Administraciones Públicas mediante expediente disciplinario, ni hallarse inhabilitado/a para el desempeño de funciones públicas.
Titulación mínima: Técnico Superior de la rama de la Sanidad o Química (NIVEL 1 MECES: TÉCNICO SUPERIOR, mínimo).
Experiencia de al menos 2 años en las funciones descritas.

Las solicitudes podrán presentarse:

Antes de las 23:59 horas del día 25 de febrero de 2026.",Todas,Sanidad
Consultor/a FHIR para Interoperabilidad (Sanidad) - Madrid,Indra,Madrid,No especificado,24 días,"3,4","Ubicación: Madrid, ES
Perfil profesional: Sanidad
Experiencia requerida: Más de 2 años de experiencia
Modalidad del puesto:
Indra Group, Tech for the future
Impulsamos la transformación digital con impacto, gracias a la tecnología avanzada, el conocimiento sectorial y el talento global.


¡Únete a nuestro equipo de Sanidad
Ser parte de nuestro equipo de Sanidad significa dejar huella en el sector salud, combinando el conocimiento experto con un conjunto de soluciones propias, con el fin último de mejorar la salud de la población. Más de 80 millones de personas, 5.800 hospitales y centros de salud, y 125.000 profesionales sanitarios transforman su día a día gracias a nuestras soluciones

¿Qué harás?
Diseñar y elaborar guías de interoperabilidad basadas en el estándar HL7 FHIR para el sector sanitario.
Analizar requisitos funcionales y técnicos de integración entre sistemas clínicos y plataformas sanitarias.
Definir perfiles, extensiones y recursos FHIR adaptados a las necesidades del proyecto.
Participar en la definición de arquitecturas de integración e interoperabilidad.
Asesorar técnicamente a equipos de desarrollo y arquitectura en el uso correcto del estándar FHIR.
Colaborar en pruebas de interoperabilidad y validación de implementaciones FHIR con distintos sistemas.
Documentar las soluciones propuestas y asegurar el cumplimiento de estándares y buenas prácticas.


¿Qué buscamos en ti?
Más de 2 años de experiencia demostrable en la generación de guías de interoperabilidad basadas en HL7 FHIR en el sector sanitario.
Experiencia definiendo perfiles, extensiones y recursos FHIR según necesidades funcionales.
Conocimiento sólido de estándares de interoperabilidad sanitaria (HL7, FHIR, RESTful).
Experiencia participando en proyectos de integración entre sistemas clínicos/hospitalarios.
Capacidad para analizar requisitos técnicos y traducirlos a especificaciones FHIR.
Experiencia en documentación técnica de guías y especificaciones de interoperabilidad.
Capacidad para trabajar con equipos técnicos y de arquitectura en entornos complejos.


Lo que te ofrecemos

Estabilidad y Futuro ✨: Proyectos a largo plazo en una empresa líder en tecnología con más de 50.000 profesionales, con seguridad financiera.
Proyectos Innovadores y de Alto Alcance : Trabajarás con tecnologías de vanguardia, con un impacto tanto a nivel nacional como internacional.
Ambiente Cercano y Transparente : Disfrutarás de una comunicación directa y fluida con responsables y compañeros/as, en un entorno colaborativo y abierto.
Autonomía y Flexibilidad : Tendrás libertad para organizar tu trabajo, con una conciliación real y adaptada a tu ritmo.
Plan de carrera adaptado a ti : Diseñado para impulsar tu crecimiento y desarrollo profesional.
Formación continua : en Open University y Udemy for Business (¡más de 6.000 cursos para especializarte!).
Descuentos exclusivos para tu bienestar : Disfruta de ventajas en gimnasios, restaurantes, tiendas, ocio y mucho más al ser empleado de Indra.
Retribución competitiva y planes de compensación flexibles a tus necesidades.


¿Cómo es nuestro proceso de selección?

Revisión de tu perfil : Evaluamos tu experiencia y habilidades para determinar si encajas con lo que buscamos.
Primera toma de contacto (5-10 min) : Si recibes una llamada de un número desconocido, ¡es nuestro equipo! Será una conversación rápida para conocerte y resolver cualquier duda.
Entrevista técnica : Te reunirás con el equipo, quienes te explicarán el proyecto y las funciones. También exploraremos tus conocimientos técnicos. Además, te realizaremos breves pruebas de competencias psicológicas e inglés (si es necesario).
Entrevista con el equipo de atracción de talento : Queremos que nos conozcas mejor como empresa: valores, flexibilidad, modelo de carrera... para que tanto tú como el nuestro equipo de talento pueda analizar si hay match.
Oferta y bienvenida : Si todo va bien, ¡te incorporas a nuestro equipo y comenzamos esta nueva etapa!


Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.


¡INDRA es empresa Top Employer 2025! Incorpórate a una empresa certificada como una de las mejores empresas empleadoras de España, gracias a nuestra gestión integral de RRHH y a las condiciones para nuestros profesionales.",Todas,Sanidad
TCAE/ técnico laboratorio clínicas de fertilidad (madrid) aab16f16,Adecco,Madrid,30 mil € (Proporcionado por la empresa),+ 30 d,"3,4","EUROVENDEX


Madrid



Experiencia

Al menos 2 años de experiencia

Salario

Retribución sin especificar

Área - Puesto

Sanidad, salud y servicios sociales

Auxiliar de Laboratorio
Categoría o nivel

Empleado/a

Vacantes

1

Inscritos

6

Contrato

Contrato Indefinido


Duración de la oferta: hasta el 19/02/2026.

Funciones

TCAE/ TEC. LABORATORIO Clínica de Fertilidad (Madrid) Preventium, la división especializada en perfiles sanitarios/as del Grupo Adecco, selecciona un/a TCAE o Técnico/a de laboratorio con experiencia en reproducción asistida para una clínica de fertilidad ubicada en Madrid. Funciones. - Asistencial: apoyo en pruebas, tratamientos e intervenciones junto al equipo médico. Ubicación Madrid (zona centro). Si cumples los requisitos y buscas un proyecto estable en una clínica de referencia, ¡queremos conocerte! Inscríbete ahora y forma parte de este equipo especializado. En Adecco creemos en la igualdad de oportunidades y apostamos por el Talento Sin Etiquetas

Requisitos

- Disponer titulación en TCAE o Técnico/a de laboratorio. - Experiencia demostrable en centros de reproducción asistida.

Se ofrece

Horario: Lunes a viernes: 3 mañanas y 2 tardes. - Mañana: 8-16h - Tarde: 12-20h. Salario: 30.000€/brutos año. Condiciones: - Contratación directa por la empresa. - Proyecto estable.",Todas,Sanidad
Técnico/a de fumigación y control de plagas,Roca Defisan,Valladolid,190 mil € (Proporcionado por la empresa),6 días,"3,4","En Roca Defisan, somos una empresa nacional especializada en sanidad ambiental, dedicada a la aplicación de tratamientos fitosanitarios, fumigación y control de plagas. Con más de 42 años de experiencia y 9 sedes en España, nos hemos consolidado como un referente en nuestro sector.

Actualmente, buscamos incorporar a nuestra sede en Valladolid, Técnico Aplicador de en control de plagas y productos fitosantiarios.

¿Cuáles serán tus funciones?

Control de plagas y fumigaciones en las instalaciones de los clientes.
Preparación de los tratamientos
Tareas de fumigación de almacenes de grano, barcos, contenedores.
Trabajos en alturas.
Instalación de redes, láseres y otros útiles para el control de aves.

Requisitos Necesarios

Formación Nivel 2 en control de plagas
Permiso de conducir B.
Experiencia en trabajos en alturas
Desplazamientos para dar servicio en diferentes localizaciones geográficas.

Valorable

Valorable formaciones relacionadas con el ámbito fitosanitario.
Valorable Experiencia previa en un puesto similar.

. Condiciones laborales

Horario. Jornada continua: Lunes a viernes, variable según servicios 7:00 a 15:00h
Tipo de contrato: Contrato temporal de 6 meses + Indefinido.
Incorporación a un departamento estable y en crecimiento.
Salario: Desde 19000€, valorable según experiencia.
Beneficios: Dietas y formaciones. Plan de carrera en la compañía.

Si buscas un puesto estable en una empresa líder en su sector, ¡te estamos esperando!

Tipo de puesto: Jornada completa

Sueldo: A partir de 190.000,00€ al año

Preguntas para la solicitud:

¿Tienes disponibilidad de incorporación inmediata?

Educación:

FP Grado Medio (Deseable)

Experiencia:

control de plagas: 1 año (Deseable)

Licencia/Certificación:

Carnet de conducir (Obligatorio)

Disponibilidad para viajar:

25 % (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Sanidad
Responsable de Calidad,Koyasan Foods,España,20 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Desde Koyasan Foods Agüimes, Las Palmas de Gran Canarias, buscamos nuevo Responsable de Calidad.

Se busca persona con experiencia en el sector alimentación, proactiva, resolutiva y con capacidad de toma de decisiones y trabajo en grupo. Capacidad analítica y organizativa.

Funciones:

Análisis kit internos
Verificaciones de equipos
Revisión de BPM y métodos de trabajo
Revisión de registros
Gestión de muestroteca
Revisión de instalaciones
Asistir a reuniones de calidad
Implantar y mantener los sistemas de gestión de calidad y seguridad alimentaria
Implantar y verificar la implantación de la normativa IFS
Pasar las auditorías de cliente, sanidad e IFS
Gestión de reclamaciones e input.
Supervisar tareas de controlista y personal de limpieza
Liderar las reuniones de APPCC
Revisar documentación APPCC
Formar y validar personal en PCC y seguridad alimentaria

REQUISITOS: Experiencia adquirida en el desempeño de una profesión, en la industria alimentaria, durante al menos 6 meses.

Titulación
Curso de manipulador de alimentos
Persona autocrítica, resolutiva, con capacidad de análisis, organizada/metódica, capacidad de aprendizaje y formación, buen manejo de office (Word y Excel).La Empresa Koyasan Foods busca operarios de Limpieza en Agüimes, Las Palmas de Gran Canaria.

Buscamos personas con experiencia, proactivas, flexibles y acostumbradas a trabajar en equipo.

Se valora experiencia en cargos similares en el sector limpieza e industrial y conocimiento de protocolos del sector alimentación.

Horarios: A concretar

Se ofrece incorporación inmediata y contrato jornada completa indefinido.

Salario 20.000 euros /brutos al año.

Jornada completa

Tipo de puesto: Jornada completa

Sueldo: 20.000,00€ al año

Beneficios:

Opción a contrato indefinido
Uniforme proporcionado

Educación:

FP Grado Superior (Obligatorio)

Experiencia:

Industria alimentaria: 1 año (Deseable)

Licencia/Certificación:

Carnet de conducir (Deseable)
Carnet de Manipulación de alimentos (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Sanidad
JEFE PROYECTO SANIDAD,Grupo Digital,Reus,No especificado,10 días,"3,4","DESCRIPCIóN

Desde Grupo Digital, estamos en búsqueda de incorporar en plantilla un/a Jefe/a de proyecto con experiencia en la gestión de proyectos en el ámbito sanitario


¿Cuáles serán tus tareas?

Medición, seguimiento, evaluación y comunicación de progresos.
Asegurar el cumplimiento de los estándares de calidad y la entrega en tiempo y forma.
Toma y análisis de requisitos.
Facilitar el trabajo en equipo y la comunicación constante entre la parte técnico y los stakeholders del proyecto.
Identificar y gestionar riesgos y problemas relacionados con el proyecto o el equipo.


¿Qué ofrecemos?

Ambiente de trabajo internacional, positivo, dinámico y motivador.
Modelo de trabajo híbrido con predominancia del teletrabajo.
Horario flexible y jornada intensiva durante el verano.
Formación continua.
Plan de compensación flexible.
Seguro de vida y accidentes.
Más de 25 días laborables de vacaciones al año.


Grupo Digital

Somos un equipo de más de 100 profesionales tecnológicos, en el que encontraras proyectos estables, en los principales clientes nacionales e internacionales, desarrollando soluciones de Inteligencia Artificial, Cloud, Ciberseguridad, etc.…

Nos comprometemos estar a tu lado en todas las fases del proyecto, para asegurarnos que creces profesionalmente con nosotros, y que tu aportación cuenta.


Amplia informacion en nuestra web www.grupodigital.eu






REQUISITOS


Ingeniería o grado en Informática, Biomédica o disciplines afines.
Experiencia en gestión de proyectos de Salud.
Experiencia en metodologías y frameworks ágiles (Scrum, Kanban, Safe...)


Aunque no son conocimientos imprescindibles para el desarrollo del puesto, valoramos positivamente


Experiencia en gestión de proyectos tecnológicos en el ámbito de sanitario.
Conocimiento de estándares sanitarios: HL7, FHIR, OpenEHR.
Conocimientos técnicos de desarrollo (Java, servicios REST, JSON, Angular, Postman).
Certificación en gestión de proyectos (PMP)",Todas,Sanidad
