Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Automation Engineer,Baxter,Huesca,No especificado,2 días,"3,7","This is where your work makes a difference.

At Baxter, we believe every person—regardless of who they are or where they are from—deserves a chance to live a healthy life. It was our founding belief in 1931 and continues to be our guiding principle. We are redefining healthcare delivery to make a greater impact today, tomorrow, and beyond.

Our Baxter colleagues are united by our Mission to Save and Sustain Lives. Together, our community is driven by a culture of courage, trust, and collaboration. Every individual is empowered to take ownership and make a meaningful impact. We strive for efficient and effective operations, and we hold each other accountable for delivering exceptional results.

Here, you will find more than just a job—you will find purpose and pride.

Summary:

We are looking for an Automation Engineer based at our Sabiñanigo plant that will be responsible for ensuring optimal performance, reliability, and stability of automated equipment across multiple manufacturing sites at a regional and global level.

Reporting directly to the Regional Engineering Leader, this engineer will be part of a Regional Team and will focus on PLC/HMI programming, data communication, and automation solving to continuously improve the efficiency and consistency of packaging processes in a GMP environment.

What you will be doing:
Fix and optimize PLC and HMI systems on automated production lines.
Develop and modify control logic to improve process stability and reduce downtime.
Integrate SCADA and MES systems for data collection and performance tracking.
Lead effective root cause analyses and corrective actions for automation-related issues.
Collaborate with mechanical, electrical, and maintenance teams to ensure cohesive system functionality.
Implement successfully software change controls according to GMP and validation procedures.
Support digitalization and Industry 4.0 initiatives across Baxter sites.
Provide training to site technicians and engineers on control systems procedures.
Contribute to continuous improvement projects focused on Overall Equipment Effectiveness, waste reduction, and process reliability.

What you will bring:
Degree or equivalent experience in Automation, Software, Control Engineering or a similar field.
Proven technical exposure to automation of filling/packaging technology in a manufacturing/ production environment, ideally in the pharma or healthcare industry.
Strong knowledge acquired through experience of PLC programming skills and HMI and SCADA development.
Solid understanding of automation architectures and system integration.
Analytical and structured problem-solving approach.
Able to communicate optimally in English in a work environment.
Availability to travel 80% of the time within regional or international contexts.

Why do you want to work at Baxter?

Competitive total compensation package
Professional development opportunities
High importance placed on work life balance (Family Responsible Certificate EFR)
Flexible benefits (childcare vouchers, employee discounts, etc.)
Commitment to growing and developing an inclusive and diverse workforce

#LI-TA1

Equal Employment Opportunity

Baxter is an equal opportunity employer. Baxter evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability/handicap status or any other legally protected characteristic.

Reasonable Accommodations

Baxter is committed to working with and providing reasonable accommodations to individuals with disabilities globally. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please click on the link here and let us know the nature of your request along with your contact information.

Recruitment Fraud Notice

Baxter has discovered incidents of employment scams, where fraudulent parties pose as Baxter employees, recruiters, or other agents, and engage with online job seekers in an attempt to steal personal and/or financial information. To learn how you can protect yourself, review our Recruitment Fraud Notice.",Todas,Software
SW Technical Lead,GMV,Tres Cantos,No especificado,+ 30 d,"3,7","Do you want to lead a consolidated team in the space sector and take on new challenges? GMV is an experienced technology group.

We are expanding our teams in the space sector to take on international projects in the field of satellite communications.

We´ll get to the point; we'll tell you what's not on the web. If you want to know more about us go to GMV website




WHAT CHALLENGE WILL YOU BE TAKING ON?

As part of our team, you will participate in international projects integrated into our development teams. You will be responsible for defining software designs based on microservices architecture in the context of satellite communications, analyzing customer needs, and providing innovative solutions.




WHAT DO WE NEED IN OUR TEAM?

For this position, we are looking for a Telecommunications Engineer to join our team in the ground control center area for the development of software products and operational solutions for the new generation of communication satellites.

For this position, we are looking for experts in ground software systems who want a stable environment in which to develop, with a track record and experience in:


Software engineering/software architecture.
Programming languages: web technologies (JavaScript, Node.js, Angular), Java.
Linux/Virtualization/Microservices/Databases/Cloud concepts, Docker, K8s, HA, Orchestrators, RabbitMQ/Kafka, MongoDB...
Development environments, methodologies, and best practices in programming.
Software requirements related to cybersecurity.

We will also value previous experience in the telecommunications sector, especially in payload systems for satellite communications, as well as initiative and the ability to work in a multitasking environment.



WHAT DO WE OFFER?

Hybrid working model and 8 weeks per year of teleworking outside your usual geographical area.

Flexible start and finish times, and intensive working hours Fridays and in summer.

Personalized career plan development, training and language learning support.

National and international mobility. Do you come from another country? We can offer you a relocation package.

Competitive compensation with ongoing reviews, flexible compensation and discount on brands.

Wellbeing program: Health, dental and accident insurance; free fruit and coffee, physical, mental and financialhealth training, and much more!

️ In our recruitment processes you will always have telephone and personal contact, face-to-face or online, with our talent acquisition team. In addition, bank transfers and bank cards will never be requested. If you are contacted through any other process, please write to our team at privacy@gmv.com

❤️We promote equal opportunities in recruitment, and we are committed to inclusion and diversity.

WHAT ARE YOU WAITING FOR? JOIN US

#LI-Hybrid



If you have any questions please do not hesitate to contact Laura Uribarren, in charge of this vacancy.



Laura Uribarren",Todas,Software
Validation and verification software engineer for Galileo,GMV,Tres Cantos,No especificado,+ 30 d,"3,7","If the expression 'Houston we have a problem' gives you mixed feelings... Your place is with us!

We are expanding our SW Validation team for the ️ Galileo project.

We like to get to the point, so we're going to tell you what's not on the web. If you want to know more about GMV: www.gmv.com/en-es/about-gmv

WHAT CHALLENGE ARE YOU GOING TO FACE?

You will support the Galileo validation team, where you will learn all the elements that make up a control centre and perform tasks such as:

Complete control center software installation.
Preparation of test environments, including continuous integration and automation.
Development of testing and configuration management tools.
Preparation, execution, and reporting of tests (functional, performance, cybersecurity, etc.)



WHAT DO WE NEED IN OUR TEAM?

For this position, we are looking for engineering graduates with an interest in the world of testing and validation. We will also value previous experience and knowledge in:

Experience in complex and distributed systems (Linux operating system)
Participation in test campaigns: planning, preparation, execution, reports.
Knowledge of V&V related tools (DOORS, Jira, Git...)
Hardening of operating systems and/or network equipment and PenTesting and vulnerability management



WHAT DO WE OFFER?

Hybrid working model and 8 weeks per year of teleworking outside your usual geographical area.

Flexible start and finish times and intensive working hours on Fridays and summer.

Personalised career plan development, training and language learning support.

National and international mobility. Coming from another country? We offer you a relocation package.

Competitive remuneration with ongoing reviews, flexible remuneration and brand discounts.

Wellbeing programme: medical, dental and accident insurance, free fruit and coffee, training in physical, mental and financial health, and much more!

In our selection processes, you will always have telephone and personal contact, in person or online, with our talent acquisition team. In addition, bank transfers and bank cards will never be requested. If you are contacted by any other process, please write to our team at privacy@gmv.com.

❤️We promote equal opportunities in recruitment and are committed to inclusion and diversity.

WHAT ARE YOU WAITING FOR? JOIN



Si tienes alguna pregunta no dudes en contactar con Ignacio Martínez de Salinas, responsable de esta vacante.



Ignacio Martínez de Salinas",Todas,Software
Responsable técnico de Proyectos,PROASUR,España,30 mil € - 40 mil € (Proporcionado por la empresa),24 horas,"3,7","Título del Puesto: Technical Manager (Ingeniería de Desarrollo y Fabricación)

Departamento: Operaciones Ubicación: Olloniego, Oviedo, Asturias

Misión de la posición: La persona seleccionada actuará como puente estratégico entre el Equipo de diseño creativo del cliente y los equipos de delineación técnica y producción de PROASUR. Su objetivo principal es transformar conceptos museográficos y experienciales en realidades constructivas, garantizando la viabilidad técnica, el cumplimiento de plazos y, fundamentalmente, la protección del margen económico mediante decisiones técnicas eficientes.

Responsabilidades principales:

Ingeniería de Valor: Evaluar propuestas de diseño para proponer soluciones técnicas y materiales alternativos que optimicen costes y pesos sin reducir la calidad ni la satisfacción del cliente.
Desarrollo Técnico: Supervisar y realizar el diseño integral de elementos mediante software CAD 2D y 3D, asegurando que la documentación de salida (planos de despiece, conjuntos y programas CNC) sea ""First Time Right"".
Enlace de Producción: Realizar un seguimiento activo en el taller de Proasur y de subcontratistas para verificar el progreso de fabricación y montaje, resolviendo incidencias técnicas de forma autónoma.
Gestión de Calidad y Sostenibilidad: Incorporar mejoras ambientales en la fase de diseño y asegurar el cumplimiento de los estándares de calidad corporativos de Proasur.

Perfil profesional buscado:

Formación: Arquitectura técnica, Ingeniería (Industrial o Diseño) o profesionales de la Delineación con amplia experiencia en fabricación.
Experiencia: Entre 3 y 5 años en puestos de gestión técnica o desarrollo de producto, preferiblemente en el sector museográfico, interiorismo o retail.
Aptitudes Técnicas:
Dominio avanzado de herramientas CAD 2D/3D.
Conocimiento profundo de materiales y sistemas productivos diversos (madera, metal, vidrio, composites).
Capacidad para generar soluciones constructivas integrando todos los elementos requeridos en los proyectos museográficos (mobiliario, tecnología de Audiovisuales, gráfica, objetos de colección, vitrinas, contenido multimedia, interactivos, etc.)
Nivel alto de inglés (indispensable para proyectos internacionales).
Aptitudes Interpersonales (Soft Skills):
Criterio Económico: Capacidad para tomar decisiones basadas en datos y rentabilidad.
Comunicación Fluida: Habilidad para interlocución con profesionales creativos y personal de taller.
Proactividad y Autonomía: Capacidad para resolver problemas sin escalarlos innecesariamente a la dirección.

Qué ofrecemos: Integración en una empresa líder internacional en proyectos culturales y museográficos, con un equipo multidisciplinar y un entorno de trabajo dinámico enfocado en la mejora continua.

Condiciones del Empleo

Ubicación: Oficinas centrales en Olloniego, Oviedo, con posibilidad de teletrabajo de hasta un 20% de la jornada laboral.
Viajes: Disponibilidad para viajar puntualmente a centros de producción o instalaciones en el extranjero.

""La presente oferta de empleo está redactada teniendo en cuenta la imparcialidad y no discriminación por razón de sexo, raza, ideología o cualquier otro motivo. Especialmente se tiene en cuenta el respeto al Real Decreto Ley 6/2019, para garantizar la igualdad de trato y de oportunidades entre mujeres y hombres en el empleo y la ocupación. Animamos a mujeres a postularse en este puesto tradicionalmente masculinizado"".

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 30.000,00€-40.000,00€ al año

Beneficios:

Cursos de idiomas ofertados
Flexibilidad horaria
Jornada intensiva los viernes
Opción a contrato indefinido
Parking gratuito
Programa de formación

Posibilidad de trasladarse/mudarse:

33660 Malpica (Olloniego), Asturias provincia: Desplazarse al trabajo sin problemas o planificar mudarse antes de comenzar a trabajar (Deseable)

Experiencia:

AutoCAD: 1 año (Deseable)
Rhinoceros: 1 año (Deseable)
SolidWorks: 1 año (Obligatorio)

Idioma:

Inglés (Deseable)

Ubicación del trabajo: Empleo presencial",Todas,Software
Advanced navigation algorithms developer,GMV,Tres Cantos,No especificado,+ 30 d,"3,7","Do you want to face new challenges without giving up the stability of a highly experienced technology group? At GMV and We are expanding our teams in the Defence sector to take on research and development projects focused on advanced navigation algorithms for military systems.

We´ll get to the point; we'll tell you what's not on the web. If you want to know more about us go to GMV website




WHAT CHALLENGE WILL YOU BE TAKING ON?

As part of our team, you will develop and implement advanced navigation algorithms applied to land, maritime, and aerial systems within the military and defence domain. Your responsibilities will include:

Research and analysis of existing and state-of-the-art navigation algorithms, including sensor fusion using Kalman filters, inertial navigation, and GNSS.
Design, development, and maintenance of high-performance C/C++ code to be integrated into our navigation library, used across multiple defence projects.
Analysis of data from navigation sensors (IMU/INS, GNSS) to model and improve algorithm performance.
Development and execution of test cases to validate the accuracy and robustness of the algorithms using simulators and real data.
Clear and well-structured documentation of algorithmic approaches, assumptions, and results to support verification and future evolution.
Close collaboration with other software developers and navigation algorithm specialists.
Participation in code reviews, promoting best development practices.
Participation in field testing campaigns and data collection activities to assess algorithm behaviour in real-world environments.



WHAT DO WE NEED IN OUR TEAM?

For this position, we are looking for Aerospace Engineers or engineers from related fields, with education and interest in algorithms, the defence sector, and a strong background in applied mathematics and classical mechanics.

Previous experience and knowledge in C/C++ software development formedium to large-scale applications will be valued, as well as hands-on experience (professional or personal) in this area.

We are seeking experts in navigation algorithms and software development who are looking for a stable environment in which to grow, with a solid track record and experience in complex technological projects within the defence domain.

Knowledge of Matlab, Python, Linux systems, Git version control, and IDEs such as Eclipse, Visual Studio, or Visual Code will also be valued.




WHAT DO WE OFFER?

Hybrid working model and 8 weeks per year of teleworking outside your usual geographical area.

Flexible start and finish times, and intensive working hours Fridays and in summer.

Personalized career plan development, training and language learning support.

National and international mobility. Do you come from another country? We can offer you a relocation package.

Competitive compensation with ongoing reviews, flexible compensation and discount on brands.

Wellbeing program: Health, dental and accident insurance; free fruit and coffee, physical, mental and financialhealth training, and much more!

️ In our recruitment processes you will always have telephone and personal contact, face-to-face or online, with our talent acquisition team. In addition, bank transfers and bank cards will never be requested. If you are contacted through any other process, please write to our team at privacy@gmv.com

❤️We promote equal opportunities in recruitment, and we are committed to inclusion and diversity.

WHAT ARE YOU WAITING FOR? JOIN US

#LI-Hybrid



If you have any questions please do not hesitate to contact Anna Alejo Guilarte, in charge of this vacancy.



Anna Alejo Guilarte",Todas,Software
Spanish Technical Support,TOPDON,Barcelona,2 mil € - 3 mil € (Proporcionado por la empresa),24 horas,"3,7","We warmly welcome technical support candidates with experience in the automotive or battery industry.

Job Description:

Multi-Channel Technical Support: Provide advanced technical assistance and troubleshooting via phone, WhatsApp, email, TeamViewer, and occasional on-site support to new and existing distributors.
Customer Communication: Proactively keep clients informed and updated regarding upcoming software releases and new features for various equipment models.
Product Training: Conduct comprehensive training sessions for distributors on the effective use and functionalities of Topdon diagnostic equipment.
Repair and Service: Perform diagnostic and repair work on equipment, covering both in-warranty and out-of-warranty services.
Relationship Management: Foster and maintain strong, positive after-sales relationships with key clients and distributors.

Requirements:

Experience: Minimum of 2 years of professional work experience in technical support, specifically with automotive diagnostic equipment, automotive technology, or a similar field.
Technical Knowledge: Strong foundation in automotive diagnostics, general mechanics, and/or related electrical systems.
Language Proficiency: Excellent command of the French and English languages (C1/C2 level) is essential for communication with key markets and internal teams. BOTH languages are 100% required.
Skills: Proven ability to explain complex technical issues clearly and patiently. Experience using remote assistance tools (e.g., TeamViewer).

Company's website:

www.topdon.us

Job Type: Full-time

Pay: 2,000.00€ - 2,800.00€ per month

Ability to commute/relocate:

08006 Barcelona, Barcelona provincia: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

automotive: 2 years (Preferred)

Language:

English and French (Preferred)

Work Location: In person",Todas,Software
TECNICO OPERACIONAL DE BRANCH Y TALLER (VEHÍCULOS INDUSTRIALES) (h/m/x),TIP Group,España,25 mil € - 30 mil € (Proporcionado por la empresa),28 días,"3,7","Somos TIP Group – orgullosos de haber obtenido la certificación Great Place to Work – y estamos buscando un Tecnico Operacional De Branch Y Taller para unirse a nuestro equipo.

Eres una pieza clave en la gestión integral de la campa de TIP Trailer en Esparreguera, asegurando la correcta puesta a punto, disponibilidad y control de las unidades. Desempeñas un rol con alto impacto operativo, autonomía en la gestión y contacto constante con equipos internos, clientes y proveedores, garantizando el cumplimiento normativo y la excelencia en el servicio.

Requisitos para la postulación: tener conocimientos informáticos, experiencia comprobable en atención al cliente y conocimientos de mecánica general.

FUNCIONES DEL PUESTO

Conocimiento técnico-mecánico en vehículos industriales alto, (10/10).
Registro actualizado e inspección física y digital de entradas y salidas de vehículos industriales en campa y parkings externos.
Detectar los daños y elaborar un informe para notificar y facturar al cliente una vez recibidos los vehículos.
Realización de inventarios periódicos de campa y seguimiento de disponibilidad de vehículos.
Diagnóstico de averías en vehículo industrial y realización de presupuesto, identificando los recambios necesarios para la reparación y puesta a punto.
Elaboración de informes técnicos de reparación para clientes internos y externos.
Inventario semanal & mensual de parking local y de colaboradores de la delegación.
Realización de tareas de gestión que requieren alto manejo en el uso herramientas de ofimática, software profesional y ERP.
Atención al cliente físicamente a su entrada a la campa, se requiere habilidades comunicativas.
Respetar y aplicar todos los procedimientos y requisitos de seguridad en sus funciones y puesto de trabajo.


Competencias:

Proactividad y alto capacidad de trabajar en equipo.
Valorables conocimientos del sector y vehículos industriales.
Valorable inglés avanzado (no indispensable)
Mente orientada a procesos y ámbitos de mejora.
Manejo elevado de herramientas ofimáticas, ERP, Herramientas Microsoft y Admin skills
Capacidad Analítica: Gestión de métricas (kpi)
Clara orientación al cliente.


Condiciones Básicas

Lugar de trabajo: Taller TIP – 08292 Esparreguera (Barcelona)
Contrato temporal para cubrir una baja laboral pero con posibilidad de convertirse en indefinido en un futuro.
Teléfono móvil.
Ordenador Portátil.
Horario de lunes a viernes. Jornada completa. (09h-18h)
Salario base de 25k -30k (14 pagas), brutos anuales en función de la cualificación de los candidatos.


Por qué TIP

Porque la cultura no es un póster en la pared, es algo que se siente cada día.
Somos buenos en lo que hacemos y ponemos a las personas en primer lugar. Invertimos en tu crecimiento, valoramos tu opinión y nos preocupamos genuinamente por nuestro equipo. No solo decimos que somos un Great Place to Work – lo demostramos. IT’S HOW WE ROLL.

Beneficios incluidos

Ticket restaurante
Seguro Médico (con el 50% de los costes cubiertos por TIP)
Seguros según lo establecido en el Convenio Colectivo de la Industria del Metal
Contribución anual a tu bienestar
Plan de pensiones (con aportación de TIP)

Descubre por qué a la gente le encanta trabajar en TIP y explora todos nuestros beneficios — aprende más aquí.",Todas,Software
Energy Laboratory Test Means Testing Engineer,Airbus,Getafe,No especificado,+ 30 d,"3,7","Job Description:

Job Description:

Come Join Our Team!

Flight and Integration Test Center is growing. If you have the passion, ambition, energy and competence to make a step change in this transformation - we want you!. Your dream job starts here!.

If your profile matches with our requirements and you are interested in joining our dynamic and multicultural team of professionals, you can complete your application online (providing your CV and cover letter outlining your motivation).

Join Airbus now and embrace the opportunity to make a difference. We make it fly and you can too.

As part of Airbus, the job holder will be accountable for operation and maintenance of energy laboratory test means devoted to electrical / pneumatic / fuel / hydraulic / mechanical aircraft systems.

The job holder has direct accountability to Airbus Head of LTM Energy Lab Development & Operation.

Your Main Responsibilities:

Design electro-mechanical test means, including technologies to be applied, instrumentation, materials, etc, to fulfill requirements.

Design control and acquisition software for electro-mechanical test means, including technologies to be applied, instrumentation, safety alarms, etc, to fulfil requirements.

Design and commissioning test set-up facilities, including calibration of sensors/transducers.

Define test procedures to be executed on the test bench based on Laboratory Test Requirements delivered by Design Offices.

Implement test procedures ensuring proper test execution and consistency of data recorded.

Analyse test data ensuring proper pass/fail criteria of the unit/system under test.

Write laboratory test reports supporting validation and verification activities of the overall A/C system development.

Ensure test quality on external deliveries.

Maintain calibrated and inventoried material laboratory database.

Maintain industrial facilities test means ensuring laboratory availability.

Identify and implement proper corrective actions in case of malfunction of industrial test means.

Attend test campaign meetings (Kick-Off Meeting, follow-up meeting and troubleshooting for problem investigation and problem resolution).

Identify technical risks and opportunities for on-going activities and ensure the execution of adequate mitigation plans.

Establish a strong link and customer oriented culture with Design Offices interfaces.

Who We Are Looking For:

An Industrial / Aeronautical engineer focus on Laboratory Test Means Design and Testing.

Required Educational Background and Experience:

4-5 years of experience in the field of benches design and testing, validation and verification. Ideally focus on A/C test benches.

Proven experience in data acquisition techniques.

Proven experience in sensors measurement and transducers.

Proven experience in CATIA V5 mechanical design.

Proven experience in LabVIEW/VERISTAND SW programming / mining and data exploitation.

Proven experience in interconnection wiring.

Ability to establish strategy, set direction and simplify or translate complex data/requirements to engage less specialist elements of the organisation. You will be able to communicate at all levels of the organisation.

Worked in close collaboration with national / trans-national stakeholders and multi-functional teams.

Ability to listen (customer needs-minded) and to challenge (improvement, Right First Time & efficiency focused).

Languages: Negotiation level of Spanish and English. German/French/Italian is considered a plus.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

WHICH BENEFITS WILL YOU HAVE AS AIRBUS EMPLOYEE?

At Airbus we are focused on our employees and their welfare. Take a look at some of our social benefits:

Vacation days plus additional days-off along the year.

Attractive salary.

Hybrid model of working when possible, promoting the work-life balance.

Collective transport service subject to working calendar/home location.

Benefits such as life insurance, health insurance, employee stock options, retirement plan, or study grants.

On-site facilities (among others): free canteen, kindergarten, medical office.

Possibility to collaborate in different social and corporate social responsibility initiatives.

Excellent upskilling opportunities and great development prospects in a multicultural environment.

Option to access to special rates in products & benefits.





This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company:
Airbus Defence and Space SAU

Employment Type:
Permanent
-

Experience Level:
Professional

Job Family:
Testing

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com .

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.",Todas,Software
Marketing Automation Lead,Safeguru,España,No especificado,+ 30 d,"3,7","Marketing Automation Lead

Job title: Marketing Automation Lead

Location: Av.Peinado Grande 9, Malaga 29013 Spain

Hours: 37.5 hours

Working Pattern: Full-time, On-site 3 days per week

careers.asafe.com

The Marketing Automation Lead is responsible for designing, implementing, and optimising global marketing automation strategies to drive lead nurturing, engagement, and conversion. This role requires deep expertise in HubSpot, data management, and advanced lead nurturing workflows to support scalable growth and improve marketing ROI.




How you will make an impact:
HubSpot Management: Configure, maintain, and optimise HubSpot workflows, lists, and integrations.
Lead Nurturing: Develop multi-step nurture sequences aligned with buyer journey stages.
Data Management: Ensure data integrity, segmentation accuracy, and compliance with GDPR.
Campaign Automation: Build automated email campaigns, scoring models, and triggers.
Performance Analysis: Monitor KPIs (open rates, CTR, conversion) and optimise workflows.
Cross-Functional Collaboration: Work with content, sales, and regional teams to align automation with pipeline goals



What we are looking for:
Education: Degree in Marketing, Business, or related field.
Experience: 5+ years in marketing automation, with proven HubSpot expertise.
Skills: Advanced knowledge of HubSpot, CRM systems, and data management.
Analytical: Strong ability to interpret engagement metrics and optimise workflows.
Certifications: HubSpot Marketing Software Certification preferred
Project Management: Manages budgets, timelines, and cross-functional input
What we offer:
Opportunities for professional growth and career advancement.
Collaborative and supportive work environment.
Hybrid model: 3 days in the office, 2 days remote work.
On-site pool and ping-pong table
Intensive working hours (Jornada intensiva) in August: during this month we work from 8:00 to 15:00
Flexible working hours with the option to finish early on Fridays.

About us:

Our story started in 1984, when A-SAFE set out to solve real workplace safety problems with better, more innovative products. Today, our solutions protect people, assets and operations for brands globally.

We remain a family-owned business, built on strong values and long-term relationships. If you want to know what we stand for, you can learn more about our story and values.

Our HQ in Elland, Halifax, is home to cutting-edge manufacturing technology and modern offices that reflect the quality of what we do. You can take a virtual look around with our 3D tour.

A-SAFE has grown organically over the years and now supports more than 6,000 customers across 50 countries. We are proud to work with global names such as Amazon, Coca Cola and BMW. You can explore more of our Customer Success Stories here.

If you require the application form in an alternative format or need adjustments during the recruitment process, please contact us at recruitment@asafe.com",Todas,Software
AI/ML Engineer,"Trigyn Technologies, Inc",Trabajo en remoto,No especificado,24 horas,"3,7","Trigyn has a contractual opportunity for AI / ML Engineer. This resource will be working Remotely as per Central European Time zone (Valencia, Spain).

Background information:

AI / ML Engineers design, build, and operate machine and deep learning solutions that drive intelligent automation and data-driven decision-making across the organization. AI Engineers are responsible for deploying production-ready models, integrating them into scalable systems, and ensuring their reliability and performance through robust ML Ops practices. The incumbent will oversee the full machine learning lifecycle—including data preparation, model development, validation, deployment, monitoring, and retraining—using modern orchestration, CI/CD tools, and cloud platforms (e.g., Microsoft Azure). A key focus of this role includes advancing the organization’s capabilities in Natural Language Processing (NLP) and Generative AI, such as developing and fine-tuning Large Language Model-based chatbots, implementing text classification and extraction pipelines, and ensuring linguistic models align with business objectives and compliance requirements. The AI Engineer collaborates closely with data scientists, software engineers, and infrastructure teams to ensure AI solutions are secure, maintainable, and aligned with enterprise architecture and strategic goals.

Required Profile:

· +5 years’ experience as a researcher or engineer in AI, NLP and deep learning-related tasks. Having experience in an “industry” environment is a plus

· +5 years’ experience with text classification, information extraction, sequence labelling, model selection, evaluation, and result analysis.

· +3 years’ experience of multi-class and multi-task classification; LLMs; dialogue systems / chatbots, Retrieval Augmented Generation (RAG), Agentic AI; adversarial architectures; online learning methodologies; model compression (pruning, quantization, distillation…); AI model serving for production settings.

· +3 years’ experience with Cloud platforms (e.g., Azure); API and web service development in python; web app development in Python; agile methodologies; containers and their orchestration; cloud computing solutions.

· Presence in the AI community, e.g., with experience in publishing research material.

This role encompasses all aspects of artificial intelligence R&D and ML Ops.

Daily activities include:

· Designing and implementing machine and deep learning-based AI & NLP workflows, algorithms and solutions in alignment with the business needs.

· Deliver scalable and maintainable solution using the latest cutting-edge technology.

· Identification and evaluation of strategic innovations (concepts, tools/languages, technologies, services) in the field of AI, NLP and deep learning.

· Constant personal development in new technologies.

Scope of Work / Duties of Consultant:

· R&D of AI-based workflows, algorithms and solutions.

· Work in public cloud environments (AWS, Azure, or Google) as well as on-premises.

· Work with GPU-based backends and cloud platforms.

· Install and configure AI and ML Ops systems to ensure functionality.

· Analyze structural requirements for new software and applications.

· Evaluate and analyze complex AI solutions and result collections.

· Supervise and develop AI and ML Ops processes.

· Design complex AI and ML Ops pipelines and workflows.

· Present technical concepts to non-technical audiences.

· Improve and enhance existing AI solutions. Handover AI solutions to clients or colleagues.

· Improve performance by conducting tests, troubleshooting and integrating new elements.

· Define and prototype basic demonstrations for AI solutions and workflows.

Required Technical Skills:

· The resource MUST have the following skills and experience:

· Advanced knowledge of the following technologies: python, bash, git, ssh, and linux terminal.

· Advanced knowledge of one of the following deep learning backends: keras, tensorflow, pytorch, or JAX.

· Advanced knowledge of one of the following solutions for AI model serving: NVIDIA Triton Inference Server; vLLM; or Ollama.

· Knowledge of one of the following web app development solutions: Dash, Flask or Streamlit.

· Knowledge of Microsoft Azure DevOps Services for R&D and AI model / solution deployments, including ML and Copilot Studio.

· Knowledge of docker and Kubernetes for R&D and production settings.

The resource SHOULD have the following skills and experience:

· Knowledge of the following platforms: AWS (e.g., Sagemaker & bedrock) and GCP (e.g., Vertex AI) in the framework of AI and MLOps.

· Knowledge of computer vision and speech processing.

· Knowledge of MLflow and Kubeflow.

· Knowledge of Java, C and C++ programming languages.

· Thorough knowledge of Microsoft Office Suite products.

· Good communication skills and customer relationship skills.

· Knowledge of public cloud environment configuration & management for AI and cloud version control processes.

· Knowledge of Agile development methodology and concepts.

· Knowledge of a second language would be an asset.

Required Soft Skills:

Excellent written and verbal communication skills, interpersonal and collaborative skills
High degree of initiative, proactive and ability to work with little supervision
Ability to deliver quality results
Excellent communication, facilitation, and interpersonal skills with the ability to convey complex topics through effective documentation as well as presentations to all levels of the organization
Excellent organizational skills, reporting and documenting
Excellent written and spoken English
Ability to effectively collaborate with teams in an international, multicultural, multi-disciplinary environment working under different time-zones

Desirable certifications:

Bachelor’s degree in computer science, mathematics, logic, telecommunication technologies, or similar. Master’s degree or PhD in natural language processing, artificial intelligence, deep learning, or similar.
Peer-reviewed scientific publications accepted and published in top conferences or journals. E.g., ACL and EMNLP.

Job Types: Full-time, Contract
Contract length: 6 months

Pay: 170.00€ - 200.00€ per day

Work Location: Remote",Todas,Software
