Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Coordinador/a Senior de Departamento – Montaje de Hardware,Varios SL,Zaragoza,23 mil € - 25 mil € (Proporcionado por la empresa),+ 30 d,"4,0","En ProviSport SL buscamos incorporar un Coordinador Senior de Departamento de Montaje de Hardware para liderar y gestionar nuestro producto propio. Se trata de una posición estable y de largo recorrido, con contrato indefinido desde el inicio y un plan de crecimiento real dentro de la compañía.

Lo que ofrecemos

Estabilidad total: contrato indefinido y proyecto sólido.
Formación especializada de nicho, a cargo de la empresa, en nuestro producto y en tecnologías asociadas.
Posibilidades de crecimiento profesional dentro de una empresa en expansión desde 1997.
Ambiente de trabajo profesional, con acompañamiento en todo momento e integración en un equipo tanto dinámico como experto.

Responsabilidades

Coordinar el departamento de montaje e instalación de hardware específico de nuestro producto.
Supervisar conexiones básicas de electrónica, redes y electricidad.
Garantizar la correcta puesta en marcha y verificación del producto en cliente.
Gestionar al equipo técnico, asegurando la mejora continua y la calidad del servicio.
Planificación de viajes a clientes, asegurando cumplimiento de plazos y soporte eficaz.

Requisitos

Experiencia previa en montaje de hardware o entornos similares.
Muy valorables capacidades organizativas y de coordinación de equipos.
Conocimientos básicos de electrónica, redes y electricidad.
Disponibilidad para viajar dentro del territorio nacional.
Persona con compromiso, responsabilidad y visión de largo plazo.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.500,00€-24.500,00€ al año

Beneficios:

Formación en certificaciones profesionales
Jornada intensiva en verano

Experiencia:

montaje de electrónicas : 3 años (Obligatorio)
coordinando equipos: 2 años (Obligatorio)

Disponibilidad para viajar:

25 % (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Tecnología
"DIRECTOR CALIDAD APPCC, IFS Fábrica Alimentación- Puesto Presencial",Ritz & Riche,Miramar,25 mil € - 32 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Deseamos incorporar a nuestra empresa a un Director de Calidad para Fábrica de Alimentación, especialista en APPCC, IFS.

Con Experiencia Real y Demostrable en Lineas de Alimentación y como Responsable de Calidad, y trabajar sobre las normas y estándares de la Calidad y saber Expedir, Organizar y trabajar dirigiendo equipos.

Se responsabilizará de la toma de datos, así como procedimientos de cada linea para aportarlos al Responsable de Producción.

Garantizará el Aseguramiento de la Producción Diaria con los estándares de Calidad y Procedimientos del mismo.

Se responsabilizará y asegurará que su equipo realice las operaciones correctas en su puesto, y controles en cada zona con control de Check List.

Generará un informe diario de Producción para el Res. Producción y Operaciones.

Se responsabillizará y Garantizará el cumplimento de todas las áreas de calidad, sistemas y certificados de calidad e implantación de IFS.

Se asegurará de la Limpieza Diaria por cada día por parte del equipo en cada zona, con los procedimientos de limpieza establecidos por la empresa.

Se valorará positivamente el conocimiento y experiencia en líneas de Producción de Alimentación y estudios en Ciencia y Tecnología de los Alimentos.

Buscamos una persona con Liderazgo gestionando Equipos y consiguiendo Objetivos de Calidad, asi como cumplimiento de KPI's y experiencia real en Alimentación, ya que en base a ello tiene muchas opciones de crecimiento en la Compañía.

Se valorará positivimente si los candidatos tienen Experiencia Real como Responsable de Calidad en puestos relacionados con Alimentación.

Se trata de contrato fijo para largo plazo.

La ubicación es en La Safor (Valencia) y el trabajo es Presencial.

Incorporación Inmediata

Salario Fijo + Incentivos

Tipo de puesto: Jornada completa

Tipo de puesto: Jornada completa

Sueldo: 25.000,00€. - 32.000,00€ al año

Beneficios:

Teléfono de empresa

Horario:

De lunes a viernes

Retribución complementaria:

Bonus trimestrales por Objetivos conseguidos

Ubicación del trabajo: Empleo presencial

Tipo de puesto: Jornada completa

Experiencia:

Responsble/ Director Calidad IFS- BRC: 3 años (Deseable)
Gestión de Calidad en Fabrica de Alimentación: 2 años (Deseable)
Director de Producción en Fábrica de Alimentación: 2 años (Deseable)

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 25.000,00€-32.000,00€ al año

Beneficios:

Acciones empresariales
Ayuda al desarrollo profesional
Teléfono de empresa

Experiencia:

Calidad Alimentaria: 2 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Tecnología
Empleado polivalente / Allrounder (m/f/d),Twin Busch,España,No especificado,+ 30 d,"4,0","Descripción del puesto

Twin Busch Ibérica S.L. es una empresa líder internacional en el área de tecnología de elevación y equipamiento de talleres. Con sede en Les Franqueses del Vallès (08520), España, representamos innovación, calidad y un excelente servicio al cliente.

Para reforzar nuestro equipo comprometido, buscamos incorporar lo antes posible a una persona motivada para el puesto de

Empleado polivalente / Allrounder (m/f/d)Sus tareas incluirán:

Apoyo en diferentes áreas de la empresa (por ejemplo, logística, administración, atención al cliente, organización)
Realización de tareas administrativas generales y organización de oficina
Asistencia en la recepción, verificación y gestión de mercancías
Colaboración en procesos y proyectos internos
Atención y apoyo a clientes por teléfono y de forma presencial
Organización y coordinación de tareas en el día a día operativo

Requisitos:

Formación profesional completada, preferiblemente en el ámbito comercial o técnico
Versatilidad, flexibilidad y actitud proactiva (“hands-on”)
Método de trabajo estructurado e independiente
Capacidad organizativa y sentido de la responsabilidad
Muy buen dominio del español hablado y escrito
Conocimientos de alemán y/o inglés (otros idiomas serán valorados positivamente)
Actitud amable y orientada al servicio
Capacidad para trabajar en equipo y entusiasmo por un entorno laboral dinámico y variado

Ofrecemos:

Un equipo motivado y amable en un ambiente laboral familiar
Un trabajo variado y con responsabilidad propia
Jerarquías planas y procesos de decisión cortos
Aparcamiento gratuito
Bebidas gratuitas
Eventos para empleados (por ejemplo, actividades de team building)

¿Le interesa el puesto?
Envíenos su solicitud completa por correo electrónico, indicando su pretensión salarial y su posible fecha de incorporación, a la atención de la Sra. Gabi Busch.

¡Esperamos recibir su candidatura!

Tipo de puesto: Jornada completa

Horario laboral:

Lunes - Viernes, jornada de 8 horas

Beneficios:

Participación en beneficios
Bebidas gratuitas
Aparcamiento gratuito

Pagos adicionales:

13.º mes de salario
Prima de Navidad

Lugar de trabajo: Presencial – Twin Busch Ibérica S.L., 08520 Les Franqueses del Vallès (Barcelona)

Tipo de puesto: Jornada completa

Beneficios:

Parking gratuito

Idioma:

Alemán o Ingles (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Tecnología
Buscamos conductores con nivel basico de ingles.,Join The Best Rise SL.,España,3 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Somos Join The Best Ride, una empresa de transporte de lujo con más de 4 años de experiencia brindando un servicio de excelencia a nuestros clientes. Nos especializamos en ofrecer transporte exclusivo y de alto estándar para clientes exigentes, priorizando la seguridad, la puntualidad y el confort en cada trayecto.

¿Qué buscamos?

Estamos en la búsqueda de conductores altamente calificados para unirse a nuestro equipo y ofrecer un servicio excepcional a nuestros clientes. Si eres una persona responsable, profesional y apasionada por el servicio de calidad, esta es tu oportunidad para formar parte de una empresa líder en el sector del transporte de lujo.

Requisitos:

Licencia de conducir vigente (de [país] o [estado/municipio], según corresponda).
Experiencia mínima como conductor de vehículos de lujo o servicio de transporte premium.
Conocimiento de las rutas locales y regionales.
Actitud profesional, puntualidad y excelente trato con los clientes.
Capacidad para manejar vehículos de gama alta y con sistemas tecnológicos avanzados.
Disponibilidad para trabajar en turnos rotativos, fines de semana y festivos (si es necesario).
Buena presentación personal.
Ser responsable, discreto y confiable.

Responsabilidades:

Conducir vehículos de lujo de la flota de la empresa de manera segura y eficiente.
Brindar un servicio al cliente excepcional, manteniendo siempre la cortesía y profesionalismo.
Asegurar el mantenimiento básico y la limpieza del vehículo asignado.
Cumplir con las normas de seguridad vial y las políticas internas de la empresa.
Manejar con destreza el sistema de reservas y GPS en vehículos equipados con tecnología avanzada.
Garantizar la puntualidad y satisfacción del cliente en todo momento.

Ofrecemos:

Salario competitivo y beneficios adicionales.
Capacitación continua en atención al cliente y seguridad vial.
Estabilidad laboral y oportunidad de crecimiento profesional.
Ambiente de trabajo profesional y de alto nivel.
Vehículos modernos y equipados con la última tecnología.
Beneficios como transporte y otras bonificaciones.

Tipo de puesto: Jornada completa, Contrato indefinido, Contrato fijo discontinuo
Duración del contrato: 7 meses

Sueldo: A partir de 2.500,00€ al mes

Beneficios:

Jornada intensiva en verano
Opción a contrato indefinido
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Todas,Tecnología
Técnico I+D+i,Dopp Consultores,España,No especificado,14 días,"4,0","Descripción

Desde DOPP Executive Search buscamos un/a Técnico/a de I+D+i para incorporarse al área de Innovación de una compañía del sector alimentario.

En dependencia directa de la Responsable del área de Innovación I+D+i, tendrá como misión principal participar activamente en el diseño, formulación y desarrollo de nuevos productos, garantizando su viabilidad técnica e industrial, el cumplimiento normativo y la correcta transferencia a producción, contribuyendo a la mejora continua y al posicionamiento innovador de la compañía.

Funciones principales:

Diseño y Desarrollo de Nuevos Productos: Formulación y desarrollo de nuevos productos alimentarios, incluyendo la elaboración de prototipos en cocina experimental y la optimización de recetas.

Escalado Industrial y Transferencia a Producción: Adaptación de recetas y tecnologías a procesos industriales, en coordinación con los departamentos de Producción, Calidad e Ingeniería, asegurando la viabilidad técnica del producto.

Pruebas Piloto y Validación: Planificación y ejecución de pruebas piloto y validaciones industriales, análisis e interpretación de resultados y propuesta de mejoras técnicas y de proceso.

Gestión de Materias Primas y Proveedores: Evaluación, selección y validación de materias primas. Colaboración con proveedores en el desarrollo y mejora de ingredientes.

Cumplimiento Normativo y Seguridad Alimentaria: Aseguramiento del cumplimiento de la legislación alimentaria vigente, normativa de calidad y requisitos técnicos aplicables al producto.

Documentación Técnica: Elaboración y actualización de fichas técnicas, especificaciones, registros de pruebas, reformulaciones y documentación asociada al desarrollo de producto.

Trabajo Multidisciplinar e Innovación Continua: Participación activa en proyectos transversales de innovación y mejora continua, colaborando con distintos equipos internos.

¿Qué buscamos?

Titulación universitaria superior, preferentemente en Ciencia y Tecnología de los Alimentos, Ingeniería Agroalimentaria, Food Design o titulaciones afines. Se valorará formación adicional en Gastronomía o cocina profesional.

Experiencia mínima de 5 años en la industria alimentaria, preferiblemente en departamentos de I+D o desarrollo de producto.

Experiencia en escalado industrial, procesos térmicos y formulación. Conocimientos sólidos en procesos alimentarios, formulación e ingredientes.

Conocimientos en normativa alimentaria y sistemas APPCC.

Manejo de herramientas ofimáticas.

Imprescindible nivel alto de inglés, tanto hablado como escrito. Se valorarán otros idiomas.

Alto nivel de implicación y sentido de pertenencia. Capacidad analítica, orientación al detalle y a la calidad. Trabajo en equipo, planificación y organización. Orientación a resultados y mejora continua.",Todas,Tecnología
Full Stack Developer,Aplifit,España,30 mil € - 36 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Buscamos un full stack developer con dominio de Ionic, Laravel, PostgreSQL, MySQL y experiencia en AWS. Es fundamental que el candidato tenga una fuerte capacidad de autoaprendizaje, autonomía, y una actitud proactiva para adaptarse rápidamente a nuevas tecnologías y entornos. La habilidad para aprender de manera continua y resolver problemas de forma independiente es clave, además de colaborar con equipos multifuncionales para desarrollar soluciones escalables y seguras. Se valorará especialmente una mentalidad enfocada en la mejora constante y el manejo eficiente del ciclo de vida del software.

Tipo de puesto: Jornada completa

Sueldo: 30.000,00€-36.000,00€ al año

Ubicación del trabajo: Teletrabajo híbrido en 08110 Montcada i Reixac",Todas,Tecnología
Asesor Fiscal y Contable (Remoto),Invertax,Trabajo en remoto,18 mil € - 30 mil € (Proporcionado por la empresa),+ 30 d,"4,0","¡Ampliamos nuestro equipo! Seguimos creciendo y buscamos incorporar a un/a Asesor Fiscal y Contable para nuestra integrarse en nuestra plantilla.

¡Somos INVERTAX! Y queremos que nos conozcas un poco más:

Invertax es una asesoría especializada en modelos de negocio del sector inmobiliario.

Nuestra empresa es joven y dinámica que ofrece oportunidades de crecimiento y desarrollo profesional.

Buscamos la mejora continua y por ello, invertimos en innovación y en la tecnología más disruptiva del mercado.

Ahora viene lo más interesante

¿Qué es lo que harás en Invertax?

Gestionar una cartera de clientes que incluye sociedades y autónomos en diversos sectores.

Ofrecer asesoramiento en materia fiscal y contable.

Realizar el proceso contable, incluyendo la contabilización de facturas emitidas y recibidas, conciliación bancaria, amortizaciones, etc.

Confección y presentación de impuestos trimestrales y anuales, incluyendo 303, 111, 130, 115, 123, 202, 349, 390, 200, 180, 190, 193 y 347.

Realizar revisiones mensuales de los balances.

Gestionar altas en seguridad social de autónomos, altas en hacienda y variaciones censales.

WOW! Sounds good

¿Qué es lo que nos gustaría que tuvieras?

Buscamos personas resolutivas y proactivas que deseen formar parte de equipos de alto rendimiento.

Grado medio en gestión administrativa o grado superior de administración y finanzas.

Habilidad para trabajar en equipo y con objetivos comunes.

Excelentes habilidades de comunicación y organización.

Conocimiento sólido en materia fiscal y contable.

La experiencia previa en funciones similares será valorada.

Y, por supuesto, ¿Qué es lo que ofrecemos?

Un entorno de trabajo dinámico y en constante crecimiento profesional.

Posibilidad de promoción interna y desarrollo dentro de la compañía.

Aprender sobre modelos de negocio disruptivos, apoyados en la tecnología más vanguardista del mercado.

Si estás buscando una oportunidad para crecer profesionalmente y contribuir a un equipo en crecimiento, no esperes más y ¡dale al botón de aplicar!

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 18.000,00€-30.000,00€ al mes

Beneficios:

Ayuda al desarrollo profesional
Ordenador de empresa
Programa de formación
Teletrabajo opcional

Experiencia:

Administración y contabilidad: 3 años (Deseable)

Ubicación del trabajo: Empleo remoto",Todas,Tecnología
Candidatura abierta,Grupo Espiral,España,No especificado,+ 30 d,"4,0","En Espiral MS, empresa tecnológica certificada por Great Place to Work ® y fabricante de los productos software Proactivanet y Prodity busca de forma constante incorporar talento al equipo.

Nuestros valores nos definen y conforman la cultura propia de nuestra organización:

compromiso con las personas del equipo,
compromiso con el éxito de nuestros clientes y
compromiso con la excelencia en todo lo que hacemos.

Grupo Espiral MS está formado por un excelente grupo de más de 100 personas profesionales, con gran compromiso con el proyecto y fuerte orientación al trabajo en equipo, que harán muy sencilla tu incorporación y que te sientas como una más o uno más en muy poco tiempo.


Las condiciones para todos los puestos son las mismas y como somos conscientes de que el talento es nuestro mayor activo y nos esforzamos en cuidarlo ofreciendo:

Formato híbrido: 1 o 2 días a la semana en las oficinas centrales ubicadas en el estadio de El Molinón (Gijón) y resto en remoto.
Horario flexible para facilitar la conciliación trabajo-vida personal. No se trabaja los viernes por la tarde, fines de semana, ni festivos. Horario de verano intensivo para disfrutar de tardes libres.
Formación intensiva a cargo de la empresa. Te formaremos en aspectos técnicos y marcos de gestión que te permitirán mejorar tus capacidades e impulsar tu carrera profesional en un entorno altamente innovador.
Estabilidad profesional, continuidad y crecimiento profesional en un proyecto en expansión.
Salario en función de la valía de cada candidato. Dietas adicionales en caso de desplazamiento.
Programa de beneficios corporativos.
En tu cumpleaños, la empresa te da el día libre.


Contamos con oficinas propias en 5 países, atendemos a más de 500 grandes clientes en todo el mundo y estamos en una etapa de fuerte crecimiento (más de un 40% desde 2020) y expansión internacional. Estamos además certificados por Great Place to Work®, que nos reconoce como un excelente lugar para trabajar. Nuestras oficinas centrales se encuentran en el Espacio Tecnológico El Molinón (Gijón), cerca de la Playa de San Lorenzo y el Parque de Isabel La Católica, con amplio aparcamiento, conectadas directamente con la autopista y múltiples líneas de autobuses, e incluso carril bici.

Si tienes ganas de unirte a la mejor empresa tecnológia para trabajar en Asturias, ¡no lo dudes y envíanos tu CV! Tendrás la oportunidad de formarte en una organización dinámica y comprometida, donde encontrarás también un ambiente de trabajo inmejorable.",Todas,Tecnología
Buscamos conductores con nivel basico de ingles CON CARNET TIPO D1 - D.,Join The Best Rise SL.,España,3 mil € (Proporcionado por la empresa),9 días,"4,0","Somos Join The Best Ride, una empresa de transporte de lujo con más de 4 años de experiencia brindando un servicio de excelencia a nuestros clientes. Nos especializamos en ofrecer transporte exclusivo y de alto estándar para clientes exigentes, priorizando la seguridad, la puntualidad y el confort en cada trayecto.

¿Qué buscamos?

Estamos en la búsqueda de conductores altamente calificados para unirse a nuestro equipo y ofrecer un servicio excepcional a nuestros clientes. Si eres una persona responsable, profesional y apasionada por el servicio de calidad, esta es tu oportunidad para formar parte de una empresa líder en el sector del transporte de lujo.

Requisitos:

Licencia de conducir vigente (de [país] o [estado/municipio], según corresponda).
Experiencia mínima como conductor de vehículos de lujo o servicio de transporte premium.
Conocimiento de las rutas locales y regionales.
Actitud profesional, puntualidad y excelente trato con los clientes.
Capacidad para manejar vehículos de gama alta y con sistemas tecnológicos avanzados.
Disponibilidad para trabajar en turnos rotativos, fines de semana y festivos (si es necesario).
Buena presentación personal.
Ser responsable, discreto y confiable.

Responsabilidades:

Conducir vehículos de lujo de la flota de la empresa de manera segura y eficiente.
Brindar un servicio al cliente excepcional, manteniendo siempre la cortesía y profesionalismo.
Asegurar el mantenimiento básico y la limpieza del vehículo asignado.
Cumplir con las normas de seguridad vial y las políticas internas de la empresa.
Manejar con destreza el sistema de reservas y GPS en vehículos equipados con tecnología avanzada.
Garantizar la puntualidad y satisfacción del cliente en todo momento.

Ofrecemos:

Salario competitivo y beneficios adicionales.
Capacitación continua en atención al cliente y seguridad vial.
Estabilidad laboral y oportunidad de crecimiento profesional.
Ambiente de trabajo profesional y de alto nivel.
Vehículos modernos y equipados con la última tecnología.
Beneficios como transporte y otras bonificaciones.

Tipo de puesto: Jornada completa, Contrato indefinido, Contrato fijo discontinuo
Duración del contrato: 7 meses

Sueldo: A partir de 2.500,00€ al mes

Beneficios:

Jornada intensiva en verano
Opción a contrato indefinido
Uniforme proporcionado

Ubicación del trabajo: Empleo presencial",Todas,Tecnología
Merchandiser especialista en tecnología Valladolid,Service Innovation,Valladolid,No especificado,6 días,"4,0","Descripción:

Service Innovation Group España, empresa líder en outsourcing comercial con más de 30 años de experiencia, está especializada en la gestión del punto de venta y la auditoría comercial mediante herramientas propias. Proveemos soluciones de venta profesionales para reconocidas marcas del sector.

¿Qué buscamos?

Estamos incorporando un/a Merchand para campañas puntuales con marcas de tecnología y electrodomésticos. Necesitamos personal para actualizar mobiliario y planogramas en puntos de venta.


¿Qué harás?



Visitar de 1 a 5 puntos de venta asignados por campaña
Actualizar la configuración de mesas e imagen
Instalar nuevos productos
Verificar el correcto funcionamiento de los dispositivos
Tomar fotos del trabajo realizado según especificaciones (y otras imágenes que aporten valor)
Realizar reportes siguiendo las indicaciones del/la Team Leader

Esta acción incluye:



Expositores
Imagen
Manipulación de producto

Requisitos:

Requisitos mínimos:



Residir en la provincia de la vacante
Disponer de vehículo propio (para cubrir la ruta y transportar material)
Manejo y soltura con dispositivos electrónicos
Conocimientos de ofimática a nivel usuario

Se valorará experiencia en:

Actualizaciones de mobiliario
Productos del sector tecnológico",Todas,Tecnología
